Title     : Top English Jokes
[02:29.58]  casual attire right now but the word
[02:33.12]  attire sounds like a tire
[02:37.08]  a tire like a wheel for a bike so in
[02:41.40]  this joke the difference between a
[02:42.78]  unicycle
[02:43.80]  a bike with one wheel and a bicycle
[02:46.80]  which has two wheels the difference is a
[02:50.40]  tire but we were also talking about the
[02:52.80]  way that the men were dressed so we're
[02:54.66]  talking about their attire as well
[02:57.48]  this pun is really good I think it's
[03:00.72]  very clever
[03:02.40]  this next joke I think will be good for
[03:04.74]  people who are fans of Nintendo and it
[03:07.26]  will also be good for my French speaking
[03:09.36]  audience too I asked my French friend if
[03:12.66]  she liked playing video games she said
[03:15.30]  we
[03:17.28]  if you guys didn't already know we of
[03:19.80]  course means yes in French but we is
[03:23.04]  also a type of a video game console I
[03:26.34]  used to always play Wii Sports when I
[03:28.32]  was growing up you play tennis and golf
[03:30.24]  and bowling it's a really fun video game
[03:32.04]  so this joke is playing off the fact
[03:35.04]  it's a pun that we is French for yes and
[03:39.12]  we is also a type of video game
[03:41.46]  how do you get a squirrel to like you
[03:44.88]  you act like a nut when you say that
[03:47.22]  someone is nuts or they're acting like a
[03:49.92]  nut it means they're crazy but of course
[03:52.74]  what do squirrels eat they eat nuts like
[03:56.46]  acorns and peanuts and things like that
[03:59.16]  this next joke took me a minute to get
[04:01.98]  you know I was a little slow getting it
[04:03.96]  but once I got it I thought it was
[04:05.76]  pretty funny February can't march but
[04:08.46]  April May
[04:09.60]  now this joke is makes no sense but it's
[04:13.38]  just listing the months in order in
[04:16.14]  February can't march marching is like
[04:18.90]  walking
[04:20.16]  but April May
[04:22.38]  we're just saying silly things because
[04:24.90]  May means it you know the same as the
[04:27.96]  word I may do something but the month is
[04:30.60]  also called May so sometimes American
[04:33.00]  jokes just don't make any sense but they
[04:35.58]  just happen to play off words that again
[04:37.92]  mean two different things like a pun so
[04:40.92]  February can't march but April May is a
[04:44.16]  classic pun joke we might even call it
[04:47.66]  punny have you ever heard an American
[04:51.00]  talk about dad jokes now you don't have
[04:54.30]  to be a dad to think that dad jokes are
[04:57.12]  funny or to even tell a dad joke but if
[05:00.42]  you tell a very predictable joke that
[05:03.66]  kind of makes people grow and like ah
[05:05.52]  okay I get it it's not necessarily ha ha
[05:08.46]  ha funny but it's just so corny and
[05:11.64]  predictable and common we might say that
[05:14.46]  is a total dad joke so this phrase is
[05:17.70]  just making fun of the humor that older
[05:20.52]  men tend to use and many dad jokes are
[05:23.76]  also puns as well let's look at some
[05:25.98]  examples
[05:27.12]  so when you ask your dad hey dad did you
[05:29.46]  get a haircut your dad might say no I
[05:32.64]  got lots of hairs cut now this is just a
[05:35.94]  way of Dad's you know kind of making fun
[05:38.28]  of you for asking a question that is
[05:40.68]  really common we also did you get a
[05:42.48]  haircut that is the proper way in
[05:44.64]  English to ask someone if they got a
[05:47.40]  haircut but it's kind of funny because
[05:49.98]  we actually are getting hairs hairs cut
[05:53.40]  but we don't say it like that in English
[05:55.62]  and Dad's always to try to make that
[05:57.72]  joke like I know I got a lot of hairs
[05:59.58]  cut so they're using the plural even
[06:02.16]  though we always say I got a haircut
[06:04.14]  instead of I got hairs cut
[06:06.68]  what did the grape say when it got
[06:09.12]  crushed do you know
[06:11.40]  nothing it just let out a little wine
[06:14.96]  so this joke is playing off the fact
[06:18.18]  that you use grapes to make wine and the
[06:21.84]  word wine the verb to Wine means to cry
[06:25.44]  and to complain about things so again
[06:29.04]  this joke would be considered a pun
[06:31.50]  except normally we spell wine like the
[06:34.26]  wine you drink
[06:35.54]  w-i-n-e and we spell wine link crying or
[06:39.24]  complaining as
[06:40.94]  w-h-i-n-e so maybe that helped you learn
[06:43.68]  a new verb to whine in English
[06:47.00]  my grandma loves to play Scrabble so I'm
[06:50.34]  going to have to tell her this joke in
[06:52.56]  the future I saw a guy spill his
[06:55.14]  Scrabble letters on the road so I asked
[06:57.90]  him what's the word on the street this
[07:00.48]  joke is pretty funny actually I find it
[07:02.76]  a little bit funny so in Scrabble you
[07:05.64]  have letters that you're trying to make
[07:06.90]  into words it's a great game I love the
[07:09.54]  game Scrabble my grandma especially
[07:11.10]  loves it
[07:12.24]  but if you ask someone what's the word
[07:14.22]  on the street you're asking for some
[07:16.56]  gossip and gossip is just you know
[07:19.62]  things that people know that are either
[07:21.48]  Secrets or they're just guessing about
[07:23.34]  someone like you might gossip at work
[07:25.98]  about oh I heard that the boss did this
[07:29.04]  yesterday or oh I heard that these two
[07:31.50]  co-workers are dating so gossip is
[07:34.08]  usually pretty bad pretty toxic but when
[07:37.44]  you ask someone what's the word on the
[07:39.00]  street it means what's the gossip and if
[07:41.82]  someone spilled letters on a road
[07:45.24]  they might turn into a Scrabble word so
[07:48.12]  it's a play off that you're asking for
[07:50.46]  gossip but you're also just asking did
[07:52.44]  you make any words with your Scrabble
[07:54.00]  letters
[07:55.32]  and this is a joke that I think all kids
[07:57.72]  know at some point what did the ocean
[08:00.12]  say to the beach
[08:02.04]  nothing it just waved of course water
[08:05.40]  makes waves and we talk about waving
[08:07.98]  like this hello or goodbye as a wave and
[08:11.28]  they're spelled the exact same so this
[08:13.56]  again is a dad corny joke but it's also
[08:16.86]  a pun do you know what a riddle is a
[08:20.40]  riddle is a question that we ask people
[08:22.92]  you know that they're supposed to solve
[08:24.72]  or figure out and usually riddles are
[08:28.28]  sometimes you know just a hard guessing
[08:30.78]  thing but a lot of times in the United
[08:32.76]  States we also use riddles to be like a
[08:36.24]  joke so here are some interesting
[08:38.34]  riddles that you can try to solve real
[08:40.50]  quick but they also have puns and
[08:43.38]  they're meant to be a little funny as
[08:45.06]  well did you hear the joke about the
[08:47.40]  roof never mind it's over your head the
[08:50.70]  phrase over your head or if something's
[08:53.22]  over your head it means you don't
[08:55.44]  understand it but a roof is literally
[08:58.56]  over your head so this again is a play
[09:01.62]  on where words or a pun that's meant to
[09:04.14]  be funny
[09:05.88]  this riddle is very clever I had never
[09:08.88]  heard it before I saw it online what is
[09:12.24]  the center of gravity
[09:14.16]  the letter V so when we use the phrase
[09:17.40]  the center of gravity it's a physics
[09:20.16]  concept so it's a very scientific
[09:21.90]  concept but when we say literally the
[09:25.20]  center of the word Gravity the middle
[09:27.90]  letter or the center is the letter V so
[09:31.68]  again this is a corny joke and it's
[09:34.62]  meant to kind of make you think like I
[09:36.36]  don't know what the center of gravity is
[09:37.74]  and then you know it's very literal the
[09:40.74]  V is the center of the word
[09:43.44]  what word breaks when you say it
[09:48.24]  silence So when you say I broke the
[09:51.36]  silence it means that a room full of
[09:53.88]  people or just two people even who are
[09:56.10]  being silent and not having conversation
[09:58.14]  and when you say I'm going to break the
[10:00.48]  silence it means you're going to start
[10:02.22]  talking you're going to try to start a
[10:04.92]  conversation sometimes it can be kind of
[10:07.50]  awkward to break the silence in the room
[10:09.78]  because there might be a reason why
[10:11.94]  people are not talking in the room maybe
[10:14.04]  they're mad at each other or maybe
[10:15.96]  they're just trying to work so if you
[10:17.40]  break the silence it can be a little
[10:18.96]  awkward so of course the word silence
[10:21.30]  can't literally break but if you say it
[10:24.12]  out loud you might be breaking a silence
[10:27.42]  what starts with e and ends with e and
[10:30.72]  contains one letter
[10:33.42]  then card again
[10:35.46]  it's the word envelope so an envelope
[10:39.18]  contains a letter
[10:41.70]  that you would send in the mail that's
[10:43.08]  what we call something that you write to
[10:44.70]  someone a message and the word envelope
[10:48.18]  does start with an e and end with an e
[10:50.16]  and of course it the word actually has
[10:52.68]  more letters but the physical thing an
[10:55.74]  envelope usually has one letter in it so
[10:58.80]  again a really tricky riddle this is a
[11:01.98]  re this is a really classic example of a
[11:04.50]  riddle here
[11:06.06]  so maybe you're catching on to how these
[11:08.76]  riddles work and maybe you can solve the
[11:11.94]  last one what do you call a bear with no
[11:15.24]  ear
[11:16.44]  think
[11:18.66]  a b because the word bear is spelled
[11:22.10]  b-e-a-r b ear if you take off the ear it
[11:27.06]  just is a b
[11:28.38]  thank you guys so much for watching this
[11:30.18]  English lesson with me I hope that you
[11:32.52]  found some of these jokes to be humorous
[11:35.12]  if not I at least hope that you gained
[11:38.64]  some English vocabulary and knowledge of
[11:41.64]  puns homonyms and wordplay from this
[11:45.30]  lesson thanks again for watching I'll
[11:47.16]  see you guys in the next video bye
[11:51.21]  [Music]
[12:04.19]  [Applause]
[12:04.43]  [Music]
[12:07.34]  thank you
