Title     : How to Create a $50M ARR Inbound Revenue Machine with Justyn Howard  and Mike Volpe
Video ID  : q3kbBvAojvU
[04:26.20]  a demo that sort of thing we do a lot of
[04:28.87]  content marketing as well all with the
[04:30.94]  kind of end destination of one of those
[04:33.04]  two entry points into the funnel and we
[04:37.35]  the free trial obviously a slightly
[04:40.30]  different from a qualification
[04:41.73]  perspective so we handle those a little
[04:43.45]  bit differently than we do the others
[04:45.00]  and so that's been kind of our whole
[04:48.28]  lives that's that's been the focus now
[04:49.90]  over the last 18 months we've put a lot
[04:53.02]  more energy into the outbound side of
[04:55.30]  things we've also grown the the SDR and
[05:00.37]  PDR teams both the ones doing the
[05:02.44]  outbound prospecting as well as the ones
[05:04.75]  who are qualifying some of the stuff
[05:06.61]  that we get from the less qualified
[05:08.47]  channels from an inbound perspective and
[05:12.06]  once those are qualified they go to the
[05:14.17]  sales organization the sales
[05:15.28]  organizations work who work with those
[05:16.93]  folks and ideally turn them into
[05:18.37]  customers so I want to stick the inbound
[05:20.95]  stuff cuz that you know got you guys to
[05:22.42]  50 80 whatever million ARR like a huge
[05:25.12]  number yep
[05:26.52]  you see said some interesting stuff in
[05:28.63]  there so I heard I heard free trial yep
[05:30.37]  give us a sense of the volume a free
[05:32.14]  trial that's on a monthly basis yeah so
[05:34.15]  we do I'd say about nine to ten thousand
[05:36.81]  businesses are trying our software on a
[05:39.40]  monthly basis okay and then that's a lot
[05:45.49]  sounds pretty cool yes so but then you
[05:49.57]  also mentioned sales reps I feel like
[05:51.22]  the typical free trial is like oh people
[05:52.96]  try it and then they kind of like human
[05:54.58]  lessly like upgrade yeah yeah so but I
[05:57.64]  heard sales reps so well yeah yeah and
[05:59.80]  that's actually a really interesting and
[06:01.15]  and I think critical point in this so
[06:04.29]  from the beginning we assigned sales
[06:07.33]  reps to that free trial process and
[06:10.32]  certainly we have buyers who avoid the
[06:13.21]  emails avoid the phone calls put their
[06:14.68]  credit card at the end and buy that
[06:16.87]  shifted over time we've got more
[06:18.28]  affected getting engaged with with the
[06:20.02]  prospects during that trial but
[06:21.52]  throughout that trial we've got live
[06:23.44]  sales reps working on those accounts
[06:25.24]  making sure that the customers questions
[06:27.76]  are being answered that they understand
[06:28.96]  the positioning the value and things
[06:30.04]  like that so the vast majority of those
[06:32.44]  trials get a sales rep including the SMB
[06:34.63]  segment and so we're working with them
[06:37.39]  through that to make sure they get
[06:38.65]  everything they need out of the trial
[06:39.79]  and give us a sense of from the SMB
[06:41.77]  through to the enterprise like what's
[06:43.06]  the variation in like a CB yeah so I'd
[06:46.06]  say that a CV taking out kind of the
[06:50.35]  outliers is probably like a 3 to 4x from
[06:54.79]  the the SMB in aggregate you know we we
[06:58.03]  have customers who are paying us less
[06:59.23]  than $100 a month we have customers that
[07:00.82]  are paying us tens of thousands but on
[07:02.98]  the whole with with a couple thousand
[07:05.32]  enterprises I think it's probably about
[07:06.43]  three or four X got it okay okay and
[07:08.71]  then so but the RET it sounds like the
[07:12.04]  reps are actually talking to almost all
[07:13.48]  the trailers they are it sounds like
[07:14.80]  there's a few humanists who come through
[07:16.03]  but really it's kind of a free trial to
[07:17.83]  all inside inside sales rep yep
[07:20.14]  basically okay free free trial two
[07:22.36]  inside sales rep model that's
[07:23.53]  interesting so while the reps like
[07:25.06]  product experts because I think what's
[07:26.89]  interesting so what HubSpot 90% of the
[07:29.41]  deals we closed were through the inside
[07:31.45]  sales team and sourced from marketing
[07:33.67]  leads yep but 85% of our leads were
[07:37.74]  inbound but based on content not free
[07:40.66]  trials yep right this is through like
[07:42.58]  IPO yeah so it's it would seem to me
[07:46.09]  like the stuff that we had to do to get
[07:47.95]  the reps you know someone downloads an
[07:51.10]  e-book about XYZ topic to get from that
[07:54.04]  to buying a software product is sort of
[07:57.91]  one mode
[07:58.54]  but it feels like you've got them at the
[08:00.01]  point that like they at least sign up
[08:01.75]  for a free trial maybe they didn't click
[08:03.25]  around at all in it but at least they
[08:04.39]  signed up for free and then you're
[08:06.07]  sending it to a rep yeah yeah what's the
[08:08.29]  rep onboarding like what are the reps
[08:09.64]  like what's the special sauce they're so
[08:12.37]  it varies a little bit by segments but I
[08:14.92]  think the you know the primary job of
[08:17.65]  the reps during that process is to
[08:19.72]  demonstrate the value of the product so
[08:20.95]  to your question are there product
[08:21.88]  experts absolutely and we have this
[08:25.48]  interesting situation where because
[08:28.96]  that's our primary source of leads that
[08:31.06]  we point everyone to sign up for this
[08:32.65]  free trial we get some people who are in
[08:34.48]  there to actually test out the software
[08:35.65]  we got other people that are in there
[08:37.15]  because we told them that that's where
[08:39.61]  they needed to go but in reality they
[08:41.41]  want someone to show them around answer
[08:42.91]  questions etc so they're not actually
[08:44.05]  there to try the software they're there
[08:45.73]  to be shown the software they want
[08:47.41]  someone to do the trial for them yeah
[08:49.26]  and so and it took us a while to kind of
[08:52.72]  figure that out and kind of adjust the
[08:54.19]  sales process but but their their job
[08:55.96]  there is to and there's a bit of a
[08:59.35]  disadvantage to that too so we have the
[09:01.75]  advantage of their highly qualified by
[09:03.04]  the time we get them yes they've
[09:04.39]  expressed interest enough to give us
[09:06.16]  their information connect their Twitter
[09:07.27]  and Facebook accounts etc yeah and and
[09:10.24]  so that's great but it's also
[09:12.34]  challenging now too we have to back them
[09:14.02]  off of that let's not just talk about
[09:15.49]  the product let's let's talk about what
[09:17.74]  you're trying to accomplish let's talk
[09:19.21]  about the typical discovery type
[09:21.43]  discussions that you'd have because they
[09:23.62]  probably okay cuz you're like in feature
[09:25.75]  functionality land because it's a trial
[09:27.88]  based conversation you're not
[09:29.59]  necessarily in business value land
[09:31.15]  because they've started clicking around
[09:33.55]  on a bunch of buttons about why is this
[09:35.05]  in this part of the menu or what exactly
[09:36.52]  that's interesting so how do you how do
[09:38.59]  you branch back to that business value
[09:40.15]  because I feel like so what hubs want
[09:41.32]  someone download a piece of content
[09:42.46]  about generating more leads through
[09:44.11]  social media you can have a business
[09:46.24]  conversation with them and then the sort
[09:48.34]  of bridge we needed to build was okay
[09:49.81]  well here's some software that helps you
[09:51.37]  do that better yeah right you're sort of
[09:53.62]  saying like well I have the software but
[09:55.03]  let's kind of bridge back to the higher
[09:56.83]  level business value so we can establish
[09:58.33]  kind of a use case here yeah yeah how do
[10:00.25]  you do that so I would say for a good
[10:02.86]  chunk of our of our prospects there's
[10:05.26]  some pain with an existing tool whether
[10:07.06]  it's through native platforms a
[10:08.74]  competitor of ours etc and that's
[10:10.75]  usually where it starts
[10:13.41]  this this product doesn't do acts and I
[10:15.97]  need to do acts well why do you need to
[10:17.14]  do X what is it that you're trying to
[10:18.40]  kind of accomplish at the lower end of
[10:20.71]  the market certainly there's more folks
[10:22.33]  who are just kind of dipping in their
[10:23.29]  toes and figuring out and that's where
[10:24.70]  we have to do the education and talk
[10:26.47]  about what are you trying to get more
[10:27.79]  customers keep more customers etc so we
[10:30.94]  can kind of use what they focus on in
[10:32.44]  the product to kind of figure out and
[10:34.21]  then ask questions backwards to get to
[10:36.37]  the business value okay now it seems
[10:40.39]  like so the product generates all these
[10:41.95]  free trials
[10:42.70]  you've got the sales team kind of
[10:44.50]  bridging back to business value then
[10:46.54]  you've got people sort of you know
[10:47.83]  through that process signing up becoming
[10:49.36]  customers in all of our sort of getting
[10:52.24]  to know each other over the past while
[10:53.82]  one of the things that we talked about
[10:55.81]  once that I was fascinated by was the
[10:57.43]  the conversion tribe yeah how do I join
[11:00.61]  such a tribe and what do they do yeah
[11:03.55]  it's so our product and engineering
[11:07.30]  organizations where we're set up in kind
[11:09.40]  of a hybrid Spotify model which is
[11:11.46]  squads and then Scots squads put
[11:14.41]  together into tribes yeah the conversion
[11:16.42]  tribe is one of the newest product and
[11:19.00]  engineering organizations that we put
[11:20.20]  together that's focused entirely around
[11:22.62]  funnel conversion first use and
[11:26.07]  onboarding customers funnel conversion
[11:28.69]  okay so visitor to the site to signing
[11:31.57]  up okay just signing up for the trial
[11:33.04]  yeah first use meeting they've signed up
[11:34.93]  for the trial and out doing something in
[11:36.40]  the trial yep okay and then what was the
[11:38.11]  other part and then just onboarding
[11:39.79]  making sure that they value across the
[11:41.71]  product okay they might need to see okay
[11:43.72]  that value okay and so prior to that we
[11:46.63]  had each of the teams that was working
[11:48.46]  on a different part of the product was
[11:49.72]  asked to be thinking about that right
[11:51.22]  think about what the first use of this
[11:53.62]  feature whatever it might be right and
[11:56.01]  you know we didn't okay job with that
[11:58.09]  but when we started putting a team that
[11:59.83]  was responsible for nothing but that and
[12:01.57]  making sure that that onboarding and
[12:02.89]  first juice was incredible
[12:04.96]  that's when we started seeing really
[12:06.16]  good results and who's in that tribe is
[12:08.83]  I think that that model is typically
[12:10.51]  it's like only you know product manager
[12:13.27]  and some developers kind of thing but I
[12:15.43]  when we were talking about it it seemed
[12:17.59]  like I don't know if they were formally
[12:19.18]  in there or like heavily aligned with
[12:20.44]  them but you had like marketing and like
[12:21.94]  some other people in there as well yeah
[12:23.56]  so the the growth tribe is interesting
[12:25.12]  because it
[12:25.51]  straddles marketing a product and we've
[12:28.06]  got people on the team from both
[12:31.21]  disciplines and also stakeholders from
[12:32.92]  both disciplines right so that really
[12:34.48]  isn't interesting and something that the
[12:37.12]  executive team is involved with too so
[12:38.53]  they have kind of like this hybrid
[12:39.58]  mission that is obviously for a company
[12:44.08]  like ours when it's when it's driven on
[12:45.70]  free trials and and that early exposure
[12:48.55]  of the application it's critical and
[12:50.11]  took us probably a lot longer than it
[12:51.91]  should have to put that function into
[12:53.05]  place yeah interesting okay cool so now
[12:55.36]  I want to jump ahead a little bit so if
[12:58.78]  we were to graph your a CV across the
[13:01.75]  whole business from you know your 1 to
[13:05.20]  whatever kind of post product market fit
[13:06.97]  through to today approaching 100 million
[13:10.03]  air are well we would have a like yeah
[13:13.57]  tell me when I when do I stop like so
[13:15.76]  your one word like this it's okay yeah
[13:20.65]  it's and what and so and what and what
[13:23.44]  how like how much of a change overall
[13:26.61]  like from a couple thousand dollar a CV
[13:29.29]  to five thousand or ten twenty like no I
[13:33.22]  mean the so when we first started out we
[13:36.61]  were in a in a category where our
[13:38.41]  competitors were free products free and
[13:41.35]  then had a few dollar a month plan was
[13:43.69]  like that I feel like the typical yeah
[13:47.10]  Twitter just getting used to Facebook
[13:49.24]  there were free tools out there like
[13:50.50]  TweetDeck and Seesmic and HootSuite yes
[13:52.39]  yeah and so when we came out we started
[13:54.58]  price and really low so I would say our
[13:55.96]  ACB back then was probably maybe like
[13:58.24]  200 bucks so two hours a year yeah right
[14:01.66]  yeah 20 bucks a month we priced it
[14:03.34]  incredibly low Wow which haunts us still
[14:07.93]  how does it haunt you still so don't you
[14:11.44]  get a lot of customers you have low
[14:12.64]  prices yeah yeah it's it's it's
[14:14.80]  interesting because at some point your
[14:16.33]  products gonna gonna outpace your your
[14:18.22]  pricing in virtually every scenario I've
[14:21.46]  never talked to a founders you said we
[14:22.93]  we priced too high right it's always
[14:24.88]  that we we kind of started to though as
[14:26.32]  the product is more mature and and also
[14:28.93]  the market they said you know what
[14:30.63]  social is a critical part of our
[14:33.07]  business it's mission-critical across
[14:34.45]  the organization we're gonna take this
[14:35.65]  seriously we need world-class tools yeah
[14:38.19]  so we were anchoring the market that
[14:42.30]  this was not a really valuable tool
[14:44.27]  initially and the reality it was and so
[14:48.21]  over time we've gradually kind of step
[14:49.86]  that up we've cut off the bottom of our
[14:51.42]  of our price interiors and kind of fixed
[14:53.52]  that but we still feel you've cut off
[14:55.56]  the bottom actually so doctors you've
[14:57.12]  gone like raise prices and added
[14:59.10]  functionality and sort of like grown up
[15:00.72]  but you've also chopped off the bottom
[15:02.25]  we have that's fascinating so and now we
[15:05.31]  haven't imposed that on any existing
[15:06.48]  customers we've never forced an increase
[15:08.31]  cool but you can't sign up for those
[15:10.50]  lower level I can no longer get it for
[15:12.00]  nine bucks a month you can't okay you
[15:13.53]  might be able to well meet I'm special
[15:17.13]  but fine okay so that's so that's
[15:20.16]  interesting and I feel the point you
[15:22.02]  made about people acquitting price to
[15:25.26]  value yeah is fascinating it's like when
[15:28.38]  you go in a wine store and you buy a
[15:29.49]  bottle of wine you're like ah you know
[15:30.99]  go to see my buddy Justin he's really
[15:32.88]  cool like I gotta buy a $30 bottle wine
[15:35.37]  right I would never buy you a nine
[15:36.99]  dollar bottle of wine but in reality
[15:38.52]  like you know if you tasted those there
[15:40.65]  may not be a difference between the nine
[15:41.91]  dollar one it's actually even better
[15:42.87]  right yeah it's like that acquitting
[15:44.58]  price to value we saw that in like
[15:46.89]  during the product market fit sort of
[15:48.87]  Faisal HubSpot I remember pitching my
[15:51.18]  other sort of head of marketing friends
[15:53.07]  and you go through this whole page why
[15:55.23]  it was awesome and all the things were
[15:56.46]  great great product here's why I should
[15:58.14]  use it the vision of inbound and all
[16:00.03]  these things and then they'd be like
[16:01.65]  okay like how much is it and we'd be
[16:02.94]  like it's 2 or $50 a month and they
[16:05.19]  would kind of look and be like well like
[16:06.99]  what's wrong with it
[16:07.86]  yeah right because they were expecting
[16:09.39]  like a thousand two thousand three
[16:11.01]  thousand a month you're expecting these
[16:12.21]  really really big high prices yeah
[16:13.98]  and it's it's funny because if you
[16:15.30]  talked to a really small business that
[16:17.37]  wasn't meant your back didn't have a VP
[16:18.99]  of Marketing and they were like Oh 250 a
[16:21.12]  month like oh geez I don't know it's so
[16:22.47]  expensive what are we gonna do yeah it's
[16:24.36]  just that mindset of there's different
[16:25.56]  buyers like a 10 person company versus a
[16:27.30]  30 person company there can be like
[16:29.04]  vastly different sort of price
[16:30.69]  elasticity yeah
[16:31.71]  and it sounds like you guys found the
[16:32.91]  same thing and you've just been like
[16:33.87]  chopping off the bottom adding at the
[16:35.13]  top yeah to drive that ACV up over time
[16:37.44]  we have and even still right so I think
[16:40.92]  even our lower end customers now they
[16:43.20]  convert more at the higher dollar plans
[16:45.27]  they're seeing the value and and that's
[16:47.31]  something that we watch to give us
[16:48.36]  indicators on how we're priced but even
[16:50.52]  still if you think about we've got small
[16:52.08]  businesses we've got large enterprise
[16:53.72]  there is a portion of our customers
[16:56.22]  where we're priced well and there is a
[16:58.11]  portion of our customer base where we're
[16:59.58]  still way under priced yeah so who are
[17:01.56]  you way under priced for way under
[17:03.18]  priced for so I'm gonna say Enterprise
[17:05.87]  generally but the reality is it doesn't
[17:08.34]  have as much to do with the business
[17:09.51]  size as a sophistication of their needs
[17:10.98]  okay right so there are companies that
[17:13.86]  might fall into SMB or mid-market
[17:15.27]  depending on your on the way that you
[17:16.98]  categorize them that have really
[17:18.39]  sophisticated needs of our product and
[17:21.14]  we're under priced and and we would get
[17:23.37]  into situations where we'll go
[17:24.93]  head-to-head in these bake-offs with
[17:26.43]  with solutions that are half a million
[17:27.96]  bucks we've come out the other end
[17:29.61]  winning yeah and then they look at the
[17:31.89]  pricing and say you know this this the
[17:34.20]  the buyer would get spooked or whatever
[17:36.03]  it happened and so we've we've made
[17:38.85]  strides against that it's something that
[17:40.05]  we're still kind of dealing with it's
[17:41.61]  it's also hard those situations because
[17:43.41]  the company that's charging half a
[17:44.67]  million bucks can afford to have a sales
[17:47.16]  rep that's taking the chief whoever
[17:49.95]  officer out golf in stakes at Morton's
[17:52.86]  and all that stuff right yep because
[17:54.36]  they're gonna get $500,000 the end of
[17:55.86]  the deal yeah you've got an inside team
[17:57.48]  that you know can send them a picture of
[18:00.21]  a stake Instagram or something right
[18:02.13]  it's like there's a different you know
[18:03.87]  thing going on there and a lot of like
[18:05.25]  that and it's it's it's like matching
[18:07.32]  your pricing to sort of the buying
[18:09.12]  process that some of those companies
[18:10.50]  fascinating yeah yeah so I'm out so I'm
[18:12.66]  at cyber reason now our average deal
[18:14.58]  size is like 25 times higher than
[18:17.01]  HubSpot yep we've got field sales reps
[18:19.14]  there's steak dinners there's golf
[18:20.43]  there's all that crazy stuff
[18:21.66]  yeah but then at the end it spits out
[18:23.37]  deals that are you know six to seven
[18:25.38]  figures yep and so like you can afford
[18:27.09]  it but it's definitely like a totally
[18:28.29]  different world yeah so and you're right
[18:30.78]  it's kind of it's almost like you're
[18:32.16]  like we won the bake-off we're priced
[18:34.89]  way less like what is the problem yeah
[18:37.56]  and some buyers just get spooked by yeah
[18:39.24]  yeah yeah that's fascinating interesting
[18:41.58]  okay so with that rise in ACV I feel
[18:45.09]  like the other kind of topic we should
[18:47.37]  definitely dive into it spend some time
[18:48.66]  on that is like the big knock on anyone
[18:51.30]  who goes into SMB right is turn yeah
[18:54.96]  right oh my god the SMB like you know
[18:57.56]  you'll never make it work the churn is
[19:00.21]  too high they all go out of business
[19:01.56]  they cancel it's like so hard
[19:04.52]  but you guys have crushed it there yeah
[19:07.47]  so like what's the what's the secret how
[19:09.54]  do you conquer turn so you know when we
[19:12.81]  think about churn and and and this is
[19:14.40]  true for any segment but well we'll kind
[19:16.65]  of start with the SMB and and naturally
[19:18.44]  most of our turn comes from the SMB
[19:20.52]  segment as you would expect for for
[19:22.89]  natural reasons meaning so because so
[19:25.71]  the smaller companies have higher logo
[19:29.07]  churn correct and actually in aggregate
[19:32.43]  they tend to have higher revenue turn as
[19:34.71]  well okay there's just more of them that
[19:37.65]  and in our case a lot of times it's
[19:39.75]  they're not committed to the problem
[19:42.57]  right
[19:43.47]  they're trying some tools but they're
[19:44.88]  not committed or you have the normal
[19:46.32]  reasons they go out of business
[19:47.37]  etc whatever it might be but the thing
[19:50.25]  that we focus on related to churn and
[19:52.77]  this this was really important in
[19:55.59]  starting to get our CAC and LTV right so
[19:58.50]  that we knew what we can invest in these
[19:59.97]  segments was not chasing the logo turn
[20:04.05]  problem but focusing on growing the
[20:07.26]  existing accounts and so that way you
[20:09.24]  could net out that turn you could have a
[20:10.68]  healthy segment and the the idea behind
[20:13.62]  that is assuming that you've got good
[20:16.38]  customer service
[20:17.48]  if you cross that off the list and then
[20:20.85]  you're still not a good fit for someone
[20:22.29]  whether it's their own reasons or your
[20:24.48]  reasons that's an incredibly expensive
[20:26.52]  and distracting problem to solve yeah I
[20:29.28]  would rather spend that time and energy
[20:31.26]  on the people who were a great fit for
[20:33.54]  and growing those accounts and adding
[20:36.15]  users or upselling or whatever it is and
[20:38.06]  so when we think about turn internally
[20:40.41]  that's that's our focus is let's focus
[20:42.57]  on the people that were a great fit for
[20:43.92]  not cry over the ones that yeah this is
[20:47.43]  fascinating we were talking about this
[20:49.05]  it was like twins separated at Birth or
[20:50.88]  something because you're probably five
[20:53.58]  or so five six into HubSpot we sort of
[20:57.18]  we've been beating her head against the
[20:59.07]  whole tarnish you mostly attacking it as
[21:02.13]  a logo churn issue yeah and I think and
[21:05.25]  I'm it's been 20 years since I took it
[21:07.47]  academics class but there was this thing
[21:09.00]  I believe called the Laffer curve and
[21:10.35]  the idea was that there was sort of like
[21:11.49]  a natural rate of unemployment yeah and
[21:14.01]  it's like hard to ever get employment
[21:15.24]  below like 4% I think there's also an
[21:18.33]  natural rate of logo churn yeah and for
[21:21.15]  SMB it's probably one and a half one one
[21:25.20]  and a half percent per month I don't
[21:26.73]  know what you would that your opinion
[21:27.84]  without be in the enterprise it's less
[21:29.49]  yeah right but there is a natural rate
[21:31.44]  of logo churn depending who you're
[21:32.97]  selling to yeah and you can literally
[21:35.16]  waste time trying to get below that
[21:37.71]  natural rate like trying to get out
[21:39.09]  employment below four percent is kind of
[21:41.28]  a fool's errand even knocked off a tenth
[21:43.02]  of a percent in that super
[21:44.46]  hard/expensive and so what so we didn't
[21:48.18]  like the SMBC like your opinion on sort
[21:50.52]  of what is that natural rate of Turkish
[21:51.96]  I'm sure everyone's like about to write
[21:53.22]  down like don't go past this number yeah
[21:55.32]  I think now this depends on your growth
[21:59.22]  right if if all your existing customers
[22:01.05]  are flat I think you probably can't go
[22:02.88]  beyond maybe a point and a half if
[22:05.37]  you've got some some decent growth
[22:07.53]  within that segment for your existing
[22:08.94]  customers and you know that they're
[22:09.87]  gonna increase in value over time
[22:10.98]  I just mean logo charge so not not the
[22:12.66]  net revenue turn yeah just the logo
[22:14.28]  charge you'd say one and a half percent
[22:15.83]  agree yeah why didn't be a little higher
[22:18.09]  if the businesses are smaller I would
[22:19.44]  yeah yeah I think if and I think they're
[22:22.44]  related though cuz if if if my existing
[22:25.56]  accounts aren't growing I don't want my
[22:26.85]  logo turn to go much over a point a half
[22:28.86]  but I'll take two and a half percent
[22:30.21]  logo churn if my existing counts are
[22:32.37]  gonna grow at 40 percent cuz it'll it'll
[22:34.71]  net out well does that make sense yeah
[22:36.03]  yeah yeah cool
[22:37.26]  yeah I mean the goal is always to have
[22:38.88]  the net revenue retention be hundred
[22:40.47]  percent higher yep right but your point
[22:42.00]  is you can even allow yeah yeah totally
[22:45.24]  agree and so the interesting thing so
[22:46.53]  what hubs what that led to us to make a
[22:47.67]  bunch of changes in how the product was
[22:50.16]  priced effectively and add like some
[22:52.98]  add-ons and things like that over time
[22:54.33]  yeah and it was all that upselling that
[22:56.85]  sort of inside the users had of like
[22:58.17]  focusing on the customers that actually
[22:59.70]  already liked you and could you just get
[23:01.47]  them to spend a little bit more yep and
[23:03.15]  if you look like leading up to IPO it
[23:06.00]  was like net revenue retention if I
[23:07.98]  remember right was sort of like seventy
[23:10.11]  eight percent eighty six percent like
[23:12.39]  ninety-three percent and then post IPO
[23:14.94]  per call it I think it was like four to
[23:16.98]  five quarters later went over a hundred
[23:19.26]  percent yep right yep and I feel like
[23:21.06]  you guys have without revealing your
[23:22.50]  exact numbers and this stuff have sort
[23:23.79]  of seen the kind of same type of
[23:24.99]  progression as you figured out how to
[23:27.09]  get the base to upgrade more like happy
[23:29.58]  customers
[23:30.06]  and and it all came down to what
[23:32.13]  talking about witches stop focusing on
[23:33.63]  the logo turn focus on your existing
[23:35.58]  account growth yeah I think I think
[23:37.59]  that's a really big insight that I think
[23:39.00]  a lot of people sort of miss it's like
[23:40.29]  there's once you start to get to skit
[23:42.15]  like product market fit and sort of
[23:43.47]  finding the scalable model those stage
[23:44.97]  the businesses are different but once
[23:46.53]  you start to scale like don't over
[23:47.91]  emphasize the focus on lower logo
[23:50.61]  cheering yeah yeah unless it's really
[23:53.58]  bad
[23:54.12]  great and then yeah we'll probably fix
[23:56.07]  it well then I mean you're just
[23:58.50]  yeah yeah like you don't have a business
[24:02.04]  so that's different okay so speaking of
[24:06.18]  dropping f-bombs we have a question that
[24:09.06]  you said you should ask this so what
[24:11.91]  have you up yeah so we've covered
[24:15.00]  a couple of them already
[24:16.35]  the pricing yeah early on I mean the
[24:20.70]  quote here is pricing too low we've
[24:22.29]  increased pricing five to six times and
[24:24.63]  it's now it's still too low too low yeah
[24:29.00]  and you know every scenario is different
[24:32.01]  so maybe take that with a grain of salt
[24:33.99]  but in our space anyway it's it's just
[24:37.26]  been the reality and we test and we test
[24:38.67]  and we find you know an interesting
