Title     : Building Consumer Grade Enterprise Products  | SaaStr Software Community
Video ID  : nfI_NuNXSnM
[03:44.05]  aspirational aspect of consumer cool +1
[03:48.34]  - what they said and the only thing I
[03:50.26]  would add is that I also think about
[03:51.91]  consumer as the way somebody purchases
[03:53.95]  your product so if I as an individual
[03:56.83]  can go buy your product then I am a
[03:58.78]  consumer even if your product is maybe a
[04:00.70]  quote-unquote enterprise whereas some
[04:03.43]  other products someone else buys on my
[04:04.96]  behalf and then tells me I need to use
[04:06.55]  it and in terms of consumerization I
[04:08.86]  want that person to choose products that
[04:11.05]  will be easy for me to use and make me
[04:14.11]  actually want to use it versus being
[04:15.58]  shelf where
[04:19.79]  so Bella you mentioned things like VPN
[04:22.53]  and security and mobile are those
[04:27.08]  requirements to being a consumer like
[04:29.58]  product to me I think they are and I
[04:33.87]  think you have to think about depending
[04:35.43]  on the use case that you're trying to
[04:36.63]  solve you have to think about what the
[04:38.31]  experience is like and just Brecht said
[04:39.96]  hey the experience cannot suck right and
[04:42.45]  it's not just about what the interface
[04:43.77]  looks like it's how to actually use the
[04:45.72]  product if something's happening my
[04:48.06]  other co-workers are doing a my notified
[04:50.10]  about that can I go home and complete my
[04:52.65]  work in a secure way that b2b requires
[04:55.29]  but in a very streamlined and easy way
[04:58.05]  from a user point of view so I think
[05:00.12]  that is absolutely a requirement
[05:01.23]  otherwise it breaks the user experience
[05:05.72]  what so thinking about thinking about
[05:12.63]  kind of like the incentivization for
[05:16.62]  companies to build consumer products
[05:18.24]  like so we've talked about what consumer
[05:20.67]  driven products are why why is this
[05:24.00]  important to companies like why should
[05:25.32]  enterprise companies be thinking about
[05:27.21]  this okay built in terms of building
[05:31.14]  building software that's that's a
[05:32.73]  consumer like I think the the most
[05:35.94]  straightforward answer is renewals right
[05:38.49]  so if you have a SAS business your your
[05:41.13]  survival depends on renewals and
[05:43.68]  creating a good experience is really
[05:45.81]  crucial to that right so if someone buys
[05:48.57]  your software and then they find that
[05:50.55]  most of the licenses that they bought
[05:52.35]  are not being utilized or that the teams
[05:55.02]  are not happy with that then you're
[05:56.40]  gonna suffer in terms of renewal you
[05:59.67]  know a lot of the and I think a lot of
[06:01.05]  the challenges end up being that as you
[06:02.91]  have as you get really close to the
[06:05.46]  customer problems and really
[06:06.84]  understanding your customers business
[06:08.64]  you can feel very confident in in the
[06:10.68]  path that you're taking but it's really
[06:13.14]  easy to sort of ignore the person who's
[06:16.17]  actually going to be using the software
[06:17.97]  directly and while you can sort of
[06:20.49]  succeed in the short term in the long
[06:22.08]  term that's going to come back to bite
[06:23.37]  you in the form of
[06:24.32]  less renewal 100% agree with that I
[06:26.84]  think also when it comes to renewal or
[06:29.06]  when it comes to IT leader is looking at
[06:30.62]  their budget the easiest thing to do is
[06:32.30]  cut the product that's not being used
[06:33.95]  and we actually see customers ask us a
[06:36.20]  lot around hey what is my active usage
[06:38.66]  looks like and that matter is now in a
[06:41.12]  b2b just as much in than b2c because if
[06:43.46]  the active usage is not there your is
[06:45.02]  the easiest product to get rid off from
[06:47.15]  your architecture it's not used it's not
[06:50.30]  needed that but it means it doesn't
[06:51.50]  bring any value so I think value being
[06:53.81]  kind of more equated to active use is
[06:56.33]  very much of a trend today yeah I think
[07:00.01]  what I saw so from the Dropbox
[07:02.39]  perspective what you see from a
[07:03.86]  consumerization of an enterprise product
[07:05.69]  is you have that expand and then land so
[07:08.33]  everybody loved using Dropbox and then
[07:10.01]  they brought it into their office and
[07:11.30]  then it was super easy to tell the IT
[07:13.34]  person hey nine out of ten of us are
[07:16.16]  using this why don't you just buy it and
[07:17.60]  then you could actually have admin
[07:18.77]  controls so it made a lot of sense
[07:20.93]  in that in that world and then on the
[07:23.39]  CrunchBase side of things we have we see
[07:25.97]  like sales people are using CrunchBase
[07:27.80]  pro our individual product and part of
[07:31.37]  the time the sales people don't want
[07:32.54]  other people know they're using it
[07:33.89]  because it's a way that they could get a
[07:34.94]  leg up on the other sales people on the
[07:36.35]  team the other part of the time they're
[07:38.18]  more collaborative and they want their
[07:40.64]  sales ops person to bring in the more
[07:42.56]  enterprise product so that everybody on
[07:44.18]  the team can be benefiting from it so
[07:45.74]  it's it's part of that right so I want
[07:48.05]  people to use that people want to use it
[07:49.64]  because it makes them better at their
[07:50.69]  job and I just don't know if I've ever
[07:52.25]  met somebody who was like you know what
[07:54.08]  I love this super complex tool that I
[07:57.80]  have at work that I could never use in
[08:00.20]  my personal life and I just wish I had
[08:02.09]  more of that yeah so you guys are all
[08:08.53]  innovators in in very unique ways in
[08:12.38]  this area so Bella you founded the the
[08:15.86]  growth team I was up box with you when
[08:18.23]  when you were going through that Craig
[08:21.80]  as a when you were the chief design dude
[08:25.22]  at Salesforce you were leading
[08:27.22]  Salesforce one and pulling together like
[08:29.36]  all of these different teams and and
[08:32.81]  SHINee you know you've been at Dropbox
[08:35.18]  and other companies that are
[08:36.50]  kind of growing in these areas I'd love
[08:38.09]  to hear from each of you what challenges
[08:40.76]  did you face in sort of like pioneering
[08:43.97]  you know these pioneering these areas
[08:46.64]  did you you know did you have trouble
[08:49.04]  getting funding did you guys you know
[08:50.99]  how Pat how do these things become
[08:52.49]  important at these companies let's start
[08:56.33]  with SHINee so I think using I've worked
[09:01.01]  at Nvidia which sold through the channel
[09:02.90]  and Dropbox which was self-serve and
[09:04.58]  direct sales and now CrunchBase which is
[09:06.26]  both as well and I think for a lot of
[09:09.47]  people their fear about consumer izing
[09:12.35]  is whether or not the customers will
[09:13.94]  trust them enough to buy it and that was
[09:16.34]  really the big concern at Dropbox was
[09:17.96]  yeah sure we have a lot of individuals
[09:19.82]  who are using Dropbox but is their CIO
[09:21.92]  gonna trust us enough to bring us in and
[09:24.26]  what we saw was the CIO wants to bring
[09:28.10]  in whatever the heck is going to
[09:29.78]  actually get used so that was an easy
[09:31.85]  sell there and on the CrunchBase side
[09:34.25]  it's more about how do we build the
[09:38.30]  thing that solves the problem that
[09:39.68]  people need and how do we build it in a
[09:42.05]  way that they are gonna want to do it
[09:44.33]  and if we build it super complicated
[09:46.22]  they're not going to do it and then it
[09:47.96]  doesn't matter how great the feature set
[09:49.40]  is so really the consideration
[09:51.23]  consumerization came down to are we
[09:53.45]  actually solving the problem better and
[09:55.28]  are we making it super easy for someone
[09:57.35]  to buy it and renew it okay yeah so I
[10:01.61]  think let's see if I look at Salesforce
[10:04.58]  one was a project that started I think I
[10:06.56]  guess is around 2008 I think somewhere
[10:10.70]  around the time that the that the iPad
[10:12.29]  came out and it's kind of a cliche story
[10:15.38]  and that hey we need we need to know
[10:17.57]  what Salesforce looks like on the phone
[10:19.97]  and that was really what that what that
[10:21.56]  project was about how do we get how do
[10:24.38]  we get the the functionality of
[10:25.73]  Salesforce out there in the field and on
[10:27.47]  the phone but there was sort of a bit of
[10:29.78]  an ulterior motive there too which is
[10:31.49]  that that would represent the most
[10:33.74]  modern experience that Salesforce
[10:35.78]  provided which would then create sort of
[10:38.24]  demand for demand for a better
[10:41.09]  experience in the core product which
[10:42.86]  really represented the Lightning
[10:44.63]  experienced effort and so I think it was
[10:46.82]  you know the big challenge is there were
[10:48.77]  initially like
[10:49.42]  where do we start Salesforce is gigantic
[10:51.82]  product and has really really deep
[10:54.04]  functionality do we have a place where
[10:55.57]  we can start and the thing that was
[10:57.28]  great about the phone was that it it
[10:59.05]  afforded us the ability to say there are
[11:00.94]  a hundred things we're not going to do
[11:02.95]  and here are ten things that we are
[11:04.57]  going to do and so we broke it down into
[11:06.40]  a very basic set of functionality and
[11:09.07]  then use that momentum to sort of bring
[11:11.35]  us towards really our core product which
[11:13.87]  was the desktop product so I think it
[11:15.85]  was it was a matter of really needing to
[11:19.00]  build momentum through smaller proof
[11:20.80]  points and then creating that demand
[11:22.90]  that would then carry the organization
[11:24.46]  through to say this is really important
[11:26.41]  and really coming down to our customers
[11:28.36]  saying I love the experience on the
[11:29.86]  phone why isn't the desktop more like
[11:31.36]  the phone and then letting that sort of
[11:33.28]  carry it through we had a really fun
[11:37.27]  journey I was building the gross team at
[11:40.06]  box
[11:40.60]  I think our journey started by asking
[11:42.55]  the question of how does our product
[11:43.90]  grow and it's very clear in a b2b
[11:46.60]  business from a sales point of view how
[11:48.49]  it grows but if you look at it from a
[11:50.11]  user and a product point of view asking
[11:52.30]  that question might not be so trivial
[11:53.82]  especially in a b2b space so having a
[11:57.22]  look at hey if our user activity is that
[12:00.04]  point acts well it how will it get to
[12:02.23]  10x how will it get to 20 X doesn't
[12:04.84]  matter where do we want to be where will
[12:07.51]  it be if we don't do anything additional
[12:09.34]  on a product site and only focus on how
[12:11.98]  we do sales and the way we deliver
[12:13.24]  products today so really looking into
[12:15.79]  where we are today what is the baseline
[12:18.01]  what does gross means for us looking at
[12:21.19]  what is our use cases as a daily use
[12:22.93]  case weekly use case or monthly use case
[12:25.30]  and that's kind of where our
[12:26.62]  conversations started to really
[12:28.00]  understand like hey where are we going
[12:29.26]  to be two years from now if we go in the
[12:31.60]  same trajectory that we do and do we
[12:33.31]  want to be there or not and of course
[12:34.72]  like any other company in the Silicon
[12:36.04]  Valley as soon as he sees the numbers
[12:37.36]  who first question is how I'm going to
[12:38.77]  10x those numbers and so we're starting
[12:40.90]  having a conversation around could we
[12:43.42]  use some of the consumer best practices
[12:45.37]  in order to drive that number and drive
[12:47.26]  the stickiness of the product which
[12:49.03]  means driving user retention the first
[12:51.70]  struggle that we had was can we even do
[12:54.49]  a/b testing in a b2b space I've talked
[12:56.77]  to a lot of other people who have and it
[12:58.87]  has very different
[13:00.42]  fools and summers a little bit more of
[13:02.37]  an uncharted territory I would say can
[13:05.25]  we email our users how do we what's our
[13:07.11]  policy around email notifications as is
[13:10.44]  our users as such or is a customer users
[13:12.84]  and only IT should be able to talk to
[13:14.61]  them do you if you run an a/b test do
[13:17.34]  you tell 80 users about that or do you
[13:19.56]  know it does it actually compromised a/b
[13:21.30]  test so going through the journey of
[13:23.01]  figuring all of these things out
[13:24.53]  iteratively talking to our customers
[13:26.37]  about it and kind of how are we going to
[13:28.98]  think about it was one challenge and of
[13:31.14]  course they as a challenge whenever you
[13:32.46]  certa any new team is you have very few
[13:35.04]  resources and you have to go really fast
[13:36.78]  to prove your wins and that you could do
[13:38.88]  the wins
[13:39.39]  and that whatever we use from a consumer
[13:42.06]  best practices from product development
[13:43.74]  can actually move the metric in a b2b
[13:45.90]  space and so how do you find those quick
[13:48.51]  wins and thinking through where can we
[13:51.36]  start maybe I'll give one example of
[13:53.70]  where we started which works really well
[13:56.43]  as well if you talk to gross teams on a
[13:58.05]  consumer side as well
[13:59.19]  your login experiences and your
[14:00.93]  onboarding experiences if you have a
[14:03.21]  look at the retention curve for hey
[14:05.70]  where do I lose my users in their
[14:07.23]  journey you will find that for most
[14:08.58]  products including b2b products assuming
[14:11.16]  it's the same in your environment as
[14:12.45]  well you lose your users in the first
[14:14.64]  couple of weeks and so how do you really
[14:17.22]  drive that onboarding experience how do
[14:18.93]  you bring them to their aha moment and
[14:21.57]  how do you get users to experience that
[14:23.46]  valley was a really interesting
[14:24.81]  challenge and I think there's a lot of
[14:26.55]  similarities in b2b you as a consumer
[14:28.38]  space in that so we have a lot of
[14:34.71]  founders and CEOs in the audience does
[14:38.28]  anyone have any insight like what come
[14:41.13]  people what can people take like if
[14:42.45]  someone says you know I want to get more
[14:43.77]  consumer Sensibility is there like a
[14:46.29]  first hire or a first initiative that
[14:50.04]  people can think about how does someone
[14:53.07]  how does someone even start I think
[14:57.69]  there are a lot of really easy things
[14:59.10]  you can do if you already have a product
[15:00.75]  you can see if people are talking about
[15:02.55]  you on social media you don't always
[15:05.07]  have to spend thousands of dollars on
[15:06.81]  user research you can that's good too
[15:09.15]  but Twitter is pretty much free
[15:12.08]  and people are really honest with their
[15:13.88]  opinions especially their constructive
[15:15.65]  criticism so it's a great place to start
[15:17.66]  and you don't necessarily need somebody
[15:19.07]  who's a marketer or social media expert
[15:21.50]  you can just run that search right now
[15:23.03]  and I think a lot of times when you're
[15:25.55]  early on in the company you you try to
[15:27.26]  think like haters gonna hate
[15:28.88]  but sometimes haters want to help and
[15:31.60]  there's value in looking at that
[15:33.83]  constructive criticism and and taking
[15:35.42]  you know a real look back inside at the
[15:37.73]  product to say whether or not it they're
[15:40.07]  right I think the the other thing is you
[15:43.46]  can just get on the phone with customers
[15:45.71]  I mean we do that all the time where we
[15:47.15]  will just randomly select people based
[15:49.40]  off of behaviors that they've had in
[15:50.78]  product and give them a call like why
[15:52.94]  did people drop out of our free trial
[15:54.68]  let's call them and ask them and nine
[15:56.72]  times out of ten they're super eager
[15:58.49]  because they're just honored to be asked
[16:00.74]  if people are happy to share their
[16:02.03]  opinion so it doesn't have to be complex
[16:04.40]  it doesn't have to be heavy and yes it's
[16:06.35]  not statistically significant to do an
[16:08.24]  interview with twenty people but it does
[16:10.07]  give you a good sense of where to start
[16:11.66]  I think it actually it's a really good
[16:14.06]  point about just engaging with the
[16:16.40]  customers that you have and I can
[16:18.95]  remember working for a start-up and our
[16:21.77]  customer support rebel sources for
[16:27.20]  information about the challenges with
[16:29.36]  the product and he had a definite knack
[16:32.12]  for sort of turning those negative
[16:34.16]  situations around to positive because as
[16:36.23]  you point out people want to be listened
[16:38.45]  to and they want to help they've
[16:39.83]  invested in the product and they want it
[16:41.27]  to be better whether they've put that
[16:42.89]  money down or whether their employers
[16:44.42]  put that money down they have to spend a
[16:46.49]  lot of time with it right so they're
[16:47.66]  they're very eager to do so I think the
[16:50.69]  other thing too is to take you know find
[16:52.76]  your champions in terms of either the
[16:55.55]  the customers that you're selling to or
[16:57.59]  or the employees inside of that
[16:59.12]  organization and leverage those folks to
[17:01.46]  find other folks inside of the
[17:02.69]  organization that you can you know talk
[17:05.00]  to or you can observe using the product
[17:07.22]  I would say the biggest piece of advice
[17:09.17]  I have is that you should know the users
[17:10.88]  as well as you know the customers and if
[17:13.10]  that's your focus then you'll be in a
[17:14.45]  much much better spot in terms of
[17:16.37]  addressing the
[17:17.88]  of your of your customers and your users
[17:19.47]  i 100% agree is that I think the key
[17:22.11]  thing is really to understand where is
[17:23.70]  that perceived value that users are
[17:25.47]  getting and what is that friction that
[17:27.24]  makes them drop out of the experience
[17:28.94]  actually one of the first things we did
[17:30.90]  kind of similar to maybe Twitter idea is
[17:33.63]  sending out a survey to new users so
[17:36.15]  specifically taking a segment of users
[17:37.77]  who experience the product for the first
[17:39.57]  time what is the perceived value do they
[17:42.50]  like the product for a X or Y and then
[17:46.86]  where do they really think the
[17:48.42]  differentiator is for which makes them
[17:50.52]  continue to say with the product or also
[17:52.38]  what are the different frictions and
[17:53.85]  sometimes depending on the products I've
[17:55.32]  used in the past or they're actually
[17:57.45]  experienced in their customer with the
[17:59.55]  other products I use at the same time
[18:01.83]  for work could also impact that and I
[18:04.38]  think calling up the customers and
[18:05.97]  asking them hey can I do a group study
[18:07.62]  with a few of your customers with a few
[18:09.81]  of your users or even observing the
[18:11.88]  users and if you explain why usually
[18:13.32]  customers always say yes because
[18:15.30]  ultimately you're trying to drive more
[18:16.62]  value for them one thing to add on top
[18:19.83]  of that is when you're only looking at
[18:21.78]  the data user you can have one story but
[18:24.48]  then when you lay on top of that the
[18:26.28]  what the customers saying you can get a
[18:27.72]  completely different story so within our
[18:30.12]  product there was this one pay wall that
[18:32.04]  pretty much was a section of a profile
[18:33.75]  was grayed out with a lock and so we
[18:36.30]  were like we were seeing that a lot of
[18:37.86]  upsells were coming from that locks or
[18:39.75]  like a well the lock is the thing and
[18:41.67]  then that means what's behind the lock
[18:42.90]  is why people want to pay us money and
[18:44.46]  what we found out was no there was just
[18:46.32]  a big chunk of the page that was great
[18:48.03]  out and so they were going to click on
[18:49.59]  whatever was there they had no idea what
[18:51.39]  was on the other side of it and we were
[18:53.49]  just inferring that like what people
[18:54.72]  want is charts because charts are what
[18:56.40]  are grayed out and the reality is they
[18:58.05]  were just like ooh a mystery what's
[18:59.70]  behind this lock I want to see that is
[19:02.76]  so true the first time I built the first
[19:04.35]  onboarding experience it was very
[19:05.73]  similar we actually looked a bunch of
[19:07.44]  quantitative data which will tell me
[19:08.79]  what's happening and what we saw is
[19:10.68]  there was a heavy correlation was like
[19:12.39]  if users do this reactions kind of very
[19:14.85]  similarly to chart if they share they
[19:16.44]  upload a file then they will be
[19:18.69]  magically retained and so we try to do
[19:21.27]  that we game if I did it was beautiful
[19:23.31]  design looks very consumer like and
[19:25.53]  guess what just telling people do this
[19:27.66]  reaction
[19:28.64]  didn't really do anything and when we
[19:30.74]  did the qualitative research and that
[19:32.36]  what we've heard from you is like hey I
[19:33.95]  understand how to upload a file I just
[19:36.47]  don't know what kind of content does
[19:37.91]  even start with and so what would built
[19:39.92]  for quite a few weeks instead would
[19:42.71]  build something very scrappy for one way
[19:44.75]  because I just told you to start with
[19:46.10]  this particular use case and that moved
[19:48.20]  the metrics right away so it's really
[19:49.82]  fascinating to see that and I think you
[19:52.10]  need to really look at both your
[19:53.42]  quantitative data and instrument the
[19:55.61]  product as well as the qualitative data
[19:57.56]  to really understand why the behavior is
[19:59.54]  the way it is
[20:00.26]  I think it's qualitative data is is
[20:04.39]  typically pretty dramatically
[20:06.29]  undervalued and I think the magic of
[20:09.02]  qualitative data sorry qualitative data
[20:12.05]  in combination with quantitative data is
[20:13.79]  that you just get so much more there's
[20:16.94]  so much signal in it right and I've seen
[20:18.92]  just observation of one or two people
[20:20.96]  basically shortcut conversations by like
[20:24.02]  weeks or sometimes months right and so I
[20:27.35]  think it's super important to kind of
[20:29.03]  think of this again as an investment in
[20:31.16]  terms of renewals right how do I get
[20:33.83]  what is the shortest path for me to
[20:35.72]  understand how to get to deep user value
[20:37.99]  and and some of that is going to not be
[20:40.34]  from just looking at the metrics but
[20:42.17]  it's going to be about actually
[20:43.58]  observing two or three or four folks as
[20:45.74]  they use your product yeah and speaking
[20:47.18]  of renewals but sometimes I've been
[20:48.65]  shared that data because you get really
[20:50.24]  useful data and we should we share them
[20:52.25]  with a technology leaders on that
[20:53.42]  company we're like oh my god we're
[20:54.71]  loving this that you a you're very
[20:56.45]  transparent about what you're doing
[20:57.89]  you're involving us so you also making
[20:59.99]  champions along the way yeah which is
[21:01.88]  super helpful so one thing that Craig
[21:07.61]  you mentioned a little bit about earlier
[21:09.05]  is prioritization you know getting laser
[21:10.85]  focus on like the two or three actions
[21:12.74]  you need to take so just to get kind of
[21:15.44]  going into the age-old question how do
[21:19.10]  you balance the end-user consumer
[21:22.76]  priorities with the admin with the admin
[21:25.85]  priorities and you're thinking about a
[21:27.29]  renewal you got your sales team that's
[21:29.21]  like hey you know our three million a
[21:31.91]  hour customer you know wants feature a B
[21:35.48]  and C it's just gonna add a bunch of
[21:37.19]  bells and whistles and then you get
[21:38.45]  you know you're advocating for this kind
[21:40.16]  of consumer grade experience does anyone
[21:41.90]  have any stories you'd like to share
[21:44.36]  about that yeah yeah so let me think
[21:51.62]  about that you know it's always tough
[21:55.13]  that there's a there's a huge sort of
[21:56.66]  balancing act between what the company
[21:59.60]  wants what the administrator wants or
[22:01.34]  the developer wants and what the end
[22:02.75]  user wants and those things are all in
[22:04.28]  conflict with each other a lot right
[22:06.92]  sometimes they're not I think some of
[22:09.23]  the things that tend to work well there
[22:11.81]  in terms of you know my experience at
[22:13.79]  Salesforce one of them is that we
[22:15.59]  developed really deep relationships with
[22:17.36]  our our MVPs and our administrators and
[22:20.15]  helped them understand what their user
[22:22.19]  needs were and so it's almost like
[22:24.56]  there's kind of a back-and-forth
[22:26.02]  education there because we know that if
[22:28.37]  they're able to create and an
[22:31.07]  installation that is that's successful
[22:33.47]  with their users they're going to
[22:34.37]  they're going to stick with us I think
[22:37.93]  the other is you know just making sure
[22:42.35]  that you making sure that you get really
[22:44.72]  close to them exactly what that exactly
[22:47.03]  what that user need is by whatever means
[22:49.22]  you can what as I said before sort of
[22:51.26]  through whether that's through customer
[22:52.76]  service or whether that's through your
[22:53.87]  MVPs but getting down to the sort of a
[22:56.18]  brass tacks of what the where the value
[22:58.04]  is there's more like a Maslow's
[23:00.98]  hierarchy of needs right like if
[23:02.78]  security is at risk number one if that's
[23:05.51]  for the admins great if it's for the
[23:07.34]  end-users great let's do that I think
[23:09.47]  the the I almost think about the admins
[23:12.08]  and the end-users on the same level they
[23:14.03]  just have different needs and so it's
[23:15.56]  kind of like you're creating a product
[23:16.70]  that has two customers within the same
[23:18.80]  company and sometimes it's the same
[23:21.35]  thing but if you if you have an admin
[23:22.88]  that's controlling other users but isn't
[23:24.35]  doing the action that the users are
[23:25.58]  doing then it's just a matter of what
[23:27.62]  what do those admins have to have in
[23:30.41]  order to be successful and you'll never
[23:32.15]  have everything for all of them I'm
[23:33.89]  assuming maybe you have figured out how
[23:35.66]  to have everything
[23:36.45]  all of them good for you or you get some
[23:39.72]  of the stuff that helps him just thrive
[23:41.79]  and then maybe the other group only gets
[23:44.58]  stuff that they survive but you kind of
[23:45.81]  keep teetering back and forth right you
[23:47.43]  give one here it should not be at the
[23:49.56]  cost of the end-user you give something
[23:51.42]  to end-user it should not be at the cost
[23:52.62]  of the admin but either way you know in
[23:55.47]  the startup world you're just trying to
[23:56.67]  get your MVP out there and make sure
[23:58.11]  that the customers can basically do what
[23:59.91]  they need to and then you start
[24:01.38]  optimizing after that if you do have a
[24:03.48]  customer that has mega bucks okay throw
[24:05.85]  them a couple of custom features but
[24:07.62]  ideally you're also looking at what the
[24:09.45]  long tail of your portfolio is and
[24:11.19]  thinking about can any of these features
[24:12.54]  also benefit my other customers yeah
[24:16.44]  I've added to that probably also when
[24:18.27]  you building for the admin and the
[24:19.59]  features that you're building make sure
[24:21.09]  you don't compromise the user experience
[24:22.77]  along the way so especially when it
[24:24.96]  comes to security really think about
[24:26.67]  both personas so it's not necessarily
[24:28.23]  that you're always building for one
[24:29.49]  persona or the other I think in whatever
[24:31.59]  you're building and whatever the your
[24:33.06]  company priorities at a time really make
[24:35.46]  sure that when you're building security
[24:36.81]  for security or when you're building the
[24:38.31]  admin features that you keeping the
[24:40.20]  end-user in mind and you're not
[24:41.70]  sacrificing their experience because
[24:43.62]  ultimately if you sacrifice the
[24:45.36]  experience they won't use the product
[24:46.80]  anymore no matter how secure it is so
[24:48.69]  thinking of both personas at all times
[24:50.70]  is really important so Bella you're
[24:57.59]  primarily a product person
[24:59.49]  Janee your premier primarily a marketing
[25:01.83]  person you guys either now or at one
[25:04.53]  point have had growth in your job titles
[25:07.17]  so we'd love to hear your perspective on
[25:10.05]  in this world where does product end and
[25:12.72]  marketing begin or where does marketing
[25:14.28]  begin and and product begin how have you
[25:17.34]  guys kind of navigated that relationship
[25:19.38]  with companies I think this is a spicy
[25:23.28]  question yeah I got to get some gotta
[25:26.43]  get one spicy quantities spicy and I'm
[25:30.81]  gonna I'm gonna take not an easy way out
[25:33.21]  but maybe like the more marketing a
[25:35.55]  message anyway out I think there's like
[25:37.38]  a triangulation I think there are three
[25:39.68]  magnetic
[25:41.04]  that you're trying to find a happy
[25:42.54]  medium between one part is what does
[25:45.63]  your customer want and then that really
[25:48.57]  comes from your customer facing teams
[25:50.25]  which are likely going to be customer
[25:52.20]  support and marketing they're either
[25:53.82]  researching your customers or talking
[25:55.44]  directly to your customers so they have
[25:57.06]  one really important data point then you
[25:59.31]  have what your vision for what the
[26:01.23]  future could look like from a product
[26:02.76]  perspective and that's typically coming
[26:04.50]  from the product team or a specific
[26:06.66]  executive who's thinking like this isn't
[26:08.73]  what the world looks like today but it
[26:10.17]  should tomorrow and then there's the
[26:12.30]  team on the engineering the product in
[26:14.34]  the design side that can actually tell
[26:15.78]  you here's what we're capable of doing
[26:17.28]  with the people and the tools that we
[26:18.93]  have available to us and you try to find
[26:21.03]  your way between all three of those to
[26:23.07]  come up with what a roadmap would look
