Title     : Where is Venture Today?  And How Do You Hack It?  A Deep Dive w/ Sunil Dhaliwal, GP Amplify Partners
Video ID  : 8w6K7slhLX4
[04:04.72]  that's probably 55 like this is the only
[04:06.40]  deal you're going to do the whole fund
[04:09.92]  to go do that round but what we always
[04:12.64]  wanted to do is say
[04:14.16]  we're a series seed and series a firm
[04:17.04]  you know when we're going to show up and
[04:18.24]  write these checks that over time are
[04:20.16]  going to be
[04:20.72]  you know 2 million 10 million whatever
[04:23.20]  then you start to think about having
[04:24.64]  50-ish million dollars to deploy over
[04:26.64]  the course of two and a half three years
[04:29.12]  as probably a more rational number and
[04:31.52]  you know when you're talking about cdna
[04:33.12]  investors for us that felt right for
[04:35.36]  other people that are maybe micro funds
[04:36.96]  that seems like
[04:37.84]  a ton of money to manage for a human and
[04:39.68]  for people that are
[04:41.04]  maybe more abc investors they might go
[04:44.40]  like oh i could go through 55 million
[04:46.00]  bucks in a year
[04:47.52]  um so it kind of depends on the strategy
[04:50.16]  yep well let's just press on one thing
[04:51.76]  on that so let's say i'm a founder
[04:53.60]  let's say i want to raise a million or
[04:55.60]  two million or three million dollars and
[04:57.04]  those are more different than they sound
[04:58.40]  right they could be stage dependent
[05:00.64]  is so now let's just break this down for
[05:02.48]  a minute is a fif is a
[05:04.24]  and your first fund was fun was 50
[05:05.76]  million 49.9 for one to three million
[05:08.48]  is a 30 million dollar fund too small
[05:11.68]  is 375 too big so the interesting
[05:13.84]  learning for founders is 375 is not too
[05:15.68]  big
[05:16.16]  right and why what's when is uh how do i
[05:19.04]  know how to do those boundary conditions
[05:20.48]  when a fund's too small
[05:21.84]  or too big to raise x millions i'll do
[05:24.40]  the i'll do the
[05:25.04]  i'll do the quick fact clarification
[05:27.04]  just to make sure right and i'll jump
[05:28.72]  back so
[05:29.52]  our fourth fund is 275. and we raised a
[05:32.96]  separate vehicle alongside of it that's
[05:34.72]  another 100 million but that can
[05:36.72]  only be we only use that to do growth
[05:39.68]  investments in our existing portfolio
[05:42.00]  yeah but i'm as a founder i don't care
[05:43.52]  375 but i'm with you the main
[05:46.16]  for inside baseball it's a big
[05:47.36]  difference it's 275 and 100
[05:49.92]  extra money for the winners right for
[05:51.52]  the next day to dog and so to that end
[05:53.44]  you could say look if i got a billion or
[05:55.12]  a hundred or fifty
[05:56.24]  why do i care as a founder the thing i
[05:58.08]  care about as a founder
[05:59.44]  is how me your two things one is how
[06:02.00]  meaningful
[06:03.12]  is this check gonna be to that firm and
[06:05.92]  i always
[06:06.48]  i always tell people to be really
[06:07.84]  skeptical of the 2 billion
[06:10.32]  5 billion pool of capital that's like
[06:13.68]  we can give you a million bucks they can
[06:16.40]  and if what you're looking for is money
[06:18.00]  to literally write you a check and get
[06:19.28]  out of your way
[06:20.16]  that's a really good setup right
[06:22.32]  friction could be low they might not
[06:23.84]  give a they're not going to spend
[06:25.04]  any
[06:25.60]  time paying attention to you but if
[06:27.68]  you're looking for engagement
[06:29.28]  that might not be the right strategy in
[06:31.44]  most cases our experience it is
[06:33.04]  absolutely not the right strategy so
[06:35.28]  i think there's this engagement
[06:36.72]  continuum where you have to understand
[06:38.56]  how material
[06:39.84]  a check is going to be to that firm
[06:42.40]  you're taking money from
[06:43.60]  and if it's not that material you should
[06:46.08]  think carefully
[06:47.28]  um you also should think carefully if
[06:49.36]  like hey is this the biggest thing
[06:51.12]  you've ever done
[06:52.00]  like if we hit a single hiccup are you
[06:53.84]  all going to freak out because like the
[06:55.76]  entire
[06:56.80]  outcome of your firm is riding on our
[06:59.52]  one and
[07:00.48]  you know there's a there's a balance um
[07:02.96]  so i'd say that whole thing is
[07:04.32]  is one continuum to look at is the how
[07:07.04]  how well
[07:07.60]  sized am i from a criticality the other
[07:10.64]  thing to think about and this is
[07:12.16]  inside baseball that's really important
[07:14.16]  is you should
[07:15.84]  understand what that investor's posture
[07:19.12]  is
[07:19.44]  on following on right because if i'm
[07:22.00]  just doing 275 million dollar fund for
[07:24.88]  seed round
[07:25.60]  and a round deals you might go like man
[07:28.40]  if you're only writing three million
[07:29.52]  dollar checks or four million dollar
[07:31.04]  checks on
[07:31.68]  average does that mean you're really
[07:33.84]  going to do 90 deals out of this fund
[07:35.84]  and the answer is absolutely not
[07:37.20]  like that's not how we do it because we
[07:38.96]  reserve really aggressively
[07:40.88]  and want to drive in more money and b's
[07:42.88]  and c's and d's and whatever
[07:44.72]  we put a lot of money into our companies
[07:46.48]  over time as is our design
[07:48.88]  yep and that changes the math too and
[07:51.36]  you've got to know that about your
[07:52.56]  investor to think about how you should
[07:54.40]  or shouldn't be counting on them for the
[07:55.84]  future
[07:57.12]  let me ask you one follow up on that
[07:58.80]  because i think it's an interesting
[07:59.76]  thing for founders think about
[08:00.80]  so you talked about in essence how much
[08:03.04]  risk a fund would be taken on your
[08:04.24]  investment right if it's a token amount
[08:05.60]  of the fund they're going to leave you
[08:06.56]  alone but they're not going to help
[08:07.76]  that's true
[08:08.40]  right and if it's too much it could it
[08:10.56]  also can be
[08:11.44]  can create some stress right what about
[08:13.92]  as someone who's gone from
[08:15.52]  your own a solo gp fund in 2012
[08:18.56]  to a team how does a founder think about
[08:20.80]  a new partner
[08:22.00]  right because on the one end it's
[08:24.00]  exciting and what i see a lot today as
[08:25.68]  founders often bond with a new font
[08:27.36]  partner i just came out of stripe i just
[08:28.88]  came out of datadog i came out of fastly
[08:30.96]  i'm an engineer i love the guy that was
[08:32.64]  the cto of fastly who
[08:34.08]  have been making it up i want him right
[08:36.16]  or her
[08:37.36]  and yet what if it's their biggest check
[08:40.00]  like there's pros but there's how do i
[08:41.92]  decide do i want
[08:43.52]  if i could pick do i want the more
[08:45.28]  experienced partner or the new partner
[08:46.64]  what are the trade-offs there
[08:47.68]  the honest trade-offs i think that's
[08:50.16]  going to be very
[08:51.12]  firm specific and and i don't want to
[08:54.08]  hedge too much
[08:55.44]  i think i think you are right one of the
[08:57.36]  issues you're pointing out is
[08:59.20]  um hey people who are maybe newer in
[09:02.16]  their career
[09:03.04]  don't get all the latitude that people
[09:05.36]  who are more senior in their career
[09:07.20]  or maybe more senior in a firm have
[09:10.32]  yeah when things are going you know
[09:13.60]  not as great as they should you know
[09:15.68]  there there may be a shorter
[09:17.28]  a shorter rope so to speak and that's
[09:20.96]  very reasonable and it's real right i
[09:22.80]  think there's a lot of
[09:24.40]  great investors that are learning what
[09:26.16]  they're doing and
[09:28.32]  but they kind of don't have the full
[09:30.32]  trust and credibility to do
[09:31.68]  everything on their own and to some
[09:33.76]  people that's a
[09:34.96]  that can be a risk to manage um
[09:38.08]  as you pointed out sometimes and we
[09:40.16]  believe this deeply right i believe our
[09:42.72]  amplified single graded greatest asset
[09:44.88]  is that
[09:45.92]  sunil and mike have zero monopoly on the
[09:48.32]  truth and we actually believe that our
[09:49.92]  younger people are
[09:50.96]  far better at spotting new stuff and
[09:53.52]  avoiding the perils of pattern
[09:55.20]  recognition that will like
[09:56.80]  make me a dinosaur sometime you know
[09:59.44]  relatively soon
[10:01.60]  and by that that's like 10 years not two
[10:03.44]  years but
[10:06.16]  that matters and so there's a balance
[10:07.84]  there right the people who are going to
[10:09.28]  be believers and see around corners they
[10:11.52]  they may not have all the scar
[10:13.20]  tissue from from 20 years of doing this
[10:15.84]  and that's
[10:16.48]  valuable like that can be your best
[10:18.08]  friend as a founder but
[10:19.76]  you know there is this trade-off the the
[10:21.68]  thing where i'd say it's firm specific
[10:23.44]  though
[10:23.92]  is um you know there are certain firms
[10:27.52]  that run things different ways
[10:28.96]  um amplify doesn't have attribution for
[10:32.24]  deals
[10:32.96]  we we refuse to focus individual track
[10:36.72]  records out to our lps
[10:38.32]  100 of our economics are
[10:41.44]  you know shared meaning not that every
[10:43.60]  person has the same compensation in the
[10:45.52]  fund
[10:46.00]  but it's not that if your deal does
[10:48.00]  better than my deal
[10:49.20]  in given fund that you're gonna get you
[10:51.68]  know
[10:52.40]  juiced up and i'm gonna get juice down
[10:54.64]  we create a lot of incentives so that
[10:56.64]  we have to win or lose together and
[10:59.84]  people that do that really well
[11:01.44]  i think what you're going to find is is
[11:02.96]  you kind of get the support
[11:05.28]  of the organization rather than the
[11:07.12]  support of an individual
[11:09.04]  i think founders can figure this out
[11:11.36]  when they're going through deal
[11:12.64]  processes
[11:13.68]  right if you ever have a partner who's
[11:16.72]  like
[11:17.36]  okay great i really like this i'm gonna
[11:19.28]  take you in to meet my partnership
[11:21.36]  i need two hours with you before that
[11:23.36]  meeting and i'm gonna tell you who's who
[11:25.84]  and like which person's gonna fall
[11:27.12]  asleep and which person isn't going to
[11:28.96]  get it
[11:29.44]  and like how you're going to stage
[11:30.72]  manage all these individuals
[11:32.56]  i always walk away from that going like
[11:34.56]  oh this is really clear you're on your
[11:36.32]  own and these people are just obstacles
[11:38.24]  to be overcome
[11:39.36]  you will never talk to them again in
[11:40.80]  your life they will never know who you
[11:42.88]  are they might not even recognize you at
[11:44.48]  the holiday party
[11:45.92]  that's a good signal that you really
[11:48.00]  need to be focused on
[11:49.04]  who's my sponsor and like how much do i
[11:52.64]  trust them
[11:53.84]  and other organizations you're like yeah
[11:56.80]  i've had four meetings i've met
[11:58.16]  literally everybody and like
[11:59.84]  i get random intros from this person and
[12:01.76]  this person is telling me that they
[12:03.52]  kept me it feels a lot more or
[12:09.68]  better signal that you're not kind of
[12:11.68]  solely putting your chips on an
[12:13.20]  individual
[12:14.08]  um but it is hard to figure that out
[12:16.80]  without a little bit of effort as a
[12:18.16]  founder
[12:19.20]  yup uh so let me just summarize and
[12:22.48]  let's let's talk about fundraisings i
[12:23.76]  can covid
[12:25.44]  forget about amplify but industry-wide
[12:27.12]  cause you deal with this with your
[12:28.00]  portfolio would you rather have
[12:30.72]  um a seasoned partner that can lose the
[12:34.00]  money
[12:34.48]  listen you've got a pretty good track
[12:35.68]  record you can write you don't want to
[12:37.28]  but you could write off a 10 million
[12:38.40]  dollar investment it's not going to sink
[12:39.76]  you personally right
[12:40.88]  you're you're up i think once a
[12:42.32]  partner's up nine figures or more
[12:44.64]  you can write off five percent ten
[12:46.64]  percent and like maybe they're cross
[12:48.08]  funds but
[12:48.72]  but it's okay would you rather have that
[12:50.96]  person not you but that exp
[12:52.64]  but that maybe is skiing a little bit or
[12:54.80]  used to be skiing before covet or is
[12:56.56]  less available or would you
[12:58.00]  rather have the up and comer that maybe
[12:59.84]  will will even found their own amplified
[13:02.24]  like it's possible these days which one
[13:04.00]  would you just for fun binary which one
[13:05.92]  would you pick today
[13:07.36]  yeah so i i i'll give you the answer and
[13:09.68]  then i'll give you the rationale i would
[13:11.12]  always take
[13:11.92]  column b the up-and-comer the the
[13:14.16]  up-and-comer
[13:14.96]  but yeah but it's not because they're
[13:16.16]  the up-and-comer i think that's a little
[13:17.92]  bit of a false choice what i think is
[13:20.40]  inherent what you're asking is
[13:22.80]  would i take the person that i love and
[13:24.88]  really want to work with because i
[13:26.16]  believe in them and they believe in me
[13:27.84]  or would i take the safe choice that i
[13:29.68]  think like i'm going to manage some risk
[13:32.32]  and i'm going to align with what i
[13:33.92]  believe to be the most powerful
[13:36.08]  individual i think that's a losing game
[13:38.80]  i think that's a good insight take the
[13:40.16]  believer over the power
[13:41.84]  the power center right if you're an
[13:43.52]  early stage company
[13:44.96]  at the end of the day is you need
[13:46.56]  someone who will work their ass off and
[13:48.56]  irrationally believe
[13:49.76]  at the same time and i don't think
[13:51.52]  there's a more powerful combo when you
[13:53.60]  get
[13:54.00]  that individual on your side um
[13:57.68]  they will be there too like a good
[13:59.52]  investor will be there to buck you up
[14:01.28]  personally when things look horrible
[14:03.12]  they will remind you why they put their
[14:05.04]  ass on the line
[14:06.16]  and their money at risk to believe in
[14:07.84]  you they will
[14:09.44]  fall asleep thinking about your company
[14:11.92]  and wake up thinking about your company
[14:13.76]  and hopefully not in a bad way
[14:15.12]  in a good way like that all comes with
[14:17.44]  someone who is a passionate believer and
[14:19.68]  so
[14:20.40]  i would strike up-and-comer but i would
[14:22.72]  replace it with like
[14:24.16]  would i rather that person who's just
[14:25.84]  all in on me and my company
[14:27.92]  i personally would take that every time
[14:30.08]  because i think that at the early stages
[14:31.92]  of a company that is
[14:33.04]  literally what matters yeah maybe even
[14:35.68]  later because when cap becomes more
[14:37.20]  fungible maybe i do want the one that
[14:38.56]  wants it the most but it's a good
[14:39.92]  insight right
[14:41.28]  i actually i think when this is a maybe
[14:43.44]  a broader conversation and how one
[14:44.80]  raises capital and what's the value of
[14:46.72]  different capital at different stages
[14:48.72]  obviously if you can get the whole
[14:49.84]  package right they're the most senior
[14:52.08]  person with the biggest stick
[14:53.68]  and they've got like 8 billion twitter
[14:56.16]  followers and a cult following
[14:58.32]  you know around the industry and they
[15:01.44]  are absolutely irrational believers in
[15:03.28]  what you're doing and want to make you
[15:04.48]  successful like
[15:05.44]  that's a great combo to have but when
[15:07.28]  you're if you're making trade-offs
[15:09.28]  i think the place where you make
[15:10.88]  trade-offs
[15:12.56]  away from irrational belief and into
[15:14.88]  some of those other things
[15:15.84]  it's easier at the later stages of a
[15:17.68]  company when you're like i got my
[15:19.36]  business
[15:20.00]  i know what i do and we need to focus on
[15:22.72]  scaling and executing
[15:24.72]  in ways that it's going to take my team
[15:26.56]  doing it
[15:27.84]  not you doing it and what i really need
[15:30.40]  is the capital
[15:31.36]  right i always i always say like the
[15:33.60]  capital you care the least about
[15:35.68]  is the person who buys all your shares
[15:37.60]  the day you sell your company
[15:39.12]  like you don't really care who that
[15:41.12]  human is like you care about the price
[15:43.92]  when you're doing like a follow-on
[15:45.84]  offering in the public market
[15:47.52]  you know you care a little bit right
[15:49.28]  like you don't want them to be
[15:50.96]  someone who's gonna stick their nose
[15:52.96]  into your business and screw it up and
[15:54.24]  maybe when you allocate ipo shares you
[15:56.16]  care a teeny bit
[15:57.36]  more because presumably they're longer
[15:59.20]  and you know you keep tracing that
[16:01.04]  continuum back
[16:02.32]  to the earliest stages at the earliest
[16:04.64]  stages you've got to care the most
[16:06.08]  they're going to be closest to you they
[16:07.84]  will have an outside
[16:09.44]  influence over the life of the thing and
[16:12.00]  so
[16:12.72]  yeah i would always be going man really
[16:15.44]  go for the believer
[16:16.96]  early really get that person who's just
[16:19.36]  all in on you
[16:20.32]  and your idea and is just gonna gonna go
[16:22.96]  for it with you
[16:24.00]  whereas in a later stage you know
[16:26.48]  capital will
[16:27.44]  look just more like capital and you know
[16:29.76]  the further out you go that becomes more
[16:31.76]  true and there's certainly a continuum
[16:33.60]  but i i do believe that i've and i've
[16:36.00]  that's been informed by a lot of
[16:37.20]  experience
[16:38.24]  yep well let's transition for a minute
[16:40.32]  about a topic that i'm
[16:41.36]  i'm confused about even though i've seen
[16:43.12]  it is what
[16:44.56]  is fundraising really like during covid
[16:46.96]  um and we were chatting before
[16:48.88]  certainly it's hyperactive right deals
[16:50.96]  are getting done faster than ever
[16:52.72]  they're getting done at zoom i actually
[16:53.92]  think they're getting done with less
[16:54.96]  diligence
[16:56.16]  not no diligence but you don't have the
[16:58.08]  four weeks of in-person meetings they're
[16:59.76]  getting done in days we have a joint
[17:01.68]  investment that was a sleepy company
[17:03.68]  before that got four term sheets in days
[17:06.40]  and it's happened again and again i can
[17:08.88]  but um
[17:09.60]  but i also and i want to hear your
[17:10.88]  thoughts but what i also see when i look
[17:12.64]  at the hyper investment in my portfolio
[17:14.56]  which is smaller than yours
[17:15.68]  i also don't see a lot happening with
[17:17.44]  folks they never met before with
[17:19.12]  companies they haven't heard of unless
[17:21.28]  they're tiny checks right tiny checks at
[17:22.96]  demo days fine
[17:24.00]  throw the money in but is it is it
[17:26.56]  easier for
[17:27.68]  the well-known and the hot and harder
[17:29.52]  for the rest how do you break into
[17:31.28]  funding today
[17:32.88]  in in the in a global pandemic dude what
[17:35.20]  do you think on these topics
[17:36.56]  yeah i'll give you some observations
[17:38.00]  about what i've seen and then maybe we
[17:39.36]  can circle back and talk about
[17:41.28]  what i would do if i was a founder
[17:43.68]  exactly
[17:44.96]  what have i seen right out of the gate
[17:47.92]  everybody stopped
[17:49.20]  right yeah everything just stopped and i
[17:51.20]  think every one of us that had lived
[17:53.20]  through 2001 and 2002
[17:57.44]  uh you know 2000 2001 and then again
[17:59.84]  live through
[18:00.72]  oh 809 you know we immediately pulled
[18:03.52]  out our playbooks and we're like here it
[18:05.04]  is
[18:05.36]  this is the downturn this is how you do
[18:08.00]  it cut everything
[18:08.96]  the world's over and and like always i
[18:12.16]  think what we learned is
[18:13.20]  is that every adjustment correction
[18:15.68]  problem is different than the last one
[18:17.68]  like there are some lessons to learn
[18:19.28]  but for the first few weeks nobody did
[18:22.64]  anything
[18:23.44]  everyone was just like prices are going
[18:25.12]  to come down things are going to get
[18:26.56]  difficult rain our cash in focus on the
[18:29.04]  portfolio and that happened
[18:31.28]  and then there was this next phase where
[18:34.08]  a bunch of people and amplify was
[18:35.92]  included we raised a very small
[18:37.68]  opportunistic vehicle
[18:39.12]  um you know it was big enough to go do
[18:42.40]  five or six deals where we looked at our
[18:44.72]  existing portfolio and said
[18:46.72]  these are all great companies all of
[18:49.28]  these companies
[18:50.08]  probably have management teams that are
[18:51.52]  a little bit more defensive
[18:53.12]  and want to have more runway and we
[18:55.52]  normally wouldn't have opportunities to
[18:56.96]  give them capital
[18:58.32]  in any normal environment because it
[19:00.00]  would be outside investors pushing in
[19:01.84]  and they don't want to take the dilution
[19:03.36]  and we just showed up to five or six
[19:04.96]  companies and said if you can take more
[19:07.28]  if you
[19:07.76]  we got it for you and we close five or
[19:10.40]  six inside deals in a very short
[19:12.16]  period of time that speaks to what
[19:14.16]  you're talking about which is if you
[19:15.52]  know them
[19:16.40]  right if you have that relationship and
[19:18.08]  you have that belief and you have that
[19:19.36]  trust both direction
[19:20.48]  yep deals got done and and people you
[19:23.52]  know people
[19:24.00]  in the market encourage wanted capital
[19:26.16]  and people who are having capital
[19:28.08]  like i want to go focus on the best
[19:29.92]  assets that are out there and i think
[19:31.44]  you saw this
[19:32.16]  all the way up to like you know silver
[19:35.12]  lake partners
[19:36.40]  writing a huge check into airbnb exactly
[19:38.96]  that's the canonical
[19:39.92]  example right just just let's pick as
[19:42.24]  long as i get a great deal i'm in
[19:44.32]  and it wasn't even a great deal i think
[19:46.24]  well they got a great deal but i think a
[19:47.52]  lot of people looked at and we talked
[19:48.88]  about this too was
[19:49.92]  when i remember passed down turns past
[19:52.32]  downturns didn't create
[19:53.84]  fire sale prices for amazing companies
[19:56.32]  right amazing companies went from being
[19:58.80]  horrendously impossible no nosebleed
[20:01.20]  valuations to like
[20:03.04]  all right i guess i could live with that
[20:04.56]  and getting into like a great company
[20:06.48]  with and
[20:06.96]  i guess i can live with that like it's
[20:08.48]  still a win it's a win yeah
[20:10.56]  so i think a lot of people started
[20:12.08]  behaving that way we did this big survey
[20:14.56]  of all the growth investors the c-round
[20:16.64]  d-round
[20:17.60]  investors thinking about this for our
[20:19.36]  own portfolio saying hey
[20:21.04]  what are you going to do and it very
[20:23.60]  quickly came down this dynamic you
[20:25.12]  described which is
[20:26.16]  from management teams that we've met
[20:27.68]  before we've had that face-to-face we've
[20:29.84]  kind of seen the business
[20:31.12]  over some period of time those are the
[20:33.60]  companies that we're going to feel
[20:35.04]  comfortable
[20:36.64]  running a virtual process and and then
[20:39.36]  we asked a question like
[20:40.96]  could you ever do something entirely
[20:43.52]  over zoom
[20:44.32]  from first meeting to close uh
[20:48.00]  everyone was like uh hell no and even
[20:49.84]  the ones that were like oh yeah we would
[20:51.44]  do that
[20:52.00]  we asked the question like okay well has
[20:53.52]  that happened in your own portfolio any
[20:55.12]  new investors showed up for your
[20:56.64]  companies
[20:57.44]  and they're like oh no it hasn't
[20:58.40]  happened to us yet but maybe we would do
[20:59.92]  it
[21:00.80]  that was maybe april mark may were
[21:02.72]  talking about i was certainly surprised
[21:04.88]  by the fact that even that has gone
[21:07.52]  even more liberal in that point of view
[21:10.16]  in july august september
[21:12.16]  where it feels like you know when the
[21:14.88]  public markets
[21:16.16]  kind of rebounded and you know spa
[21:19.36]  activity took off and there was just you
[21:21.36]  know the capital interest
[21:23.20]  in the innovation economy was as strong
[21:26.40]  as it ever been
[21:27.84]  i think all those same dynamics came
[21:29.84]  back i do think it's still
[21:31.44]  harder to raise capital with people you
[21:34.08]  haven't met before
[21:35.20]  um no doubt about that but whereas
[21:38.32]  the beginning of covid the answer was no
[21:40.56]  chance in hell
[21:41.92]  i think it very quickly changed over the
[21:43.92]  summer to
[21:44.96]  if you got a good business your business
[21:46.48]  will speak for itself and
[21:48.48]  people are getting more comfortable with
[21:50.72]  the idea of writing those checks to
[21:52.48]  people where processes are virtual
[21:54.48]  than they ever have like just like a
[21:56.96]  whole bunch of people said i'll never
[21:58.16]  hire remote
[21:59.28]  and all of a sudden they're like i guess
[22:01.20]  i got a remote
[22:02.48]  uh i think you're seeing the same thing
[22:04.08]  in some investor behavior
[22:05.60]  um the takeaway for founders maybe the
[22:07.84]  most salient piece
[22:09.12]  here is you need to get to know p like
[22:13.20]  never worry about getting to know folks
[22:15.84]  too early
[22:16.80]  right and getting to know folks doesn't
[22:18.56]  mean you got to walk them through slide
[22:20.88]  deck after slide deck and turn over
[22:22.48]  pipeline and customers
[22:23.92]  there's a different way to get to know
[22:25.68]  people where
[22:27.44]  you know they want to know who you are
[22:28.64]  too they want to stay in touch you know
[22:30.32]  they want to know that you think you're
[22:31.68]  going to add
[22:32.56]  four customers the next quarter and then
[22:34.40]  when you come back to them
[22:36.64]  you know end number of months later and
[22:38.40]  you nab four customers you actually
[22:40.32]  added six
[22:41.68]  right there's nothing more that inspires
[22:44.00]  more confidence in a prospective
[22:45.44]  investor than
[22:46.48]  you telling them where you are and what
[22:48.00]  you're going to do and then seeing you
[22:49.12]  go do it
[22:50.88]  that is more valuable than it's ever
[22:52.40]  been because you can't rely on
[22:54.56]  i'll get a whole bunch of people in a
[22:55.84]  room really quickly and they'll all just
[22:57.28]  decide on something
[22:59.04]  it's it's a good insight i love i love
[23:01.04]  getting
[23:02.24]  you know you know no one likes to get
[23:03.68]  spam but i love getting that monthly
[23:05.44]  investor update from a founder i met
[23:07.12]  whether virtual or not
[23:08.80]  and you just watch that metric like that
[23:10.32]  great investor update right and you see
[23:12.16]  it
[23:12.64]  and that that was always a win a winner
[23:14.72]  before covid but you're right everyone
[23:16.32]  should do that like if you have match if
[23:17.76]  you're post metric
[23:18.88]  and you meet whoever sunil or jason or
[23:21.76]  eileen or hunter whoever
[23:23.60]  send that monthly investor update they
[23:25.68]  can unsubscribe
[23:27.12]  don't do it maybe don't do it in
[23:28.56]  mailchimp i love mailchimp do it
[23:29.76]  yourself
[23:30.40]  and send it but they they'll tell you if
[23:31.92]  they don't want it but they want it
[23:32.80]  they're going to open that email send it
