Title     : Byron Deeter, Bessemer Ventures  + Jason Lemkin on Cloud 100, Growing 100% at $100m ARR, & More
Video ID  : 9xmaCjU8Kt4
[05:51.36]  few of the speakers i've i've been
[05:52.80]  curious let's talk about your a few
[05:54.48]  things in the broader portfolio because
[05:56.08]  i remember when you invested in canva in
[05:58.08]  particular right and a little bit of
[05:59.44]  toast when you invest in canva i'm like
[06:00.96]  listen i've been using canva for years
[06:03.04]  i'm a power user i i always consider it
[06:04.96]  our second or third designer right i
[06:06.72]  mean i'm in it every week so no question
[06:09.36]  iconic company i was surprised at the
[06:12.00]  time that that would be in the bessemer
[06:14.48]  sweet spot it seemed a little late it
[06:16.32]  was you already invested at a billion or
[06:18.16]  two pre-money didn't you whenever it was
[06:20.16]  and obviously you've probably made more
[06:21.60]  money on that than a ton of other
[06:24.00]  deals at lower valuations how did you
[06:26.16]  what was in your team's mind of getting
[06:27.92]  conviction around these canva and toast
[06:30.00]  multi-billion because you're when you
[06:31.52]  invest at billions you're making a deca
[06:33.20]  corn bet inherently right it's got to be
[06:34.96]  very much so how did you evolve your
[06:36.56]  thinking why were these decacorns to be
[06:39.12]  canva toast when you guys did them
[06:40.48]  because i thought they were expensive at
[06:41.68]  the time but they weren't right
[06:43.60]  yes so um and very different answers for
[06:46.56]  with the same common annoying themes
[06:48.40]  which goes to scale of the potential
[06:50.40]  opportunity but toast um i have to
[06:52.64]  credit my partner kent bennett who
[06:54.32]  actually seated and incubated the
[06:55.92]  company so they were literally based in
[06:57.60]  our massachusetts office in the early
[06:59.20]  days oh wow um and so that was like
[07:01.44]  early you know hands-on exciting venture
[07:03.44]  work and then we we you know supported
[07:05.36]  them through subsequent rounds and also
[07:07.12]  invested in their billion dollar you
[07:08.72]  know financings uh i i think they are
[07:10.96]  they probably um well currently they are
[07:13.12]  certainly the most valuable vertical sas
[07:14.88]  private company they should also be the
[07:17.12]  largest vertical sas ipo when they
[07:18.72]  choose to go public in the history um
[07:20.64]  and and certainly one of the top you
[07:22.64]  know three
[07:24.56]  software ipos in history when they go um
[07:26.96]  it's an immense business but that was
[07:28.64]  very much from a an early venture bet
[07:30.80]  and then the subsequent debt um aligned
[07:32.80]  with canva which we weren't good enough
[07:34.56]  to find early but we did see the the
[07:36.72]  opportunity and and invested in multiple
[07:39.12]  of their rounds
[07:40.32]  more recently but it was to this idea
[07:42.56]  that
[07:43.36]  the scale of these sas companies
[07:46.16]  is a multiple of what we envisioned
[07:49.20]  early on and the impact that they're
[07:51.36]  having is immense it is now absolutely
[07:53.68]  possible to see businesses in the you
[07:56.24]  know 60 to 600 billion dollar range you
[07:58.96]  know shopify when we invested uh
[08:02.00]  you know the the top end of our outcomes
[08:03.68]  table was a 400 million dollar ipo
[08:05.68]  because that's that used to be success
[08:07.84]  you know they're 200 billion or so now
[08:10.16]  my partner jeremy's still on the board
[08:11.60]  still works closely with them you know
[08:13.28]  similarly twilio for me um they're
[08:15.84]  whatever 60 or 70 billion dollars today
[08:18.00]  and climbing um same thing like that
[08:20.72]  that was almost inconceivable back then
[08:23.04]  when you look now at a business like
[08:24.56]  canva and say they've got a real shock
[08:26.56]  to be the next adobe um at 300 billion
[08:29.28]  plus and by the way they're also
[08:31.28]  approaching the number of adjacent
[08:32.48]  markets you can look at it even today
[08:34.88]  and say there's still a venture return
[08:36.64]  possible where a 10x you know could be
[08:38.88]  had if you invested it whatever the
[08:40.96]  current valuation is
[08:42.56]  and that's just the amazing thing when
[08:44.24]  you get great people and and melanie and
[08:46.16]  cliff the team there to be clear are
[08:47.68]  great um they they are extremely unique
[08:50.00]  exceptional individuals but you combine
[08:52.24]  it with amazing product and a massive
[08:53.84]  market
[08:55.20]  these things can be
[08:56.72]  amazon and apple scale which is uh
[09:00.24]  which is inconceivable to think of um
[09:02.88]  you know several years back when
[09:04.40]  thinking of software businesses alone
[09:06.16]  and what was possible for cloud well
[09:07.92]  that's an interesting insight that from
[09:09.28]  from a late stage perspective you're
[09:10.88]  saying look there's a shot this could be
[09:13.12]  amazon apple adobe microsoft scale right
[09:16.24]  that that alone if you believe it that
[09:18.08]  can more than justify the 10x at any
[09:20.32]  late stage valuation right
[09:22.48]  completely and and to be clear our
[09:24.08]  growth investments um are held to the
[09:26.00]  same hurdle that our venture investments
[09:27.76]  are meaning we want to see that 10x
[09:30.00]  potential and you know you're you're
[09:31.76]  aiming for at least the three to five x
[09:33.52]  type of thing like this is not a we're
[09:35.44]  not taking
[09:36.56]  um a a basic mindset of let's let's you
[09:39.68]  know
[09:40.48]  raise a lot of money and go for 2xs and
[09:42.48]  those things um we have a very
[09:44.48]  concentrated approach where we do growth
[09:46.32]  investments it's where we believe you
[09:48.16]  know these things can be platform
[09:49.92]  companies of the next decade and we
[09:52.72]  actually our internal name for our
[09:54.08]  growth fund is is century capital and it
[09:56.56]  comes from two things one it's a hat tip
[09:58.32]  to the cloud 100 and this notion of 102
[10:01.04]  it's companies that are going to be the
[10:02.64]  defining companies of the next century
[10:04.56]  in tech and so
[10:06.48]  by definition there aren't a lot of
[10:07.76]  those but where they exist they can be
[10:09.68]  massive and so we are seeing you know a
[10:12.48]  long long list of the billion dollar
[10:14.00]  cloud companies today and we're seeing
[10:16.24]  uh dozens of decacorn
[10:18.80]  companies and candidates that are
[10:20.40]  emerging
[10:21.44]  and we definitely think this will define
[10:23.84]  the future of the tech landscape this is
[10:25.68]  the single most exciting you know trend
[10:27.84]  within tech and tech is driving global
[10:30.00]  gdp which makes it one of the most
[10:31.68]  compelling investment themes more
[10:33.12]  broadly
[10:34.16]  so just just a nerdy or nichy question
[10:36.64]  but if you have this concentrated growth
[10:38.56]  investment for the next apple or adobe
[10:40.72]  each one should be a fun returner i mean
[10:42.72]  has the potential to be a fun return or
[10:44.00]  do you think about growth the same way
[10:45.28]  as early stage like you wanted to be a
[10:46.56]  fun returner
[10:48.00]  um
[10:48.88]  that's the hope mathematically there are
[10:51.28]  times where we may only invest 25
[10:53.76]  million and a 10x could you know return
[10:56.24]  250 million and our fund is larger than
[10:58.24]  that
[10:59.12]  but conceptually yes okay and let me ask
[11:01.52]  you another way i think about these
[11:02.96]  these massive
[11:04.64]  a more tactical way to think about it so
[11:06.16]  let's take someone like hubspot right
[11:08.24]  you could pick a lot right but hubspot
[11:09.84]  crosses a billion at arr
[11:11.92]  growing 41
[11:13.52]  accelerating like growing from 30 to 41.
[11:17.44]  do you even
[11:18.56]  what is how do you think about
[11:20.00]  compounding 41 percent growth at one
[11:22.24]  billionaire like it's it's almost a it
[11:25.20]  breaks your breaks your brain doesn't it
[11:26.88]  and what does that mean for outcomes
[11:29.28]  it is absolutely spectacular to see the
[11:32.16]  performance of the leaders in the
[11:34.00]  industry both late stage private and
[11:35.68]  public
[11:36.64]  and what we often look at is is the
[11:39.12]  relationship between cash flow and
[11:41.20]  growth rate and that makes that you know
[11:43.36]  those stats even more impressive which
[11:45.20]  is to see that
[11:47.04]  you have across the cloud industry both
[11:50.08]  the the bvp nasdaq emerging cloud index
[11:52.08]  on the public side and on the private
[11:53.84]  side you time and time again see
[11:55.84]  companies at scale growing at 40 plus
[11:59.36]  and many of them are generating you know
[12:01.28]  very positive free cash flow in the
[12:02.96]  process yeah and so
[12:05.12]  you could argue what's a fair multiple
[12:07.04]  for these businesses and you know
[12:08.96]  certainly we're at historical highs and
[12:10.88]  so there's anxiety that uh that these
[12:13.04]  numbers may be rich but the flip is if
[12:15.52]  you put it in a drawer and think many
[12:17.12]  years out
[12:18.48]  it's also pretty logical to see that the
[12:20.56]  power of compounding as you know will
[12:22.64]  make these businesses more valuable in a
[12:24.48]  few years and they may go through you
[12:26.24]  know some ups and downs and they will
[12:27.76]  probably be sitting at lower multiples
[12:30.16]  a few years out than they are today but
[12:31.60]  at the same time the stock prices will
[12:33.12]  likely be higher because they're growing
[12:35.36]  at such an insane rate um and they're
[12:37.60]  just they're building value every day
[12:39.68]  yeah every like 1 billion ar ceo i talk
[12:42.32]  to before an event or a podcast or
[12:44.24]  whatever they all have their 10 billion
[12:46.24]  plan already right it's not perfect
[12:48.48]  it's not perfect from one but but they
[12:50.48]  can see it right they can see that 10
[12:52.08]  billion which is just an awesome force
[12:54.00]  in sas isn't it
[12:56.00]  it is um
[12:57.24]  absolutely um
[12:59.44]  you know einstein's word is of you know
[13:01.44]  the most powerful force of the universe
[13:02.88]  is compounding interest it's the same
[13:04.72]  thing you get these subscription models
[13:07.52]  they're brutally hard to build up um but
[13:10.48]  when the flywheel's spinning they also
[13:12.48]  uh the the growth decay is very modest
[13:15.04]  and the app it's not just hubspot the
[13:17.36]  average public cloud company and i think
[13:19.12]  there's 56 on our index today plus or
[13:21.28]  minus one or two um the average is
[13:23.52]  growing forty point two percent yeah i
[13:25.20]  saw that
[13:26.24]  on index today yeah um
[13:29.04]  i mean
[13:30.00]  yeah it's it's just awesome and so
[13:33.12]  with interest rates and low single
[13:34.64]  digits um i don't know something else
[13:36.72]  that that i can invest in that can
[13:38.24]  compound at 40 plus uh
[13:40.96]  and i have complete conviction that this
[13:43.20]  is the future of tech and software so
[13:44.80]  you're also like history is going to be
[13:46.80]  on your side in terms of the tailwinds
[13:48.72]  so do you think i know
[13:50.56]  if you look at the broader investment
[13:51.84]  ecosystem
[13:53.76]  the insight tomo bravo tiger strategy
[13:56.40]  which is just in some ways to invest in
[13:58.24]  all the good ones right i mean that to
[14:00.56]  simplify it like you can take shots or
[14:02.32]  but really their strategies look all the
[14:03.84]  good ones if times remain good should
[14:06.64]  should be is that is that a good
[14:08.80]  strategy for all of us um is that is are
[14:11.04]  there any flaws in that strategy that
[14:12.40]  you can see to invest in all the good
[14:13.52]  ones
[14:15.68]  so uh
[14:17.36]  the index approach
[14:19.84]  absolutely has its merits and we we
[14:22.56]  literally since 2011 which by the way we
[14:24.72]  first released it at saster years ago
[14:26.96]  this notion of attracting index the bvp
[14:29.44]  you know cloud index at the time um and
[14:32.16]  i i forget the current stat but it's up
[14:34.00]  12x or something over that time period
[14:36.08]  uh probably more at this point um we
[14:38.24]  then formalized it with nasdaq and then
[14:40.80]  wisdom tree licensed that data set and
[14:42.56]  so there's a tradable etf wcld
[14:45.92]  which tracks this it was literally the
[14:47.68]  top performing etf on nasdaq last year
[14:51.04]  worldwide
[14:52.88]  and so yes the public index has been a
[14:56.00]  fantastically good vehicle the late
[14:58.40]  stage private index
[15:00.32]  has also been an outstanding vehicle but
[15:02.00]  doesn't exist and so it's theoretical
[15:04.48]  and so that's what a lot of those
[15:05.68]  entities are doing is saying look if i
[15:07.04]  can get you know a 40 keger in the
[15:09.84]  public markets
[15:11.76]  and these companies are staying private
[15:13.20]  longer how do i get access to the late
[15:15.44]  stage private ones i need to go direct
[15:17.28]  and so that's what's caused a lot of
[15:18.64]  these hedge funds to cross over because
[15:20.32]  companies used to go public at 500
[15:21.92]  million now they're going public at 5
[15:23.84]  billion or 15 billion and and they want
[15:26.16]  the earlier access and so um they
[15:29.28]  i i
[15:30.40]  believe those returns will also be quite
[15:32.64]  good you've got this dynamic where
[15:34.40]  valuations are now running up and at
[15:36.00]  some point the capital markets will
[15:37.52]  level out and settle at their 15 irrs
[15:39.92]  instead of the 14 the 40 irs but it's
[15:42.88]  it's working for them um there's a
[15:45.12]  there's also a nuance from the private
[15:46.88]  equity folks specifically they're
[15:48.72]  becoming majority buyers
[15:50.56]  and uh exit alternatives to these
[15:53.12]  companies which never existed in history
[15:56.08]  for growth assets of this scale and yet
[15:58.88]  there were a number of companies from
[16:00.24]  the cloud 100 last year that chose to
[16:02.00]  sell the private equity buyers as an
[16:03.92]  alternative to going public in the short
[16:05.52]  term and i think we're going to see more
[16:07.20]  of that and so there's you know there's
[16:08.96]  spacks there's all sorts of things but
[16:10.56]  but very directly private equity as an
[16:12.64]  exit alternative as a successful exit
[16:14.80]  alternative is now also on the table
[16:17.12]  yeah well that's a great it's it's
[16:19.60]  that's to me as you know as an
[16:21.20]  ex-founder that's one of the biggest
[16:22.32]  changes of all time right is that your
[16:23.84]  exit options have have increased right
[16:25.60]  what would you say
[16:26.80]  if you if at a gut level if you look
[16:28.16]  across the whole bessemer portfolio if
[16:30.16]  you get to say 20 million are and you're
[16:32.64]  growing not even 150 let's say you're
[16:34.96]  growing 70 or more at 20 million error
[16:37.20]  what are the odds some sort of pe firm
[16:39.04]  will give you a half decent offer to buy
[16:41.04]  your sas company in today's market
[16:44.00]  yeah quite high um
[16:46.80]  it's it's how you define decent now a
[16:49.36]  lot of folks look at the public comps
[16:50.96]  and say i want a 40x multiple on that uh
[16:53.20]  because i'm in top decile or i wanted
[16:55.60]  you know 25x because um i'm i'm at least
[16:58.24]  average and they're of course comparing
[17:00.08]  themselves to the best in the world
[17:01.52]  average of the you know the 50 plus
[17:04.48]  public cloud companies but uh private
[17:07.20]  equity both uh is interested in the
[17:10.56]  flagship asset to consolidate around as
[17:13.28]  well as the assets to consolidate around
[17:16.00]  their other you know large platforms and
[17:18.00]  so whether it's 20 million or 120
[17:21.36]  million there is likely a private equity
[17:23.60]  shop out there if it's a if it's a
[17:25.12]  strong business that would be a bitter
[17:27.04]  and then your alternative becomes do i
[17:29.36]  do i hold out for the ipo or um or do i
[17:32.56]  do an alternative financing structure
[17:34.96]  the vast majority are still going to
[17:37.12]  play for the long ball and go public on
[17:39.28]  their own or ultimately sell to a
[17:40.88]  strategic that will pay a strategic
[17:42.72]  price above the financial price but
[17:45.04]  private equity as a very viable buyer is
[17:47.60]  is for the first time credible and we
[17:49.20]  had two companies in in december alone
[17:50.96]  with gainsight and pipedrive that chose
[17:53.04]  to sell to vista both of those were
[17:55.44]  super high quality businesses they could
[17:57.12]  have gone public then and they probably
[17:58.80]  will go public in the you know in the
[18:00.64]  short to medium term and yet they
[18:02.64]  thought that that was a compelling
[18:04.08]  interim step for very rational reasons
[18:06.88]  um and you know so far so good in the
[18:09.60]  sense of their their positive references
[18:11.84]  to our other ceo saying you should
[18:13.60]  consider this as one of your many
[18:15.04]  options
[18:16.16]  and what's the um you you know certainly
[18:18.56]  if you want 40 or 50 extra error
[18:20.80]  sometimes it can be tough from pe right
[18:23.60]  the other thing i've seen a little bit
[18:25.12]  is companies where their growth rate is
[18:28.16]  middling right and no criticism this
[18:29.92]  stuff's hard right as you and i both
[18:31.44]  know right i am surprised that the p
[18:33.92]  evaluations are often decent right a 10x
[18:36.56]  are
[18:37.60]  for a company that has scale it has a
[18:39.28]  brand but the growth could be quite you
[18:41.36]  know in the 30s or 40s
[18:43.20]  whereas a vc can't touch that right past
[18:45.52]  that point you just can't do it and even
[18:47.28]  a strategic
[18:48.64]  probably won't buy it because of the
[18:51.20]  multiple arbitrage right but i'm
[18:52.56]  somewhat sometimes what's going on there
[18:54.32]  is it a roll-up strategy or why will
[18:56.48]  they pay decent prices for companies
[18:58.32]  with sort of middling growth
[19:00.16]  yeah so i actually think that's the
[19:01.68]  power alley of private equity and you
[19:03.44]  nailed it um and for the listeners out
[19:06.00]  there that are running businesses that
[19:07.52]  probably aren't going to be public but
[19:09.12]  they're they're building value um and
[19:11.68]  particularly if they're capital
[19:13.12]  efficient you know break even or
[19:14.32]  generate free cash flow those businesses
[19:17.36]  should be combined with other businesses
[19:19.12]  to get scale to then go public and what
[19:21.44]  what private equity firms are very good
[19:23.28]  at is um is you know consolidation
[19:26.40]  strategies and frankly you know
[19:28.48]  unlocking business efficiencies and so
[19:30.56]  one of the things that you have to have
[19:32.16]  an upfront discussion with them about is
[19:34.88]  are you comfortable taking costs out of
[19:36.80]  the business and sometimes that will be
[19:38.72]  part of their playbook but the reality
[19:40.88]  is like that is a valuable business it's
[19:43.04]  probably your point just not the venture
[19:45.84]  big home run you know swing uh type of
[19:48.80]  business because that that's the nature
[19:50.56]  of our of our model as we we're every
[19:52.88]  every shot needs to be the 10x you know
[19:54.96]  opportunity in our mind um but those
[19:57.52]  businesses clearly have value and
[19:59.60]  i think you hit it on the head you can
[20:00.96]  get a 10x for those companies often and
[20:03.76]  it can and both sides can win meaning
[20:06.00]  the private equity firm will
[20:08.08]  be able to extract value and and get
[20:10.32]  their 3x on that with some work and with
[20:12.40]  some other assets and bringing it
[20:13.68]  together and at the same time
[20:16.16]  you can you can realize this enter a
[20:17.92]  milestone and and in some cases ceos
[20:20.48]  will say hey i don't really want to run
[20:21.92]  the business that has to go through some
[20:23.60]  cost efficiencies or that's going to be
[20:25.68]  consolidated in and often they're
[20:27.68]  totally fine with that you have the open
[20:29.04]  conversation and they'll say great we're
[20:30.40]  going to we've got a ceo who is more of
[20:32.40]  that operational ceo you go back to your
[20:34.72]  next growth thing and burn your venture
[20:36.48]  capital dollars going after the 100
[20:38.80]  growth you have your fund with that um
[20:40.56]  and and there's different answers for
[20:42.40]  different stages of life and different
[20:44.08]  parts of the capital stack and it's it's
[20:47.04]  unlocked now because of the scale of the
[20:48.80]  outcomes and these assets that option is
[20:51.12]  extremely viable and can be
[20:53.60]  an outcome that wasn't previously
[20:55.12]  possible for these hundreds and maybe
[20:57.44]  some thousands of businesses that are
[20:59.92]  really solid companies but aren't going
[21:01.68]  to be you know 10 billion dollar public
[21:03.44]  companies
[21:04.40]  yeah my gut is and then i want to ask
[21:06.16]  you just two more things and come back
[21:07.44]  to 500 my gut is
[21:09.52]  this this this increases the odds you
[21:11.52]  get a decent m a outcome when you hit
[21:13.84]  double digits of ar by like 10x over
[21:16.56]  just five years ago it that that
[21:18.56]  derivative would be right it at least
[21:20.40]  distresses your life as a fountain if
[21:22.00]  you're running stripe from day one who
[21:23.60]  cares right but but most of us even
[21:25.84]  great ones procore was a slow start
[21:27.44]  right and glad they ipod right but but
[21:29.28]  if we can go look at so many that had uh
[21:32.08]  avalara i just wrote up they had a slow
[21:33.68]  star plenty of us had a slow starts
[21:35.12]  right and to know that these overnight
[21:36.72]  successes take time sometimes sometimes
[21:38.96]  and to know that at least in the back of
[21:40.80]  your mind
[21:42.56]  you can get a 10x outcome instead of a
[21:44.56]  crappy two to three outcome or nothing
[21:46.80]  from p like years ago can destress your
[21:48.48]  life because you know at least it's
[21:50.24]  there right it's it's it's you're gonna
[21:51.92]  get this door you're gonna get knocked
[21:53.28]  by some associate or principal at all
[21:55.44]  these firms to see if uh right they'll
[21:57.68]  do these deals
[21:58.88]  very true if you're capital efficient
[22:01.12]  and that's something to layer on here
[22:02.56]  the if you're burning a lot of cash time
[22:04.40]  is not your friend if you are uh break
[22:06.96]  even or have a path to profitability
[22:09.44]  while still growing modestly you've got
[22:11.76]  infinite time and you control your own
[22:13.36]  destiny and you will have valuable
[22:16.00]  options um and that's i think the
[22:18.80]  important nuance here but there there
[22:20.72]  are
[22:21.68]  there will be an increasing number of
[22:23.12]  companies here that are that are venture
[22:25.28]  funded that have built real value
[22:28.16]  exactly the model you describe and i
[22:30.32]  think you're totally right like it's
[22:31.68]  going to be
[22:32.64]  open season for private equity firms and
[22:34.40]  they're going to pay decent multiples on
[22:36.24]  these things because they know that they
[22:37.68]  can unlock more value and if they can
[22:39.60]  bring things together if they can unlock
[22:41.20]  more free cash flow if they can get to
[22:42.72]  scale they're going to be able to grow
[22:44.40]  that asset and then ultimately trans you
[22:46.32]  know take it public for 10 to 20 times
[22:48.24]  multiple um at much larger scale and
[22:50.72]  everyone wins and they may throw
[22:52.32]  leverage on it if you're free cash flow
[22:53.92]  positive so that they get another turn
[22:55.76]  on their equity as they're very good at
[22:57.04]  doing um and so they can manufacture
[22:59.36]  another multiple term there in a way
[23:00.80]  that a venture capital firm never would
[23:02.16]  try
[23:03.04]  and do you think
[23:04.56]  m a from
[23:06.00]  strategics
[23:07.36]  twilio's made some great acquisitions
[23:08.96]  plenty of companies you're a part of
[23:10.24]  have but it's not like twilio's done a
[23:12.08]  hundred acquisitions
[23:14.40]  do you i struggle to do the math but i'm
[23:16.72]  not sure
[23:17.76]  strategic m a is keeping up despite the
[23:20.08]  headlines right uh zoom buys five nine
[23:22.72]  for 15 billion which seems like a jaw
[23:25.04]  dropper
[23:26.08]  and that's zoom's first big deal right
[23:27.92]  it's like one of the top deals of the
[23:29.12]  year but there's a lot of deckacorns out
[23:30.64]  there right it would you know if that
[23:32.40]  was a venture round my jaw wouldn't even
[23:34.32]  drop right is there have you done the
[23:36.64]  ratios is there enough m a to go around
[23:38.72]  or does it not matter with pe and ipos
[23:41.84]  uh it's a great question on the ratio
[23:43.36]  point because you're right the headline
[23:44.40]  numbers are big and we'll we'll update
[23:46.00]  some on august 10th to talk about the um
[23:48.48]  the financings the m a exits and the
[23:50.56]  ipos and um there are a lot of records
[23:53.28]  in there and some impressive numbers but
[23:55.44]  notably the is platform vendors and
[23:58.32]  cloud have not been very inquisitive of
[24:00.16]  big assets amazon web services microsoft
[24:02.80]  azure google cloud have not written big
[24:05.36]  checks for for premier assets
[24:08.32]  and the legacy uh
[24:10.72]  software vendors
[24:12.16]  are kind of like cornered animals right
[24:13.76]  now and they don't quite know how to
[24:15.36]  respond but they um are not
[24:18.88]  they're not paying the multiples to
[24:20.16]  clear these these trades and so
