Title     : Mastering SaaS Sales Hiring, Customer Retention, and Growth with OpenAI,  Retool, and 20VC
Video ID  : 0dPbrT6m3dY
[11:55.52]  stack on how they historically can close
[11:58.04]  the pipeline that they have so we do a
[11:59.72]  blend right now of Bottoms Up
[12:01.08]  forecasting which is more standard where
[12:03.36]  AE submit their forecast calls managers
[12:05.12]  submit their forecast calls we roll that
[12:06.68]  up we looked at our weighted Pipeline
[12:08.64]  and then honestly the pipeline profit
[12:10.28]  has been within 10% of accuracy wow
[12:12.68]  every quarter and so while I'd like to
[12:14.40]  pretend that I'm a forcasting savan I
[12:16.32]  usually end up going with what that said
[12:18.52]  I'm on quite a few boards and quite
[12:19.80]  often in the conversation I'm ah it just
[12:21.96]  fell into next quarter fell into next
[12:24.20]  quarter and I'm always stuck like okay
[12:27.64]  what should I say to that the w is the
[12:29.44]  right answer I think you set a goal for
[12:31.28]  how to get the slips down I think one
[12:33.28]  thing we have gotten quite good at is
[12:35.32]  execution and so much of forecasting
[12:38.00]  again it's all expectations management
[12:40.12]  with your customers internally with your
[12:41.84]  product team with yourself and in terms
[12:44.72]  of deal slipping it asking yourself in
[12:47.60]  every single Deal review if this doesn't
[12:49.00]  close by this state why will that be and
[12:50.68]  being ruthlessly intellectually honest
[12:52.92]  and the pipeline profit takes sing into
[12:55.04]  account so it does account for that but
[12:56.92]  for the most part it's just a lot of dis
[12:59.16]  IPL and oversight and intellectual
[13:02.00]  honesty with yourself and your team for
[13:03.72]  Founders listening how often do you do
[13:05.56]  deal reviews and what's the difference
[13:07.16]  between a good and a great deal review
[13:08.80]  what do you know now as a sales leader
[13:10.80]  you're like God I wish I'd done this in
[13:12.52]  my first Deal review there's a few
[13:14.40]  things we do deal reviews pretty
[13:15.92]  programmatically when a deal that's over
[13:18.00]  a certain dollar threshold hits stage
[13:19.60]  three we do an early stage Deal review
[13:21.76]  when what's that dollar threshold 50k
[13:24.08]  50k theirs would probably be a little
[13:25.88]  larger when it hits stage five we do a
[13:28.00]  late stage Deal review and for me the
[13:30.20]  biggest thing has been building that
[13:31.36]  discipline and predictability that I
[13:32.88]  know when we hit stage three which is
[13:34.44]  for us you're entering a proof of
[13:35.96]  concept that we're going to inspect have
[13:37.96]  you met with the economic buyer have you
[13:39.92]  sold Beyond just a use case do you have
[13:41.76]  a platform Vision in place do you know
[13:43.92]  what problem they're trying to solve do
[13:45.36]  we have a compelling event and most
[13:47.20]  importantly what top- down initiative
[13:48.72]  are we attaching to because every deal
[13:51.68]  even if it's not a head-to-head compete
[13:53.80]  is a compete because you're competing
[13:55.68]  for budget and you're competing for mind
[13:57.40]  share and when open AI has to have
[13:59.40]  companies move budget line items around
[14:01.12]  in order to justify the spend we
[14:03.04]  certainly have to do that as well there
[14:04.92]  isn't usually a line item that we can
[14:06.56]  directly replace we have to create a
[14:08.60]  compelling enough Vision to get the
[14:09.92]  budget how do you keep morale High when
[14:12.92]  deal Cycles slow when things just seem
[14:16.80]  harder I think it's pretending that it
[14:19.76]  acknowledging the reality of the
[14:21.16]  situation and I do think there is a lot
[14:23.28]  of Glory in the struggle and it's
[14:24.68]  finding the early wins it's not just
[14:26.92]  celebrating the output it's also
[14:28.28]  celebrating the input puts we do a
[14:30.32]  weekly standup every Monday with the
[14:32.00]  entire doto Market org where we talk
[14:33.68]  about the wins from the previous week
[14:35.20]  what did we close what did we renew what
[14:37.56]  customers did we activate what sales
[14:40.04]  qualified opportunities did we generate
[14:42.08]  we do a weekly shout out what something
[14:43.96]  amazing that happened what's a disaster
[14:45.76]  that happened D can I ask you you sign a
[14:48.08]  big customer right and Asel te say hey
[14:50.44]  great here's ad CL how does it how
[14:52.80]  seriously how does it happen do you sit
[14:54.12]  down with that head of sales and do the
[14:56.52]  handoff and then like how did that
[14:58.32]  happen and when you get given a customer
[15:01.16]  yeah what happens then it depends so one
[15:03.72]  thing that's interesting about open AI
[15:05.36]  is we have different business models so
[15:07.24]  we have Chachi BT Enterprise and you
[15:09.40]  could say that's very analogous to a
[15:11.60]  hyperscaling B2B SAS organization in the
[15:14.36]  productivity space so people are looking
[15:16.76]  at Chachi BT Enterprise and they're
[15:18.32]  saying hey we want to AI enable our
[15:20.08]  Workforce we want to allow people start
[15:22.04]  using these tools and become more
[15:23.48]  productive and that's very much
[15:26.24]  something that's sold to a CIO it looked
[15:29.04]  that as part of the productivity Suite
[15:30.88]  of the how intelligent are the buyers in
[15:32.88]  terms of their decisions have they said
[15:34.48]  hey we've actually already done the work
[15:36.52]  and we've realized we wanted open eye
[15:38.12]  over m b and LOM or is it like you're
[15:41.08]  the only one they so think it depends
[15:42.80]  like we would never be competing in chat
[15:44.60]  PT Enterprise with a mraw because this
[15:47.00]  is something that's a package software
[15:49.08]  application on the other side is the
[15:50.72]  models themselves and those are all
[15:52.40]  available through API and that's where
[15:54.44]  yeah people are going to look at a bunch
[15:56.64]  of different factors when they're
[15:57.80]  evaluating models one of them is going
[15:59.56]  to be what is the model's intelligence
[16:01.56]  and reasoning capability there's all
[16:03.64]  sorts of different ways that we
[16:04.76]  Benchmark those the other is the price
[16:07.08]  point and then the final P piece is the
[16:09.68]  latency so how fast is this models on
[16:11.80]  the input and the output and generally
[16:13.72]  what people will try and do who are
[16:15.28]  really sophisticated is they'll optimize
[16:17.72]  for each one of those Dimensions as
[16:19.24]  they're building the product so maybe
[16:21.00]  they'll say for this part of the product
[16:23.28]  we actually need very high reasoning and
[16:25.12]  high intelligence but for maybe this
[16:26.84]  other part of the product we actually
[16:28.44]  really want to optimize for cost and
[16:29.84]  latency and then you can even do things
[16:32.40]  which a lot of companies start doing
[16:33.88]  which is you start and validate with the
[16:36.36]  most reasonable in the most intelligent
[16:38.68]  the frontier in our case GPT 40 but once
[16:41.92]  you validated that the use case is
[16:43.72]  possible then you try and cost optimize
[16:45.96]  and look for if you can still accomplish
[16:47.80]  that with the same relative performance
[16:50.36]  with a more cost- effective model
[16:51.88]  something like maybe 35 that's fine
[16:53.92]  tuned so I read about and this may be
[16:56.00]  completely Unown but I read about like
[16:57.72]  PWC is like massive roll out and a
[17:00.68]  massive contract how on Earth do you do
[17:03.84]  onboarding education for PWC I think
[17:07.16]  it's a 30 millenary contract was rumored
[17:09.24]  to be with thousands of seats what does
[17:12.00]  that look like yeah we very much are
[17:13.88]  doing the Train the trainer approach so
[17:15.64]  we're working with global project
[17:17.28]  managers we're doing a lot of the best
[17:19.76]  practices in sharing and then we started
[17:21.56]  Staffing Enterprise account team so we
[17:23.80]  have a customer success team we've got
[17:26.44]  um solution Architects that can help
[17:28.16]  with integration patterns and we work
[17:30.52]  with them through the Journey we do a
[17:31.96]  phase roll out so you know something
[17:33.80]  like PWC we'll probably do it over time
[17:36.60]  to get to that number and that's both
[17:39.16]  for them to be able to make sure that
[17:41.08]  they have the level of enablement within
[17:42.72]  their Workforce and then also to make
[17:44.72]  sure that we're going in and validating
[17:46.52]  some of the value in the use cases and
[17:48.44]  being able to advertise those build the
[17:50.24]  champion Network continue to go in and
[17:52.32]  make sure that we have the type of
[17:53.64]  sponsorship to make those roll outs
[17:55.32]  successful to what extent do you set the
[17:57.12]  benchmarks for Success versus they them
[18:00.12]  I think that we we try and arrive on
[18:01.96]  some joint metrics for sure and that's
[18:04.28]  the ideal State I do think that there's
[18:06.36]  a lot of companies right now that and
[18:08.56]  this is a luxury to be in this position
[18:10.52]  but for something like chat GPT
[18:11.96]  Enterprise they are purchasing without a
[18:15.32]  defined use case in mind because they're
[18:18.08]  saying look you don't find that quite
[18:20.24]  nuts yeah no oh yeah sure like his a
[18:22.88]  couple million bucks I don't really have
[18:24.48]  a use case for this I think what people
[18:26.00]  are trying to figure out is this
[18:27.84]  technology has has the capacity to be
[18:30.36]  transformational yet I don't have
[18:32.68]  intuitively a ton of In-House expertise
[18:35.04]  I could go about trying to work with
[18:37.68]  analysts to get that expertise I could
[18:39.28]  go in and try and do the research or I
[18:40.88]  could just get the technology in the
[18:42.32]  hands of my workers and then try and
[18:44.76]  start really deeply understanding where
[18:46.36]  the value is what role do you think AI
[18:49.00]  services companies have exenta posted
[18:50.88]  $2.4 billion in generative AI Revenue I
[18:53.88]  tweeted a year ago that AI Services
[18:57.04]  would make more money than AI companies
[18:59.72]  and and they announced 2.4 billion and
[19:01.92]  open added 2 billion so what you s you
[19:04.32]  partner with them on the customer
[19:05.80]  education process as well oh absolutely
[19:08.04]  so we look at a lot of those companies
[19:10.96]  as and work with some of those because
[19:12.80]  large companies obviously partner with
[19:14.48]  them to do a lot of implementations we
[19:17.40]  generally when we're talking about
[19:19.32]  companies that are interested in
[19:21.20]  building things on the models we target
[19:24.32]  the either end of the market in that we
[19:26.40]  work with really large companies that
[19:28.04]  want to do something something
[19:29.56]  transformational PWC is one one good
[19:32.08]  example and we work with a lot of
[19:33.84]  startups so we really do think that
[19:36.72]  there are companies that are being
[19:38.32]  created today that are going to be
[19:40.40]  implementing the technology that could
[19:42.28]  disrupt a lot of Technology sectors a
[19:44.88]  lot of ways that we think about products
[19:46.84]  and so we make an outsized investment
[19:48.52]  making sure that those companies know
[19:50.48]  how to leverage our technology the
[19:52.00]  fullest I wanted to talk about like
[19:54.12]  Building Sales teams themselves this is
[19:55.76]  a component that every founder has to do
[19:57.68]  in terms of hiring management firing
[20:00.32]  when we just like start at the life
[20:01.68]  cycle of like sales team hiring as crazy
[20:04.76]  as it can or specific as it sounds what
[20:07.00]  are the must ask questions when you're
[20:08.84]  hiring a sales team to identify the
[20:11.56]  quality of candidates I actually think
[20:13.52]  there isn't a silver bullet must ask
[20:15.64]  question I think the key when you're
[20:17.36]  interviewing salespeople is when you ask
[20:19.60]  a question you have to go five layers
[20:21.64]  deeper on the answer because they're
[20:23.64]  salespeople and in an interview they're
[20:25.16]  selling their favorite subject which is
[20:27.12]  themselves and it's very easy to have a
[20:30.64]  Charming answer to a question but the
[20:32.60]  reality is in a sales cycle like ours
[20:35.60]  where you have to be incredibly good at
[20:37.16]  cultivating Champions where Discovery is
[20:38.92]  the most important skill set where
[20:41.00]  product Mastery matters as well as sales
[20:43.92]  skills you need to go really deep and
[20:46.24]  you actually need to te test the depth
[20:48.20]  of their knowledge so it isn't the
[20:49.76]  specific question so much as you have to
[20:51.84]  go five levels deeper every single time
[20:54.44]  so you can understand how deeply does
[20:56.60]  their expertise how credible are their
[20:58.88]  answers and like how authentic is their
[21:00.68]  grasp of this information do you bring
[21:02.76]  other people into the process oh
[21:04.64]  absolutely how do you do that uh so we
[21:07.32]  have our post sales team is very much
[21:08.72]  involved in the sales interview process
[21:10.60]  in the early days we absolutely had
[21:12.16]  product and Founders involved in the
[21:13.64]  sales process so we'll do a technical
[21:15.68]  screen which is someone outside of the
[21:17.04]  sales team you want your culture screen
[21:19.16]  to happen from someone outside of the
[21:20.52]  sales team as well because you want
[21:21.92]  someone to be able to actually assess
[21:23.92]  their cultural fit unless I really think
[21:26.40]  they're going to close deals so that's
[21:27.96]  more important so you create the balance
[21:29.84]  to make sure that you're getting a fair
[21:31.20]  opinion what do you think are the
[21:32.48]  biggest mistakes that Founders make in
[21:34.48]  sales team hiring looking at a resume
[21:37.16]  versus an individual what do they get
[21:39.56]  wrong in the resume they just rely on
[21:41.16]  logos I think if you rely it's really
[21:42.88]  easy it's an easy proxy it's a cheat
[21:44.72]  code you're a Founder you have a million
[21:46.28]  things to do every hour and you looked
[21:48.24]  at it and you saying yes this is a
[21:49.76]  blueprint for Success when in the early
[21:52.16]  days curiosity and high slope high
[21:54.28]  potential individuals can have such an
[21:56.48]  outsized him would you RW that someone
[21:58.60]  sold a certain size deal or they've
[22:00.64]  actually sold in your vertical before I
[22:02.88]  would say it depends on the life cycle
[22:04.80]  and the more mature when you become a
[22:06.20]  gross stag company the ability to have
[22:08.20]  closed those large deals and to be in
[22:10.32]  front of a sea suite and to multi-thread
[22:12.36]  is honestly a little more important than
[22:13.88]  the product expertise in the early days
[22:16.20]  when you're in market share mode when
[22:18.16]  you want to close as much as possible
[22:19.60]  and more importantly you want to learn
[22:20.96]  as much as possible then the vertical
[22:23.04]  experience matters more D what are the
[22:25.00]  biggest mistakes you've made in sales
[22:26.44]  team H no I think the the thing that one
[22:28.76]  of my mistakes that I've made is that I
[22:31.36]  think there is no uniform profile for
[22:34.96]  how you go in and think about uh
[22:36.64]  technical sales and even technical post
[22:38.64]  sales and I think there's all these sort
[22:40.24]  of things that you want to identify
[22:42.68]  which is based on what stage of growth
[22:44.80]  is the company in you're also thinking
[22:46.60]  about who what type of product you have
[22:48.68]  who is the actual user and you think
[22:51.04]  about those start working Your Way
[22:52.28]  backwards and that starts to allow you
[22:54.04]  to start to understand what type of a
[22:55.68]  profile you need like one quick example
[22:58.04]  cuz I've now at multiple companies that
[23:00.00]  have gone through the the hypergrowth
[23:01.76]  journey you generally find that earlier
[23:04.68]  stage some of the things that make
[23:06.12]  people really successful this is and the
[23:09.04]  the uh the analogy of an old hbr article
[23:11.80]  from 2006 would say the Renaissance
[23:13.76]  sales team and it's the team that's able
[23:16.36]  to operate in a lot of ambiguity and
[23:18.68]  they have a high tolerance for that
[23:20.16]  because a lot of times you have to start
[23:21.44]  creating the playbooks no one knows what
[23:23.88]  the sales process is no one knows what
[23:26.36]  the deck is and how that it should be
[23:27.96]  organized no one knows what the value
[23:29.88]  proposition and some of those metrics
[23:31.36]  are you need people that are capable of
[23:33.32]  creating that and that's a very
[23:34.88]  different skill set than when you're
[23:36.28]  starting to scale the organization those
[23:38.16]  have all been defined and you really
[23:39.60]  need people to run the play and do it
[23:41.64]  scalably and effectively and those are
[23:44.00]  different types of skills so even the
[23:45.64]  same role depending on the stage of
[23:47.40]  growth that the company in you might
[23:48.72]  isolate for different factors do you
[23:50.32]  worry about the motives of people coming
[23:51.96]  into teams like open AI is a hot company
[23:54.28]  now everyone wants to come and work at
[23:55.96]  open AI especially in sales yeah I think
[23:57.92]  you have to screen for that another
[23:59.88]  thing that I did was I posted when I got
[24:02.08]  the job at open a hey I I've got this
[24:04.12]  job at open a I'm incredibly excited
[24:06.16]  about it on LinkedIn I posted all these
[24:07.96]  roles at any other company that'd be
[24:10.04]  probably a pretty reasonable thing to do
