Title     : 10 Things a CEO Should and Should Not Expect From the CMO  | SaaStr Software Community
Video ID  : I4cvu-d4rME
[02:47.08]  too so that you're not paying for
[02:49.13]  something that you're not yet - right
[02:51.29]  having saying hey this person I'm gonna
[02:53.18]  use them because they'll be great when
[02:55.04]  we're 30 million larger in revenue
[02:56.66]  that's a lot of costs that you're
[02:58.01]  carrying for that no totally and I think
[03:00.17]  that the reason why this is another
[03:02.39]  reason why I think this is a really big
[03:03.62]  time is it's this bull market that we've
[03:06.14]  been in and the Jason refer to a
[03:07.82]  downstairs we're losing that session the
[03:09.41]  best of times for cloud and SAS so there
[03:12.23]  might be some you know volatility here
[03:14.36]  and there but companies are going long
[03:16.04]  they're investing in growth and so I
[03:17.54]  think that's contributing to this
[03:18.74]  importance of kind of investing in
[03:21.23]  marketing and sales the tenure of CMOS -
[03:25.10]  is something that as you think about
[03:27.68]  that CEO CMO relationship it's the one
[03:29.72]  that's the shortest and the c-suite you
[03:31.88]  see this headline here and it doesn't
[03:33.29]  sound so bad forty three months Wow we
[03:35.15]  would love to have our executives on
[03:37.34]  board that time but that's of the CMOS
[03:38.96]  at the top 100 companies when you look
[03:42.14]  at tech CMOS I would argue that the
[03:44.33]  average has has to be and there's some
[03:45.95]  research to this less than 18 months and
[03:49.10]  so how do you get this role right so
[03:52.13]  that somebody's with you and you have a
[03:53.75]  partner through the duration that's
[03:56.06]  really really critical totally and I
[03:57.86]  think there's one other thing too that
[03:58.85]  it may be more intangible it's that CMOS
[04:01.85]  are looking for this trust opera this
[04:04.91]  opting to build trust with a CEO someone
[04:07.13]  that they can kind of you know go you
[04:09.05]  know build a generational company with
[04:10.97]  together and CEOs are being picky - they
[04:13.85]  want to find CMOS who can sort of be
[04:16.43]  stewards of the brand could really help
[04:18.14]  kind of Shepherd the company to that
[04:19.55]  next chapter of growth and so if it's
[04:22.85]  adding to some of the complexity I think
[04:24.71]  between these relationships you know it
[04:27.14]  is an important dynamic the article we
[04:29.36]  have up here is
[04:30.78]  from Jason and it actually Anthony is I
[04:34.05]  think part of what inspired it is how do
[04:36.09]  you find that bright CMO is it is it a
[04:40.32]  certain thing and we're gonna get
[04:42.03]  through some of that yeah during this
[04:44.46]  session yeah I think we're gonna talk
[04:45.81]  about ten things in particular ten
[04:47.55]  things that a CEO and CMO should know
[04:50.94]  about each other they in both in terms
[04:53.70]  of sourcing and finding these folks but
[04:55.14]  also just the working relationship
[04:56.52]  between these two groups so we dive in I
[04:59.51]  love this all right so the the first one
[05:02.79]  we'll start with a controversial one
[05:04.17]  right out of the gates a CEO should
[05:06.87]  expect the CMO to execute her vision and
[05:10.92]  the inspiration for this came from a
[05:12.33]  tweet that Jason posted earlier on this
[05:14.37]  subject and probably the more
[05:15.90]  controversial or debated sastra posts
[05:19.11]  that I've seen but to me that resonates
[05:21.48]  deeply because I don't interpret what
[05:23.79]  Jason is saying here is the CMO needs to
[05:25.89]  be a sort of yes-man yes woman or as
[05:28.74]  well talk about a little bit not bring
[05:30.36]  their influence into vision and strategy
[05:32.34]  but I think marketers need to appreciate
[05:34.62]  that the founder and CEO sets the vision
[05:38.46]  for the company and our job is to
[05:40.97]  basically find a way to bring that to
[05:43.20]  life the ambassadors of the brand and
[05:45.99]  bring it out to the marketplace and so
[05:47.22]  it's not about sort of humbling
[05:48.60]  ourselves it's about winning together
[05:50.31]  and building that relationship in that
[05:52.35]  dynamic between the marketing leadership
[05:54.12]  and the CEO is key to doing that it's
[05:56.79]  for me one of the best I believe one of
[05:58.65]  the best gifts CMOS can have is a great
[06:01.08]  CEO one who's visionary one who thrives
[06:04.47]  on sort of being out in front of
[06:06.03]  customers or the camera or the media or
[06:08.22]  prospects they want to spend their time
[06:10.02]  doing that and I've been pretty
[06:11.67]  fortunate to work with two of those
[06:13.20]  folks but the idea that the challenge is
[06:16.80]  even though CEOs wants it spend a lot of
[06:18.96]  time doing that there's always an
[06:21.09]  opportunity cost right like there's so
[06:22.89]  many different things you should be
[06:23.79]  doing well focused on so their ability
[06:26.64]  to connect with an audience connect with
[06:28.23]  the customer and prospect and build
[06:29.64]  trust is critical to sort of realizing
[06:32.04]  that vision but the biggest challenge of
[06:33.93]  course is time and so I remember Keith
[06:36.93]  Kroc the the former chairman of DocuSign
[06:40.29]  he said that marketing his ability to
[06:42.15]  really scale a
[06:43.98]  CEOs trust-building with an audience
[06:45.87]  that's a superpower and so I totally
[06:48.15]  believe that whether it's contributed
[06:49.62]  articles speaking opportunities podcasts
[06:51.75]  kind of the one-to-many opportunity to
[06:54.27]  take that vision put it in words or
[06:56.55]  speech and sort of get that out into the
[06:58.17]  world
[06:58.50]  that's how marketing can really help
[06:59.82]  execute visioning yeah and I agree with
[07:02.25]  that and and what Anthony said we just
[07:04.86]  talked about this if you were downstairs
[07:07.43]  around how important that relationship
[07:09.48]  is and and some of those the way that
[07:13.11]  the CEO can is that first CMO right they
[07:16.71]  have a vision and the marketer needs to
[07:18.87]  capture that but the marketer can't just
[07:21.06]  then rest on that and this brings us to
[07:22.80]  you'll notice this is our nots this is
[07:25.11]  the the don'ts it should not be that it
[07:27.99]  is a passive voice that the marketer
[07:29.88]  just carries that CEOs bag and runs it
[07:32.37]  forward we have to remember the market
[07:35.19]  that should be in marketing and so it
[07:37.35]  needs to be a voice back into the
[07:39.57]  organization it needs to highlight
[07:41.40]  what's that happening in the market the
[07:43.83]  CEO really needs partnership in that so
[07:46.38]  that they can help form that great
[07:47.76]  decision and and I think sometimes you
[07:50.67]  know we're so busy running forward that
[07:52.35]  we don't always bring that back and it
[07:55.17]  needs to also your job as a CMO is not
[07:59.43]  just bringing the CEOs voice forward to
[08:01.11]  its the entire executive team there's
[08:03.27]  things that they'd have to happen that
[08:05.19]  marketing can help within the
[08:06.54]  organization the CH ro is needing to
[08:09.03]  recruit the the head of engineering is
[08:12.12]  looking for new engineers and how can
[08:13.53]  marketing be a part of their bringing
[08:15.18]  their vision out as well so that they
[08:17.49]  can get the things out of marketing that
[08:18.78]  those teams need and so our next point
[08:21.03]  and this is a do you're gonna see us go
[08:22.80]  back and forth here what we're gonna
[08:24.00]  highlight something they should do and
[08:25.44]  then not do its choose a marketing
[08:28.05]  channel and dominate it and if we move
[08:29.73]  to the next slide you're gonna see and
[08:31.77]  you may have seen an image like that
[08:32.91]  before you may have heard you know that
[08:35.70]  if you do if you just spend your time
[08:37.68]  doing making sure the blog gets up and
[08:39.84]  getting the white paper out and getting
[08:41.34]  that email out and you fill up the jar
[08:43.65]  with all those little things you're not
[08:45.09]  gonna have time for the big ones I think
[08:47.16]  the biggest secret to the high-growth
[08:49.29]  firms they've been with is we've played
[08:50.67]  a place to stake in the ground we've
[08:52.08]  said hey here's some big things that
[08:54.93]  we're gonna do and we're going to do
[08:56.07]  them better than any
[08:56.92]  else have some examples on the next
[08:58.87]  slide the bottom-right I think is one
[09:01.87]  we've all seen right that's zoom
[09:03.22]  billboard you've earn an airport you see
[09:05.23]  the zoom ad that is they are doing that
[09:08.62]  I mean I don't know that any of us here
[09:10.45]  can say hey you know a great PPC ad we
[09:13.45]  saw for zoom they have done this just
[09:16.09]  really really well another example I
[09:19.45]  don't know if you recognize the logo but
[09:21.40]  that's the Salesforce trail that logo
[09:23.02]  right like they have put so much in
[09:24.97]  community and that is become just a
[09:27.61]  staple for their marketing and the upper
[09:30.70]  left is a scratch shot from a Dreamforce
[09:33.07]  event but you see the Aptus there when I
[09:34.87]  was at Aptus we made that show like our
[09:37.39]  goal was not to just get good ROI as
[09:39.70]  marketers we said we are going to when
[09:42.67]  you look across every sponsor in that
[09:45.79]  room we're gonna want to gets the most
[09:47.29]  share voice we're gonna win that show as
[09:49.27]  a sponsor and we're gonna do that better
[09:50.80]  than anybody else and we gave up things
[09:53.17]  for that we didn't have a blog the first
[09:55.45]  two years I was there there's there's
[09:58.12]  just things we said hey it's not gonna
[09:59.89]  matter because we're gonna get an
[10:01.18]  outside share or unfair share from doing
[10:04.42]  some of these things really well and the
[10:05.86]  last one is definitely a nod to you the
[10:08.20]  post conference the gain sites done I
[10:11.08]  think many of us have been there if you
[10:13.06]  haven't we know it and they it was just
[10:15.46]  done so well that they you know there's
[10:18.61]  all of your competitors we're doing
[10:20.20]  small conferences hundred people at them
[10:22.24]  but they just couldn't get the share the
[10:24.82]  mind share because you get this out size
[10:27.01]  advantage when you do something well
[10:28.48]  totally and something well doesn't
[10:31.72]  always come free which is this next part
[10:34.27]  that a CEO should not expect the CMO to
[10:37.36]  just dominate a marketing channel for
[10:39.31]  free don't get me wrong there are a lot
[10:41.95]  of great sort of organic channels that
[10:45.19]  do drive we talked about blog posts and
[10:47.11]  whatnot and in fact for gains that a lot
[10:48.91]  of our growth today still comes from a
[10:50.56]  Content asset that we wrote you know
[10:52.69]  years ago how do we how I structure a
[10:54.55]  qbr that's still driving traffic to the
[10:57.22]  site today and they're getting into our
[10:58.42]  funnel that way so it is important but
[11:01.60]  the reality is that marketing really hot
[11:03.73]  to be viewed as an investment an
[11:05.95]  investment in tewevision execution
[11:08.28]  and the quality of work gets constraint
[11:10.23]  by you know these variables by budget by
[11:12.33]  time and scope so the notion of
[11:14.46]  dominating a market channel for free
[11:16.56]  isn't really a realistic expectation to
[11:19.32]  set between a CEO and his CMO and you
[11:22.50]  mentioned polls thanks for bringing that
[11:23.85]  up
[11:24.00]  live events corporate events were really
[11:26.76]  one big channel that we said hey this is
[11:29.28]  the one we're gonna go go long on so we
[11:31.29]  developed this micro brand called pulse
[11:33.08]  and it was a it featured this marquee
[11:36.66]  program which was an industry conference
[11:38.61]  that we just held the Moscone Center
[11:39.99]  here in May 5500 people but it's not
[11:43.29]  just an event this is our biggest
[11:44.82]  pipeline creator deal accelerator CSAT
[11:48.33]  influencer really any business outcome
[11:51.15]  that we could hope to really impact sort
[11:53.40]  of all converged around this event every
[11:54.99]  year in addition to that it created this
[11:57.21]  halo effect around the company and the
[11:59.28]  category at large so how do you put a
[12:01.26]  price on that you have to and so in our
[12:04.71]  case the price was about a million bucks
[12:06.18]  of net spend and in my research for
[12:08.58]  other companies that have done this at
[12:10.02]  scale that's more on the conservative
[12:11.16]  side of estimates of averages in fact
[12:14.88]  people are spending so much companies
[12:16.98]  are spending so much on conferences that
[12:19.44]  they're literally calling it out on
[12:21.39]  their sales and marketing disclosures on
[12:22.92]  their s ones when they're going public
[12:24.00]  and so if you can't quantify the impact
[12:27.03]  of these programs on business outcomes
[12:29.34]  then kind of out of love so I and I if
[12:33.66]  you were downstairs I talked about this
[12:35.19]  I talked about this almost every time I
[12:37.11]  talk about marketing is that we cannot
[12:38.79]  just think about it as marketing we have
[12:40.44]  to think about it as this overall sales
[12:43.74]  and marketing motion and really
[12:45.51]  understand what value is being created
[12:48.42]  overall and what part marketing is going
[12:50.43]  to play in it and so whether marketing
[12:54.87]  should be a multiplier for the sales
[12:57.18]  team right if we could do it all just
[12:58.71]  with direct sales like why wouldn't we
[13:01.53]  the challenge is you get no it's that
[13:05.46]  you just get no leverage from that right
[13:07.35]  every time you want to sell another
[13:09.06]  eight hundred thousand
[13:10.18]  million dollars you have to add another
[13:11.56]  rep you never benefit from scale and
[13:13.81]  scale it becomes very important so
[13:15.34]  marketing is that multiplier in the
[13:17.44]  front but it has to be something that is
[13:20.62]  discussed across the overall sales team
[13:22.51]  and you have to understand you're all
[13:24.13]  going to the same place you're trying to
[13:25.60]  do the same thing there should be one
[13:27.07]  set of metrics between them that's
[13:28.72]  indicating the health of that revenue
[13:30.46]  and what the future of revenue is to
[13:32.14]  come it should be agreed and then sales
[13:34.87]  and marketing later I hate the idea of
[13:37.03]  sales and marketing and lineman issues
[13:38.92]  and because we're going to the exact
[13:41.20]  same place the example I use this
[13:42.73]  morning it's like we're all just
[13:43.78]  deciding how to walk over to target and
[13:45.93]  who cares if we go one way or the other
[13:48.61]  it's just agreeing that we're going to
[13:50.11]  target agreeing to those goals and then
[13:52.24]  each presenting a plan saying hey this
[13:54.43]  is how we want to get there and I think
[13:56.02]  that you know CEOs should expect that
[13:59.23]  shared voice across the the go-to-market
[14:01.06]  team here's an example this is actually
[14:08.11]  like just a screenshot from a text
[14:10.96]  message this is when I was an actus
[14:13.24]  which I had left two years ago this is a
[14:16.54]  text from a month ago and I have lots of
[14:19.81]  them on my phone from the person that
[14:21.64]  was the revenue leader he is now at a
[14:23.71]  different company we haven't worked
[14:24.76]  together two years and he texts me
[14:26.38]  almost every time he closes a big deal
[14:28.00]  and so that is that like shared passion
[14:31.95]  shared goal that we can't even break
[14:34.57]  this relationship that happened where
[14:36.67]  it's so important to me as the marketer
[14:39.16]  who were closing because the marketing
[14:40.87]  team understands what we're trying to do
[14:43.39]  and it's going to be a celebration that
[14:44.86]  I bring back to the team I think this is
[14:46.51]  really critical it's awesome super
[14:48.70]  critical and I think it's also important
[14:50.86]  to have accountability alignment at the
[14:53.29]  accountability level between marketing
[14:55.00]  and sales and so that's why a CEO should
[14:57.19]  not expect a CMO to just rest on their
[14:59.47]  laurels when they hit the pipe line
[15:01.33]  number alone
[15:02.98]  so most CMOS are going to be measured by
[15:04.81]  company metrics so you know bookings grr
[15:06.97]  cash but I think the prevailing wisdom
[15:09.34]  has always been marketing you're
[15:10.87]  responsible for pipeline sales you're
[15:12.70]  responsible for closing and I think
[15:14.50]  that's a dangerous idea to believe
[15:16.51]  literally because here's what happens if
[15:18.64]  you do you start to create a world where
[15:20.74]  mark
[15:21.46]  can celebrate hitting the pipeline
[15:22.87]  target when sales misses the quarter or
[15:24.85]  sale says I'm not gonna prospect we're
[15:26.92]  focused on closing that's marketing his
[15:28.18]  job and so this sort of go to market
[15:30.37]  house that you know Maria's painting
[15:32.05]  becomes divided and you're inviting a
[15:33.88]  ton of different issues in for the CEO
[15:36.10]  or the CRO to have to sort of arbitrate
[15:38.41]  like who should I believe and in my
[15:40.87]  experience between marketing's data and
[15:43.75]  sales is word and opinion sales is going
[15:45.91]  to win and so we need to make sure that
[15:47.65]  we kind of prevent this from happening
[15:49.00]  to begin with oh and so here's how we
[15:52.06]  did it against at least this was our
[15:53.35]  take on sort of aligning the the
[15:55.99]  measurement we cared about the leading
[15:58.33]  indicators we cared about database
[15:59.86]  growth MT Wells sql's that was sort of
[16:02.02]  how we ran our business as a team but
[16:05.80]  what we reported on more broadly was
[16:07.39]  pipeline coverage and so we had
[16:09.55]  basically a 50% closed rate from what we
[16:12.67]  called late stage pipeline to close and
[16:15.10]  so we said we need to start every
[16:16.51]  quarter with 2x late stage pipe set to
[16:19.69]  close that quarter so that how we got
[16:22.15]  there how we got the target didn't
[16:23.47]  really matter between marketing and
[16:24.64]  sales we needed to feel good about the
[16:27.16]  late pipe not just sort of some of the
[16:29.08]  early indicators of pipeline in order to
[16:30.97]  feel like we were accountable to that
[16:32.20]  together so with the expectations about
[16:34.45]  how the measure marketing impact the
[16:36.64]  next step is well how do you represent
[16:38.56]  that impact at senior leadership or at
[16:41.17]  the board level a CEO should expect a
[16:44.32]  CMO to be the marketing expert at these
[16:47.29]  meetings and to have full awareness of
[16:49.27]  his or her business you know in the
[16:51.82]  larger and more multidisciplinary
[16:52.68]  marketing becomes overtime the further
[16:55.27]  away the CMO gets from hey what are the
[16:57.49]  campaigns were running specifically this
[16:58.84]  week what how our conversion targets
[17:01.00]  trending towards kind of that that Lad
[17:02.50]  lagging outcome but the reality is while
[17:05.44]  that might be the case you really have
[17:07.30]  to install the processes to have both
[17:09.91]  awareness of that data when when called
[17:11.98]  upon certainly in the meeting to be able
[17:13.60]  to actually speak to the data interpret
[17:15.82]  it and represent kind of what the the
[17:18.34]  team's kind of put together
[17:19.33]  I found that around the table around
[17:22.87]  maybe a lot of organizations a lot of
[17:24.28]  people think their marketers right and
[17:26.59]  that might sound trite probably cuz it
[17:27.91]  is but that's all the more reason that
[17:30.10]  your voice is a CMO is really
[17:32.24]  to be that expert in the room and to be
[17:33.95]  able to speak into why this is working
[17:36.38]  or not working and I think a big part of
[17:38.90]  that is having the right kind of VPS
[17:40.76]  that are and kind of the next level
[17:43.13]  level down that you're talking to around
[17:44.84]  kind of what is and what isn't working
[17:46.58]  that the data is something that doesn't
[17:48.17]  isn't hiding but more important than
[17:50.63]  that just speaking up just leaning into
[17:53.57]  the metrics whether the cells are green
[17:56.06]  or red is super important in these rooms
[17:58.16]  and for very senior meetings they at
[18:01.04]  board meetings at exact staff super
[18:04.58]  important to spend time prepping with
[18:06.56]  other leaders that are in that room
[18:08.09]  ahead of that meeting
[18:08.96]  and so I go back to the point about the
[18:11.18]  single house this is about winning
[18:13.46]  together with our sales organization so
[18:15.35]  ensuring that our our sales leaders are
[18:17.87]  aware of the point of view that we're
[18:19.55]  gonna take in that meeting let's get
[18:20.87]  their questions answered ahead of time
[18:22.31]  that's gonna lead to a better outcome
[18:24.14]  once we're in the room together so I
[18:26.21]  think again this is something that a CEO
[18:27.86]  should expect it's already happening
[18:29.36]  between your marketing and sales leader
[18:30.80]  without having to ask about it so it's
[18:33.26]  great that marketing is in the room and
[18:35.03]  has the data for for that board but I
[18:37.94]  think that our role goes beyond that and
[18:39.80]  so what they should not expect is for
[18:43.22]  the marketer to only speak up on
[18:44.51]  marketing you know the market marketing
[18:46.49]  team does see that entire market they're
[18:48.41]  talking to analysts every day they're
[18:49.97]  talking to press they're talking to
[18:52.34]  customers and so marketing should have a
[18:54.95]  view across the entire organization I
[18:58.10]  think one of the things that I've
[18:59.72]  learned and you know as I'm trying to
[19:02.36]  continue to grow and what I do how do I
[19:04.85]  do that job better one of the things
[19:06.50]  that I've been paying a lot attention to
[19:07.97]  is what the board is bringing to the CEO
[19:09.98]  I mean there is if you're a marketer in
[19:12.83]  the room signing up and making sure with
[19:15.65]  PwC and Deloitte and Accenture you know
[19:17.72]  the the board trends that they're
[19:19.70]  putting out understanding them because
[19:22.31]  the board is going to be reading those
[19:23.75]  trends and they're gonna be asking your
[19:25.01]  CEO those questions you know right now a
[19:27.35]  big trend is consolidation of IT and so
[19:32.48]  you know when you're head of IT comes to
[19:34.79]  you and says hey listen we can't have 40
[19:37.76]  marketing apps and you know security and
[19:40.01]  Trust is an issue and so we're
[19:42.38]  consolidating some of this because it's
[19:44.12]  really important
[19:45.05]  how we look at our customer data going
[19:47.21]  oh my gosh I need every one of these
[19:48.53]  tools and I'm buying 10 more is not the
[19:50.81]  answer
[19:51.23]  it's understanding those four trends
[19:53.45]  understanding why the CIO is coming with
[19:55.82]  that question and being able to to
[19:59.63]  respond to it and be smart about that
[20:02.18]  and I I think even beyond that to
[20:04.36]  understanding the other pressures that
[20:06.38]  the other leaders have in the team and
[20:08.12]  being able to and you mentioned some of
[20:09.77]  this give a voice to that not just in
[20:11.48]  sales but if there's a professional
[20:13.88]  services question or product questioning
[20:15.77]  to really come with an informed and
[20:18.49]  purposeful answer an opinion to that
[20:22.10]  topic so that the CEO can make the best
[20:24.77]  decisions possible totally all right so
[20:28.81]  the CEO should expect the CMO to
[20:32.24]  contribute big ideas it's never been
[20:35.60]  easier to bring a SAS product to market
[20:38.06]  and look at all of us you know here in
[20:39.38]  the room and everything that sastras
[20:41.00]  built because of that you can appreciate
[20:42.41]  that products are kind of on a natural
[20:44.60]  course towards commoditization
[20:45.95]  themselves the delivery model just sort
[20:48.80]  of enables that so companies need big
[20:51.23]  ideas right out of the gates to stand
[20:53.87]  out from the crowd and I think the CEO
[20:55.55]  should expect her CMO to be right in the
[20:58.43]  heart of that and I'll pick on the file
[21:01.25]  sharing industry for a minute only
[21:02.66]  because I grew up there if you need a
[21:05.21]  store and share a file online today
[21:07.16]  there are over 200 vendors that can help
[21:09.47]  you with that 200 and it's according to
[21:12.08]  g2 that's a great thing for consumers
[21:14.57]  but sometimes what's great for consumers
[21:16.13]  isn't great for vendors that are
[21:18.23]  operating in crowded markets and so I
[21:20.57]  found Cortney but I believe pretty
[21:22.37]  deeply in the simon Sinek people by why
[21:24.71]  you do things right not just what you do
[21:26.96]  and so marketing has a pretty major role
[21:29.87]  to play since customers tend to buy
[21:31.58]  emotionally and the role is articulating
[21:34.43]  or kept coming up with big ideas and
[21:36.02]  creative ideas on how we articulate the
[21:38.09]  why in a way that's engaging and in a
[21:40.91]  way that's going to resonate and I call
[21:42.53]  that brand and yes I'm using the word
[21:44.75]  brand in a roomful of b2b people it's
[21:46.97]  okay we'll be fine
[21:47.93]  for so long we've said brand doesn't
[21:50.45]  matter we're focused on growth I'm
[21:52.58]  focused on hitting the number I think
[21:54.56]  for the first time we're starting to say
[21:55.97]  hey
[21:56.65]  bran may not be a distraction from
[21:58.09]  growth it might actually be like the
[21:59.65]  sustainable lever it's actually growing
[22:01.33]  the company and I think this is true for
[22:03.82]  custom companies that are operating in
[22:06.10]  commoditized spaces as I mentioned but
[22:07.75]  also for companies that are creating
[22:08.95]  spaces so the extent to which a CMO can
[22:13.30]  think about the human humans the
[22:15.70]  humanity behind the logos that we're
[22:17.23]  trying to sell to and come up with ideas
[22:19.36]  to really can serve them whether that's
[22:21.40]  through our messaging whether that's
[22:22.66]  through our content whether that's
[22:23.83]  through our events whatever it is and
[22:25.60]  really appeal to the to the humanity of
[22:27.49]  our market I think that's gonna be a key
[22:29.98]  driver to success and while we do want
[22:33.22]  to focus on Big Ideas not all ideas are
[22:36.34]  gonna drive great business outcomes
[22:37.99]  right not every idea is a good idea
[22:39.97]  we're just gonna go right to the next
[22:41.89]  slide so the challenge there is is as
[22:46.00]  all of the as the company is coming and
[22:48.31]  bringing all these ideas well you don't
[22:50.59]  want to be is this I heard somebody said
[22:53.17]  this phrase months and I almost died
[22:54.67]  when I heard it it's like this idea of
[22:56.32]  the CM No
[22:57.37]  and like tell it you know being able to
[22:59.53]  say hey we can't do everything I think
[23:01.21]  what you have to do is up level the
[23:02.71]  conversation when somebody comes and
[23:04.15]  says hey I have a great idea being able
[23:06.97]  to say you know why that idea what are
[23:10.42]  you trying to achieve and then coming
[23:12.79]  back and being responsive and saying hey
[23:15.40]  we have this big idea this is our big
[23:17.62]  rock that we're working on it seems to
[23:19.78]  achieve to that idea as well let's
[23:22.18]  really put all in on that and then let's
[23:24.58]  decide if we can move forward with with
[23:27.91]  your idea later I think the other thing
[23:29.92]  is you know every person in the company
[23:32.80]  we didn't ask everybody here who's a
[23:34.51]  market or the reality is everyone is
[23:36.19]  right and if you're a marketer and fight
[23:38.83]  that it is you're gonna have like not
[23:40.45]  that fun of a career nobody comes to the
[23:43.36]  engineer and says hey this is I've never
[23:45.76]  as a marketer this is what the line of
[23:47.17]  code should look like but lots of people
[23:49.09]  come and say hey this is what I think we
[23:51.76]  should do from marketing and I think
[23:53.05]  just really trying to hear that and
[23:55.06]  finding places to give people an input
[23:59.32]  we used to do a big conference very much
[24:01.45]  like gainsight at Optus and we would set
[24:04.36]  aside a day where we had a room and
[24:06.46]  there were cookies and
[24:07.99]  some fun stuff around it but we asked
[24:09.61]  people to contribute ideas in the areas
[24:11.29]  where we needed help or we wanted to do
[24:12.91]  bigger things letting them share that
[24:15.67]  feedback and then celebrating that right
[24:18.04]  maybe doing some voting after that
[24:19.48]  letting people you know be a part of the
[24:21.67]  marketing what's really great about that
[24:24.49]  you know my job is a CMO and I say this
[24:26.89]  all the time is not it's not that hard
[24:29.20]  to have a bunch of people who come to
[24:31.21]  work to do marketing do marketing what
[24:33.82]  is the hard part of the job is how do
[24:35.53]  you get every employee every partner
[24:38.05]  every customer every analyst every
[24:40.12]  investor all saying great things and the
[24:43.63]  same things about your brand and by
[24:46.15]  giving everybody a voice letting people
[24:48.31]  give feedback and then trying to
[24:49.96]  incorporate that in Babel then carry
[24:53.23]  that message forward because they'll
[24:54.49]  feel like they're a part of it and so
[24:56.16]  while not every idea is a big idea I
[24:58.72]  think you do have to figure out how to
[25:00.37]  capture that voice and really empower
[25:02.47]  everybody to to feel like it is theirs
[25:06.51]  totally that's it these were the 10
[25:09.31]  things a CEO should and should not
[25:11.59]  expect from the CMO and this is a lot of
[25:14.20]  fun to work together on honestly this
[25:15.76]  was really cool no I totally agree and I
[25:19.39]  think these are 10 great tips we have a
[25:21.58]  little bit of extra time and I'm gonna
[25:23.23]  use it I was panicked that we were not I
[25:26.44]  did us I practiced Anthony's part early
[25:28.81]  this morning and I pulled a bunch of
[25:30.16]  slides but I'm gonna use this as an
[25:31.45]  opportunity to throw in maybe an 11th
[25:34.12]  and we talked about this and I have been
[25:35.59]  like wanna thing about this and I think
[25:38.08]  that a lot of CEOs are right now is
[25:40.24]  trying to solve for the problem of today
[25:42.10]  I'll talk to a CEO and they say hey we
[25:43.45]  really need a brand marketer we really
[25:45.25]  need a demand marketer and I think it's
[25:47.08]  the wrong way to think about it I think
[25:49.39]  if you're you're looking for a marketer
[25:52.27]  understanding the stage that you're in
[25:54.00]  considering hey this is somebody who's
[25:55.96]  helped companies get their product fit
[25:57.64]  or that helped scale I think all of that
[25:59.68]  is reasonable but when you're asking
[26:01.96]  about when you're saying hey our issue
[26:03.52]  we've had great demand but now we need
[26:06.07]  some brand in front of it or hey we've
[26:08.98]  had great brand but we're not getting
