Title     : What's New at Greenhouse!  $200m ARR, AI in the Real World, Getting Bought by PE, More
Video ID  : dTdSjvbRsQ8
[06:24.88]  just doing worse there's a lot more
[06:26.20]  churn companies are going out a business
[06:28.32]  um new startup formation and growth is
[06:30.84]  down but the Enterprise segment that we
[06:33.28]  have which by the way is bigger now than
[06:34.52]  our SMB segment is doing great and so
[06:37.56]  the net retention characteristics and
[06:39.16]  the long-term nature of it like is
[06:40.44]  really nice at the same time there's
[06:42.12]  other years where you know smvs are just
[06:44.96]  you know jumping in the boat and it's
[06:46.52]  all you can do to take the orders as
[06:47.84]  fast as possible and so you get this
[06:49.80]  amazing growth so like the portfolio
[06:52.00]  effect of that at our scale is is really
[06:54.32]  helpful because you you're gonna have a
[06:55.60]  bunch of different years with a bunch of
[06:56.80]  different things happening secondly is I
[06:59.68]  do think there's something really neat
[07:01.28]  about having uh couple thousand startups
[07:05.76]  using your product every day you get so
[07:07.44]  much more Innovation like the
[07:08.80]  Enterprises don't really want all that
[07:10.56]  Innovation uh but or they're not g to
[07:12.52]  drive it but they want it and so it's
[07:14.64]  not g to come from them but having
[07:16.36]  startups lets us try things even if
[07:19.32]  they're not necessarily built out to
[07:20.76]  scale yet with our SMB customers and as
[07:23.48]  they succeed and we invest in them and
[07:24.96]  we get the regulatory needs and things
[07:26.48]  met then we can roll it out to like an
[07:28.16]  Enterprise customer I think our
[07:29.60]  Enterprise customers like the fact that
[07:31.40]  they benefit from that like they're the
[07:33.40]  lab that the start the tech companies
[07:34.84]  are the lab the startups are the lab
[07:36.12]  right got it you got it but look it's
[07:37.68]  but look it it it comes at the expense
[07:39.64]  of other things so like we're multi
[07:41.68]  we're multi- segment that means that
[07:43.24]  like we're serving a few different
[07:44.68]  markets and so it's like it's a lot of
[07:46.20]  stuff to build and how do
[07:48.28]  you a something folks seem to yo-yo on
[07:51.40]  as they scale is this idea hey look
[07:54.68]  maybe maybe as you know you just said
[07:56.60]  the majority of your revenue is
[07:57.56]  Enterprise so it'd be natur for
[07:59.68]  marketing and others to put all the
[08:01.00]  money there right all the energy it's
[08:02.48]  just natural right but then folks
[08:04.72]  realize that if they don't put enough
[08:06.44]  into the startups someone else takes
[08:08.56]  that and they don't always find you
[08:10.88]  later right and I've heard this any
[08:13.20]  everywhere from mckl at zenes and others
[08:15.68]  saying you gotta you know they do this
[08:17.52]  up market and then then they rotate back
[08:19.80]  do how important is that if do you need
[08:21.96]  to do you want to capture them at
[08:23.36]  Greenhouse sub a million in Revenue so
[08:25.60]  they stay with you for life how have you
[08:26.92]  thought about that over over a decade
[08:28.80]  yeah definitely I mean you look at our
[08:30.00]  Enterprise business and part of the
[08:31.12]  reason why it's so great is because a
[08:32.76]  lot of those companies started when they
[08:34.72]  were tiny yeah I we have a huge amount
[08:37.12]  of our midmarket that were SMB and our
[08:39.40]  Enterprise customers that were
[08:40.52]  mid-market just a few years ago and um
[08:44.28]  and so when you look at the true
[08:45.72]  lifetime value of one of those companies
[08:48.60]  you have to think about the fact that
[08:50.00]  like there's a there's a um even after
[08:53.04]  segment shift so we look at a segment
[08:54.68]  business what we don't realize is like
[08:56.72]  well some of the turn in our Enterprise
[08:58.24]  in our S&B business is actually
[08:59.96]  companies moving into into midmarket um
[09:03.24]  and so it's like more segment transfer
[09:05.36]  and so um so that that that's been a
[09:08.16]  dynamic for a long time and so look I
[09:09.88]  think you're right about the swing you
[09:11.40]  know nature of it I think we try to be
[09:14.12]  thoughtful about the fact that we are
[09:16.00]  running a portfolio of bets and you got
[09:18.76]  to place a few chips in each Square um
[09:22.12]  and be consistent over time it doesn't
[09:23.92]  mean that in a certain year you may
[09:25.56]  focus more on one place than another
[09:27.92]  tactically um but we're never going to
[09:30.12]  abandon one abandon the other it's just
[09:32.44]  more about managing a portfolio are
[09:34.80]  there and and maybe I should know this
[09:36.04]  and I don't are there like a couple
[09:38.56]  massive features that your Enterprise
[09:41.20]  customers need that the bid Market SB
[09:42.92]  literally don't care about when you're
[09:44.24]  managing 10,000 employees I don't know
[09:45.96]  where the what's the line for you for
[09:47.16]  Enterprise right maybe 5,000 10,000
[09:49.84]  employees yeah yeah we say actually it's
[09:52.16]  a thousand employees and up thousand
[09:53.72]  employees okay um but a workday
[09:55.64]  integration is a classic example of that
[09:57.52]  got it got it bus it's not it's not that
[10:00.08]  like they just want it a little bit less
[10:01.40]  like they don't want it at all it's not
[10:02.52]  relevant to them and right you know they
[10:05.00]  don't want like a little version of it
[10:06.72]  um you know versus an Enterprise it's a
[10:08.84]  requirement um and so uh that so that's
[10:12.32]  a great like there's a bunch of features
[10:14.32]  in in the different um approaches that
[10:18.00]  we've segmented out for that reason and
[10:21.36]  um to a related point the biggest theme
[10:23.92]  at saster annual this year um bummed we
[10:26.16]  didn't have you this year but we'll get
[10:27.20]  you back your lot we'll talk about your
[10:28.72]  travel before we break because it was an
[10:30.56]  interesting conversation we had but boy
[10:33.16]  the theme was multiproduct everyone
[10:35.48]  talked about I remember at s 2017 they
[10:37.72]  brought in Jeff Lawson and Peter gastner
[10:40.04]  to do these back-to-back and it was
[10:41.52]  early actually 2017 was early and the
[10:43.52]  but today it's everything and
[10:45.08]  particularly in HR there were a lot of
[10:46.92]  themes of SED ification in in HR right
[10:50.80]  um and all over the place you could see
[10:52.84]  it at one end from the rippings and the
[10:54.84]  others to lattice it was like
[10:57.16]  overwhelming so what have you what's
[10:59.44]  your and tell me where Greenhouse is on
[11:01.88]  this I should know I feel like you're
[11:04.28]  somewhat multiproduct but you're focused
[11:06.72]  yeah we're mostly like our Flagship
[11:08.72]  Greenhouse hiring software like the
[11:10.40]  applicant tracking system and all the
[11:11.64]  hiring stuff around it like that's the
[11:13.84]  bulk of our business we do you managed
[11:15.52]  to make that that's GNA get you to a
[11:17.80]  billion in Revenue though isn't it
[11:19.04]  that's the business um we'll see I feel
[11:21.80]  like um I feel like for us you know like
[11:25.00]  you said like we're at about 200 right
[11:27.00]  now you don't need any imagination to
[11:29.28]  c400 in that business because it's just
[11:31.32]  like more customers you know more of the
[11:33.48]  same um you know to get and and other
[11:36.56]  vendors have already done it so you can
[11:38.00]  kind of look around and see like oh this
[11:39.44]  has been done before um to get to a
[11:41.64]  billion of ARR just on the ATS business
[11:44.60]  it needs a little bit of imagination I'm
[11:46.04]  not saying it can't be done but but you
[11:48.16]  gota you got to think some things are
[11:49.72]  are true that that um you know that may
[11:51.84]  not be now or that have to stay true and
[11:54.20]  so I'm kind of thinking about it as like
[11:56.76]  okay so that growth can get us another
[11:59.56]  turn uh from 200 to 400 um then what so
[12:03.76]  that gives us a little bit of time okay
[12:05.52]  we don't have to do that today or this
[12:07.20]  year um but I'm thinking about like if
[12:09.88]  the first 10 years of greenhouse was
[12:12.56]  which believe it it's like crazy to
[12:13.92]  think how long it's been if the first
[12:15.52]  decade was uh let's let's win the ATS
[12:18.32]  Market okay check we're still on the
[12:21.12]  same Mission which is Let's Help every
[12:22.64]  company become great at hiring so it's
[12:23.96]  like okay are there other things our
[12:25.96]  customers do in hiring that they don't
[12:29.28]  do super well that now that we're at
[12:31.60]  this scale we think we can help them get
[12:32.88]  better at like yeah that is a long list
[12:35.84]  so I think we're starting now thinking
[12:37.88]  about okay for the next decade of
[12:39.16]  greenhouse how do we really take the
[12:41.72]  next step in that mission and what are
[12:43.08]  the opportunities there given what we
[12:44.56]  built yeah I guess that point that if
[12:46.56]  you have comps that are bigger than your
[12:49.00]  target that are that have done then you
[12:50.56]  know you can do it especially if you
[12:51.80]  believe you have a better product right
[12:53.76]  going back in time though for like
[12:55.48]  Founders I remember in the early days
[12:57.12]  when we met I would introduce you guys
[12:59.32]  to different folks and the refrain was
[13:03.08]  another ATS okay like and people were
[13:05.64]  probably comparing it to to like Windows
[13:08.12]  based products that were very limited
[13:10.00]  right but did you know that the Tam
[13:13.16]  would be as big as it is today did you
[13:14.88]  have the confidence to say single
[13:16.68]  product e did you know you could get to
[13:18.40]  200 plus with your growth back then or
[13:21.12]  was it a constant thing you and you guys
[13:23.24]  were thinking about every year I'll tell
[13:25.72]  you what we I'll tell you what we knew
[13:27.64]  and and what we didn't what we knew was
[13:30.64]  hiring was a big problem yeah and worth
[13:34.36]  a lot of money a top a top 10 problem
[13:36.28]  right that's you know right top any way
[13:38.44]  you look at it like this is something
[13:39.72]  that bu every business cares about and
[13:41.72]  that there's real money in stake in
[13:43.36]  solving and the second thing we thought
[13:45.36]  was that the ATS business was failing to
[13:47.08]  solve that problem yeah we just it just
[13:49.52]  wasn't going to do it and so we knew we
[13:52.08]  had to do something different and
[13:53.44]  actually for the first six months we
[13:55.64]  didn't think we were going to build an
[13:57.08]  ATS at all because it didn't seem at any
[13:59.24]  way relevant to the solution we were
[14:02.04]  trying to to the problem we were trying
[14:03.32]  to solve um and it was it took some soul
[14:05.92]  searching for us to figure out like okay
[14:08.00]  but the buyers buy an
[14:11.60]  ATS and so as much as I want that not to
[14:14.20]  be true yes fact of the matter is we
[14:16.56]  have a category where every company buys
[14:18.84]  exactly one there's no such thing as a
[14:21.32]  company that doesn't have one and nobody
[14:23.04]  buys two yeah secondly all the buyers
[14:26.04]  are on LinkedIn because the head of
[14:27.68]  talent acquisition there's no such thing
[14:29.12]  as one of them who is on linked you go
[14:30.52]  find them and thirdly I can go to your
[14:33.00]  website and look at your careers page
[14:35.20]  and know everything about the incumbent
[14:37.16]  I know which product you're using I know
[14:38.48]  how much hiring you're doing and what
[14:39.72]  jobs you're hiring for like it's all
[14:41.44]  right there so it's a very addressable
[14:43.24]  market and so we thought ah the bar is
[14:46.16]  really low like apple Contracting
[14:47.32]  systems don't do a whole lot like
[14:48.68]  they're not very good and so we think we
[14:50.52]  can clear that bar we think we can
[14:52.36]  address this Market but it's only worth
[14:54.88]  doing if we see it as a vehicle for the
[14:57.40]  larger problem that we wanted to solve
[14:59.28]  and I didn't know if there was going to
[15:01.32]  be a big successful ATS business or not
[15:03.12]  at the time there really wasn't what I
[15:05.12]  what I'm surprised at now is that there
[15:07.08]  are at least three that I know of ATS
[15:10.08]  primarily businesses with plus a billion
[15:12.52]  dollar valuations and like that
[15:14.96]  definitely wasn't obvious in 2012 wasn't
[15:16.96]  obvious right not I certainly didn't
[15:19.24]  know that was gonna happen yeah and was
[15:21.04]  and think what and so did you think that
[15:23.48]  you wanted to for sure build an ATS or
[15:25.76]  was ATS a way you wanted to categor uh
[15:29.28]  to to help people understand the vision
[15:31.76]  what you want to do for hiring and
[15:32.96]  recruiting Jason you have to understand
[15:34.32]  even saying the word ATS has like been a
[15:35.96]  big growth Journey for me because for
[15:37.24]  years I wouldn't even say the word I was
[15:39.20]  just like I don't want to be one of
[15:40.56]  those it's not what we're doing it's not
[15:42.48]  you know and I remember having like in
[15:44.04]  the early days like I'd be on our sales
[15:45.68]  calls and I'd be talking to this buyer
[15:47.88]  and I remember get one in particular and
[15:49.72]  I got off you know the Call's ending he
[15:51.20]  says I believe everything you're saying
[15:52.72]  this product looks amazing I love it the
[15:54.96]  problem is I need to go buy an ATS like
[15:57.20]  I have this ATS I hate I got to get rid
[15:58.76]  of it let me go do that and then I'll
[15:59.76]  come back and buy Greenhouse afterwards
[16:01.00]  I was like wait whoa no stop hold on
[16:02.64]  yeah it's a big Insight right but I
[16:04.20]  wouldn't but so like I learned like one
[16:06.28]  of the and this maybe like is relevant
[16:07.84]  to to to a lot of startup Founders is
[16:09.68]  like you have to learn the language of
[16:11.44]  your buyers as different from the
[16:12.88]  language of your uh your investors and
[16:15.96]  your vision which goes to like your
[16:17.52]  employees and even yourself yeah and
[16:20.76]  like we learned that lesson the hard way
[16:22.36]  through conversations like I just
[16:23.36]  related and so made the made the
[16:24.92]  decision okay like Hey we're in the ATS
[16:27.84]  game we got a great one we got the best
[16:29.52]  one here's what it does and there's more
[16:31.88]  to it and we'll tell that story to the
[16:33.32]  buyer but you got to be in the buyer's
[16:35.08]  budget or else you're not going to get
[16:36.08]  bought and then if you look in my
[16:37.88]  investor decks all throughout the years
[16:39.24]  like it never says the word ATS yeah it
[16:41.28]  is interesting we relearn I keep
[16:42.88]  relearning this lesson there are in
[16:44.88]  software there are buckets yep there is
[16:47.04]  a CRM bu bucket uh an SFA HRM and there
[16:51.24]  is this ATS bucket and as Founders we
[16:54.28]  want to remake categories and and
[16:56.56]  innovate um but it's much easier if you
[16:59.04]  innovate in a bucket that's right right
[17:01.28]  even if you're actually changing the
[17:03.08]  bucket and and and and also buyers have
[17:06.56]  been buying these categories of software
[17:08.52]  for 20 years and they're reing them
[17:10.36]  right and so you it's so much energy to
[17:13.76]  train them to buy a new type of software
[17:16.08]  right it's so that's the it's it's not
[17:17.84]  worth it if you can avoid it is it
[17:19.28]  frankly it's a lot of energy just to
[17:20.60]  train them to buy your category for a
[17:22.04]  little yeah that's all the energy you
[17:23.12]  might have right you know in a little
[17:24.84]  bit of a different way or with a little
[17:26.20]  bit of different value prop that's that
[17:28.00]  like we have do a ton of buyer education
[17:30.44]  yeah just on that um and so you know to
[17:33.64]  to to have the conversation of like hey
[17:35.44]  like your ATF seems great but how do I
[17:38.16]  tell my CFO that I want to buy like a
[17:40.52]  more expensive ATS I'm like don't tell
[17:42.48]  them that at all like there's a whole
[17:43.80]  bunch of Education we do just to get
[17:46.08]  that done to then say like actually
[17:47.96]  we're in a whole different category like
[17:49.20]  I don't know so you see that a little
[17:50.72]  bit now like there's some opportunities
[17:52.00]  to do that where a whole new paradigm
[17:53.76]  comes AI is a big one so now everyone's
[17:55.84]  saying like oh you've got your ATS but
[17:57.44]  now you've got an AI think you got to
[17:58.84]  buy and we've got one I don't know how
[18:01.16]  long that's going to last like I think
[18:02.72]  there's like these moments where you can
[18:04.16]  like say we're the internet version like
[18:06.16]  you've got the old version or we're the
[18:07.68]  local mobile social version yeah or not
[18:10.00]  you can say we're the AI version and get
[18:11.32]  like a new bucket made but I think
[18:12.92]  ultimately those all get folded down
[18:14.40]  into the main into the main stack what
[18:17.12]  are you so what what are you thinking
[18:19.68]  about AI for recruiting and and sort of
[18:22.92]  human capital overall what what you I'm
[18:24.92]  sure you guys have been thinking about
[18:25.92]  it a lot uh and separating the the the
[18:29.64]  the hype from the reality I have my own
[18:31.40]  opinions but what have you learned so
[18:32.68]  far yeah and damn it we made it 18
[18:34.76]  minutes in without saying they AI but I
[18:36.32]  guess you brought it up I should have
[18:37.72]  put it on the list I'm still I feel like
[18:39.76]  I'm so early on my Discovery Journey
[18:41.60]  like I'm I I'll I'll I'll tell you what
[18:43.88]  I think if you're curious but I but what
[18:45.40]  you you think is much more important
[18:46.88]  than what I think yeah look I think um
[18:50.80]  you know obviously these technologies
[18:52.64]  have burst on the scene and everybody
[18:54.12]  knows about chat gbt so I think
[18:55.56]  everyone's rushing to put a chat gbt
[18:58.40]  like thing in their product and we'll do
[19:00.48]  some of that as well so for us like one
[19:02.64]  of the one of the neat um ideas that we
[19:05.56]  um are working on is reporting everybody
[19:08.44]  wants lots of sophisticated reporting
[19:09.84]  but they don't know how to express it
[19:10.96]  and so clicking around in your report
[19:12.04]  Builder is hard for them um but they can
[19:14.40]  just talk to the report Builder and say
[19:15.72]  hey I kind of want to see how many
[19:16.60]  candidats I have by stage and then
[19:18.44]  iterate and say no no no no no I want to
[19:19.68]  see it in a bar chart actually I wanted
[19:21.08]  it grouped to this way and and and
[19:22.96]  iterate it's a great but but there
[19:25.24]  there's so much more to it I think um a
[19:28.00]  couple things I'll say one is um we see
[19:32.36]  we think a lot about fairness at
[19:33.92]  greenhouse and and and how can you use
[19:36.40]  technology to improve uh fairness both
[19:39.32]  because it feels like the right thing to
[19:40.84]  do and that's important to us but also
[19:42.56]  it's a huge business opportunity after
[19:44.16]  all if you're if you're not fairly
[19:46.56]  assessing candidates it just means
[19:47.84]  you're missing out on great talent that
[19:49.04]  your competitors aren't well AI can cut
[19:50.64]  both ways there though can't it right
[19:52.48]  has if you talked to anyone been AI a
[19:54.08]  long time there's so much bias in a lot
[19:56.20]  of AI models right that's exactly my
[19:58.00]  point is I think you know if you just
[19:59.56]  say take things like we see a lot of
[20:00.96]  folks that are saying oh we're going to
[20:02.16]  take Ai and filter your top of funnel
[20:04.68]  and ask it to just rank all the
[20:06.00]  candidates and that way you can save
[20:07.36]  time and look at the top 10 like that's
[20:08.96]  a disastrous and you will definitely
[20:11.68]  magnify any biases that are present in
[20:14.08]  that database to begin with not to
[20:15.72]  mention the fact that there's a whole
[20:16.92]  new host of local and state laws uh
[20:19.28]  governing that that you're now subject
[20:20.52]  to you and your customers not subject to
[20:22.04]  so we're very much a studiously avoiding
[20:24.16]  that but that I think there's a real
[20:25.48]  opportunity on the opposite side to use
[20:27.60]  these technology to improve fairness so
[20:29.68]  one example is um we have uh a patent on
[20:33.40]  a new uh machine learning based resume
[20:36.76]  parser which may sound a little wonky
[20:39.08]  but um the dirty little secret is that
[20:41.60]  all the vendors in the whole industry
[20:43.04]  use about two or three different of the
[20:45.36]  same resume parsers and they're not very
[20:46.88]  good they parsed about an 80% accuracy
[20:49.68]  they're just trying to extract
[20:50.76]  structured data from them or are they
[20:52.16]  trying to evate you submit a resume and
[20:53.84]  it's in a PDF or a Word document and
[20:55.88]  every if there's 100 RS there's
[20:58.28]  different formats they're just it's not
[20:59.60]  it's crazy do and so getting the
[21:01.96]  information out of that resume is really
[21:03.44]  really difficult computer problem um but
[21:05.96]  we've we've we've um improved the
[21:07.84]  state-ofthe-art by significant amount uh
[21:10.12]  to the fact that ours can now parse in
[21:12.28]  the mid to Upper 90s percentage of it
[21:14.44]  rumes accurately and so what that allows
[21:16.20]  us to do is things like when you submit
[21:18.16]  your resume to a job we can anonymize it
[21:20.76]  I can blank out your name and
[21:21.88]  identifying information automatically at
[21:23.88]  scale and then submit that into the
[21:25.92]  hiring manager and they can just assess
[21:27.12]  your skills and
[21:28.88]  everyone wants to do so that's a way
[21:31.04]  where you can kind of use machine
[21:32.36]  learning to improve fairness and to
[21:34.64]  level the playing field there's lots of
[21:35.96]  studies that show for example that rume
[21:38.36]  submitted by women or by people with
[21:41.88]  traditionally African-American sounding
[21:43.32]  names just don't get assessed as fairly
[21:46.20]  for sure as others and so if you can
[21:47.52]  remove that bias you give yourself a
[21:49.08]  light off so that's a great example um
[21:51.20]  we're also using to power much more
[21:52.88]  powerful search right and so doing the
[21:55.64]  little Boolean Andor stuff in
[21:57.48]  everybody's like search box is fine but
[22:01.08]  using natural language search and then
[22:03.04]  expanding that across the huge amount of
[22:04.48]  data that we have in Greenhouse is like
[22:06.04]  a real opportunity so there's tons and
[22:07.28]  tons of of stuff that it's going to do
[22:09.08]  for for every every SAS business I think
[22:11.72]  yeah that was what got her to G2 their
[22:13.24]  big push is trying to to to take all
[22:15.28]  that massive G2 data kind of like you
[22:17.00]  have for people and make search work
[22:19.12]  right right um what about last one the
[22:21.84]  one I'm obsessed with is everyone wants
[22:24.88]  to aify things right um yeah I'm more
[22:28.40]  obsessed in my aha moments early on were
[22:30.80]  in legal which are get automating
[22:34.48]  processes that are frankly impossible
[22:36.56]  today okay like reviewing 10,000
[22:39.32]  commercial ndas are like you can't do it
[22:42.16]  right there's so many gotas that are
[22:43.48]  going to get in there and when I think
[22:45.44]  about hiring there's so many Rando
[22:49.88]  resumés that come in right and one thing
[22:51.68]  is parsing them and putting but there's
[22:53.32]  so many applicants is there some way to
[22:55.88]  use AI to find gems
[22:58.88]  that we would otherwise not find isn't
[23:00.80]  that also a magic a magic AI because
[23:03.28]  humans can only for your bigger
[23:05.24]  Enterprise customers like just how many
[23:06.72]  inbounds are they how many applicants
[23:08.16]  are they processing it's like
[23:09.28]  overwhelming isn't it it is it can be
[23:12.32]  and and so how do you handle 200,000
[23:14.88]  applicants a year
[23:16.56]  like we definitely see that in our
[23:18.36]  customer base where some jobs get
[23:20.16]  overwhelmed with applicants the soon as
[23:21.68]  they open them especially if the company
[23:23.16]  has like a great consumer brand and
[23:24.88]  people know them um and others are gving
[23:28.24]  for for candidates and so that is
[23:30.16]  definitely a problem in in in many
[23:31.68]  categories of of of job opening I think
[23:34.88]  there's real opportunity there as you
[23:36.72]  say to to focus them on on the right
[23:39.32]  candidates I think AI can be a really
[23:41.60]  dangerous way to do that for some reason
