Title     : Klaviyo's $9.5B Revolution in eCommerce Marketing:  A Deep Dive with CEO Andrew Bialecki
Video ID  : zwzV0muXB64
[02:55.76]  one thing that clicked where the product
[02:57.52]  became sellable like what was your
[02:58.88]  special 10x feature when you were
[03:00.00]  feature poor
[03:01.20]  yeah yeah so when we started in 2012
[03:03.44]  it's interesting we
[03:04.88]  everybody knows us for kind of marketing
[03:06.96]  and messaging um but we actually started
[03:08.88]  the first year
[03:09.52]  all we did was we built a we built a
[03:11.12]  database um so our
[03:12.96]  our kind of view on the world was we
[03:15.84]  wanted to make it possible that rather
[03:17.44]  than have to
[03:18.08]  talk to customers yourself like you know
[03:20.32]  um
[03:21.36]  synchronously you could basically take
[03:24.00]  the way you want to treat people and
[03:25.52]  program it into software
[03:26.96]  so we felt like there was this mismatch
[03:29.12]  especially and we talked about like in
[03:30.96]  commerce in retail um in consumer
[03:33.04]  businesses where
[03:34.16]  you can you have to choose do i either
[03:36.08]  help all of my customers
[03:37.52]  and aim for scale or do i aim for giving
[03:39.84]  a really great super personalized
[03:41.36]  experience to like my vips
[03:43.68]  obviously you want to do both but it's
[03:45.04]  like well how am i ever going to do both
[03:46.24]  i mean do i just have to hire you know
[03:47.84]  thousands of people like what's the
[03:49.36]  model and because the you think about
[03:51.68]  the you know
[03:52.48]  uh let's say the ltvs the annual spend
[03:54.64]  is so low in consumer right
[03:56.40]  relatively you can't afford to build out
[03:58.96]  big teams to do it
[04:00.00]  you need something in between um so we
[04:02.08]  actually started out you know we had
[04:03.60]  this idea that
[04:04.56]  what was missing was kind of like the
[04:06.16]  right way to store data so you could you
[04:07.92]  know you think about like
[04:08.72]  when you and i are talking we answer
[04:09.92]  questions like in real time but there
[04:11.68]  was no database that was good at kind of
[04:13.12]  analytical queries but also like really
[04:15.12]  low latency like a few milliseconds
[04:17.12]  so we spent um actually the first year
[04:18.80]  just building that and so if you
[04:20.16]  actually if you talk to our earlier
[04:21.04]  customers they're like oh yeah we
[04:22.56]  built we we got clavio because they
[04:24.32]  basically had an api or
[04:25.76]  you know a ui that would allow us to
[04:27.04]  just run queries against our customers
[04:29.76]  and then they export it out and what's
[04:31.60]  funny was i remember walking
[04:33.20]  uh you know walking around outside doing
[04:34.96]  some customer calls checking in with
[04:36.00]  folks
[04:36.88]  was like back in late 2012 and
[04:40.56]  all of our customers are like hey so
[04:42.32]  would you ever think about integrating
[04:43.92]  with like exact target
[04:45.68]  or you know contact or mailchimp
[04:48.80]  and i remember i asked them i'm like
[04:50.00]  well how much do you like love those
[04:51.84]  pieces of software
[04:53.04]  yeah and they were like well i don't
[04:54.96]  know we don't have any special affinity
[04:56.08]  for it's actually kind of hard to do
[04:57.52]  you know the kind of the more complex
[04:59.04]  more personalized stuff that you guys
[05:00.48]  are enabling
[05:01.52]  i said okay crazy idea what if i just
[05:03.60]  built what if we just built
[05:05.52]  you know those you know kind of uh
[05:07.12]  marketing messaging you know email
[05:09.12]  email first now sms tools they're like
[05:11.20]  oh yeah sure go for it i remember
[05:12.48]  calling my co-founder after a couple of
[05:13.76]  these calls and saying
[05:15.04]  i have a crazy idea how about we just
[05:17.12]  build both the database
[05:19.04]  and the marketing messaging tools we'll
[05:20.80]  combine it into one platform
[05:23.20]  and like that will be our products and
[05:25.52]  um i think
[05:26.48]  that was you know when when we when we
[05:28.64]  started to do that because i mean
[05:29.68]  earlier
[05:30.24]  we were fortunate that we um you know at
[05:32.00]  the time like sendgrid you know now
[05:33.68]  twilio like existed so
[05:35.12]  we have to solve all the same problems
[05:36.56]  that a lot of folks earlier had had to
[05:37.92]  solve
[05:38.80]  um you know we almost instantly saw
[05:41.04]  folks that would come to us and say i
[05:42.56]  have this idea
[05:43.92]  for you know some personalized you know
[05:45.84]  messaging or marketing i want to do
[05:47.52]  and all of a sudden they're like boy
[05:49.12]  because of the database you built
[05:51.12]  and because of the you know the fact
[05:52.88]  that i can then design messages and send
[05:54.32]  them programmatically
[05:55.76]  you've kind of solved all this and like
[05:57.44]  i don't have to build anything anymore
[05:59.28]  and uh we actually started in sas so i
[06:02.00]  mean just like every other you know
[06:03.60]  probably uh entrepreneur developer like
[06:05.52]  i want to sell you know to other
[06:07.44]  sas companies and so we started down
[06:09.36]  that path um i just
[06:10.48]  got lucky that a buddy of mine had a
[06:12.32]  shopify store actually
[06:13.84]  and um you know he said hey can i try to
[06:16.08]  try this out and we said yeah let's go
[06:17.52]  for it
[06:18.32]  and it turned out actually that that was
[06:19.84]  an even bigger market or let's put this
[06:21.60]  way
[06:22.32]  the use cases were even better defined
[06:24.72]  so it was really easy
[06:26.64]  to get into you know like all of a
[06:27.92]  sudden we realized we're solving for his
[06:29.44]  one store
[06:30.48]  and there were thousands of other people
[06:31.92]  that had more or less the same kinds of
[06:34.16]  issues and same use cases and so we
[06:36.24]  could go really fast
[06:37.68]  so that's interesting so you didn't
[06:39.12]  certainly didn't start well i guess did
[06:40.88]  you start with an e-commerce perspective
[06:42.40]  as
[06:42.72]  as a database api or did you figure this
[06:44.64]  out when you got brought into it
[06:47.04]  yeah the big unlock for us was when we
[06:49.68]  were working with other software
[06:50.96]  companies like us
[06:51.92]  one of the things we realized was
[06:53.44]  because they did so many had so many
[06:54.72]  different functions
[06:55.92]  um it was actually you know our
[06:57.60]  technology was fine the hard part was
[06:59.92]  kind of teaching people how to map you
[07:01.76]  know the way they wanted to treat
[07:02.96]  customers help figure that out i mean in
[07:04.40]  some sense if you think about in the sas
[07:05.84]  world
[07:06.48]  defining what customer success is they
[07:08.24]  didn't really have a customer success
[07:09.44]  playbook they were figuring it out as
[07:10.56]  they went along
[07:11.92]  in e-commerce everybody knew kind of the
[07:14.08]  standard playbook
[07:15.20]  yes so they were just more about like
[07:16.48]  hey how do i scale how do i automate it
[07:17.92]  how do i make it more
[07:18.80]  um you know personal and casualized so
[07:21.28]  so so
[07:22.00]  it sounds like so at first blush
[07:25.36]  building a very sophisticated robust
[07:28.56]  database and then adding email seems
[07:31.20]  like
[07:31.68]  too much work right but it sounds like
[07:33.92]  at the end and i should know this this
[07:35.36]  is the secret sauce for clavio because
[07:37.12]  you as starting
[07:38.16]  perhaps as from a technology center as a
[07:41.04]  database that's very different
[07:42.40]  than most email or sms companies they're
[07:44.96]  starting off
[07:46.24]  as a basic easy-to-use product but
[07:48.80]  without that incredible core
[07:50.56]  right and that may be the special sauce
[07:52.24]  because personalization's hard
[07:54.48]  yeah that was basically that that was
[07:56.24]  our big bet was
[07:57.68]  you know and i remember talking with our
[08:00.08]  team about this we said hey
[08:01.84]  we think we can add you know messaging
[08:05.12]  and some of the marketing primitives on
[08:06.64]  top of our database
[08:08.08]  faster than all of the existing say
[08:10.24]  marketing tech companies that just did
[08:12.32]  you know uh you know uh marketing stuff
[08:14.80]  fashion they could figure out how to
[08:16.00]  build
[08:16.48]  or integrate with somebody kind of the
[08:18.08]  data parts and uh we think that proved i
[08:20.48]  mean yes that
[08:21.20]  so we're big believers in that case this
[08:22.72]  was a very much of both end so one of
[08:24.16]  the things i tell
[08:25.12]  entrepreneurs all the time is you have
[08:26.72]  to be a little careful i know people aim
[08:28.16]  for mvps but sometimes you cut off parts
[08:30.24]  that are really important
[08:31.44]  in our case you know having that kind of
[08:33.20]  clarity of like okay it has to be both
[08:34.88]  of these two things together
[08:36.48]  and then just setting it up where i mean
[08:37.92]  for a long time you know our product
[08:39.76]  teams our engineering teams
[08:41.12]  thought that way you know we had teams
[08:42.56]  that were just focused on building
[08:43.60]  database tech and that was awesome
[08:45.04]  you know other teams that were just
[08:46.32]  focused on building marketing messaging
[08:48.40]  and creative tech and that was awesome
[08:50.24]  and the coolest part was when you
[08:51.84]  combine the two together and everybody
[08:53.20]  knew that and so it was exciting because
[08:54.56]  you almost had these like two
[08:56.00]  companies working together to build kind
[08:58.24]  of something that was gonna be greater
[08:59.12]  than the
[08:59.68]  uh pieces and i probably should know
[09:01.52]  this but but when you talked about
[09:02.80]  sendgrid and twilio
[09:04.08]  when you first bolted email on were you
[09:06.24]  using third party apis for email
[09:08.00]  how does or did you have to build it all
[09:09.52]  from day one or how did you phase in
[09:10.88]  what you did yourself versus what you
[09:12.32]  used as a
[09:13.20]  as a as a service yeah so i mean our so
[09:15.44]  our story was in the first three years
[09:17.12]  of our company almost three years
[09:18.48]  um it was just two of us so i mean we
[09:20.40]  really had to figure out anything you
[09:21.76]  need a few apis
[09:23.04]  there's two of you yeah i mean it's uh
[09:25.60]  constraints are awesome uh you think you
[09:27.20]  just it looks
[09:28.08]  like you really i think the more you
[09:30.00]  automate things away in the early days
[09:31.68]  like it just compounds over time right
[09:33.28]  and so we really were forced like
[09:34.48]  anything that took any amount of time
[09:35.52]  which we had to you know write code or
[09:36.96]  whatever just find a way to either
[09:38.24]  outsource it or automate the way
[09:40.00]  um so when we started i mean i've read
[09:41.76]  up enough on you know gosh like setting
[09:43.52]  up smtp servers and mtas and
[09:46.00]  you know obviously sendgrid we'd known
[09:47.68]  about them i'd use them at previous
[09:48.64]  companies
[09:49.36]  we said well this makes way too much
[09:50.88]  sense i mean this kind of solves all the
[09:52.40]  gross problems and allows us the
[09:54.00]  flexibility we want so
[09:55.60]  yeah we had a great relationship with
[09:56.80]  them i mean from day one even to through
[09:58.56]  today
[09:59.44]  and uh what we decided what it turns out
[10:01.60]  it's like when you get into
[10:02.84]  messaging the hard part is not so much
[10:04.96]  actually sending an email like that's
[10:06.72]  pretty straightforward there's like
[10:08.16]  you could actually you could do that
[10:08.88]  yourself if you wanted the really
[10:10.40]  difficult part
[10:11.36]  is um getting it delivered it's kind of
[10:13.28]  the same way that we think about
[10:14.72]  with google it's like hey there's a
[10:16.00]  webspam team with uh facebook
[10:18.16]  or social media there's like content
[10:19.68]  moderation teams well okay in a
[10:21.44]  decentralized world with email or now
[10:23.44]  the same thing is
[10:24.00]  best mess there's always gonna there's
[10:25.92]  gonna be some sort of
[10:27.60]  spam filtering somewhere right and
[10:29.84]  people call it deliverability but it's
[10:31.36]  all the same problem
[10:32.80]  and so the thing that we realized was uh
[10:35.44]  you know if you're sending just
[10:36.48]  so let's say uh you know you know i
[10:38.40]  don't know uh purely
[10:39.84]  like transactional emails or things that
[10:42.32]  you know like
[10:42.88]  that's very straightforward delivery you
[10:44.24]  never have any issues everybody opens
[10:45.44]  them all kind of stuff
[10:46.48]  when you get into being proactive you
[10:48.72]  get into marketing i mean the lines
[10:50.56]  between
[10:51.04]  what is spam what somebody wants and
[10:53.44]  what somebody doesn't want
[10:54.88]  start to get gray really fast and it
[10:56.24]  turns out i mean it's a really cool
[10:57.52]  evolution amongst email clients
[10:59.44]  it gone are the days where it's like if
[11:01.04]  you use the word viagra like that's spam
[11:02.64]  and everything else is like good
[11:04.40]  now it's it's actually very personalized
[11:06.72]  where hey
[11:07.44]  you know you jason you'll stop getting
[11:08.96]  emails if you just stop
[11:10.72]  opening them and it's the responsibility
[11:12.48]  of the person sending it to figure that
[11:13.68]  out and if you don't then you get
[11:15.12]  penalized kind of at large
[11:16.56]  and so that was something we actually we
[11:18.16]  had to build all on our own and so that
[11:19.52]  was where we kind of drew the lines like
[11:21.28]  you know we could use um you know
[11:22.96]  sendgrid to help us like deliver the
[11:25.12]  nails and kind of like deal with some of
[11:26.40]  the technical details but the end of the
[11:27.92]  day the the really hard part was
[11:29.76]  okay how do you increase relevance and
[11:31.28]  make sure that from a consumer's point
[11:32.88]  of view that was really good
[11:34.24]  and those are systems that you obviously
[11:35.68]  have data to help you know make things
[11:37.12]  more relevant
[11:37.76]  but we had to figure out like compute
[11:39.28]  build our own scores and our own systems
[11:40.72]  to figure that out yeah that makes sense
[11:42.72]  um so you never had to build some of
[11:44.96]  that base level functionality yourself
[11:46.64]  though
[11:47.52]  yeah i mean we kind of looked at it as
[11:48.72]  like i think every you know every
[11:50.32]  entrepreneur
[11:51.28]  engineer has to figure this stuff out is
[11:52.72]  we're going to draw the line like what
[11:53.84]  are you going to be really good at what
[11:54.80]  are you not
[11:55.60]  and so we always took the stance of okay
[11:57.76]  we are going like
[11:58.80]  you know we have a much more like let's
[12:00.40]  build things ourselves or use open
[12:02.00]  source and really understand it
[12:03.52]  um but in cases where we saw an
[12:05.04]  opportunity where you know we kind of
[12:06.80]  knew how a service worked but we didn't
[12:08.40]  have the time to build it
[12:09.52]  that was a good opportunity for us to
[12:10.88]  partner up and especially with companies
[12:12.40]  that we thought were kind of moving fast
[12:13.60]  i mean because the other thing is you
[12:14.32]  want to pick a service that you know
[12:16.16]  will innovate is right he's going to
[12:17.76]  keep moving forward right so you don't
[12:19.04]  get very limited by them because i mean
[12:20.16]  we certainly i mean not with cengage at
[12:21.52]  all but like we've had that happen with
[12:22.48]  others where
[12:23.28]  you know we got stuck because we kind of
[12:24.80]  needed more things than they
[12:26.32]  faster they can move then you're not
[12:27.20]  having to build yourself anyways so um
[12:29.20]  yeah that worked definitely worked well
[12:30.48]  for uh email and smtpg
[12:32.32]  so let's talk and then we can fast
[12:33.68]  forward to the future just about some
[12:35.28]  inflection point so
[12:36.96]  it takes you while you're bootstrapping
[12:38.64]  for a couple years we could chat about
[12:39.92]  that or not if you want
[12:41.52]  you fit you you you lean into shopify
[12:44.24]  when you have a buddy that exposes you
[12:45.76]  to the system
[12:47.12]  did it take off from there did it take
[12:48.64]  off when you got 100 shopify merchants
[12:50.64]  and like pre-covered what were the
[12:52.40]  inflection points then we could talk
[12:53.52]  about covet
[12:54.56]  yeah sure so it's essentially i kind of
[12:56.32]  divide you know the first
[12:58.24]  the first three years of clavio were
[13:00.08]  really it was our kind of bootstrapping
[13:01.84]  phase right i think when we were about
[13:03.28]  after about three years we got
[13:05.84]  probably around you know maybe about a
[13:07.68]  thousand customers
[13:09.68]  uh maybe around uh a million dollar run
[13:11.92]  rate
[13:14.00]  it's a and so it took a long time
[13:15.92]  compared to like how fast people expect
[13:17.36]  to go now it took a long time
[13:19.12]  yeah um but we just had this i guess i
[13:21.44]  think the nice part about
[13:22.40]  boot trappings we just had this point of
[13:23.52]  view that it's like look we're just
[13:25.04]  going to focus on
[13:25.92]  making sure we really understand our
[13:26.88]  customers getting building a product
[13:28.80]  they love so product market fed
[13:30.48]  and then we're going to expect that
[13:31.84]  growth will come from there
[13:33.52]  like we wanted we always felt like you
[13:35.44]  know word of mouth like every you know
[13:36.72]  we could we did a bunch of content
[13:37.92]  marketing we did a little bit of seo
[13:39.52]  we did a lot of work with um you know
[13:41.28]  partnerships shopify and others
[13:43.12]  we always felt like the best channel for
[13:44.48]  us to be like when somebody cares about
[13:45.76]  us we want them to be
[13:46.64]  raving uh about it you know customers um
[13:49.76]  you know where there's you know
[13:50.72]  we have a fair number of partners that
[13:51.92]  are like bargaining you know consultants
[13:53.36]  agencies
[13:54.24]  which one they're gonna be raving about
[13:55.52]  us um so we kind of focused in on that
[13:58.48]  and uh to be honest we kept trying to
[13:59.92]  forecast growth but we didn't really
[14:01.36]  know what good
[14:02.00]  looked like or didn't so it just the
[14:03.52]  business kind of kept going
[14:05.36]  um once we got about three years in we
[14:07.20]  said like we actually at this point
[14:08.24]  we're like all right so we gonna
[14:09.60]  like are we gonna raise money or is this
[14:12.08]  just gonna be
[14:12.72]  you know i hate the term but like kind
[14:14.08]  of a lifestyle business are we just
[14:15.04]  going to kind of grow it as much as the
[14:16.16]  two of us can handle
[14:17.68]  um i think we're both of the kind of
[14:19.36]  opinion that it was cool once we got
[14:20.80]  profitable it's like
[14:21.76]  okay we know we're going to survive uh
[14:24.08]  but now like let's go for it i mean
[14:26.00]  we've got this you know we've got this
[14:27.28]  we pick up this product everything's
[14:28.32]  pretty good we have the ability to hire
[14:29.60]  the people
[14:30.00]  we really want to work with like let's
[14:31.76]  go for it um
[14:33.44]  and so definitely uh you know we were
[14:35.84]  you know we
[14:36.48]  we really we i don't think we even
[14:38.32]  understood until we were maybe about
[14:39.92]  half a million
[14:41.28]  just how great e-commerce and kind of
[14:43.76]  you know retail was
[14:45.76]  as a segment and certainly like i mean
[14:47.36]  we were really fortunate to get to meet
[14:49.52]  the folks at shopify
[14:50.56]  really early days i mean i remember we
[14:52.56]  built our first kind of integration
[14:54.32]  um into shopify and then others you know
[14:56.48]  bigcommerce magento and
[14:58.00]  you know uh you know wordpress we did
[15:00.72]  all that stuff
[15:01.44]  way back in you know 2012 2013 and
[15:04.72]  shopify just like exploded um and all of
[15:07.20]  a sudden you know we just realized boy
[15:08.56]  we're talking to so many
[15:09.92]  um uh shopify uh businesses
[15:13.52]  um just every week and so um that was i
[15:16.16]  mean that was a really fun period
[15:17.52]  because we
[15:18.08]  i remember one year we were trying to
[15:19.36]  forecast like what revenue growth would
[15:20.64]  be and
[15:21.12]  my co-founder i both had different
[15:22.32]  estimates and we ended up like blowing
[15:23.76]  away both of them
[15:24.64]  right what year was this sorry that was
[15:27.12]  gosh like maybe
[15:27.92]  2015 i think it was it yeah i think it
[15:29.68]  was it was yours this one shopify was
[15:31.28]  really pulling away from the pack right
[15:33.44]  that's what people don't get from the
[15:34.56]  outside shopify did not immediately pull
[15:36.48]  away right
[15:37.36]  it was quite a ways into its journey
[15:38.80]  when it became this de facto platform
[15:41.04]  yeah i mean we're i mean they obviously
[15:42.48]  are well past this point now and got
[15:44.08]  their way before we did but i you know
[15:45.92]  we're big believers in the kind of the
[15:47.52]  uh like the
[15:49.12]  uh in sas you know there's kind of this
[15:51.68]  uh
[15:52.40]  you know uh it's instead of like things
[15:54.40]  like kind of aggregating towards the
[15:55.92]  mean there's this kind of like aversion
[15:57.44]  to the mean
[15:58.24]  so once you kind of break through and
[16:00.32]  people kind of know who you are
[16:02.24]  uh which obviously i mean we were lucky
[16:04.00]  that we were kind of there when shopify
[16:05.28]  was doing that right and broken through
[16:06.80]  that barrier you sort of become a little
[16:08.96]  bit of this default like you become i
[16:10.24]  think it's word now people start to say
[16:11.36]  oh yeah
[16:11.76]  yeah i know what that is um so that's
[16:14.08]  right i think we were kind of in the
[16:15.36]  right place at the right time
[16:16.80]  um and with like a i mean we with a very
[16:18.96]  similar kind of product ethos of you
[16:20.40]  know okay let's focus on
[16:21.52]  small businesses and have a really great
[16:23.44]  you know really usable product
[16:25.28]  and um yeah things just took off and
[16:27.36]  then i don't back when that happened
[16:29.76]  what was the shopify ecosystem like i
[16:31.84]  mean were you
[16:33.12]  were you able to like integrate on day
[16:35.04]  one with new merchants or how do they
[16:36.72]  find you as this sort of
[16:38.08]  smaller but breakout leader how do they
[16:39.76]  find you in the as this part shopify
[16:41.44]  partner
[16:42.16]  yeah it's a great question i mean so we
[16:43.76]  we became you know so
[16:45.44]  we did a lot of content marketing around
[16:48.24]  uh
[16:49.12]  you know personalized messaging and then
[16:51.68]  we start once we realize that you know
[16:53.68]  e-commerce was going to be a bigger
[16:54.96]  thing we said okay we started to focus
[16:56.40]  there
[16:56.88]  um so we said okay let's go with this
[16:58.00]  vertical playbook we felt like that was
[16:59.12]  good because it would also
[17:00.08]  at the time a lot of uh you know market
[17:02.64]  investment marketing tech
[17:04.48]  was very uh horizontal so we felt like
[17:06.40]  there was an advantage to aiming
[17:08.16]  vertical and starting that way um and so
[17:11.28]  uh it was a combination thing so like
[17:12.64]  that helped create some of the
[17:13.68]  background noise but then yeah i mean
[17:15.36]  one thing i give you know
[17:16.56]  credit to shopify for big time they had
[17:19.28]  really
[17:19.76]  built out the kind of all of the
[17:21.52]  plumbing to make a great ecosystem
[17:23.44]  so we it was it was interesting like
[17:24.96]  when we re i mean we were at this
[17:26.24]  database we said hey we're going to
[17:27.36]  build as many connectors as we can to
[17:28.96]  help people get data in we'll sort of
[17:30.24]  save them the time to do the integration
[17:32.00]  so we built you know 40 50 different you
[17:35.04]  know connectors into all sorts of
[17:36.24]  different kinds of systems crms
[17:37.84]  ecommerce platforms
[17:39.04]  platforms payment platforms uh all this
[17:41.12]  kind of stuff
[17:42.16]  what was amazing was you know relative
[17:44.56]  to others
[17:45.20]  you know some really there's a lot of
[17:46.16]  like like artificial red tape you have
[17:48.08]  to talk to people
[17:49.04]  they'd like maybe take they'd be slow
[17:50.88]  and responding
[17:52.32]  but shopify they had like great set of
[17:54.08]  apis it was all self-serve at that point
[17:56.88]  um there was a bit of a review process
[17:58.64]  but it was quick and then they actually
[18:00.64]  you know because they were growing they
[18:01.84]  were happy to help
[18:02.72]  you know if they found things and you
[18:04.00]  kind of could show them proof points
[18:05.60]  they wanted to help you
[18:06.72]  um you know get distribution yeah they
[18:08.80]  were great in terms of just you know uh
[18:10.40]  at the time whether it was you know kind
[18:11.60]  of recommending
[18:12.80]  through their teams or just you know i
[18:14.48]  mean they actually had like a kind of a
[18:16.08]  listing page a directory
[18:17.76]  um just you know kind of promoting us
[18:19.20]  there so that in the early days that
[18:20.56]  definitely helped a bunch
[18:21.68]  and you have a sense because when you
[18:23.20]  look at partner ecosystems and we could
[18:24.64]  flip it around and talk about
[18:25.92]  clavio's partner ecosystem too yeah it's
[18:27.68]  almost always a long-tail distribution
[18:29.12]  you could have a thousand apps
[18:30.40]  on shopify or salesforce but it's
[18:32.40]  probably 10 that get half the installs
[18:34.64]  and then it goes there right and back
[18:37.28]  when shopify took off and you were
[18:38.56]  taking off
[18:39.60]  do you think you got 20 30 how much of
[18:42.00]  your new business do you think you got
[18:43.76]  directly from shopify do you have a
[18:45.20]  sense back in the day oh
[18:47.20]  i don't know yeah i mean it's probably
[18:48.32]  something like that like yeah yeah i
[18:49.68]  mean we weren't
[18:50.88]  we weren't as good at measuring it as uh
[18:52.88]  we probably should have been or we would
[18:54.16]  be today
[18:55.28]  um yeah but i think that's i think
[18:57.20]  that's right i mean we always felt like
[18:59.36]  uh you know we what we wanted to do
[19:02.40]  was uh if if somebody had had kind of
[19:05.28]  the
[19:05.68]  operational side of their business kind
[19:07.60]  of nailed down
[19:08.96]  an ecommerce that meant it's like hey uh
[19:11.36]  you have a you have a you have a website
[19:13.12]  you have a way to take payments you have
[19:14.40]  a way to kind of keep all of your you
[19:16.00]  know to track
[19:16.88]  orders and inventory and shipping uh if
[19:19.12]  you could do all of that like we wanted
[19:20.64]  to complement that and be the kind of
[19:22.16]  customer side of it like okay so how do
[19:23.44]  you how do you interface with your
[19:24.40]  customers what does that experience look
[19:25.52]  like
[19:26.32]  and you know we just felt like that was
[19:28.08]  gonna be a super important like
[19:29.92]  complement
[19:30.88]  um to any kind of stack and that i think
[19:32.72]  it's true in e-commerce retail it's true
[19:34.40]  in other
[19:34.80]  in other areas too um and so in that
[19:37.44]  case like yeah we think
[19:38.56]  you know it was a mix of folks finding i
[19:40.48]  mean certainly in the early days a lot
[19:41.60]  of people found out about us
[19:42.64]  through uh through shopify and through
[19:44.56]  other partnerships we had
[19:46.00]  and then over the years i think it
[19:47.52]  slowly migrated where it became this
[19:48.88]  like okay we just have this brand around
[19:50.32]  like okay if you're doing
[19:51.60]  ecommerce and you're doing uh you know
[19:54.40]  either it's
[19:55.28]  wrangling your customer data or doing
[19:56.80]  customer messaging we're just kind of a
[19:58.56]  good place to do it now it's i think
[19:59.92]  it's
[20:00.16]  it's it's almost like it's so
[20:01.60]  intertwined it's hard to pull apart
[20:04.08]  um but that's why we have to tell folks
[20:06.00]  like if you're building stuff like
[20:07.20]  you want to invest in both right i mean
[20:08.96]  certainly like the partnerships we built
[20:11.04]  have been fantastic
[20:12.72]  uh at the same time like we've built
[20:14.72]  more of our own content
[20:16.32]  in our own kind of like i know case
[20:18.64]  studies and resources
[20:20.00]  and if you have those two things
[20:20.88]  together i think it's the best of all
[20:22.48]  that's how you can go the fastest
[20:24.24]  and when um just a bit of a
[20:26.16]  perpendicular question on just like
[20:28.48]  the strategy of pricing and economics as
[20:30.88]  you talk i'm thinking
[20:32.48]  when you have clavio or something like
[20:35.68]  it where
[20:36.24]  some of your competitors are not only
[20:37.76]  horizontal but pseudo commodities
[20:39.60]  right and then you're providing focused
[20:41.44]  value how do you
[20:43.20]  how do you compare pricing how do you
[20:44.96]  anchor around sort of known
