Title     : Aaref Hilaly, Sequoia Capital:  How to Manage Up & Have Happy a Board, Even When You Miss a Quarter
Video ID  : lAs7mpQbLFA
[03:41.70]  really important point and it's
[03:42.99]  something that I realized at my first
[03:47.13]  board meeting and my first cut at my
[03:49.62]  first company Center run which was
[03:51.75]  February of 2001 which where myself and
[03:56.58]  my co-founders on the on the right there
[03:58.77]  on the left rather we were let's just
[04:01.80]  say inexperienced and our board member
[04:04.38]  of Mike Moritz at Sequoia was on the it
[04:07.17]  was very experienced I mean to give you
[04:08.76]  a sense in addition to sitting on the
[04:11.25]  board of our company which was a six
[04:12.63]  person startup at the time he was on the
[04:14.58]  board of Yahoo Google Flextronics and
[04:17.70]  PayPal and so as I approached my first
[04:20.10]  board meeting I can tell you I was
[04:21.39]  pretty terrified I'd never done a board
[04:23.25]  meeting before it's just myself and
[04:24.87]  Michael on the board I'm gonna sit down
[04:26.19]  and
[04:26.85]  what am I going to do here so I created
[04:29.40]  a presentation that the kind of maps had
[04:31.35]  all the stuff that we'd been doing in
[04:32.73]  the months since Sequoia invested in the
[04:35.07]  company and he comes in and I started
[04:37.47]  walking through my slides and after
[04:39.87]  about 10 minutes he starts kind of
[04:42.50]  doodling on the side of the page and I'm
[04:45.48]  presenting I'm thinking who's he taking
[04:46.98]  notes I'm kind of looking over and then
[04:48.93]  a couple of slides I see
[04:49.86]  oh no he's drawing cartoon characters as
[04:52.53]  how thank you okay well know what I've
[04:55.20]  expected but all right let's just keep
[04:56.58]  going and then I had a friend in the
[04:58.71]  room at the time John Lilly who's now an
[05:00.30]  investor at Greylock and he when Mike
[05:02.07]  wasn't looking he slips me a note
[05:03.63]  so as I'm presenting I open this note
[05:05.52]  and the note says you're losing him do
[05:08.37]  something so I pour and I say Mike you
[05:12.15]  don't look very interested in the slides
[05:13.80]  and he says no no not really I said well
[05:17.91]  what's on your mind he says well I'm
[05:20.85]  much more interested in knowing what's
[05:22.50]  on your mind what are you thinking about
[05:24.27]  right now and I said well the the number
[05:26.82]  one thing I'm trying to figure out is do
[05:28.11]  we need a VP of engineering given the
[05:29.88]  people we have in the building and then
[05:31.35]  if we're gonna be releasing our products
[05:32.70]  in six months when do we hire a sales
[05:34.17]  person should we also get a marketing
[05:36.21]  person should we get the marketing
[05:37.26]  before sales at what level of seniority
[05:38.70]  given that size of company and what was
[05:41.37]  a profile I've never hired someone like
[05:43.02]  that before and we had a 90 minute
[05:44.88]  discussion around how to build an
[05:48.36]  executive team and I walked out with a
[05:50.43]  much clearer picture of what it is that
[05:52.77]  I was supposed to be doing and and so
[05:56.34]  that's why I say that really you have to
[05:59.34]  remember the board meeting is there for
[06:01.50]  you the entrepreneur it's not there for
[06:03.48]  the investors it's a forcing function
[06:05.49]  it's a chance for you to kind of pull
[06:07.65]  yourself up from the day-to-day and
[06:09.33]  think bigger picture about everything
[06:11.73]  that everything that you you should be
[06:14.58]  doing you need to be doing with more of
[06:16.11]  a 6 to 12 month time frame so so that
[06:20.16]  and and the best guide for what you
[06:22.26]  should be talking about it aboard
[06:23.43]  meaning is what is most on your mind and
[06:25.95]  that's why I say as a first lesson don't
[06:28.77]  manage the board really think about
[06:30.90]  engaging them they're a huge asset so
[06:33.45]  that's the first thing now the second
[06:34.98]  thing the second thing is a little bit
[06:38.19]  counterintuitive
[06:40.06]  relative to a lot of what you hear as a
[06:41.80]  stir and that is focus on product over
[06:46.03]  metrics and other it's not just engaging
[06:47.86]  the board how you engage them really
[06:49.75]  matters and what I'd suggest again which
[06:53.77]  maybe goes against a little bit of what
[06:55.06]  we hear is that's where there's such an
[06:56.26]  emphasis on metrics all the time is
[06:57.94]  really focused on product and and my
[07:01.81]  this one came out to me for my second
[07:03.67]  company which is a company called clear
[07:05.95]  well well we started out as an
[07:07.42]  application to analyze email with the
[07:10.00]  vision of oh so much inference
[07:11.83]  interesting informations captured an
[07:13.18]  email we there must be a way of
[07:14.86]  surfacing that for some useful business
[07:17.47]  purpose and for two years we iterated
[07:19.72]  through different potential applications
[07:21.70]  and then we finally found product market
[07:24.07]  fit in an application we'd never really
[07:25.54]  thought about before electronic
[07:26.83]  discovery which is and basically became
[07:29.20]  a virtual SAS company hit it serving the
[07:31.75]  legal vertical and then we quickly scale
[07:34.15]  to about a hundred million in error at
[07:36.49]  the time that we sold the company to
[07:38.05]  Symantec and were profitable and at
[07:41.38]  every board meeting Jim gets was a board
[07:43.30]  met was my board member there and at
[07:44.92]  every board meeting Jim would just push
[07:47.50]  relentlessly on what are the use cases
[07:49.84]  what are the what's the unmet need what
[07:52.06]  exactly you know which possible probably
[07:54.55]  building out now versus later where's
[07:56.38]  the technical debt how are we thinking
[07:57.94]  about the trade-offs even when we'd hit
[08:00.01]  product market fit and were growing the
[08:02.38]  discussions were still about product and
[08:04.27]  what we need in in six to twelve months
[08:05.86]  time and I just think it's so important
[08:10.33]  and it's such a risk for SAS companies
[08:12.04]  because SAS lends itself to metrics
[08:14.80]  there all sorts of wonderful things that
[08:16.72]  you can talk about you can talk about
[08:18.94]  CAC or LTV or payback or quick ratios
[08:23.23]  and what happens is people just get lost
[08:26.41]  in the metrics and they lose sight of
[08:29.89]  what it is you're doing in the first
[08:31.45]  place and then when you miss your
[08:33.70]  numbers and suddenly the metrics don't
[08:35.11]  look so good anymore people freak out
[08:37.54]  because they've lost their Center their
[08:40.42]  compass to navigate through exactly what
[08:43.24]  the numbers mean
[08:44.08]  so I would challenge you to train your
[08:47.41]  board members to be able to say in three
[08:49.84]  sentences exactly what is it you do why
[08:52.33]  does it matter and how you gonna win how
[08:54.40]  you go you different how you gonna beat
[08:55.87]  the competition and if they can't
[08:57.55]  articulate that in a very crisp way but
[09:00.28]  none of it nothing else really matters
[09:01.57]  because they have not internalized what
[09:03.46]  it is that you're really trying to do so
[09:05.59]  I would really focus in betweens on
[09:08.62]  product over metrics focus on learnings
[09:10.54]  are getting back from the market and and
[09:12.85]  train your board so so those are the two
[09:16.06]  things that I would do before you miss
[09:18.22]  and let's say that you do this let's say
[09:19.84]  that you engage your board you know
[09:21.10]  managing them let's say that you you
[09:22.72]  focus on product over metrics that's all
[09:25.27]  great
[09:25.84]  you're still gonna miss it's still gonna
[09:28.21]  happen you're still gonna have that
[09:30.40]  horrible board meeting where you walk in
[09:33.31]  with your stomach in knots because you
[09:36.64]  you haven't you you feel like you've
[09:38.08]  screwed up you you've let everybody down
[09:40.39]  you promised results and you didn't
[09:42.64]  deliver and now everyone's looking at
[09:45.25]  you with all these questions and you
[09:47.05]  yourself of all these questions but you
[09:48.61]  know everyone expects you to have the
[09:49.81]  answers and and you have to deal with
[09:52.21]  that so so what do you do well let's
[09:57.13]  start with what you don't do what you
[09:59.35]  don't do is you don't say I know we
[10:03.07]  missed on the sales target but we hit
[10:04.99]  our recruiting plan and we had this
[10:06.76]  great marketing campaign we have all
[10:08.32]  these leads in the pipeline and we're
[10:09.85]  gonna release these amazing new features
[10:11.23]  and and really everything's great that
[10:13.69]  is not a very that that is not a good
[10:16.15]  message another one another not good
[10:18.88]  message would be well I know we missed
[10:21.16]  but if we just keep doing the same thing
[10:22.84]  things are gonna turn around that again
[10:25.57]  I mean whether it's hope or denial
[10:27.01]  doesn't work doom or doom and gloom
[10:28.96]  isn't so great either there's one that's
[10:30.73]  not on the the slide is probably the
[10:32.65]  most common now I think about it which
[10:34.33]  is what I think of as the Silver Bullet
[10:36.40]  theory of if we just do this one thing
[10:39.10]  differently usually fire the sales guy
[10:41.23]  then everything's gonna be great
[10:43.06]  everything will turn around this is
[10:44.44]  gonna be perfect all of those cost you
[10:46.90]  credibility because anyone in anyone
[10:49.21]  who's been in business knows it's
[10:50.59]  usually not one thing is normally a
[10:52.45]  combination of five or six things that
[10:55.09]  you need to think about so so what I'd
[10:58.87]  suggest and last number threes when the
[11:01.39]  MIS happens is own the MIS take
[11:05.23]  responsibility
[11:06.48]  and and stand up to it realize that for
[11:10.47]  any good board member they've seen lots
[11:13.98]  of companies miss lots of numbers and
[11:16.44]  more important than the miss is your
[11:18.75]  reaction to the miss I think that's a
[11:20.79]  really important point is often often
[11:22.41]  lost and so so take responsibility you
[11:27.06]  should be upset you should show that you
[11:29.67]  should show you whether it matters to
[11:31.08]  you that you do take it personally
[11:32.70]  you should be be hard on yourself in
[11:35.13]  terms of what you've done wrong whether
[11:36.42]  it's things that you did wrong and with
[11:38.07]  the benefit of hindsight or things you
[11:39.33]  should have known at the time and and
[11:42.15]  take responsibility for that you also
[11:44.46]  should help the board process exactly
[11:48.14]  kind of what what went wrong here and
[11:51.66]  and how they should think about it so so
[11:56.13]  for example and these are some of those
[11:58.86]  for this for example is it a tactical
[12:01.11]  issue or is it something structural in
[12:03.30]  the market a tactical issue might be
[12:04.80]  that you actually do have the wrong
[12:05.85]  sales guy a structural thing would be
[12:08.25]  things like you know we have product
[12:11.04]  issues that are causing churn or there's
[12:14.61]  increased competition and that that
[12:16.68]  competition is stretching out our sales
[12:18.81]  cycle and causing price erosion those
[12:21.33]  things take longer to figure out but you
[12:23.40]  have to help the board think it through
[12:25.10]  when when I was at clear well I remember
[12:27.63]  we we just raised Serie C at what was
[12:31.17]  then considered to be a high price and
[12:33.21]  the quarter straight afterwards we had a
[12:36.63]  horrific miss I mean huge just nowhere
[12:40.23]  near the target that we had just raised
[12:42.24]  money on and I had a very unhappy new
[12:45.75]  Serie C investor sitting in the board
[12:48.42]  meeting Iram he came he sits down he
[12:50.28]  looks at he sits there like this at the
[12:51.84]  beginning I mean you're staring at me
[12:53.16]  and my my head of sales was kind of
[12:56.52]  running through the pretty terrible
[12:58.23]  results from the prior quarter kind of
[13:00.03]  going through you know we did this and
[13:01.26]  did that and the the guys are stairs and
[13:03.96]  then after about five minutes he
[13:05.22]  interrupts with what the hell happened
[13:07.74]  here what do you think happened here he
[13:09.93]  points at me ignoring pretty much
[13:11.64]  everybody else and it was something I've
[13:14.61]  been thinking about and put it in the
[13:16.74]  board presentation
[13:18.94]  but so I went to the whiteboard and I
[13:22.16]  basically tried a decision tree and said
[13:24.23]  well look if someone's looking to buy
[13:25.37]  discovery they have a choice they can
[13:27.20]  bring it in-house or they can outsource
[13:29.24]  it to a service provider if they bring
[13:31.07]  it in-house and again they have a choice
[13:32.42]  they can start with the collection be
[13:34.16]  gathering data or they can start by
[13:35.60]  processing data and I went through the
[13:37.37]  kinda like the decision tree of options
[13:39.53]  open to our customer and made the point
[13:41.63]  that well right now we only serve one
[13:43.31]  little branch on this tree but our sales
[13:45.35]  pipeline is full of all sword if uhrin
[13:48.86]  Tom this tree so so if we're gonna have
[13:50.66]  a business here we really need to
[13:51.95]  broaden out and and serve more than the
[13:54.65]  one branch that we're doing and we can
[13:56.21]  do that by not just building new
[13:58.16]  products obviously but improving some of
[14:00.14]  our existing and then striking some
[14:01.58]  channel partnerships so that our product
[14:03.14]  could be offered through the channel to
[14:04.31]  people who didn't want to buy to buy
[14:05.39]  from us directly and and then in order
[14:07.91]  to do that that we had to cut expenses
[14:09.44]  including cutting some headcount in
[14:11.12]  order to give us a runway to do that
[14:13.10]  even though we just raised money and I
[14:15.59]  think going through that that the tone
[14:17.99]  at the end of the meeting was just
[14:19.07]  completely different to what it was at
[14:21.02]  the beginning because people had started
[14:23.27]  to kind of wrap their head around what
[14:25.49]  had happened and and and try and make
[14:27.65]  sense from it now you could go with the
[14:31.48]  upon is being the kind of
[14:33.20]  seat-of-the-pants approach but i would
[14:34.97]  recommend that you plan ahead and you do
[14:37.55]  what's here and set control the meeting
[14:39.53]  so send it out in advance send out the
[14:43.91]  fact that your analysis of why you've
[14:45.80]  missed in advance talk to people in
[14:48.47]  advance if you need to but come in have
[14:50.33]  it be the first item on the agenda and
[14:52.04]  really walk through everything in detail
[14:53.60]  so that so that people feel like you are
[14:55.70]  kind of tackling it and you're taking
[14:57.71]  ownership for it and you're and that
[15:00.05]  you're owning it so that's the second
[15:02.42]  thing the final thing that I think is
[15:05.27]  really important that is often again
[15:07.28]  overlooked is you should put the board
[15:10.10]  to work the reason you have a board is
[15:13.61]  to help you in the hard times if
[15:15.68]  everything's just straight up to the
[15:17.15]  right then really you don't need them
[15:18.65]  you could pretty much deal without
[15:19.94]  yourself it's in when things go wrong
[15:22.64]  and things get difficult that you can
[15:25.01]  turn to these people and potentially get
[15:27.53]  some really valuable help and advice I
[15:30.17]  don't mean give them busy work
[15:32.69]  or demeaning tasks or stuff that doesn't
[15:34.67]  really matter just to keep him busy to
[15:37.19]  keep them busy I mean things that they
[15:39.98]  would really be genuinely helpful and
[15:41.45]  there are lots of things I mean requests
[15:43.07]  like I don't know can you introduce me
[15:46.28]  to five potential customers in the
[15:47.90]  financial services vertical so we can
[15:49.52]  see if that's a good market for us or
[15:51.17]  help me recruit a VP of Marketing or
[15:53.98]  let's walk through the product together
[15:56.00]  and think about how can we simplify the
[15:57.83]  workflow because that'll make a really
[16:00.32]  big difference to engagement and an
[16:02.21]  adoption I mean these are all things
[16:04.49]  that are you could you could turn to the
[16:06.86]  board about and again you you really
[16:09.32]  want to think it through in advance so I
[16:11.81]  would go into the to the to the board
[16:14.66]  meeting with a set of potential requests
[16:18.17]  and potential asks so that once you've
[16:21.26]  processed therefore than once you've
[16:22.40]  kind of got a common understanding of
[16:23.81]  what's going on you can have the
[16:25.34]  discussion about how they can help how
[16:27.17]  they can be involved because people like
[16:28.79]  to help people like to feel involved so
[16:34.75]  so that's how so that those are the four
[16:38.42]  lessons again I would before today
[16:41.78]  before you anywhere near missing your
[16:44.03]  numbers I would engage your board not
[16:47.00]  manage them and I would really focus on
[16:48.86]  product over metrics and then when it
[16:50.66]  happens I would avoid these these key
[16:53.36]  pitfalls that we talked about and really
[16:56.03]  own it take responsibility and put the
[16:58.10]  board to work the the final thing I'll
[17:01.64]  say is that it's it's been a change for
[17:07.61]  me the last five years after being an
[17:09.35]  entrepreneur to be on the other side of
[17:11.45]  the table and instead of being the
[17:13.58]  person living the mess to now showing up
[17:16.52]  at a board meeting and hearing about it
[17:17.96]  afterwards and the part that has
[17:20.96]  surprised me I think is that very often
[17:26.09]  I'm more enthusiastic about a company
[17:29.18]  after they've missed than I am before
[17:31.94]  and that when the founders do it right I
[17:35.30]  actually actually feel that it has
[17:37.34]  strengthened our relationship to have
[17:39.98]  gone through that experience even though
[17:42.08]  the experience is not not pleasant
[17:44.91]  and I think it's because we all know
[17:49.56]  that building a company is incredibly
[17:52.68]  hard it's it's just so hard on so many
[17:55.65]  different levels and what you realize is
[17:58.77]  you work a lot of companies is that
[18:00.92]  founders who have the the grit and the
[18:04.05]  skill to lead their companies through
[18:06.69]  the hard times are the founders who are
[18:08.82]  much much more likely to succeed
[18:11.36]  thank you
[18:13.45]  [Applause]
