Title     : Building a Second Unicorn:  A Deep Dive with Harness and AppDynamics Founder Jyoti Bansal
Video ID  : LMAxG-ddDkU
[03:58.96]  these were problems i was very
[04:00.32]  passionate and excited about even when i
[04:02.00]  was at ap dynamics
[04:03.28]  so like the the the what harness does
[04:05.36]  about like you know i always thought it
[04:07.04]  was kind of uh
[04:08.00]  horrible that there are only like maybe
[04:09.84]  10 companies in the world who are very
[04:11.28]  good in software delivery
[04:12.80]  where like you know cicd software
[04:14.24]  delivery their shipping code very fast
[04:15.76]  and these are like your googles and
[04:16.88]  facebook and amazon's and netflix and
[04:18.48]  they had this massive advantage over
[04:19.92]  everyone else in the world
[04:21.20]  it was all struggling with devops ci cd
[04:23.36]  software delivery
[04:24.72]  and said someone got us all that like so
[04:27.36]  i wanted to solve that even before
[04:29.68]  you know um abdominis was acquired by
[04:32.00]  cisco
[04:32.80]  uh so to me that was a problem that was
[04:34.64]  exciting as well so it was that that
[04:36.64]  same applies to latest from the
[04:38.48]  traceable you know
[04:39.68]  you know how we should think about
[04:40.96]  securing every line of code in the world
[04:42.72]  you know we all look at like you know
[04:44.16]  all the the world runs on code so the
[04:45.84]  code has to be now it has to be secure
[04:48.24]  that's also a problem i wanted to
[04:49.76]  actually uh solve and i was passionate
[04:52.16]  about even when i was at
[04:53.44]  dynamics you know three four years ago
[04:54.88]  now so these are it's uh it's the
[04:56.88]  combination of
[04:57.76]  like this is what i enjoyed to do i
[04:59.68]  would want to do it
[05:01.20]  retirement is not really that fun after
[05:03.68]  a while
[05:04.64]  and uh you know these are problems that
[05:06.64]  you know excites me to solve and you
[05:08.40]  know
[05:08.96]  that's that's the genesis of it same
[05:10.56]  thing applies to unusual ventures as
[05:12.08]  well like an unusual
[05:13.68]  also stem from a problem i wanted to
[05:17.04]  really solve
[05:18.00]  you know which is like how do we rethink
[05:19.68]  early stage investing
[05:21.28]  and you know uh you know how do we make
[05:23.20]  it more
[05:24.32]  you know really useful for founders you
[05:26.72]  know when we do that right and i
[05:28.08]  experienced that and i wanted to solve
[05:29.68]  it so it's like you know if you want to
[05:30.64]  solve a problem that becomes
[05:32.32]  you know why not do it right right right
[05:35.20]  it's you know the
[05:36.00]  authenticity that you can't stop
[05:38.00]  thinking about the problem like you're
[05:40.00]  not starting something
[05:41.76]  just to start something it's because you
[05:44.08]  you know can't stop
[05:45.04]  thinking about this even while you are
[05:46.96]  in machu picchu right
[05:49.36]  and i think you know so many of us don't
[05:52.64]  appreciate that enough uh when when
[05:55.20]  you're thinking about like
[05:56.64]  what really motivates you i guess here's
[05:59.20]  a really important question
[06:01.28]  um did any of it get easier the second
[06:04.56]  time around like
[06:05.84]  one one really hopes that you know some
[06:07.92]  things got a lot easier what would you
[06:10.00]  say you know when you started working on
[06:12.00]  harness like
[06:13.04]  what you know what felt easy this time i
[06:16.00]  think you think some things do get
[06:17.44]  easier uh
[06:18.16]  you know the i think the most important
[06:20.24]  is fundraising and
[06:22.40]  uh dealing with investors you know when
[06:24.48]  when i started app dynamics this was
[06:26.16]  when i was
[06:26.96]  i was sort of an engineer turned
[06:28.72]  first-time entrepreneur first-time ceo
[06:31.36]  i never even managed a single person in
[06:32.96]  my life before that you know i was
[06:35.52]  in my late 20s and i had this idea for
[06:37.92]  you know what to do in ap dynamics and
[06:39.84]  raising capital was quite hard for me as
[06:41.52]  a you know at that time
[06:43.04]  uh and it just you know i pitched about
[06:45.04]  20 vcs you know
[06:46.48]  who rejected me before i got any funding
[06:48.72]  for abdomen
[06:50.48]  the harness doing it the second time was
[06:53.04]  exactly the opposite of it
[06:54.56]  like you know vcs didn't even know what
[06:56.80]  we were doing because you know we were
[06:58.08]  in stealth
[06:59.20]  and there were at least 20 people who
[07:00.48]  are willing to give us like offers and
[07:02.00]  term sheets and vc's just knocking
[07:04.00]  on the train and you know i bootstrapped
[07:06.48]  the company initially we didn't even
[07:07.76]  need any capital but there was still
[07:09.44]  like you know
[07:10.08]  the the the fundraising part of it was i
[07:13.52]  was so you know uh so different it was
[07:16.16]  kind of uh
[07:17.28]  almost funny to watch uh like you know
[07:19.52]  and uh
[07:20.40]  you know i live in san francisco when i
[07:22.56]  was doing app dynamics uh fundraising
[07:24.40]  you know almost all bc's used to be in
[07:25.92]  central road menlo park and every day i
[07:27.84]  would use to drive down and vpcs and
[07:30.08]  especially partnerships and all you know
[07:32.16]  for harness like uh
[07:33.76]  the firm we went with uh you know the
[07:35.28]  entire partnership came to our small
[07:37.20]  rework office in san francisco to
[07:39.04]  kind of pitch to us and you know take
[07:41.20]  their money so it's like that dynamic
[07:42.84]  changes
[07:44.08]  the second part that also becomes much
[07:45.92]  easier that kind of goes into that use
[07:47.84]  the second time you get a bit of luxury
[07:49.60]  to work with the investors and board
[07:51.68]  members that you know
[07:53.36]  you know you know are the right kind of
[07:55.04]  partners
[07:56.96]  and that completely changes how you you
[07:59.44]  know work with your investors involved
[08:01.20]  now to me one of the you know i would
[08:03.20]  say uh things from app dynamics was that
[08:06.00]  we had i spent a lot of time managing
[08:08.16]  our board and industries
[08:09.28]  like maybe about 20 to 30 of my time
[08:11.12]  would go in there we had you know
[08:12.96]  all sort of investors who uh needed just
[08:15.04]  a lot of management
[08:16.56]  uh doing it second time and harness it's
[08:18.96]  it's much easier i
[08:20.08]  i spend maybe one to two percent of my
[08:21.76]  time managing investors in the board
[08:23.52]  a part of it is also like you know it's
[08:25.12]  just a bit of a psychology in the
[08:26.72]  investor world like you know when i was
[08:28.16]  first time ceo
[08:30.08]  people were like his first time ceo and
[08:31.68]  people would doubt and question
[08:33.36]  all the things all the time you know you
[08:35.76]  have an exit and
[08:36.80]  the next day you know you start a
[08:38.24]  company your second time ceo now
[08:40.24]  and just psychologically now everyone
[08:41.92]  thinks you're an expert on everything
[08:43.04]  because now you're a second time ceo
[08:44.48]  so even though you are really the same
[08:45.76]  person but just like you know the
[08:47.52]  so that that does make things a bit bit
[08:50.16]  easier
[08:50.72]  on that front i would say um
[08:54.32]  yeah that's the you know the the
[08:56.40]  fundraising becomes easier managing the
[08:58.24]  board gets easier
[08:59.52]  i think the other thing that does get
[09:01.28]  easier is uh
[09:02.88]  you know what to expect you you know you
[09:04.80]  can see around the corners better
[09:06.80]  because you know it's
[09:07.60]  you've gone through the journey like you
[09:09.04]  know when you like i could see
[09:11.36]  six months ahead a year ahead based on
[09:14.00]  the prior experience
[09:15.44]  of building it the first time i have
[09:16.88]  dynamics and app dynamics everything was
[09:18.40]  new like i didn't know
[09:19.44]  what will happen a year later what will
[09:20.88]  happen two years later and
[09:22.96]  things don't exactly happen the same way
[09:24.72]  at harness now but still there's a lot
[09:26.64]  of similarity right so
[09:27.92]  you know you know like once you're gonna
[09:29.36]  hit uh you know your 100 customers
[09:32.40]  these are kind of the challenges that
[09:33.68]  will start to happen you know you know
[09:35.52]  like you know once you start getting
[09:36.88]  like you know expand your sales force
[09:38.48]  internationally these are the challenges
[09:39.92]  that will start to happen so you could
[09:41.12]  be prepared for those
[09:42.40]  you know you know also know like you
[09:43.52]  know these are the things that will
[09:44.48]  happen when like you know when you go
[09:45.84]  from one product to second product
[09:47.76]  these are the things you have to do on
[09:49.04]  the how you structure your engineering
[09:51.28]  these are the things you need to do when
[09:52.48]  you like you know
[09:53.52]  uh you know structure your sales
[09:54.80]  organization how do you launch a product
[09:56.72]  some some of the things that like you
[09:58.08]  know i i didn't know what
[10:00.40]  that you know what to expect first time
[10:02.24]  second time i know much better what to
[10:03.92]  expect so that makes
[10:04.96]  it much easier uh you know to plan
[10:06.88]  around and execute on
[10:08.32]  a bunch of these things right well what
[10:10.72]  was an example of something that
[10:12.72]  like was a surprise for you when you
[10:14.88]  were first building app dynamics like
[10:16.72]  where you were like oh i didn't see
[10:18.48]  this coming at all
[10:20.40]  uh or maybe you know i had vaguely heard
[10:22.80]  about it
[10:23.52]  but didn't realize that it would be so
[10:26.00]  such a big deal and you know
[10:28.16]  wish i knew this six months ago yeah
[10:30.48]  like you know when i was first doing app
[10:31.76]  dynamics almost everything was a
[10:33.20]  surprise to me because i didn't know
[10:34.64]  anything uh
[10:35.68]  like you know even like simple things
[10:37.36]  like okay how do you even interview a
[10:38.80]  sales rep
[10:39.92]  you know i have no idea like you know
[10:41.36]  what to ask you know a sales rep an
[10:43.44]  interview question and like you know how
[10:44.80]  do you
[10:45.60]  uh you know so those kind of things were
[10:47.44]  all you learned through it right you
[10:48.80]  know so those
[10:49.60]  almost everything was a surprise at
[10:52.08]  harness like you know
[10:53.44]  i do think like some things uh you know
[10:56.16]  uh
[10:57.20]  you know you know like these skills you
[10:59.28]  have learned like you know you know like
[11:00.80]  you know some of these things are not as
[11:02.16]  surprises
[11:03.28]  uh i i when i was building app dynamics
[11:06.16]  to me like you know
[11:07.04]  uh how to handle sales was definitely
[11:10.24]  i never thought it would be that hard or
[11:11.84]  that complicated figure it out what to
[11:14.80]  do
[11:15.44]  you know uh you know scaling the teams
[11:18.00]  and how do you like you know build the
[11:19.36]  right culture you know i was
[11:20.80]  you know i never thought of that like
[11:22.16]  you know uh at
[11:24.08]  dynamics until we kind of starting to
[11:26.96]  have to deal with it right you know that
[11:28.72]  uh but at harness i know like you know
[11:31.20]  you know you have to be
[11:32.56]  much more productive about building the
[11:33.92]  right culture very early on you know you
[11:35.92]  you know you uh so those kind of things
[11:37.52]  you
[11:38.00]  are not surprised anymore like i know
[11:39.68]  these i have to do because that's that
[11:41.52]  otherwise
[11:42.56]  you can't really just grow makes sense
[11:45.52]  all right so to recap a little bit
[11:47.68]  um you said that you know things that
[11:49.84]  got easier
[11:51.20]  fundraising you can you can you can get
[11:53.52]  vc's to pitch you
[11:54.96]  on why you should accept your term sheet
[11:57.68]  and offer
[11:59.12]  sounds great uh everyone should just
[12:01.36]  skip to being a second time founder and
[12:03.68]  just skip the
[12:04.64]  first time a bit managing your board
[12:07.76]  making sure
[12:08.56]  you work with people that you trust and
[12:11.28]  understand and you know don't need
[12:13.12]  managing
[12:14.00]  um and knowing what to expect i think i
[12:16.80]  think those are really
[12:17.92]  uh solid um challenges
[12:20.96]  that you know if they're easier like
[12:22.96]  feels like
[12:24.48]  you as a founder like your life is in a
[12:26.72]  much better place but what about like
[12:28.80]  you know
[12:29.44]  core company strategy like for example
[12:31.76]  you brought up that even your second
[12:33.44]  time founder people don't question your
[12:35.68]  decisions as much
[12:37.60]  because you have done this before like
[12:39.60]  even if you are the same person you're
[12:41.68]  thinking
[12:42.24]  like the same way about your company
[12:44.16]  strategy people kind of trust you that
[12:46.16]  you know and
[12:47.20]  is that part easier or you know like
[12:49.60]  what is it that
[12:50.40]  is equally hard i guess you know what is
[12:53.44]  equally hard is
[12:54.96]  is executing you know executing on a few
[12:58.32]  things like you know
[12:59.60]  and finding product market fit for
[13:01.84]  example like you know
[13:03.20]  when i was doing app dynamics you know
[13:04.88]  initially i had assumptions on
[13:06.72]  this is how our product should be this
[13:08.56]  is how the what the market needs
[13:10.00]  to be and turn out that half of those
[13:12.40]  assumptions are wrong
[13:13.84]  and we had to do multiple pivots in the
[13:16.08]  first 18 months
[13:17.28]  of app dynamics right and you have to
[13:18.88]  iterate and pivot and find the right
[13:20.48]  product market fit
[13:21.36]  and most startups have to go through
[13:22.64]  that so when i
[13:24.88]  at harness i i thought like you know
[13:26.40]  okay i'm doing it second time i don't
[13:28.96]  maybe i'll get all my assumptions right
[13:30.64]  the first time but that's really not the
[13:32.56]  case the finding that product market
[13:34.24]  fit is still the same iterative process
[13:36.64]  like you know we had to pivot at harness
[13:38.16]  as well we have to do like you know
[13:39.60]  some of the assumptions were wrong and
[13:40.88]  we have to pivot and correct course and
[13:42.88]  you know iterate through it and
[13:44.64]  go through almost exactly the same same
[13:47.84]  journey that we had
[13:49.12]  went at abdominals right so which is
[13:51.04]  like how do we hone into the right
[13:52.56]  product market fit and it was equally
[13:54.16]  hard it's a hard problem to solve
[13:55.60]  it was a hard problem solid app dynamics
[13:57.04]  because i have problem to solve hardness
[13:58.72]  and you know that that was one second is
[14:02.40]  the
[14:03.76]  i would say equally hard is uh is
[14:05.60]  recruiting
[14:06.80]  and that was a little bit of a surprise
[14:08.56]  to me actually because i thought like at
[14:10.24]  appdynamics
[14:11.12]  you know we spent a lot of time
[14:13.28]  recruiting and i
[14:14.16]  i strongly believe that to build a great
[14:15.84]  company you have to hire a lot of good
[14:16.96]  people
[14:17.44]  and kind of as as founders you have to
[14:18.96]  spend a lot of time personally trying to
[14:20.32]  recruit uh right
[14:21.68]  so in ap dynamics we hire a lot of
[14:23.12]  really great people and you know a lot
[14:24.64]  of those people like became like you
[14:25.84]  know people who started as engineers
[14:27.04]  become vps and
[14:28.40]  people started as sales reps and sales
[14:30.40]  directors they became like you know head
[14:32.16]  of sales and all like can people grew
[14:33.68]  with the company for those
[14:34.96]  you know five years eight years ten
[14:36.16]  years have been right uh so
[14:38.40]  i i thought initially like you know i
[14:40.00]  could just go and bring all those people
[14:41.76]  who i
[14:42.16]  knew who like really is rock stars and
[14:43.92]  kind of grew with app dynamics and
[14:46.00]  and i don't need to spend time on
[14:47.36]  recruiting but that turned out that's
[14:49.20]  not the case because you know
[14:50.48]  most of those people you know it's great
[14:52.32]  that they've been now
[14:53.60]  you know significantly uh you know grown
[14:56.32]  in their careers and where they are
[14:58.24]  in in their in their journeys in in work
[15:00.40]  right so for them to come into a very
[15:02.40]  early startup
[15:03.60]  you know many times doesn't make sense
[15:06.48]  like you know how would why would you
[15:07.52]  come to a very early startup you know
[15:08.88]  it's it's just it doesn't it's not the
[15:10.16]  right fit so i so
[15:11.36]  you know it took me some time to realize
[15:12.64]  that i need to actually go through the
[15:13.84]  same
[15:14.48]  cycle again that find these really
[15:16.72]  talented upcomers
[15:18.16]  you know very similar to what we did in
[15:19.60]  ap dynamics and kind of groom them and
[15:21.44]  have them grow with the company and then
[15:23.20]  they become the next generation of those
[15:25.76]  rock stars you know the way we had the
[15:28.16]  abdomen i couldn't just bring all of the
[15:30.00]  same people and you know i have to go
[15:31.76]  through the same journey again so that
[15:33.04]  was you know
[15:33.68]  i i think it's equally hard in the sense
[15:35.76]  that you have to
[15:36.80]  i had to put equal amount of effort you
[15:38.96]  know in uh that we didn't have dynamics
[15:41.04]  at harness as well right
[15:42.24]  right so i'm curious i'll
[15:45.44]  interrupt you a little bit because you
[15:47.20]  know how do you think about
[15:48.80]  identifying that like next you know
[15:51.36]  rising star right like if you can't just
[15:53.76]  like
[15:54.00]  maybe you know your old team wants to
[15:55.84]  spend more time in machu picchu than you
[15:57.68]  did now you need to like
[15:59.20]  find like the not that that person but
[16:01.76]  10 years ago
[16:04.00]  do you have like you know because i know
[16:05.76]  you have such cool frameworks for all
[16:07.68]  decision making like
[16:09.12]  how do you think about like yes this
[16:10.96]  person is like a founder level higher
[16:13.44]  and i'm catching
[16:14.56]  you know her or him early i i
[16:17.84]  i think the framework that i like to use
[16:19.68]  is like you know someone who is uh
[16:22.00]  uh you know first of all high intellect
[16:25.12]  uh you know they have to be uh high
[16:26.80]  intellect is important second is they
[16:28.40]  are very curious
[16:29.28]  they're curious and they want to learn
[16:30.80]  and they are fast learners and they're
[16:32.48]  curious about learning more and more
[16:34.56]  and third they're ambitious that they
[16:36.56]  want to do that like they have the
[16:37.92]  desire to
[16:39.36]  you know uh you know to grow under the
[16:41.92]  desire to
[16:42.80]  you know do bigger things like you know
[16:44.80]  if you if you you want to have like you
[16:46.40]  know
[16:46.88]  a person who's let's say you're hiring
[16:48.16]  as a sales rep that they are like you
[16:49.52]  know uh
[16:50.64]  they are high in intellect you know they
[16:52.56]  are they're they're curious and fast
[16:54.56]  learner but they're ambitious that they
[16:56.00]  want to become a vp of sales
[16:57.60]  at some point you know so now you know
[16:59.68]  like you know they have all the right
[17:01.36]  right ingredients at least right so you
[17:03.52]  know could they be coached and mentored
[17:05.20]  and kind of they could
[17:06.24]  get there over time you know they can so
[17:08.32]  that's how i would identify things but
[17:10.32]  it also goes through a process after
[17:12.24]  that like not everyone makes it like you
[17:13.68]  can't
[17:14.40]  not you know it's like if you hire five
[17:16.40]  of those people you think okay these are
[17:17.84]  high potential
[17:18.88]  not all five are going to get there like
[17:20.64]  you know so but so it almost also goes
[17:22.56]  through a
[17:23.44]  sort of a meritocracy process after that
[17:26.08]  like you know the
[17:27.12]  best people get promoted to the next
[17:29.04]  level and the next level in the next
[17:30.40]  level so you go through that cycle
[17:32.16]  you know so you know we uh we did that
[17:34.56]  very well at appdynamics and
[17:36.32]  i you know i initially thought i can
[17:38.72]  short-circuit that at hand
[17:40.96]  you know i you know it's actually a
[17:43.04]  great cycle because it allows so many
[17:44.48]  people to grow
[17:45.44]  with the company and you know so that's
[17:47.60]  you have to do that again
[17:48.96]  right right and and you you know talked
[17:51.12]  about how you had to learn a lot about
[17:53.20]  sales with app dynamics so how did how
[17:55.92]  did that go with harness and traceable
[17:58.40]  like any any shortcuts to hiring good
[18:01.12]  salespeople
[18:02.00]  and and hitting your quota every year or
[18:04.88]  every quarter
[18:06.48]  you know well there are two parts of
[18:08.40]  sales uh you know
[18:09.92]  in the initial years there's a lot of
[18:11.36]  hustle and there is always a bit of
[18:13.12]  hustle goes in sales but the initial
[18:14.72]  years is
[18:15.68]  there's much more hustle than you would
[18:17.20]  imagine right and actually i i
[18:19.36]  initially thought when like doing it
[18:21.04]  second time that they don't need to
[18:22.72]  hustle
[18:23.20]  as much you know but like when when it
[18:25.68]  was like the early days of web dynamics
[18:27.12]  like every deal doesn't matter it was
[18:28.32]  like thousand dollars two thousand five
[18:29.60]  thousand dollars like you know
[18:30.96]  whatever it takes you know will uh you
[18:32.72]  know if i have to be involved i will be
[18:34.88]  on the front line trying to close the
[18:36.56]  deal win the deal everything right
[18:38.40]  but as the company got mature at
[18:39.92]  dynamics you have a sales machine
[18:41.60]  like you know your entire machine that
[18:43.36]  you know you actually don't want it to
[18:44.96]  be hassle oriented you want it to be
[18:46.56]  more systematic because the hustle
[18:48.08]  doesn't scale at some point right
[18:50.00]  uh so you know so i got very used to
[18:52.88]  that machine
[18:53.92]  right you know so when i started harness
[18:55.60]  initially i thought okay we you know we
[18:57.12]  probably don't need the hustle because
[18:58.72]  machine is great like you know
[19:00.24]  but you realize in the first couple of
[19:01.92]  years the machine is you know it doesn't
[19:03.76]  really work you gotta still hustle a lot
[19:05.76]  and you know and that part you know you
[19:08.24]  can't really avoid it like you know so i
[19:10.16]  at harness like it's really the same
[19:12.24]  kind of things i have you know we had to
[19:13.44]  go through as well like you know if it's
[19:14.64]  a
[19:14.96]  doesn't matter if it's like you know to
[19:17.20]  find to win
[19:18.56]  how small a customer is you know how
[19:20.48]  small a deal is you have to do
[19:21.76]  everything to win
[19:22.88]  you have to you know prospect you know
[19:24.88]  your way in you have to like you know
[19:26.80]  beat competitors all of that sales
[19:29.04]  hustle you still require like you know
[19:30.96]  you really can't like you know whatever
[19:32.32]  it takes to
[19:33.12]  help your sales teams and your sales
[19:34.72]  reps to like just get one small
[19:36.48]  competitive advantage to win
[19:38.08]  so it becomes really really important in
[19:39.68]  the in the first couple of years right
[19:40.80]  so that that
[19:41.44]  still remains the same i think when it
[19:43.60]  comes to you know if you want a
[19:45.04]  repeatable sales
[19:46.32]  sales motion where like you never miss a
[19:47.92]  quarter that happens only when you build
[19:50.32]  a reputable sales machine
[19:51.68]  right and and every startup has to kind
[19:53.84]  of evolve into that like you know you
[19:55.44]  start with the hustle oriented sales
[19:57.44]  to like you know a little bit of hustle
[19:58.88]  and little bit of machine to like almost
[20:01.04]  a
[20:01.52]  complete machine oriented model at some
[20:03.36]  point right where like you know it's
[20:04.72]  everything is predictable repeatable all
[20:06.56]  of that and you go through that that
[20:08.24]  that that cycle uh yeah it you know i
[20:11.20]  have a little bit of an advantage doing
[20:12.32]  it the second time now
[20:13.36]  at harness and you know that and
[20:14.88]  traceable that you know like that is
[20:16.40]  coming
[20:17.12]  like you know right that we have to go
[20:19.36]  towards it at app dynamics i didn't know
[20:20.80]  it
[20:21.20]  initially i was like you know this
[20:22.24]  hustle thing is working so well why do
[20:24.40]  we even need to
[20:25.12]  think about building a machine until i
[20:26.56]  start running into problems with it
[20:28.00]  right so
[20:29.84]  just like you know we can start building
[20:31.44]  you know which we have done like
[20:32.72]  building up very predictable kind of
[20:34.64]  sales machine um you know a
[20:36.32]  bit earlier than most traffic would do
[20:38.32]  right yeah and you know
[20:39.68]  unusual like we definitely find that um
[20:42.64]  just building the sales machine and
[20:44.56]  getting the senior sales leader
[20:47.04]  higher right it's just so challenging
[20:50.00]  for founders especially
[20:51.60]  doing it the first time and you know
[20:53.60]  that's why we've built so much support
[20:55.60]  for
[20:56.24]  them like where we can like help them
[20:58.32]  pick that right person
[20:59.92]  and i remember i think this was like
[21:01.36]  maybe 2018.
[21:03.28]  i remember reading this amazing article
[21:06.16]  that you had published about
[21:08.08]  what you learned from app dynamics about
[21:10.72]  hiring sales leaders
[21:12.64]  especially at that pivot point of like
[21:15.52]  going from
[21:16.56]  having a sales leader who manages to
[21:18.80]  deals
[21:20.08]  to having a sales leader who manages to
[21:22.24]  sales capacity
[21:24.16]  and like running a machine that's
[21:25.92]  capacity based and the leader who thinks
[21:28.24]  about capacity as opposed to a leader
[21:30.16]  who thinks about individual deals
[21:32.56]  and you know it really felt like very
[21:34.64]  very good hard-won wisdom
[21:37.52]  that you can and the funny thing is you
[21:39.52]  can't really hire the
[21:41.20]  capacity leader early right because
[21:43.84]  that's not the person you need early
[21:45.60]  like you actually do need the person who
[21:47.28]  can get in there to close individual
[21:49.20]  deals
[21:50.08]  so yeah i think that was like just an
[21:51.92]  amazing way to
[21:53.28]  synthesize what we probably learned over
[21:56.16]  years of hiring
[21:57.44]  at adapti and um very useful
[22:00.64]  uh for founders yeah i think it's uh
[22:04.40]  uh you know some of the things that you
[22:06.08]  have to do in the very early stage like
[22:07.84]  you know getting from that idea to the
[22:10.24]  first the first million dollars of
[22:11.68]  revenue those things
[22:13.60]  you know i think people it's doesn't
[22:16.24]  matter how much experience you have they
[22:18.00]  remain equally hard and you just have to
[22:19.92]  do them like you know
[22:21.20]  the the you know manage the sales deals
[22:23.76]  and uh
[22:24.40]  yeah recruit the initial team and uh
[22:27.44]  you know go and get the right messaging
[22:29.44]  and you know as you know
[22:30.88]  at unusual that's a key part of our
[22:32.64]  focus and how do we help
[22:34.24]  founders in a very systematic way just
[22:36.24]  help not just giving them advice but can
[22:38.16]  we just go in the trenches and be the
[22:40.40]  extended sales force and be the extended
[22:42.16]  recruiting force and be the extended
[22:43.60]  marketing arm to do that
[22:44.96]  because that's really hard to do i think
[22:47.04]  at some point when you start hiring the
[22:48.80]  right you know that you can
[22:50.32]  attract the right leaders you know in
[22:52.40]  your company as vps
[22:54.08]  things get get easier like you know so
[22:56.00]  uh right that's that's always the but
[22:58.00]  the initials uh uh challenges and uh
[23:01.12]  you know uh you have to go through
[23:02.96]  there's no shortcut to it
[23:04.48]  makes sense all right so to quickly
[23:06.56]  recap
[23:07.60]  some of the things that you know you
[23:09.20]  said unfortunately continue to stay hard
[23:12.80]  finding product market fit recruiting
[23:15.76]  really really good
[23:16.88]  racing start talent because you know the
