Title     : "What Do You Mean They Quit?!" Why Engineers Leave |  Plato, Change.org & Notion
Video ID  : SQRr_QnDbLI
[04:26.72]  you actually grow them and develop them
[04:28.72]  so we're going to go through this
[04:29.76]  journey together
[04:31.52]  so the journey of an engineer and what
[04:33.44]  you can do at every stage of this
[04:35.04]  journey to actually retain your
[04:36.80]  engineers so let's talk about event
[04:38.72]  before they join your company so the
[04:41.20]  hiring process so this is something that
[04:43.76]  actually you can start to think about
[04:45.28]  retaining your engineer even before they
[04:47.76]  join your company which is interesting
[04:49.68]  um so even before the interview process
[04:52.24]  tell me a bit more about
[04:54.64]  how the interviewing process and how do
[04:56.56]  you scan for people who are going to
[04:59.44]  stay in the long run um anyone wants to
[05:02.16]  start
[05:03.36]  i can i can jump in first um for us you
[05:06.24]  know as you can imagine a company like
[05:08.16]  change.org is extremely mission oriented
[05:11.36]  so we put a lot of focus on
[05:14.00]  highlighting our mission the purpose the
[05:16.96]  user impact the impact to the world in
[05:20.08]  our recruiting process from job
[05:23.28]  descriptions to the first contact from a
[05:26.24]  recruiter to candidates and then
[05:28.56]  throughout the entire interview process
[05:31.44]  and onboarding
[05:33.20]  so we put a lot of focus then we only
[05:35.76]  want to attract
[05:37.52]  people who agree with our mission
[05:40.32]  obviously and a passion of outcome to
[05:43.04]  make change
[05:44.72]  the world through technology so that's
[05:47.20]  our main focus
[05:49.04]  but everyone tell everyone to tell you
[05:51.04]  that they believe in the mission right
[05:52.32]  so how do you do really to
[05:55.04]  identify those who really believe in
[05:56.72]  your mission so we have some advantage
[05:59.20]  as being a petition platform we have
[06:02.32]  hundreds and thousands active petitions
[06:06.00]  running on our platform in any given day
[06:08.80]  and we many of those petitions or
[06:10.96]  campaigns reach success in any given day
[06:14.48]  so we can make big
[06:16.88]  you know campaigns and make it to new
[06:19.12]  york times washington post uh various
[06:22.48]  you know meeting outlets and we always
[06:24.40]  highlight that so in every one of those
[06:27.04]  contacts you know connections with the
[06:29.12]  candidates will highlight those stories
[06:31.68]  and sometimes we also switch to smaller
[06:34.48]  petitions in the local basis because the
[06:36.80]  local petitions
[06:38.48]  you know that's what related to the
[06:40.24]  candidate easy to connect to them so if
[06:43.12]  we know a particular country or region a
[06:46.40]  location the candidates from will also
[06:48.80]  highlight those petitions so that's
[06:50.32]  really helpful you can see what
[06:52.32]  technology can actually make the impact
[06:54.56]  by the time they talk to engineers or
[06:56.56]  talk to me
[06:57.84]  we would definitely kind of put more
[06:59.76]  focus on how do we utilize technology
[07:02.64]  into our platform whether or not the ai
[07:05.36]  infrastructure or just skill scalability
[07:09.52]  to really highlight what engineering can
[07:12.32]  contribute to the mission
[07:14.84]  okay michael how do you do to actually
[07:17.92]  screen those engineers that are real
[07:19.92]  online and those who are going to stay
[07:22.48]  yeah so there are three things we
[07:24.24]  interview for specifically in the hiring
[07:25.84]  process it was like elaine
[07:27.76]  we start with what you might call a
[07:29.36]  mission or alignment check so as i
[07:32.00]  mentioned earlier notion is very focused
[07:33.84]  on
[07:34.56]  being something that allows tool
[07:35.92]  builders to customize their own tools
[07:37.52]  and it's something we discuss with
[07:38.56]  candidates at the beginning of the
[07:40.00]  process
[07:41.36]  it's easy to check for this people who
[07:43.36]  like tool building as engineers will
[07:45.20]  have done things like say worked on
[07:47.04]  compilers or can talk about tools
[07:48.88]  they've built notions in a lucky place
[07:51.12]  where most engineers who join notion
[07:53.52]  have personally used it as their own
[07:56.08]  tool so that's an easy way to check how
[07:57.84]  these people know what we're trying to
[07:59.44]  do if we're looking for i think the
[08:00.96]  second thing we check for is just a
[08:02.96]  desire to build product and not just
[08:05.68]  implement technology
[08:07.52]  so we have an interview question which
[08:09.36]  is very ambiguous it's how you roughly
[08:11.60]  designed this product what are all the
[08:13.68]  design choices you would make what are
[08:15.12]  the underlying technical choices you
[08:16.56]  would make to see how people deal with
[08:18.56]  product ambiguity and the last thing we
[08:20.80]  do at the end of the process is we have
[08:22.56]  a what we call a craft and values
[08:24.24]  interview to either i or our ceo will
[08:26.64]  meet with every engineer and just talk
[08:28.40]  to them about
[08:29.60]  notions values things like our emphasis
[08:31.84]  on rigor or on moving quickly and look
[08:34.32]  for examples in people's past to see oh
[08:36.72]  do they behave or they live up to the
[08:38.32]  values that we have in mind for the
[08:39.52]  company that way there's no divergence
[08:41.36]  in the future if you know between our
[08:43.28]  values and those are the people who join
[08:45.12]  so mission alignment product sense and
[08:47.84]  crafting values are three things we look
[08:49.28]  for in the interview process so mission
[08:51.28]  alignment is
[08:53.76]  something that you share so what's the
[08:55.68]  mission for example notion uh the
[08:58.16]  mission of notion is to
[09:00.00]  make filmmaking ubiquitous
[09:02.08]  okay and you share this with them and
[09:05.04]  how do you actually
[09:06.48]  try to understand if they're really
[09:08.48]  aligned with with this are you just
[09:10.08]  having a conversation is it a take-home
[09:12.80]  assignment or project they have to do or
[09:14.88]  something
[09:15.84]  yeah so it's not a take-home assignment
[09:17.68]  it's uh it definitely is more of a
[09:19.52]  feeling or a vibe like i mentioned
[09:20.96]  earlier when you're talking to someone
[09:22.64]  about no transmission is to be a
[09:24.48]  platform that allows tool makers to
[09:26.24]  customize your craft their own tools
[09:28.48]  people will often be able to say oh yes
[09:30.16]  i've used notion myself
[09:32.08]  to build this tool say my recipe ebook
[09:35.20]  or something like that or they'll have
[09:36.96]  some comment about how when they write a
[09:38.24]  previous job they were working on a lot
[09:40.32]  of developer facing tools so it's pretty
[09:42.48]  easy to grok or to glean from these
[09:44.56]  conversations you know is this someone
[09:47.20]  who cares about enabling others to build
[09:49.92]  their tools or is it just someone who is
[09:51.92]  looking for another software job so if
[09:54.00]  they didn't use notion it's a deal
[09:55.60]  breaker
[09:56.64]  it's not a i wouldn't say it's a blocker
[09:59.20]  but like i mentioned earlier i would say
[10:01.20]  90 of people who end up joining notion
[10:03.52]  engineering used notion in their
[10:05.12]  personal life or in a previous job we've
[10:06.96]  had an engineering engineering manager
[10:08.32]  join a few days ago who had used notion
[10:11.44]  for three or four years in his past job
[10:13.68]  so like
[10:14.96]  most people who join are very familiar
[10:16.32]  with the tool ninety percent of people
[10:18.56]  you hire already used notion before or
[10:21.12]  not actively using imaging before yeah
[10:23.52]  uh do you have ninety percent of people
[10:24.96]  who did a petition before
[10:26.80]  i would think so but i don't don't quote
[10:28.88]  me on it i don't know the actual count
[10:30.96]  yeah
[10:32.40]  so most of people also who interviewed
[10:34.56]  change.org actually have been using the
[10:36.08]  product right most people get out of our
[10:38.24]  emails probably many of you yeah
[10:40.88]  good okay so let's switch to the next uh
[10:43.68]  phase so in order to retain your best
[10:46.32]  engineers it starts before they join to
[10:48.72]  make sure so um
[10:50.80]  mission alignment making sure they have
[10:52.72]  the right threats for example
[10:55.04]  there are product engineers they have a
[10:57.04]  desire to build product and also how
[10:59.52]  they
[11:00.40]  align with your values um it's uh you
[11:03.04]  mentioned with the ceo
[11:05.20]  co-founder
[11:06.32]  of notion and yourself and or yourself
[11:08.32]  which is super interesting so every
[11:09.92]  single hire go to the ceo or yourself
[11:12.48]  for the entering team at least which is
[11:13.76]  interesting so i interview every
[11:15.68]  youtuber candidate at the last stage you
[11:17.76]  have also some some similar valued uh
[11:20.72]  alignment yeah sure yeah good so let's
[11:23.92]  go to the next uh stage so uh let's
[11:26.80]  continue in that journey um i'm a
[11:28.64]  developer
[11:29.76]  i pass the interview i'm using notion
[11:31.84]  i'm a big fan i'm using change.org now
[11:34.48]  what do you do to actually reinforce
[11:37.44]  and making sure that they're going to
[11:39.20]  stay in the long run it's stuck within
[11:40.88]  boarding but you also have the whole
[11:43.68]  process for the first one
[11:45.68]  one year and hopefully after 18 months
[11:47.76]  you don't leave so what do you do
[11:49.52]  the first 18 months
[11:52.72]  you want to go first so i think
[11:54.96]  i guess the word of my mind is growth in
[11:58.00]  three senses so the first is
[12:00.40]  this is a bit trite to say but company
[12:02.48]  growth revenue
[12:04.08]  users evaluation
[12:05.92]  is the single best way to retain
[12:07.92]  engineers in this market so anything
[12:10.48]  else that you do is not going to really
[12:12.24]  help if the company isn't growing if
[12:14.08]  it's plateaued so we obviously invest a
[12:15.68]  lot in making sure the product is doing
[12:18.00]  well
[12:19.28]  but secondary to those are two things
[12:21.12]  one is on the growth front you want
[12:23.44]  engineers to know exactly how their work
[12:26.48]  impacts the company's growth so as an
[12:28.72]  example notions right now working on
[12:31.76]  improving our offerings for enterprise
[12:33.60]  users you know a thousand two thousand
[12:36.00]  five thousand person companies and
[12:37.92]  throughout the engineering org the work
[12:39.84]  that people are doing clearly addresses
[12:41.84]  or ladders up to that so we have people
[12:43.52]  working on search to improve search in
[12:45.44]  large installations we have people
[12:47.28]  working on permissions to say make a
[12:49.52]  permissions model that's more granular
[12:50.96]  for enterprises so those engineering
[12:53.12]  teams can see very directly how their
[12:54.96]  work impacts our goal of moving up
[12:57.04]  market as it were so it's very important
[12:59.60]  that engineers can see oh yes i am
[13:02.24]  helping to move revenue numbers or
[13:03.84]  achieve product goals directly i was at
[13:05.76]  google for a few years before stripe and
[13:08.40]  my work was you know light years from
[13:11.20]  google's core business and there was no
[13:12.88]  way that i was actually driving revenue
[13:14.24]  there i noticed very important for us to
[13:15.92]  have engineers who are really driving
[13:17.68]  company goals just the second thing on
[13:19.60]  growth is
[13:20.88]  it's impressive to me in contrast my
[13:22.40]  time at stripe to my time of notion
[13:24.32]  where you know eight years ago or ten
[13:26.40]  years ago
[13:27.44]  we were just doing work at stripe heads
[13:29.36]  down
[13:30.16]  uh not really focused on personal growth
[13:32.32]  as much i find engineers today
[13:34.48]  are a lot more conscious and
[13:36.88]  deliberate and thoughtful about their
[13:38.24]  careers so even when notion of having 20
[13:40.56]  engineers there was a desire for there
[13:42.48]  to be a career ladder and level so
[13:44.16]  people could see how they were growing
[13:45.68]  so we actually just introduced these uh
[13:47.84]  a few weeks ago
[13:49.60]  but i think
[13:50.80]  giving people a sense of tangible
[13:52.48]  progress how they're growing what their
[13:54.56]  future the company looks like that's
[13:56.24]  really important for retention in a way
[13:57.60]  that it wasn't in my mind eight years
[13:59.36]  ago or so
[14:00.96]  so you said three types of growth the
[14:02.88]  growth of the company the growth of the
[14:04.48]  individual and
[14:06.40]  what was the third type of growth
[14:08.24]  uh so it was growth of the company in
[14:10.40]  terms of revenue and users there was how
[14:13.12]  engineers directly derived that growth
[14:14.96]  from their work and then individual
[14:16.48]  career growth
[14:17.60]  okay interesting
[14:19.60]  so
[14:20.80]  in order to
[14:22.00]  retain your engineers you have to
[14:24.40]  make them realize they
[14:26.40]  they're growing to help the company grow
[14:29.76]  and they are growing themselves thanks
[14:31.68]  to care development so let's talk about
[14:34.32]  care development four minutes before um
[14:36.96]  i asked elaine what she can what she's
[14:39.20]  doing also at the same journey stage of
[14:41.36]  the journey
[14:42.72]  career development is something you
[14:45.04]  introduced only a few weeks ago so it's
[14:46.88]  super fresh tell us a bit more about
[14:48.72]  this process really quick maybe some of
[14:51.04]  uh a
[14:52.32]  head of engineering or ceo here wants to
[14:54.32]  do something similar
[14:55.84]  yeah so even a year and a half a year
[14:58.16]  ago on engagement surveys probably the
[15:00.72]  single thing that people wanted the most
[15:02.48]  was a sense of career progression or
[15:05.60]  knowing what was required of them and
[15:06.88]  their role what expectations were and so
[15:08.40]  forth so
[15:09.60]  even late 2020 we knew that there was a
[15:11.52]  desire in the engineering core to have
[15:13.68]  some kind of formal leveling a ladder
[15:15.84]  system so about half a year ago we began
[15:18.56]  working on that in the engineering
[15:19.76]  management group i had two of our senior
[15:21.92]  engineering managers begin drafting
[15:24.08]  just what do each of the seven levels
[15:26.24]  correspond to what are the expectations
[15:28.16]  or requirements of each of those
[15:29.92]  that process of that initial drafting
[15:31.84]  took maybe two or three months and then
[15:34.88]  the rounds of iteration with the rest of
[15:36.72]  the engineering managers earlier this
[15:38.48]  year we took a group of select ics had
[15:41.04]  them review the latter and then as part
[15:42.80]  of our spring performance review cycle
[15:44.40]  we actually officially got out the
[15:45.60]  ladder had people do peer reviews we had
[15:48.72]  a calibration and we did level glove
[15:51.04]  delivery a week a week or two ago so it
[15:54.16]  was a pretty long process primarily
[15:55.92]  because drafting
[15:57.36]  ladders and making sure
[15:59.28]  they encapsulate both or industry-wide
[16:01.60]  norms but also capture the unique values
[16:04.56]  of your company but that just takes a
[16:06.00]  while to do four months it was the total
[16:08.56]  process yeah four months and you did it
[16:10.56]  before at stripe correct yes i also went
[16:12.88]  through the lettering process that's
[16:14.08]  right okay and you saw it at google too
[16:17.04]  uh when i was at google ladders already
[16:19.04]  already existed so
[16:20.64]  yeah i was there for the rollout but
[16:22.40]  let's try that notion
[16:24.40]  let's talk about uh what you are doing
[16:26.64]  at change.org to actually have um the
[16:30.08]  engineers really focus on the on the
[16:32.24]  mission and how to reinforce that over
[16:34.80]  time and how you develop your engineers
[16:37.12]  sure
[16:38.16]  i should say that in a change is
[16:40.16]  slightly different it's obviously we
[16:41.76]  grow but it's not like high growth
[16:44.16]  like a notion
[16:46.24]  but i cannot stress the importance of
[16:49.04]  growth right if you just know growth you
[16:51.92]  can't really have in the way you don't
[16:54.88]  have that much leverage motivate and
[16:56.72]  continue to motivate a team but we also
[16:59.20]  put a lot of focus on career development
[17:02.16]  the individual growth for us with major
[17:05.44]  growth you know with the user impact at
[17:08.08]  the company level and revenue and user
[17:09.84]  impact for career development we put in
[17:12.96]  we try to be extremely creative utilize
[17:15.68]  a very limited resource we have as a
[17:18.00]  non-profit
[17:19.28]  so we bring into
[17:20.96]  more focus on individuals
[17:23.84]  desire what areas of development they
[17:26.00]  want to
[17:27.04]  what can we
[17:28.56]  use if we
[17:30.08]  help that individual to growth what can
[17:32.88]  that person contributed companies make
[17:34.96]  the match so we have different kind of
[17:36.72]  development needs for example we do
[17:38.56]  coaching
[17:40.08]  those more for more senior
[17:42.88]  doctors or senior managers with specific
[17:46.40]  needs we identify external coach in a
[17:49.20]  short term period that have very
[17:50.96]  targeted areas of focus we have
[17:53.92]  mentorship we also use plato as well and
[17:57.36]  those are more target mid-level managers
[18:00.56]  senior ics who want to develop
[18:02.96]  leadership skills and we're also putting
[18:06.48]  together right now we're actually you
[18:08.32]  know rolling out internal engineering
[18:11.52]  mentorship program to utilize maximize
[18:14.80]  our
[18:15.84]  own staffs and you know this experience
[18:18.64]  and expertise and then match with
[18:22.32]  more junior younger uh uh
[18:25.44]  engineers to create this
[18:28.00]  six month or nine month long mentorship
[18:30.80]  program that would be a very tailored
[18:33.60]  and personalized growth and then we also
[18:36.64]  have a lot of training programs user
[18:39.28]  training program we do the train the
[18:41.76]  trainer meaning we send
[18:45.44]  a small number of individuals whether
[18:48.16]  it's product manager engineers or
[18:50.96]  engineer managers to really well created
[18:54.32]  online training courses or in-person
[18:57.44]  trainings and then they come back in the
[18:59.92]  share and those training could
[19:02.32]  spread into from security to engineering
[19:05.28]  engineer management to all the way to
[19:07.76]  product and design as well it's
[19:09.28]  incredible so we're limited if we do all
[19:12.32]  of this and we have to
[19:14.08]  you know
[19:15.04]  we
[19:16.08]  it's a pretty challenge market for us to
[19:17.84]  compete and as a non-profit we don't
[19:20.16]  have these potential stock options you
[19:22.96]  know in the silicon valley everybody
[19:24.56]  expecting stock options equities we
[19:27.12]  don't have that in our package right so
[19:29.76]  we have to add on to other things to uh
[19:32.96]  attract people so create what i'm trying
[19:35.28]  to say is beyond the growth we have to
[19:37.92]  really work on engagement with our staff
[19:42.80]  it's fascinating you are an ngo so
[19:45.44]  obviously you don't have stocks
[19:47.68]  and it's not something that compounds
[19:49.84]  and get a lot of value over time for
[19:52.32]  employees so you can't use that to
[19:53.92]  retain your engineers obviously you can
[19:56.16]  but we all can use growth of individuals
[19:59.60]  growth of employees thanks to levels so
[20:02.48]  you can see a progression in your career
[20:04.56]  or
[20:05.44]  growth thanks to coaching
[20:08.00]  external mentorship with platform like
[20:09.92]  plato for example or internal mentorship
[20:12.24]  or even trainings all the things that
[20:13.92]  you're doing
[20:15.04]  which is pretty incredible there's
[20:17.44]  definitely a culture of high growth of
[20:20.32]  individuals that change their dog yeah
[20:22.00]  we try very hard to feel out in the
[20:24.64]  company-wide the growth mindset right i
[20:27.28]  mean there's plenty of research said
[20:29.04]  about
[20:30.64]  happiness come from you know mindfulness
[20:33.44]  and curiosity right curiosity drive you
[20:36.64]  know require growth mindset and that's
[20:38.96]  very important and the other thing the
[20:41.04]  last thing people want is working for
[20:43.04]  purpose
[20:44.72]  so that's the mission focus for us you
[20:46.72]  got to work in all
[20:48.40]  of this area to
[20:51.04]  deepen the engagement of your staff yeah
[20:54.56]  there is a
[20:55.60]  topic we hear all the time
[20:58.16]  in our mentorship platform is about
[21:01.12]  if the levels uh should be public or
[21:04.00]  private if we should have the open
[21:05.92]  salaries or not within the company i
[21:08.16]  know you have a different point of view
[21:09.76]  on this can you tell
[21:12.72]  the crowd what like what you think about
[21:15.04]  about this
[21:16.40]  well so i can i can start so i was at
[21:18.72]  google where levels are public there's
[21:21.12]  actually a single webpage at google i
[21:22.72]  don't know 10 years ago now but i'm
[21:24.72]  gonna go slash and staff and see the
[21:27.04]  level of every single person of the
[21:28.08]  company
[21:29.68]  stripe and notion both have private
[21:32.32]  levels so the level is known to
[21:33.76]  individuals but
[21:35.36]  not to the wider population uh it's not
[21:38.00]  especially publicized and i think i
[21:39.84]  prefer that for two reasons you know one
[21:42.16]  if you make levels public it's a trap or
[21:43.60]  decision so you can't walk it back ever
[21:45.76]  end up being secondary consequences you
[21:47.60]  don't like but second we want the focus
[21:50.08]  in the workplace to be on the content of
[21:52.16]  the work if you're having a discussion
[21:53.52]  about a tech spec or a product review
[21:55.28]  document or a product requirements
[21:56.80]  talking you know let the discussion
[21:58.72]  stand on the merits of the discussion
[22:00.88]  and how about like we want people to
[22:02.32]  fixate on oh this person is debating
[22:04.88]  with me and she is at a higher level
[22:07.04]  than i am so perhaps i'll just be quiet
[22:09.20]  or see the argument too quickly so we're
[22:11.84]  definitely worried about these types of
[22:14.48]  effects if people are too aware of
[22:16.80]  levels
[22:17.92]  there's obviously a counter argument
[22:19.60]  where people want to be able to
[22:21.04]  publicize their career growth and their
[22:23.60]  progression
[22:24.72]  so uh then pass off to lane for the
[22:27.04]  opposite view yeah so i think this is a
[22:29.68]  highly debated
[22:31.44]  topic
[22:32.48]  we're more lean toward uh keep
[22:34.72]  transparency is important to us so we
[22:37.68]  have company-wise standardized levels
[22:40.72]  meaning every department we actually
[22:43.36]  have entire company levels and through
[22:45.68]  entire you know
[22:47.28]  uh
[22:48.16]  coverage throughout the entire
[22:50.16]  company so
[22:52.08]  the levels and the requirements for
[22:55.44]  each levels are public to other staff
[22:58.48]  and employees
[22:59.92]  um salary ban is public and we actually
[23:03.84]  list our salaries in the job posting so
[23:07.20]  we actually always lean toward
[23:08.88]  transparency we do have the title that
[23:11.36]  match the
[23:12.48]  levels so effectively um the level is
[23:16.16]  more or less public
[23:17.84]  um there might be a few variations but
[23:20.40]  yeah we definitely into it so
[23:21.92]  transparency is it helping redemption or
[23:23.84]  not
[23:25.28]  i think
[23:26.24]  transparency help
[23:28.48]  uh engagement yeah because we put a lot
[23:30.56]  of focus on diversity inclusion and
[23:33.76]  equity right equitable
[23:37.04]  you know require transparency and try to
[23:40.32]  make sure that
[23:41.76]  uh non-dominate groups you know staff
[23:44.24]  from non-democratic backgrounds gathered
[23:47.12]  equal treatment and rewards so that is
[23:50.64]  important for us you know it's a very
[23:52.24]  different approach but they're all
[23:53.36]  trying to work in a similar goal though
[23:55.52]  you agree
[23:57.52]  i think it's
[23:58.96]  both systems can work with you you know
[24:00.80]  uh on the right way i will say you know
[24:02.96]  a notion you don't ask people what their
[24:04.88]  levels were at the previous employers
[24:06.08]  when we interview them so we try to test
[24:07.68]  purely on the merits you know when i was
[24:09.20]  interviewing for the role of notion no
[24:10.96]  one ever asked me for a resume or
[24:13.76]  uh my level at stripe for example so i
[24:16.32]  don't think that levels are actually as
[24:18.88]  important
[24:20.08]  in terms of career portability or growth
[24:21.76]  as people might think
[24:25.20]  um
[24:26.64]  i we also running out of time so
[24:29.76]  let me
[24:30.88]  just recap a little bit throughout this
[24:33.12]  journey
[24:34.40]  really quick so
[24:36.24]  in order to retain your engineer
[24:39.44]  so
[24:40.56]  we need to focus on retaining your
[24:42.32]  engineers from day one so even before we
[24:46.08]  hire them so how do we do to actually
[24:50.40]  interview on a mission alignment on
[24:53.28]  values on type of engineers that you
[24:55.76]  want
[24:56.64]  how much product oriented they are etc
[24:59.60]  and the second thing is really
[25:01.20]  throughout this journey how you
[25:03.36]  actually empower them to actually be
[25:05.76]  better and better in the wholes so we
[25:08.24]  discussed a lot about coaching about
[25:09.92]  mentorship about training but also about
[25:13.36]  empowering them on what um
[25:16.16]  what they are doing is actually helping
[25:18.08]  on the growth of the company for example
[25:20.40]  you mentioned the
[25:21.68]  enterprise features and
[25:23.92]  people don't want to leave if they are
[25:26.00]  going to be aligned with the mission and
[25:29.12]  for you it's really about
[25:31.36]  you two is about the mission you too is
[25:33.12]  about the growth
[25:35.12]  of the individuals and for you it's
[25:37.04]  mainly about the growth of the company
[25:38.72]  and the eventually the growth
[25:41.28]  of the stocks
[25:42.88]  so throughout this journey
[25:44.56]  there is not one thing
[25:46.40]  to do it's multiple things at every
[25:48.72]  stage of their journey so this those are
[25:51.04]  the main takeaways thank you so much
[25:53.12]  thank you
[25:57.34]  [Music]
[26:13.84]  you
