Title     : How to Really Sell into The Enterprise:  A Discussion with Talkdesk, Adobe and Intel
Video ID  : UH3pz-uKe9k
[01:46.04]  from uh Adobe please introduce
[01:48.36]  yourself so uh great it's working so at
[01:51.52]  Lacy Bell I actually run one of our um
[01:54.72]  Enterprise sales teams at Adobe in the
[01:57.72]  west and um actually my background goes
[02:00.64]  all the way back about 133 years working
[02:03.20]  for omniture who was acquired by Adobe I
[02:06.12]  started as an account executive um many
[02:09.08]  years ago and then um was promoted to
[02:11.84]  become a leader about 5 years ago and
[02:14.56]  have been um actually one of the first
[02:17.20]  women in both of those roles within
[02:19.16]  Adobe so um kind of an interesting um
[02:22.64]  especially uh where I'm located from
[02:24.80]  Utah uh the demographic is kind of rare
[02:28.00]  to have women and so I've had a very
[02:30.00]  very unique opportunity to bring a
[02:32.44]  different side um to the sales
[02:35.88]  organization within Adobe and so um
[02:39.32]  happy to share some you know insights
[02:42.00]  and expertise and um have the fortunate
[02:44.24]  privilege of selling and working with
[02:45.96]  Becky and her team for many years um so
[02:50.08]  the the dynamic here is is hopefully
[02:52.08]  going to be interesting for you before
[02:54.12]  we jump into setting to the Enterprise
[02:56.44]  one advice to uh the many men here about
[02:59.96]  finding hiring and and uh having great U
[03:03.56]  great women in a sales team what would
[03:05.44]  be your advice to uh whoever here
[03:07.32]  running a company and want to have more
[03:08.68]  women in their
[03:09.72]  Salesforce the first would be to find a
[03:12.96]  woman that uh find a woman is a good one
[03:17.20]  that that are that are doing it well and
[03:20.00]  allow them to be part of the panel for
[03:22.16]  interviewing and um there's a lot of um
[03:25.16]  you know kind of gut feelings and and
[03:27.80]  instincts that we can help sort of
[03:30.08]  identify those those great women because
[03:32.28]  there's uh the statistics say 17% of
[03:35.92]  women um are in the technology sales so
[03:39.48]  the rest are meant and that's a pretty
[03:41.96]  staggering statistic and we definitely
[03:44.52]  need to do better at that so I would say
[03:47.48]  bring a woman on the panel that is
[03:50.00]  comfortable um the other thing is make
[03:51.80]  sure it's somebody that's kind of a
[03:53.24]  chameleon that can really fit in and
[03:56.44]  work well with male peers and um you
[03:59.16]  know ad value and um actually bring the
[04:02.00]  unique aspects of a woman and the traits
[04:06.48]  into the role that will really benefit
[04:08.80]  the team and everyone around them and
[04:10.84]  their customers there's a lot of things
[04:13.24]  like that Roman how about you introduce
[04:15.48]  yourself too another Adobe colleague
[04:17.56]  thank you so Lacy and I are peers I'm
[04:19.72]  based in Denver Colorado and uh Native
[04:22.92]  of that fine state so go Broncos for
[04:25.08]  those of you who enjoyed the Super Bowl
[04:26.80]  over the weekend um I have the
[04:30.24]  privilege of managing a team of named
[04:31.88]  account managers who each have the
[04:33.92]  entire marketing Cloud portfolio within
[04:35.92]  Adobe and we sell to our large strategic
[04:38.60]  accounts from Colorado through uh
[04:41.32]  throughout the entire West um I've been
[04:43.88]  in Enterprise sales for about 20 years
[04:47.44]  spent u a decade at BMC and and CA and
[04:50.88]  then after that decided it was time to
[04:52.96]  cut loose from large Enterprise game and
[04:55.52]  I was the chief Revenue officer for a
[04:57.36]  startup um we'll probably talk a little
[04:59.32]  bit more about that later on but
[05:01.08]  ultimately scaled that business and uh
[05:03.36]  we fortunate enough to to sell it off
[05:05.92]  then I spent a few years at Oracle prior
[05:07.52]  to um joining Adobe about a year ago
[05:10.56]  thank you and Becky Brown from Intel yes
[05:13.28]  hi thanks um I am in our marketing
[05:16.12]  organization and I run our digital and
[05:19.16]  media which is all of our paid
[05:21.20]  advertising and then all of our digital
[05:23.08]  properties um so our websites our social
[05:26.88]  engagements and then as part of that um
[05:29.32]  because we use uh technology to really
[05:32.60]  you know uh help us manage our marketing
[05:35.72]  efforts as the I manage all of our
[05:38.12]  marketing uh cloud and all the
[05:40.36]  capabilities that drive our marketing
[05:42.36]  initiatives across uh across Intel
[05:45.32]  so yeah so Becky and Lacy have done it
[05:48.08]  before and uh uh practice the dynamic
[05:50.88]  between a buyer and a seller so I'm just
[05:53.20]  going to start with a warm-up question
[05:54.76]  and then I'm going to let you guys
[05:56.12]  continue but Becky how do you like to be
[05:58.28]  sold to uh at as as an executive in a
[06:01.12]  very large Enterprise company Intel yeah
[06:04.00]  so I think there's kind of a a
[06:05.96]  misconception that um that we either
[06:08.84]  don't like to or like to be sold to
[06:11.28]  we're um I think kind of the most
[06:13.28]  important thing to think about people in
[06:14.80]  my position is that we're trying to
[06:16.72]  solve really large business problems and
[06:19.32]  drive our business forward and anything
[06:21.84]  or that comes in between that objective
[06:24.68]  is distracting us so having us talk to
[06:27.72]  you about you know our our business
[06:29.80]  objectives like we're a large company
[06:31.84]  you should go to our website or you
[06:33.36]  should read our earnings announcement
[06:35.60]  and you can get all that stuff it's all
[06:37.00]  online so those kind of things like
[06:39.56]  they're distracting Us in terms of
[06:41.04]  driving the business um when people you
[06:44.56]  know we we have a very robust and a very
[06:47.32]  integrated marketing stack I think
[06:49.40]  there's close to 30 different SAS based
[06:51.48]  solutions that we need to manage the
[06:54.56]  stack all the way from our DMP to our
[06:58.04]  CRM to anything in between from you know
[07:01.20]  a tag management solution to the way
[07:03.12]  that we do moderation and Publishing and
[07:06.20]  so there's a lot of capabilities that we
[07:08.40]  need to do to manage a an
[07:10.40]  enterprise-wide you know website or
[07:12.88]  social operations and for each one of
[07:15.72]  those capabilities or you know marketing
[07:18.76]  requirements that we have in terms of
[07:20.28]  running that through technology because
[07:22.48]  you know Intel knows best like why
[07:24.52]  technology is so critical for us to be
[07:26.56]  efficient um is that we have a very
[07:30.04]  disciplined approach to how we think
[07:31.72]  about onboarding new capabilities and
[07:34.24]  we're not just out getting sold to all
[07:35.96]  the time we have things that go up for
[07:37.60]  review and when it's up for review it is
[07:39.68]  up for review we sign a contract and
[07:41.92]  then we we integrate that into our stack
[07:44.64]  and so I think like understanding our
[07:46.60]  process our business first but then
[07:48.64]  understanding how you can fit into the
[07:50.56]  process and not you know making things
[07:53.04]  up outside of it if we've done for
[07:54.80]  example a social listening RFP and we
[07:57.76]  have decided on which you know uh
[08:00.04]  solution we're going to go with don't
[08:02.24]  bother talking to us because it is we've
[08:03.88]  already done all the analysis like
[08:05.28]  there's no there's not a lot of
[08:07.28]  opportunity there so I'd say like find
[08:09.48]  places where you're going to add value
[08:11.24]  in our existing stack and you can do
[08:13.92]  research we talk about our stack all the
[08:15.64]  time of what we already have and that
[08:18.08]  you know it's just it really is about
[08:19.68]  good homework and and really adding
[08:22.24]  value to our
[08:25.76]  business am I supposed to add okay yes
[08:28.88]  that so so what I would love to add
[08:32.24]  is there is so much information out
[08:34.96]  there um not only in the general
[08:37.88]  population Google you know investor
[08:40.92]  reports but also within Adobe there are
[08:44.08]  several different groups that have sold
[08:46.48]  to to Intel as an example um and it's
[08:50.36]  important for you as um account
[08:52.72]  executive as and leaders of those folks
[08:55.40]  to ensure that you've already done all
[08:57.44]  the research you can internally your
[08:59.04]  account manager everything that you can
[09:01.76]  find out about Intel as an example
[09:05.20]  before you go in and try to position
[09:07.28]  something um really will gain I think U
[09:10.92]  an kind of a there's a lot of return on
[09:14.48]  the respect and um you know the time
[09:16.76]  that we're respecting for them so
[09:18.88]  instead of Becky and her team having to
[09:21.48]  continually repeat the goals and the
[09:23.52]  needs and the challenges um use your own
[09:26.68]  internal resources reach out to your
[09:28.64]  partners that were work well with with
[09:30.76]  Intel you know for as an example again I
[09:33.00]  know this is a specific scenario but
[09:35.60]  think of it in your terms of your own
[09:37.44]  customers that you're chasing and um and
[09:40.56]  you know check with the partners and you
[09:42.20]  know for example deoe um has been
[09:44.88]  instrumental for us over the years in
[09:46.88]  helping us understand kind of the
[09:49.28]  underlying what's going on within Intel
[09:51.88]  how can we help them and this is a lot
[09:54.24]  of time that I can save from Becky and
[09:56.24]  her team for having to educate us and we
[09:59.00]  can show up and and be meaningful and
[10:01.96]  take one hour instead of you know a
[10:04.12]  whole day to do a session so I guess my
[10:07.40]  you know my feedback on that is
[10:09.32]  definitely do your homework and be
[10:11.72]  thinking outside of the box don't just
[10:13.80]  just go to the the channels that are
[10:16.32]  available to the general public go to go
[10:18.64]  to your your resources your network your
[10:21.64]  um Partners Etc to get as much
[10:24.64]  information as you can about what you
[10:26.92]  think they're trying to solve for and
[10:28.92]  what are the business objectives and
[10:30.56]  then we show up with an educated
[10:33.00]  conversation and we are respectful of of
[10:35.84]  their
[10:36.68]  time no maybe what we can add is is what
[10:39.72]  are the the typical mistakes you see
[10:41.84]  when your account executive go on a call
[10:43.60]  with a large large corporate and you sit
[10:45.52]  there and listen to the C and you get
[10:46.88]  really mad like don't say that or say
[10:49.08]  that what what are the typical mistakes
[10:50.52]  you see in the sales process to a large
[10:53.28]  company um yeah that's I'll say one
[10:56.48]  thing real quick then it's don't fight
[10:58.20]  don't fight uh
[10:59.88]  what other products do you use from
[11:02.64]  Adobe that's embarrassing wh why okay
[11:05.52]  because you haven't done your homework
[11:06.80]  you haven't oh yes and they should know
[11:08.84]  that that they should research that and
[11:11.16]  it's it's very unprofessional so that
[11:13.68]  probably is my biggest man it's one of
[11:15.48]  my biggest also oh what does your
[11:17.72]  business do who is your target market
[11:20.52]  you know these kinds of questions that
[11:21.88]  are so easy to find out on your own
[11:25.48]  without having to ask the customer those
[11:28.48]  things so Rodman please oh I think Becky
[11:31.20]  can support this or dispute it but
[11:33.32]  typically in a large Enterprise where
[11:35.04]  it's a very comple complex matric
[11:37.72]  organization you're the days of one
[11:39.80]  buyer gone so there are multiple
[11:43.04]  business units multiple departments each
[11:44.92]  have independent budgets that will
[11:47.36]  allocate to a particular business
[11:49.48]  project and it's important to we use a
[11:52.88]  value selling where we try to understand
[11:56.48]  very quickly who those Power Players are
[11:59.28]  in the the organization that will
[12:01.16]  ultimately sign the check or are part of
[12:04.16]  the approval chain is that yeah so I
[12:05.92]  guess like to add on to that because I
[12:07.28]  think that's a great point I think
[12:08.64]  people because I manage my team does
[12:11.84]  manage all of our capabilities is that
[12:14.68]  you know I'm the which I am the decision
[12:16.80]  maker but that you know it's
[12:18.32]  advantageous to come to me directly when
[12:20.56]  that's actually like I don't work on
[12:22.84]  some of the things intimately my team
[12:25.72]  does so if you come like if you if you
[12:28.16]  make that leap and you either get on my
[12:30.44]  calendar you have a friend of a friend
[12:31.84]  that says hey will you do me a favor and
[12:33.16]  meet with this these people and I do
[12:35.28]  you've and then I've decided that you
[12:36.88]  know well I don't think this is a fit
[12:38.48]  then that's probably like you haven't
[12:40.36]  done you haven't gone through the right
[12:41.72]  process you should use people in it to
[12:44.44]  help kind of understand and then you
[12:45.64]  work with my team to understand like
[12:47.20]  what our process is and so it's
[12:49.84]  important to find out where the the
[12:51.92]  actual decision is made and who owns the
[12:54.08]  budget and that process but it's also
[12:56.08]  important to you know as you manage with
[12:58.28]  a large company there's a lot of
[13:00.12]  different players that are part of that
[13:02.16]  process and you kind of need to go
[13:03.56]  through and and and work your way
[13:05.20]  through versus just saying well who's
[13:07.80]  the D and then you know you know try to
[13:10.80]  get on and do the the selling to me
[13:12.84]  because that that's that's probably
[13:14.12]  actually done you a disservice because
[13:16.04]  then if I've decided that I don't think
[13:18.16]  it's a good fit and then I find out that
[13:20.08]  you've gone around and and you've met
[13:21.60]  with other people on my team when I've
[13:22.88]  said I don't think it's a good fit then
[13:24.32]  you're really probably not going to get
[13:25.84]  invited back in So and and can I ask one
[13:28.96]  question question as a followup it
[13:30.84]  actually is a question for myself um
[13:33.60]  hopefully you guys will appreciate but
[13:35.40]  at what point is it offensive when um
[13:38.88]  let's say like so I'm the executive
[13:40.56]  sponsor for your account historically I
[13:44.40]  technically LeapFrog your team just to
[13:47.32]  reach out and say hey Becky let's let's
[13:50.80]  have a meeting or whatever the case may
[13:52.52]  be maybe we're trying to move something
[13:53.92]  along and we know you're a big part of
[13:56.12]  the decision but we sort of circumvent
[13:59.28]  circumvented the process it's very very
[14:01.08]  tempting to do that yeah um to go ahead
[14:03.52]  and just reach out to you yeah um and
[14:05.80]  obviously it's much worse coming from an
[14:07.76]  account executive rather than you know
[14:09.72]  hopefully a a somewhat peer of executive
[14:12.16]  sponsor but at what point is that
[14:14.08]  helpful or detrimental or what do you
[14:16.20]  like it would depend so we have we there
[14:18.36]  are what we call these Center of of of
[14:20.80]  gravities where Adobe is clearly a very
[14:23.32]  large part of our marketing stack from
[14:25.48]  our CRM to our uh to ser to some of the
[14:29.80]  other capabilities test and Target so we
[14:31.68]  use we're really integrated into Adobe
[14:34.40]  so reaching out to me because we've got
[14:36.60]  a lot of capabilities in house is
[14:38.32]  perfectly like that's that would be
[14:40.36]  perfectly fine and we have that kind of
[14:41.76]  relationship and some of the other areas
[14:44.04]  where you know it may not be clear or
[14:46.16]  it's it's a smaller part you know I I
[14:48.84]  think asking your part the you know the
[14:50.68]  people that work on it say I would these
[14:52.44]  are the things I think that would be
[14:53.80]  interesting for Becky when I meet with
[14:56.12]  people and and let's say they're part of
[14:57.96]  our stack and you know I'm looking for
[15:00.12]  like insights and and and some thought
[15:02.08]  leadership on what's going on with the
[15:03.56]  business and like you're kind of adding
[15:04.92]  value to me versus just like tell me all
[15:07.36]  the things that you're doing and and
[15:09.24]  with with the capability that we have
[15:10.68]  because I could probably gotten that
[15:11.60]  from my team so you just like we want to
[15:13.96]  you know and if you're really smart and
[15:15.12]  you've got thoughtfulness and you're
[15:16.44]  you're doing something really Innovative
[15:17.92]  I'll meet with with you like any day but
[15:20.20]  if you're just kind of there just
[15:21.40]  because you feel like you need to have a
[15:22.64]  relationship with with you know someone
[15:24.56]  and like you don't really need to to do
[15:27.12]  that to be successful is what I'd say
[15:29.60]  but if you're managing a big portion
[15:31.76]  yeah we need to have frequent let's talk
[15:34.20]  let's make sure we meet let's do
[15:36.80]  quarterly business reviews let's like
[15:38.68]  really treat it like a true partnership
[15:40.80]  and relationship and then but not all of
[15:43.08]  them need that kind of to to that degree
[15:46.08]  so Becky this question maybe is for you
[15:47.72]  but then uh uh you are welcome as
[15:49.56]  representing large Enterprise yourself
[15:51.24]  answer this question too uh Adobe is a
[15:53.40]  large large company selling to another
[15:55.40]  larger company Intel uh everybody here
[15:57.68]  is in a startup and and they would say
[15:59.44]  how do I get to Intel who would would
[16:01.40]  Intel even take a meeting with me what
[16:04.12]  will make a startup stand up so much
[16:06.12]  that he will take a meeting with them
[16:08.36]  well it goes back to like like it goes
[16:10.52]  back to the capabilities and so we have
[16:13.24]  a really clear idea and we've done a lot
[16:15.32]  of analysis on the things that where we
[16:17.44]  have pockets that that we're not getting
[16:19.20]  from large companies so I I'll give you
[16:21.24]  an example Adobe has a very strong part
[16:24.52]  of our stack Oracle because we use blue
[16:27.24]  Kai as our DMP NL alqua and then
[16:29.52]  Salesforce as our as our CMM and Google
[16:31.76]  to some degree because you know some of
[16:33.52]  the programmatic things that we are
[16:34.68]  doing and from our media investment
[16:37.08]  those four companies are like centers of
[16:39.56]  gravity there's a lot of opportunity
[16:42.40]  with Niche capabilities that we can't
[16:45.16]  get from some of those centers of
[16:46.60]  gravities today that make up the entire
[16:49.08]  stack just because they don't have the
[16:50.64]  offerings or maybe it's not quite on
[16:52.64]  their road map there just yet and kind
[16:54.76]  of finding figuring out where you fit
[16:57.92]  and what your different differentiation
[16:59.52]  is you know you need to like as a
[17:02.16]  company understand before you come to us
[17:04.32]  and talk about like how are you going to
[17:06.24]  play with this these massive large
[17:08.48]  companies what is your role how are you
[17:10.48]  going to integrate and you know we
[17:12.92]  really are like if you can't come with
[17:15.04]  an integration plan on how you're going
[17:16.80]  to fit into these you know those four
[17:18.36]  Center of gravities I mean we're not
[17:20.32]  even interested in a conversation
[17:21.80]  because it's it we can't manage all that
[17:24.64]  integration on our own and so you have
[17:26.56]  to have Partnerships with these large
[17:28.56]  compan companies that do that are you
[17:30.84]  know powering significant part of the
[17:33.64]  marketing stack and then on just really
[17:35.92]  being clear on your on your role and
[17:38.24]  there's tons and we use tons like 20
[17:42.04]  probably of startups and they're very
[17:44.16]  tal really good that um that you know
[17:47.32]  help us with with certain things um that
[17:50.44]  you know I meet with regularly too
[17:53.00]  because I think they B models business
[17:54.52]  but if you get a little too ambitious
[17:57.04]  and you're going to try to solve the
[17:59.04]  world and you know stick to like really
[18:02.64]  what your core strength is and integrate
[18:04.88]  that' be my big
[18:06.64]  huge it's a great answer so Becky would
[18:09.44]  you say just summarizing so that we can
[18:12.32]  pass this on so having let's say a
[18:15.48]  startup it being aware of the the four P
[18:20.60]  pillars that you're using and where
[18:23.08]  there's maybe some gaps that need to be
[18:25.32]  filled and kind of headon addressing hey
[18:28.60]  I know you use Adobe and Salesforce I
[18:31.28]  know uh you know I respect that
[18:32.68]  partnership yeah this is an area where
[18:35.00]  we know that there's a little bit of a
[18:36.44]  hole this is what we want to do to fill
[18:38.88]  the hole and by the way we are partnered
[18:41.16]  and integrated and and that's the kind
[18:43.20]  of conversation you're interested in
[18:45.08]  yeah exactly like I'll give you a good
[18:46.56]  example we have a a a tool that we use
[18:49.00]  to calendar to work with us on our
[18:52.20]  editorial because we have we have a
[18:54.88]  digital publishing system we have all of
[18:56.84]  our social platforms it's very hard for
[18:58.40]  us to keep like a calendar we were
[18:59.88]  managing this in Excel so we use a
[19:01.44]  company called opal moments and that's a
[19:03.12]  startup and you know they met with us
[19:05.24]  yesterday and we're like okay you're
[19:07.56]  clear we have a publishing platform we
[19:09.32]  use today to publish and we have a
[19:11.52]  calendaring system that today to
[19:13.20]  calendar and they're very clear about
[19:15.08]  that and they have good Partnerships
[19:16.44]  with how we're going to work with our
[19:17.84]  asset management system and how they're
[19:19.40]  going to integrate with these other
[19:20.56]  partners and they're like no we're clear
[19:22.64]  this is exactly and we're going to be
[19:24.32]  the best at providing this capability
[19:27.20]  for you the best in class and we're very
[19:29.56]  clear about that priority and so I think
[19:31.88]  like just coming to the table with
[19:35.16]  that's in some cases that's going to be
[19:36.96]  really successful versus we already have
[19:39.28]  a lot of like like at least in from from
[19:41.28]  an Intel perspective some other
[19:42.76]  companies might not be as M as mature
[19:44.72]  but we have a very it's already very
[19:46.72]  robust so like there's very clear about
[19:49.40]  the specific things that we need and
[19:51.64]  that so yeah that'd just be my advice of
[19:55.28]  stick to your swim Lanes be very clear
[19:58.00]  about your your differentiation come to
[20:00.72]  the table with the ways that you're
[20:02.00]  going to integrate with those centers of
[20:04.24]  gravities with those four companies um
[20:07.48]  understand that they our business how
[20:09.44]  you're going to scale and support you
[20:11.32]  know the integration and some humility I
[20:14.36]  guess so switching uh and I I would like
[20:17.20]  to ask uh send this question to you rman
[20:19.60]  so many many people here started from
[20:22.56]  S&B and midmarket and SB space in midm
[20:25.40]  Market is a salesperson you're selling a
[20:27.00]  loan you're going to a customer you're
[20:28.48]  do the pitching sometime you have a um
[20:31.20]  NSE helping you to uh helping you demo
[20:33.48]  but by and large you sell alone in the
[20:35.36]  Enterprise people usually sell in teams
[20:37.84]  uh can you talk more about that how do
[20:39.36]  you assemble a team what's the
[20:40.52]  importance of coming to uh to an
[20:42.20]  Enterprise opportunity with a team how
[20:44.44]  is a good team look like and and what's
[20:46.00]  the role in the of the account executive
[20:47.68]  in assembling and running this team yeah
[20:50.52]  that's a great question obviously the
[20:52.64]  larger the Enterprise the more complex
[20:54.36]  that buying Center is going to be and
[20:56.84]  the role of that account executive is is
[20:58.92]  one of orchestration and and
[21:00.52]  quarterbacking of a lot of different
[21:02.24]  resources that all may have different
[21:04.56]  agendas at any given time so we use um a
[21:09.24]  value account plan system whereby we're
[21:13.08]  anytime we have a meeting uh we will
[21:15.68]  debrief as a as a team and there be
[21:18.32]  there may be as many as or as few as two
[21:20.56]  people as many as 10 in any given
[21:22.80]  meeting and you know we're sharing notes
[21:25.36]  and capturing the follow-ups and the
[21:27.60]  things that we heard
[21:29.32]  um our customers telling us that our
[21:32.04]  pain points or business challenges and
[21:34.28]  ensuring that we have solid alignment
[21:37.04]  back to those uh those Core Business
[21:39.00]  issues that we're trying to solve and
[21:40.92]  there have been situations where we'll
[21:43.12]  come back and we'll we'll huddle and
[21:45.36]  realize that we may not have the right
[21:47.36]  solution that solves that customer's
[21:49.96]  paino and it's up to that account
[21:52.20]  executive then to communicate that back
[21:54.32]  to the customer and say we're just not
[21:56.16]  the right solution fortunately it
[21:57.72]  doesn't happen very often but it it is
[22:00.12]  one of those things that does happen um
[22:03.24]  so I I think the the primary role of
[22:05.44]  that orchestrator is communication and
[22:08.96]  ensuring that that broader extended team
[22:12.40]  um is all working well together uh to
[22:15.88]  solve that customer's Challenge and as
[22:18.04]  Becky mentioned there's a lot of
[22:19.88]  different buying centers and a lot of
[22:21.32]  different integration points that have
[22:22.68]  to take place in order for these um
[22:24.96]  these projects to go successfully and um
[22:28.20]  that's that's the primary role of that
[22:29.96]  account
[22:31.96]  executive anyone want to add I would I
[22:34.88]  would just say make sure that that that
[22:37.00]  account executive and then um when you
[22:39.52]  have a team and you're fortunate enough
[22:41.12]  to have a team that's participating in
[22:44.08]  these calls and and in the process the
[22:46.12]  sales process make sure everybody has
[22:48.52]  their listening ears on everybody's um
[22:52.72]  got is going to take a different take
[22:54.56]  and maybe hopefully have a different
[22:56.24]  lens of what's being said and and what
[22:59.24]  the customer is trying to accomplish and
[23:02.00]  what are we really trying to get at and
[23:03.76]  make sure that when we have these
[23:05.04]  debriefs with the team uh following
[23:07.76]  these meetings that everybody says okay
[23:10.76]  well this is what I heard and this is
[23:12.20]  what I heard and this is what I heard
[23:13.80]  and we really need to boil it down and
[23:15.72]  figure out okay what is the best
[23:18.40]  solution and maybe it's not not Adobe
[23:21.52]  maybe it's just we've configured what we
[23:23.84]  thought was the best you know stack for
[23:26.64]  them and actually we we kind of Mist
[23:29.00]  over here and we need to um kind of
[23:31.68]  shift a little bit and make sure that
[23:33.20]  we're truly addressing what what is the
[23:35.52]  underlying um purpose for why they're
[23:38.04]  talking to us and why they're asking us
[23:39.92]  to hopefully solve some of their their
[23:42.04]  challenges so it's our job to kind of
[23:44.08]  decode that um and really open our ears
[23:47.96]  and listen and listen and listen to
[23:50.00]  figure out what are the challenges and
[23:52.64]  who are the stakeholders and they might
[23:54.96]  all have different challenges and how do
[23:56.96]  we address and make each each of them
[23:59.32]  feel happy about um you know moving
[24:01.80]  forward with us and working with us in a
[24:04.64]  you know long-term partnership and um
[24:07.12]  deploying a you know one product or a
[24:09.24]  stack of products and that's our job to
[24:11.92]  make sure that we've leveraged that
[24:14.32]  opportunity with a team cell approach to
[24:17.40]  really listen and and then pull the
[24:20.40]  audience and say okay what are we doing
[24:23.92]  what do they need what's the core
[24:25.72]  problem here okay they told us one thing
[24:28.56]  but is it that or is there more to it
[24:30.88]  and those kinds of things so it's a big
[24:32.92]  opportunity to have a lot of folks but
[24:35.56]  the other point I would make is make
[24:38.60]  sure you have somebody that's in charge
[24:41.00]  of it you know Becky doesn't want to
[24:42.80]  hear from eight different people neither
[24:44.84]  does you know the rest of your team
[24:47.04]  right and let's let someone always run
[24:50.16]  lead but let's make sure everybody has
[24:53.08]  uh the opportunity to influence you know
[24:55.56]  what we're doing and how's the sales
[24:57.32]  cycle going and are we on the right
[24:58.96]  track and have we addressed and have we
[25:01.20]  provided Roi and you know is this
[25:04.16]  something that you would invest in if
[25:06.20]  you are Intel so let me add to that real
[25:08.96]  quick if I may we have a a common
[25:11.24]  selling platform that we leverage
[25:12.88]  internally that all of the key
[25:14.56]  stakeholders or people that are going to
[25:15.80]  be touching the customer will are
[25:17.60]  trained on and certified on and so when
[25:20.36]  we're defining a business issue and
[25:23.08]  looking for a solution to solve that
[25:24.68]  business issue the the template and the
[25:27.84]  resource that we leverage internally are
[25:30.88]  consistent across the board regardless
[25:33.52]  of your role um within that account and
[25:35.96]  that organization and that I think that
[25:37.64]  helps from a communication standpoint
[25:40.00]  and I know that some of you are looking
[25:41.28]  around say how uh how do I do that with
[25:44.20]  my company has 10 people uh Al together
[25:46.40]  how do I bring 10 people to a meeting
[25:48.68]  and you can do a lowkey or low low Tech
[25:51.64]  version of it with Evernote and having
[25:54.40]  detailed notes before the meeting and
[25:56.28]  having one designated person leading the
[25:58.76]  um the charts and this person can be a
[26:00.52]  Founder as long as this person is a
[26:02.44]  designated lead if you don't have the
[26:03.88]  account executive that can actually be
[26:05.52]  the quarterback to sell to Intel this is
[26:07.88]  where the CEO or another founder is
[26:09.80]  going to be the quarterback and you have
[26:11.48]  somebody from product that maybe
[26:12.72]  somebody from marketing that would be a
[26:14.84]  symbol for the specific role don't
[26:16.68]  hesitate or say oh you know we don't do
[26:18.24]  it this way we don't send 20 people to a
[26:20.24]  meeting you be expected to have few
[26:23.08]  people around the table and have
[26:24.24]  intelligent answers so you fake it until
[26:27.00]  you make it and some of the ways to fake
[26:28.56]  it is just good really good preparation
[26:31.00]  and bring the best people in your
[26:32.52]  company because once you sell to Intel
[26:34.60]  you can sell to many other intels so the
[26:36.56]  first one's going to be hard but then
[26:38.48]  the next one will be easier so we have
[26:40.44]  about four minutes um maybe one last
[26:42.88]  question to uh to you Beck and then we
[26:44.28]  open it up to the crowd who is the when
[26:47.24]  was the last time you pick up a phone
[26:48.88]  call or an email from an SDR and
[26:52.48]  why no I don't think I picked up called
[26:54.88]  call from anyone or email from anyone
[26:58.84]  M probably I don't think I've ever done
[27:01.88]  no you ever no no no okay all is the RS
[27:06.56]  here here's your challenge get ready to
[27:09.20]  pick up the phone so I would like to um
[27:12.04]  open the um the floor for some question
[27:14.52]  a last three minutes we have left we
[27:16.96]  have here over
[27:20.24]  two hi Becky this questions for you
[27:22.60]  thank you very much to the entire panel
[27:24.12]  by the way great great session so if I
[27:27.52]  have something for instance that I think
[27:29.52]  would really be beneficial to your
[27:31.08]  marketing team in particular it's an
