Title     : Product-Led Growth: Panacea or Boondoggle? | AgentSync Co-Founder/CTO  + OpenPhone Co-founder
Video ID  : L4oRfut9ufI
[03:07.44]  actually quite a bit about sales led
[03:09.52]  growth uh linkedin has that on the
[03:11.60]  recruiting side of the house in a
[03:12.72]  massive way so we were there in 2011 and
[03:15.20]  that's where we met i went from there to
[03:17.12]  dropbox and then to stripe and saw the
[03:19.36]  journey of product led transitioning
[03:21.36]  into a portion of the business being a
[03:23.52]  sales lead and then we started agent
[03:25.68]  sync together in
[03:27.52]  mid-2018
[03:29.20]  and really brought it to market in late
[03:31.68]  20 or early 2019 and kind of accelerated
[03:34.32]  from there we focus on back office
[03:37.28]  software for insurance
[03:39.36]  carriers and agencies it's all around
[03:41.36]  distribution management and onboarding
[03:43.36]  which might be terms that are foreign to
[03:44.80]  many people in this room but needless to
[03:46.72]  say the back office of insurance is not
[03:48.88]  a very tidy place and is still filled
[03:50.64]  with spreadsheets and really inefficient
[03:52.16]  processes so our product was really
[03:54.56]  tackling licensing administration how do
[03:57.12]  you bring agents into your company in an
[03:58.96]  efficient way and it is a business
[04:01.12]  application
[04:02.24]  so there is no
[04:03.84]  really bottoms-up motion there we had to
[04:05.92]  have a product that could get the
[04:07.20]  frontline licensing admin interested and
[04:09.20]  excited but they aren't in control of
[04:11.68]  you know buying new software they go
[04:13.52]  through procurement we go through
[04:14.56]  massive rfps
[04:16.32]  we're talking about selling to large
[04:18.00]  enterprises so that try it for free was
[04:20.88]  not a great motion for us to start and
[04:22.80]  that's not where we started out
[04:24.88]  and um
[04:26.08]  i think one interesting part of the
[04:27.76]  agency story and related to plg is
[04:30.64]  oftentimes a new startup needs to go plg
[04:33.44]  to prove themselves to earn credibility
[04:35.68]  like look here's the great product that
[04:37.36]  we've created since you guys didn't have
[04:39.28]  that how did you earn credibility from
[04:41.36]  day one yeah it was a great good
[04:43.36]  question uh so niji had a lot of
[04:44.72]  connections in the space from his time
[04:46.32]  at benefits so he went through that
[04:48.24]  roller coaster a little bit uh with
[04:50.00]  brian's familiar with and we started by
[04:52.64]  bringing a you know mvp to market that
[04:55.52]  was pretty lightweight but testing a
[04:57.20]  hypothesis about what was working and we
[04:58.96]  went to the community of licensing
[05:00.32]  admins we knew and we said is this at
[05:02.16]  all exciting there was also a lot of why
[05:04.32]  are you tackling this this is weird
[05:05.76]  other people have solved it but once we
[05:07.68]  started to figure out how to frame the
[05:09.76]  conversation it was finding a few
[05:12.24]  friendly faces and selling into those
[05:14.00]  getting that momentum and then figuring
[05:15.76]  out how to branch out from there so
[05:17.12]  we're very niche vertical
[05:19.28]  but once we found that fit and found
[05:21.04]  that voice it helped need you go out he
[05:23.12]  was at that point all of the go to
[05:24.56]  market and and kind of get that ball
[05:26.40]  rolling and then it took toppling a few
[05:29.36]  insurtex and
[05:31.28]  hub which is one of the largest property
[05:33.36]  and casualty agencies in the u.s and
[05:35.44]  once we got those logos that open the
[05:37.36]  door for the rest of it
[05:39.28]  awesome
[05:40.40]  one more question for you before we turn
[05:41.84]  it over to gerina um
[05:44.16]  so
[05:45.12]  it's interesting what we're looking at
[05:46.40]  on the slide here um tell us a little
[05:48.80]  bit about that and also how your your
[05:51.52]  thinking around plg has evolved now that
[05:53.84]  you guys have a lot of different product
[05:55.12]  lines um what's been the arc there and
[05:57.92]  what are we looking at on this slide
[05:59.52]  yeah so we're looking at our amazing
[06:01.44]  transformation of our call to action
[06:03.76]  over the last year which is uh it hasn't
[06:06.32]  changed
[06:08.16]  we are evolving you know a lot of how
[06:10.40]  we've built out the sales team and uh
[06:12.56]  you know different layers there and some
[06:14.72]  of the other motions we have in play but
[06:16.48]  effectively getting a demo and having
[06:18.00]  someone walk you through this process is
[06:19.84]  the most powerful emotion for us
[06:22.24]  we are starting to actually experiment
[06:24.08]  more with proofs of concept and and kind
[06:27.04]  of the try it for free version in the
[06:29.28]  enterprise which is how do i give you
[06:31.04]  the tool
[06:32.08]  um in not a trial and truly a proof of
[06:34.96]  concept and we have a way that we're
[06:36.40]  built on salesforce that allows us to do
[06:38.00]  that rapidly which has been kind of fun
[06:39.60]  it's not plg in the traditional sense
[06:41.12]  but it is a we get you in the
[06:43.04]  conversation and then we do let you try
[06:44.48]  it for free for a little while
[06:46.32]  we're also starting to think about a
[06:48.32]  product that is more broker-facing or
[06:50.24]  agent-facing um and i appreciate that
[06:52.64]  that will change for us we can't ask
[06:54.64]  them to get a demo that's going to be
[06:55.92]  something that we have to explore so
[06:57.36]  it's a it's a muscle we'll have to build
[06:58.88]  as we expand out our product but most of
[07:00.96]  what we've been doing is experimenting
[07:02.40]  with better ways to demo more bespoke
[07:04.64]  demos demos that we can hand off to
[07:06.32]  people so they can use them
[07:08.08]  and then really have that power of the
[07:10.24]  sales cycle
[07:11.84]  awesome yeah let's talk about demos in a
[07:13.92]  bit um drina over to you so
[07:16.64]  so agent sync the story with kraft and
[07:19.20]  our partnership with agent sync most of
[07:20.96]  us many of us at kraft worked at zenovic
[07:22.96]  so we we knew niji and and the founding
[07:25.20]  story and the problem they were solving
[07:27.04]  um but had we not known that it would
[07:28.72]  have been hard for us to really get a
[07:30.32]  grasp on the product
[07:31.76]  um
[07:33.04]  open phone
[07:34.32]  uh on the other hand we were able to try
[07:36.64]  it right away as soon as we met you guys
[07:37.92]  the first thing we did was we tried the
[07:39.20]  product um
[07:40.96]  and so tell us a little bit about your
[07:43.28]  what first of all what you guys are
[07:44.48]  doing um and then how you have how your
[07:47.60]  evolution of thinking around
[07:49.04]  distribution has evolved over time
[07:51.20]  for sure oh sorry that was i was told
[07:53.92]  don't bring it too close ice cream cone
[07:56.32]  that's right
[07:57.60]  hi everyone so um maybe to start uh and
[08:00.00]  yes brian and now that you mention it
[08:02.08]  you did try it right away which is quite
[08:04.48]  interesting if you're talking to an
[08:06.56]  investor and then they've already been
[08:08.24]  playing in your product so you're like
[08:09.60]  okay like you know everything what can i
[08:11.68]  tell you about this product you've
[08:13.52]  you've done it all you've seen it all
[08:15.68]  so maybe first a little bit about open
[08:17.36]  phone um in the most simple way we give
[08:20.08]  you a business phone number in an app so
[08:22.64]  pretty straightforward uh the reason why
[08:24.48]  we started open phone is that
[08:26.80]  both me and my co-founder our our
[08:29.20]  parents are small business owners
[08:31.44]  and i know i've seen my dad
[08:34.08]  panic over not missing any call like
[08:36.64]  literally dinner time
[08:38.56]  no matter what he picks up every call
[08:41.52]  and what was interesting is we we saw
[08:43.28]  that so many businesses rely on the
[08:45.28]  phone and i mean voice and messaging for
[08:48.24]  as a critical channel as their really
[08:50.16]  lifeblood yet the solutions on the
[08:52.24]  market are
[08:54.48]  either incredibly complicated you can't
[08:56.64]  use them they're just just horrible and
[08:59.20]  we just thought it was uh it was crazy
[09:01.20]  that something so important uh was not
[09:03.44]  done in a very elegant and modern way
[09:05.84]  and we started building it we also saw a
[09:07.84]  lot of businesses a lot of people using
[09:10.00]  their personal phone number for business
[09:11.84]  and uh that was a bad idea and no
[09:14.32]  privacy and and just a mess no way to
[09:16.56]  collaborate with your team we thought it
[09:18.72]  was um
[09:20.08]  just something we had to solve and um
[09:23.52]  from the get go as a team of two people
[09:25.36]  you can imagine we did not
[09:27.52]  necessarily think that we could build an
[09:29.28]  enterprise phone system
[09:31.12]  and sell it to banks right we we saw the
[09:33.68]  problem with small businesses and we
[09:35.20]  thought okay we can build an app so um
[09:38.16]  so the early version of open phone was
[09:40.16]  very focused on solo proprietor it was
[09:42.96]  very and thank you for the slide
[09:45.36]  this was our early website and this was
[09:47.60]  the product i mean right now we're
[09:49.20]  across platform on all devices but we
[09:51.36]  started with an ios app
[09:53.36]  and we found product market fit there
[09:55.20]  first
[09:56.72]  from a distribution perspective because
[09:59.12]  we focused initially on solo proprietors
[10:02.24]  we didn't even think of doing sales
[10:04.08]  because uh your acv is pretty low also
[10:07.12]  the whole idea here is that you can try
[10:09.52]  something immediately and it's low
[10:11.76]  friction that is what we wanted to
[10:13.84]  disrupt from seeing our competitors so i
[10:16.72]  think our initial go to market was very
[10:18.72]  natural um and and yeah get started for
[10:22.32]  free that was our cta it's still our cta
[10:25.76]  um and and i can tell you from the
[10:27.68]  evolution perspective when we
[10:29.84]  um what we learned is that as we
[10:32.24]  introduced a multiplayer mode in the
[10:34.40]  product as we
[10:35.84]  introduced open fund for teams we
[10:38.08]  learned that we have another motion here
[10:40.24]  which is
[10:41.28]  land and expand which is beautiful you
[10:43.76]  start with a couple of people in on the
[10:45.92]  team using you and then you grow within
[10:48.40]  that company so as we introduce that
[10:50.48]  motion we have introduced a call to
[10:53.28]  action called talk to sales it's still a
[10:55.36]  secondary call to action but it's there
[10:57.44]  as you can see
[10:59.20]  and you know we've we've actually
[11:01.28]  we have two of my colleagues here on
[11:03.04]  sales and cs we have uh we have
[11:05.52]  introduced those motions we've hired uh
[11:07.52]  folks to uh to offer that sort of sales
[11:10.40]  assist um and help our customers be more
[11:13.60]  successful
[11:14.96]  but but this was kind of um you know we
[11:17.36]  couldn't have started here uh when we
[11:19.60]  were a very simple product for solo
[11:22.48]  proprietors
[11:24.08]  yeah so so what i'm hearing is is a
[11:27.28]  convergence story between the two
[11:28.72]  business models right so dorina you your
[11:30.48]  acv was low so you it really just didn't
[11:33.12]  make sense to have sales driven uh go to
[11:35.68]  market but now you're moving up market
[11:37.52]  acvs are growing people are expecting
[11:39.44]  that touch point so now you're exploring
[11:41.28]  sales assist
[11:42.48]  um
[11:43.28]  and jen interesting for you guys you
[11:45.52]  you've i mean you've done a very good
[11:47.52]  job penetrating your market and now
[11:48.80]  you're exploring how a plg or demo like
[11:52.16]  thing can
[11:53.36]  what is that going to do for you what do
[11:55.04]  you think the main merits of that are
[11:56.24]  for agency at this point
[11:57.84]  yeah there's there's two areas that
[11:59.44]  we're thinking about it for one long
[12:00.96]  tail of agencies so there's a product
[12:03.92]  space and i think it's acv driven right
[12:06.96]  where it's not going to make sense for
[12:08.48]  us to do a pure sales motion and so as
[12:10.96]  we think about evolving our product kind
[12:13.04]  of the reverse direction of where open
[12:15.36]  phone has has been to go to agencies
[12:17.76]  that have two three four five agents
[12:20.16]  that motion is going to need to change
[12:21.92]  the other thing that we have been
[12:23.04]  figuring out is in we are a different
[12:25.76]  way to approach a known problem and so
[12:28.00]  we found for some of our larger
[12:30.24]  enterprise customers is that they're
[12:32.08]  excited about it in theory but they
[12:33.68]  really do need to get their hands on it
[12:34.96]  because they need to see how the team is
[12:36.64]  going to change their motion and it's
[12:38.72]  really powerful for us to be able to
[12:40.32]  give them
[12:41.36]  a
[12:42.24]  try it for free motion that is you know
[12:44.88]  month long it's a little bit of a more
[12:46.80]  involved thing there and there's a lot
[12:48.72]  of work that we have to do on our side
[12:49.68]  to make that work but we've we figured
[12:51.52]  out that that's a really important step
[12:52.64]  for us as we're helping people
[12:54.48]  understand how they're going to map
[12:55.68]  their current world into a new world or
[12:57.36]  shift things around and get them
[12:58.64]  confident that the capabilities are
[13:00.64]  there we have a pretty complex product
[13:02.80]  with a lot of regulatory obligations
[13:04.56]  matched to it so
[13:06.56]  you you can you need to win up and down
[13:09.04]  the team to make sure
[13:10.72]  it gets you know gets traction and gets
[13:12.64]  going in the right way and that's where
[13:13.92]  we've started to shift that motion
[13:16.00]  and
[13:16.96]  amongst the sales team
[13:18.96]  what's been the impact of them are they
[13:20.40]  changing their motion are they changing
[13:21.84]  the way they interact with their
[13:22.88]  prospects um has that been difficult any
[13:25.20]  learnings there
[13:26.80]  our vp of sales has a great thing which
[13:28.48]  i was thinking a lot about coming into
[13:29.68]  this which is that we do a lot of team
[13:31.04]  selling
[13:32.16]  and that's been a big part of our motion
[13:34.72]  from the start which is uh they go out
[13:37.36]  and they are understanding what the
[13:38.72]  customer's problem statement is working
[13:40.08]  with our customer success team we have a
[13:41.60]  customer solutions engineering team uh
[13:44.00]  when i when we were much smaller and it
[13:45.36]  was just me and nietzsche it was you
[13:46.48]  know product and engineering and sales
[13:48.08]  and support all together thinking about
[13:49.76]  how do we make this the most successful
[13:51.36]  conversation so i i think there's a sort
[13:54.16]  of
[13:54.88]  false sense of like there's a loan sales
[13:56.48]  person out there kind of making up for
[13:58.48]  everything that's happening in the
[13:59.44]  product and they're gonna get it over
[14:00.64]  the line there's there's a whole team of
[14:03.04]  people who come together and that's what
[14:04.96]  we've really figured out how to fine
[14:06.40]  tune or we're starting to figure out how
[14:07.76]  to fine tune and then evolve the
[14:09.12]  composition of the team for larger
[14:10.96]  enterprise
[14:12.16]  deals and insurance some things are two
[14:14.80]  two and a half year long deal cycles so
[14:17.52]  you have to get ready and you have to be
[14:19.44]  creative on how you're tackling that
[14:20.88]  there's not one motion yeah
[14:23.28]  and um and dorina for you since
[14:25.36]  introducing that second button talk to
[14:27.36]  sales
[14:28.80]  tell us a little bit about how that
[14:30.40]  affected the
[14:32.00]  company culture the i know how's here
[14:34.80]  from the sales team how how you guys are
[14:37.12]  interacting with your clients
[14:38.08]  differently now that you've embraced
[14:39.84]  this
[14:40.64]  um more high-touch uh customer
[14:42.72]  experience absolutely i think that for
[14:44.88]  us um it's so so you see a talk to sales
[14:47.92]  button but i think behind it is is
[14:49.60]  really this uh this approach of um
[14:52.64]  really helping our customers i think
[14:54.32]  because
[14:55.20]  like like you mentioned you know with a
[14:56.88]  try for free cta anyone can try the
[14:59.12]  product so for you to talk to sales uh
[15:02.48]  sales is not there to to show you how to
[15:04.88]  click buttons or say we have this
[15:06.96]  feature we don't have this feature sales
[15:08.48]  is really there to add value and help
[15:10.16]  you solve your business problem and we
[15:12.16]  also have paired sales with customer
[15:13.92]  success so so really the idea here is
[15:16.88]  that you can absolutely do most of
[15:19.84]  things without talking to anyone on open
[15:21.68]  phone in fact we have a lot of
[15:23.36]  documentation our support
[15:25.76]  portal is really well documented uh we
[15:28.32]  have also videos and you know so much
[15:30.32]  content you really
[15:32.16]  in most times you may not even need to
[15:34.08]  talk to anyone but when you do we are
[15:36.80]  there to help you on a more strategic
[15:38.96]  level versus just kind of training you
[15:41.44]  how to use our product
[15:43.52]  um
[15:44.32]  and the
[15:45.52]  the interplay between customer success
[15:48.00]  and sales is super interesting for plg
[15:50.24]  companies right because they're already
[15:51.60]  using your product you want them to be
[15:53.04]  successful but at some point you want to
[15:54.80]  have a commercial conversation with them
[15:56.80]  so how have and i've seen all different
[15:58.64]  flavors of this different companies how
[16:00.80]  is open phone approaching that
[16:02.72]  yeah so the way we're approaching it is
[16:04.40]  that and and i also want to say this is
[16:06.08]  very new for us we are in the early
[16:08.24]  stages of this our our philosophy is
[16:10.72]  that you know when you when you are a
[16:12.56]  customer uh at a certain threshold we
[16:15.28]  have uh our dedicated uh customer
[16:17.44]  success manager uh help you get the most
[16:20.56]  out of the platform and really the goal
[16:22.88]  there is helping you you know like you
[16:25.52]  you sign up for the product for a
[16:26.72]  certain reason you have a certain
[16:28.08]  problem you want to solve let's really
[16:30.08]  make sure we solve it for your
[16:31.36]  organization and sales comes in when
[16:34.08]  there are barriers hurdles when there is
[16:36.56]  that commercial discussion needed um but
[16:39.28]  but but sales interacts in a different
[16:41.36]  way there versus with a net new customer
[16:44.40]  who signs who signs up through that form
[16:47.12]  right it's more obviously they're more
[16:49.04]  intentional about talking to sales the
[16:50.64]  button literally says talk to sales
[16:52.32]  that's right i think you can make some
[16:53.76]  assumptions there yeah um
[16:56.24]  so jen for for you
[16:58.80]  how does
[17:00.48]  with the more traditional go to market
[17:02.32]  motion
[17:03.28]  are you bringing customer success in
[17:05.20]  pre-sales in any cases and then also how
[17:07.68]  are you all handling
[17:09.36]  expansion since you have a variety of
[17:11.04]  product lines there's a lot of like
[17:12.32]  upsells upsell potential how have you
[17:14.80]  figured out the team dynamics at agency
[17:17.04]  yeah it's evolving on the dynamics but
[17:19.44]  cs has been involved they get involved
[17:21.76]  in customer conversations pretty early
[17:23.52]  around scoping out implementation and
[17:25.36]  thinking through those details so we sit
[17:27.60]  in a kind of complicated value chain in
[17:29.84]  the back office and it's really
[17:31.28]  important for us to know going in what
[17:33.04]  customers
[17:34.16]  would consider true success which is
[17:36.48]  usually being integrated with some
[17:38.32]  system upstream some system downstream
[17:40.40]  we want to make sure we're going into
[17:41.36]  that eyes wide open what can agency do
[17:43.68]  where are we feeding data where are we
[17:45.12]  consuming data from more technical
[17:47.12]  conversations in that lens and so sales
[17:49.68]  has
[17:50.64]  sales engineering support and then
[17:51.92]  customer success early days would just
[17:53.44]  come in and help with that and helped
[17:55.44]  start the conversation and get familiar
[17:57.20]  faces
[17:58.32]  on on the phone and i have a team that
[18:00.48]  actually is on the engineering side of
[18:01.84]  the house which is
[18:03.04]  there just to do
[18:04.56]  very specific uh solutions engineering
[18:06.88]  for customers as they come on board so
[18:08.32]  that we can make sure that we're solving
[18:09.92]  so much we're saying like their actual
[18:11.20]  problem statement and not just trying to
[18:12.64]  cram them into the agency shape of how
[18:15.20]  we're doing things so it's a it's a
[18:16.88]  whole group that comes together for that
[18:18.88]  and we've been refining that motion a
[18:20.24]  lot as we went from you know one person
[18:22.00]  doing it to figuring out what those
[18:23.12]  roles actually are and we're still
[18:25.52]  figuring out where those cut lines are
[18:26.96]  and kind of shifting those teams around
[18:28.40]  but it is it is a community that comes
[18:30.48]  together one thing that we were really
[18:32.24]  focused on
[18:33.44]  early on from some of our prior
[18:34.80]  experiences was making sure that once we
[18:36.64]  got someone over the wall we weren't
[18:38.56]  just celebrating the sales win and then
[18:40.64]  forgetting that they exist so our first
[18:42.64]  hires were actually customer success
[18:44.80]  niji
[18:45.92]  put that in play because he was nervous
[18:47.60]  about selling more
[18:49.12]  and we put a hold on selling because we
[18:50.72]  wanted to make sure that we could make
[18:51.76]  people successful and then we ramped up
[18:54.00]  the sales team and so they've always had
[18:56.00]  that mentality of we're doing this
[18:57.76]  together we're doing it about a life
[18:58.96]  cycle for the customer it's not just
[19:00.56]  kind of a one and done motion
[19:02.40]  and that feeds a little bit to expansion
[19:04.64]  our customer success team leads most of
[19:06.40]  those conversations we're starting to
[19:08.08]  bring more product lines and learning
[19:09.68]  what that motion is going to look like
[19:11.44]  but they've done a fantastic job because
[19:13.20]  they're responsible for owning that
[19:14.96]  relationship really knowing the customer
[19:16.32]  pain points and then seeing where the
[19:17.68]  opportunities are and thinking
[19:18.96]  creatively with them on how best to
[19:20.80]  solve it either with our products or
[19:22.32]  with some of our partners frankly
[19:24.64]  that's interesting i'm thinking about
[19:25.84]  niji's mentality in their first when
[19:28.72]  you're first selling because there is no
[19:30.48]  plg you sell you get a customer now they
[19:32.88]  start using it like they just started
[19:34.64]  using it right whereas uh open phone you
[19:37.12]  guys are having a bunch of people using
[19:38.56]  it before you're starting to sell
[19:41.44]  i would love to hear both of your
[19:43.84]  take on advice for new founders so they
[19:46.00]  have their idea they're considering
[19:47.84]  going to market
[19:49.52]  they can take the agent sync path or
[19:52.00]  they can take the open phone path what
[19:53.92]  are some
[19:55.12]  what are some words of wisdom since you
[19:56.72]  both have found product market fit
[19:58.48]  you've been successful in your
[20:00.08]  respective
[20:01.36]  distribution methods what are some
[20:03.36]  advice for founders who are yet to
[20:05.60]  release their products so they they
[20:07.12]  haven't really made that decision yet
[20:10.56]  yeah well um
[20:12.24]  i think in terms of advice i mean
[20:13.60]  obviously you probably all know that
[20:15.44]  everyone's path is so different that i
[20:17.68]  think it's certain principles or maybe
[20:19.44]  experience that we can share i would say
[20:21.20]  that
[20:22.24]  you know for us
[20:23.36]  specifically the go-to-market motion was
[20:26.08]  very it was very obvious because we
[20:29.12]  actually wanted to disrupt our
[20:31.36]  competitors go to market motion so the
[20:33.44]  only way to do that was to be like hey
[20:35.36]  we want to build such a great product
[20:37.36]  that we can open it up try it for free
[20:39.60]  and and you know that's it i think that
[20:41.60]  when you're picking your go to market
[20:43.12]  motion you have to think about uh the
[20:45.52]  space you're in uh how busy it is the
[20:48.48]  alternatives that your customers can go
[20:51.12]  to whether it's alternatives like direct
[20:52.88]  competitors or maybe alternative being
[20:55.12]  excel spreadsheet or not doing anything
[20:56.96]  you have to think about that and also i
[20:58.88]  think a huge lesson here is you know for
[21:01.36]  us as as our acv grows uh sales is
[21:04.56]  actually a viable motion it was really
[21:06.48]  not before so based on your category and
[21:09.36]  your pricing your pricing model
[21:12.40]  that can really dictate uh what option
[21:14.80]  you have available to you so um so i
[21:17.20]  would say kind of focus on that and go
[21:18.96]  back to first principles like who are
[21:20.80]  your customers what is the problem
[21:22.40]  you're solving for them and what is you
[21:24.88]  know what go to market motion makes
[21:26.80]  sense for the value you want to offer
[21:30.48]  jen what do you got like what do i add
[21:32.80]  to that um i i think in the same spirit
[21:36.00]  i the thing that i've
[21:37.68]  observed for ages but also prior to that
[21:39.52]  is just flexibility here you know there
[21:41.20]  is a evolving set of motions um for us
[21:44.32]  you know it really made sense we're
[21:45.76]  selling into enterprise into these
[21:46.96]  complicated deals so it's meeting your
[21:49.04]  customer where they are trying not to
[21:50.72]  force something that isn't going to be a
[21:52.08]  fit being flexible to learning when it
[21:54.00]  isn't to fit and reiterating on it and
[21:56.32]  knowing that you're going to have to do
[21:57.20]  that a few times we were talking a
[21:58.96]  little bit about this of sales we were
[22:01.52]  sales first but you know sales assist
[22:03.68]  coming in i've seen that feel very
[22:05.60]  strange for organizations and it's
[22:07.20]  actually kind of awesome it means you're
[22:08.88]  just approaching new customers in a
[22:11.20]  different way and so a lot of
[22:12.64]  open-mindedness of this is not the
[22:14.88]  pinnacle of success to do it this way or
[22:16.56]  this way it's actually usually a fluid
[22:18.24]  conversation and if you are going up
[22:19.60]  market you're going to have to change
[22:20.88]  and if you're going to expand out in our
[22:22.24]  case to you know the tail end of the
[22:24.32]  agency market we're going to have to
[22:25.44]  change it's just constantly learning
[22:27.20]  that i i've also appreciated a ton
[22:29.92]  from my time at linkedin and also at
[22:31.20]  agentsync that building a sales a
[22:33.92]  successful and healthy
[22:36.00]  sales motion with a sales team is a ton
[22:38.32]  of work similar to the plg side and i
[22:41.12]  know i'm going to have to learn a ton as
[22:43.04]  we start to understand you know how you
[22:44.88]  do this try for free motion but there's
[22:47.44]  there's a whole community of people
[22:49.60]  on both sides that have to come together
[22:50.96]  that have really different skills and so
[22:52.40]  that's one thing i i would say is just
[22:54.72]  know that it's never a snap of your
[22:56.24]  fingers uh it's going to take a lot of
[22:57.84]  experimentation and a combination of
[22:59.84]  sales marketing customer success it's a
[23:02.96]  it's a team uh it's not a one team or
[23:05.76]  one individual kind of motion
[23:08.56]  so we've established that plg is neither
[23:11.84]  a boondoggle nor a panacea i think is
[23:14.16]  the theme here
[23:16.56]  another piece of practical wisdom that
[23:18.56]  i'd love to hear from both of you is
[23:20.24]  experimentation so you both are at this
[23:22.96]  interesting point where you've
[23:24.08]  established yourself in one model and
[23:26.08]  you're open-minded to another model now
[23:28.16]  that can be a big time sync especially
[23:30.24]  like in the case of experimenting with
[23:32.32]  plg it's very rnd heavy in the case of
[23:35.12]  experimenting with sales assist it's
[23:37.12]  kind of like cultural and
[23:39.36]  employees and so i'd love to hear from
[23:41.36]  both of you how are you thinking about
[23:43.68]  um dedicating resources to exploring
[23:45.92]  this this new territory and darina maybe
[23:48.32]  we can start with you um
[23:50.48]  is it
[23:51.60]  i guess the first question would be is
[23:53.36]  it so obvious that you need to do it
[23:55.28]  it's just a matter of uh learning from
[23:57.12]  other people who've done it before and
[23:58.24]  implementing those things and iterating
[23:59.84]  your way through there or how are you
[24:01.04]  thinking about it
[24:02.88]  yeah that's a great question i i'm
[24:04.16]  trying to remember where i saw this but
[24:05.92]  i must probably on twitter because uh
[24:08.72]  where else do i get my information i
[24:10.40]  feel i feel like there was someone
[24:11.68]  someone mentioned uh you know i'm gonna
[24:13.36]  innovate on my product and i'm gonna not
[24:15.28]  innovate on other things um so
[24:17.60]  essentially i think the point is that um
[24:20.32]  you know it's already really really hard
[24:22.64]  to innovate in the critical area at
[24:25.44]  least for us in our business which is
[24:27.04]  our product so we try our best to take
[24:29.52]  best practices and and really advice in
[24:32.56]  many other areas that are not not
[24:34.64]  necessarily our core competency um and i
[24:37.20]  would say when it comes to sales i think
[24:38.80]  i feel like um a lot of a lot of the
[24:41.04]  problems that we've uh we've faced a lot
[24:43.36]  of other companies have gone through
[24:44.80]  those so i'm a big fan of like learning
[24:46.96]  from from them and making sure that we
[24:49.04]  are you know
