Title     : Customer Success  Upsells, Cross sells and Expansion
Video ID  : aA6SmCHuWUU
[03:13.28]  David oand I'm coo at radius and we are
[03:17.16]  a better Works customer love your
[03:19.12]  product um spent 10 years at
[03:21.76]  salesforce.com and then several years at
[03:23.84]  a company called Yammer and uh have been
[03:26.84]  at radius for a little bit over a year
[03:29.48]  and uh in my capacity we look at
[03:31.92]  customer success and sales there just
[03:33.60]  one organization called the customer
[03:35.32]  organization so pleasure to be part of
[03:37.40]  the panel today thank you and we're
[03:39.36]  going to start with the very Basics I
[03:41.04]  remember when I joined emergence five
[03:42.68]  years ago I was looking at SAS companies
[03:45.12]  from an investor point of view and we
[03:46.56]  spent a lot of time looking at upsells
[03:49.28]  Cross celles and expansions and what
[03:51.92]  we've noticed is that a lot of the
[03:53.84]  entrepreneurs just focus on new logos
[03:56.76]  and that was the only way they they saw
[03:59.36]  they could grow their companies and what
[04:02.40]  we what we're trying to do when we're
[04:04.68]  looking at those companies is figuring
[04:05.96]  out new logos matter uh but then
[04:09.84]  expansions cross celles and app celles
[04:12.76]  matter a lot and they help you grow more
[04:15.28]  efficiently so we're going to start with
[04:16.92]  the basics and we're going to ask Sarah
[04:18.48]  to just share the basics what do you
[04:20.24]  mean when you talk about appelles cross
[04:22.92]  CES expansions and is that part of the
[04:26.04]  sales organization is it a customer
[04:28.56]  support customer success is the same
[04:31.00]  people who need to track those metrics
[04:33.72]  sure so upsell the way we Define upsell
[04:36.36]  that's really the addition of additional
[04:38.68]  licenses that a company May purchase for
[04:40.52]  existing products that they have uh
[04:43.72]  expansion for us is if you're if you
[04:46.00]  have multiple products to sell that
[04:47.56]  you're able to sell those additional
[04:49.64]  products to your customers and
[04:53.44]  uh cross cell I'm sorry cross cell is
[04:56.80]  selling additional products if you have
[04:58.64]  additional products to sell your
[04:59.84]  customers and expansion is the ability
[05:01.96]  to sell your solution into other
[05:04.56]  subsidiaries within an organization so
[05:06.64]  often times you may sell into one
[05:08.32]  subsidiary or one department and in
[05:12.08]  expansion is really the ability to grow
[05:14.64]  that relationship and is this part of
[05:16.72]  the same organization is all does all
[05:19.88]  fall within the customer success
[05:21.60]  organization or is it part of the sales
[05:23.76]  or so great question and I think in
[05:26.28]  order to answer that it's important to
[05:28.08]  understand the client Rel the client
[05:29.36]  life cycle so uh at Cornerstone we think
[05:32.80]  about the initial sales process and then
[05:34.96]  once that contract is signed what the
[05:36.56]  post sales pells processes and I like to
[05:39.56]  think of it as a dating then the
[05:41.88]  marriage or the contract is serving is
[05:44.16]  that is that wedding and then beyond
[05:46.00]  that is the marriage so during the
[05:49.08]  exactly have to deal with a family
[05:51.44]  exactly and and sometimes tension for
[05:53.24]  that matter so during that dating phase
[05:56.40]  uh if you think about it you're really
[05:58.32]  selling on aspiration you're selling on
[06:00.28]  Vision you're selling on the dream and
[06:02.88]  uh and that's a a its own unique skill
[06:05.04]  set once that contract is signed you're
[06:07.12]  then selling on reality so your client's
[06:09.44]  going through implementation they're
[06:11.24]  learning what it's like to work with you
[06:12.64]  and partner with you and you have to
[06:14.28]  sell through that and sometimes there's
[06:16.24]  and you all know there's going to be
[06:17.56]  challenges things don't work perfectly
[06:19.24]  this is software and so it's a different
[06:21.32]  skill set that's required to help to to
[06:23.60]  manage that relationship and to sell
[06:25.24]  through that experience that a client
[06:27.24]  has had so for for us it's it's two
[06:29.76]  unique functions that sit within the
[06:31.76]  sales organization one that's very much
[06:33.68]  focused on that initial sale and then
[06:35.32]  one that's really focused on the
[06:36.56]  expansion upsell and cross cell uh in
[06:39.72]  the what I call the marriage that's cool
[06:42.28]  and April you work for some of the best
[06:44.28]  SAS companies in the world so you've
[06:46.64]  seen this customer life cycle at this
[06:49.12]  different companies do you feel that
[06:52.24]  that customer success is a function
[06:54.64]  within a company just like I mean the
[06:56.44]  sales group they get the new logos and
[06:58.84]  then they hand it over over to you guys
[07:00.64]  to do whatever you want to do or is it
[07:03.00]  more than just a function within a
[07:04.52]  company well let's start off with it is
[07:06.68]  a function this can be a very real
[07:09.08]  career for many of you out there um I
[07:11.76]  wouldn't have a job if we didn't have um
[07:13.76]  customer success so I think customer
[07:16.08]  success really is both a mindset and
[07:18.00]  it's a function when you think about a
[07:20.96]  prospect who first starts to understand
[07:23.36]  and be aware of your brand and of your
[07:25.28]  company you need to woo them and you
[07:27.96]  need to understand why they're buying
[07:29.76]  what it is that they're really looking
[07:30.96]  for and the challenges that that they
[07:32.84]  are in fact trying to address so when I
[07:35.04]  think about customer success if you
[07:36.64]  don't have that mindset in both the
[07:38.24]  marketing organization and the sales
[07:39.88]  organization you're not going to be
[07:41.72]  successful because you are selling the
[07:43.44]  dream and you are at that point really
[07:46.88]  trying to understand why they're buying
[07:48.60]  and what what their aspirations are in
[07:50.68]  terms of them purchasing your solution
[07:52.92]  the idea of customer success in a post
[07:55.36]  live scenario is the implementation it's
[07:58.56]  the nurturing of that relationship which
[08:00.48]  then gives you if you've done it well
[08:02.44]  the right to ask for the upsell the
[08:04.32]  cross sell and the expansion you would
[08:06.48]  also expect your customer success team
[08:09.40]  to be responsible for retaining that
[08:11.32]  customer ensuring that churn does not
[08:13.24]  occur getting the customer to Advocate
[08:15.68]  on your behalf when even when you're not
[08:17.52]  in the room and that those two things
[08:19.32]  will allow you to grow your grow in the
[08:22.24]  market cool and David this is a question
[08:25.28]  for you you hired a lot of people for
[08:27.48]  different sales organizations and when
[08:29.76]  you think about customer success what
[08:32.56]  are you looking in that in that custo
[08:35.08]  first customer success higher and when
[08:38.28]  when is it too early when is it too late
[08:40.88]  and when is the right time to have to
[08:42.36]  bring in that that person sure so I
[08:45.08]  don't think it's actually ever too early
[08:46.76]  I actually think that if you were
[08:48.72]  starting a company you would start with
[08:50.72]  engineering and product you'd prove out
[08:52.28]  the thesis but you would want actually
[08:54.52]  to start building out customer success
[08:56.28]  even prior to building out sales and in
[08:59.16]  those early days customer SE a success
[09:01.64]  is a critical role because you're
[09:03.20]  actually soliciting feedback from those
[09:05.60]  early adopters that go into the product
[09:07.88]  road map and you think about how you
[09:09.44]  iterate with repeatability for a broad
[09:11.84]  base of customers as you start to expand
[09:13.68]  the T isn't that the role of the CEO at
[09:17.56]  those early stages well I think it in
[09:19.12]  the early days it's the role of
[09:20.44]  everybody right because you know you
[09:21.96]  have a you have some bright engineers
[09:23.48]  and product people but you have to
[09:25.00]  figure out if the thesis is even valid
[09:27.40]  and so you want to talk to a wide range
[09:29.64]  of different prospects you don't have
[09:30.84]  any customers by definition when you
[09:32.44]  start but as soon as you bring that
[09:34.48]  first one on ultimately your goal is to
[09:36.88]  harness that customer Army right so you
[09:38.72]  have thousands of customers selling on
[09:40.88]  your behalf but it starts with the very
[09:42.36]  first one you know one gets you two two
[09:44.20]  gets you five five gets you 20 and so on
[09:46.72]  and so it's really important that you
[09:49.28]  understand that customer Journey with
[09:50.76]  the new product and it's very different
[09:52.76]  when it's those early days of the
[09:54.68]  product versus when you're on you know
[09:56.04]  version 10 12 15 so for us what we think
[09:59.16]  about from a competency perspective is
[10:01.56]  we think about just raw intellectual
[10:02.96]  horsepower is the first thing we look
[10:04.44]  for technical aptitude most of the
[10:06.72]  products we are building and taking the
[10:08.20]  market today fit within an ecosystem
[10:10.08]  they're not a silo so you have to
[10:12.00]  understand the ecosystem that it fits
[10:13.36]  within um the third one is you really
[10:15.64]  want to look for a genuine passion for
[10:17.64]  customer success so for example we
[10:20.16]  actually anybody we hire in a customer
[10:22.04]  facing role we look for two customer
[10:24.20]  references before we bring them on board
[10:25.88]  it's really important um the fourth one
[10:29.12]  is is that consultative mindset I think
[10:31.32]  for most of us we've moved away from
[10:33.44]  selling features and functions and we're
[10:35.00]  selling around use cases and so really
[10:37.52]  understanding that consultative mindset
[10:39.00]  and and how customers behave today and
[10:41.68]  and absent any constraints how would
[10:43.68]  they like to operate to you know move
[10:45.64]  faster uh be first movers in their
[10:47.52]  market and then the fifth one we
[10:49.52]  actually look at um we call it it's the
[10:52.16]  athlete or the musician variable right
[10:54.28]  and for us we want people that really
[10:56.28]  understand delayed gratification that
[10:57.68]  won't take the deal down as soon as they
[10:59.72]  can get it but actually want to make
[11:01.44]  sure it sticks because ultimately as you
[11:03.80]  think about customer success and churn
[11:05.60]  and renewals really what you want to do
[11:07.56]  is you want to make sure that customer
[11:08.84]  is as self-sufficient as quickly as
[11:10.64]  possible with your technology and has
[11:12.72]  been able to measure the value they've
[11:14.28]  been able to extract from the investment
[11:16.16]  if you can get that done in the first 90
[11:17.92]  to 120 days of a relationship you're
[11:20.12]  almost guaranteed to get the renewal on
[11:21.68]  the upsell can I add one more thing to
[11:24.00]  what you said I think the other skill
[11:25.72]  set that I would look for in a customer
[11:27.68]  success professional would be aptitude
[11:30.32]  to understand when things are not going
[11:32.32]  well and be able to turn around the
[11:33.88]  relationship but also learn from the
[11:36.12]  experience so if you're in a fairly
[11:38.92]  young company and you have a customer
[11:41.00]  success professional I would ask them to
[11:43.48]  really understand the customer journey
[11:45.48]  and understand what the customer is
[11:46.80]  really trying to do at every single
[11:48.16]  touch point in their relationship with
[11:49.68]  you because once you understand what
[11:52.16]  their experience is you're going to
[11:54.00]  learn from that and that will tell you
[11:56.08]  how you want need to price and package
[11:57.84]  how you need to go to market how you
[11:59.44]  need to service them what services are
[12:01.64]  actually needed for every different
[12:03.20]  segment of the market that you are
[12:04.76]  actually trying to Target because yourb
[12:06.96]  space is a lot different to serve than
[12:10.36]  than your Enterprise space so that might
[12:12.04]  be one more thing that I would add to
[12:13.56]  the wonderful list that you created yeah
[12:15.36]  I agree and I think it's um you know for
[12:17.76]  us as we went on this journey at radius
[12:20.00]  we actually used better works and while
[12:22.00]  I think customer success is a function I
[12:23.68]  actually think it's a core value and and
[12:25.88]  we actually use better Works to help
[12:27.20]  drive that core value because I do think
[12:28.76]  it's you're welcome um I think it wasn't
[12:31.32]  planned you know it wasn't I wasn't paid
[12:33.12]  for that it's like Payton and Budweiser
[12:35.08]  um but you know I think that um in those
[12:39.40]  early days you're going to fail fast and
[12:41.20]  you have to learn along the way and it's
[12:43.32]  not just the customer success team that
[12:45.20]  you want to represent your customer you
[12:47.84]  want everybody in the organization to
[12:50.08]  genuinely feel passionate about making
[12:52.08]  sure that customer is successful whether
[12:53.68]  it's the product marketing content or
[12:55.64]  the product itself or the pace with
[12:57.88]  which you iterate you know how you give
[13:00.04]  support how you represent it from a
[13:01.64]  sales perspective engineering how they
[13:03.36]  build the products absolutely y yeah
[13:05.56]  especially and what's the most important
[13:07.32]  metric that customer success owns I mean
[13:09.76]  there's a lot of metrics like renewals
[13:12.56]  uh churn NPS if you had to pick one
[13:16.32]  metric the one that everyone in your
[13:18.48]  organization is going to look at every
[13:20.24]  day retention agreed retention yeah
[13:23.64]  especially early on because it's all
[13:25.12]  about those customers that you have at
[13:26.48]  the beginning because they're they're
[13:28.00]  almost doing the sale for you
[13:29.64]  they can talk to how they've been
[13:31.28]  successful with your solution they can
[13:33.24]  be serve as a reference for you you need
[13:35.28]  your earliest customers to be raving
[13:38.12]  fans for as long as possible so in the
[13:41.00]  early days at Cornerstone we would do
[13:42.52]  everything possible to retain all of our
[13:44.56]  customers that was our number one
[13:46.04]  priority yeah and I would add as part of
[13:48.28]  that in user engagement right if you
[13:50.80]  have user engagement you will you should
[13:52.80]  get retention as a byproduct of it but
[13:55.04]  to me those two sort of go hand in hand
[13:57.08]  right ultimately you want to make sure
[13:59.16]  you retain them so you don't have churn
[14:00.76]  and you can continue to triple and
[14:02.20]  quadruple every year but at the same
[14:04.16]  time you really want these customers
[14:06.12]  extracting so much value that they're
[14:07.44]  calling you wanting to be a reference so
[14:10.24]  they can tell their story I think that's
[14:11.56]  what Salesforce did a great job of with
[14:13.88]  customer Heroes for example you know
[14:15.68]  customers want it to be a reference and
[14:17.56]  and you want that passion in your
[14:19.76]  customer base around the products and
[14:21.16]  services you deliver and at this early
[14:23.24]  stages retention is important so would
[14:25.92]  you go out of your way and provide a lot
[14:27.92]  of consult
[14:29.60]  Professional Services just to retain
[14:32.64]  customers I mean it's not that we
[14:34.32]  haven't seen that before early on
[14:36.48]  absolutely you you need a few Flagship
[14:39.16]  customers that are going to help you
[14:40.36]  expand in the market now I think the
[14:41.92]  question I think that many of us
[14:43.84]  struggle with is how much to invest
[14:46.40]  before you really start losing your
[14:48.20]  shirt so part of it is understanding
[14:50.00]  your cost to acquire and then also your
[14:52.28]  cost to serve those might be two metrics
[14:54.08]  that I think are worth looking at and
[14:55.72]  then I think you have to understand the
[14:57.04]  value of that customer in your ability
[15:00.00]  to get new prospects designed to
[15:02.12]  customers so you might decide to invest
[15:04.28]  in a particular logo or a particular
[15:06.40]  geography or a particular vertical so
[15:08.68]  that you can demonstrate success in that
[15:10.76]  particular area which then feeds on your
[15:13.16]  ability to get more customers in that in
[15:15.12]  that respective market so um you just
[15:17.64]  have to be intelligent about how much
[15:19.60]  how far you're willing to go in terms of
[15:21.92]  that investment and what does that
[15:23.16]  actually look like and typically most
[15:25.12]  organizations I would assume of your
[15:26.96]  size this is what I have done which is
[15:28.44]  you throw services at it and then it
[15:31.12]  kind of tells you which is cool is that
[15:33.08]  you kind of learn what level of service
[15:35.80]  you have to provide in order to ensure
[15:37.92]  different segments of your customer base
[15:39.76]  are successful again your SMB is going
[15:42.12]  to be a lot different than than your
[15:43.56]  Enterprise customer yeah I would I would
[15:46.00]  add to that especially in the beginning
[15:48.32]  it's really important that you be
[15:49.92]  thoughtful about who you want to bring
[15:52.12]  on as customers so it it's no longer
[15:55.32]  just about who's going to be willing to
[15:56.76]  give you money because you might end up
[15:59.48]  spending more money and more Cycles just
[16:01.76]  trying to keep a customer that wasn't a
[16:03.48]  good fit in the first place so I think
[16:05.40]  it's really important to be thoughtful
[16:06.80]  about what that ideal customer profile
[16:08.80]  looks like and making sure you're
[16:10.52]  bringing on customers that not only
[16:12.12]  you're a good fit for but are a good fit
[16:13.64]  for you based on where you are in your
[16:15.52]  Evolution as a company that's about
[16:16.96]  being focused and understanding your
[16:19.00]  market and where where your product is
[16:20.88]  going to play well versus where your
[16:22.84]  product's not going to be well and
[16:23.96]  you're trying to jam a square peg into a
[16:26.08]  round ho exactly y can you share an
[16:28.32]  example of a time to be any company that
[16:31.28]  you work uh with where you brought in a
[16:34.32]  customer just because it was a great
[16:35.96]  logo or I mean big check or your
[16:39.52]  investors was saying oh you should bring
[16:41.36]  in more revenue and then you ended up
[16:44.28]  firing that customer I think someone's
[16:45.92]  uniquely suited to answer that question
[16:47.52]  on this panel maril Lynch Salesforce
[16:51.60]  would be the one that I would use um
[16:54.64]  that was our first Flagship customer our
[16:56.76]  first customer in the financial services
[16:58.96]  face um we didn't fire that customer
[17:01.48]  though but there were um there was quite
[17:03.36]  a bit of turnover on on the account and
[17:05.92]  I was very fortunate at that time uh
[17:08.16]  teen who is now the CEO of Zora he was
[17:10.56]  my executive sponsor for a short period
[17:12.36]  of time and what we learned and this was
[17:15.60]  in
[17:17.48]  2007 20062 2007 when I owned that um
[17:20.96]  owned that relationship what we really
[17:23.36]  had to do to ensure that they were
[17:25.12]  absolutely successful is really run it
[17:27.08]  like a program so every single week any
[17:29.40]  person that had any sort of touch Point
[17:31.12]  including sales with this customer I ran
[17:33.96]  a call and we went through every single
[17:35.80]  goal that we were trying to accomplish
[17:37.68]  for that respective week we made sure
[17:39.64]  that we were absolutely aligned on the
[17:42.00]  message and the approach that we were
[17:43.40]  going to take and then following that I
[17:46.04]  had actually a call with the customer
[17:47.72]  and ran through everything so that there
[17:49.64]  was a very methodical way of managing
[17:52.48]  the relationship and the other one maybe
[17:55.32]  perhaps funny story it's still kind of
[17:56.72]  funny to me but um we when when we
[17:59.36]  managed that relationship there were a
[18:01.00]  couple of escalations you can expect
[18:02.68]  that when you're managing a customer who
[18:04.32]  knows that they're dramatically
[18:05.68]  important to your ability to be
[18:07.60]  successful as a as a company that you
[18:10.08]  know they they threatened a call what I
[18:11.72]  had already arranged with Parker Harris
[18:14.12]  most of you know is one of the founders
[18:15.72]  of Salesforce that if the customer
[18:17.84]  called him he was not to call them back
[18:19.96]  he was to call me first then we would
[18:22.52]  decide what he would say and then he
[18:24.28]  could call them back so having alignment
[18:27.52]  across your entire organization in terms
[18:29.44]  of how you're going to manage these very
[18:31.32]  critical customers to your business is
[18:33.40]  is really important that's I mean that's
[18:35.72]  easier for larger organizations we where
[18:38.08]  you can fund the growth with capital
[18:40.96]  coming from other places but what do you
[18:42.88]  do when you're like a small startup uh
[18:46.20]  would you kill your company by saying no
[18:48.32]  to a large customer who's scending you
[18:51.12]  ton of
[18:52.40]  cash do one of you want to answer that
[18:54.60]  you know we we were never good at that
[18:56.16]  we we we were yes people early on to be
[18:58.84]  honest with you especially when clients
[19:00.36]  had really crazy enhancement requests we
[19:03.24]  would go above and beyond to make it
[19:05.08]  work early on once we got to a certain
[19:08.16]  point we started to push back and set
[19:10.08]  expectations around what we were capable
[19:11.84]  of doing but early on we would do what
[19:15.24]  it took to to win the deal and I'm not
[19:17.88]  saying that's necessarily the best thing
[19:19.16]  to do that's just what what we
[19:21.24]  did yeah so I do think it's important
[19:23.80]  that you do everything you can to make
[19:25.16]  your customers successful that being
[19:27.52]  said that you want to make sure that you
[19:29.72]  are not architecting yourself into a
[19:31.48]  corner or taking yourself off of your
[19:33.52]  road map what's really important and and
[19:35.32]  we experience this at Yammer right um
[19:37.80]  when you're building for thousands of
[19:40.32]  companies or millions of users is you
[19:42.56]  start building one offs it slows down
[19:46.56]  your Cadence and your ability to
[19:48.12]  innovate and iterate and you have to
[19:50.28]  start testing all those right all of
[19:51.80]  those one-offs you have to test every
[19:53.16]  time you come out with a new release and
[19:54.92]  so now your burn goes up because you
[19:56.44]  have more QA people your development
[19:58.16]  Cycles get longer your pace of
[19:59.68]  innovation gets longer your road map
[20:02.24]  extends for years now rather than months
[20:04.20]  and quarters and so it's important to
[20:06.28]  have that consultative conversation with
[20:08.12]  the customer if I understand this is
[20:10.00]  what you you may need or want but let's
[20:12.64]  talk about other ways that we can solve
[20:14.32]  that problem in a way that's repeatable
[20:16.20]  across the broad customer base because
[20:17.56]  ultimately part of the reason you chose
[20:19.40]  our technology is our pace of innovation
[20:21.56]  and we can't provide you that if we're
[20:23.20]  basically building custom Consulting
[20:25.20]  engagement and we didn't make oneoff
[20:27.04]  Solutions we would just add that to the
[20:28.84]  road map and and deploy that to everyone
[20:31.60]  so right y sometimes it just wouldn't
[20:34.20]  happen as quickly as the client would
[20:35.56]  like but we would just you can manage
[20:38.24]  expectations exactly y I mean that that
[20:40.92]  means that really you have to
[20:42.00]  demonstrate Roi very early and make sure
[20:45.00]  that you have a really strong champion
[20:47.40]  and in some cases more like a program
[20:49.20]  lead the person who handles some of the
[20:50.68]  day-to-day stuff but if you've
[20:52.44]  demonstrated quick wins customers
[20:55.08]  getting Roi to some extent and you've
[20:57.04]  got a really strong execu itive Champion
[20:59.72]  economic buyer for the most part you can
[21:01.88]  manage those
[21:03.24]  expectations but you still sometimes
[21:05.32]  have to deliver stuff that you're
[21:06.84]  initially like why am I doing this and
[21:08.32]  you don't really want to do in the first
[21:09.64]  place and with the background in
[21:11.08]  economics people respond very well to
[21:13.00]  incentives so uh when you're hiring your
[21:16.12]  team if you're telling them retention is
[21:18.40]  the number one metric and you're going
[21:20.40]  to get a bonus if your retention rate is
[21:22.80]  over
[21:24.24]  95% I mean how do you make sure that
[21:26.80]  they're retaining the right customers
[21:29.00]  and not just retaining 95% of the
[21:31.08]  customers to get their bonus don't sell
[21:34.24]  to the wrong
[21:35.84]  customer but that's a problem with sales
[21:38.12]  I mean sales sold for this customer too
[21:40.40]  even though I'm had a customer success
[21:41.88]  I'm still I've got one boot in sales and
[21:43.96]  one boot in the customer Camp um I think
[21:46.56]  that in terms of you how do you how do
[21:48.68]  you want to compensate your customer
[21:50.52]  success organization do you want to
[21:52.56]  compensate them on renewals do you want
[21:54.56]  to compensate them on the upsells the
[21:57.08]  expansions and I think the answer is in
[22:00.12]  in my experience I've worked in
[22:01.84]  organizations where we didn't compensate
[22:03.92]  customer success and in organizations
[22:05.88]  where we did and I think the answer at
[22:08.60]  least I think you should um it doesn't
[22:11.68]  it doesn't mean that they're salespeople
[22:13.08]  it's a very very different role but you
[22:15.04]  do want to motivate them to ensure that
[22:17.12]  when the customer is coming up for
[22:18.84]  Renewal that they're having that renewal
[22:20.40]  conversation and that they're looking
[22:21.76]  for those expansion opportunities even
[22:24.20]  though they may not own the sales
[22:25.72]  campaign the sales the account executive
[22:28.00]  May own the Sal sales campaign but you
[22:29.84]  need them to be in there making sure
[22:32.00]  that they're having those conversations
[22:33.44]  with the customer and and seeking those
[22:35.32]  opportunities out because you don't want
[22:37.04]  to distract your account Executives with
[22:40.64]  um with upsells and expansions when
[22:42.76]  their primary function should be new
[22:44.20]  business but they should partner very
[22:45.68]  very closely
[22:47.64]  together anything to add we separated it
[22:50.16]  out we as I spoke to earlier we have
[22:53.48]  sales team that's focused on the initial
[22:55.00]  sale we have a sales team that's focused
[22:57.16]  on the expansions and the upside
[22:59.08]  and the cross cells
[23:01.84]  uh the retention I think is we
[23:04.60]  incentivize people not so much on the
[23:06.32]  retention piece but more on the on the
[23:07.76]  upsell and the renewal um and achieving
[23:10.48]  the renewal do they carry a quota yes
[23:12.80]  they do they do have you seen any Cal
[23:15.68]  structures for customer success that
[23:17.44]  were messed up
[23:19.08]  David yes so I think it's really
[23:22.52]  important um as you think about comp for
[23:24.68]  customer success you rethink comp for
[23:26.92]  sales as well so one of the things that
[23:29.36]  we've moved to is our for our sellers
[23:32.96]  we're actually paying them a portion of
[23:34.96]  their commission when they close the
[23:36.12]  deal but the rest of it with a premium
[23:39.00]  when the customer is deployed and
[23:40.68]  referenceable and so when if when you
[23:42.84]  think about it the only person that
[23:45.20]  really celebrates when a deal is done is
[23:46.76]  the salesperson Finance isn't paid yet
[23:49.72]  so they're sort of holding their breath
[23:51.88]  the engineers built this great product
[23:53.56]  but the customers not really using it
[23:55.32]  yet so they don't celebrate the customer
[23:57.00]  spend a bunch of money but they don't
[23:57.96]  have any value you yet so the only
[23:59.92]  person that's really celebrating is the
[24:01.28]  salesperson but once that is deployed
[24:03.64]  and the customer is referenceable
[24:05.12]  engineering feels great because they've
[24:06.68]  affected change in a company based on
[24:08.24]  code they wrote your Finance guy or gal
[24:10.28]  are happy because they got paid customer
[24:11.84]  gets value so they feel really good
[24:13.64]  about it so that's a great rally and cry
[24:15.88]  for everybody so as you reorient sales
[24:18.64]  compensation you can start to reorient
[24:20.60]  customer success comp I think it is very
[24:22.76]  important for customer success to be
[24:24.28]  able to sit down with the customer and
[24:25.36]  say look I don't care if you don't ever
[24:26.80]  buy anything again my job is just to
[24:28.52]  make you wildly successful with the
[24:30.60]  investment that you've made now they
[24:32.60]  should be observant enough and where
[24:34.68]  they see opportunities for more use
[24:36.52]  cases and upsell and cross sell they
[24:38.28]  should be able to guide you know back to
[24:40.36]  the C to the sales rep and say hey I
[24:42.12]  think there's an opportunity here but
[24:43.84]  ultimately if you are compensating
[24:46.44]  customer success on retention that's
[24:49.64]  great you know I think that's a great
[24:51.08]  metric that they can feel good about
[24:53.48]  they affect change in the organization
[24:55.68]  but they can still stay true to their
[24:57.56]  Vision yeah which is make the customer
[24:59.88]  wildly successful yeah as quickly as
[25:02.40]  possible exactly so I want to switch
[25:04.40]  gears a little bit and move into how do
[25:07.36]  you manage this uh customer success
[25:10.52]  teams where when you're going into
[25:12.08]  different Industries and David you had
[25:14.00]  great experience with premium models
[25:16.40]  April you're looking at Enterprise
[25:18.32]  customers and Sarah you've seen the
[25:20.56]  entire customer Journey but how do you
[25:23.48]  how do you do this differently when
[25:25.48]  you're focused on S&B Enterprise and
[25:27.84]  premium is there any difference or is it
[25:30.20]  just same thing let's go
[25:32.60]  first you've seen the
[25:35.56]  whole you do have to you do have to
[25:38.84]  address their different needs your SNB
[25:40.72]  is a lot different than Enterprise
[25:42.32]  especially with respect to expectations
[25:44.56]  so we should probably talk about one to
[25:46.32]  many strategy do you want to talk about
[25:47.96]  that yeah sure so
[25:52.80]  um um you know what go first I'll go so
[25:57.84]  I say think when you asked about fremium
[25:59.96]  right and we saw a lot of that at Yammer
[26:01.80]  so freemium is great if you if you think
[26:04.00]  about the the different personas that
[26:06.88]  are involved in bringing a technology
