Title     : Playbook To  Re-Igniting Growth with Predictable Revenue Co-Founder | SaaStr Software Community
Video ID  : HX-Ae_KcbyM
[04:09.79]  problem is people keep trying to skip
[04:11.41]  the second step we've got some customers
[04:13.69]  who are buying let's go we've done that
[04:17.50]  at predictable revenue calm even so it's
[04:21.16]  people I think a lot is impatience to
[04:23.98]  grow so again what David says trying to
[04:27.04]  force progress by jumping ahead before
[04:29.50]  completing the current phase it's kind
[04:32.11]  of like two steps forward three steps
[04:34.09]  backward because we're in such a rush
[04:36.67]  because we see all these stories around
[04:38.56]  Pete
[04:38.94]  launching and growing so one of the
[04:42.36]  ideas from Jason that I loved that we
[04:44.28]  put into that from a possible book is
[04:45.90]  this idea of a year of hell and some
[04:47.52]  time frames now it often for sass come
[04:50.25]  and it takes two years before you know
[04:51.75]  whether it's gonna work or not or what
[04:52.95]  you got it could take longer and it
[04:57.39]  might be five or ten years to exit right
[04:59.52]  so I think our our time frames are so
[05:01.65]  distorted by social media which was what
[05:04.20]  to expect and how long it should take
[05:05.69]  remember what gets published is kind of
[05:09.33]  what's exciting which is typically
[05:10.83]  things happening quickly or failing and
[05:13.13]  the really the stuff that people do
[05:16.20]  every day which is all the long boring
[05:17.97]  grind doesn't get a lot of airtime
[05:20.25]  but that's really what it's about is
[05:21.84]  anyone not going through a long boring
[05:23.67]  grind there might be one or two
[05:26.28]  okay that's natural when you post in
[05:28.98]  your social media what do you post about
[05:30.45]  you're you know you're looking about
[05:32.31]  your day a lot of it it can be kind of
[05:33.81]  boring or busy but you post a highlights
[05:35.91]  typically because who cares about you
[05:38.22]  brushing your teeth really and you're
[05:40.71]  not gonna post about if you're yelling
[05:42.87]  at your kids because first of all it's
[05:44.55]  totally inappropriate to be yelling at
[05:45.81]  your teenager because I never do that
[05:47.70]  and start videoing it and then to post
[05:50.04]  it you're not gonna do that so there's
[05:51.21]  these reasons why we're surrounded by an
[05:53.07]  artificial distortion of our reality
[05:55.05]  which again I think feeds our impatience
[05:57.75]  I mean we try to skip a step okay so I'm
[06:01.20]  gonna get to more of the tactical things
[06:02.91]  around sales and marketing that will
[06:03.96]  help drive growth because again first I
[06:05.88]  think it's our impatience and
[06:06.93]  expectations we shoot ourselves in the
[06:09.18]  foot so sage Mount and I actually I miss
[06:13.71]  I just caught this beforehand sage mount
[06:16.50]  for golf sage mounts a multi-billion
[06:18.42]  dollar private equity fund that we do a
[06:20.61]  lot with and they were really kind
[06:22.80]  enough to add a lot of details for one
[06:24.63]  of the new case studies in the book how
[06:26.64]  do they triple their investments in
[06:27.99]  three years in terms of valuation okay
[06:30.00]  so again this repeatable growth so one
[06:33.78]  of the interesting facts is they did
[06:37.74]  this analysis and they said okay when we
[06:39.96]  make an investment we can where they're
[06:42.78]  looking at M&A or process changes of
[06:44.73]  pricing or sales growth what they
[06:46.65]  identified was seventy percent of the
[06:49.56]  increase in valuation of their
[06:51.64]  companies came from increasing organic
[06:54.07]  sales growth so not from merging
[06:56.02]  companies together which is part of it
[06:57.58]  or have improvements it was really that
[06:59.80]  organic sales proof more leads more
[07:02.14]  sales so kind of the four highlights and
[07:07.24]  there's a few other mind these are the
[07:08.68]  four big things they do the four big
[07:11.83]  things is really they specialize their
[07:13.51]  sales rules I say all the way we'll get
[07:15.40]  to that ramp lead gen they focus on
[07:18.25]  outbound but everyone might be inbound
[07:20.41]  at some point for you but ramped lead
[07:22.21]  gen nail and niche is part of that which
[07:25.81]  is really get smart and targeted around
[07:27.49]  their type of customer and messaging and
[07:29.16]  have sales and marketing really work
[07:31.33]  together in alignment and for them their
[07:37.48]  rule of thumb is if they can get a
[07:38.65]  company's revenue up by a million
[07:40.39]  dollars an AR AR they should expect a
[07:42.25]  twelve billion dollar valuation increase
[07:43.90]  right so that every revenue increase is
[07:46.96]  a big deal so here's an example they
[07:50.44]  spent forty Sue's a forty billion dollar
[07:52.84]  investment in a services company I think
[07:55.69]  was like hands you know somewhere in the
[07:57.10]  Midwest acting services but they were
[07:59.98]  growing be ten percent a year and again
[08:02.53]  pretty classic they had half a dozen
[08:04.63]  sales people doing everything and most
[08:06.37]  the leads were from word of mouth or
[08:07.99]  some channel partners and they come in
[08:09.76]  whenever they came in right and they
[08:13.69]  wanted to triple that growth rate in
[08:15.46]  evaluation so with their hyper focused
[08:18.64]  on are really three main metrics and
[08:20.23]  again I think it's so easy with all the
[08:21.88]  technology now to get overwhelmed with
[08:23.74]  too many metrics you get dashboard
[08:25.57]  clutter if you hopefully you have
[08:27.88]  dashboards some people don't but then
[08:31.84]  it's too easy to put too much stuff on
[08:33.10]  there so it's just it's really simple
[08:34.36]  more meetings or qualified meetings more
[08:37.96]  proposals more deals now yours may be
[08:40.09]  different but pretty simple at the end
[08:42.79]  of about to say end of the day but you
[08:45.13]  know that gets over stood okay so one of
[08:48.46]  the things around specializing sales and
[08:51.16]  this should not be new but where people
[08:53.62]  get this wrong right this is about focus
[08:55.54]  we're going back to the uber trend when
[08:58.27]  salespeople are doing too many things
[08:59.91]  they struggle
[09:01.95]  they're targeting too many customers too
[09:04.06]  many apps too many worst
[09:05.02]  possibilities to learn so this is why
[09:07.77]  specialization works so well people
[09:10.39]  doing fewer things better so I think
[09:12.79]  we're where we need to take it further
[09:15.37]  is creating more roles if you have one
[09:19.86]  SDR whatever you call them be dr str to
[09:23.17]  the junior sales person doing both
[09:25.09]  inbound lead response and a pound
[09:27.82]  prospecting great as soon as you get to
[09:30.58]  that needs to change if you have two
[09:33.51]  STRs sales development reps you need
[09:37.27]  dedicate outbound will not work without
[09:38.83]  dedicated people to it it just won't
[09:42.90]  that's one example and I guess I know
[09:45.43]  there's so many gray areas and the other
[09:48.01]  one is as soon as you can again split
[09:49.81]  the new customer signing versus account
[09:52.00]  management slash customer success so I
[09:54.46]  think in people wait too long and they
[09:56.20]  don't create enough roles you really
[09:57.85]  want usually more more rules in your
[10:00.22]  sales team it's kind of a default I
[10:02.20]  don't think I've ever seen a company
[10:03.40]  that had too many sales rules I see them
[10:05.38]  all the time they don't have enough if
[10:07.54]  you have all these and add add some
[10:09.16]  interns add some junior people in your
[10:10.99]  operations or sales operations it's a
[10:13.72]  great place to bring people up when
[10:16.09]  they're kind of moldable and not as
[10:18.55]  expensive and they're getting sort of
[10:20.14]  they could work in a job and they're
[10:22.32]  getting paid they're getting paid to be
[10:25.24]  trained to be ready for the next job in
[10:31.06]  lead generation it's really hard to get
[10:33.19]  accurate metrics that you can trust it's
[10:35.44]  easy to get metrics okay let's stick to
[10:37.42]  outbound for a second especially an
[10:39.70]  outbound I mean I rarely I never see
[10:41.89]  dashboards or completely a current
[10:43.39]  trustworthy when you dig below the
[10:45.34]  metrics or there's always fudge factors
[10:47.53]  and outbound there's a lot of
[10:49.30]  subjectivity one of the great unknown
[10:51.49]  challenges or unrecognized challenges is
[10:54.10]  that it's really hard to create a trust
[10:56.98]  where the outbound dashboard because of
[10:58.84]  the subjectivity was this qualified or
[11:01.18]  not know if the sales people receiving
[11:04.66]  outbound appointments aren't trained
[11:05.98]  there they're just like okay I'll do my
[11:07.84]  child ooh my steer our favor a favor all
[11:10.24]  upgraded they don't really know was it
[11:13.69]  outbound or inbound there's all these
[11:15.61]  great areas around attribution we get
[11:17.44]  inbound leads
[11:18.32]  was it triggered by not bound prospector
[11:20.48]  sending emails making our city on social
[11:22.97]  that came through the website there's
[11:24.77]  all these gray areas right this is
[11:26.09]  probably the number one thing we work to
[11:29.21]  clean up with clients to just clarity
[11:31.01]  around metrics and lead gen asbestos
[11:32.72]  especially outbound and if you don't
[11:35.18]  have clear Legion metrics then you don't
[11:37.49]  know what where your leads are really
[11:38.78]  coming from so you don't know really
[11:40.13]  where to invest or double down it's just
[11:43.66]  so I'm just thinking on outbound right
[11:46.19]  outbound there's so many great apps
[11:47.84]  right but it's not about the apps the
[11:49.73]  lists AI email templates or anything
[11:52.16]  else
[11:52.55]  outbound is really about the dashboard
[11:54.29]  if you have an outbound program whether
[11:57.89]  it's in-house remote I was for whatever
[12:00.86]  it is I just I ninety-eight percent of
[12:05.33]  you will have inaccurate metrics I can
[12:07.67]  almost guarantee it okay maybe ninety
[12:09.35]  six percent really because I guess II
[12:12.32]  this all day long and if you don't know
[12:14.93]  like how many times do people say oh
[12:16.55]  we're getting five hundred thousand
[12:19.07]  dollars in pipeline a month from our
[12:20.24]  outbound program okay well when you
[12:22.88]  really look at it it might be half that
[12:25.15]  whether it's because it's kind of
[12:27.23]  inbound leads it got poached by outbound
[12:29.90]  weather in purpose or confusion or a
[12:32.69]  bunch of fluff that's being upgraded
[12:35.30]  that's not real happens all the time
[12:38.05]  so this is our dashboard at home this is
[12:41.03]  again big kids this is our family car I
[12:43.39]  like to say we haven't Hummer h2
[12:46.04]  but that's our small family car by the
[12:48.62]  way both are for sale because we cannot
[12:49.97]  take them to Scotland if you're
[12:51.11]  interested all right typical dashboard
[12:54.71]  for outbound again your inbound funnel
[12:58.31]  sorry this is not gonna funnel an
[12:59.69]  inbound funnel will look different than
[13:02.39]  a pound funnel so you've your activities
[13:05.87]  at the top and then those activities are
[13:07.61]  resulting in pot you know positive email
[13:10.88]  responses or social responses meetings
[13:13.31]  and number three that I think the place
[13:16.34]  where people again miss the boat and so
[13:18.65]  if so so important are measuring the
[13:22.52]  number of qualified audited
[13:24.62]  opportunities what that means is okay
[13:28.91]  you're getting meetings
[13:31.34]  if you have this program again whether
[13:33.11]  it's your internal team or if it's some
[13:35.60]  sort of outsource help meetings you're
[13:38.99]  getting from your STRs people to
[13:42.83]  salespeople okay
[13:44.89]  then they're getting qualified what does
[13:47.00]  qualified mean to you and if it's a
[13:50.15]  little bit different to everyone else
[13:51.20]  and I'm sorry everyone has a bit
[13:53.03]  different versions of what that means so
[13:54.95]  first you need to decide what that means
[13:56.54]  to you I'll give you a sample and then
[14:00.70]  you need to specially for Albin you need
[14:03.50]  to audit or review every single
[14:05.21]  opportunity because I guarantee there's
[14:07.28]  going to be so much inconsistency it's
[14:09.74]  impossible to do it otherwise
[14:12.50]  okay that's what I dealt with from day
[14:13.64]  one is Salesforce so for outbound
[14:19.12]  qualification it's going to be different
[14:21.98]  typically than inbound criteria because
[14:25.28]  outbound you're reaching out to people
[14:27.26]  who don't know you as well or don't know
[14:28.88]  you at all they may not they're not
[14:30.50]  thinking about you and you're educating
[14:33.77]  them you're trying to them excited about
[14:35.18]  a new opportunity so usually the three
[14:37.49]  basic criteria for qualifying an
[14:39.56]  outbound
[14:40.16]  opportunity is do I am I talking to
[14:42.35]  someone of power or influence do they
[14:46.31]  have a need that we can help them with a
[14:48.26]  real need and are they interested in the
[14:52.01]  next step okay some markets like in
[14:56.48]  advertising you might talk about budget
[14:58.19]  and they're very kind of because it's so
[15:00.91]  ingrained to that system but usually
[15:04.22]  without bound you don't deal with budget
[15:05.84]  you don't deal with timing but if you're
[15:07.43]  talking to someone who's high up enough
[15:09.05]  and has enough of need they can make
[15:10.52]  that happen there's always exceptions
[15:12.89]  let's not talk about government or
[15:14.57]  schools so they'll be looser than
[15:18.50]  inbound criteria all right so again you
[15:21.44]  take that as your starting point decide
[15:23.69]  internally what that means and then
[15:25.49]  someone on the team has to check all
[15:27.89]  those opportunities for consistency and
[15:29.59]  that's one way you start to get towards
[15:31.91]  cleaner more trustworthy metrics on
[15:33.86]  outbound at least because think about if
[15:37.22]  your see there's lost CEOs here if
[15:39.38]  you're one or if you work for one I need
[15:42.14]  to decide hey we're getting X from
[15:44.37]  four channels partners in bounds of
[15:46.80]  course inbound is such a group of stuff
[15:48.42]  partners inbound outbound if I don't
[15:51.66]  trust the metrics I don't know what to
[15:53.76]  invest in Plus if I don't trust the
[15:55.68]  metrics that how does that reflect on
[15:57.60]  the people creating the metrics so I
[16:01.92]  triple emphasize this because it's
[16:03.78]  Salesforce comm with Marc Benioff he
[16:06.15]  didn't trust outbound metrics because it
[16:09.39]  Oracle they were all fudged so his
[16:12.12]  starting point was I'm skeptical this is
[16:14.76]  gonna work I don't think it's gonna add
[16:16.11]  incremental revenue and it took us two
[16:19.41]  years to before he switched because
[16:22.23]  there's two years of metrics and
[16:25.44]  opportunities and deals that every time
[16:27.60]  he had a question I remember there be a
[16:29.91]  company like what's the kind of truck
[16:33.18]  now oh it's a big trucking company I'll
[16:35.01]  just say citibank citibank we closed
[16:37.80]  Citibank and say oh hey where'd this
[16:40.38]  come from a partner saying they brought
[16:42.06]  it in but outbound saying they sourced
[16:43.95]  it well crap we always go back in and be
[16:47.37]  able to prove without a shadow of a
[16:48.78]  doubt that outbound was the source of it
[16:50.78]  we only took credit for what truly was
[16:53.52]  something we sourced and so after two
[16:55.50]  years he finally was like yes okay I
[16:57.06]  really believe this is incremental now
[16:59.52]  this is an extreme case but the point is
[17:01.77]  if you don't have trustworthy metrics
[17:03.18]  like you don't want hope you want truth
[17:07.52]  okay did we do we beat this horse enough
[17:09.96]  yet sample looks Ozora is one of the new
[17:13.68]  case studies in the impossible book and
[17:16.11]  this is like a summary of their outbound
[17:17.79]  funnel it was interesting about them
[17:20.31]  which I really wide why I wanted to
[17:22.41]  include them in the new edition was
[17:23.76]  because they often take years to close a
[17:25.65]  new customer that nurturing process
[17:28.10]  before because I'll sell the companies
[17:30.03]  like car companies they have obsessed
[17:33.21]  clients too but they have a lot of older
[17:35.28]  established businesses they're looking
[17:37.29]  to get into SAS or a subscription and
[17:40.74]  they might take it in years to decide to
[17:42.99]  do get into that business so their
[17:44.94]  funnel and this is in the book but ten
[17:47.28]  new account plans and contacts and dials
[17:49.71]  but they want to filter through to
[17:53.01]  getting about one customer month and
[17:54.57]  they come zbr Zora business
[17:56.25]  representatives
[17:57.29]  doing outbound mostly outbound so
[17:59.96]  nailing a niche right this is number
[18:03.36]  four out of the five points in terms of
[18:05.94]  how do we reignite growth this section
[18:08.88]  this is the this is the stuff that
[18:10.86]  wasn't in the predictable revenue book
[18:12.60]  that later I realized how when people
[18:14.37]  struggle with let's go back to outbound
[18:15.69]  but it's true growth in general the most
[18:17.94]  common reason is because they haven't
[18:19.29]  nailed a niche now Twilio I love their
[18:21.45]  story right they have a platform and
[18:23.25]  platforms are really hard to get off the
[18:25.77]  ground because they can be used for
[18:27.42]  anything I mean you know about the
[18:29.43]  successful ones but you don't know about
[18:30.75]  all the unsuccessful ones where they
[18:32.61]  couldn't get traction the people using
[18:34.23]  it because what do I do with this it's
[18:36.93]  like if Lego had just only sold boxes of
[18:40.95]  pieces and never sold the kit so Twilio
[18:44.49]  has done an amazing job basically
[18:45.99]  getting out of their cubes and every
[18:48.03]  Tower is like learning how to read their
[18:50.34]  customers minds and three of the ways
[18:53.04]  there's actually five in the book with
[18:54.27]  three of the ways here that's not really
[18:55.92]  interesting one is they talk about
[18:58.29]  walking in their customers shoes and
[18:59.97]  they repeat it's a value they actually
[19:02.64]  even go to the point of they offer their
[19:04.98]  customers a free pair of of Twilio
[19:07.50]  branded chucks which are basically in
[19:11.10]  the picture but they put their logo on
[19:12.30]  it if the customer will give them their
[19:15.57]  old dirty shoes and they hang those all
[19:17.58]  dirty shoes maybe they clean them I
[19:19.05]  don't know if those matter in the
[19:20.13]  offices is a reminder to the employees
[19:21.87]  it can walk in your customer shoes
[19:23.91]  because we always need to be reminded
[19:25.83]  that constantly that's more but the
[19:29.67]  second one make your lawyers build apps
[19:31.29]  like every employee Twilio who starts
[19:33.78]  whether they're a lawyer or an HR has to
[19:35.79]  build a Twilio app they eat their own
[19:38.85]  dog food that way that was one of the
[19:40.14]  secrets of salesforce salesforce
[19:41.73]  salespeople use Salesforce so they knew
[19:43.95]  it how can you get your own people to
[19:45.69]  eat their own dog food and the last one
[19:47.70]  and something we talked about I think we
[19:50.58]  know this but how often do we do it
[19:52.26]  can we get feedback before we build it
[19:54.14]  so Tula they have an example where it's
[19:57.30]  an API based company so they can do is
[20:00.00]  they can write the documentation first
[20:01.82]  get feedback from customers before they
[20:05.07]  write the actual api's you know there is
[20:08.10]  a bit of a trick here because it is true
[20:10.17]  away from Mike's
[20:11.10]  you can you can get customer feedback
[20:12.54]  and at some point though they don't
[20:14.49]  really know what they want you do have
[20:16.89]  to build something of course them to see
[20:18.32]  right they if you're building something
[20:20.73]  new they're just they know the problem
[20:23.64]  but they don't know what the solution is
[20:24.60]  so but it's the same old thing whether
[20:27.48]  it's for a presentation whether it's for
[20:29.13]  a product try to get customer feedback
[20:30.99]  before we spend a lot of work to build
[20:32.94]  it so getting into the minds of your
[20:35.61]  customers that here's like a really
[20:37.20]  tactical example we had a client called
[20:40.08]  Ken Burton who sells multi hundred
[20:41.82]  thousand dollar accounts receivables
[20:43.77]  financial services to hospitals and they
[20:46.53]  were building an outbound program and
[20:49.02]  they were started off by reaching out to
[20:50.61]  hospitals to ask hey who's in charge of
[20:52.14]  receivables and yes these emails still
[20:54.21]  work and no these aren't the only emails
[20:56.10]  that work we do but it's just a great
[20:58.68]  example who's in charge of receivables
[21:01.05]  the hospitals are pretty complicated
[21:02.67]  there's like vendors as patients weren't
[21:05.25]  getting responses doing some interviews
[21:07.92]  and such interviews highly
[21:10.20]  under-appreciated they then switched to
[21:12.99]  who can't who handles patient cash right
[21:17.07]  it was to internal jargon internal
[21:18.78]  language that was instantly obvious to
[21:20.22]  the people they were reaching out to who
[21:22.35]  that person would be I speaking their
[21:24.57]  language
[21:25.02]  right you want to be getting to the
[21:26.58]  minds of your customers to use their
[21:28.14]  language I mean it's um it's believable
[21:32.28]  because I see it so often is the kinds
[21:34.14]  of emails and cold emails that get sent
[21:35.79]  they're so generic and so you focused
[21:42.15]  rather than customer centric it's hard
[21:46.29]  that copywriting skills it takes
[21:47.94]  practice and as soon as you get it down
[21:50.61]  things change but if that practice of
[21:52.62]  getting into their minds whether it's
[21:54.33]  through interviews using the products
[21:56.64]  they're using reading this news sources
[21:58.32]  they do it just it makes all the
[22:01.11]  difference you're really developing that
[22:02.28]  empathy for them right empathy is I'm
[22:05.31]  sure someone has some phrase around like
[22:07.32]  future skills you have to know or
[22:09.27]  mission-critical skills will empathy is
[22:10.95]  one of them you're not gonna be able to
[22:12.51]  be successful in marketing without
[22:13.83]  empathy alright we're gonna get to
[22:17.16]  here's the last section create revenue
[22:20.52]  team alignment so revenue team
[22:24.72]  against this fault migration from sales
[22:27.18]  and marketing to revenue how can you
[22:28.71]  look at that there were sales ops and
[22:30.15]  marketing ops now there's revenue option
[22:31.65]  but it's true it's like you don't really
[22:33.90]  care where it comes from you want the
[22:36.12]  revenue to work together but salesperson
[22:38.37]  marketing
[22:39.32]  revenue team alignment and there's
[22:41.31]  reasons why there's always been this gap
[22:43.17]  between sales and marketing right they
[22:44.94]  have different goals there's often
[22:46.89]  different backgrounds and experiences
[22:48.30]  there can be different systems maybe
[22:51.27]  they're in different locations different
[22:52.74]  budgets so how do you get them to work
[22:54.93]  together so here's three and I'll
[22:56.67]  emphasize one but one of the key steps
[22:59.61]  it makes such a big difference is having
[23:01.02]  those STRs especially on the inbound
[23:03.09]  side right the oldest complaint of
[23:07.62]  marketing in the book is we generate all
[23:09.39]  these leads that don't get followed up
[23:10.68]  on true but you got to realize that
[23:14.76]  salespeople are busy and it's just
[23:16.17]  they're not gonna be good at it they're
[23:17.43]  just not it's just so if you have an
[23:19.77]  inbound STR team again you might call
[23:22.32]  them Mr R's market response reps it
[23:24.39]  doesn't matter what you call them it's
[23:25.53]  the junior salespeople who are dedicated
[23:27.21]  to responding to inbound leads whether
[23:28.95]  they're in website chats whether they're
[23:31.53]  down whatever they are okay that's how
[23:34.44]  you ensure great follow-up and that's
[23:35.76]  how you ensure that bridge from web from
[23:37.92]  marketing leads to sales is solid
[23:40.70]  whether they sit under marketing whether
[23:44.01]  they sit under sales really the most
[23:45.78]  important thing isn't the function it's
[23:47.61]  which leader will be more passionate and
[23:49.86]  dedicated to making them work well
[23:51.14]  that's how you know where they go the
[23:55.38]  second one a one revenue leader this
[23:57.00]  speaks both languages and finally I know
[23:59.13]  they this kind of stuff actually I mean
[24:00.96]  there's probably a bunch of you here
[24:01.92]  that don't have a sales and marketing
[24:04.14]  leader you're just there like both you
[24:06.48]  so I get that this is a good problem to
[24:09.72]  have once you actually have a dedicated
[24:11.22]  sales person I mean a sales leader and
[24:12.78]  marketing leader something like I wish I
[24:14.40]  even had that I'm just it's just me but
[24:16.74]  ultimately you need one leader who
[24:18.99]  speaks both languages and hears when
[24:20.37]  people go wrong when there's a VP of
[24:24.72]  Sales and VP marketing and the CEO right
[24:28.43]  the revenue leader is the CEO they need
[24:33.99]  to work the more time in to make sure
[24:36.48]  that marketing and sales are synched
[24:38.71]  there's usually too much delegation like
[24:40.51]  Oh marketing will do their thing as
[24:42.07]  sales to do their thing no they need to
[24:43.51]  be more hands-on it's more common now to
[24:45.64]  have a CRO or a VP of Marketing we have
[24:48.25]  a beep sorry VP of Revenue we have a VP
[24:50.65]  of Revenue I mean it was great
[24:52.75]  we were hoping she could come down here
[24:54.13]  for Davis she's at Burning Man
[24:55.99]  so you know what are you gonna do
[24:57.84]  although I guess nowadays she should be
[24:59.89]  able to dial in right but you need that
[25:02.20]  who's that one revenue leader who
[25:03.52]  ultimately will be in charge not
[25:05.65]  responsible just for the revenue but
[25:07.27]  also that the thing that the two groups
[25:08.80]  are synched and that's what's usually
[25:10.48]  missing we don't have a CRO or VP of
[25:13.09]  Revenue be PR and the last one again we
[25:17.28]  emphasized in the book is marketing
[25:20.86]  needs some kind of lead commit so the
[25:24.07]  further along towards revenue the better
[25:25.69]  again there's gonna be a lot of shades
[25:27.49]  gray depending on how advanced or mature
[25:29.68]  you are as a company in your metrics but
[25:31.75]  typically rather than m ql s or new
[25:34.00]  leads at least try to get to n sales
[25:36.64]  qualified leads sql's there's so many
[25:39.28]  terms ok s al sales except it basically
[25:41.56]  is the point where the lead gets into
[25:43.54]  the hands of a salesperson and they
[25:45.07]  accept it whatever you call that FBI CIA
[25:48.22]  ATL a AA and QL is just not far enough
[25:52.60]  along if all you can do is measure MQL
[25:55.57]  where you start there just measure SQL s
[26:00.10]  it is harder because you have to have
[26:01.75]  consistent definitions on what is in SQL
[26:04.09]  are people actually logging things in
[26:06.88]  their CRM according to that definition
[26:08.23]  right so it's kind of a forcing function
[26:09.82]  to clean up your act as well to get to
[26:12.34]  the point where you have a trustworthy
[26:13.42]  metric because that's what that's where
[26:15.85]  marketing and sales they agree right
[26:18.30]  mark sales wants sql's anything earlier
[26:22.57]  than that it's kind of it doesn't really
[26:24.40]  serve them so yes it's a waste of
[26:27.07]  everybody's time to expect sales to do
[26:29.32]  more follow up on earlier leads it's
[26:31.24]  just is you have 1 out of 10 or 1 out of
[26:34.60]  20 or some rare unicorn salesperson that
[26:37.66]  can do everything they can do the
[26:39.01]  follow-up they can do prospecting and
[26:40.63]  they can close and ascend the other but
[26:42.25]  you can't build a team out of that so
[26:48.16]  to wrap up here to reignite growth or
[26:51.19]  I'm gonna if you don't have in the first
[26:52.54]  place
[26:53.02]  get it going that mindset how long it's
[26:57.04]  gonna take you don't know have goals but
[27:02.08]  not expectations if that makes sense any
[27:07.00]  an emotional energy wasted oh I'm not
[27:09.46]  where I need to be yet and we all feel
[27:11.41]  that to some extent that's a waste okay
[27:13.78]  where are you what's next and with sales
[27:16.57]  if you can add more roles that usually
[27:18.91]  helps so again the most common I thought
[27:22.87]  I saw a report by bridge group that 75%
[27:25.12]  of SC rbdr teams those STRs do both they
[27:30.67]  juggle both inbound lead qualification
