Title     : Justin Kan + Jason Lemkin:  "Things VCs Say ..."
Video ID  : LbGCx34CldQ
[03:04.42]  strapping a camera to my head and like
[03:06.19]  creating our own live reality show which
[03:08.44]  is not really a business actually today
[03:10.24]  it is it was edgy but we just went and
[03:14.59]  hit up all our friends who had investors
[03:15.88]  who had real companies and asked them
[03:17.41]  but for interest the founder is our
[03:18.88]  first round yeah so I guess one learning
[03:21.61]  is you're probably one or two degrees
[03:22.96]  away from an investor but you might not
[03:25.15]  be one or two degrees away from Marc
[03:26.56]  Andreessen right do you have you ever
[03:28.42]  invested off a cold email let's have
[03:29.95]  anyone ever written you an email Justin
[03:31.51]  and you've written a check I think one
[03:34.12]  time one time yeah well is it a good
[03:36.13]  email so if you want to write a cold
[03:38.59]  email you just got to make it super
[03:39.85]  short very concise don't like include
[03:43.12]  too much information just like you know
[03:46.41]  basically why you're compelling like
[03:48.91]  what what what you're doing while you're
[03:50.38]  compelling and what a specific ask in
[03:52.96]  like five sentences yes all right so
[03:54.91]  make it well and make it a sales email
[03:57.04]  yeah you just can I get coffee with you
[03:59.74]  no no you need a specific a specific ask
[04:02.77]  ok derivative question and then let's
[04:05.62]  move on to the next one
[04:06.55]  so warm intros you think help a lot but
[04:08.65]  do you read them if some have a founder
[04:10.72]  sends you an email that's a really good
[04:12.31]  email whether you'd invest or not will
[04:13.48]  you read it open it yeah so that's the
[04:15.79]  real insight as people will most
[04:17.74]  investors just even accept the most
[04:21.19]  highest velocity measures most investors
[04:22.81]  make a few investments per year you've
[04:24.22]  made 200 but you had the benefit the
[04:25.87]  average institutional investor will make
[04:27.16]  through to
[04:27.67]  or three so if you send them a crummy
[04:30.91]  email it's not going to work is it but
[04:33.04]  if it's the world's best email and they
[04:35.83]  haven't done a couple deals this year
[04:37.09]  there's a chance they're at least gonna
[04:38.41]  read it isn't it yeah absolutely yes for
[04:40.87]  me for what it's worth I'm earlier in my
[04:43.54]  investing career than Justin and won't
[04:45.13]  be successful but two of the unicorns
[04:47.05]  I've done were from cold emails really
[04:49.15]  and yeah I don't have them here but I
[04:51.46]  will tell you I'll post them online they
[04:53.83]  were app and awesome yeah okay when I
[04:55.96]  open this email my jaw dropped and if I
[04:57.79]  showed you these two emails you invest -
[04:59.65]  right here's my revenue here's my growth
[05:01.69]  here's my logos here's what I've done
[05:03.76]  here's a screenshot of all my revenue
[05:05.47]  growth but you don't have to open it
[05:06.55]  here's what Dropbox said about us here's
[05:08.59]  what Fitbit about said about us
[05:10.03]  I love sass - I write everything you
[05:11.71]  read here's my favorite article so I
[05:13.06]  know you do have any time to meet that's
[05:15.01]  great yeah so I can all write an email
[05:17.86]  like that right but they work right so
[05:20.16]  all right another one which there's just
[05:24.97]  a lot on the internet today but it's
[05:26.65]  worth chatting for a few minutes as you
[05:28.03]  see a lot of advice today about don't
[05:29.47]  giving up control in it it may seem like
[05:31.48]  it's hard to raise money today but for
[05:33.10]  us old-timers this is the best of times
[05:34.84]  isn't it has it ever been any better
[05:36.43]  this is the best time to raise money
[05:37.54]  ever in human beings evolved yeah
[05:42.70]  and so as if you're it's look at the
[05:45.91]  downside is there's so many startups
[05:47.32]  today it's hard to get attention right
[05:48.61]  but if you're reasonably hot you're
[05:50.11]  hotter than ever right so the advice you
[05:52.09]  hear is don't give up control split it
[05:54.28]  up get for investors in your round right
[05:56.29]  get 20 maximize everything and and
[05:59.38]  control your destiny what you're
[06:00.88]  learning on this
[06:02.35]  well you I think there's people you know
[06:05.56]  you're optimizing for the short term
[06:06.64]  when that happens right so I had this
[06:08.20]  company called exec we raise three and a
[06:10.00]  half million dollar seed round company
[06:11.71]  did not work super good we ended up like
[06:13.27]  aqua hiring it right and the problem was
[06:16.15]  like in that two year period when we're
[06:17.50]  working on the company we had no board
[06:18.82]  right we we there was no no one to
[06:20.77]  report to no one who really was holding
[06:22.72]  me accountable and saying hey your
[06:24.31]  numbers are not good enough yes you are
[06:26.86]  [ __ ] things up and so without getting
[06:29.89]  that direct you know no one there was
[06:31.57]  this massive party round or no one
[06:32.95]  really cared that much and while I
[06:36.16]  thought I was like doing good at when we
[06:37.69]  raised around like actually I think it
[06:39.16]  was
[06:39.47]  wait to our detriment and what was for
[06:41.66]  to help folks so you raised three you
[06:42.98]  leveraged you leveraged your your CV to
[06:45.26]  raise three and half million you know
[06:46.76]  what was the largest check about three
[06:48.53]  and half million was half of it Oh ha so
[06:50.24]  you had someone that had skin in the
[06:51.35]  game yes but we they didn't I kind of
[06:53.53]  negotiated there was like no control no
[06:56.12]  control so there's no reporting
[06:57.50]  requirement or anything like that I
[06:59.03]  didn't like have a board so that's so
[07:01.04]  let's just deconstruct that for a minute
[07:02.33]  provoked so that's so important even
[07:03.68]  though someone wrote a significant check
[07:05.63]  and how big was that fun so they gave
[07:07.13]  you a million something how big was the
[07:08.36]  fund it was like thirty five million
[07:10.79]  dollars at the time so they put a lot in
[07:12.41]  you know they had no control no
[07:14.47]  completely disconnected from any
[07:17.24]  engagement with the company yeah I think
[07:18.98]  I like raise the money in the next
[07:20.36]  meeting I had was like it's not working
[07:23.03]  we're shutting things down which I don't
[07:26.72]  recommend I don't recommend so that's
[07:28.97]  the sub question will anyone care enough
[07:30.50]  you're learning is now yeah no one will
[07:32.09]  you know no one care the converse
[07:34.16]  example actually which we're talking
[07:36.17]  about backstage is that with with
[07:38.66]  justin.tv which is the company that
[07:39.92]  turned into twitch we raised a two
[07:41.36]  million dollar series a which that was a
[07:43.13]  series day back then yes I'll be - today
[07:45.56]  yeah see that's like your precede
[07:47.51]  appreciate yeah precede this so here's a
[07:49.46]  two million dollar price around from all
[07:51.23]  stop Louie partners and then when we
[07:54.59]  couldn't raise a B the next year and
[07:56.24]  everyone said no they stepped up and
[07:58.25]  gave us both a valuation bump but put in
[08:00.05]  another let around those four million
[08:02.39]  dollars yeah so you know they did care
[08:04.67]  they cared yeah right
[08:05.96]  well they care just because there are
[08:07.16]  nice people or did they care because the
[08:09.05]  nature the investment made them care
[08:10.46]  yeah I mean I think they just didn't
[08:12.11]  want to you know they they saw enough
[08:14.36]  promise that they just you know didn't
[08:15.89]  want to write the whole thing off yeah
[08:17.42]  so when when and the learning here for
[08:20.24]  folks is when you split something up to
[08:22.13]  fine or even if you don't split up to
[08:23.72]  fine but you you give no information to
[08:26.00]  anything professional investors will not
[08:28.55]  take it seriously every investor has
[08:30.56]  investments that are either material or
[08:32.18]  material and they'll make bets and
[08:34.07]  they'll put chips in you know but if
[08:35.63]  they don't have enough skin in the game
[08:36.59]  the odds they're gonna write another
[08:38.24]  check or even care or low they've
[08:39.86]  already written it off as may not may
[08:42.05]  not may not have positive ROI they don't
[08:44.06]  know rightly yeah so would you rather
[08:46.64]  give up a little bit of control like
[08:48.20]  with with justin.tv and twitch which was
[08:52.13]  a billion [ __ ]
[08:53.25]  or not give up any control what you
[08:55.32]  learn at atrium how did you synthesize
[08:56.61]  those learnings with atrium cuz you've
[08:57.99]  raised a few nickels at eight how much
[08:58.95]  agrees at age seventy five million but
[09:00.27]  all right so you've been able to combine
[09:01.35]  these two learnings together right yeah
[09:03.57]  so with atrium it's like I want to show
[09:05.37]  up and report to someone and I want you
[09:06.93]  know on our board we have Nico from GC
[09:09.42]  and Marc Andreessen yeah and andrew from
[09:12.08]  injuries and Horowitz and Michael from Y
[09:14.34]  Combinator so there's a set of Paul for
[09:15.90]  yeah they're coming every six to eight
[09:17.91]  weeks to hold you accountable every
[09:19.29]  every quarter Oh every quarter late
[09:21.12]  every quarter I'm gonna show up and be
[09:22.38]  like this is what we did and I don't
[09:24.06]  want to look like a dumbass in front of
[09:25.74]  those people
[09:26.16]  yes that's my motivation so yeah it's
[09:30.48]  it's it's good it's good to have like a
[09:32.16]  brain trust that you actually want to
[09:33.36]  want their feedback from you people you
[09:35.28]  want to see yeah related to that for
[09:37.65]  folks the idea that just never talking
[09:39.18]  about backstage on this as a tip this
[09:41.13]  really works we both agreed if you don't
[09:44.58]  give up control if you don't happen to
[09:45.90]  have Marc Andreessen and Michael Zeebo
[09:47.52]  and all these folks and Andrew Chen on
[09:48.81]  your board have an investor meeting
[09:51.15]  anyway have a have a synthetic board
[09:52.95]  meeting every my I think you should do
[09:54.54]  it every six weeks the quarters okay for
[09:56.31]  for the billionaires and unjust ins
[09:58.50]  board but six anything longer than six
[10:00.36]  weeks
[10:00.69]  people aren't engaged enough in the
[10:02.34]  early days every six weeks try to get
[10:04.17]  your investors to meet in a room if
[10:05.76]  they're local or worst case on a zoom
[10:08.07]  and present slides every how we doing
[10:10.77]  from revenue burn rate marketing sales
[10:13.17]  take it seriously and if you do that I
[10:16.20]  find that and if you invite them person
[10:17.88]  they actually come yeah they actually
[10:19.44]  come but if you don't do it or you just
[10:20.94]  send them an email which is better than
[10:22.65]  nothing
[10:23.04]  yeah engagements so low right yeah the
[10:25.44]  engagement from an email you know you
[10:26.58]  probably send it or receive them it's
[10:28.56]  like great progress like how can I help
[10:31.71]  that's it one-line boom send it I've
[10:33.93]  been the sender of those emails I just
[10:35.58]  want to show I read it you know that's
[10:37.11]  it yeah all right one other one that
[10:39.75]  like you know a couple years ago we
[10:42.03]  barely talked about it now like it's
[10:43.74]  like 70% of like the VC articles on
[10:45.81]  TechCrunch is safes notes convertible
[10:48.87]  debt this debt that debt I want to talk
[10:51.69]  about two things just because I don't
[10:53.16]  think I think this is something that's
[10:54.36]  been written about way too much and it's
[10:55.86]  not the biggest deal in the world yeah
[10:57.42]  but like does it matter does it matter
[10:59.49]  whether you have safes or debts or a
[11:01.44]  priced round or a discounted as this is
[11:03.96]  this like the biggest issue that
[11:04.92]  founders face I
[11:06.15]  think that everybody's so obsessive
[11:07.35]  optimizing they don't they forget the
[11:09.12]  most important part is you just need the
[11:10.41]  [ __ ] money like it's like DJ Khaled
[11:14.46]  says you gotta secure the bag like
[11:16.59]  whatever is gonna her the bag ventures I
[11:19.59]  think that would be a good I good fun
[11:20.94]  right so that could be the next fund
[11:22.92]  actress aster yeah the you know you just
[11:25.89]  need the money right like it's really
[11:27.12]  important to figure out how like what is
[11:30.45]  the mechanism by what your going to be
[11:32.49]  able to get access to capital yeah
[11:34.32]  that's really the most important thing
[11:35.40]  and why on the internet do we see so
[11:38.37]  many folks advocating safes in so many
[11:40.26]  DC's railing and tweets and tweet storms
[11:43.11]  about them what's what's really going on
[11:44.76]  behind this biased advice on both sides
[11:46.88]  well I think it is good better for
[11:48.81]  founders right it is faster there's like
[11:51.06]  almost no oh do they care do the
[11:53.16]  investors care I know I don't care if I
[11:54.84]  write a safe you don't care about the
[11:56.97]  company I care about people
[11:59.01]  yeah but I don't care as an investment
[12:00.54]  yeah I don't even hold it as a real and
[12:02.49]  as a core investment if it's a safe it's
[12:04.26]  a lower line yeah because you're
[12:06.39]  probably the threshold of capital or
[12:08.25]  you're not gonna invest in a safe right
[12:11.28]  yeah is like in the millions of dollars
[12:12.54]  range you're probably not gonna put that
[12:13.98]  in a safe because it's like kind of
[12:15.69]  irresponsible for you because you have
[12:16.92]  no investor protections so you know it
[12:19.95]  is probably correlated with lack of you
[12:21.81]  know these part of party rounds where
[12:23.19]  you're not gonna have any accountability
[12:24.57]  and that can work in certain
[12:26.19]  circumstances if you are just really
[12:27.87]  self-motivated really good at holding
[12:29.16]  yourself accountable and you figure out
[12:30.78]  how to grow until you can actually raise
[12:32.55]  that series a but if you don't create
[12:34.77]  that account you know that structure for
[12:36.69]  yourself then your could be you can be
[12:39.27]  bad that's a good let's dig in on that
[12:41.64]  for a second because that's so important
[12:43.29]  and I think this is where people take
[12:45.54]  good advice the wrong direction is if
[12:48.48]  you're gonna raise a bunch of safes and
[12:50.04]  debt and have no accountability it's
[12:53.04]  like training without a trainer
[12:54.42]  it's like journey for the NBA or
[12:55.86]  something without it I mean it can be
[12:57.12]  done right that's a good enough but how
[12:59.40]  many folks can get to the NBA without a
[13:00.99]  trainer and and what of what what
[13:04.35]  percent of the 200 see you've done I
[13:06.09]  mean you can't do this quantitatively
[13:07.38]  but how many how many would have done
[13:09.33]  have have done worse because they had no
[13:11.76]  accountability for safes they ran out of
[13:13.23]  money they weren't pushed they didn't
[13:14.79]  have anybody care they couldn't raise
[13:15.87]  another round how often do you think
[13:17.19]  that's the wrong way what's that that's
[13:19.71]  we 25-30 percent I bet yeah yeah so we
[13:23.10]  think we have this accountability but
[13:24.66]  it's hard to train yourself sometimes
[13:26.13]  yeah I think that you know the kind of
[13:27.69]  safe came out of Y Combinator and YC is
[13:29.79]  a very strong ethos it's almost like you
[13:33.00]  know VCS are out there trying
[13:35.43]  they can't kind of came from this like
[13:36.63]  early two-thousands ethos what it's like
[13:38.31]  VCS are trying to like figure out how
[13:40.11]  [ __ ] you right so like we all lived it I
[13:42.15]  get it yes so so let's like figure out
[13:44.67]  how to you know create these structures
[13:47.55]  that are much more founder friendly
[13:48.84]  which is really good but then you lost
[13:51.06]  the accountability with it yeah yeah so
[13:53.22]  last question on this because I think
[13:54.63]  especially maybe if you're not the
[13:56.97]  absolute hottest company in the world
[13:58.41]  out of YC and you read the stuff on the
[14:00.54]  internet if you find your dream investor
[14:02.25]  right if you actually have more than one
[14:03.54]  choice because if you have one choice
[14:04.68]  the options are usually fairly simple
[14:06.48]  yeah go with out or do the deal no but
[14:09.78]  if you have a choice the terms the
[14:11.73]  economics are essentially the same and
[14:13.41]  one investor that you love says I just
[14:14.97]  don't want to do safes
[14:16.11]  you know should you do the safe and
[14:18.06]  maintain that extra Internet control or
[14:20.31]  should you pick the investor that you
[14:21.45]  want to work with for decade it seems
[14:23.82]  like a leading question but it's yeah
[14:25.44]  well I would say on the internet it's
[14:27.36]  not clear what the answer is right you
[14:28.74]  you want to pick the person you want to
[14:29.94]  work with right like you want to pick
[14:31.20]  the person you think it's gonna be
[14:32.07]  helpful you want to pick the person who
[14:33.45]  you think you want to see and talk to
[14:36.27]  about your business like that's always
[14:37.89]  the world no matter how you're raising
[14:39.12]  the round
[14:39.60]  yeah all right a related one just
[14:44.76]  because again you know you you when you
[14:47.55]  did it the second time you did this
[14:48.99]  yourself split up the round right
[14:50.94]  how many investors I don't want to be
[14:53.61]  redundant so I want to I'll skip to the
[14:54.81]  next one but how many is too many how
[14:56.34]  fine when you have too many investors in
[14:58.35]  around
[14:58.88]  well you lose that accountability yeah I
[15:01.38]  think you want to have some people who
[15:02.82]  are having major stakes or gonna be on
[15:04.41]  your board we're gonna hold you
[15:05.88]  accountable we're gonna be helpful to
[15:07.05]  you we're gonna like work really hard to
[15:09.33]  help me be successful right what do you
[15:11.19]  think today just to give people some
[15:12.69]  milestones what is material it's still
[15:15.99]  it's still a number of percentage for
[15:17.31]  most investors if they're not angels
[15:18.60]  isn't it yeah it's probably like it's
[15:20.34]  gonna be about I have at least like 10%
[15:22.32]  10% how do you think I think even today
[15:26.61]  most investors less than seven you don't
[15:28.98]  mean this even today oh they'll check
[15:30.96]  out no so my worry is looking
[15:33.60]  gonna sell sixty sixty percent of your
[15:35.70]  company in the round you could probably
[15:36.81]  fit in six good I'll show up but if
[15:40.92]  you're actually want to sell less today
[15:42.72]  because your valuations higher your burn
[15:44.01]  rates lower anyone below seven to eight
[15:47.19]  even in a seed fund you know they're
[15:49.08]  gonna start to not believe they can make
[15:50.79]  enough money you know right and so they
[15:52.65]  may still have other reasons to support
[15:54.12]  you but it won't be material right so
[15:56.61]  that's I think people get a lot of if
[15:58.29]  you're hot split it out you know but you
[16:00.39]  may even if it's three hot investors
[16:02.61]  they may not have enough skin in the
[16:03.66]  game right now
[16:05.54]  okay next one I want to and then this
[16:08.85]  may shock some folks in the room because
[16:10.44]  fundraising is hard but what you see
[16:13.95]  today is like endless seeds right and
[16:15.78]  safes and notes help in the beginning
[16:17.91]  but actually being eleven years and the
[16:19.59]  bull run has helped to write because
[16:20.73]  everyone's a genius today right and I
[16:22.83]  just started investing at the end of
[16:24.09]  2013 and when I started investing I did
[16:26.85]  these things I didn't know they were
[16:27.78]  called second seeds yeah they were seen
[16:29.88]  as toxic in 2013 that was seen as a
[16:32.01]  failed startup and I just [ __ ] cleaned
[16:34.29]  up because I had no one told me I would
[16:36.72]  meet these companies they'd be doing
[16:38.22]  like a million growing fifty percent a
[16:40.02]  month and they needed another little bit
[16:41.49]  of money I'm this looks pretty good but
[16:44.52]  that was seen as a bad signal for now
[16:46.65]  it's not a bad signal at all right
[16:48.03]  Alive's five five seed rounds is it more
[16:50.67]  and more capital and it's just like
[16:52.71]  people don't dare to be the third the
[16:54.33]  third or fourth seed investor anymore do
[16:56.04]  they
[16:56.19]  yeah I don't think so there's too many
[16:57.96]  investors that want access to many so
[16:59.97]  when how much is too much if you're if
[17:02.25]  you're lucky enough to hack 2019 and can
[17:04.47]  raise as many seed rounds as you want
[17:06.39]  when is it what are the metrics or when
[17:09.60]  do you know to just stop and and maybe
[17:11.85]  raised a traditional round or take this
[17:13.68]  stuff a little bit more seriously well
[17:15.39]  the problem is I think people will think
[17:17.52]  that they they can continue to raise
[17:18.84]  these seed rounds forever on safes and
[17:21.02]  eventually we get to dollar amounts that
[17:23.10]  you just can't aggregate from kind of
[17:25.32]  random like people in Silicon Valley
[17:26.64]  anymore you know like you need to raise
[17:28.77]  ten million dollars well it's hard to
[17:30.36]  aggregate that you know and so then
[17:33.12]  you're gonna need someone who has a real
[17:34.92]  fun to step up and the problem with that
[17:37.08]  is that you know if you've done amazing
[17:40.02]  and achieve these incredible milestones
[17:42.15]  and maybe you can get someone to do that
[17:43.56]  but if you haven't done that you're
[17:44.82]  somewhere in between
[17:46.90]  you know the valuation metrics might not
[17:49.33]  support a valuation that supports them
[17:50.98]  investing like that amount of money and
[17:53.65]  so they're gonna get you know a
[17:55.24]  relatively small portion of the total
[17:57.16]  invested including the the seeds and as
[17:59.89]  we talked about backstage it's like that
[18:01.75]  is like super weird to investors and
[18:04.33]  they they're just not comfortable with
[18:05.68]  it and atrium is an outlier because
[18:07.90]  you've had some success you know but use
[18:10.36]  what I think you might I think you might
[18:12.22]  how much did you raise in like your
[18:13.42]  ultra you had a lot of lot of ten
[18:15.37]  million dollars and I'm like a seed
[18:16.60]  round okay so you raise ten in your seed
[18:18.28]  which is a lot for most people but you
[18:20.44]  can you that that's for you it's not
[18:22.57]  that hard in 2018 but but then how much
[18:25.03]  did you raise after that sixty five
[18:27.43]  notes okay so my rule for what it's
[18:29.53]  worth for folks I've learned you know is
[18:31.33]  it's gotta be like and I don't know if
[18:33.43]  that ten was an equity or debt it may
[18:34.66]  not matter but my Mike if you guys raise
[18:36.61]  these endless bits of money when you
[18:38.53]  raise the real round it has to be at
[18:40.18]  least three to four times that amount
[18:41.50]  because people get spooked people get
[18:43.84]  spooked if you raised five million and I
[18:46.12]  think five million for most startups is
[18:47.44]  too much in equity though because how
[18:49.09]  the heck you gonna raise fifteen million
[18:50.26]  in your a unless you're super hot yes
[18:52.36]  you have to be doing you have to be
[18:53.53]  crushing it privately and I you've liked
[18:55.72]  limiting your options and even you and
[18:58.54]  and you know we all up still have a lot
[18:59.92]  to prove you still maintain that rule
[19:01.39]  right even though you you pushed it with
[19:03.34]  the ten million you had you still had to
[19:05.68]  do this sixty mil at 50 million next to
[19:07.51]  kind of get the ratios and Nath Nath all
[19:09.28]  work out rights right yeah so anyhow for
[19:11.62]  what it's worth it's a simple number for
[19:12.82]  me right because I see this more after
[19:14.98]  three million in seeds like just realize
[19:17.47]  you may trip a line because you may have
[19:19.18]  to raise so much money in the next round
[19:20.71]  you can't do it right now just before
[19:22.18]  you raise three even if the candies on
[19:24.52]  the table just make sure you want to
[19:25.69]  take another chocolate bar because you
[19:27.13]  you might you might regret it
[19:30.12]  okay a fun one just because things have
[19:32.38]  changed if you guys are lucky enough big
[19:35.89]  fun small check there are a you know
[19:40.18]  four or five years ago big funds just
[19:42.70]  starting to write smaller checks right
[19:44.11]  and crate seed funds but now you you
[19:46.18]  open up TechCrunch and there's like
[19:47.32]  eleven funds in the seed round right and
[19:49.36]  you see there's Sequoia and Excel and
[19:51.13]  all these folks are in the seed round
[19:52.66]  when is that good and one is it bad and
[19:55.33]  what are the issues yeah so big fun
[19:57.28]  writing a small check in you like
[19:59.09]  billion-dollar fun writing a $200,000
[20:01.49]  check that's marketing that's not an
[20:04.01]  investment they are just wanting an
[20:06.23]  option and filling their top of funnel
[20:08.09]  to see when you know you actually create
[20:10.43]  something in your company if they can
[20:11.75]  come in and do the a so you know they're
[20:14.24]  not particularly invested in what
[20:16.58]  happens ya know and what if a big fund
[20:19.55]  puts 200k into you does that increase
[20:22.28]  the odds they do the next round I think
[20:26.45]  maybe slightly and just like there's
[20:29.18]  like a comfort level with you getting to
[20:31.28]  know you as a founder so if you have a
[20:32.87]  good working relationship I think that
[20:34.28]  increases it slightly but not like it
[20:37.40]  doesn't like insure it like I think a
[20:39.11]  lot of people think oh they're gonna
[20:40.82]  guarantee do my next round but that's
[20:43.01]  definitely not the case and the flip and
[20:44.57]  then let's just do through three things
[20:46.31]  if you if you guys are do get these
[20:47.93]  great options when the partners at the
[20:50.09]  billion-dollar firms meet on Monday
[20:51.62]  afternoons do they talk about the 200k
[20:53.39]  checks well I've never been there but I
[20:56.06]  don't think so I don't they don't even
[21:00.17]  know there's actually a lot of times
[21:01.34]  they don't even know yeah they don't
[21:02.72]  look the small checks and they don't
[21:03.80]  know that they're an investor they don't
[21:05.12]  know they're done no one knows they're
[21:06.26]  even the partner that did it maybe it
[21:07.85]  was a scout or someone they don't even
[21:08.99]  know that they're an investment in that
[21:10.01]  entity right so but I don't want to talk
[21:14.51]  about signally next but I want but there
[21:16.46]  is one point just if you do have this
[21:17.93]  option that you brought about backstage
[21:19.10]  brands do matter
[21:20.42]  yeah and we're in fact in b2b we're all
[21:22.76]  trying to build brands right atrium has
[21:24.62]  a brand now it didn't have a brand when
[21:27.02]  you started but you do have a brand new
[21:28.22]  today don't you
[21:28.85]  yeah and you get clients and customers
[21:31.31]  and subscribers from your brand don't
[21:33.77]  you absolutely so brands matter yeah and
[21:35.75]  if you get a Sequoia or Excel early it
[21:39.53]  does help it can be helpful to you not
[21:41.24]  from a financial like fundraising in the
[21:43.49]  future standpoint but definitely from a
[21:45.49]  you know and with employees and
[21:47.63]  customers and I do think that brand
[21:49.22]  helps brand helped right all right and
[21:51.41]  then the last one just because we read
[21:53.21]  this on the internet signaling and
[21:55.61]  signaling is like actually if you raise
[21:57.44]  a bunch of rounds over your life you'll
[21:59.21]  rise this is a nuanced issue that does
[22:00.74]  matter because everyone's a signal right
[22:02.72]  I me a poor brand is a signal of poor
[22:05.09]  quality a high brand is a signal of high
[22:07.34]  quality because there's only so much
[22:08.72]  data in the world you know but the
[22:10.28]  classic thing you read on the Internet
[22:11.63]  of
[22:12.00]  risk is a really great fund puts in a
[22:14.97]  marketing check and they don't write the
[22:17.25]  next round and that freaks people out
[22:19.59]  because hey if Sequoia loved you enough
[22:21.60]  to invest why aren't they leading the a
[22:23.64]  so your thoughts that's less of an issue
[22:25.86]  in 2019 than the old days I definitely
[22:27.78]  think it's gone down because everybody's
[22:29.31]  out there writing checks at all these
[22:30.60]  different stages you know you have
[22:31.89]  angels participating in later stage
[22:33.81]  rounds I'm going into notion that a
[22:35.55]  decree and you've got you've got these
[22:39.15]  you know billion dollar funds already
[22:40.47]  these marketing checks or whatever but I
[22:43.02]  like the way you put it last backstage
[22:44.91]  which is like it cannot help you right
[22:46.95]  if they don't invest in your a and they
[22:50.25]  wrote a check in the seed round there's
[22:51.39]  no way that helps you right yeah it can
[22:53.46]  only be bad for what it's worth when I
[22:55.17]  do it Jack because I take a lot of risk
[22:56.94]  like I if I only have if I have a 60
[23:00.27]  million dollar core fund and I write
[23:01.65]  four million like that can't fail can do
[23:03.72]  I mean it's risky so I just scan the cap
[23:06.06]  table and if I see these names and
[23:08.52]  they're not contributing and I don't you
[23:11.01]  we don't really care what other people
[23:12.36]  think doing yeah I mean only a little
[23:13.74]  bit but I still get concerned you know
[23:15.33]  when I see a brand name below the line
[23:17.16]  and they're not engaged and I like the
[23:19.53]  numbers I think something's wrong here
