Title     : Bootstrapping vs  Fundraising
Video ID  : 8VR6aBkers8
[04:14.43]  about house let me let me just like
[04:16.17]  plain English this thing because I think
[04:17.31]  it's freaking insane so you basically
[04:20.49]  have 300 million plus people out there
[04:23.28]  and every time they move
[04:25.08]  every time they do anything as long as
[04:27.12]  one of the apps on their phone touches
[04:28.86]  something that's been developed by
[04:30.45]  mapbox whether that's snapchat which a
[04:32.40]  few people have on their phone or a
[04:34.05]  Weather Channel or instacart or any
[04:36.96]  other app out there they are feeding
[04:40.29]  back data to you and the developers
[04:42.42]  actually pay you to use their soft
[04:44.37]  your-your-your api's and then not only
[04:47.37]  that but then you can build massive
[04:49.35]  massive amounts of data that you can
[04:50.82]  visualize and license and allow people
[04:52.92]  to really understand what corner should
[04:55.20]  I put my store on how fast should I be
[04:58.17]  setting the car for automatic driving
[05:00.06]  you did a deal I think with one of the
[05:01.68]  big car companies it's insane
[05:04.62]  so just just to think about what what I
[05:06.66]  got really excited about and the reason
[05:08.43]  we've gone from bootstrap fundraising I
[05:10.74]  think is that the number one most
[05:14.10]  important horizontal technology in the
[05:15.99]  world is where are you yep where are you
[05:18.15]  and you know where people are at all
[05:21.45]  times and you know how to aggregate that
[05:23.61]  at scale to drive commercial value out
[05:26.10]  of every vertical and most importantly I
[05:28.14]  don't know who any of those people don't
[05:30.06]  know who they are but we know where is
[05:31.29]  the brilliance of it right because like
[05:32.70]  you know designing a system that's
[05:35.46]  private by default so we don't even
[05:37.41]  require any developers to give us data
[05:39.15]  you're only streaming data to us when
[05:41.58]  you're T that developer is touching the
[05:43.56]  location antennas so we have a totally
[05:45.33]  battery neutral footprint on the app so
[05:48.48]  it's it's look when you when you're
[05:50.61]  working when you're when you're doing a
[05:52.35]  true business to developer deal you need
[05:55.65]  to be giving somebody more than you're
[05:57.60]  getting back and in our case the map
[06:00.66]  literally is updating for the users
[06:03.02]  where the users are and to be able to
[06:06.69]  just stream that kind of live data back
[06:08.61]  developers frickin love it so when I
[06:10.86]  looked out there we had Google who will
[06:13.47]  not give you the layers because their
[06:15.66]  Google Maps and they want to use it for
[06:16.89]  their own purposes Amazon doesn't have a
[06:19.95]  mapping platform today most of the folks
[06:22.50]  and your very large in China don't have
[06:23.91]  mapping platforms Facebook doesn't have
[06:26.46]  a mapping platform snapchat didn't have
[06:28.35]  a mapping Twitter I mean you all have
[06:30.54]  the only independent map platform in the
[06:32.31]  world so there makes a banker very
[06:34.41]  excited there right there are just
[06:37.02]  saying there are three
[06:38.82]  full global data sets in the world you
[06:41.16]  met you mentioned Google and Google is
[06:42.48]  just gorgeous gorgeous set of data
[06:45.36]  amazing team good API so it's very easy
[06:48.57]  to put a Google map in your app but like
[06:52.92]  you said it's Google's map and Google is
[06:56.76]  investing so much on the mapping side
[06:58.23]  because was I think it was Morgan
[07:00.39]  Stanley that did the report yeah right
[07:02.67]  yeah 18 months ago saying that Google is
[07:06.99]  doing 1.5 billion in ad revenue on top
[07:11.52]  of the map and they're estimating it's
[07:13.26]  gonna be 2.2 billion this year just for
[07:16.80]  ads on the map
[07:17.85]  here's what's crazy this - they share
[07:21.59]  30% of searches on Google Maps like the
[07:25.23]  app you go there - those physical
[07:28.38]  brick-and-mortar locations in 24 hours
[07:31.02]  30% of every search is actually getting
[07:34.05]  it so the people that brought you click
[07:35.40]  through ad like certified somebody
[07:38.07]  actually saw this ad all right now
[07:39.54]  watching you get all the way up to the
[07:41.67]  door it's um and it just shows how
[07:44.07]  fundamental I want to now give that
[07:45.81]  power to every other company out there
[07:48.33]  and that level of flexibility so if you
[07:50.64]  walk away with one thing recognize that
[07:53.13]  mapping is a horizontal force in the
[07:55.41]  world is one of the most powerful forces
[07:58.35]  if you walk away with two things from
[08:00.45]  this panel walk away that map box is
[08:03.24]  really one of only three independent
[08:05.34]  people or people in the world who have
[08:07.41]  this information and every second of the
[08:10.02]  day you become more valuable with 300
[08:12.09]  million probes out there every second
[08:13.77]  that you don't pay for because you give
[08:15.06]  value to developers if you walk away
[08:16.83]  with three things I think we should do
[08:18.93]  bootstrapping versus fundraising because
[08:20.46]  that's why people came right so let's
[08:22.92]  start with the bootstrapping all right
[08:26.07]  thank you okay
[08:27.42]  real quick just kiss your hands how many
[08:29.43]  how many people are bootstrapping right
[08:31.38]  now alright awesome how many people are
[08:35.16]  fundraising okay do chai from Horsley
[08:38.13]  bridges right okay great
[08:40.92]  so first yes it really does feel this
[08:47.04]  hard and it's it's pretty it's pretty
[08:50.04]  crazy so can you walk through can you
[08:52.44]  start at the beginning and I want you to
[08:53.97]  tell your Afghanistan story but I think
[08:57.24]  you're in Washington DC
[08:59.13]  you're like a government contractor Wow
[09:02.22]  tell us how you bootstrap this thing
[09:03.39]  credible so meda met my co-founder while
[09:08.82]  protesting the Iraq war in front of Dick
[09:11.01]  Cheney's house and you know we graduated
[09:15.39]  from school in Washington DC and we were
[09:17.28]  just like super idealist what did your
[09:18.84]  sign say a six thousand one hundred
[09:22.65]  twenty nine mile slant-drill and it had
[09:25.56]  a giant face of Dick Cheney with a straw
[09:28.47]  and a map on that shocking over to over
[09:31.98]  to Iraq well you like the kid who pulled
[09:33.78]  out the atlas when you were a child or
[09:35.52]  like Rand McNally was like where you
[09:37.29]  wanted to go visit on vacation or
[09:38.94]  there's some dorky pictures there was
[09:41.73]  like a circle so we we were just we were
[09:47.61]  total idealist we my background was
[09:50.82]  international development and economics
[09:52.71]  and you know I got out of school and I
[09:55.86]  just wanted to go work and you next
[09:57.18]  thing you know you're sitting you're
[09:58.08]  sitting across the table from folks
[10:00.06]  whether it's World Bank UN US aid state
[10:02.58]  and this is before map box yeah you were
[10:06.12]  we started started a company called
[10:08.34]  development state which was doing
[10:09.84]  literally partnering with these with
[10:12.96]  these agencies to help them be more
[10:14.58]  data-driven so my frustration graduating
[10:17.40]  was it was just a bunch of really a
[10:19.59]  bunch of old men sitting across the
[10:22.23]  table just making decisions from their
[10:24.45]  from their gut not using any data is
[10:26.70]  like well we you want to deploy these
[10:28.26]  clinics how about we actually show these
[10:29.79]  clinics aligned with population centers
[10:31.50]  and be able to show where the spread
[10:33.48]  malaria is and actually put that in your
[10:35.19]  hand right it's not like we're you know
[10:36.84]  we were there only people you know doing
[10:38.73]  geo data and making maps but all the
[10:42.03]  maps at the time they were like big PDFs
[10:43.71]  you could explore that so bit by bit did
[10:47.58]  you say the same vision that drives you
[10:49.11]  today back then did you think what I was
[10:51.03]  just pissed off I needed better tools to
[10:52.41]  do my job yeah like that was it like so
[10:55.11]  we're every project I would take all the
[10:56.73]  money from the project and funnel it
[10:58.80]  back into the product so literally
[11:01.59]  bought map box in the domain name in
[11:04.55]  2008
[11:05.97]  and we didn't take any outside funding
[11:08.16]  until 2014 2013 we just we just
[11:12.24]  methodically so they're couple huge wins
[11:15.15]  now obviously the you now it's a great
[11:17.85]  story to tell because a nobody out here
[11:20.22]  doesn't be that the cap table is awesome
[11:22.71]  but it was horrible right cuz you're
[11:25.41]  trying to do two things that were not
[11:27.54]  raise money cuz no one wanted to give
[11:28.92]  you money
[11:29.31]  so being East Coast is fascinating I
[11:31.50]  really did not know how it worked I
[11:33.68]  happen to have a friend George who's out
[11:37.62]  here in the valley George William threw
[11:39.24]  me in back of his Prius and literally
[11:42.33]  drove me up and down Sand Hill Road to
[11:44.22]  get everybody to say no do it we got
[11:47.34]  lucky oh by the way so the most
[11:48.75]  important thing is obviously timing
[11:50.40]  right you go team product culture timing
[11:56.40]  timing timing I call it the culture
[11:58.86]  stuff gets gets sorted routine and
[12:00.87]  timing it's crazy so we we were heads
[12:05.52]  down we're actually against taking VC we
[12:08.64]  had seen some we'd seen money flow into
[12:11.00]  smaller companies on the East Coast so
[12:13.53]  we're doing open source projects and we
[12:15.00]  really thought it tainted their approach
[12:16.32]  they stop being so Pro developer you can
[12:20.01]  imagine why we went with founder group
[12:21.36]  in Colorado just like having that
[12:23.58]  technical background oh also being in
[12:25.98]  Washington DC surfaces was really far
[12:27.60]  away and you actually think everybody
[12:30.57]  out here knows technology so when I
[12:33.63]  first came out I was like holy [ __ ] most
[12:35.82]  of these VCS have no you know no idea in
[12:38.43]  regards to so it was a there was a bit
[12:42.00]  of a there's a bit of a learning curve
[12:45.71]  so there's a bit of a learning curve on
[12:47.91]  how how we figured a figured this out
[12:50.40]  but so he took every every dollar back
[12:52.77]  in and just kept kept jamming on it so
[12:55.53]  we built this it was like Photoshop for
[12:57.21]  maps because we needed to work with data
[12:59.58]  internally so if you're taking a big set
[13:01.17]  of data and trying to make it efficient
[13:02.22]  you you want people to be able to touch
[13:03.84]  it zoom in on it have this level of
[13:05.04]  interactivity and there just weren't
[13:06.45]  tool shed
[13:07.05]  so we build that for ourselves and then
[13:08.34]  open it up we had no idea how to make
[13:09.96]  what time frame we talking about her
[13:11.07]  this is 2010 the very first matte box
[13:15.87]  map ever shown
[13:17.55]  is from the Afghanistan elections so my
[13:21.33]  first time into Kabul in 2009 was for
[13:23.43]  the presidential and you know I landed
[13:26.28]  and on the map there's there's literally
[13:28.98]  ring-road and Jalalabad Road coming up
[13:31.08]  from down south and it's it the cities
[13:33.18]  and intersection were you raising money
[13:34.35]  there so we are married we are we the
[13:38.49]  election had happened a couple days
[13:39.60]  earlier and there's just you know 2500
[13:41.52]  page PDF and note and they're starting
[13:44.28]  to become rumors that there was some
[13:45.54]  election fraud and our job was to take
[13:48.12]  that PDF and put it in context and guess
[13:51.72]  what a map lets you do that so I got to
[13:54.63]  go into the archives early on pull some
[13:56.70]  of the very first half a census that was
[13:58.44]  completed in 79 digitize a bunch of old
[14:00.63]  Russian Maps Landsat and Modi's data
[14:03.99]  from NASA we actually showed we
[14:06.68]  estimated where the snow lines would be
[14:08.55]  if there was a runoff in November and
[14:10.77]  who would be disenfranchised had these
[14:12.51]  cool ethnic under layers basically where
[14:17.34]  you could see the overlay the the votes
[14:19.14]  on top it was um I mean many ways this
[14:21.84]  was like mapping 101 but ambassador
[14:25.68]  Eikenberry is looking at our maps and
[14:27.18]  best of all they opened the application
[14:30.12]  up at the end like once the runoff was
[14:32.25]  off and there ever are the world's first
[14:35.58]  time hearing about map box was by Tim
[14:37.14]  berners-lee at Ted in February 2010
[14:40.59]  where they actually showed the open data
[14:41.88]  site so that was that was lucky point
[14:44.61]  number one that so many people started
[14:48.27]  getting it that we got more contracts
[14:50.61]  and because we built the tools we were
[14:52.68]  more efficient so I basically firm fixed
[14:54.48]  price to everything and those so one I
[14:57.03]  didn't like working hourly because then
[14:59.04]  people could tell me what to do and two
[15:00.72]  I wanted to make higher margins so I
[15:02.73]  plowed all the margins back into back
[15:04.86]  into the tech oh my god this got
[15:07.32]  unsustainable one we we never missed
[15:10.68]  payroll but we came damn close a couple
[15:15.60]  a couple times and I mean within two
[15:18.99]  hours once and when you're only working
[15:20.99]  hey you all your friends are the people
[15:24.09]  you end up working with and to visualize
[15:26.69]  what it's like to not be able to pay
[15:30.43]  people and the families yeah messes you
[15:33.49]  up a little but it is your business
[15:37.24]  model like so you obviously changed your
[15:40.15]  business model you sort of work with
[15:41.32]  developers who started charging the
[15:42.79]  license and then you now do a bunch of
[15:44.74]  other services but how hard was it to
[15:46.66]  shift your model and get paid you I
[15:49.18]  guess the question is do you think you
[15:50.89]  get paid for the value you create and
[15:52.87]  how do you determine when to do that
[15:55.45]  yeah so they know we don't get paid for
[15:57.28]  the value we create it's much more like
[15:59.55]  so you know when a developer goes out
[16:01.69]  and is gonna build something they're
[16:02.86]  gonna go get a cloud provider like
[16:04.21]  Amazon or you're gonna use payments
[16:06.31]  might you stripe or gonna use
[16:07.99]  notifications Twilio but if you're gonna
[16:09.70]  use a location 2 you're gonna you're
[16:11.14]  gonna pick us the nice part is you can
[16:13.15]  pick any kind of piece maybe you want a
[16:15.28]  visual map maybe you only want these
[16:16.45]  layers maybe you want to be able to
[16:17.47]  upload your own drone data or upload
[16:19.21]  your own imagery into it maybe you just
[16:20.35]  want the satellite map or maybe you just
[16:21.73]  want search happening maybe you only
[16:23.11]  want place search yeah you want
[16:25.33]  directions you want directions with
[16:26.50]  traffic and then you want to be able to
[16:27.70]  store those routes yet so it's we you
[16:30.43]  know we talk about internally like Lego
[16:32.02]  well the cool put the way we were able
[16:34.33]  to bootstrap because we need this stuff
[16:35.68]  for ourselves I needed one of those Lego
[16:38.05]  blocks on different projects and then
[16:40.60]  over time we just always had this
[16:42.63]  philosophy as a team solve root problems
[16:45.79]  mm-hmm and that just you go lower and
[16:48.55]  lower and lower down in the stack and
[16:50.44]  you end up building a product and the
[16:52.66]  product came out from consulting and the
[16:54.67]  good news about consulting is you stay
[16:56.17]  close enough to your customer so you
[16:57.55]  really know what's needed and you know I
[16:59.74]  was the only sales person at the company
[17:01.30]  for awhile you're you're basically doing
[17:03.85]  product development and sales at the
[17:05.95]  same time so you decide to raise money
[17:08.14]  you move out here you have a couple
[17:11.05]  children in between like walk us through
[17:13.87]  that period when did you decide to take
[17:16.00]  money so we grew it yeah so we grew it
[17:18.73]  to 35 people profitably we had already
[17:21.73]  had you know Foursquare USA Today just a
[17:25.18]  ton of other we had like an mid NASCAR
[17:27.34]  slot
[17:27.88]  I loved it yeah hey 20 million 20
[17:33.19]  million views on election night New York
[17:34.57]  Times was down for 15 minutes and Wall
[17:37.36]  Street Journal half the map didn't load
[17:38.80]  and our stuff stayed up it was but it
[17:41.56]  was little winds like that I mean you
[17:43.03]  look
[17:43.38]  out on it and you're just like oh my god
[17:45.72]  I can't believe that you know I just put
[17:48.39]  enough of these little things together
[17:49.98]  to finally create that so it was uh it
[17:54.30]  was 2014 and the team was so spread thin
[17:58.29]  and it was like there is no way we can
[18:00.12]  continue to do this you basically you
[18:01.77]  get to this no you can't go back mode
[18:03.96]  where the team so big you can't go back
[18:05.58]  to consulting you built this thing out
[18:06.90]  and you're you're running such tight but
[18:10.08]  often known as I was either two or three
[18:12.96]  weeks up on the bank account or two
[18:15.48]  months down on the bank account
[18:16.89]  depending on where the line of credit
[18:18.03]  was standing at the time I help you at
[18:21.09]  all
[18:21.36]  oh don't even get me started on this one
[18:23.73]  I'm not going to actually because I work
[18:25.98]  at one and I don't wanna get started
[18:27.18]  but 2009 so the very first repository
[18:31.02]  code repository format box has a
[18:33.27]  timestamp on November 22nd 2008 which
[18:40.86]  means that was seven weeks after Lehman
[18:42.75]  right mm-hmm yes and it's just like
[18:46.14]  guess guess what happened
[18:47.88]  six months later all of our lines of
[18:49.77]  credit were called mmm I'm so cool [ __ ]
[18:51.54]  I was just gonna use him now right so no
[18:54.48]  some it was there just every every year
[18:58.11]  we got it was it was hard here's where
[19:00.93]  we started getting super lucky ways got
[19:04.29]  bought in July 2013 and all the chatter
[19:09.39]  of ways going for my quarter billion to
[19:12.84]  1/2 billion and the rumors of like a
[19:15.09]  price war happening we're happening all
[19:16.89]  that spring as a really good time to go
[19:19.92]  raise because you know one thing is for
[19:22.92]  sure people people do on one hand
[19:26.70]  investors love the idea that you could
[19:28.89]  go up against a giant nobody wants to
[19:31.71]  invest in you if you're competing
[19:33.12]  against Google it's just like now it was
[19:36.12]  kind of like alright look your ears that
[19:37.62]  Google isn't Amazon today or is that
[19:39.42]  still Google yeah it's it's it's a good
[19:43.02]  question I mean I think we you were
[19:45.15]  talking about this a couple of couple of
[19:46.95]  weeks ago just a consolidation in the
[19:48.42]  space I mean complexity is the new mode
[19:51.45]  and you have very you know I think it's
[19:55.23]  very hard to look at an early stage
[19:57.15]  company and believe they can stay
[19:58.17]  independent now given how you know are
[20:00.93]  you an actual company or are you a
[20:02.10]  feature yeah and you know in our
[20:04.14]  approach was where we're a platform
[20:05.97]  we're going after the entire thing not
[20:08.46]  just a software component but we own the
[20:10.05]  underlying data and we had enough logos
[20:12.57]  and it was also in the sink whoa hey
[20:14.85]  worst case I think that that year Apple
[20:18.18]  bought of their thirteen acquisitions
[20:20.01]  nine of them were geo related it was
[20:22.20]  kind of investment that was hard to hard
[20:23.79]  to mess up but they may have brought the
[20:25.35]  nine wrong ones driving the example so
[20:30.09]  Apple there's a freaking predict you
[20:33.81]  build a better map than Apple I am
[20:35.25]  guessing they spent a few shekels more
[20:37.02]  than you to build their Maps like why
[20:39.24]  did you win and why are they losing so
[20:43.23]  to be fair it's really hard Apple with
[20:46.47]  all the money in the world bought some
[20:47.88]  of the best data in the world from
[20:48.96]  TomTom in this case and it just gives
[20:52.32]  you a sense of how hard it is to do the
[20:54.30]  level of data conflation and get the
[20:56.31]  details right and honestly get the
[20:58.14]  feedback like if the the the the world
[21:00.15]  needs the world's changing constantly
[21:02.07]  and what would burn to Apple the most on
[21:04.50]  launch was being able to correct what
[21:08.13]  users saw because the stack was rigid
[21:10.68]  and were transformed into a world where
[21:13.83]  you have to update the map live that's
[21:16.20]  the expectation and that's if that's
[21:18.51]  what they missed yeah they just they
[21:20.73]  didn't they didn't they didn't own the
[21:22.35]  data if you don't own the data you don't
[21:24.57]  have control to update it you know they
[21:26.70]  the first I mean the story goes that
[21:28.67]  after launch they sit down with their
[21:31.56]  data provider they're like okay cool
[21:33.06]  here here's all the feedback and then
[21:35.22]  right we'll get working on this and give
[21:37.26]  you the update in six months I mean
[21:41.55]  that's that's what gets Tim Cook to
[21:42.99]  write a letter of apology so it's hard
[21:46.62]  so let me ask the question here because
[21:48.06]  I think no I still don't think we've
[21:49.98]  answered the promise on number three on
[21:51.72]  the bootstrapping piece but do you think
[21:54.78]  in the early stages if I think I get you
[21:56.76]  right having someone that sort of gets
[21:58.95]  it from a technical perspective and an
[22:00.90]  industry perspective is the better
[22:02.55]  investor than someone who has lots of
[22:04.20]  relationships and financial acumen if
[22:06.24]  you're if you're building a technical
[22:08.01]  product yes if you need somebody more on
[22:09.69]  the marketing side or you need someone
[22:10.92]  the consumer space I mean this this
[22:13.50]  notion that investor brings you value
[22:15.30]  can be very true but you have to be
[22:17.88]  intentional about what you're looking
[22:19.02]  for and we went out last year to raise
[22:20.64]  some money and some of these folks that
[22:23.16]  we talked to I mean I like these people
[22:24.42]  don't get me wrong but like what's gonna
[22:26.40]  happen one here and Tom Tom and all
[22:28.56]  these companies you know and they're
[22:30.18]  they're fighting you know they're
[22:31.71]  building the Maginot Line of driving
[22:33.78]  freakin cars around while you have 300
[22:35.37]  million people moving around building
[22:37.59]  your maps for free and no one got that
[22:40.50]  except for deep in the shower at
[22:42.24]  Softbank and a few other folks who lost
[22:43.92]  out but you know why did you choose to
[22:46.53]  take money from deep yeah so now we're
[22:51.27]  getting into the fundraising part yeah
[22:52.77]  yeah because that's not bootstrapping
[22:54.12]  right right it was yeah this this this
[22:57.81]  last round was was amazing so just to
[22:59.52]  give everybody context found a group in
[23:02.91]  October 2013 series a 10 million in
[23:06.41]  we're ended all we were able to triple
[23:09.09]  triple the company before meeting ran
[23:11.73]  decline at dfj growth and that was the
[23:16.05]  point where that was a magic moment
[23:17.46]  basically spent you know year and a half
[23:19.67]  redoing our platform truly getting ready
[23:22.98]  to run at mobile B as we weren't
[23:24.36]  collecting data yet we didn't get that
[23:26.10]  data pipeline going until Series B and
[23:28.44]  so Randy took a hell of a bet on us
[23:30.44]  these if we don't get the live updating
[23:32.85]  data we just warn't going to have the
[23:34.62]  data asset that you ultimately need to
[23:36.42]  have the valuation and we raised 52 and
[23:38.82]  a half million from from dfj growth that
[23:42.18]  was like that's a tractor-trailer load
[23:44.57]  yeah that's a lot and I know what I
[23:47.10]  always did was i I optimized to have
[23:51.00]  cash on hand I didn't try to optimize
[23:54.08]  valuation I let's talk about that
[23:57.30]  because this is like the bane of my
[23:58.53]  existence so you optimized for getting
[24:03.06]  the cash not for valuation first for
[24:05.13]  people I actually took a lesser term
[24:07.77]  sheet from founder group because I I
[24:10.62]  liked their team so much did you do that
[24:12.48]  in the later stage we were raising 52
[24:13.89]  and a half yeah no this is where it gets
[24:17.58]  weird so I'm not emotional about cash I
[24:19.44]  am very emotional about who I work with
[24:21.54]  okay and I was lucky enough to
[24:24.64]  get I would not have we would not with
[24:26.77]  the true with a more traditional
[24:27.61]  investor in non-technical investor
[24:29.05]  there's no way they would have let me do
[24:30.70]  some of the [ __ ] that I did for those
[24:32.47]  first early years to get to the point
[24:33.88]  where then somebody like Randi with a
[24:35.29]  CFO act acumen would actually support
[24:38.32]  and you know you hop-hop for it what you
[24:41.05]  saw while we were raising seriousiy was
[24:44.41]  it was really two different worlds now
[24:47.41]  when I sat down with with Massa in Tokyo
[24:51.60]  in in the summer and then end of the
[24:54.40]  summer we he's up here at like 50,000
[24:57.64]  feet dropping down to 5,000 feet back up
[25:00.13]  talking about like how cities are the
[25:02.08]  future of how cities are gonna be
[25:03.25]  designed the proliferation of sensors
[25:06.19]  the need for connectivity and data
[25:08.02]  everywhere on the edge in those sensors
[25:10.81]  it was it was surreal and there was a
[25:12.88]  time horizon of looking at how the world
[25:16.24]  was changing that now I I just I left I
[25:19.60]  left and always let's talk about
[25:20.65]  something so the cost lead led the team
[25:23.77]  he's on the board and then you've got
[25:25.90]  masa who's at fifty thousand five
[25:27.97]  thousand fifty thousand feet yet the
[25:29.56]  whole softly the bet the whole bench is
[25:31.12]  amazing just to be clear so I got
[25:33.43]  introduced to to Vikas so on my iPhone
[25:36.91]  the third picture of my iPhone is in the
[25:38.41]  back of my arm Erised landcruiser in
[25:40.30]  Afghanistan and there are two people in
[25:42.07]  the back somebody was working with in
[25:45.10]  the humanitarian space and this other
[25:46.36]  guy who I don't remember his name but he
[25:48.55]  introduced me to Vikas
[25:51.51]  what this summer and it was like it's
[25:54.46]  what is wild how part of its just
[25:57.22]  showing up part of his why you choose to
[25:59.68]  show up in certain environments and the
[26:01.51]  kind of creed that we had in 2009-2010
[26:04.15]  to come full circle to a kind of
[26:06.43]  thinking that I was in all with watching
[26:09.31]  the vision fund come together it was
[26:10.48]  magical so the cost Dovan and just
[26:13.30]  immediately started asking specific
[26:15.04]  questions and I really like people that
[26:16.96]  have a very fast throughput being like
[26:18.34]  wait wait why why why and it's like
[26:20.11]  you're trying to truly understand this I
[26:22.45]  really value that I met deep right off
[26:26.08]  the get-go
[26:26.50]  I mean he's an operational baller right
[26:29.35]  he took LinkedIn has had a product from
[26:31.39]  30 million to 300 million redid their
[26:33.88]  entire server architecture before then
[26:36.43]  Groo Google across Southeast Asia in new
[26:39.28]  the mapping part so you knew their
[26:40.48]  technical I'm gonna get them a t-shirt
[26:41.71]  that says baller is amazing so but
[26:44.77]  having that kind of operational
[26:46.12]  experience and then then you know you
[26:48.28]  sit across the table from Rajiv it's
[26:51.04]  just it's magical so it's like the whole
[26:53.77]  bench coming together here and look we
[26:56.56]  were we you know what you were really
[26:58.33]  helpful with was even those
[27:01.00]  conversations where I'm like hold a sec
[27:03.21]  where's a ridiculous amount of money and
[27:05.80]  then a lot of ridiculous amount of money
[27:08.53]  and that was a soft that ground and and
[27:10.15]  having that conversation
[27:11.38]  do we go to partner with somebody that I
[27:13.90]  truly see more aligned with and how the
[27:16.48]  world's changing and that I mean that
[27:18.79]  yeah I mean how many times we we said
[27:20.71]  watched a good we had a couple beers a
[27:22.62]  couple Eric loves drinking beer like me
[27:25.18]  like the macro brews wears light yeah
[27:30.93]  and it was but it was those kind of it's
[27:33.34]  like that's where it gets really
[27:34.57]  personal right cuz you you are scared
[27:36.28]  [ __ ] I mean it's a lot of money but
[27:37.87]  you're making your - you're making a
[27:39.49]  relationship with someone do you think
[27:40.96]  it has raising that much money changed
[27:42.70]  you it definitely changes what we can do
[27:45.79]  now like I sound I sound less crazy your
