Title     : 5 Things Most VCs  Won't Tell You with August Capital
Video ID  : TyVFrKkXfrA
[02:59.08]  uh suggest it to the contrary that
[03:01.32]  venture capitalists are not in charge of
[03:03.04]  your business. Venture capitalists are
[03:04.92]  not in charge of your process. They're
[03:06.96]  not in charge of your financing process.
[03:09.32]  They're not in charge of how you run
[03:10.52]  your business. And they're not in charge
[03:11.96]  of how you sell your business. Now,
[03:14.16]  there are lots of VCs who would suggest
[03:16.88]  the contrary. They in fact work very
[03:18.80]  hard to suggest the contrary.
[03:20.68]  Uh and it turns out that it's not true.
[03:24.20]  So for those of you entrepreneurs in the
[03:26.40]  audience, here's the good news. You are
[03:28.80]  in charge. The bad news is you are in
[03:31.44]  charge.
[03:33.76]  Right?
[03:35.92]  You you can't blame your VC um because
[03:40.20]  it's on you. On the good side, your VC
[03:43.48]  also can't tell you what to do because
[03:45.60]  it's not our job. And so I thought I'd
[03:48.88]  talk about three aspects of the of the
[03:51.16]  the process of company building and and
[03:53.32]  in this context. So the first one is
[03:55.52]  fundraising. Right? There is this
[03:58.96]  there is this mythology of fundraising
[04:01.24]  that is like, "Oh, I come to pay homage
[04:04.64]  to the venture investor and I
[04:07.48]  pitch my business, the venture investor
[04:09.76]  acts mighty and asks questions which I
[04:12.40]  am I am commanded to answer. And if all
[04:14.80]  goes well, then that person tells me
[04:16.72]  what the financing is."
[04:18.92]  Right?
[04:19.96]  It just turns out that's not the
[04:21.48]  process, right? The process No, it's
[04:23.88]  much more like a dating process. I mean
[04:26.40]  this I'm I'm cognizant in this time of
[04:28.88]  Me Too and harassment and all that that
[04:31.08]  this is an analogy that is that I need
[04:33.08]  to be careful with.
[04:35.16]  But for what it's worth, I think this is
[04:37.48]  dating in any sense of dating. It's not
[04:39.88]  uh
[04:40.60]  uh
[04:41.28]  and as I think about it, right? You come
[04:43.36]  to a venture investor to try and get him
[04:45.96]  or her excited about your business.
[04:48.92]  And that first meeting is not about
[04:51.80]  convincing the VC that this is a great
[04:53.96]  company and therefore they will anoint
[04:55.84]  you with capital. It is about building a
[04:58.32]  relationship.
[04:59.88]  It's about getting them excited about
[05:02.24]  what you are doing and more importantly
[05:03.92]  getting them excited about working with
[05:05.72]  you.
[05:06.72]  Right?
[05:08.08]  And the only goal of that first meeting
[05:10.48]  should be a second meeting. Don't be
[05:12.84]  confused into thinking that the goal of
[05:14.56]  that first venture meeting is to get a
[05:17.16]  term sheet. Right? For two reasons. One,
[05:21.24]  it never happens. So that's a good
[05:24.00]  reason to not do it. And secondly, in
[05:26.80]  the rare instance that I'm wrong and it
[05:28.72]  actually happens, those people are
[05:30.08]  morons.
[05:31.92]  Like, you know, did I like my wife after
[05:34.84]  our first date? I did very much. She was
[05:37.12]  lovely. But I did not propose to her
[05:39.88]  that night because that would be stupid.
[05:43.20]  I went on another date and another date
[05:45.64]  and got to know her and determined that
[05:47.36]  maybe she could put up with me for 26
[05:49.80]  years so far.
[05:51.92]  Um
[05:53.44]  and that's the venture process, right?
[05:55.28]  So so the amazing thing is you go
[05:57.56]  through this process.
[05:59.68]  You pitch a venture investor and then
[06:01.88]  the VC says like, "Oh, I have decided
[06:05.04]  you're good enough. Here's a term sheet
[06:07.60]  where I tell you the answer.
[06:10.32]  Give me an you know, let me know by
[06:11.92]  tomorrow."
[06:14.20]  That's that's just not how it works.
[06:16.04]  Again, that's not how it works. It turns
[06:18.16]  out.
[06:19.28]  Yet the entrepreneur naturally has this
[06:21.60]  feeling like, "Oh my goodness, I've
[06:22.92]  gotten a term sheet. Now then this
[06:25.08]  investor has all the cards, right?
[06:26.84]  Here's an investor, they have millions
[06:28.28]  of dollars they're ready to give to me.
[06:30.12]  I better take it or I'm going to lose
[06:32.08]  it."
[06:33.52]  So here's the secret of venture capital,
[06:36.52]  which is when someone gives you a term
[06:39.08]  sheet, that term sheet's not going away.
[06:43.80]  My year is to spend to to hear about a
[06:46.88]  thousand businesses and meet with a
[06:49.32]  hundred and get excited about 10 and
[06:52.32]  dive into five and work really hard and
[06:55.60]  give maybe two term sheets. So I've gone
[06:58.00]  from a thousand opportunities to two
[07:00.68]  where I've determined that I want to
[07:02.80]  fund you.
[07:04.24]  So if I give you a term sheet after
[07:05.92]  that, one in 500, and you say, "David,
[07:09.56]  I'd like an extra week."
[07:11.76]  Do I really go like, "Well, no. I guess
[07:14.16]  I'll try for another year."
[07:17.72]  Damn, that whole year was a waste cuz
[07:19.88]  you want an extra four days. No, that's
[07:22.80]  not what happens. That person says
[07:26.28]  "But don't you love me? Like
[07:28.68]  why do you need more time? You should
[07:30.88]  take my money." This is when the tables
[07:34.32]  turn. This is when the seller the seller
[07:38.60]  the buyer becomes seller.
[07:40.76]  This is when I used to be like, "I don't
[07:42.64]  know about your company." Suddenly I'm
[07:43.96]  like, "Please pick me."
[07:47.92]  And don't forget that. It turns out that
[07:50.64]  the second someone wants to fund your
[07:52.64]  company, then you're in charge. And you
[07:55.40]  get to say, "I'm going to take as long
[07:57.32]  as it takes. And I'm going to find the
[07:59.68]  right partner for me. And don't be
[08:02.08]  confused into thinking like just because
[08:04.28]  you want to give me money that therefore
[08:06.40]  I have to take it." Right? And I like to
[08:09.24]  think of that this is called an
[08:10.68]  exploding term sheet, right? I'm going
[08:12.52]  to give you an exploding term sheet. It
[08:14.32]  will you need to give me a decision by
[08:16.60]  Friday or it explodes. And I like to
[08:19.12]  think of that more like the exploding
[08:20.80]  VC, which is like "Please give me a
[08:23.44]  decision by Friday or either I will
[08:26.44]  actually let the term term sheet
[08:27.96]  expire." In which case you're an idiot
[08:29.68]  and you have exploded. Or you go like,
[08:32.36]  "Oh, never mind. How about next Friday?"
[08:34.76]  And that's the right answer, which is
[08:36.80]  give you the entrepreneur the time to
[08:38.72]  decide who is the right investor for
[08:40.84]  you. All right?
[08:42.96]  Here's the second piece. You've gone
[08:45.16]  through this process. You've decided to
[08:48.32]  take investment from some venture
[08:50.08]  capitalist. By the way, here By the way,
[08:51.28]  here's another myth.
[08:53.44]  That you have to take venture capital.
[08:56.48]  You don't have to take venture capital.
[08:57.88]  Like if you have a business that can
[08:59.64]  generate enough capital that you can
[09:01.24]  feed it back into the business and grow,
[09:03.28]  then you never have to take venture
[09:04.84]  capital. It's not like venture capital
[09:06.64]  is some honor. "Hey, I raised venture
[09:08.60]  capital."
[09:10.00]  Whoop-de-crap. It means you sold some
[09:12.08]  shares in your company. That's not a
[09:13.92]  thing. It's an enabler. If if in fact it
[09:17.96]  makes sense for your business to take
[09:20.48]  money in exchange for shares of your
[09:22.40]  company so that it will accelerate the
[09:24.28]  business, then do it. There are plenty
[09:26.84]  of amazing entrepreneurs who built huge
[09:29.08]  businesses without taking money from me
[09:31.32]  or anyone else in the venture business,
[09:33.40]  right? So
[09:34.72]  just because VCs exist doesn't mean you
[09:38.04]  need to take venture money. Doesn't mean
[09:40.24]  that you shouldn't. There are all sorts
[09:42.12]  of reason to take venture money, but
[09:43.48]  just remember VC is not in and of itself
[09:47.20]  an an uh uh
[09:49.00]  a prize. It's the means to an end and
[09:51.92]  the end is to continue to build an
[09:53.56]  amazing business. So you say, "Hey
[09:56.24]  David, I really like you and I think
[09:58.68]  that it'd be great to work with you and
[10:00.72]  August Capital and I give you $8 million
[10:03.20]  and I buy some part of your company and
[10:05.44]  then we get to work in building the
[10:06.92]  business." Now, here's the second one
[10:09.00]  I've seen. I've been on lots of boards.
[10:11.00]  I've been in the venture business almost
[10:12.48]  20 years now. So, I've sat in on a lot
[10:15.04]  of board meetings.
[10:17.48]  Um
[10:19.52]  there are VCs who then think it is their
[10:21.76]  job to tell you how to run your company.
[10:25.52]  THIS IS A BAD IDEA. WHY? BECAUSE MOST
[10:28.80]  VCs don't KNOW WHAT THE [ __ ] they're
[10:30.60]  talking about.
[10:35.64]  It's
[10:37.24]  Like, you know, first of all
[10:39.32]  some of us haven't run businesses.
[10:42.08]  Secondly, those of us who have run
[10:44.28]  businesses ran a different business, not
[10:46.60]  your business.
[10:48.80]  If they ran your business, why are they
[10:50.60]  funding your business? It doesn't make
[10:51.96]  any sense. So,
[10:54.48]  it is not the venture capitalist job to
[10:56.36]  tell you how to run your business and
[10:57.68]  yet I sit in all these board meetings
[10:59.96]  where I'll hear a VC say
[11:02.44]  "Hey, you know at the next board
[11:03.32]  meeting, can you do me a favor and show
[11:05.28]  me this metric and that metric and this
[11:07.48]  metric and blah?"
[11:09.20]  You know,
[11:10.12]  and the poor entrepreneur sitting there
[11:11.28]  like,
[11:12.08]  "Okay." Like, you're on the board. The
[11:14.16]  answer to that is no. I will not show
[11:16.76]  you those because I don't care about
[11:18.48]  those stupid metrics because they don't
[11:20.96]  they're not relevant. You know why
[11:23.20]  they're not relevant? Because you DON'T
[11:24.36]  KNOW WHAT YOU'RE TALKING ABOUT. That's
[11:25.84]  not how I run my business.
[11:29.36]  So, when I'm in these board meetings and
[11:30.80]  someone says like, "I want you to
[11:32.16]  provide this information." I always say
[11:34.28]  the same thing, which I say to the CEO,
[11:36.24]  "Oh, is that how you measure your
[11:37.92]  business?
[11:39.20]  Are those the metrics that are relevant
[11:41.08]  to how you measure your business?" And
[11:42.84]  if the entrepreneur says, "Yes." Then I
[11:44.56]  say, "Great, it'll be awesome to see
[11:45.92]  that data since that's how you're
[11:47.40]  measuring your business, you should have
[11:48.56]  data on it." And if the entrepreneur
[11:50.00]  says, "No." Then I say, "Well, why don't
[11:52.76]  you measure that?" And they inevitably
[11:54.28]  say because that's stupid and we
[11:56.12]  wouldn't measure these stupid things
[11:57.72]  that you asked us to measure. And then I
[11:59.32]  say, "Then yeah, maybe you shouldn't
[12:01.16]  provide us with stupid info." And then
[12:03.84]  the venture capitalist who's requested
[12:05.32]  it looks at me and says like, "You're a
[12:06.60]  jerk."
[12:08.24]  But, on the good side, the entrepreneur
[12:09.76]  doesn't have to provide information that
[12:11.48]  is a not a good use of his or her time.
[12:15.56]  Venture investors aren't in charge of
[12:17.56]  your business. It is not our job to tell
[12:19.84]  you how to measure your business. It is
[12:21.76]  not our job to tell you how to what
[12:23.84]  direction to take your business.
[12:26.16]  It is our job to advise you, to give you
[12:28.96]  to share our opinions, to try and help
[12:32.08]  you.
[12:33.20]  All of those things are true.
[12:35.12]  But,
[12:35.92]  VCs should not confuse themselves for
[12:37.88]  operators. It is not what we do.
[12:40.48]  We are we sit on the board, we have a
[12:42.48]  fiduciary duty to the company, we have a
[12:44.84]  fiduciary duty to our investors, and
[12:47.16]  we're trying to do those two things
[12:48.68]  simultaneously. We're trying to make our
[12:50.72]  shares worth more money so we can give
[12:53.08]  more money back to our investors, and
[12:54.88]  we're trying to make your company more
[12:57.04]  successful, which conveniently
[12:59.88]  is directly related to making my shares
[13:01.76]  more worth more money, right? And that
[13:03.60]  doesn't mean, "Oh, I'm going to tell you
[13:05.04]  how to run your business." All right.
[13:07.20]  The last thing that VCs are not in
[13:09.48]  charge of is selling your company.
[13:12.00]  That's not our job, either.
[13:14.56]  Now, some VCs used to be investment
[13:16.24]  bankers and they think that's their job.
[13:19.52]  But, those VCs were investment bankers
[13:21.28]  also tend to be the ones who tell you
[13:22.40]  how to run your business along the way,
[13:23.56]  which they don't know anything about.
[13:24.96]  So,
[13:26.04]  at least they know something about
[13:27.20]  selling your business, but you should be
[13:28.76]  just as likely to say, "I'm I hear what
[13:31.72]  you are saying. Thank you for your
[13:32.88]  opinion." Right?
[13:35.92]  It is neither the venture investor's job
[13:38.52]  to tell you to sell your business, "Hey,
[13:40.60]  this is a time you must sell your
[13:42.24]  business."
[13:43.36]  Nor is it a venture investor's in a
[13:45.12]  venture investor's interest to tell you
[13:47.60]  you can't sell your business.
[13:50.36]  And yet there's this mythology that says
[13:52.64]  like, "Oh, VCs tell you what you have to
[13:56.00]  do." Like, they tell you when the
[13:57.88]  company must be sold or they tell you
[14:00.12]  absolutely can't sell the business.
[14:02.40]  Well,
[14:03.40]  here's the thing about it.
[14:05.52]  Let's say a VC tells you you have to
[14:07.00]  sell your business and you're running a
[14:08.32]  company and you don't think it's the
[14:09.84]  right time to sell your business.
[14:11.84]  Who's in charge of that process, right?
[14:14.36]  What What would How would that happen
[14:16.44]  even? I would go to a you know, company
[14:18.64]  and say, "Hey Salesforce, you should buy
[14:20.24]  my portfolio company." They say, "Great,
[14:22.12]  I'd love to meet with the CEO."
[14:24.52]  And then the CEO says, "Yeah, yeah, I'm
[14:25.76]  not really interested in selling." And
[14:26.96]  that's the end of that process.
[14:28.88]  The same is true for a VC for an
[14:31.48]  entrepreneur who says, "I want to sell
[14:33.00]  my company." And you say, "I don't think
[14:34.12]  it's the right time to sell the
[14:35.24]  company." They say, "I hear what you're
[14:36.64]  saying, but blah blah blah, I want to
[14:38.36]  sell this company. Now is the
[14:39.72]  opportunity, now is the time."
[14:43.40]  If the VC says, "No, this is the wrong
[14:45.52]  time." Who's running the company? I go
[14:47.96]  back to my earlier point that VCs are
[14:49.64]  not
[14:50.72]  the right people to be running your
[14:51.88]  company. So, if you aren't running that
[14:53.48]  company, who's running it? So, if you
[14:55.96]  think the right thing for your company
[14:57.72]  is to sell that business,
[15:00.48]  THERE IS NO RATIONAL venture investor on
[15:02.36]  the planet who will say, "No, you can't
[15:04.64]  do that."
[15:05.92]  They might say, as I have on occasion,
[15:07.92]  say,
[15:09.04]  "Oh, please don't do that."
[15:11.84]  They might say like,
[15:13.68]  "I think it's kind of a great company.
[15:15.40]  Wouldn't it be awesome if you didn't
[15:16.80]  sell it?" You know, and then that
[15:18.60]  entrepreneur will say like, "I don't
[15:20.44]  know, I kind of get rich if I sell it."
[15:21.92]  And you got to go, "Yeah, but you could
[15:23.40]  be richer." You know, like you might be
[15:25.56]  richer if you don't sell it and you wait
[15:27.12]  and you sell it later. And on occasion
[15:30.08]  the entrepreneur said, "Yeah, all
[15:31.84]  right."
[15:33.12]  And on occasion the entrepreneur said,
[15:34.84]  "Nah, I want to be rich today." Or
[15:37.20]  "I want to sell the company today
[15:38.48]  because tomorrow it is in big trouble."
[15:40.72]  Or whatever and you say, "Oh, sell it."
[15:42.48]  Like, sell it.
[15:44.36]  You should totally sell that company. My
[15:46.80]  bad, I thought you were doing great.
[15:48.16]  Nope.
[15:50.88]  Turns out this company's sucking wind.
[15:52.96]  Oh, sell it.
[15:54.44]  By all means, sell it.
[15:56.40]  So, I'm on
[15:58.20]  As I said, I could go on forever. I
[16:00.16]  think I have like 3 minutes left, but
[16:01.92]  let me just say
[16:03.60]  the the um
[16:06.24]  None of this is to say that venture
[16:08.84]  capitalist can't be helpful to your
[16:10.96]  business. None of this is to say that
[16:14.48]  you shouldn't take venture money, that
[16:16.20]  VCs don't have lots of things they can
[16:18.28]  do to help, right? All venture money is
[16:21.12]  not fungible. It money may be fungible,
[16:23.76]  a dollar here is the same as a dollar
[16:25.96]  here, but there are lots of venture
[16:28.16]  investors out there and there are good
[16:30.28]  venture investors and there are bad
[16:31.84]  venture investors. But, the good ones
[16:34.48]  understand that it is their job first
[16:37.36]  and foremost to win your trust, to win
[16:40.44]  you over, to get you excited about
[16:42.16]  working with them. And the reason is
[16:44.88]  that that you'll get excited about
[16:46.36]  working with that when you then do work
[16:48.16]  with them, they won't think it's their
[16:49.64]  job to tell you what to do, they will
[16:51.76]  think it's their opportunity to help you
[16:53.76]  be successful.
[16:55.40]  To to celebrate the successes, to help
[16:59.00]  you through the challenging times, to
[17:00.92]  bring their perspective and their
[17:02.60]  relationships and their
[17:04.72]  uh and their capacity to fund your
[17:06.64]  company more with more money, etc. All
[17:09.40]  of which to help you build a bigger and
[17:11.28]  more exciting business.
[17:13.56]  And those same venture investors who are
[17:15.84]  good at their job and who are helpful to
[17:18.04]  you will help you find that moment in
[17:20.36]  time when either you can take the
[17:22.00]  company public or you can sell that
[17:23.88]  business and celebrate that win with you
[17:26.76]  and not be a friction in that process,
[17:29.08]  be someone that helps and supports it,
[17:31.00]  right? So,
[17:32.76]  know that there are alternatives, know
[17:35.12]  that as entrepreneurs you have choices,
[17:37.88]  and make sure that you're that you've
[17:39.68]  spent the time to know which thing
[17:41.60]  you're getting.
[17:43.04]  And and make sure that you get the
[17:45.16]  version that you're excited about over
[17:47.76]  the next 10 or 15 years. I've been on
[17:50.16]  boards now for 13, 15 years. You know,
[17:53.88]  you know what you're getting with me.
[17:55.60]  And if that's going to scare you after 2
[17:57.60]  years, like don't do that. You know, but
[17:59.44]  if but if you are excited about building
[18:02.08]  this partnership for the next two
[18:03.56]  decades, then you you're going to you're
[18:05.72]  going to have a great partnership and
[18:07.68]  that investor is going to be going to be
[18:09.68]  sitting alongside you and helping you
[18:11.36]  and cheering you on for the foreseeable
[18:13.32]  future. So,
[18:15.40]  I think that's all I have time for.
[18:16.76]  Thank you so much for listening and
[18:18.80]  uh good luck.
