Title     : Guidewire:  From $0 to $6B, The Biggest SaaS Success Story You've Never Heard Of
Video ID  : u6-ZY85AI-A
[02:18.68]  like many entrepreneurs I'm sure like
[02:20.30]  many in the room we wanted to be
[02:22.10]  entrepreneurs first and specific
[02:23.63]  businessmen serving a particular needs
[02:25.58]  second
[02:26.18]  and you know like like everyone of our
[02:29.54]  age and every entrepreneur I think
[02:31.07]  you're conditioned by your experiences
[02:32.48]  and so for us you know we had just
[02:34.37]  passed through this incredibly you know
[02:36.71]  like something called a dynamic some
[02:39.02]  would say call it chaotic era in which
[02:41.72]  you know money seemed free and you know
[02:44.15]  everyone was going to be a billionaire
[02:45.32]  and there was a lot of you know chaotic
[02:47.39]  and frenetic energy and of course that
[02:49.25]  all came to a very abrupt end punctuated
[02:51.23]  by you know the worst terrorist attack
[02:52.55]  in the country's history you know and so
[02:55.34]  the era that the times were very somber
[02:58.13]  and I think while it was a
[03:00.83]  counterintuitive time to start to start
[03:02.39]  any kind of company we saw that as as we
[03:04.88]  say a future not a bug that the fact
[03:07.43]  that it was going to be difficult the
[03:09.08]  fact that you know that we were now
[03:10.25]  entering a kind of nuclear winter in in
[03:13.04]  venture funding the fact that there were
[03:15.32]  a lot of you know people in the tech
[03:17.27]  world kind of dazed and confused and
[03:18.83]  wondering what happens now all of those
[03:21.14]  were actually attractive attributes to
[03:23.15]  us because we wanted to create first a
[03:27.17]  company that solved a really difficult
[03:28.64]  problem and also to create a kind of
[03:30.83]  culture that would be focused on the
[03:33.32]  long term and so in the way that kind of
[03:35.48]  teenage rebels do we said let us be the
[03:36.98]  opposite of everything that we've seen
[03:38.42]  the foot that has come before us and so
[03:40.70]  we kind of took is a blueprint all of
[03:43.34]  the things that were conventional wisdom
[03:45.44]  in you know at the peak of 2000 or 2001
[03:48.23]  and said let us just do the opposite so
[03:50.54]  instead of trying to invent a new market
[03:52.49]  space let's try to solve a
[03:53.69]  well-established problem instead of
[03:55.40]  trying to do something really glamorous
[03:56.54]  let's try to find the least glamorous
[03:57.95]  thing that we can do you know instead of
[04:00.08]  fetishizing the cult of a CEO that'll
[04:02.42]  lead everyone to the promised land let's
[04:03.86]  be a community of radically collegial
[04:05.87]  equals that will solve problems together
[04:07.34]  rationally you know we had all these
[04:09.14]  very high-minded principles and then we
[04:11.18]  said well you know there's a fine line
[04:13.04]  between six guys you know who were going
[04:15.77]  to change the world and writing a
[04:16.79]  constitution and six dudes with a
[04:19.25]  PowerPoint presentation who were
[04:20.39]  unemployed
[04:20.81]  and so we had to find a problem to solve
[04:23.98]  and we said well are the the core thesis
[04:26.87]  was look it's very difficult to come up
[04:29.06]  with another horizontal enterprise
[04:30.20]  software category but the big dark
[04:32.33]  matter in the world and I still think
[04:35.15]  this is true today incidentally are on
[04:37.13]  very industry specific
[04:39.62]  mission-critical problems that are
[04:41.84]  difficult for the largest software
[04:43.70]  players you know the Microsoft's ap et
[04:45.53]  cetera to address because they don't
[04:47.42]  have the domain expertise they don't
[04:48.62]  have the patience and the market size on
[04:51.17]  the surface may not be obviously
[04:53.30]  appealing and so so let's find something
[04:55.79]  that's unglamorous let's find something
[04:57.17]  that's substantial and vertically
[04:58.67]  specific and let's find an area where
[05:03.37]  really quality software engineering can
[05:05.84]  create you know definitive economic
[05:08.00]  value and that led us more or less like
[05:10.16]  a beeline straight to property and
[05:12.02]  casualty insurance and where there are
[05:14.27]  other verticals you looked at was there
[05:16.46]  sort of did you go through some exercise
[05:18.05]  where you said okay put them all on a
[05:19.76]  spreadsheet and let's evaluate you know
[05:22.70]  ten different verticals we considered a
[05:24.65]  few briefly actually as a brief
[05:26.21]  digression I'll tell you that we also
[05:28.15]  considered and discarded a couple of
[05:30.26]  ideas one was what was now Dropbox
[05:32.24]  another was which is now LinkedIn and
[05:34.25]  then a third which looks remarkably like
[05:36.80]  Salesforce so we don't get any credit
[05:38.06]  for that but all of those we discarded
[05:40.70]  as there's no way you could build a
[05:41.72]  business out of them those are too
[05:42.74]  simplistic yeah we have to do something
[05:44.75]  much harder and we're gonna build
[05:47.18]  Property and Casualty core transactional
[05:49.31]  systems that's that's obviously going to
[05:51.38]  be a much better business than
[05:52.48]  Salesforce and so that's what that's
[05:56.39]  what we set out to do the thing that was
[05:58.88]  particularly appealing about P&C was
[06:01.37]  that I'll just have to sketch a little
[06:04.04]  bit of the industry for you you have
[06:05.72]  it's about a two trillion dollar
[06:07.16]  industry in terms of total revenues and
[06:09.95]  they pay out about 60 or 70 percent of
[06:11.66]  that every year in claims that's what
[06:13.01]  they do they inter mediate risk and then
[06:14.60]  they they they pay out to claimants and
[06:17.05]  there's an asymmetry between the fact
[06:19.67]  that the average claims worker is paid
[06:21.32]  you know maybe $40,000 a year but is
[06:23.81]  writing out checks for two or three
[06:25.04]  million dollars a year and doing it in
[06:26.72]  1980s COBOL mainframe systems and buried
[06:30.11]  in paper with all kinds of manual
[06:31.52]  processes etc and our thesis was that
[06:35.06]  that that these individuals as
[06:36.98]  hard-working as they may be we're making
[06:38.90]  systematic errors that were causing
[06:41.09]  deadweight economic loss so it's not
[06:43.04]  just a better software would make their
[06:44.33]  lives more ergonomic and productive that
[06:46.76]  they would actually prevent errors that
[06:48.80]  were deadweight loss to their owning
[06:50.18]  companies and that there would be a very
[06:51.74]  compelling economic value
[06:53.10]  opposition there and that was more or
[06:55.89]  less come out let me interrupt you there
[06:57.45]  so going back 2001 were you or your
[07:00.87]  co-founders domain experts and in in
[07:03.63]  insurance or and if not how did you go
[07:07.32]  about building that knowledge coming up
[07:09.84]  with those insights right now we were by
[07:12.27]  DNA we were much more enterprise
[07:13.65]  software guys yeah none of us were
[07:14.97]  insurance people as such the closest we
[07:16.95]  could claim to that was my own brief
[07:19.02]  tenure in the insurance practice at
[07:20.61]  McKinsey okay which allowed me to spell
[07:23.43]  Property and Casualty correctly but that
[07:25.08]  was about it
[07:25.56]  so we had a lot of Education to do and
[07:27.87]  we've recognized that one of the first
[07:29.28]  things we needed to do was to marry two
[07:31.02]  very disparate skill sets people who
[07:32.91]  understood how to build mission critical
[07:34.41]  software with people who actually
[07:36.06]  understood the pnc domain and on top of
[07:38.25]  that we then had to lay our people who
[07:39.57]  understood how to deliver a large-scale
[07:41.82]  enterprise transformation projects and
[07:44.61]  over the last few years we've had to add
[07:45.99]  people who understood data science as
[07:47.28]  well and those are quite different
[07:49.05]  different strands of DNA and the
[07:50.85]  cultural challenge has been well first
[07:52.98]  how do you recruit those individuals and
[07:54.48]  how do you unify them in pursuit of a
[07:57.09]  common goal and make them feel like
[07:58.68]  they're part of one organization makes
[08:00.81]  sense and I want to come back to culture
[08:02.40]  in a second but you know I think when
[08:04.95]  most of us think about property and
[08:06.81]  casualty insurance and particularly
[08:08.37]  going back you know 16 17 years it must
[08:12.54]  have been daunting to think about trying
[08:14.73]  to sell a mission-critical
[08:16.50]  system this isn't like build a piece of
[08:19.29]  software in two weeks and put it up on
[08:21.24]  the web have some people download it and
[08:23.04]  start showing a chart customers and
[08:25.77]  revenue up into the right like yes how
[08:27.48]  did you go about this I mean with I
[08:29.01]  think those years right before you got a
[08:31.41]  product and customers and yes not more
[08:34.14]  about that so yeah it would be hard to
[08:36.27]  find a company that was more
[08:37.82]  antithetical to the conventional venture
[08:41.28]  capital wisdom about what a company
[08:42.78]  should look like there was no
[08:43.71]  possibility of experimentation there was
[08:45.72]  no viral adoption there was a profound
[08:48.06]  asymmetry between the negotiating
[08:50.88]  ability on the part of sick students
[08:52.74]  with a PowerPoint presentation and a
[08:54.33]  vision for a product and a multi-billion
[08:56.04]  dollar enterprise so everything was
[08:58.68]  wrong in that equation what was right
[09:00.72]  however was that we actually addressed
[09:03.24]  exactly the market need at that moment
[09:05.83]  and you know the there was one bit of
[09:09.85]  wisdom that maybe I'll impart to you
[09:11.50]  just because it's I get no credit for it
[09:13.09]  but it's something that I've thought
[09:13.96]  about many years over the years was an
[09:16.84]  entrepreneur advisor of ours early on
[09:19.24]  said look you're gonna start a company
[09:21.22]  that's actually not what I would advise
[09:22.51]  you to do because risk-adjusted it's a
[09:24.19]  poor way to spend your career but if
[09:26.47]  you're gonna do it recognize this that
[09:28.36]  in the start you will have no assets you
[09:30.46]  will have no product you will have no
[09:32.38]  brand you will have no employees you
[09:33.94]  will have no market credibility you will
[09:35.68]  have nothing but you will have except
[09:38.05]  for one thing you're going to have one
[09:39.52]  thing that is more precious potentially
[09:42.04]  than all of that and that is that you
[09:43.63]  have the potential to hit the headpin of
[09:45.52]  demand exactly at the right angle you
[09:47.86]  can exactly know what the market wants
[09:49.45]  and if you get that right
[09:53.47]  that can that can solve for all the
[09:54.79]  other problems it's just obvious but I
[09:58.48]  think a profound insight that I've
[09:59.95]  reflected on a lot so we had that right
[10:02.16]  but the go-to-market was incredibly
[10:04.75]  arduous for us you know was uphill both
[10:07.54]  directions in the snow there was a lot
[10:08.86]  of that but the hardest part was that it
[10:13.12]  was not enough merely to persuade our
[10:14.92]  our interlocutors our prospects with the
[10:19.18]  fact that we had the right ideas and
[10:21.01]  that we were smart and capable and
[10:22.21]  determined we had to persuade them that
[10:23.86]  the company was going to survive and we
[10:25.72]  that it was a sensible career risk for
[10:28.51]  them to take and as it turns out it was
[10:31.12]  not rational for any of our early
[10:32.47]  customers to buy from us and we being
[10:34.03]  rational guys or at least fancying
[10:35.65]  ourselves to be that knew that so it was
[10:37.48]  a very very hard and so what we had to
[10:41.11]  do in the early days was fine just to
[10:43.30]  keep ourselves from despair was to find
[10:45.58]  other ways to measure sales progress
[10:47.38]  other than a sale and one of the ways
[10:51.52]  you know so we kept score for how many
[10:53.20]  conversations have we had how many
[10:54.61]  people have we known how large is our
[10:56.32]  tree of network our network of potential
[10:59.14]  influencers and well wishers how large
[11:01.06]  has that gotten and tried other ways to
[11:03.22]  instrument and feel good about the
[11:05.32]  progress that we were making and I was
[11:08.29]  not the CEO in the beginning of the
[11:09.40]  company one of my co-founding partners
[11:11.23]  was and he he had one very very special
[11:14.32]  quality which was a kind of insane
[11:16.99]  doggedness about these conversations
[11:19.51]  here I'll tell you another little story
[11:21.13]  thing that he used to say he said it's
[11:23.71]  actually the very first day we were
[11:25.12]  together as a founding group he says I'm
[11:27.88]  not the smartest of you guys I'm not the
[11:30.75]  I'm definitely not the most insightful
[11:32.71]  but I am sure to be the hardest worker
[11:35.14]  no one here was going to outwork me and
[11:36.58]  when I was in college I'm speaking for
[11:38.68]  him now this is when I was in college
[11:39.79]  there was a guy who managed somehow to
[11:43.66]  date every beautiful woman who went to
[11:45.46]  our school and he was very ordinary
[11:48.34]  looking and very average in every sense
[11:49.90]  and when I asked him what his secret was
[11:52.21]  he said I'm just the guy that asks the
[11:54.40]  most I'm gonna be the guy that asked
[11:56.23]  most and and and I have no problem being
[11:59.47]  rejected and he says I'm gonna be that
[12:01.33]  guy and we're gonna be that company
[12:02.74]  we're gonna be the company that asks the
[12:04.39]  most and so that's what we were we asked
[12:06.84]  every person we knew now the PNC
[12:09.34]  insurance industry employs like two
[12:10.60]  million people so there are a lot of
[12:11.59]  people to ask and most of them said no
[12:14.65]  but you know tiny probability is
[12:17.35]  multiplied over a large enough n is
[12:18.94]  enough to generate that first customer
[12:21.73]  and then maybe the second and so forth
[12:23.23]  it's great and and so back then you
[12:27.67]  thought about going uphill both ways in
[12:29.92]  the snow how did you think about funding
[12:32.71]  the company you know because you know
[12:35.20]  venture capitalists are custom that they
[12:37.63]  want to back momentum they want to see
[12:39.34]  repeatability they want to you know they
[12:41.62]  want to see all those things and here
[12:43.03]  you are great vision but years before
[12:45.48]  right you're the first proof points and
[12:47.92]  so how did you get through that how'd
[12:49.75]  you get to that period I think
[12:50.77]  objectively one would question if we
[12:52.42]  were a fundable company because our you
[12:54.88]  know the minimally sellable product was
[12:57.40]  two or three years to build the minimal
[12:59.98]  functional footprint to even be credible
[13:01.87]  for what we were supremacy was so large
[13:04.36]  that it took years to build and there
[13:07.00]  was no way to buy ten percent of it
[13:08.47]  there was no way to sample it you just
[13:09.79]  had to make a big transformation
[13:10.99]  decision as a company and commit real
[13:12.58]  capital right so I think the way that we
[13:16.51]  solved that problem was finding
[13:18.64]  investors to whom I will be eternally
[13:20.65]  grateful because without them I wouldn't
[13:22.30]  be before you today but who may not have
[13:24.46]  understood how hard it is going to be
[13:25.78]  and they we we were able again to use
[13:31.45]  other metrics other than another
[13:33.30]  evidences other bits of evidence of our
[13:35.31]  market traction besides actually having
[13:37.02]  a customer that persuaded them that
[13:39.39]  maybe we were onto something but they I
[13:42.18]  think did not fully appreciate just how
[13:45.03]  daunting a sales challenge we had before
[13:46.71]  us and so we had some tense discussions
[13:49.83]  over the year saying like are is this is
[13:51.51]  this going to go anywhere and we had to
[13:55.56]  remind them I said look one thing that
[13:56.82]  we were very truthful with you from the
[13:57.99]  very beginning was that we're going to
[13:59.76]  be there are some businesses that no one
[14:01.68]  has ever thought of that you thought
[14:02.64]  imagined in the shower and become
[14:04.44]  explosive and and everyone says why
[14:06.60]  didn't I think of that there are other
[14:08.55]  businesses that people don't imagine
[14:10.29]  that that have enormous economic value
[14:13.23]  to them but they're standing behind a
[14:15.36]  huge barrier to entry and there's
[14:17.67]  nothing particularly technologically
[14:19.65]  innovative of what we're doing but we're
[14:21.81]  going to climb this huge barrier to
[14:23.19]  entry and get to the other side
[14:25.17]  and the reason that you don't see other
[14:26.16]  companies doing this is because that
[14:27.45]  barrier is so high and if you believe in
[14:29.01]  competitive markets there's no such
[14:30.57]  thing as a fantastic market with no
[14:32.13]  competitors so the reason that this
[14:34.08]  market is not populated with others is
[14:35.76]  that this barrier to entry is so damn
[14:37.17]  high and we're gonna be climbing it for
[14:38.70]  a long while and you know we're ten
[14:40.83]  percent up the mountain so some version
[14:43.53]  of that message was what we what we used
[14:45.48]  and it's also how we comforted ourselves
[14:47.37]  when it felt like we had no shot musta
[14:50.22]  made for some interesting board meetings
[14:51.72]  back then yes yes they were but you know
[14:55.74]  we had to put forward all other call
[14:57.09]  these other indicators of success and I
[14:58.59]  think the key to the key to getting
[15:00.69]  through that both with our investors and
[15:02.31]  with ours for ourselves was that we were
[15:03.63]  a team so we were a team of six six
[15:05.76]  founders I had five co-founders which is
[15:07.62]  a pretty large group the company would
[15:09.72]  have failed without anyone of us
[15:10.95]  I'm quite certain of that and
[15:13.16]  essentially we signed a Blood Pact at
[15:15.42]  the start of the company which is look
[15:16.83]  we may fail at this but one thing we
[15:18.93]  will not do is second-guess our
[15:20.13]  commitment to it for at least this
[15:21.48]  duration of time and we're just going to
[15:24.51]  just absolutely trust each other
[15:26.25]  and commit to pushing as hard as we can
[15:28.14]  for this duration and we'll and then
[15:29.97]  we're gonna be rational to see if we've
[15:31.17]  achieved enough progress to make it
[15:32.40]  sense to re-up again and it was it was
[15:37.62]  that kind of commitment that kept me
[15:39.75]  many times from saying this is an insane
[15:41.22]  thing to do and I know kept my partner's
[15:43.02]  at different moments from thinking the
[15:44.40]  same that's great
[15:45.36]  that's great so you don't
[15:46.92]  Marcus you know as you shared in its of
[15:50.76]  our board conversations there are a lot
[15:53.31]  of ups and downs you know through this
[15:54.87]  journey I mean I think most startup
[15:56.76]  journeys are not straight up into the
[15:58.41]  right and you know whether you call it
[16:00.33]  the valley of death the valley of
[16:01.71]  despair you guys had your fair share of
[16:03.33]  those maybe share some of those stories
[16:05.34]  because I think you know every founder
[16:07.71]  peers at some point either now or in the
[16:10.59]  future in the past has lived through it
[16:12.33]  you know describe one or two stories how
[16:14.31]  did you get through it sure I'll tell
[16:16.77]  you a covering story first which is
[16:18.39]  something that another one of my
[16:19.53]  co-founding partners who was the CTO he
[16:21.66]  he told us he he he told the story
[16:23.91]  internally early on about this Chinese
[16:26.43]  parable but you can you can look up on
[16:28.98]  Google but it's about about a farmer and
[16:30.75]  his son that it's a farmer and his son
[16:32.73]  they were very poor and they they had a
[16:35.58]  horse
[16:36.00]  that was their only asset one day the
[16:37.77]  horse runs away and the neighbors say
[16:39.24]  well that's a calamity for you and the
[16:40.95]  farmer says well maybe yes maybe no
[16:42.33]  we'll see and then the horse returns but
[16:45.06]  it's brought with it a herd of wild
[16:46.68]  horses and so now they said well you're
[16:48.54]  rich the front of the neighbors say you
[16:50.55]  should be very happy and the farmer says
[16:52.08]  well maybe yes maybe no we'll see and
[16:53.85]  then the Sun is trying to train in one
[16:56.67]  of the wild horses and falls off and
[16:58.17]  breaks his leg and the neighbors say of
[17:00.33]  course all this is a calamity for you
[17:01.98]  and well maybe yes maybe no we'll see
[17:03.72]  and then there's a war and it kills all
[17:06.63]  the young men in the village but not the
[17:07.98]  son because he didn't go to war he had a
[17:10.08]  broken leg and the farmers say and the
[17:12.03]  neighbors say wow how fortunate for you
[17:13.89]  maybe yes maybe no we'll see and that
[17:17.37]  story right and the incredible thing is
[17:19.41]  my partner told us this story in the
[17:21.66]  early days and said this is how we're
[17:22.68]  gonna get through some difficulties and
[17:24.03]  then almost like a movie we had episodes
[17:26.97]  of incredible good fortune an incredible
[17:29.73]  disaster each of which turned out in
[17:32.45]  hindsight to have been the opposite of
[17:34.32]  what it seemed and so I'll give you a
[17:36.39]  few examples you know we lost our first
[17:38.79]  customer very early on they canceled the
[17:41.52]  project and it turns out that we would
[17:44.67]  have built the wrong product because
[17:46.17]  they were it was led by a very very
[17:47.85]  aggressive guy who wanted something
[17:50.12]  other than what really the product ought
[17:52.59]  to have been in long story short it
[17:54.39]  would have he really would have thrashed
[17:55.83]  the product in a direction that would
[17:57.42]  have heard us compromises with our early
[17:59.31]  our early
[18:00.08]  streamers we had a very tense
[18:01.67]  relationship with our investors for a
[18:03.14]  spell and they wanted to impose a CEO on
[18:04.97]  the company which we thought that was a
[18:06.50]  bad idea but there was a moment where we
[18:08.15]  relented a CEO was imposed on the
[18:10.13]  company for about nine months it was a
[18:11.66]  disaster but which we thought was a
[18:14.39]  nearly ran out of cash but it turns out
[18:16.94]  that that then sort of transformed our
[18:19.82]  relationship with our investors where
[18:21.08]  they were a bit humbled by that
[18:22.22]  whereas if that had happened you know
[18:23.60]  another three or four years later it
[18:24.95]  would have been much more damaging and
[18:26.51]  then there was an episode where we were
[18:28.19]  sued about nine years in by our primary
[18:30.26]  competitor of his Accenture on on an on
[18:33.32]  essentially a couple of business method
[18:34.94]  patents and we were actually nearly put
[18:38.87]  out of business because our customers
[18:41.21]  insurance company said well it's not
[18:43.04]  about the merits of the case it's just
[18:44.27]  you have a you have a litigant here who
[18:47.84]  has the determination to prevail and you
[18:50.15]  could be out of business before this is
[18:51.41]  resolved so we just can't buy your
[18:52.91]  software we can't spend fifty million
[18:55.58]  dollars on a transformation project and
[18:57.38]  be enjoined from using the software so
[19:00.35]  for a year our sales were paralyzed and
[19:02.03]  I had discussions with my wife and I
[19:04.94]  know my partner's had but there's saying
[19:07.07]  maybe we threw away our career there
[19:08.48]  will be nothing to show after a decade
[19:10.27]  as it turns out how did that turn out to
[19:13.55]  be such a good thing well it distilled
[19:15.74]  the energies of the company into this
[19:18.02]  white-hot rage in those days where we
[19:22.07]  said maybe this is one of my proud
[19:25.01]  moments in the company where I said you
[19:26.27]  know we thought that we were starting a
[19:28.04]  company that was going to achieve all
[19:29.12]  this and maybe make us wealthy etc well
[19:30.89]  maybe our destiny was to create a
[19:32.15]  company and just to stand up to this
[19:34.85]  bully that's like that's all that's our
[19:36.53]  existence that's our purpose because and
[19:38.45]  I'm here for that I mean who's here with
[19:40.19]  me because I sure as hell am NOT going
[19:43.04]  to capitulate now and we're not gonna
[19:44.48]  let this win and from now henceforth
[19:47.51]  we're not gonna call them eccentric
[19:48.62]  we're gonna call them the enemy and you
[19:52.52]  know to this day they're people in the
[19:53.72]  company who will say you know so what
[19:54.95]  does the enemy think about this or I
[19:56.06]  just saw this press released by the
[19:57.23]  enemy and we are going to fight and as
[20:02.63]  it turns out it also delayed our IPO by
[20:04.28]  a few years which was an incredible
[20:05.63]  blessing because we were that much more
[20:07.01]  prepared at the time and the people who
[20:10.58]  were with us through that through that
[20:12.71]  moment
[20:13.79]  were bound to the company and its
[20:15.38]  mission and its identity with such such
[20:17.81]  a motion that or a much more resilient
[20:21.05]  company for it and I wouldn't trade that
[20:22.61]  for the world so I'm not one to say look
[20:26.48]  everything happens for a reason I think
[20:27.95]  only a feeble minded people believe that
[20:29.57]  I there's a lot of random things happen
[20:32.27]  to good people to bad people I just
[20:34.28]  would suggest to you that sometimes the
[20:37.61]  real significance of an event positive
[20:39.98]  or negative is not obvious at the moment
[20:42.11]  that it happens and that it's important
[20:45.05]  as an organization to have the
[20:46.25]  equanimity to cope with both the highs
[20:49.01]  and the lows and now that I've observed
[20:51.05]  a few companies especially ones that
[20:52.64]  have had a lot of breakout success in
[20:54.23]  the early days sometimes I caution them
[20:56.69]  then that maybe the success is the worst
[20:58.22]  thing that could have happened for it to
[20:59.30]  have come to you this fast because it's
[21:00.89]  going to send a wrong signal set the
[21:02.87]  wrong expectations attract the wrong
[21:04.34]  people nothing you can always control
[21:06.86]  these things but that's been my
[21:08.45]  experience so that's great great story
[21:10.04]  hard to imagine a bunch of insurance
[21:12.62]  software engineers in a white-hot rage
[21:14.20]  it clearly it happened it worked so you
[21:18.38]  know back in 2001 when you decide to
[21:20.93]  pursue PNC Insurance you know if you
[21:23.84]  read the analysts reports currently on
[21:25.52]  guidewire they're projecting your
[21:27.38]  business will be a billion in revenue
[21:28.97]  over the next you know several years did
[21:31.04]  you know it was gonna be this big that
[21:33.08]  the opportunity at that moment in time
[21:35.33]  was this massive to build you know what
[21:38.81]  the largest vertical SAS companies in
[21:40.55]  the history of software yeah I think if
[21:42.26]  well there's more grandiose
[21:44.24]  characterization than I would use but I
[21:45.80]  think we can be the best of what we do
[21:47.54]  in our space and one thing we did
[21:49.22]  validate in the very earliest days was
[21:50.78]  that the basic arithmetic on how much
[21:52.88]  economic value we could create and
[21:54.35]  therefore how much we could reasonably
[21:55.46]  ask for and therefore how large a
[21:57.17]  company we could build around that that
[21:58.70]  that all kind of penciled out in a
[22:00.11]  sensible way so you have a two trillion
[22:02.27]  dollar industry and you persuade the
[22:03.83]  industry you build a solution of
[22:05.30]  adequate value that you can charge some
[22:07.25]  number of basis points on that as it
[22:09.53]  turns out it's around 30 or 40 basis
[22:11.27]  points on that premium then you know
[22:14.45]  that's that's a multi-billion dollar
[22:16.10]  opportunity and then the question is how
[22:17.66]  much of it is it realistic to hope to
[22:19.55]  capture yourself and again I return to
[22:22.25]  this barrier to entry theory that we had
[22:24.17]  that it's going to be incredibly hard to
[22:26.66]  get over this
[22:27.44]  but if we actually get there we're going
[22:29.33]  to find a lot of market without terribly
[22:31.88]  competent competition and you know
[22:34.46]  without declaring victory which I would
[22:35.75]  never do that has sort of played out
[22:37.70]  right and that there is actually one and
[22:41.72]  not another phenomenon of course is that
[22:43.43]  this was this tied to our original
[22:45.23]  belief that if you're solving a mission
[22:46.61]  critical enough problem right you're and
[22:49.94]  in our case we are the transactional
[22:51.56]  system of record that defines what it is
[22:54.74]  that an insurance company is namely you
[22:56.87]  know holds legal contracts that
[22:58.28]  indemnify people against risk and and
[23:00.14]  the like if you have that then almost
[23:02.57]  everything else you do as a insurance
[23:04.94]  company that's not horizontal or you
[23:06.89]  know G&A in nature ties to that system
[23:09.05]  in some way and so that you become the
[23:11.42]  natural consolidator and partner of
[23:13.37]  choice for even other partners who want
[23:15.83]  to add value into that process and
[23:17.90]  that's a position of great advantage to
[23:19.76]  have you have to earn it
[23:20.96]  we're still learning it's still early
[23:22.61]  days believe it or not but that was an
[23:25.64]  attractive attribute I said one thing
[23:27.80]  that we would never want it to be was
[23:29.15]  just a feature right some we wanted to
[23:31.43]  either go for something at the heart of
[23:33.11]  it however hard it would be however long
[23:34.73]  it would take and then be in a position
[23:36.23]  to you know to be that strategic
[23:38.30]  counselor to our customers and I'm
[23:40.46]  grateful for that chance right and and
[23:41.96]  were you ever you know daunted at all
[23:44.30]  at the time by history and I you know
[23:46.55]  share a story when when I was a trilogy
[23:48.65]  software back in the mid 90s we had
[23:51.17]  decided a key vertical for us would be
[23:53.36]  insurance and one of our you know
[23:56.06]  venture capitalists said you know pound
[23:59.36]  his fist on the boardroom table and said
[24:01.07]  in the history of venture capital
[24:02.75]  there's never been a successful
[24:03.74]  insurance software company you know and
[24:06.62]  and that was always the the view on
[24:09.56]  insurance that this was not a great
[24:11.12]  category not a great market do that did
[24:13.49]  that weigh on you at all where you saw
[24:14.84]  that as the real opportunity well in at
[24:17.03]  or to our mindset at the time you know
[24:19.40]  that we we embraced every the more
[24:21.80]  negative people were on it at the time
[24:23.18]  we said well those are that's these are
[24:25.13]  all features this is just fantastic the
[24:26.63]  fact that it's so difficult in
[24:27.92]  unglamorous I think we had a sensible
[24:30.59]  thesis and I think we had an argument
[24:32.87]  for why there was there was such
[24:34.79]  profound dissatisfaction with the
[24:36.29]  technology incumbents that we were
[24:37.49]  competing with so we can definitely
[24:39.08]  build better software than this and we
[24:40.67]  could
[24:40.88]  also saw the way that they had become
[24:42.50]  all kind of custom development
[24:43.73]  organizations instead of building a true
[24:45.23]  product we said by maintaining greater
[24:46.79]  product integrity we can prevail may be
[24:49.01]  where these organizations haven't but
[24:50.60]  it's true there's a there's a graveyard
[24:52.55]  of dead software companies none of whom
[24:54.62]  you would likely have heard of that sort
[24:56.54]  of the intrepid tried to serve the
[24:57.68]  insurance industry in most cases they
