Title     : Ben Chestnut:  The Top 10 Learnings Scaling Mailchimp to $1B ARR
Video ID  : wS4_TZCNLvs
[01:26.60]  you're thinking as a leader right for
[01:27.80]  all of this I it makes sense to me
[01:30.44]  um so we will run out of time because
[01:32.28]  this is such a great conversation but
[01:34.08]  we'll try to take a few questions so hit
[01:35.60]  QA here at the bottom of the zoom and
[01:38.36]  ask some and we'll definitely we'll
[01:39.84]  definitely get to some and work on a few
[01:42.56]  um but I'm super excited um I think I've
[01:46.04]  been I was trying to think last night
[01:47.48]  whether I'm a 3X or 4X MailChimp
[01:49.64]  customer um but it's fun to there's apps
[01:52.84]  we use every day right but there's not
[01:54.24]  that many times you've been a three or
[01:55.48]  4X customer and it's fun to see it and
[01:57.76]  then MailChimp to me is so interesting
[02:00.32]  for Founders here because it took me by
[02:02.44]  surprise how big it was um maybe it's
[02:05.12]  because you didn't raise 11 rounds of
[02:06.48]  venture capital which we'll touch into
[02:08.00]  and bang your chest on on Tech crunch
[02:09.76]  every week with another huge round um or
[02:13.60]  maybe it's because I wasn't a marketer
[02:15.08]  by training right and I just grabbed an
[02:16.68]  app here or there but but MailChimp
[02:18.92]  several times I think took all of us
[02:20.84]  surprise and is kind of a hero company
[02:23.24]  because of that so I want to do I want
[02:26.92]  to go back in time a little bit to the
[02:28.44]  very very beginning but to me the most
[02:30.48]  fun I want to jump around the time of
[02:31.60]  it's okay and talk about breakout right
[02:33.88]  so MailChimp is I don't you I don't know
[02:37.60]  whether you've announced your numbers
[02:38.44]  you don't have to comment but around a
[02:40.04]  billion AR either side it's a lot of ARS
[02:43.36]  whatever it is it's very large but it's
[02:44.64]  a category nominally with a lot of
[02:46.48]  vendors right a lot of vendors tiny
[02:49.44]  minute they probably pop up every hour
[02:51.60]  there's someone with some specialized at
[02:53.96]  least on email we'll talk about getting
[02:55.36]  bigger and into American animation so
[02:57.68]  what was like the 10x feature when
[02:59.76]  whenever it was a million in Revenue 2
[03:01.36]  million what let MailChimp break out for
[03:03.72]  Real uh from the
[03:05.68]  competition it had to be premium it was
[03:08.48]  uh 10 years in 2010 2009 is when we
[03:12.52]  launched our Premium plan yeah
[03:15.16]  everything took off it was it was this
[03:17.92]  Rocket Ride right after that I mean we
[03:19.80]  went from I don't know tens of thousands
[03:22.08]  of users to a million in the first year
[03:24.00]  and then it doubled and doubled and
[03:25.24]  doubled after that it was it's it's been
[03:27.28]  a crazy Rocket Ride from there so that's
[03:29.88]  interesting so before you went premium
[03:32.28]  which was like 200 Nish is that right
[03:34.76]  let's talk about that a free plan we
[03:36.60]  didn't even have a free trial before
[03:37.92]  that you had to pay and you were
[03:40.72]  nominally founded in 2001 right so so
[03:44.20]  but we'll talk about this so mil chimp
[03:45.28]  wasn't is overnight success story by any
[03:47.08]  by any stretch of the definition but you
[03:49.20]  launched and the first two years before
[03:51.00]  you went fremium do you remember it took
[03:52.64]  you two years because two years is a
[03:53.64]  long time as a Founder too right how big
[03:55.28]  were you were just but you still managed
[03:57.24]  to get to a couple million in Revenue
[03:58.88]  but you were not a differentiated tool
[04:00.44]  at that point it didn't feel like it I
[04:02.80]  was eating off the McDonald's value meal
[04:04.84]  I was still eating Ramen that's all I
[04:06.24]  remember of those days oh is that true
[04:08.28]  even two years in yeah I you said I
[04:11.48]  think my revenue is in the hundreds of
[04:12.72]  thousands oh wow okay so premium which
[04:15.44]  we have and so that is interesting
[04:18.68]  because and then why did it work were
[04:21.64]  were were people because you know
[04:23.24]  premium alone isn't always a marketing
[04:25.56]  strategy is it um you have to have
[04:27.72]  traffic you have to have a denominator
[04:29.32]  you have have people searching for you
[04:30.64]  and finding you so did you even know
[04:32.60]  like and and to me mail chimp's
[04:34.20]  interesting because I would think of it
[04:35.24]  as lightly viral right if you're on the
[04:37.40]  free plan you see the mailchip at the
[04:38.92]  bottom if you take a look at the two
[04:40.88]  field or whatever you can see that it
[04:42.36]  came or there's URLs but it's not zoom
[04:44.88]  viral right it's not that real time so
[04:47.40]  why did it why did premium work besides
[04:49.44]  that it worked did you even know well I
[04:51.68]  think um I think it was just a perfect
[04:54.20]  timing I think there was a crisis going
[04:56.00]  on it was it was 2009 we were still
[04:58.44]  really uh from the recession and um
[05:02.00]  people needed it badly small businesses
[05:04.64]  badly needed help and there we were with
[05:07.12]  the solution a little bit like Zoom a
[05:09.24]  much smaller scale uh Zoom but we were
[05:12.64]  there with the right tool at the right
[05:14.32]  time and what was when you launched it
[05:16.92]  not to go too much into detals but is
[05:18.08]  interesting because it it worked right
[05:19.48]  and it worked fast it worked in 30 days
[05:21.12]  or 60 days you the conversions happened
[05:23.52]  right your paid business went up
[05:25.04]  immediate dramatically quickly right it
[05:27.28]  was immedi had server outages people
[05:29.68]  were running around like chickens with
[05:30.88]  their heads cut off I mean it was crazy
[05:33.68]  I was what did you do me but I was I was
[05:36.92]  getting flashbacks from like the AOL
[05:39.00]  dialup uh issues where no one could dial
[05:41.52]  in you know everyone was complaining
[05:42.76]  about that I was like oh my God I'm
[05:44.40]  AOL uh nothing nothing would stay alive
[05:47.28]  it seemed
[05:48.20]  like oh man um yeah um and then and what
[05:53.64]  was the first if you remember what was
[05:55.48]  the first I hate this word but what was
[05:57.64]  the first choke or what was your first
[05:59.52]  first point where you had to convert to
[06:01.40]  paid that actually worked like did you
[06:03.12]  did you test anything or what was what
[06:04.52]  was that Insight when did you know when
[06:05.80]  to throttle the the free folks back when
[06:07.56]  you first launched it's a little bit
[06:09.12]  weird with small businesses because
[06:10.96]  sometimes with small businesses they
[06:12.16]  need like five years to figure it out
[06:14.44]  you know how it is it's a grind and so
[06:16.88]  we never really found the one choke what
[06:19.04]  what we found was that they just need
[06:20.32]  lots of time to find their way and
[06:22.32]  everything we tried just really didn't
[06:24.36]  seem to work um sometimes they just
[06:26.92]  needed to get to you know 30% of small
[06:29.88]  businesses die in two years 50% die in
[06:32.20]  five years so it's like our sales
[06:34.28]  pipeline it needs to be five to 10 years
[06:37.28]  that's that's the pipeline for small
[06:39.08]  business it felt like at the time and so
[06:41.24]  all we really did was give them more
[06:43.32]  time um that was really the only kind of
[06:45.60]  choker point that we had to to make
[06:47.32]  people they would they would shut down
[06:49.20]  their business but they would keep their
[06:50.40]  free mail account alive they'd get a job
[06:52.64]  they'd learn how business actually runs
[06:54.80]  they take that learning quit start their
[06:56.88]  business up again and then with their
[06:59.08]  list
[07:00.32]  yeah yeah but it was really just once
[07:02.00]  their list grew to about 2,000 that's
[07:04.84]  when they felt like it was more it was
[07:07.04]  less of like a forcing mechanism
[07:09.00]  mechanism but more like a celebratory
[07:11.04]  ride of Passage like if they could get
[07:12.72]  their audience to 2000 and they had to
[07:15.64]  start paying they felt proud of that we
[07:18.04]  saw tweets of people saying I'm finally
[07:19.80]  a paid MailChimp customer oh wow yeah
[07:22.68]  yeah serly I had an eye openening moment
[07:24.40]  years ago when I first met with someone
[07:25.80]  at Survey Monkey when it was Tiny and
[07:27.92]  they said we don't count churn when we
[07:30.36]  lose a customer because they may come
[07:31.88]  back in their next job with their next
[07:33.32]  thing we don't actually count that we
[07:34.52]  don't count that as churn we wait some
[07:36.80]  they waited a mammoth amount of time in
[07:38.36]  the early days probably not today as a
[07:39.52]  public company how do you think about
[07:41.40]  that sort of churn because you didn't
[07:42.68]  really lose that customer right um even
[07:44.92]  though the revenue paused do you have a
[07:46.44]  nuanced view of churn at the very low
[07:48.04]  end of the market at the very low end of
[07:49.72]  the market absolutely and a very nuanced
[07:51.96]  view of arpu as well we kind of want
[07:53.44]  lower arpo because we want a larger uh
[07:56.44]  denominator uh we want more and more
[07:58.96]  small users than we do very very big
[08:01.24]  users and so when you're when you're the
[08:03.12]  co and you're I would imagine at this
[08:04.80]  point you've got a few dashboards at
[08:06.04]  MailChimp how do you think about the
[08:08.16]  goals for those for those because I you
[08:10.68]  know the smaller the customer usually
[08:11.96]  the higher the churn right that that's
[08:13.28]  the law especially the very small
[08:15.00]  businesses right the T the onep person
[08:17.32]  shops it's hard right do you do you
[08:19.92]  still set do what do you see on your
[08:21.72]  dashboard in terms of CH and how do you
[08:23.56]  how do you how do you incent the team or
[08:25.44]  drive the team to do better in those
[08:27.44]  tiny tiny customers terms of sure well
[08:30.40]  what you do is you say what what are the
[08:31.96]  industries where our small business
[08:33.60]  customers are really techsavvy and they
[08:35.84]  really push the limits of innovation
[08:38.00]  inside of nail CH and we we didn't say
[08:40.32]  where the most Revenue comes from we
[08:41.60]  said where do they push our limits um
[08:43.96]  because that's what drives us it's
[08:45.24]  innovating and then we said well it's
[08:46.68]  e-commerce customers so we really look
[08:48.56]  at just a few slices of our of our
[08:51.04]  audience and we say what's going to help
[08:52.96]  them sell more and those are small
[08:55.12]  customers they're they're tiny but they
[08:56.88]  can make millions of dollars after
[08:58.24]  sending every email campaign they're
[09:00.36]  making hundreds of thousands or millions
[09:02.28]  of dollars every time they get send so
[09:03.80]  we we focus a little bit more on those
[09:05.68]  and any technology that we get out of
[09:07.76]  serving those sort of high-end High
[09:10.04]  Innovation high impact customers it
[09:11.88]  trickles down to the small businesses
[09:14.36]  it's interesting that I guess that's
[09:15.48]  obvious that so e even back when you in
[09:18.00]  2009 when you converted e-commerce was
[09:19.76]  sort of your your Northstar customer uh
[09:22.12]  was was folks selling um and then
[09:24.56]  MailChimp is almost like your Erp isn't
[09:26.28]  it it's certainly your marketing
[09:27.16]  automation but it's almost more right
[09:28.68]  your list can be everything uh as a tiny
[09:31.72]  vendor right I can walk through a
[09:33.72]  restaurant and I can see someone or at a
[09:35.68]  coffee shop they're using MailChimp
[09:37.68]  they're using it like a CR we see them
[09:39.56]  with their database the MailChimp
[09:41.32]  audience uh screen upli it's less of the
[09:44.44]  sending and it's more of the analyzing
[09:46.56]  the data of their customer base for sure
[09:49.36]  and like just one last question on this
[09:50.84]  and then I let's hit the next one but so
[09:53.16]  the so the the step function was going
[09:55.12]  to premium two years charging everybody
[09:57.12]  the second they give give me your credit
[09:58.48]  card no chance for a small business to
[10:00.24]  to get to know you to see if to see if
[10:02.04]  they want to fall in love right premium
[10:04.36]  worked but what was what what what was
[10:06.92]  the surprise and Delight feature people
[10:08.84]  back then loved MailChimp right and it
[10:11.24]  wasn't just the chimp and the cute ads
[10:13.44]  and I can't remember because I I didn't
[10:15.20]  know nothing about email I just found
[10:16.44]  MailChimp on a Google search which is
[10:18.16]  probably our next slide I want to talk
[10:19.44]  about but what was your surprise and
[10:20.96]  Delight why did they love you did you
[10:22.56]  have a hero feature what was the what
[10:24.76]  was that special special product moment
[10:27.28]  or feature I I would the real stressed
[10:30.00]  out entrepreneur in those early days and
[10:32.52]  I was just constantly micromanaging
[10:34.36]  everybody in the office like you got to
[10:35.96]  get this done got these goals I have a
[10:37.48]  gan chart of everything and I noticed U
[10:40.12]  nobody wanted to stay late they they
[10:41.80]  just weren't inspired but one day people
[10:43.64]  were staying late and I was like what
[10:45.36]  are you doing and they would hide their
[10:46.36]  screens every time I looked and then
[10:48.64]  later I found out what they were doing
[10:49.96]  was they were planting Easter eggs and
[10:52.44]  that's that's what got engineers and
[10:54.04]  techies inspired to actually work late
[10:56.36]  and I said you know what as long as we
[10:58.16]  hit hit our goal do all the Easter eggs
[11:00.28]  you want and so people start to infuse
[11:02.56]  personality uh into the app they started
[11:04.84]  to build an app that they wanted to use
[11:06.52]  and it turned out small business uh
[11:08.72]  customers running a small business is
[11:10.76]  dismal I've learned over the years and
[11:13.12]  they really need like array of sunshine
[11:15.68]  some sense of hope uh some kind of humor
[11:18.32]  in the app and so I think that was sort
[11:20.12]  of the that was the thing that kind of
[11:21.72]  was the key unlock for mimp in the early
[11:23.84]  days just
[11:25.08]  Personality yeah make it accessible
[11:27.28]  right make it make it fun and
[11:29.60]  been try yeah we've we've we've had uh
[11:32.12]  I've seen news headlines where we take
[11:33.56]  down a billboard of Freddy and people
[11:35.80]  complain they say that was my only joy
[11:37.40]  in life we've reduced the amount of
[11:39.76]  Freddy in the app because people were
[11:41.32]  saying it's little it's taken out too
[11:42.56]  much space on mobile and everything and
[11:43.84]  we've had we get a Dage of complaints
[11:46.28]  you know I I had one small business
[11:47.92]  customer saying he was my only
[11:52.60]  joy that is a sign of something uh
[11:55.60]  something special um yeah and then this
[11:58.72]  one this is just one of your Billboards
[12:00.48]  this isn't the one
[12:01.76]  but belch's always been bootstrapped
[12:04.28]  which we can dig into but that that
[12:05.60]  especially means every dollar is
[12:06.92]  scrutinized but in the beginning that a
[12:08.44]  force of necessity right for for years
[12:11.16]  and then it becomes part of your
[12:12.40]  mentality and then I remember one day I
[12:14.80]  was driving up 101 in the Bay Area and I
[12:17.00]  saw I think that the one on the right
[12:18.68]  I'm color blind the yellow one right the
[12:20.20]  classic one and I'm like mchip must be
[12:22.56]  like how can they afford these like you
[12:23.68]  don't even I didn't even know what
[12:24.56]  Billboards cost back then right I
[12:25.88]  shouldn't I know today they are cheap
[12:28.28]  but like back in the day as a Founder
[12:29.96]  I'm like oh my God H but but but still
[12:31.92]  you were buying Billboards and now I get
[12:33.56]  it it's Tech your C you wanted to expand
[12:35.32]  into Tech right but what did you learn
[12:37.36]  about brand because all you had was that
[12:39.36]  Chimp on the 101 in the Bara and people
[12:42.68]  people this display ad and brand
[12:44.40]  advertising it's non-intuitive to
[12:45.88]  Founders right it is non-intuitive
[12:48.12]  um why did you do that relatively early
[12:50.64]  and what were your learnings about how
[12:51.92]  to build on your brand well I was always
[12:54.40]  really cheap uh always experimenting
[12:56.64]  with different kinds of media I was
[12:58.88]  doing podcasts when they first came out
[13:01.68]  um uh really just for aord on an iPod on
[13:05.48]  an iPod yeah yeah it's the name yeah uh
[13:09.52]  and so and in Billboards was just one of
[13:11.40]  the things we always tinkered with we
[13:13.24]  have a culture of tinkering and in
[13:15.08]  experimentation at nelin and uh the
[13:17.80]  thing about Billboards and branding is
[13:19.96]  one thing is I always wanted something
[13:22.08]  tangible with our brand I everyone
[13:23.88]  interacts digitally but you need
[13:25.52]  something to feel so I always have like
[13:27.32]  melching toys something that I on your
[13:29.36]  desk that you can feel or see that's
[13:32.48]  that makes your brain real when you can
[13:34.04]  see it out in the real world like you
[13:35.24]  saw it in your car on i111 and then um
[13:38.00]  with the Billboards I I had a competitor
[13:40.08]  we we would listen to their analyst
[13:41.56]  calls every quarter um and they said
[13:44.08]  that they open up a San Francisco office
[13:46.28]  and that was going to really stick it to
[13:47.84]  us because they could have a physical
[13:49.72]  Office right there in the heart of
[13:51.44]  Silicon Valley and they would have
[13:52.84]  everybody come to their office and I
[13:54.12]  told my team you know what why don't you
[13:56.04]  set up a billboard across the street
[13:57.56]  from their office so that was
[13:59.76]  that might have been the one I saw right
[14:01.76]  thankfully thankfully my team saw that
[14:04.20]  that was kind of a jerk move and so they
[14:05.72]  said we like the idea of billboards we
[14:07.84]  won't do that we're going to put them up
[14:09.84]  and somebody put one up at across from
[14:12.60]  this building I never heard of called
[14:14.00]  Mone me and I'd never heard of it at the
[14:17.40]  time and they they did it right before
[14:19.40]  Apple's dubdub DC and then right after
[14:21.28]  that was google.io and we it just went
[14:23.60]  viral people took pictures of that
[14:25.44]  mysterious monkey posted it to this new
[14:27.40]  thing called Instagram and it just kind
[14:29.64]  of went viral from new
[14:31.80]  so w I mean I guess the lesson is care
[14:34.16]  about your brand uh try to get it
[14:36.12]  physical not just digital only when you
[14:37.92]  can afford it uh always be tinkering and
[14:40.40]  um you know if if you're always
[14:42.52]  tinkering then when they really become
[14:44.16]  available like CBS and all the people
[14:47.28]  that do outdoor once they saw us buy a
[14:49.96]  couple then they just went nuts said
[14:51.40]  we've got all these other properties how
[14:52.64]  about the highway how about this how
[14:53.88]  about and then then it just kind of grew
[14:55.52]  from there and what do you and then into
[14:58.96]  this like brand brand is really it's a
[15:01.36]  funny thing it creeps up on us as
[15:02.72]  Founders doesn't it because we kind of
[15:04.04]  make fun of it in the early days we
[15:05.36]  think at least we used to we think
[15:06.48]  that's a Pepsi thing a John Scully thing
[15:09.04]  brand is we the last thing you want to
[15:10.72]  do in the early days is hire a marketer
[15:11.96]  that just wants to work on your brand
[15:14.00]  and then you realized they were right
[15:15.80]  like like B chimp has this brand and
[15:19.36]  what do when when does that work how do
[15:21.32]  you know when to invest in brand versus
[15:23.60]  leads versus the other thing and how do
[15:25.28]  you how do you protect your brand today
[15:27.04]  like because it's always it's always at
[15:28.40]  risk right we we'll talk a little bit
[15:29.92]  maybe more about Doom that we talked
[15:31.32]  about the other day right but uh how
[15:33.64]  what have you learned about brand and
[15:34.84]  when does it matter it matters always
[15:37.36]  it's it's what I was a a a designer at
[15:41.04]  heart so brand meant a lot to me from
[15:42.72]  the from the early get-go I mean I
[15:44.76]  started wanting to build a global brand
[15:46.40]  so I might be the wrong person to ask
[15:47.96]  about that well maybe I wanted to from
[15:50.04]  day one yeah maybe um but the thing is
[15:52.92]  like it makes people uh loyal they make
[15:55.60]  it makes people love I mean you I don't
[15:57.68]  I've always said I don't shoot for
[15:58.72]  loyalty I sh for love uh I don't I don't
[16:01.20]  want people to just blindly use my propy
[16:03.40]  I want them to use it out of its Merit
[16:05.52]  but you do want people to kind of just
[16:07.00]  love that brand and it's it's it's
[16:09.16]  actually the most economical marketing
[16:11.00]  you do because it it goes viral people
[16:12.96]  tell their friends about it and that's
[16:14.20]  the cheapest marketing uh that you could
[16:16.12]  pay for yeah for sure um so this slide
[16:20.84]  you guys put together who am I see in
[16:22.96]  here what's going on in this slide uh
[16:25.12]  can so that's me and my co-founder uh so
[16:27.76]  that's my mother ran a hair salon in the
[16:29.88]  kitchen I couldn't get an action shot of
[16:31.52]  her actually doing her her work uh
[16:34.24]  that's just Thanksgiving that's just
[16:36.04]  Thanksgiving um and uh over on the right
[16:39.64]  that's uh my co-founder Dan he's the
[16:41.24]  tall one uh and that's his father's
[16:43.40]  Bakery so we both had entrepreneurial
[16:46.08]  families and we both uh grew up in the
[16:48.48]  kitchen watching their businesses uh
[16:50.40]  grow and then ultimately fail uh and
[16:53.40]  that's what drives us today we really
[16:55.36]  want to empower small businesses that's
[16:57.20]  DNA of MailChimp
[16:59.16]  um so that they don't uh fail like our
[17:01.00]  our parents did yeah I hear and they
[17:03.96]  failed while you were you saw them fail
[17:05.96]  you say you see them and you can see
[17:07.92]  that it's not just a business that fails
[17:09.52]  it's a person it's a family and the
[17:11.88]  linger for Generations yeah when we were
[17:14.44]  chatting before this this I I heard some
[17:16.96]  of that linger in your thinking right
[17:18.44]  there's there is this there's this
[17:20.44]  conservatism is the wrong word but
[17:21.84]  there's this fear of Doom that we
[17:23.12]  chatted about maybe it tacks back to
[17:24.92]  your
[17:25.84]  childhood um it's interesting that it
[17:28.64]  that it inspired you to be an
[17:30.16]  entrepreneur right because these
[17:31.36]  feelings linger with us don't they they
[17:33.64]  really do and they also kind of tell you
[17:35.04]  that doom and despair might be the norm
[17:37.44]  so you just have to kind of marching uh
[17:40.76]  you know everyone's talking about 2020
[17:42.08]  is a dumpster fire and it really is and
[17:43.96]  sometimes I ask people what if it's
[17:46.00]  always been a dumpster fire we're just
[17:47.68]  now noticing
[17:50.60]  it um it's entrepreneurialism is about
[17:53.84]  one setback after another isn't it yeah
[17:57.16]  and you told me that when we were chat
[17:58.52]  in before which which floored me a
[18:00.44]  little bit that even at MailChimp scale
[18:03.04]  you have Doom thoughts you worry that
[18:04.64]  the company could could fail right I
[18:06.56]  felt I feel like my my SAS learning is
[18:09.60]  that after 10 million or so in Revenue
[18:12.52]  you can go into a terminal decline right
[18:14.48]  but it could take a decade right I mean
[18:16.04]  let's look at Oracle and companies like
[18:18.16]  even if Oracle never releases a new
[18:19.92]  product we want it'll be 2050 before
[18:21.72]  those last Oracle servers are shut down
[18:23.92]  um some data center but you have Doom
[18:26.00]  fear still today today you still have
[18:27.68]  Doom fear I I told somebody that you
[18:29.80]  know I I still build this way we could
[18:31.36]  die tomorrow we could die tomorrow and
[18:32.96]  then somebody told me no you really
[18:34.76]  can't you most likely the plane won't
[18:37.32]  crash like this the plane will just fly
[18:39.36]  to a slow kind of embarrassing descent
[18:43.16]  and I just thought worse than then it
[18:46.00]  crashing yeah yeah I have that that that
[18:49.08]  is the attitude that I think is
[18:50.48]  necessary I mean was isn't there a book
[18:52.16]  about that only the paranoid survive or
[18:53.92]  something lines there is what that means
[18:57.20]  like I think we all take away slightly
[18:58.48]  different meaning from that from that
[19:00.00]  title right uh that might have been more
[19:01.72]  about competition killing you than Doom
[19:03.92]  right uh and
[19:06.44]  uh it is it's funny that the Intel you
[19:09.44]  know when we were growing up I thought
[19:11.56]  Hardware was the hard one and software
[19:14.32]  was the easy one but it's backwards
[19:15.84]  these Hardware Cy look at phones
[19:17.12]  Hardware Hardware phone but the Cycles
[19:19.12]  are so fast but MailChimp will last 30
[19:21.56]  years at this point if you don't totally
[19:22.88]  screw it up Ben uh software is harder
[19:25.28]  than Hardware which doesn't even still
[19:26.84]  make sense to me uh um but uh Hardware
[19:29.96]  is ephemeral right but software if you
[19:31.60]  do it right look at the decacorns right
[19:33.64]  look at these companies if you do
[19:34.84]  software right it'll last 40 50 years
[19:38.28]  and if I was running mil chimp like I
[19:40.52]  I'm jealous I not literally mean jealous
[19:42.60]  but it's up to you right it's your job
[19:44.12]  now to build a 50 plus year platform and
[19:46.88]  we're not going to have that AOL
[19:48.12]  experience right if we do it right
[19:50.16]  that's right it's like s-curves the
[19:51.48]  first scurve is like the fastest and the
[19:53.32]  tallest and then there like lots of lots
[19:54.88]  of subsequent smaller harder escs I look
[19:57.88]  at some of those software companies that
[19:59.12]  have lasted over the years and it's like
[20:01.08]  constant reinvention is what I see in
[20:02.88]  their numbers right yeah and there what
[20:06.12]  which phase I I wanted to do a little
[20:09.08]  bit more in the early stage for what
[20:10.48]  time but which tell me about the phases
[20:11.96]  of MailChimp because today we're sort of
[20:14.60]  this we're even more than a marketing
[20:16.00]  automation platform right we're
[20:17.64]  MailChimp is like a marketing platform
[20:19.44]  we've got social and images and timing
[20:21.80]  and Ai and ML and all of these things
[20:24.76]  but but MailChimp stayed email only for
[20:26.72]  a long time didn't it are we in the
[20:28.24]  second phase of MailChimp or the third
[20:29.76]  and what what did you learn what were
[20:31.16]  those evolutions and why did they take a
[20:32.84]  while versus a year well I I always felt
[20:35.76]  like uh you know I read crossing the
[20:37.16]  chasm a long time ago by Jeffrey Moore
[20:38.96]  and he said that a lot of people want to
[20:40.12]  cross that Chasm it's important to cross
[20:41.80]  it but they cross it too soon and I said
[20:43.96]  oh okay I'll just dwell a little bit
[20:45.64]  longer uh and I think that that's kind
[20:47.72]  of the advice uh if you read between the
[20:49.68]  lines it's like really Master what you
[20:51.32]  do and so I took that seriously and I
[20:53.44]  mastered email and then it wasn't until
[20:55.56]  I started talking to customers out in
[20:57.08]  the Midwest you know what is it that
[20:58.92]  milch's brand means to you and they told
[21:01.00]  me it's marketing it's not just email
[21:02.52]  get out of email expand uh and that was
[21:05.88]  when I was inspired by that it wasn't
[21:07.48]  like a strategic like a genius strategic
[21:09.80]  decision that I made it was talking to
[21:11.20]  customers and they said for you know
[21:13.52]  dear God expand sprinkle that na Magic
[21:15.72]  on other marketing channels so that's
[21:17.88]  kind of what took us so long and so I I
[21:19.60]  tell my employees we're in act two of
[21:21.92]  the business act one was great it took
[21:23.64]  us really far it's not anything else we
[21:26.36]  we've got to evolve over here yeah so I
[21:28.76]  didn't you're not in act three I didn't
[21:30.16]  miss one right act one femil nailing it
[21:33.84]  probably lasted 15 years though act one
[21:35.96]  right some part better part of 15 years
[21:37.80]  right uh depend how you count depending
[21:39.32]  when you start right we'll still be
[21:40.60]  miling act one for a long time until act
[21:42.96]  two makes up you know what 30 at least
[21:45.04]  30% of our revenue is My Philosophy then
[21:47.48]  then really act two has taken old and is
[21:50.96]  do you because I want to ask about
[21:53.88]  proportionality right how big that that
[21:55.96]  those product extensions need to be um
[21:58.76]  do you do you think of that as just a
[22:00.36]  the same customer and maybe more revenue
[22:02.36]  from the time or do you think of this as
[22:04.16]  accessing different customers and that
[22:06.00]  has to be big because mum's already big
[22:07.80]  right you can't add something that adds
[22:09.72]  2% to your Revenue because it doesn't
[22:11.12]  move the needle does it yeah it's it's
[22:13.76]  maybe not so much a different customer
[22:15.48]  maybe a little bit like the whole world
[22:17.32]  is skewing more to e-commerce in in a
[22:19.72]  sense it is more of a little bit of a
[22:21.76]  different customer but but the product
[22:23.56]  is more sophisticated and it's going to
[22:24.76]  require different uh amounts of sales
[22:27.40]  and so we're into that like how do we
[22:29.12]  broaden a self- serve app that just
[22:31.92]  quickly sells like one point solution
[22:33.68]  called email that's kind of easy but
[22:35.56]  when you start to sell multiple channels
[22:37.08]  across the whole platform that's going
[22:38.56]  to take more assistance and handholding
[22:40.84]  so yeah it's going to take an evolution
[22:42.24]  will right I've I've never talked to a
[22:45.44]  sales rep rep did MIP have any sales
[22:47.20]  people today did have any sales people
[22:48.48]  two years ago not two years ago no small
[22:52.52]  little teams that that dabble a little
[22:54.60]  bit but uh you know we just hired a
[22:56.88]  cheap customer officer
[22:58.76]  uh starting in a couple of weeks so yeah
[23:01.04]  CH a foot change there may be there may
[23:03.68]  be a few hundred a few hundred sales
[23:05.96]  reps at MailChimp next year uh that'll
[23:08.92]  be an interesting Journey right there
[23:10.20]  won't it everything changes yeah um so
[23:15.76]  let's not talk about this is a fun side
[23:17.20]  let's not talk about the dot bubble
[23:18.84]  because there may be a folks on the zoom
[23:21.16]  that may not know what a do com is but
[23:23.96]  um let but let's do talk about two
[23:27.36]  things on this first of all B chimp was
[23:30.92]  well was founded I know we had maybe a
[23:32.68]  different slide here we might have
[23:33.56]  missed it it was founded in nominally in
[23:36.24]  2001 um after this but it took you six
[23:39.56]  years to get up the nerve to leave your
[23:42.00]  agency and then another two years to get
[23:43.92]  to the product Market fit like how did
