Title     : LP Confidential  Secrets from the Folks that Give VCs Money
Video ID  : eCuFt9zuRnM
[09:49.20]  accelerators why because it literally
[09:51.88]  takes
[09:52.72]  $10,000 to start a company and so some
[09:56.52]  of these newer models that are coming
[09:58.68]  they have not not only displaced Venture
[10:01.56]  Capital traditional Venture Capital um
[10:04.48]  they have also created structural
[10:07.40]  Advantage so picking is less relevant so
[10:12.12]  picking is less relevant in a new
[10:14.00]  structure which will attract the best
[10:17.00]  Founders um and so I think that is that
[10:20.40]  has been a SE sea change and with online
[10:23.88]  platforms like angelist and I think
[10:26.28]  angelist is just the beginning you know
[10:29.40]  um so we will see many many platforms
[10:32.32]  which like Amazon like uber will have
[10:36.60]  Global Network effects so the very
[10:38.92]  things that um that VCS invest in their
[10:43.80]  businesses will be disrupted the same
[10:46.20]  way the Amazon and ubber disrupted
[10:48.52]  traditional businesses in fact if you
[10:51.92]  look at if you look at Jim Go's letter
[10:55.64]  of resignation at seoa he mentions how
[11:00.96]  their business finally is getting
[11:03.28]  disrupted and sakoa so far has evolved
[11:06.56]  and changed but perhaps not in the
[11:09.44]  future I think I I agree with a lot of
[11:12.72]  the points Alex is saying and I was also
[11:14.08]  contemplating part of your question
[11:15.36]  which is can you scale from a if you if
[11:17.44]  you leave out the beginning stages right
[11:18.76]  where the YC's and the world play a lot
[11:21.16]  and you get into the like can you be the
[11:22.44]  same fun if you're 150 million if you're
[11:24.32]  a billion if you're three billion some
[11:26.96]  people can but my experience in Ventures
[11:29.44]  most funds are incredibly idiosyncratic
[11:31.80]  and appropriately so as expressions of
[11:34.28]  the individuals that are there and so
[11:36.12]  some people it's much better to stay 150
[11:38.28]  million and stay in their Lane because
[11:40.16]  scaling isn't going to work for the kind
[11:42.00]  of firm that they want to be part of and
[11:43.68]  staying true to that is hyper important
[11:46.52]  because if you are someone who believes
[11:48.00]  in selecting you can't select well if
[11:49.96]  you're shifting what you're doing so you
[11:52.72]  actually can I double click on that
[11:53.88]  because you know it's really interesting
[11:55.40]  and this is you know if I were an
[11:56.68]  entrepreneur the thing I'd be thinking
[11:57.88]  about is is kind of the relationship
[11:59.08]  ship between uh between time and capital
[12:01.96]  the cost of time and the cost of capital
[12:03.40]  and A wise man once told me and I I
[12:05.64]  actually have no native wisdom I just
[12:07.40]  repeat things people have told me in the
[12:08.72]  past um and A wise man once told me he
[12:10.60]  said when Venture Capital works really
[12:12.40]  well capital is really expensive and
[12:14.72]  time is cheap and when things get crazy
[12:17.40]  Capital gets really cheap and time gets
[12:19.16]  really expensive and so as people have
[12:20.56]  more money to deploy um you know you as
[12:23.72]  an entrepreneur want people to devote
[12:25.56]  their time in addition to their Capital
[12:27.20]  but you want you know that energy Maybe
[12:29.04]  don't maybe you don't want these
[12:29.92]  metalsome VCS I feel like Scooby-Doo you
[12:32.20]  know one of the Scooby-Doo vill meddling
[12:33.84]  kids you know meddling VC's um but but
[12:36.80]  maybe their VCS like Jason Lin like has
[12:38.80]  a lot to offer right you know uh and
[12:41.24]  this conference like this conference
[12:42.52]  right and so you want that time and
[12:45.20]  engagement and you want that to be cheap
[12:47.92]  and the capital to be expensive and
[12:49.96]  that's how the business doesn't scale I
[12:51.72]  I want to double click on something here
[12:53.04]  with you now Chris uh in terms of the
[12:55.08]  displacing of the VC ecosystem uh we
[12:58.04]  we've talked before about um the
[12:59.80]  hybridization of GPS and LPS with direct
[13:02.80]  co-investments I want to hear your
[13:04.52]  thoughts on this and whether this is a
[13:06.24]  very possible outcome in the next few
[13:08.60]  years in terms of displacing VCS with
[13:10.72]  direct Co Investments and your thoughts
[13:12.36]  surrounding that so it's really
[13:14.20]  interesting and again this is I think
[13:15.40]  for the entrepreneurs in the room um a
[13:17.20]  really interesting question because
[13:18.12]  you're probably getting a lot of calls
[13:19.52]  from your VC's LPS about potential
[13:22.04]  co-investments and you know I started my
[13:23.96]  career at Princeton University's
[13:25.56]  endowment so I went from a you know a
[13:27.72]  edu to aor g.com so The Descent of Man
[13:31.76]  um to the to the sullied commercial um
[13:34.48]  but at Princeton we had a pretty active
[13:35.80]  co-invest program and as it turns out
[13:37.76]  the co- Investments produced about the
[13:39.36]  same returns as the funds um but the
[13:41.80]  incentives are all screwed up and people
[13:43.16]  made a lot more money from the co
[13:45.04]  Investments right as individuals and um
[13:47.80]  and so one thing I always think about is
[13:49.32]  like you know the principal agent
[13:50.88]  problem is like rif through all of
[13:52.56]  finance and so as you know we see more
[13:54.92]  and more LPS looking to do
[13:56.72]  co-investments you as an entrepreneur
[13:58.84]  should ask like why are they here why
[14:00.16]  are they doing this are they trying to
[14:01.20]  enhance returns are they trying to like
[14:03.28]  cut their fees are they trying to like
[14:06.04]  save their business because the fund of
[14:07.44]  funds business is under kind of great
[14:09.04]  pressure the pricing umbrella is
[14:10.32]  collapsing Etc and is this like the way
[14:12.52]  that they're trying to remain relevant
[14:13.76]  for their LPS and what does that mean
[14:15.56]  for your interaction with this LP are
[14:17.16]  you just going to be you know kind of
[14:18.80]  are they just going to be dumb money and
[14:20.00]  are you okay with that and so I think
[14:21.84]  you know as we look forward I think you
[14:23.48]  know there are some who would say I
[14:24.92]  don't know if I'd go this far but
[14:25.88]  there's some that would say the average
[14:27.16]  VC doesn't add a lot of value and if LPS
[14:29.48]  can disintermediate that person um that
[14:31.76]  might be a net benefit for the ecosystem
[14:33.72]  as there are less you know kind of uh
[14:36.12]  golden crumbs being taken from from the
[14:38.28]  capital but that said um you know it's
[14:40.56]  really important as you guys think about
[14:41.84]  your own cap tables to get the right
[14:43.12]  people around the table Bea what do you
[14:44.80]  think about the Direct Care investments
[14:46.36]  in terms of if you are seeing them is
[14:47.80]  there any signaling uh thoughts that
[14:50.16]  occur to you when you do see
[14:52.40]  opportunities well anytime anyone brings
[14:55.28]  you a deal there's always a question why
[14:56.72]  am I so lucky and that is written large
[14:59.24]  a truth if you're an investor right
[15:00.64]  everybody should always be like why is
[15:01.84]  this happening um I think that question
[15:04.36]  every moment why is this
[15:06.32]  happening um so yes you worry about
[15:08.64]  adverse selection because the the world
[15:10.76]  of the lp actively engaging in direct
[15:12.76]  investment has has existed for a long
[15:15.08]  time to Chris's Point Princeton was
[15:16.68]  doing it a long time ago and many other
[15:18.16]  endowments but the the pace of it and
[15:20.96]  the amount of money that's now flowing
[15:22.20]  out of LPS directly is increased over
[15:24.12]  the last few years and that feels like
[15:25.76]  that might be a bit of a of a trend that
[15:27.92]  could go down if dollars aren't returned
[15:30.92]  um so like with every investment I think
[15:32.28]  you should exactly what Chris said
[15:33.64]  approach with caution ask why and if you
[15:35.64]  have an LP coming to you that has
[15:37.20]  material value and that's works for you
[15:39.52]  in your cap table sure um but there's
[15:41.92]  also a lot of times where it might just
[15:43.24]  be them trying to work like any investor
[15:45.16]  trying to work on their returns and it
[15:46.96]  might not necessarily be a you could
[15:48.80]  have somebody else playing in that money
[15:50.16]  and it could work too right that that
[15:53.16]  actually the Asian problem is a problem
[15:55.68]  uh as you might have read Harvard now is
[15:58.60]  firing half of its 200 Harvard endowment
[16:01.64]  is firing half of its 230 or 60 people
[16:05.00]  130 because they were direct investing
[16:08.04]  not in Venture Capital but in private
[16:10.28]  equity in real estate in hedge funds and
[16:13.52]  their compensation was out of whack and
[16:16.52]  they were optimizing only only their
[16:19.28]  piece not the entire portfolio which was
[16:22.20]  losing to their competitors so that is a
[16:25.28]  real problem however however having said
[16:29.92]  that uh the the big problem with venture
[16:33.92]  capital and why LPS are coming in is
[16:36.88]  because venture capital is increasingly
[16:39.48]  becoming like private Equity most of the
[16:42.80]  funds the billion dollar funds they
[16:45.60]  cannot return Venture Capital typ type
[16:48.84]  returns unless they invest in a 50 to
[16:52.56]  10000 billion outcome most of them are
[16:55.56]  not intellectually honest in in in in
[16:59.20]  telling that to their LPS and so what is
[17:02.12]  happening is increasingly they are
[17:04.36]  investing a 10 million 50 million um uh
[17:08.80]  run rate businesses as some of you have
[17:11.36]  have seen uh the the traditional
[17:13.52]  investors so now there is more
[17:16.16]  opportunity for family offices for
[17:19.48]  strategic investors um to come in and
[17:23.48]  provide real value whereas the VCS um in
[17:28.76]  a lot of cases are not able to provide
[17:31.00]  real value so I think that is a trend
[17:34.72]  which is continuing and the flip side of
[17:38.28]  that trend is that the real value is
[17:42.00]  actually being created by some amazing
[17:45.84]  entrepreneurs I don't need a VC to tell
[17:48.72]  me that um that that Max lein companies
[17:53.08]  are going to do great I don't need a VC
[17:56.72]  uh to tell me that Elon Musk companies
[17:59.52]  are going to do great right so why are
[18:03.08]  we paying 2 and a half% management fees
[18:05.84]  and 30% carry to give money to amazing
[18:09.00]  entrepreneurs who are creating multiple
[18:11.60]  businesses so I think that disruption is
[18:14.84]  a foot absolutely I I do want to do a
[18:17.48]  really quick quick far though uh so I'm
[18:19.36]  going to say a question and we're going
[18:20.48]  to go across the line uh and have a
[18:22.60]  quick fire I love my quick FES so let's
[18:24.64]  start then with what's the most
[18:27.32]  challenging element of your Your Role
[18:28.72]  day today today 20 seconds each 20
[18:31.40]  seconds oh my gosh um the most
[18:33.68]  challenging uh role is keeping my Spidey
[18:36.52]  Sense sharp because I spend a lot of
[18:39.28]  time talking to people who are trying to
[18:40.80]   me and making sure I've got my
[18:43.00]   detector adequately C
[18:44.68]  calibrated
[18:46.00]  Visa yeah some version of that which is
[18:48.44]  not getting snow blind amongst all of
[18:50.72]  the new potential funds and existing
[18:52.84]  funds that are out there because there's
[18:53.84]  been such a growth of new new activity
[18:56.60]  so seeing seeing signal from the noise
[18:58.80]  Alex um my biggest challenge is is just
[19:02.44]  um looking at this the landscape of
[19:05.20]  ordinary funds um it is myn numbingly
[19:09.24]  boring uh where so many GPS today don't
[19:13.64]  have um aspirations they don't have they
[19:16.16]  don't want to push the envelope when I
[19:18.76]  uh first work with folks like Founders
[19:21.04]  fund or first round capital or um Chris
[19:24.24]  saaka they all had aspirations of doing
[19:27.64]  amazing things in the same thing where I
[19:29.64]  was lucky to work with uh Jason lkin um
[19:33.24]  uh 15 16 months ago when it was only
[19:35.68]  Jason and and Gretchen uh they have
[19:38.44]  amazing aspirations and I think that is
[19:42.24]  um that is so hard to find well team I
[19:45.04]  think that's time up but it's been so
[19:46.56]  fantastic to have the chance to
[19:47.48]  interview you all at once as opposed to
[19:49.24]  one at a time so thank you so much thank
[19:51.00]  you thanks
[19:56.64]  has
