Title     : The Future of Events:  Jason Lemkin, CEO SaaStr + Ben Hindman , CEO Splash
Video ID  : Wtj3S9_gfgY
[05:49.36]  and buyers go to events to make
[05:50.88]  decisions at first we saw disaster
[05:53.44]  our first two events we had no revenue
[05:55.04]  we had no sponsors
[05:56.56]  to events because budgets were present
[05:58.48]  right and then by our third one they're
[06:00.24]  like digital events
[06:01.20]  suck but we'll try it um then by the
[06:04.16]  fourth one we're like we can
[06:05.44]  get you thousands of leads and they're
[06:08.32]  like well
[06:09.12]  blah blah blah blah digital events like
[06:10.64]  well where else am i gonna get it
[06:13.68]  so you gotta try and then they see that
[06:16.16]  it performs right
[06:17.60]  so you need to deliver deck and breadth
[06:20.32]  and digital you need to deliver the
[06:21.84]  prospects
[06:22.88]  and you need to deliver more of them and
[06:24.64]  you need to understand why because even
[06:26.24]  if you deliver high quality prospects
[06:28.40]  it's still not the same as talking to
[06:30.16]  ben in the booth okay
[06:31.84]  it's not it might be better because i
[06:34.40]  get to talk with the ceo
[06:35.92]  over a zoom instead of talking to an sdr
[06:39.52]  in a booth it might be better but it is
[06:41.20]  different so you need depth and breadth
[06:43.20]  now one thing we don't do that everyone
[06:45.12]  does that's smaller is they give you all
[06:46.88]  the leads
[06:48.00]  like we have 800 people sign up we'll
[06:49.84]  give you all the emails is that worth
[06:51.20]  anything
[06:52.00]  no you want intent so we only give folks
[06:54.80]  the leads like a booth
[06:56.32]  that say hey i want to come to the to
[06:58.88]  talk with this sponsor
[07:00.16]  but they all have intent and this lack
[07:01.92]  of intent
[07:03.20]  is destroying the notion of a lead for
[07:05.60]  digital events no one
[07:06.72]  people think they want the list but they
[07:08.16]  don't want the list they want a list
[07:09.68]  that wants their product
[07:11.20]  okay so what are the top field marketers
[07:13.36]  doing to drive roi
[07:15.12]  and to get results there's two
[07:16.80]  strategies for events right and
[07:19.12]  you can do both but only if you do both
[07:21.44]  you can do
[07:22.32]  you can go deep and do a couple events
[07:24.80]  in your industry right
[07:25.76]  and you see it at dreamforce at least
[07:26.96]  you used to people would invest massive
[07:28.56]  amounts of money you would see it at rsa
[07:30.48]  you would see it at you can see to some
[07:32.08]  extent at web summit um
[07:34.00]  and you see it at shop talk for
[07:35.28]  e-commerce people go all in on one or
[07:36.88]  two events right
[07:38.48]  and then you can blow a million bucks or
[07:40.16]  more including soft costs right easily
[07:41.92]  right
[07:42.56]  or you do at the everywhere strategy i'm
[07:44.88]  going to be at everything because
[07:46.64]  yeah maybe i'll only have the smallest
[07:48.48]  booth at shop talk but i'll be at every
[07:50.08]  e-commerce event
[07:51.20]  in the industry so my all of my
[07:53.04]  prospects will see me right and
[07:54.40]  marketers have different strategies
[07:55.92]  you've got to do what you're good at and
[07:58.16]  so i think for digital it's the same but
[08:00.16]  on steroids
[08:01.76]  right you either got to pick a couple
[08:04.16]  things and
[08:05.12]  lean in deeply but lean in even more
[08:08.16]  get your brand all over get in front of
[08:10.48]  everybody
[08:11.68]  or be everywhere and really nickel and
[08:14.32]  dime it because you may see lower roi
[08:16.40]  like anything in events if you don't put
[08:18.16]  in the effort in you don't get the
[08:19.44]  effort out
[08:20.48]  if it doesn't provide value to ceos or
[08:22.88]  founders we won't take their money
[08:24.64]  it doesn't work maybe it works for other
[08:26.16]  people it doesn't work for us we can
[08:27.36]  give you the data it doesn't work we
[08:28.64]  don't allow it
[08:29.60]  but one has slipped in and it was the
[08:31.44]  worst performing thing we've done at all
[08:32.96]  levels
[08:33.92]  okay so i think i'm hearing you say that
[08:36.88]  net net
[08:38.08]  you see a bright future for digital and
[08:40.40]  virtual events
[08:41.68]  it's still early days it's still early
[08:43.36]  days right but but i think i don't even
[08:45.20]  like that even though we're stuck
[08:46.40]  it's like i don't like the term sas or
[08:47.92]  clouds digital events and don't make
[08:49.68]  sense either but we're stuck with the
[08:50.96]  term
[08:51.76]  but i don't know i'm not convinced
[08:53.12]  they're events yet i believe they're
[08:54.88]  gatherings
[08:55.68]  a gathering could be bigger on the
[08:57.28]  internet this is so what we learned from
[08:58.88]  social media
[08:59.92]  a gathering can be bigger right so your
[09:02.40]  your digital event should be bigger and
[09:04.16]  better than your irl event
[09:05.68]  big thanks to jason lemkin we got a ton
[09:08.08]  of downloads everything from new
[09:09.60]  thoughts on the collaboration suite to
[09:11.36]  perpendicular events
[09:12.72]  a term i have never heard but i'm
[09:14.48]  planning on tweeting and using seven
[09:16.48]  times
[09:17.12]  tomorrow if you like what you heard
[09:19.12]  today make sure to share this with an
[09:20.72]  event professional you love
[09:22.48]  like subscribe and come check us out
[09:24.64]  next time as we
[09:26.00]  explore the innovation explosion in
[09:29.12]  events
[09:29.76]  in the tech stack see you then
[09:39.36]  [Music]
[09:44.96]  you
