Title     : Lessons from Gusto: How To  NPS 75 With 40K Customers
Video ID  : rTdaAay4GBc
[03:45.81]  celebrate and acknowledge someone's hard
[03:47.97]  work so we always just had a different
[03:49.86]  perspective and for us the hypothesis
[03:52.29]  was people would actually love their
[03:53.73]  payroll company and I think with again
[03:56.37]  40,000 customers some good progress over
[03:58.47]  the last few years we've proven a part
[04:00.96]  of that to be very true third piece of
[04:04.68]  advice is to really understand what
[04:08.85]  makes you different what makes you
[04:10.14]  special what sets you apart and for
[04:13.11]  gusto that's a combination of incredible
[04:15.69]  technology and software and also really
[04:18.03]  really great people amazing a service
[04:20.55]  and for us it's almost a pragmatic
[04:22.74]  trade-off I think again in Silicon
[04:24.24]  Valley folks get caught up in these
[04:25.56]  discussions
[04:26.25]  of the software fix everything or not I
[04:28.83]  think that's a binary kind of choice
[04:30.93]  the truth is it's nuanced right when it
[04:33.42]  comes to things like payroll taxes
[04:34.77]  there's 10,000 different payroll taxes
[04:37.80]  across the u.s. right just let that
[04:39.99]  settle in 10,000 different payroll taxes
[04:42.60]  local state and federal and if any of
[04:45.45]  you know those rules specifically god
[04:47.34]  bless you if not we're here to help you
[04:49.29]  but the point is that should be done in
[04:51.48]  software that's an automated system
[04:53.04]  right a business is not better off
[04:55.31]  filling out a form for the fifth time in
[04:57.87]  that black pen or a blue pen it just has
[04:59.61]  to be done correctly so we use a lot of
[05:01.38]  automation and software to do the things
[05:03.75]  that are better done in software so
[05:05.40]  we're filing today hundreds and millions
[05:06.81]  of documents tens of billions of dollars
[05:09.00]  of payments but if a customer ever wants
[05:11.97]  to call in talk to us a partner has a
[05:13.98]  question we're going to give them an
[05:16.05]  amazing experience because that's a
[05:17.94]  human touch point with someone which is
[05:20.55]  why we exist to make their life better
[05:22.02]  and that feedback loop right we want to
[05:24.21]  help them and as soon as that call ends
[05:25.62]  try to figure out how to prevent it from
[05:27.66]  happening ever again that feedback loop
[05:29.54]  is really really critical and so even
[05:32.49]  early on our customer care team and our
[05:34.68]  product team were very very integrated
[05:36.99]  because those two teams have the same
[05:39.66]  exact purpose right to make the product
[05:41.46]  better to make the experience better for
[05:42.99]  the customer fourth piece of advice I'm
[05:47.70]  going to take a bit of a step back I
[05:49.02]  actually was born and raised in the Bay
[05:51.60]  Area
[05:51.96]  one of the few locals out here and I've
[05:54.06]  seen the tech cycle come and go over the
[05:56.85]  last few decades and the main message I
[05:59.52]  have irrespective of where you are
[06:01.01]  wherever you are in the world is that
[06:03.60]  there are no shortcuts and especially in
[06:05.58]  our industry for example which is a
[06:07.44]  compliance industry right we're doing
[06:09.03]  something very mission critical for the
[06:10.65]  customer we're making sure they get paid
[06:12.39]  on time so they can make rent we're
[06:14.58]  making sure that they get insurance set
[06:16.26]  up correctly so if their kid gets sick
[06:17.55]  they're taken care of there is no
[06:19.62]  shortcut and so Silicon Valley can
[06:21.36]  sometimes become an echo chamber if you
[06:23.61]  really just go back to the basics what
[06:25.35]  really matters is the same thing that
[06:27.24]  matters to any company right serve your
[06:29.07]  customer well do it anyway you're proud
[06:31.44]  of and build a sound business and
[06:33.95]  especially the partnership aspect that's
[06:36.39]  what I love about SAS what this
[06:38.16]  conference is all about
[06:39.61]  the word software-as-a-service service
[06:41.95]  is all about partnership it's a
[06:43.57]  subscription revenue right I mean we're
[06:45.07]  taking five of these twenty hats off of
[06:47.41]  our customers head and if we do our job
[06:48.97]  well they're gonna pay us forever
[06:51.40]  I mean that's pretty awesome and if we
[06:52.93]  don't do our job well they'll leave us
[06:54.28]  that's the way it should be so the
[06:56.56]  advice point here is especially around
[06:59.59]  make hard trade-offs right when Gaston
[07:02.11]  launched four years ago we were only
[07:04.69]  serving companies in California really
[07:07.33]  focused on companies one to 20 employees
[07:09.28]  and that's because we had this quality
[07:11.41]  bar that we were not going to sacrifice
[07:12.73]  in terms of what it means to give an
[07:14.56]  amazing experience to that segment today
[07:17.17]  we serve companies nationwide all 50
[07:19.09]  states and its companies one to 150
[07:22.36]  employees but we've been very deliberate
[07:24.40]  and intentional in that transition and I
[07:27.31]  think many of you guys probably are in a
[07:28.45]  similar boat if you spread yourself too
[07:30.16]  thin too quickly you start sacrificing
[07:32.26]  quality and then you damage why you
[07:33.61]  exist in the first place which is to fix
[07:35.68]  the problem for the customer last but
[07:39.82]  not least on my end you know it all
[07:42.25]  comes back to people and especially on
[07:44.62]  hiring we have three specific
[07:46.59]  philosophies at Gaston our pillars to
[07:49.54]  our philosophy of hiring the first is
[07:51.79]  hiring for shared values the second is
[07:54.46]  for aligned motivations and the third is
[07:57.01]  for relevant skill set and I think a lot
[07:59.05]  of folks go to the third one but that
[08:01.51]  second one in particular when you hire
[08:03.04]  someone who has aligned motivations who
[08:05.65]  really cares about the problem you're
[08:07.18]  trying to fix authentically they want to
[08:09.13]  tell their family about it they're
[08:10.54]  really excited about the impact that
[08:12.19]  your product is having on who you're
[08:13.78]  serving you really can't you can't
[08:16.93]  create that artificially it has to be
[08:18.64]  authentic it has to be natural and once
[08:20.92]  it's there it changes the way someone
[08:22.27]  works I mean I was having lunch with a
[08:24.16]  colleague recently and they were saying
[08:25.81]  how they were on a client call and like
[08:27.43]  the person was tired and hungry and and
[08:29.74]  my colleague ordered them a pizza that's
[08:32.53]  definitely not in our training materials
[08:34.96]  that's definitely not in our policy but
[08:37.78]  it was something that felt right it was
[08:39.16]  grassroots and if you hire four people
[08:41.41]  that again share that motivation then
[08:43.63]  they'll do those different actions in a
[08:45.16]  way that just makes sense for the
[08:46.93]  business so speaking of people thrilled
[08:50.53]  to actually welcome Lexie up now
[08:52.78]  shares some more tactical advice she's
[08:55.06]  been with us for about a year and a half
[08:56.32]  and joined us from Google awesome thanks
[09:00.07]  Josh
[09:00.85]  all right Oh in honor of the performance
[09:04.00]  we're gonna do this according to the
[09:06.28]  Hamilton musical we're gonna do this
[09:08.14]  next part is that goal with you guys
[09:09.96]  yeah all right Josh you weren't prepared
[09:12.43]  for that but you're ready right okay all
[09:15.40]  right
[09:16.27]  so I'm Aiman gonna dive deep into the
[09:20.05]  how-to part of this but the disclaimer
[09:22.00]  is the talk is how to NPS 7540 k
[09:26.02]  customers and i don't believe in NPS as
[09:28.66]  a metric to manage your business too
[09:30.40]  obviously there's lots of conversations
[09:32.76]  on this topic and PS is an amazing
[09:36.43]  forensic tool great conversations
[09:38.89]  cross-functionally it's an awesome
[09:40.72]  rallying cry please suck motivated about
[09:45.19]  what to do or to stop doing and it's a
[09:47.74]  signal to both your customers and your
[09:50.14]  employees that you care but friends is
[09:53.77]  fry who wrote what I think is the most
[09:55.75]  important book that you can read on
[09:57.58]  customer experience at scale
[09:59.32]  it's called uncommon service talks about
[10:02.38]  NPS and she really distills it in a way
[10:05.56]  that I that that rings with me which is
[10:08.64]  NPS is often adopted on faith it's not
[10:12.16]  evidence-based so faith based metrics
[10:15.13]  lead through investments a lot of
[10:17.29]  investments people money investments in
[10:19.33]  things that don't result in needle
[10:21.79]  moving improvements in cost effective
[10:24.31]  both so we're gonna change the talk from
[10:27.67]  how to whatever it was originally called
[10:30.07]  to how do you achieve what five
[10:32.71]  questions do you need to answer for your
[10:34.63]  business to achieve stellar financial
[10:37.30]  performance while ping the right to have
[10:39.91]  customers who love you and want to talk
[10:42.01]  about you
[10:44.76]  so the question one is what is your
[10:47.86]  strategy make no mistake you cannot be
[10:50.68]  Switzerland on this you have a product
[10:53.77]  strategy you have a go to market
[10:55.18]  strategy but when I ask people what is
[10:57.88]  your customer experience strategy often
[10:59.80]  they'll say well NPS or cset that's not
[11:03.79]  a strategy a strategy
[11:06.40]  is reflected in the following you have a
[11:09.55]  deep understanding of whether you're
[11:11.35]  going to differentiate your product
[11:13.12]  based on your service that you provide
[11:15.52]  or you're gonna differentiate somewhere
[11:17.14]  else if you're gonna differentiate
[11:20.58]  that can differentiate in product and
[11:22.90]  they have the benefit of network effects
[11:24.58]  so service and experiences an
[11:26.44]  afterthought and me to being exactly
[11:29.56]  like your competition is a strategy how
[11:33.37]  many of you just by show of hands I can
[11:35.32]  barely see you because the lights are so
[11:36.85]  bright have had an experience recently
[11:39.10]  where it's been pretty horrible like
[11:41.98]  you've gone you a customer and it
[11:45.16]  results in a story just show of hands oh
[11:47.35]  my god insert the name of that telco
[11:51.49]  company or cable provider are usually
[11:53.92]  airline I can't
[11:55.12]  effing believe I was in line I was
[11:57.67]  waiting for an answer I didn't get my
[11:59.74]  question solved how many okay yeah and
[12:03.58]  guess what someone at that company is
[12:06.22]  tracking NPS diligently they probably
[12:09.46]  have a poster or at least 17 slide decks
[12:12.52]  that say the customer matters beat
[12:15.63]  customer first and they believe it it's
[12:18.22]  not for a lack of intelligence or hard
[12:20.71]  work or energy or creativity it's a
[12:23.65]  strategy that leads people to deliver
[12:26.68]  those horrendous experiences so if
[12:29.32]  you're going to differentiate on
[12:31.21]  customer experience which presumably are
[12:33.10]  because you're here then it comes down
[12:35.83]  to really simple questions for your
[12:37.66]  journey for the journey your customer
[12:39.58]  goes on and for your product lines where
[12:42.64]  will you sit on the spectrum the two by
[12:45.19]  two of quality of service and cost
[12:48.25]  quality of service is really simply how
[12:51.10]  much are you willing to accommodate the
[12:53.32]  variable preferences of your customers
[12:55.39]  what questions are they calling you
[12:57.10]  about or contacting you about why when
[13:00.16]  how much effort do they want to put in
[13:02.35]  to the answer high quality of service
[13:04.39]  you got to find that way to pay for it
[13:06.07]  low quality of service which is usually
[13:08.62]  just restricting the choice on those
[13:10.72]  dimensions you often can charge less if
[13:14.35]  we go back to Frances Frey for a second
[13:16.36]  and we go back to like why Net Promoter
[13:18.31]  does
[13:18.90]  you doesn't help as a metric to manage
[13:21.54]  your business using this paradigm I can
[13:24.15]  share I can get you to recommend gussto
[13:26.37]  every time guess what it's free and I
[13:29.01]  have 24-hour seven service available to
[13:32.25]  you around the Sun and I'll contact your
[13:33.84]  tax agency every time about every issue
[13:36.54]  that you might have some of which trash
[13:38.43]  described so that is not a
[13:40.56]  cost-effective way to scale so the
[13:42.36]  question number one what is your
[13:43.92]  customer experience strategy question
[13:47.22]  two related but needs to be pulled out
[13:50.94]  separately who are you willing to be bad
[13:54.00]  for a number one prerequisite for
[13:57.24]  excellence sorry is not just knowing who
[14:01.26]  you're designed for it's who are you
[14:02.73]  willing to be bad for the best example
[14:04.98]  of this may be one you can relate to or
[14:06.87]  have studied is Southwest their strategy
[14:10.02]  is low cost excellence they have figured
[14:12.63]  out a way that contrary to popular
[14:15.15]  belief in an airline you don't have to
[14:18.21]  make people miserable while charging
[14:20.88]  them exorbitant prices and putting them
[14:23.01]  in cattle car situations you don't have
[14:25.65]  to you can actually be a profitable
[14:27.36]  airline and their choice low cost
[14:29.49]  excellence designed for the budget
[14:32.01]  traveler and that's not just accident
[14:34.74]  that they made those two and stop there
[14:36.93]  the approach to get to low cost
[14:39.57]  excellence one is gate space discounts
[14:43.14]  by going out of the way Airlines you can
[14:45.48]  get gate space for cheap they lower
[14:47.91]  their costs to no meals no time
[14:51.33]  switching out the tray is between
[14:53.31]  flights on-time departures they nailed
[14:55.86]  it for their design target they did they
[14:58.26]  deliver on time flights at a low cost
[15:00.27]  and so when the random luxury United
[15:03.78]  dude shows up on a Southwest flight and
[15:06.30]  then and then extracts his energy in an
[15:09.36]  NPS survey saying how bad Southwest is
[15:11.76]  they don't freak out they actually
[15:14.46]  celebrate it because they say this is
[15:16.53]  our strategy at work we're designed for
[15:18.45]  someone different so who are you willing
[15:20.70]  to be bad for question three so you've
[15:24.93]  got that you've got your strategy you've
[15:26.85]  got your target then how do you actually
[15:29.30]  bring this to life how do
[15:32.04]  live it how does how do 400 people in
[15:34.74]  your organization or a thousand or three
[15:36.33]  thousand how does it manifest there's a
[15:39.39]  there's a framework that works for gusto
[15:41.49]  it might be different for you but
[15:43.26]  hopefully it's pretty simple after you
[15:45.60]  have your strategy for us it's listen
[15:48.15]  hire an engineer listen this seems so
[15:53.22]  basic why do you even bring it up but
[15:54.99]  really programmatically and personally
[15:57.21]  listen to your customers regularly so we
[15:59.97]  publish monthly a voice of the customer
[16:02.10]  pack hopefully you guys do the same it's
[16:04.98]  every manner of qualitative and
[16:07.14]  quantitative metric about our customers
[16:09.63]  and we publish it to the entire company
[16:11.28]  we use that in a product prioritization
[16:13.65]  process that's pretty ruthless on based
[16:16.71]  on our strategy what do we need to do to
[16:18.84]  improve we also bring customers in
[16:21.84]  Matthew who's somewhere here was
[16:23.67]  recently here and and has provided
[16:26.70]  really amazing feedback and then
[16:30.75]  personally I Josh our co-founders no one
[16:34.71]  is removed from handling customer
[16:36.63]  escalations so we do that regularly and
[16:38.88]  this manifests really practically if I'm
[16:40.83]  having a meeting we're having a meeting
[16:42.54]  on customer experience and I say who in
[16:44.85]  the room has talked to a customer in the
[16:46.32]  last week and there's nobody who has
[16:49.08]  canceled the meeting get on the phone
[16:51.30]  tell something or go service someone but
[16:53.79]  would be having a meeting two is higher
[16:57.54]  higher Josh talked and this Josh makes
[17:00.87]  this job really easy because he's
[17:02.67]  created this incredible platform around
[17:04.56]  values motivation and skill set but
[17:07.38]  specifically your skill set for the
[17:09.99]  people who are handling the privilege of
[17:13.23]  handling your customers every day has to
[17:15.27]  be aligned to your strategy for us this
[17:17.49]  is intellect empathy energy and
[17:20.91]  diversity intellect empathy energy
[17:24.21]  adversity diversity because we serve the
[17:26.88]  world we serve the world we serve the US
[17:29.55]  we want to be as diverse as the
[17:30.96]  customers and the employees we represent
[17:33.05]  intellect energy and empathy because
[17:35.07]  there is no manual even if we wanted to
[17:37.68]  we could not script the 7,000 variations
[17:40.86]  of tax questions health insurance
[17:42.69]  questions retirement questions
[17:45.32]  there's no way we could script them all
[17:46.94]  but by hiring the right people
[17:49.25]  empowering them with just the right
[17:51.38]  amount of information to do their job
[17:53.12]  well I get a call from a customer who
[17:55.76]  called to share I need to tell you Lexi
[17:59.06]  you guys screwed up and I was pissed I
[18:02.06]  was worried I was gonna have a huge tax
[18:05.00]  issue on my hand and Elsie picked up the
[18:07.70]  phone she asked the right question she
[18:10.37]  was calm
[18:11.03]  I was not she has the right questions
[18:13.28]  she took the time to solve the issue I
[18:15.23]  had and then probe to solve the one I
[18:17.72]  didn't even know I had and she turned
[18:20.75]  something around so you know I would
[18:23.24]  just be are gonna be perfect at this
[18:25.13]  every time that's really hard we depend
[18:27.35]  on state agencies and health insurance
[18:29.90]  fairs even if we're perfect we have
[18:32.06]  partners that may not be as tech forward
[18:35.45]  so therefore we have to deal with
[18:36.98]  variability so Kelsey's handling of that
[18:39.59]  situation is amazing unscripted finally
[18:43.76]  engineer for solutions after you've
[18:46.19]  listened to your customers and your
[18:48.08]  teams that can provide great feedback
[18:50.86]  engineer solutions we have a mantra if
[18:53.33]  we miss you ten times we don't get at
[18:55.79]  the 11th because the product has been
[18:57.32]  fixed the insight being for the
[18:59.33]  businesses we serve time is their most
[19:01.16]  valuable asset we've got to give it back
[19:03.11]  to them so don't get the issue in the
[19:04.67]  first place if we must get it Nick so
[19:07.49]  here he's an amazing product an engineer
[19:10.19]  letter design a way for the customers we
[19:13.55]  serve to self discover that so they
[19:15.74]  don't have to pick up the phone or chat
[19:17.27]  or what have you and then finally if we
[19:19.82]  must get it then we need to invest in
[19:22.22]  training our teams to be the best at
[19:24.23]  answering that issue in tone in manner
[19:27.38]  and in the medium that the customers
[19:29.48]  desire so again what's your framework
[19:32.21]  for activating that strategy and
[19:34.10]  bringing it to life question four and
[19:37.22]  then there's only one after this if
[19:39.26]  you're good at Nancy question four is
[19:41.33]  what do you do when things go wrong they
[19:43.79]  will grow wrong the fastest path to
[19:47.15]  satisfaction is reaction and building
[19:50.38]  mechanisms to react quickly and
[19:52.64]  thoroughly to issues so you don't need
[19:55.07]  to understand this
[19:56.29]  and like beyond bueno and no bueno bueno
[20:00.79]  is when customers have issues we get to
[20:04.39]  them faster than their being created no
[20:06.46]  bueno is the reverse for everybody in
[20:10.63]  this room I would imagine you're in
[20:12.31]  super high growth situations where
[20:15.01]  despite your best efforts in strategic
[20:17.44]  planning instrumentation hiring you get
[20:20.65]  in situations where growth outpaces your
[20:22.75]  ability to service the customers who
[20:25.57]  have have joined you this happens and
[20:28.89]  you can do a couple of things you can
[20:32.08]  throw bodies at that issue throw bodies
[20:34.57]  high five pizza party 24/7 whoo we got
[20:38.62]  through it and then you're back in it
[20:40.42]  three months later definitely you
[20:42.49]  definitely are heroics are not what get
[20:45.37]  you to scale so when this situation
[20:47.74]  happens having a leadership and team in
[20:50.41]  place that can quickly go through the
[20:52.27]  seven stages of grief oh why did
[20:55.00]  this happen that can't believe it I'm so
[20:56.83]  sorry having partners that will be
[20:59.95]  patient with you one one customer and
[21:02.68]  this time told me Lexi this is great
[21:04.60]  that you're growing but you're growing
[21:05.98]  on my back that's the worst thing that
[21:07.84]  could happen and get quickly out of it
[21:10.24]  by understanding the root cause and
[21:11.86]  devising which means ripping out things
[21:14.23]  you thought would work and putting new
[21:16.15]  systems in place so that you can
[21:18.94]  sustainably scale ibly get out of the
[21:21.88]  situation for the future and I'm happy
[21:23.71]  to say but we did get out of the
[21:25.54]  situation I'm sure we'll be in it again
[21:27.52]  but we'll get out of it even faster last
[21:31.42]  question is what are your
[21:33.52]  non-negotiables so people talk about a
[21:35.59]  due north and you've got a strategy
[21:37.42]  you've got a design target and then in
[21:39.85]  scaling organizations a lot gets caught
[21:42.49]  up in financial metrics and ratios and
[21:45.46]  hey you can only have one advocate to X
[21:48.19]  number customers there are some things
[21:50.35]  that just will not bend to the rules of
[21:53.86]  whatever scale metric works for your
[21:56.05]  business and you still have to invest in
[21:57.73]  them Josh mentioned this we are a
[22:00.22]  all-in-one HR platform that aims to
[22:03.09]  empower people to create better lives
[22:06.79]  for themselves through payroll through
[22:09.04]  health insurance
[22:10.15]  through really important tasks we have
[22:13.71]  to be a compliant leader and we have
[22:17.83]  invested heavily in our teams and our
[22:19.93]  product enable to be sure that our
[22:22.99]  customers and ourselves stay current on
[22:25.00]  ever-changing regulations and rules in
[22:27.19]  our space and we have zero tolerance
[22:29.65]  zero tolerance expressed in every way
[22:32.02]  you can imagine if someone doesn't play
[22:34.15]  by this rules or take shortcuts and it's
[22:37.57]  easy to do but whatever it is in your
[22:40.06]  business agree on what that
[22:42.07]  non-negotiable is and make it easy for
[22:43.99]  your teams to never feel like they have
[22:46.21]  to take a shortcut because they know you
[22:47.65]  support it so the five questions that I
[22:51.88]  just went through hopefully and we're
[22:54.61]  gonna be here for a long time and love
[22:56.65]  to geek out on this it is amazing to be
[22:58.81]  on this journey with Josh as I said who
[23:01.39]  set the course for this so I'll pass
[23:02.74]  back to you this is like Regis and Kelly
[23:05.35]  for you to take us home Thank You Lexi I
[23:08.55]  was not hurt to work with you and to
[23:11.14]  share the stage yeah just to summarize
[23:13.99]  we wanted to kind of really emphasize
[23:15.40]  two specific points number one the
[23:19.33]  desire to serve should come from within
[23:22.29]  really spend that time I think of it as
[23:24.70]  an introspective exercise not just if
[23:26.74]  you're a founder but if you're someone
[23:28.12]  joining it's always about alignment
[23:29.77]  right and so one of my best tips on this
[23:32.65]  is imagine it's the ten thousandth time
[23:34.51]  you're describing what you're doing as a
[23:36.64]  business owner think about if it'll be
[23:39.16]  just as sincerely exciting and we'll
[23:41.35]  you'll be as if passionate as the first
[23:43.15]  time because by the 10,000th of time you
[23:45.70]  definitely can't fake it it has to be
[23:47.59]  natural and so if you have that
[23:49.90]  motivation if you do connect with the
[23:51.46]  problem then something like serving is
[23:53.92]  not a debate topic there's a lot of ways
[23:55.81]  to structure it but ultimately it does
[23:58.03]  come from within and then second this
[24:03.22]  one is more related to again the
[24:05.95]  importance of making trade-offs in our
[24:07.96]  case you know it was funny when we were
[24:10.45]  launching ally in California we had
[24:11.83]  customers signing up across the country
[24:13.60]  I can't tell you guys how many
[24:15.07]  conversations I've had emails where it
[24:18.04]  was something along the lines of well
[24:19.63]  it's not you it's me you know we're not
[24:22.69]  ready
[24:23.54]  yet we're not even gonna give you access
[24:25.04]  yet will turn away thousands and
[24:27.20]  thousands of customers will get them
[24:29.42]  eventually but we're being very
[24:30.62]  deliberate and intentional on who are we
[24:32.60]  great for now and who are we not going
[24:34.10]  to be great for and I think that's just
[24:35.84]  a mindset that again is really important
[24:37.70]  to any startup that has a lot of
[24:38.69]  potential because hopefully you'll be
[24:40.58]  doing it for a while I hope to spend
[24:41.87]  many many decades building gusto so
[24:44.30]  without further ado want to wrap thank
[24:47.24]  everyone for joining will hang out for a
[24:49.22]  bit as well if you're a gussto customer
[24:51.26]  we're honored to serve you and if you're
[24:53.33]  not come check us out
[24:54.62]  thank you very much
[24:55.69]  [Applause]
