Title     : "7 Tips and Tricks to having happy customers at Scale" New Relic  EVP, Roger Scott
Video ID  : zZVoW_Q_tOc
[08:31.54]  the point where all the distractions go
[08:34.30]  away and you become part of the
[08:36.04]  environment that you trying to
[08:37.57]  photograph and you take way better
[08:39.67]  pictures because you're really sitting
[08:41.68]  back and watching what goes on you're
[08:43.39]  not rushing in taking a picture not
[08:46.15]  thinking about it so you actually
[08:47.50]  connect with the environment that you're
[08:48.94]  operating in and I think that is so true
[08:51.31]  of the business world today particularly
[08:53.50]  in a SAS
[08:54.59]  is that we have to be exceptionally
[08:56.33]  mindful as with photography you can't
[08:59.15]  rush into a situation thrust the lens
[09:01.19]  into somebody's face and expect them to
[09:03.35]  relax to be fine with the situation and
[09:06.41]  respond to that and so to in business I
[09:08.96]  think we've got to be exceptionally
[09:10.16]  mindful and to start to think about what
[09:11.99]  is really critical to a customer and see
[09:15.47]  how we deliver that and that requires us
[09:18.95]  to be immersive as I talked about it's
[09:21.02]  requires us to slow down and think and
[09:23.57]  to be intentional about what we're
[09:25.07]  trying to achieve and so for a number of
[09:27.74]  these pictures that you can see here I
[09:29.63]  actually sat in those environments for
[09:31.85]  an hour - and never took a photograph
[09:34.06]  got to know the people got to the point
[09:37.16]  where they felt comfortable and then
[09:39.05]  you'd get to a point where you'd talk
[09:40.76]  about maybe taking a picture and
[09:42.26]  sometimes you wouldn't it wasn't the
[09:44.09]  right time and this allows you to build
[09:46.49]  really strong relationships as we do in
[09:48.80]  business as well so the third area of
[09:50.87]  photography that I want to touch on
[09:52.31]  third and fourth is around intimacy and
[09:54.20]  Trust and if you know the author Stephen
[09:57.95]  Covey's really well he wrote the famous
[09:59.54]  book around the seven Habits of Highly
[10:01.58]  successful people and has written a lot
[10:04.46]  recently around the importance of trust
[10:06.38]  and he talks about this fact that Trust
[10:09.62]  is the most critical element of personal
[10:13.37]  and professional relationships these
[10:15.47]  days that Trust is at the cornerstone of
[10:17.45]  every relationship and so building this
[10:20.03]  intimacy with your subject matter and
[10:22.10]  being mindful of what's going on is is
[10:24.80]  critical in building successful
[10:28.30]  photography portfolios and I would argue
[10:30.65]  in building successful companies and I
[10:33.17]  think it applies even more so to SAS
[10:35.30]  companies and I think it's especially
[10:38.54]  true of SAS companies when you start to
[10:40.28]  think about the fact that everything is
[10:43.64]  a service and there's this great graphic
[10:45.77]  that was created by a TSIA the
[10:49.70]  technology services industry association
[10:51.86]  in the u.s. great organization if you do
[10:54.65]  have a services component to your
[10:56.03]  business and you're looking for best
[10:57.59]  practice and trying to understand how to
[10:59.75]  set it up effectively they're really
[11:01.28]  useful and helpful but they talked about
[11:03.44]  the evolution of the expand motion
[11:05.75]  within
[11:06.29]  businesses and if you go from the early
[11:08.87]  1990s through the dot-com era through
[11:12.53]  the social enterprise and right up to
[11:14.42]  where we are today in the software
[11:15.74]  as-a-service
[11:16.87]  world how over time it's become the
[11:20.42]  responsibility of marketing and I would
[11:22.16]  argue also the product when you think
[11:24.38]  about product led growth what is the
[11:25.85]  product actually doing to drive growth
[11:27.64]  it's marketing a product that have
[11:29.78]  become increasingly important in terms
[11:32.09]  of how we communicate to customers
[11:33.23]  what's new in the product what's the new
[11:35.18]  capability what should you be thinking
[11:36.44]  about in terms of added value and I
[11:39.86]  think in the SAS world you've got to
[11:41.72]  start to think about the fact that this
[11:43.10]  is a continuous service delivery model
[11:45.08]  it's a flywheel it's a make make the
[11:47.42]  promise deliver the promise through
[11:48.83]  delivering on not just the service that
[11:51.17]  technically that you deliver to the
[11:52.52]  customer but how you support them how
[11:54.50]  you help them realize value how you help
[11:57.02]  them understand what the new added value
[11:59.00]  is in the platform over time as well and
[12:00.95]  I think this is an important concept as
[12:03.56]  we go through some of the experiences
[12:05.12]  that we at New Relic have had and I
[12:08.30]  think it's critical if you try to scale
[12:09.98]  a business to start having this service
[12:11.69]  mentality mindset that it's not about
[12:13.64]  the technology alone and it's not about
[12:17.03]  technology with a bunch of salespeople
[12:18.74]  but it's actually what is the service
[12:20.42]  delivery strategy that you have that
[12:22.22]  you're doing on use to continue to
[12:23.45]  interact with your customers so I want
[12:27.53]  to spend a little bit of time today and
[12:28.97]  talk about seven key areas that have
[12:31.79]  been the basis of my experience over the
[12:34.16]  last four years and certainly some of
[12:36.44]  the experiences of my colleagues have
[12:38.84]  been at New Relic for a little bit
[12:40.01]  longer than the seven sorry the four
[12:42.29]  years that I have been so these are a
[12:44.84]  few lessons and learnings I'm not saying
[12:46.34]  they
[12:46.76]  parables or anything like that that you
[12:48.44]  should it's not the law it's not
[12:50.12]  something that I think is firm it's an
[12:51.95]  idea to thought it's concept it's some
[12:54.68]  realizations that we as an organization
[12:56.60]  have had and I'd love to share that with
[12:58.97]  you and then also get feedback from you
[13:00.71]  as to what your thoughts are iago
[13:05.18]  mentioned this in terms of hiring people
[13:07.58]  at the right time in the evolution of
[13:09.29]  your company and there quite a few
[13:11.12]  schools of thought around us do you hire
[13:13.25]  mr. right or mr. right now you hear a
[13:15.98]  lot of people talking about that
[13:17.48]  I have the opinion that one of the
[13:20.03]  things that has served us really well in
[13:22.04]  my organization and the broader New
[13:24.50]  Relic and I run the customer solutions
[13:26.36]  group which is everything in the
[13:27.59]  pre-sales and the post sales arena that
[13:29.48]  doesn't carry a quota or it includes the
[13:31.82]  renewals people so they carry a quota so
[13:33.95]  it's all the technical resources or the
[13:35.96]  professional services resources
[13:37.10]  pre-sales education customer success
[13:40.40]  management renewals etc so we the ones
[13:42.65]  responsible for that flywheel of the
[13:44.33]  relationship and one of the things we
[13:46.25]  did really well early on in my belief
[13:47.99]  when we started to shift towards the
[13:49.55]  enterprise which was four to five years
[13:51.23]  ago we wanted to have both but there was
[13:53.57]  a distinct shift more to the enterprise
[13:55.07]  was who do we need to build the company
[13:57.47]  we want to be and support what we have
[14:00.68]  today and I think we got a great balance
[14:03.11]  to the point where the 75 managers in my
[14:05.81]  people have a management responsibility
[14:08.06]  in my team today 50% of them got their
[14:10.82]  first management gig in the company and
[14:13.46]  so that's supporting the growth of the
[14:15.23]  company and evolution of the careers of
[14:18.95]  the people that were involved in the
[14:20.69]  company from the early days which i
[14:21.83]  think is really essential but at the
[14:23.93]  same time we went and hired a bunch of
[14:25.70]  people who we knew had done this before
[14:27.25]  who could and this was part of the
[14:29.87]  discussion earlier who could mentor a
[14:31.76]  number of the people who were in their
[14:33.86]  first management gigs and perhaps had
[14:35.66]  never done this before and whilst that's
[14:37.87]  energizing and motivating it's also can
[14:40.16]  introduce risk in the business so to me
[14:42.02]  think about what you want to be three
[14:44.93]  four years art and who's going to be
[14:47.33]  able to deliver on today but also set
[14:49.22]  you up for success three four years old
[14:51.08]  I think the the people that you hire
[14:54.05]  it's it's both it's a combination of the
[14:56.69]  organization that you created it's the
[14:58.43]  leadership that you hire and the service
[15:00.56]  delivery mentality that you think about
[15:02.33]  so for me the cornerstone stone traits
[15:05.27]  that you're looking for are people that
[15:06.77]  are customer centric their customer
[15:08.60]  obsessed they think about what it is
[15:10.85]  that the customer wants to be able to do
[15:12.74]  there have less of an internal focus
[15:14.33]  that's the secondary thing I think you
[15:17.78]  want people that are inquisitive and are
[15:20.15]  curious about the technology that you
[15:22.58]  have in the service that you have and
[15:24.53]  want it to be better they've constantly
[15:26.12]  want to validate that with the customer
[15:27.68]  and get feedback from them
[15:29.09]  and so all those are the traits to me
[15:30.80]  supported us really well in our growth
[15:32.84]  trajectory is that we put some
[15:34.10]  cornerstone leadership in early that
[15:36.68]  served us well two three four years down
[15:39.17]  the line and I think you've got to
[15:40.37]  continually think about that we're a 550
[15:43.55]  billion million dollar company with the
[15:45.89]  strategy to go to a billion and beyond
[15:47.60]  we're thinking already about what does
[15:49.70]  that mean in terms of the leadership the
[15:51.23]  organizational structure that we need to
[15:52.91]  have second lesson for us was to very
[15:59.33]  early on particularly with your key
[16:01.73]  customers your marquee customers your
[16:03.68]  brand name customers is develop a joint
[16:06.50]  vision of success and in my view you you
[16:09.95]  may not necessarily invest in it as
[16:12.19]  early but you will be thinking about
[16:14.72]  what customer success means and how
[16:18.20]  you're going to implement the whole
[16:19.64]  motion of customer success and for us
[16:22.64]  developing shared customer success plans
[16:24.71]  with our customers early on something
[16:26.81]  that we we didn't ask them to help us
[16:29.66]  define success we helped we asked them
[16:32.42]  to help us validate success what it
[16:34.73]  looked like because quite frequently we
[16:36.47]  were going in and saying this is the art
[16:38.33]  of the possible this is where you could
[16:39.68]  get you this is the outcome that you
[16:41.66]  could have how does that relate to your
[16:43.88]  business what are the KPIs that are
[16:45.59]  critical to you to achieve that but
[16:47.84]  having that joint vision of success with
[16:50.51]  your customers is essential especially
[16:53.03]  when you get to scale because if you
[16:55.64]  don't have it you're going to be chasing
[16:56.81]  your tail you're gonna be putting out
[16:58.34]  fires you're going to be intervening
[16:59.90]  when there's a problem rather than
[17:01.94]  monitoring how you're doing in terms of
[17:03.71]  the path towards the success that you've
[17:05.42]  jointly defined so part of that in my
[17:08.72]  mind and this is the thought process I
[17:10.37]  mentioned earlier you may not invest in
[17:11.78]  it entirely like really heavily right up
[17:14.42]  front but you've got to be thinking
[17:17.00]  about it and those who you know Reed
[17:19.73]  Huffman from PayPal days and co-founder
[17:23.39]  of LinkedIn here's this great podcast
[17:27.95]  series called masters of scale if you've
[17:29.87]  not listened to it I encourage you to go
[17:31.37]  and listen to a number of the luminaries
[17:34.76]  in the SAS world talk to him through his
[17:36.77]  podcasts and talk about what it means to
[17:38.48]  scale and all the lessons they learned
[17:40.10]  and one of the ones that Brian Chesky
[17:42.62]  did
[17:43.01]  with him from Airbnb talked a lot about
[17:45.86]  this concept of slowing down to go fast
[17:47.96]  if you want to scale your company you've
[17:50.60]  got to think about what is goal what
[17:52.28]  does the gold standard look like what
[17:54.14]  does the best practice look like because
[17:56.24]  if you get to the point where you really
[17:57.74]  need to scale it and you haven't thought
[17:59.06]  about that you're probably too late in
[18:01.07]  the game and you're going to scale
[18:02.15]  something that's less than optimal and
[18:03.94]  something that you probably shouldn't
[18:05.99]  scale it runs the risk of introducing
[18:07.28]  even more risk and instability in your
[18:09.50]  business so to me as early as possibly
[18:11.87]  pay attention slow down and think about
[18:13.85]  what is that motion that's essential
[18:16.49]  particularly around customer success how
[18:18.47]  do customers get value what resource do
[18:20.42]  they need when what are their moments of
[18:22.61]  value what are their moments of truth
[18:23.96]  when do they need us most and if you
[18:26.24]  start to internalize that and you start
[18:28.31]  to develop that into a thought pattern
[18:29.96]  and ultimately into a process that you
[18:32.24]  can implement in your business you can
[18:33.41]  scale pretty quickly off the back of
[18:34.97]  that so it's this case of pay attention
[18:36.95]  to the white glove service which doesn't
[18:38.99]  inherently scale so then be able to at
[18:41.54]  some point in time scale that whether
[18:43.19]  it's through digital channels or through
[18:44.66]  automation or growth engineering or a
[18:46.97]  combination of all those if you slow
[18:52.67]  down to go fast and you paid attention
[18:54.86]  and you understand what that gold
[18:56.42]  standard looks like you've then got to
[18:58.64]  build it into the fabric of your
[18:59.99]  business and so this concept of
[19:02.41]  developing customer journeys or defining
[19:05.27]  the customer journeys I think is where
[19:08.12]  we are right now as a company we are
[19:09.98]  right in the middle of this and one of
[19:12.56]  the things I've done a lot of is to
[19:13.79]  explore my peer group in the industry
[19:16.04]  and try and get feedback from them as
[19:17.42]  quickly as much as possible to say hey
[19:19.67]  what should we be thinking about and if
[19:21.65]  you talk to all the successful most of
[19:23.81]  the successful SAS companies in our
[19:25.25]  industry the really well-known marquee
[19:27.02]  brands this is one of the things they
[19:29.12]  will key on the most which is understand
[19:31.85]  what that customer journey is that you
[19:33.47]  want to take a customer on because at
[19:36.05]  some point in time you're going to have
[19:37.16]  to automate that you're going to have to
[19:38.72]  do I think about it in our context we've
[19:40.79]  got 17,000 customers we can probably
[19:42.71]  afford to invest direct customer success
[19:45.41]  management and the solution architects
[19:47.42]  in about 1,200 accounts what are we
[19:50.39]  doing with the other 16,000 and we can't
[19:53.39]  afford to just intervene when they have
[19:55.19]  a problem we have to
[19:56.33]  ahead of that so defining the customer
[19:58.76]  journeys and understanding the channels
[20:00.95]  that you're going to use to execute
[20:02.09]  those journeys is essential and you know
[20:04.49]  what you can debate forever whether it's
[20:06.47]  a journey by product whether it's a
[20:08.09]  journey by platform or it's a journey by
[20:09.95]  persona pick one and go with it we argue
[20:13.88]  that personas the critical one
[20:15.82]  especially as we're going to be
[20:17.45]  developing loads more products over time
[20:19.13]  and so we just want to focus on certain
[20:20.84]  personas and how we introduce those
[20:22.52]  capabilities to them so the custom is on
[20:25.97]  a journal journey but we need to
[20:27.59]  understand whether the customer is
[20:28.82]  actually having a delightful journey is
[20:30.38]  it a great journey and this is another
[20:32.96]  thing that we've over the last two years
[20:34.88]  invested significantly in which is a
[20:37.91]  discipline around understanding the
[20:39.47]  customers health and I would there's a
[20:43.46]  sub lesson here for me is that we
[20:45.23]  started out this this part of our
[20:47.81]  journey by trying to define an aggregate
[20:50.93]  customer health metric and I think we
[20:53.57]  just got into analysis paralysis and
[20:56.24]  whilst I think ultimately it's useful to
[20:58.01]  have a single metric there's a whole
[21:00.26]  plethora of KPIs that you should be
[21:02.30]  monitoring as an organization down at
[21:04.58]  the individual account level that tells
[21:06.68]  you is an account healthy and that might
[21:09.32]  be from deployment and license
[21:11.54]  consumption through to the user user
[21:13.55]  community growth or decline how often
[21:16.46]  that user community is logging in what
[21:17.96]  are they doing how deeply are they using
[21:19.91]  the functionality is that superficial
[21:21.08]  was it rarely deep in advanced user
[21:22.94]  cases you need to have that data at your
[21:25.01]  fingertips in addition to the day that
[21:27.44]  tells you what have you been doing with
[21:28.94]  the customer to see if it's improving
[21:30.53]  the health or the health is stagnant or
[21:32.87]  it's declining and we've been able to
[21:35.84]  build this into a simple dashboard that
[21:38.54]  any AE any customer success manager any
[21:42.29]  renewal rep can go in and look at any
[21:44.12]  account across the organization at any
[21:45.74]  point in time and see in real time what
[21:48.11]  all those metrics and we're starting to
[21:50.51]  aggregate those up and roll them up to
[21:52.31]  different dimensions in the company be
[21:54.23]  it by geography beer buy products be it
[21:56.42]  by contract type be it by AR ARB and to
[21:59.93]  me this is the heartbeat of your
[22:02.12]  business and as part of the slowing down
[22:05.00]  to go fast I think this is a critical
[22:06.65]  element as well understanding what it is
[22:08.27]  that you want to measure
[22:09.38]  and how you determine whether that
[22:11.00]  journey that you've defined is there up
[22:13.19]  to one or not and how many of your
[22:14.84]  customers are following it or not so
[22:19.07]  healthy customers in my our mind become
[22:21.02]  advocates for you our customer solutions
[22:24.65]  group has a mantra that our passion for
[22:27.65]  customer success creates lifelong
[22:30.47]  advocates for New Relic we also realize
[22:33.41]  that we can't spend enough money to get
[22:35.09]  to all the customers and teams that we
[22:36.83]  want to talk to that's going to cost a
[22:39.53]  fortune if we wanted to do that so yes
[22:41.12]  we can use marketing yes we can use you
[22:43.70]  know PLG the product lead growth element
[22:46.28]  of this but what we want are proxies for
[22:48.20]  ourselves sitting out in our customer
[22:49.91]  banks and this has been enormous ly
[22:52.07]  successful for us is that individuals
[22:55.10]  who have used the product right down at
[22:56.84]  individual operation Ops people or
[22:59.15]  developers sarees have taken the product
[23:02.90]  wherever they go and it's one of the
[23:04.43]  first things they'll say in an
[23:05.33]  organization have you deployed New Relic
[23:06.71]  and so this philosophy in our
[23:09.53]  organization is we need to develop these
[23:11.27]  advocates throughout our customer base
[23:13.37]  from the individual contributors who are
[23:15.23]  some of the best brand ambassadors for
[23:17.21]  us right up to the senior executives and
[23:20.21]  so that when a senior executive like
[23:22.28]  Paul Chesebrough he was here at News UK
[23:25.25]  went to News Corp as a global
[23:27.14]  organization went to 21st Century Fox
[23:29.27]  which part of which was acquired by
[23:31.37]  Disney that connection has been hugely
[23:34.73]  valuable to New Relic because we've had
[23:36.92]  advocates that have been able to vouch
[23:38.69]  for our product so we've there's one of
[23:41.30]  these things that we proactively do we
[23:43.01]  target them we we think about who our
[23:44.78]  advocates are going to be who do we want
[23:46.34]  to develop and we we develop tight
[23:48.65]  relationships with them and I think your
[23:51.65]  your customer advocates are ultimately
[23:53.39]  your trust custodians and I come back to
[23:56.78]  what I was saying about the philosophy
[23:59.21]  of good photography in that a
[24:00.62]  cornerstone of business in my mind is
[24:03.20]  trust and we want to establish trust
[24:06.11]  above all else and I mentioned Steven
[24:09.68]  Covey earlier in terms of the books that
[24:11.51]  he's written recently about this and he
[24:13.01]  has this quote he says the ability to
[24:16.07]  establish grow extend and restore trust
[24:18.80]  among stakeholders is the critical
[24:21.14]  competency of lead
[24:22.34]  needed today Trust is the glue of life
[24:25.40]  it is the most essential ingredient in
[24:27.14]  effective communication it's the
[24:28.64]  foundational principle that holds all
[24:30.62]  relationships but it takes time and
[24:33.38]  patience and in my mind this is one of
[24:36.11]  the things you want to be clear about
[24:37.46]  right up front and Chicago talked about
[24:39.98]  it people buy on trust they trust you
[24:43.01]  particularly in the SAS world where
[24:44.51]  everything is a service they want to
[24:46.67]  trust you they have to trust you they
[24:48.32]  need to trust you and that's in your
[24:49.61]  interest to build that trust and we've
[24:51.86]  all been on a sports team or had a
[24:53.36]  family relationship or worked in a
[24:55.28]  business where there hasn't been trust
[24:57.94]  bad things start happening and so for me
[25:00.74]  this is absolutely essential to the
[25:04.40]  success of a growing scaling SAS
[25:06.32]  business and part of it is knowing what
[25:10.85]  are the moments of truth and the moments
[25:13.46]  of value particularly the moments of
[25:14.72]  truth of your customers so we we have a
[25:17.26]  strong presence in the median
[25:19.28]  entertainment world and so for a lot of
[25:21.20]  the media companies a few years back it
[25:23.18]  was the night of the elections in the US
[25:24.62]  that's their moment of truth millions of
[25:26.72]  people were hit their sights are we able
[25:28.97]  to be there to support them personally
[25:30.95]  and through our technology we obviously
[25:34.25]  are very strong in e-commerce and retail
[25:36.17]  so on on Black Friday or Cyber Monday or
[25:39.41]  any particular sale period are we there
[25:41.69]  for our customers and able to support
[25:43.37]  them and build that trust because if
[25:45.80]  you're then you can build that trust
[25:47.21]  they'll be there for you when inevitably
[25:49.43]  something goes wrong with your service
[25:51.02]  and they'll understand that you've got
[25:53.93]  em they've got empathy for you because
[25:55.40]  you were there for them and they will
[25:56.96]  likewise be there for you so before I
[26:00.92]  close out I do want to go back to a
[26:04.43]  point I made earlier one of the things
[26:05.77]  I've benefited from over the last three
[26:08.48]  or four years is I've very intentionally
[26:10.88]  spent a lot of time I've sought out all
[26:12.50]  my peer group in the industry and I've
[26:15.02]  said you know how do you think about
[26:16.49]  customer success and engaging with
[26:19.01]  customers and I've realized that we're
[26:20.57]  an evolving industry and that nobody's
[26:23.60]  truly figured this art and best
[26:26.12]  practices are continually evolving and
[26:28.07]  so what am I recommend well one of my
[26:30.41]  encouragement stew you at every turn
[26:32.24]  seek out your peer group in the Indus
[26:34.80]  spent as much time as you can with them
[26:36.54]  because you will not only build
[26:38.16]  confidence around your strategies and
[26:39.99]  ideas you will learn something every
[26:42.03]  time you meet up with somebody who's
[26:43.59]  trying to solve the same problem that
[26:44.85]  you are and I think that's part of what
[26:46.41]  this community and this event is about
[26:49.91]  so in closing you've probably heard I've
