Title     : The Office is Back!!  But What Will It Be Like?  Jason Lemkin & Justin Bedecarre of Raise.Work
Video ID  : 0MnlhVXUo3Q
[02:54.80]  left right salesforce may not go back
[02:57.12]  are you is soma going to come back is
[02:59.12]  soma really going to come back for tech
[03:00.64]  what are you seeing
[03:02.24]  so let's unpack that a little bit slack
[03:04.64]  is coming back and salesforce is coming
[03:06.56]  back in a big way um you know they uh
[03:09.28]  they actually did something super
[03:10.56]  interesting recently in scotts valley
[03:12.80]  they have that like you know retreat
[03:14.40]  center for a lot of the distributed team
[03:16.56]  to go to um in that same story um you
[03:20.24]  know i think it was their head of people
[03:22.40]  or our cmo had mentioned that most of
[03:25.60]  their employees will be back to the
[03:27.28]  office three day about three days a week
[03:29.76]  um and so
[03:31.36]  uh you know uh we definitely agree
[03:33.44]  disagree on so ma let me let me
[03:36.32]  um hit you but you have the data so it's
[03:38.08]  this is i'm not saying i'm right i just
[03:39.52]  know what i see i've never seen anything
[03:41.44]  like zoma today right is reality right
[03:43.44]  like the occupancy level in san
[03:45.44]  francisco
[03:46.40]  is the lowest of any major city um but
[03:49.28]  let me let me throw some data at you so
[03:51.28]  yes in um uh you know we would all say
[03:54.24]  that 2019 was the peak of the office
[03:56.96]  market couldn't find anything couldn't
[03:59.36]  find anything right it was impossible
[04:00.96]  right you know like
[04:03.28]  every company was trying to lease
[04:04.80]  everything right it was like buying a
[04:06.16]  used car today it went over
[04:08.00]  used cars were going over list price for
[04:10.00]  real commercial real estate 2019 right
[04:12.56]  yeah and and in soma as we define it
[04:16.00]  apples to apples to what i'm about to
[04:17.60]  share um 8.2 million square feet of
[04:20.40]  office was leased okay um in 2020 that
[04:23.52]  sunk down below six in 2021 it was 9.6
[04:28.08]  million square feet a huge jump from the
[04:31.12]  peak and over the last 10 years has
[04:33.52]  averaged around 10. so we're almost to
[04:35.44]  the top average
[04:37.36]  of some of the most you know
[04:40.00]  active markets
[04:41.68]  in
[04:42.48]  one of the most important markets in the
[04:43.92]  world and that's just in soma so okay so
[04:46.64]  so let me make sure i understand that
[04:48.00]  yeah there's obviously a lot of there's
[04:49.60]  record vacancy because it's the lowest
[04:51.84]  it has the lowest occupancy of any major
[04:53.76]  city in the us but the amount of new
[04:56.32]  space that was leased by new tech
[04:57.84]  company probably primarily tech right
[04:59.92]  yep primarily 2021 is running at as high
[05:02.88]  a rate as it was in 2019 or approaching
[05:04.72]  it
[05:06.40]  well over
[05:07.60]  well over yeah and so but but occupancy
[05:10.80]  is still you know around 20 to 25
[05:14.48]  okay and and so i think that there's a
[05:17.36]  lot of factors that go into that right i
[05:19.68]  mean uh san francisco is a special
[05:22.16]  snowflake in in many ways um but uh you
[05:25.84]  know um it's had the most stringent mask
[05:28.40]  policies that that went away a couple
[05:30.16]  days ago yeah and you know we could tell
[05:32.64]  you in in the raised office which is
[05:34.56]  kind of near jackson square you know a
[05:36.96]  really nice area um i mean
[05:39.76]  finding building managing office spaces
[05:41.68]  is our life's work yeah and when mask
[05:44.56]  policies were in place like no one
[05:46.56]  wanted to go in and spend eight hours
[05:48.88]  ten hours with a mass that went off and
[05:51.92]  our office just exploded with energy and
[05:54.24]  everyone rushed back um and so i think
[05:56.48]  we're gonna see that um big tech you
[05:59.12]  know that uh apple
[06:01.60]  sales force facebook meta
[06:04.24]  um you know slack um all of these
[06:06.88]  companies are kind of targeting over the
[06:09.12]  next couple months but by april they
[06:11.60]  will all be back um and the the energy
[06:15.04]  and and the activity is going to just be
[06:17.44]  night and day
[06:18.56]  um you know for slack you saw in the
[06:20.56]  headline they gave up that big you know
[06:22.40]  200 000 square feet well the the story
[06:25.12]  didn't say that like that was spill over
[06:27.12]  space to their normal headquarters at
[06:29.20]  500 howard which they are keeping and
[06:31.44]  they just got ice cream
[06:33.20]  yeah and so they have this 500 hours
[06:34.80]  that really pretty building they have
[06:36.08]  right right at the gym
[06:37.76]  they're keeping that yeah yeah and have
[06:39.60]  redesigned it to make it you know
[06:41.20]  community based and whatnot and then
[06:43.52]  they also in that corner as you know
[06:45.84]  it's like salesforce you know park and
[06:48.08]  salesforce corner like yeah they they
[06:49.92]  have so much space so you know um uh the
[06:54.08]  the headlines
[06:55.68]  are not really telling the whole story
[06:57.44]  you know sales uh salesforce themselves
[07:00.00]  put up one of their half of their
[07:01.84]  building at 350 missions sephora took a
[07:04.08]  huge chunk of that so like all of the
[07:06.32]  space is like kind of there's so many
[07:08.08]  opportunities to like take really
[07:09.44]  amazing space yeah fully furnished out
[07:12.24]  um but yeah like the the data tells a
[07:14.24]  different story not on the occupancy
[07:16.80]  like what you see is reality like
[07:19.20]  there's not that many people around um
[07:21.52]  but that's why these next few months are
[07:23.20]  going to be so big as we like enter the
[07:26.24]  new phase of this and we kind of look at
[07:28.24]  what happened you know in the rearview
[07:30.08]  mirror
[07:31.12]  um there's just gonna be a lot of energy
[07:32.96]  there's not a lot of fear um you can
[07:35.44]  actually like really walk around and see
[07:38.08]  each other's faces and emotions and
[07:39.60]  energy and that makes a big difference
[07:41.92]  let me ask one related question and then
[07:43.44]  and then let's get let's talk a little
[07:44.88]  bit about other geographies and jamie
[07:46.32]  can help but
[07:47.36]  yeah sure what you just said
[07:49.36]  facebook sales force
[07:51.36]  those are great those are iconic names
[07:53.12]  but they're also my dad's startup right
[07:54.80]  i mean i don't mean that literally but
[07:56.40]  um
[07:57.44]  what
[07:58.48]  what i don't know what two things that
[08:00.08]  are interesting one is like during like
[08:01.60]  the peak of all this i think you closed
[08:03.52]  a big lease for notion i remember that
[08:05.04]  right when things were like
[08:06.72]  the worst they were right but notion
[08:08.64]  which i think of as a
[08:10.24]  the most classic example company that
[08:11.60]  could be
[08:12.40]  truly remote at least a massive super
[08:15.12]  slick
[08:16.32]  classic brick probably brick and timber
[08:18.24]  kind of thing we all dreamed about right
[08:20.00]  from the movies
[08:21.84]  is that happening though and religious
[08:23.76]  that are one thing that i'm not sure is
[08:25.92]  happening when i
[08:27.60]  certainly when i start investing is so
[08:29.52]  many founders from the rest of the world
[08:31.60]  coming to san francisco because
[08:32.64]  salesforce and facebook are in here and
[08:34.08]  that's enough to fill up the offices but
[08:36.32]  i don't know if the folks from belgium
[08:38.24]  and france and mexico are going to come
[08:40.96]  to san francisco the way they used to
[08:43.68]  i mean um there there's two very
[08:45.76]  distinct issues to talk about there so
[08:47.60]  like immigration and attracting the
[08:49.52]  world's best talent i think that like
[08:52.00]  that i think that if if thinking about
[08:54.88]  positive sum like more places are going
[08:57.20]  to attract you know uh international um
[09:00.40]  uh talent and i think bay area will
[09:02.40]  still be one of them but like
[09:04.56]  you know i mentioned a lot of big tech
[09:06.32]  right but let's look at like you know
[09:09.12]  um
[09:10.32]  uh like iconic
[09:12.00]  high growth really revered brands like
[09:14.24]  figma took down a massive
[09:17.04]  is a great example so figma you know
[09:19.76]  hold on let's just stop there because
[09:20.96]  that's a great one because for every for
[09:23.36]  every company that leaves the barrier
[09:24.96]  there's a thousand unicorns
[09:27.04]  right so if just enough unicorns stay in
[09:29.36]  san francisco they could actually absorb
[09:31.20]  all the real estate because we're only
[09:32.32]  building so much right so like why does
[09:34.64]  a figma although figma wasn't thinking
[09:36.32]  is such a great company it wasn't
[09:37.52]  founded yesterday right it's probably 10
[09:39.20]  years old but what was in figma's mind
[09:41.36]  why did they decide to lease a massive
[09:43.44]  office in the middle of all midst of all
[09:45.04]  of this yeah i mean because they know
[09:47.28]  that um connect you know the
[09:49.36]  connectivity
[09:50.40]  like the importance of bringing people
[09:52.08]  together they publish publicly like an
[09:54.40]  amazing you know new kind of look on on
[09:56.88]  how we work um you know chime right like
[10:00.40]  high growth fintech company yeah they
[10:02.16]  had a huge lease right huge right over
[10:04.24]  200 000 square feet so um yeah you know
[10:06.72]  and and like and then you look at like
[10:08.08]  the companies like loom that are uh or
[10:10.40]  you know one of our clients brex that
[10:11.84]  are creating these amazing cafe spaces
[10:14.32]  yeah that are like um you know uh perks
[10:17.28]  rather than like you know um hubs that
[10:19.76]  you have to go into um and so you know
[10:22.64]  uh thumbtack is actually designing
[10:25.52]  like a library so they're going opposite
[10:27.52]  they're like you only do focus work here
[10:29.52]  you know so it like a lot of companies a
[10:31.68]  lot of really amazing creative companies
[10:33.44]  a lot of unicorns are going to be
[10:34.56]  experimenting but what they do know is
[10:36.88]  that
[10:37.76]  um
[10:38.64]  you know that it is just so important to
[10:41.36]  to create that connectivity whether it's
[10:43.76]  every day a few times a day a few times
[10:46.08]  a week or even a few times a year where
[10:47.76]  like off sites or on-sites become the
[10:50.16]  new off-sites
[10:51.84]  so let's um i want to talk about new
[10:53.20]  york but you got a couple iconic brands
[10:55.36]  there i want to press in sorry we'll do
[10:56.88]  we'll get there now i i this is this is
[10:59.52]  all good this is great but like brexit
[11:01.44]  is a fun one enrique and sam do a lot
[11:03.36]  with faster right so when when all of
[11:05.52]  this hit the co-founders of brex moved
[11:07.44]  to southern california right and the
[11:09.60]  sales team that sam runs which was the
[11:11.28]  largest area they're all distributed sam
[11:13.44]  lives in miami he's coming to our miami
[11:15.12]  meet up shortly
[11:16.40]  but they're having a huge in-person
[11:18.32]  presence so what is that like i think
[11:19.84]  that's maybe one of the more radical
[11:21.60]  ones more radical than figma right how
[11:23.60]  are what have you learned how are they
[11:25.20]  thinking about using this space um when
[11:28.16]  they went from overnight to massively in
[11:30.16]  person to very distributed like what's
[11:31.68]  that what were they trying to get out of
[11:32.96]  this so they're you know
[11:35.28]  like you know hybrid actually is
[11:37.12]  starting to kind of get a almost like
[11:39.68]  feel like a negative word or something
[11:41.36]  it's just a spectrum of how people want
[11:43.52]  to run their companies
[11:44.96]  um
[11:46.32]  uh with brax they're remote first kind
[11:48.80]  of like coinbase and and others where
[11:51.20]  like
[11:53.28]  everything that it takes to run the
[11:55.20]  company how they communicate everything
[11:57.04]  is done
[11:58.32]  digitally right um yes you know through
[12:00.64]  through all the different channels
[12:01.92]  whether it's async sync whatever
[12:04.08]  um and so the the places that they're
[12:06.08]  creating
[12:07.28]  um
[12:08.24]  are are are to bring people together
[12:11.12]  when they want to come have like a very
[12:14.16]  like you know uh collaborative kind of
[12:16.48]  just in person fun fun experience
[12:19.20]  they're not there to kind of do heads
[12:20.56]  down work similar to dropbox that like
[12:23.28]  you only go into these spaces to like
[12:25.52]  meet up with other people or clients or
[12:27.20]  whatever yeah so there's like certain
[12:29.84]  people that like want that um often uh
[12:33.28]  but like they see it as when we have a
[12:35.28]  higher concentration a higher density of
[12:37.76]  employees like we want to be able to
[12:39.76]  bring together in like really kind of
[12:41.76]  fun you know collaborative spaces um but
[12:44.72]  we we don't want
[12:46.96]  um there to be this kind of feeling of
[12:49.28]  like you know um um
[12:52.48]  first and second class citizens
[12:54.16]  depending on like whether you're in
[12:55.76]  office or remote and so that's a big
[12:58.00]  topic maybe we can get to in a minute
[12:59.28]  the citizen thing is something that
[13:00.40]  we've we've all had to figure out now
[13:01.84]  right totally yeah so yeah so i think
[13:04.32]  it's like they're all we're going to
[13:06.48]  experiment like crazy over the next few
[13:08.72]  years which is going to be
[13:10.40]  unbelievably fascinating and exciting um
[13:12.96]  and then you know
[13:14.56]  learning like what um you know companies
[13:17.28]  like airtable or figma or loom which are
[13:19.60]  also doing those kind of creative like
[13:21.60]  you know um hubs but like you're they're
[13:24.08]  not designed to just kind of go heads
[13:26.00]  down work um and
[13:28.48]  um you know there's not going to be a
[13:29.92]  one size fits all but i think we're
[13:31.20]  going to learn such amazing things
[13:33.60]  coming out of this um you know but from
[13:36.56]  the headlines to like the reality
[13:39.20]  uh you know even companies as big as you
[13:42.56]  know google and meta are expecting the
[13:46.08]  vast majority of their employees to come
[13:48.48]  at least a few days a week yep okay one
[13:50.88]  last question on soma and then david do
[13:52.32]  you want to talk about new york maybe if
[13:53.68]  we can atlanta miami austin because they
[13:56.48]  all have different experiences right but
[13:58.08]  okay a mistake we all make and justin i
[14:01.04]  know you're biased but be unbiased speak
[14:02.72]  from data let's say i'm a ceo and i've
[14:04.88]  raised a couple million 10 million 100
[14:06.88]  million whatever dollars yep and i'm not
[14:09.20]  i i want an office in san francisco but
[14:11.60]  i'm in no rush okay like i'm at home
[14:14.40]  when when is it all going to be go
[14:15.84]  because it always happens like capacity
[14:17.76]  you think there's all this capacity and
[14:19.92]  then you cross a line and there's
[14:21.76]  nothing right this is both residential
[14:23.92]  commercial used cars like we could pick
[14:26.08]  a lot of assets that have this the
[14:28.56]  elasticity is very strange isn't it and
[14:30.56]  it hits you like whiplash right
[14:32.96]  realistically when would you say you
[14:34.88]  should be
[14:36.56]  getting an office before everyone
[14:38.16]  figures out they want an office don't
[14:39.44]  tell me it's too late because that
[14:40.72]  doesn't help what is that date
[14:43.04]  but you're going to be sat on the
[14:44.48]  sidelines too long
[14:46.08]  as objectively as possible
[14:48.56]  over over the next three months and i
[14:51.28]  say that because
[14:52.88]  like you know it's a little bit before a
[14:56.08]  lot of other a lot of the big tech and
[14:58.40]  big offices are going to be repopulated
[15:01.36]  there's a good amount of subleases um
[15:04.24]  and you have to bet that like
[15:06.88]  the
[15:07.76]  you know
[15:09.04]  you can't get away with like
[15:11.12]  you know locking things down again and
[15:13.20]  so like this is like the most confidence
[15:15.04]  you can have about things staying open
[15:17.12]  and like us moving on um but there's
[15:19.52]  still good opportunities um people are
[15:22.00]  gonna start getting more and more fomo
[15:23.76]  as like you know you walk around the
[15:25.84]  streets and there's ever like you know
[15:27.76]  the shops and the sandwich spots are the
[15:29.76]  coffee shops are open um i'm really
[15:32.40]  really bullish that um you know it's
[15:35.12]  gonna get really exciting towards the
[15:36.40]  second half of this year
[15:37.84]  okay
[15:38.80]  so leave something by this by the summer
[15:40.72]  at the latest if you want a cool spot
[15:43.52]  and have choices in in soma right get it
[15:46.00]  done by the summer right
[15:47.60]  getting them and that means you're
[15:48.88]  starting now right in essence you have
[15:50.96]  to change yeah
[15:56.32]  i want to know the people if they start
[15:57.76]  by the summer they take a little bit of
[15:59.44]  time to make up their mind and they get
[16:00.64]  going before the summer the the that
[16:03.20]  they're getting ah they're still getting
[16:04.48]  ahead enough that they don't have to
[16:05.60]  panic right
[16:07.04]  yeah and like you know parents are
[16:08.48]  settled in schools are opening back up
[16:10.64]  so like it's just a really good time um
[16:13.60]  that like people are like kind of locked
[16:15.68]  in on where they want to be for the next
[16:17.12]  year
[16:18.40]  yeah so
[16:19.36]  so jamie tell us about new york i
[16:20.96]  remember watching million dollar listing
[16:22.96]  and and this started it happening and
[16:24.96]  you could you could get like a beautiful
[16:27.36]  uh 11 room penthouse in uh
[16:31.04]  in the meat packing district perhaps the
[16:32.72]  price of today right you'd walk around
[16:34.88]  what's it called north of the
[16:35.76]  meatpacking what's that area called
[16:37.52]  you're going like west village no no
[16:39.92]  north
[16:40.80]  what's that a whole new area the whole
[16:41.84]  new area where the office
[16:43.84]  yeah hudson yards was like quick it was
[16:45.44]  like
[16:46.40]  for a while right it was like soma there
[16:48.32]  but now everything's back folks went
[16:50.72]  home and let's talk about atlanta austin
[16:52.96]  and miami where folks actually kept
[16:54.40]  working in the office but what's up is
[16:55.76]  it true what's the texting like who and
[16:57.76]  you work a lot with tech tech focused
[16:59.52]  media it sounds like they're back at the
[17:01.68]  office with a passion right they they
[17:04.08]  are i think uh for sure for sure i think
[17:06.80]  the the the the level of activity i know
[17:10.24]  you don't want to talk about that it's
[17:11.28]  called the household names but in
[17:12.40]  reality we have to because they're the
[17:14.24]  ones that drive growth and they're the
[17:16.24]  ones that the mid markets then follow so
[17:19.44]  when you see
[17:20.80]  you know the big tech companies further
[17:23.28]  committing to new york as
[17:25.52]  over this period of time uh for the past
[17:27.68]  20
[17:28.96]  20 plus months and then in addition they
[17:31.60]  are continuing to grow in in this
[17:34.24]  respective market has a full-on trickle
[17:37.12]  down effect to the mid-market growth
[17:39.44]  companies so you so ie like the roku's
[17:43.20]  tick-tock all these companies have kind
[17:45.44]  of established themselves and are
[17:47.20]  further growing in this market and then
[17:49.84]  you know taking it one step further then
[17:51.76]  you go to the next level level of growth
[17:53.84]  that you know planning that that you
[17:56.64]  know 300 to 500 seats of full growth
[18:00.00]  mode right um so
[18:02.32]  it in new york it's it's it's such a
[18:04.24]  unique market um you know unbiased
[18:06.88]  because you know this is the the market
[18:08.40]  i live and breathe and i'll i'll put
[18:10.48]  this market against many other markets
[18:12.00]  but the diversity of the market it helps
[18:14.16]  us because of the the the industry
[18:16.08]  specific from the legal sector to the
[18:18.00]  financial sector and the and the tech
[18:20.16]  sector all they support one another
[18:22.80]  right so you're seeing this continued
[18:25.44]  growth
[18:34.64]  well there's good things for you to
[18:35.84]  understand right right like the
[18:38.24]  unlike when we we we try to the way we
[18:40.56]  have to look at the market is that
[18:42.88]  new leases okay in this market period of
[18:45.04]  time over a hundred thousand feet which
[18:46.56]  is a of significant size yeah
[18:50.88]  yeah these these are you know we're
[18:52.56]  looking at like almost like
[18:54.64]  four to five x uh as many transactions
[18:57.84]  closed in this period of time since last
[18:59.84]  year okay let's slow down for folks that
[19:01.44]  haven't read in an office yet a hundred
[19:02.72]  thousand straight is what i call super
[19:04.32]  unicorn phase or big company right
[19:06.56]  you're not you don't need even if you
[19:07.92]  raise it a billion you may not have
[19:09.44]  enough employees to need a hundred
[19:10.56]  thousand square feet right
[19:14.64]  you're pre-ipo you're probably pre-ipo
[19:16.72]  you're probably pre-ipo at that point
[19:18.32]  right it's an important factor because
[19:21.28]  you know as these companies are
[19:22.72]  established they are looking past the
[19:25.28]  forest right they're looking at
[19:26.56]  operations being opportunistic and also
[19:29.28]  being and being enough it's a you know
[19:31.68]  the drive is this flight to quality okay
[19:33.84]  so right now like the better better
[19:36.40]  opportunities better assets are being
[19:38.56]  leased faster at a very high rent and
[19:42.16]  you know so all of a sudden that space
[19:43.84]  becomes
[19:44.96]  taken off the market pretty quickly yeah
[19:48.00]  and granted
[19:49.28]  you know there's other obviously product
[19:50.80]  that is being built and being uncovered
[19:54.96]  but the market that
[19:56.96]  you know when you when you start to look
[19:58.40]  at core concentration of tech which we
[20:00.24]  define as midtown south right let's call
[20:02.00]  it 34th street canal river river is the
[20:05.04]  core market yup soho chelsea union
[20:07.44]  square flatiron right in that market
[20:09.44]  from like over year to year there's 500.
[20:12.24]  let's call 500 000 square feet of leases
[20:14.32]  which is about it's up 65 and
[20:16.96]  approximately 65
[20:18.48]  from a year ago okay and that's how
[20:20.32]  that's broken out right when you break
[20:21.92]  that out those are those are 5 10 15
[20:25.20]  20 000 square foot tenants so those are
[20:26.96]  tenants that are
[20:28.32]  from 20 people to 150 people well that
[20:31.04]  was the offices most of us want right
[20:32.96]  the 5 to 20k square feet right that's
[20:34.96]  what we want right so so that market
[20:37.84]  right is is still
[20:40.32]  the most competitive market for for for
[20:44.08]  called high growth tech as you start to
[20:45.68]  establish yourself um in that market it
[20:48.56]  just gets more difficult to find
[20:50.40]  opportunities given the lack of product
[20:52.88]  so you then have to kind of push
[20:54.40]  boundaries
[20:56.00]  hudson yards
[20:57.52]  downtown you kind of have to kind of
[20:59.28]  spread your wings a little bit
[21:01.12]  but
[21:01.84]  like every other startup's doing but yes
[21:03.52]  i hear it okay so let me just focus on
[21:05.12]  listening you're watching let's say i
[21:06.56]  want five to ten thousand square feet
[21:08.16]  like as you're growing it series a if
[21:10.56]  you can afford it that's what you want
[21:12.40]  how hard is it today
[21:14.48]  um to get to find a for you to find a
[21:17.04]  couple spaces i might like is it how
[21:18.80]  hard is it on a scale of one to ten it
[21:20.96]  it it's you still there's there's still
[21:22.72]  plenty of space there is plenty there is
[21:24.48]  plenty of inventory okay there is
[21:25.68]  there's this
[21:26.80]  when will the answer be
[21:28.64]  like pulling out my hair type like 20
[21:30.40]  19. well we'll be there in the summer in
[21:32.16]  the fall when will we yeah let's go
[21:34.00]  summer fall i i'll follow i'll fall just
[21:36.64]  on that let's take the same same path
[21:38.80]  um
[21:40.16]  so i think what we're going to see is
[21:41.92]  once this once the schools get you know
[21:44.00]  once the turn for the schools happens
[21:46.16]  again you start to say that you start to
[21:47.84]  see that acceleration happen because
[21:49.52]  people know where they're going to be in
[21:51.20]  september
[21:52.24]  so
[21:53.20]  jamie brought up a good point so you
[21:54.96]  know uh
[21:56.40]  a lot of the last two years
[21:59.12]  have been um
[22:00.88]  big tech
[22:02.56]  um
[22:03.60]  doing more leasing in a period of time
[22:05.76]  than they have ever in history um we our
[22:09.28]  data shows 18.4 million square feet of
[22:12.80]  leases by big tech amazon you know um
[22:16.96]  facebook google microsoft microsoft etc
[22:20.24]  um
[22:21.44]  that's 312
[22:23.92]  football fields of office yes in the us
[22:27.04]  for office um and it's because they can
[22:30.48]  look two three four years beyond and
[22:33.04]  that's why you know a lot of um the
[22:36.08]  folks in the sasser community you know
[22:38.16]  some are in that category but a lot of
[22:40.40]  them are like okay well i i can't look
[22:43.36]  you know two years i can't lease a space
[22:45.52]  two years down the line you know like
[22:48.00]  that that doesn't make any sense and
[22:49.68]  that's why we're saying that like over
[22:51.60]  the next kind of six to nine months are
[22:54.08]  going to be really critical um you know
[22:57.36]  because the the world is opening up but
[22:59.12]  there's still a lot of good
[23:00.24]  opportunities for really amazing spaces
[23:03.12]  um you know uh um you know raises a
[23:06.48]  hundred people right we have
[23:08.40]  7 000 square feet in san francisco and
[23:10.64]  it's you know gorgeous space ground
[23:13.04]  level on a park that we got for a great
[23:15.28]  deal um there's there's definitely a
[23:17.36]  good amount of those and still built out
[23:19.20]  and like you don't have to invest a ton
[23:20.40]  in the space um but that's what's going
[23:22.64]  to be accelerated now that we're like
[23:24.64]  through this because
[23:26.16]  you know ceos and you know people
[23:28.72]  building companies can see three six
[23:30.88]  months in advance except and i think to
[23:33.68]  touch upon i know we talked about before
[23:35.28]  like the distributed workforce where i
[23:37.36]  think you mentioned like you're starting
[23:38.56]  to see people spread out like where
[23:39.92]  they're working and you know in
[23:41.12]  different parts of the country out of
[23:43.20]  that that's called 18 million square
[23:45.36]  feet
[23:46.16]  15 is in new york so it's still a big
[23:49.20]  concentration of
[23:51.12]  of a
[23:52.00]  stat that um is not going away and
[23:55.20]  there's there are there's kind of
[23:58.08]  more as we're seeing more of these high
[24:01.68]  growth tech companies
[24:03.44]  were seeing firsthand fully committing
[24:06.16]  now and looking at this opportunity as
[24:08.32]  like maybe these are this is where we
[24:10.24]  want to bring the talent because we're
[24:13.12]  we're we need to start mentorships we
[24:15.28]  need to start like like building a a
[24:17.76]  company together and that's why you
[24:19.92]  start to see this significant growth it
[24:22.24]  sounds like maybe one thing on twitter
[24:24.56]  that may be actually real is that folks
[24:26.72]  in new york tech and media may be more
[24:28.96]  aggressive in getting back faster than
[24:30.56]  in the bay area right yeah and it's yeah
[24:32.96]  i i think you're right and i think
[24:34.88]  sergeant's good
[24:36.56]  i mean almost by twofold right i mean
[24:38.80]  um like
[24:40.64]  jamie what would you say kind of around
[24:42.88]  60 percent occupancy is like
[24:45.28]  pre pre you know panic
[24:48.16]  um and you know we just heard the ceo of
[24:50.88]  uh uh google talk about their over 50
[24:54.00]  capacity um and they're not know that
[24:56.72]  wow um and so you know you you are
[25:00.08]  seeing that and i think that like
[25:01.92]  again i do think that the bay area is
[25:04.16]  just slower it's not like not gonna
[25:07.36]  happen um and and so yeah like new york
[25:11.36]  and then you know you were mentioning
[25:12.88]  like other markets around the country
[25:14.24]  that had
[25:15.52]  less mandates uh over time or got rid of
[25:18.72]  them sooner yeah atlanta miami stuff
[25:20.72]  like that what do you see in atlanta
[25:21.92]  miami austin like what's what's what you
[25:23.68]  seeing there um like huge growth you
[25:26.00]  know um uh uh
[25:28.48]  facebook just did the biggest office
[25:30.08]  lease in history in austin uh
[25:32.80]  like you know residential numbers are
[25:34.88]  crazy um the the the growth of of of um
[25:39.76]  rental rates in miami is insane and
[25:41.68]  they're you know trying to build
[25:43.68]  buildings you know as fast as as
[25:45.60]  possible um you know i'll be spending
[25:47.92]  some time there soon as well um
[25:50.24]  hopefully i can make your event um
[25:52.64]  but um you know
[25:54.64]  like the office so we were looking at
[25:56.72]  studies from um
[25:58.48]  companies that a badge you know
[26:00.56]  companies so like that they like you
[26:02.08]  know um you have the real data right so
[26:04.24]  we have the real data um so on average
[26:06.88]  about 30 percent 33 across the country
[26:10.24]  um are are are back in regularly um
