Title     : How to Bridge the Gap Between Product and Sales Teams:  Lenny & Jason
Video ID  : ZoqtqhdjT7I
[03:45.28]  to hitting the plan more that their kpis
[03:47.80]  and their okrs are essentially like this
[03:49.84]  much revenue you need to drive this much
[03:51.44]  revenue from your experiments from your
[03:53.24]  product launches as you can see I have a
[03:55.64]  lot of opinions on on things here that
[03:58.00]  are data driven they're life experience
[04:00.52]  this one I don't I need another year in
[04:02.08]  the oven and I'll tell you why I'll tell
[04:04.68]  you why what happened the last 18 months
[04:06.76]  is in customer success which is a which
[04:09.00]  is you know in the old days it was
[04:10.84]  related to product now it's it's less so
[04:12.72]  which is I think is unfortunate in
[04:14.24]  customers in the last 18 months this
[04:15.48]  happened all across the industry 24
[04:17.92]  months ago customer success's goal was
[04:19.52]  happy customers measured in retention
[04:22.68]  sometimes nrr like net retention with
[04:24.36]  UPS sales sometimes with grr like just
[04:26.16]  logos how many logos say that was your
[04:27.60]  only job happy customers happy customer
[04:30.48]  then things got harder in many areas of
[04:32.00]  B2B and every customer success team last
[04:34.52]  year their goal was Revenue you need to
[04:36.76]  bring in more revenue from existing base
[04:39.72]  and it destroyed customer relationships
[04:42.28]  it had there is a leading public company
[04:44.40]  I will not name him I'm a positive guy I
[04:46.24]  will tell you a company we all have used
[04:47.96]  for years and loved okay and they did
[04:49.52]  this to their customer success team and
[04:51.60]  they came to us last year we paid $299 a
[04:54.04]  month for this product for our team they
[04:55.76]  asked us for $50,000 up front or said
[04:57.56]  they would turn it off that day
[05:00.88]  that week maybe it was that week
[05:02.52]  $50,000 that's what happens when you
[05:04.36]  weaponize and so customer success I know
[05:06.52]  this is going to trigger some people but
[05:07.88]  it is true when I talk to leaders
[05:10.00]  customer success got weaponized and I
[05:11.68]  don't like it okay I don't like it as a
[05:14.00]  product as a all founders are product
[05:15.72]  people I think I don't like it as a
[05:17.04]  product because I think it's bad for
[05:18.32]  customers that experience I got was
[05:20.08]  horrific wasn't it that 50,000 to being
[05:22.84]  told and it got walked back and
