Title     : Veeva:  The Biggest Vertical SaaS Success Story of All Time with Founder/CEO Peter Gassner
Video ID  : bN5Zstc_v4A
[02:06.00]  industry needs so we're a real
[02:08.16]  multi-product line company now um we
[02:11.08]  didn't start that way but that's where
[02:12.44]  we are okay I want to hit that in a
[02:14.12]  minute because we we just talked with
[02:15.56]  Jeff Lawson about his slots and you and
[02:16.88]  I chatt about those before um but um but
[02:20.24]  let's go back for a minute so the early
[02:22.56]  days so your background you were early
[02:24.64]  to just about everything right you were
[02:25.84]  early at seow you were VP of Technology
[02:28.04]  at Salesforce back in the day yeah
[02:30.28]  yeah back in the with the with the with
[02:32.08]  the OG right and then you came up with
[02:34.96]  the crazy idea to start Viva like in
[02:37.84]  2007 um like just before the worst two
[02:40.88]  years that we've experienced in in the
[02:42.64]  industry right 08 and 09 so we talked
[02:46.04]  before tell us a little bit what what
[02:47.52]  what gave you the bug to start Viva
[02:49.08]  what's the what's the background story
[02:50.48]  for the company well I think you know
[02:52.84]  part of it is just how was born I never
[02:55.24]  liked to follow the herd I think I
[02:57.56]  probably frustrated my parents at time
[03:00.04]  about that I mean literally I never like
[03:02.88]  to follow the herd I remember coming
[03:04.84]  back in in first grade and telling my
[03:06.92]  parents I don't want to learn how to
[03:08.64]  read I don't think I need to and
[03:12.84]  literally and my mom blessed her heart
[03:15.88]  she said what do you think she said she
[03:18.80]  said that's fine you know I never met a
[03:21.20]  18-year-old who didn't know how to read
[03:22.92]  so I'm sure you'll get
[03:24.36]  there yeah she she knew I was
[03:26.48]  hard-headed so what I figured what what
[03:28.72]  tipped it for me is I realized man I
[03:31.40]  can't read the road signs and I want to
[03:33.28]  know where we're going okay I better
[03:34.80]  learn how to read so I've never followed
[03:36.84]  the herd so that's one thing it's just I
[03:38.96]  think you're born with it but the other
[03:40.72]  thing is I've studied enterprise
[03:42.20]  software for literally 30 years I was an
[03:44.68]  intern at IBM Mainframe software when I
[03:47.84]  was 20 years old now was 30 years ago so
[03:50.56]  if you take this ability to not follow
[03:53.08]  the herd and the experience you can spot
[03:56.24]  Trends because when you think about it
[03:57.72]  when a trend is early every everybody
[04:00.20]  thinks you're wrong that's the
[04:01.84]  definition of being early so I have this
[04:04.48]  Knack of doing that I'll give a little
[04:07.48]  example of Viva I'd always done you know
[04:11.36]  General software things database
[04:13.20]  software on mainframes people soft Ren
[04:15.76]  that Technology Group salesforce.com
[04:17.88]  platform for everybody and in 2007 I had
[04:21.08]  this idea I'm going to make something
[04:22.52]  very specific to an industry very
[04:24.80]  specific to an industry in the cloud and
[04:27.24]  I remember sitting down with his friend
[04:28.76]  he actually Drew on a napkin paper
[04:30.84]  napkin look here's enterprise software
[04:34.16]  okay now here's Life Sciences that's a
[04:35.92]  very small wedge and here's Pharmacy orm
[04:38.64]  that's like a pin prick you know what
[04:40.80]  are you doing you've got so much
[04:42.56]  potential and that's when I knew hey I'm
[04:44.60]  on to something I think it could be good
[04:47.48]  most people think it's dumb that's a
[04:51.40]  very encouraging thought so I would say
[04:53.28]  to the entrepreneurs recognize that when
[04:55.32]  you get that thing where you're a
[04:56.76]  rational person and you think it'll be
[04:58.88]  great and you know 99 out of 100 people
[05:02.48]  think it's bad that's when you have
[05:04.60]  opportunity don't get discouraged yeah
[05:07.24]  um so that's I've always done that I
[05:09.12]  mean even salesforce.com in the early
[05:10.84]  days when did you join Salesforce uh
[05:13.00]  2002 I guess or so yeah another terrible
[05:15.84]  time to be in technology yeah world that
[05:18.40]  I ended in 2002 too and most people
[05:20.68]  thought that cloud thing would never be
[05:22.32]  big and I always remember people asking
[05:24.28]  me they would start to learn about it
[05:25.76]  and then at some point they would say I
[05:27.80]  get it I get it who are you trying to be
[05:30.52]  like I like oh no you don't get it not
[05:33.20]  trying to be like anybody that's the
[05:35.44]  whole point yeah uh so I think it's that
[05:38.32]  experience and a willingness to not
[05:40.08]  follow the herd so and then we we
[05:41.84]  chatted about this before on the phone
[05:43.08]  so you start you leave you you see you
[05:44.84]  see this white space it seems small in
[05:46.32]  the beginning but you know it's there
[05:47.48]  and how did you know you wanted to be a
[05:49.04]  CEO well I I didn't actually um I
[05:52.84]  specifically didn't want to be a CEO um
[05:55.52]  so that's that's the real story there
[05:57.92]  I'd retired a little bit after for
[05:59.60]  salesforce.com and I didn't want to be a
[06:01.40]  CEO I was software developer product
[06:03.92]  person I thought that's the most
[06:05.16]  creative thing to do so that's what I
[06:07.12]  wanted to
[06:08.24]  do um happened to be I ran into some
[06:11.04]  folks who wanted to fund me and I
[06:12.40]  thought well that's kind of good so I
[06:14.60]  can be like the head of products and the
[06:16.32]  CEO and if it you know most startups
[06:18.44]  fail so I don't have to worry about it
[06:20.60]  but pressure was off yeah I mean but no
[06:24.12]  pressure the first six months is it yeah
[06:25.68]  I always thought hey if it doesn't fail
[06:28.68]  then we'll get a SE
[06:30.32]  ah so that was my plan and then um you
[06:33.72]  know it didn't work out that way we
[06:35.28]  happened to because actually it's the
[06:36.92]  truth most startups do fa fail you know
[06:39.52]  if most restaurants that startup fail
[06:42.04]  most technology companies that's the
[06:43.84]  odds otherwise you're not being
[06:45.20]  aggressive enough right you can open a
[06:47.68]  hamburger stand you know it's not going
[06:49.04]  to fail but you know you're not going to
[06:50.56]  make a lot of money so you're you're
[06:52.40]  most likely going to fail that's the
[06:54.04]  facts I thought it was going to happen
[06:56.20]  but then the unexpected happened we
[06:58.24]  didn't fail it really start started
[06:59.60]  going and I started enjoy I thought man
[07:02.28]  I really enjoy being a CEO and I'm
[07:04.44]  pretty good at it and I I started
[07:06.40]  feeling I can improve myself enough to
[07:09.48]  remain the CEO so it was never my plan
[07:12.56]  to be the CEO yeah and where um and what
[07:16.16]  percent of your customers today are
[07:17.32]  seven figure deals and and up it's
[07:19.72]  balance the revenue right yeah balance
[07:21.84]  of the revenue we have you know not so
[07:24.32]  many customers less than 500 that first
[07:27.16]  year when you decided you didn't want to
[07:28.68]  be Co and see how it goes how what was
[07:31.00]  how did you get the passion around
[07:32.40]  closing those big deals oh I am stories
[07:36.48]  I'm competitive right I like to do a
[07:38.40]  good job I like to do a good job you
[07:40.88]  feel responsibility for your employees
[07:43.80]  um I I'm a hard worker I think most
[07:46.56]  entrepreneurs are so you know I was I
[07:49.44]  knew the likelihood is it wasn't going
[07:50.96]  to work but I knew it wasn't going to be
[07:53.16]  because of lack of effort right and
[07:55.88]  that's what really matters so just
[07:58.12]  iterative decisions every day about what
[08:00.48]  product to make when to cave in a
[08:02.60]  customer when not to who to hire we
[08:05.40]  always had a quarterly plan we did not
[08:08.32]  have any plan that extended Beyond 90
[08:10.80]  days in the company in the first year
[08:12.92]  because I always said it's irrelevant 6
[08:15.36]  months from now we could be out of
[08:16.52]  business why do you even want to think
[08:19.08]  about that or talk about no 12 Monon
[08:20.84]  goal for
[08:22.56]  Revenue quarterly plans period for the
[08:25.96]  first year and a half of the company
[08:27.88]  then we graduated for the next two years
[08:29.96]  to an annual plan then after that we
[08:32.80]  have a three-year plan and then just now
[08:35.64]  we're starting to you know do the
[08:38.12]  vaguest of fiveyear plans yes but it's
[08:41.96]  true it doesn't matter most cases for
[08:44.48]  most startups the next quarter doesn't
[08:46.72]  really matter it's this quarter yeah one
[08:49.12]  related point to that you are sort of
[08:51.56]  legendary in terms of uh working with
[08:55.32]  customers providing huge value and
[08:57.60]  getting getting good contracts out of
[08:59.36]  them so what's the secret to know when
[09:01.48]  to walk and how to work especially in
[09:03.00]  the early days when when I mean now you
[09:04.96]  have the iconic brand at least in your
[09:06.40]  verticals but how do you pull that off
[09:07.80]  in the early days I was terrible at this
[09:10.16]  in the early days you don't have any
[09:12.60]  brand you tell your customer the company
[09:15.24]  name and they're like what let me write
[09:16.88]  that down right they don't know what
[09:18.76]  that is trees or one
[09:21.72]  many you know I remember this one
[09:24.52]  meeting with a large customer we're
[09:26.00]  trying to win business and the guy in
[09:27.68]  the back of the room stood up and said
[09:29.44]  we have more people in this room than
[09:31.20]  you have in this company why would we
[09:33.40]  ever buy anything from you why would
[09:35.00]  they and I told them I mean you have
[09:37.48]  those are the moments of Truth where
[09:39.64]  where you have to tell the truth right
[09:41.56]  you have to say what you believe and I
[09:43.72]  said what I believed I said we have
[09:46.16]  great people and we're working on great
[09:49.28]  technology and that's it so that was the
[09:52.96]  reason and I so my secret on it is
[09:55.68]  always sell yourself first so when I'm
[09:58.60]  talking to a customer it may be a
[10:00.36]  negotiation or something like that or
[10:02.60]  give somebody an employment offer I will
[10:04.84]  sell myself first I will really
[10:07.76]  understand what is the price I want for
[10:10.56]  my product I have apples for sale I get
[10:13.92]  to set the price of the apples yeah
[10:16.04]  because they're my apples the other
[10:18.92]  person can decide if they want to buy
[10:20.48]  the apples and so you just understand
[10:23.08]  that and then then that way it becomes
[10:25.44]  very simple it's not actually my problem
[10:28.60]  if it doesn't go through it's the other
[10:31.12]  person just didn't you know they didn't
[10:34.24]  see they want the app they were
[10:36.00]  incorrect they didn't want to you know
[10:38.80]  they were incorrect so it's otherwise it
[10:42.56]  so I'm never trying to get the most out
[10:45.16]  of something you know I'm trying to get
[10:47.52]  the right value the right value that
[10:49.44]  that's still a challenge for many of us
[10:51.48]  most of us tend to back off because we
[10:52.96]  don't want to blow the deal you don't
[10:54.64]  want to lose the logo so I think we all
[10:56.44]  leave a lot on the table until we get
[10:58.64]  help I leave leaving on the table is
[11:01.44]  fine but selling it for not knowing what
[11:05.12]  you think something is worth that's not
[11:07.44]  fine that's not fine especially because
[11:09.48]  when you're making a product the price
[11:12.28]  you set will determine how good your
[11:14.36]  product is right it's self-fulfilling it
[11:17.64]  is it is self-fulfilling isn't it yeah
[11:19.72]  because it's the expectation am I
[11:21.80]  building a premium product that's great
[11:25.04]  well that should cost a little more and
[11:27.76]  the money will come in and you'll just
[11:29.56]  that's the expectation of course this
[11:31.92]  product's of course I can't accept
[11:34.24]  anything wrong with this product do you
[11:35.80]  know how much we're charging for this I
[11:37.40]  can't accept anything wrong this is a
[11:39.36]  premium product so it just starts I
[11:41.88]  think the better your team is the more
[11:43.40]  you should anchor High because you can
[11:45.08]  deliver that that that the best solution
[11:46.72]  in the market yeah it starts with the
[11:49.56]  CEO actually you know are you going to
[11:51.56]  make something that's great or not and
[11:54.28]  then if it's great it must have value
[11:56.52]  and you have to assign the value yeah uh
[11:59.04]  uh so I guess I've always felt strongly
[12:01.80]  about
[12:03.16]  that so let's talk a little bit about uh
[12:05.92]  where we started because I want to I
[12:07.08]  want to dig in on on sort of multiple
[12:08.84]  products so you've got three three lines
[12:10.92]  now right you and I had I want to talk
[12:13.52]  about some of the stuff we talked about
[12:14.48]  before we had Jeff Lawson from tulle out
[12:16.00]  here which is throw teams of five on it
[12:18.76]  uh see if it works see if it doesn't
[12:20.56]  break um we had yesterday we had uh the
[12:24.36]  co of Trello talking about that's a spin
[12:26.80]  out from a company called fog Creek and
[12:28.24]  seeing where breaks
[12:29.72]  um but you and I when do you when do you
[12:31.56]  add a product line right what's what's
[12:33.20]  your view on this well so we're in this
[12:35.80]  enterprise software it's a slightly
[12:37.56]  different right we're selling to these
[12:40.16]  large customers and they're really
[12:41.68]  running their business on it and that so
[12:43.72]  it's a little bit different you have to
[12:44.76]  be a little more measured but what I
[12:46.56]  always think about is a company usually
[12:49.84]  starts up from a product right you have
[12:51.76]  a product idea and wow I find some
[12:55.76]  product Market fit right and it starts
[12:57.80]  growing and then my my my company is my
[12:59.68]  product my product is my company the the
[13:02.16]  two things are intertwined and that's
[13:03.84]  the stage many many companies fail or
[13:07.48]  become suboptimal when they break that
[13:10.36]  when they say I'm going to really start
[13:12.76]  another product line not an add-on
[13:15.16]  product or something like that but this
[13:16.88]  is like Amazon saying I'm in e-commerce
[13:20.04]  now I'm in web services yeah that's
[13:22.16]  seemed crazy at the time web service is
[13:23.88]  not an add-on product to e-commerce
[13:25.84]  right so they really so when you when
[13:27.88]  you decide I really want to make
[13:29.44]  something big and different two things
[13:31.80]  one is it should be bigger than the
[13:33.32]  first thing you're doing yeah I love if
[13:36.04]  it's not bigger is it worth your time
[13:37.44]  yeah is it worth your time and then you
[13:39.36]  have to realize when you do that you're
[13:40.96]  breaking apart your product processes
[13:42.92]  from your company processes and that's
[13:45.28]  super super super hard and it took Viva
[13:48.64]  about three or four years and it's just
[13:50.28]  persistent effort and a lot of times you
[13:52.72]  can fail at that so I think really
[13:56.44]  realize that when's the right time to
[13:58.48]  become a m a real multiproduct company
[14:01.40]  pick a clear Market that's clearly big
[14:04.12]  you won't know if it's correct until
[14:05.60]  later there's no way we say pick clear
[14:07.84]  and correct markets you won't know if
[14:09.64]  it's correct until later but if you
[14:11.84]  can't write down this is what I'm making
[14:14.84]  this is who I'm going to sell it to this
[14:16.60]  is roughly how many people I can sell it
[14:18.52]  to and this is roughly the price I want
[14:20.08]  to get then you don't have a clear
[14:21.84]  Market yeah so I think it's possible to
[14:24.64]  know if you have a clear market and
[14:26.20]  correct I don't worry about cuz it's
[14:27.84]  impossible to know
[14:29.28]  yeah cuz we were talking before it's the
[14:31.68]  Easy Choice is the is the the adjacent
[14:33.92]  product that clearly attaches but
[14:36.44]  ultimately is a smaller Market than your
[14:37.84]  core market right that's the one that's
[14:39.36]  the easy that's the easy ones to grab
[14:41.52]  that's the Trap the Trap because when
[14:43.08]  you think about it you're going to get
[14:44.24]  that anyway yeah one way or the other
[14:47.16]  yeah so that's not aggressive and
[14:49.20]  sometimes if you focus on those you can
[14:51.56]  lose the intellectual capital or the
[14:53.84]  Mojo you get busy and you pat yourself
[14:56.40]  on the back for I'm doing that little
[14:58.28]  thing I'm doing that thing and that
[14:59.52]  thing's a big thing okay well how big is
[15:01.72]  it put a number on it well okay it's
[15:04.40]  it's not as big as the original thing
[15:06.32]  we're doing okay well don't kid yourself
[15:09.24]  yeah but you have to be ready though too
[15:11.00]  you don't want to be Reckless like if
[15:12.60]  you don't have the financial capital or
[15:14.48]  the intellectual capital in yourself or
[15:16.64]  your management team or the
[15:18.40]  energy you know don't tackle something
[15:20.92]  that's obviously way too big because
[15:22.64]  then you'll let people down is now is
[15:24.84]  let me ask you a reg question then let's
[15:26.12]  talk about money just briefly is capital
[15:28.28]  an exuse to not do something that's big
[15:30.24]  how much money did Viva raise again we
[15:32.44]  we we raise seven we only use three okay
[15:35.44]  you only ra three yeah we only Ed burn
[15:37.44]  $3 million tonight so I sometimes I when
[15:39.68]  I hear Capital as an excuse I wonder if
[15:42.00]  the root cause is something else well I
[15:44.28]  I think it clearly depends on the
[15:45.84]  business some type of business you
[15:47.88]  you're building a semiconductor Factory
[15:49.84]  I think you that that you could do that
[15:52.20]  without cap and then you wouldn't be
[15:54.00]  following the herd that's for sure but
[15:56.72]  um I think
[15:59.16]  so it depends on the business and then
[16:00.60]  you have to
[16:01.72]  be you know intentional and scarcity of
[16:06.72]  capital can help you you have to be have
[16:08.80]  enough but you shouldn't have too much
[16:10.88]  you have to have enough to hire people
[16:12.48]  to dedicate on it that's all you need
[16:14.44]  you do need that right yeah you need
[16:15.80]  that dedicated people and um so for like
[16:18.56]  Vault what was the initial core team
[16:20.16]  size oh you know again Vault Vault was
[16:24.16]  starting off and it was nothing at first
[16:27.08]  before we hired our first person right
[16:29.00]  so we only had quarterly goals for Vault
[16:31.36]  for the first year and a half of it and
[16:34.12]  the rule was get to a dozen great people
[16:37.28]  as quickly as you can and then after
[16:40.12]  that figure out what would be next so
[16:42.72]  get that was the first first Bas why it
[16:44.72]  doesn't I think it's a good set of
[16:46.64]  people that can kind of work together
[16:48.08]  and be
[16:49.08]  multi-disciplinary software and
[16:50.72]  Engineering product management strategy
[16:52.72]  it's sort of a cohesive group um so was
[16:56.48]  get to dozen and hey if we get there
[16:59.36]  figured out what's next do that's good
[17:02.04]  no long-term plan but it was get to a
[17:04.56]  dozen quick it wasn't like hey let's get
[17:06.60]  three people because otherwise it's
[17:08.24]  distraction yeah right so if we didn't
[17:10.08]  have enough money to hire a dozen great
[17:11.84]  people we shouldn't have started to do
[17:13.72]  anything yeah so let's just chat for a
[17:15.96]  minute um on that Capital efficiency we
[17:18.16]  it's it's such a it's such a visceral
[17:20.40]  thing we could spend all our time on it
[17:21.64]  but you did only burn $3 million right
[17:24.28]  so um what's the what what are the
[17:26.48]  learnings there um and I don't think
[17:28.12]  it's all 08 and 09 although I I suspect
[17:30.56]  that's a little bit of it right oh I
[17:32.64]  don't actually think it had anything to
[17:34.72]  do with 08 or 09 crushing it then anyway
[17:37.48]  well the thing is when we started out I
[17:39.12]  had a lot of pressure from people
[17:41.04]  including early investors and stuff
[17:42.92]  spend more spend more spend more had a
[17:45.12]  lot of pressure on that I was the guy
[17:46.88]  who just didn't get it I was I just
[17:49.40]  didn't get it you I didn't get it either
[17:51.32]  they were saying spend more and I they
[17:53.68]  were convinced I was the guy who just
[17:55.56]  didn't get it I was too conservative but
[17:58.76]  that's okay you get all kinds of outside
[18:01.48]  pressure and you have no chance for
[18:03.56]  being great if all you're doing is
[18:05.08]  following the herd right so I I thought
[18:08.36]  it wasn't right I thought no it's I
[18:11.24]  think it's good to have Top Line and
[18:13.04]  bottom line and I don't want to take any
[18:15.56]  more money because then I'll dilute the
[18:17.20]  company why would I do that why would
[18:19.16]  you do it so I just sort of hey we have
[18:21.32]  what you know when you're making
[18:22.64]  software they would always say hey
[18:24.28]  change the scope or the investment or
[18:27.44]  the schedule right but don't change them
[18:30.16]  all at once I thought well we had the
[18:32.80]  capital we have don't change that scope
[18:35.44]  make a profitable business in the
[18:36.84]  capital we have and that's easier it's
[18:38.60]  less decisions to make and so we set
[18:40.44]  that discipline and that just became
[18:42.64]  what the thing you know that's just what
[18:44.40]  we did now I want to dig into a little
[18:45.96]  bit more but just from the the the
[18:47.64]  physics of cash doing bigger deals that
[18:50.48]  prepay annually probably helped at at
[18:52.20]  the margin right I mean because your
[18:53.92]  your customers did fund you right they
[18:56.12]  did right um two things funded us yes
[18:58.52]  making that product don't so don't waste
[19:00.96]  any higher right I mean don't waste any
[19:03.20]  money Be Frugal um get the product out
[19:07.00]  quick and sell it for a good price to as
[19:09.72]  big a customer you can don't be too
[19:11.96]  Reckless but just thread that needle we
[19:15.24]  also uh didn't give away our people we
[19:18.08]  had uh Professional Services and we
[19:20.88]  didn't give we had a rule very early
[19:23.00]  that's a good thing to chat about
[19:23.88]  briefly very early in the I gave it away
[19:26.56]  you didn't give it away very early I
[19:28.36]  always had this Mantra that look if our
[19:30.40]  if our people are not worth the customer
[19:33.72]  paying for them then they're not
[19:35.84]  actually worth anything CU if they're
[19:38.44]  worthwhile the customer will pay for
[19:39.76]  them so that was a rule hey you don't
[19:42.52]  give away pressional Services Serv have
[19:44.20]  to be agre yeah if the what about if the
[19:46.16]  deal was going to tank well then I guess
[19:48.00]  the deal's going to tank because the one
[19:49.84]  thing we're doing is not giving away
[19:51.40]  Professional Services so that's a that's
[19:53.28]  just a rule yeah so then that is because
[19:56.56]  if you look I haven't done the the sign
[19:58.60]  but if you look at a lot of companies
[19:59.56]  when they go public services are are
[20:01.48]  loss leaders right they lose it's
[20:02.92]  negative 20% margin you can't do it you
[20:04.88]  can't do 60 on it but if you can make it
[20:07.04]  cash flow positive especially in the
[20:08.24]  early days that's that's a bit of magic
[20:09.64]  isn't it it is it is and and the
[20:11.36]  customers will pay if they get the value
[20:12.92]  will they they don't really push back if
[20:14.44]  the value is there do they right no they
[20:16.08]  don't because they're generally rational
[20:18.76]  right they if they can get more value
[20:21.32]  from that person then they'll they'll do
[20:23.36]  it um and you have to look at yourself
[20:26.08]  if your services are not profitable gosh
[20:28.52]  why why cannot I make valuable enough
[20:32.24]  Services why do why do our services cost
[20:36.24]  less than the cost of our people what
[20:38.20]  what am I doing wrong yeah and it's the
[20:40.72]  pressure is on you now if you so it's
[20:43.92]  very simple I view it as a problem if we
[20:46.24]  can't sell Services because we're doing
[20:48.04]  something wrong yeah I think we all you
[20:50.92]  didn't I made this mistake a lot of us
[20:52.88]  do is we just want the customers to be
[20:54.88]  happy right and so subsidizing Services
[20:57.28]  is a natural thing thing to do because
[20:59.56]  if you don't provide good Services it's
[21:00.92]  even worse isn't it bad Services is
[21:03.40]  worse than not even closing the deal
[21:04.84]  sometimes right absolutely um but you
[21:07.04]  just have to understand hey I'm selling
[21:08.68]  a product a product comes with a certain
[21:10.88]  amount of service it might it might come
[21:13.08]  with customer support or it might come
[21:14.96]  with training or whatever you decide it
[21:16.72]  comes with okay you don't charge for
[21:18.68]  that but there's some things that it
[21:20.60]  doesn't come with and if you want that
[21:23.04]  you pay for that yeah and you just lay
[21:25.60]  it out real clearly and and that helps
[21:27.68]  you
[21:28.96]  so one last question about money and
[21:30.20]  then I want to talk about stages so you
[21:32.04]  talked about in the early days when you
[21:33.20]  started to take off the investors wanted
[21:34.48]  you to raise more money to go faster
[21:35.92]  right that comes in and out of fashion
[21:38.04]  um we you do you resist to that and then
[21:40.76]  usually there's another time as you
[21:42.40]  start to scale whether it's 20 million
[21:44.16]  30 million when you really when you
[21:46.92]  wanted to P you want to get ahead of the
[21:48.36]  curve and also sometimes your efficiency
[21:50.36]  is kind of uh uh your inefficiencies
[21:53.44]  increase right sales efficiency goes
[21:55.04]  down you want to start doing more on
[21:57.28]  brand and other marketing that isn't Roi
[21:59.76]  positive was there did you was there a
[22:01.96]  moment in time there when you wanted to
[22:03.20]  step on it more or was it still organic
[22:05.48]  no there was no moment in time where I
[22:07.28]  wanted to step on it more because I
[22:09.16]  always thought gosh if we're building a
[22:10.64]  lasting company a lasting company should
[22:12.80]  have a a sort of a reasonable profit
[22:15.48]  margin one would hope software used to
[22:17.52]  be really profitable in the old days
[22:18.80]  didn't it yeah well it used to rain cash
[22:21.32]  back in the days in long term like you
[22:22.92]  go back to the last thousand years I
[22:24.68]  mean that has been the trend profitable
[22:26.64]  businesses they stay in business
[22:28.16]  unprofitable doesn't overall that's
[22:30.40]  capitalism for you but I always thought
[22:32.72]  God it it's sort of like a drug if I get
[22:34.72]  on that non-profitable drug like when am
[22:37.04]  I going to get off of it and stuff so it
[22:38.88]  just seemed like n you don't do that
[22:41.00]  that's not the way to do it um so no I
[22:44.12]  was never tempted was pushed right on
[22:46.68]  the IPO Road Show and then people would
[22:49.24]  say hey well you've got X number of
[22:52.12]  salespeople 50 why don't you just hire
[22:54.88]  50 more you know you grow 50 times as
[22:57.96]  you'll grow you know twice as fast and
[23:00.04]  yeah occasionally that works but not
[23:02.36]  usually I just it didn't make sense okay
[23:05.44]  well if we're not we're running a
[23:06.60]  profitable business that was just not in
[23:08.88]  the parameter so we just it's not
[23:11.16]  important that you do all things or all
[23:13.60]  things that everybody wants to do but as
[23:15.68]  a CEO you have to decide what are you
[23:17.52]  going to do which I don't know we
[23:20.12]  decided to do a certain thing it's not
[23:22.32]  that it's the best thing to do or it's
[23:24.32]  the only way to do it but we just said
[23:26.48]  hey we're running a profitable business
[23:28.08]  we thought that was good and that's a
[23:29.52]  parameter and so that's that there's
[23:31.76]  there's sort of two models that people
[23:33.08]  come and Sass does does revenue Drive
[23:34.80]  headcount or does headcount Drive
[23:36.40]  revenue and it sounds like you're you're
[23:38.00]  squarely in the former camp that you
[23:39.76]  derive headcount from revenue no no I
[23:43.32]  actually drive revenue from headcount
[23:45.32]  but I make sure I have enough stocked
[23:47.56]  away I any Revenue that's generated in
[23:50.52]  Viva is because of people well for sure
[23:53.52]  yeah and you got to you got to hire
[23:55.60]  those if you want Revenue four years
[23:57.52]  from now now you got to hire those
[23:59.36]  people now yeah right we're starting up
[24:01.80]  a brand new probably our biggest product
[24:04.32]  area to date and this year we hired 30
[24:08.24]  people those people produce real good
[24:11.04]  revenue for Viva four or five years down
[24:13.44]  the road that's when that will be a
[24:15.12]  hundred plus Million Dollar business but
[24:17.60]  you got to hire them now so Revenue
[24:19.48]  Falls the people how do you think a
[24:21.64]  rated L to that how do you think about
[24:24.08]  how many of your sales team should
[24:25.44]  perform like how do you think about that
[24:27.20]  do you believe in that Bell shape
[24:28.32]  distribution do you hate the sales sales
[24:31.36]  people if if you're waiting four years
[24:33.28]  for them perform it's terrible if if you
[24:35.52]  have that attrition isn't it yeah no I'm
[24:37.44]  really thinking more about the product
[24:39.16]  the ingredients on the product people
[24:40.68]  that's like a soup that that has a they
[24:42.72]  they they start to hit their stride
[24:44.28]  product has a four-year cooking cycle
[24:46.36]  right it's a soup they're like oh my God
[24:48.36]  I want to eat it four years from now I
[24:49.68]  got to start cooking it now really
[24:52.72]  that's that's not good but yeah product
[24:55.64]  takes a long time with sales you know we
[24:58.04]  have a philosophy that we say we don't
[25:00.04]  we don't overcover so we want to leave
[25:02.40]  Topline revenue on the table we don't
[25:04.48]  want to get all the Topline Revenue
[25:06.64]  because if we if we push all the way for
[25:09.08]  that we will get some inefficiencies and
[25:11.12]  that's not so good but also we will get
[25:13.40]  bad customer feeling yeah because a
[25:15.56]  desperate rep will do desperate things
[25:17.96]  and the rep's in front of the customer
[25:20.16]  and they'll feel it you don't want those
[25:21.76]  desperate things do you no because for
[25:23.52]  us we have many customers that are you
[25:26.52]  know they're over
[25:28.32]  well over $20 million a year customers
[25:31.12]  from us do we want them
[25:33.72]  ever relationships right yeah this is
