Title     : Algolia:  Lessons Learned Selling to 10,000 Customers Small, Medium and Large
Video ID  : 0rKwKRUhRqM
[02:30.08]  uh three times a week for probably my
[02:31.76]  first six weeks
[02:33.44]  and then also started layering in skip
[02:35.52]  levels to get to know people you know
[02:37.52]  half an hour here and there and
[02:39.20]  20 minutes of that could be nothing to
[02:41.36]  do with algolia
[02:42.80]  because i was trying to simulate you
[02:44.48]  know i'd have these conversations if i
[02:46.48]  was bumping to people
[02:47.76]  bumping into them in the kitchen making
[02:49.60]  a coffee you know how do you simulate
[02:51.92]  that you have to be
[02:52.96]  i think more intentional about that sort
[02:55.20]  of stuff
[02:56.40]  yeah the listening tour is interesting
[02:58.08]  um a lot one of the many things i didn't
[03:00.16]  get at first and now i realize it's so
[03:01.92]  important right
[03:02.96]  how much time do you give yourself as a
[03:04.96]  nucia how long
[03:06.00]  how much can you do that and how long do
[03:07.68]  you get to be the new person
[03:10.64]  you know years ago i remember my manager
[03:13.12]  saying to me at the end of my second
[03:14.88]  week
[03:15.28]  okay now the honeymoon is over so what
[03:17.28]  you gonna do two weeks
[03:18.72]  two weeks and it's yours yeah
[03:21.92]  so it's not quite two weeks but i i
[03:23.92]  think different things
[03:25.44]  work at a different pace and part of
[03:27.52]  what i say to
[03:28.72]  even new execs that i bring on board and
[03:30.32]  i've just brought three on board you
[03:32.08]  know because they want to learn they
[03:33.12]  want to listen they don't want to
[03:34.64]  um make any decisions too soon based
[03:37.68]  upon
[03:38.32]  you know you know first impressions or
[03:41.36]  not a complete picture and i say to them
[03:44.40]  when you know you know and therefore
[03:46.56]  move and the things that you're not
[03:47.92]  quite sure about then you need to wait
[03:49.44]  till you are sure about them so i don't
[03:51.28]  think there's one speed
[03:52.48]  or it's not the same across all aspects
[03:54.96]  of the business i think some things you
[03:56.16]  can move pretty quickly on
[03:57.52]  and i think others you've got a really
[03:59.36]  really understand before you make your
[04:00.88]  move
[04:01.92]  have you um and i want to talk about
[04:03.52]  some some some business stuff next but
[04:06.48]  that how different it was is interesting
[04:09.20]  have you found that um
[04:10.72]  because it's flatter in the distribute
[04:12.24]  world that certain some folks have risen
[04:14.80]  up in the leadership that might not have
[04:16.80]  when uh when they weren't in
[04:18.56]  headquarters
[04:20.48]  yes actually so there was um there's um
[04:23.68]  an individual that was part of the
[04:25.28]  pre-sales team that is now running
[04:28.00]  a solutions group for us and
[04:31.36]  um you know she's young in her career
[04:34.32]  but she's doing fabulous stuff
[04:36.24]  and yeah she's gotten that exposure
[04:38.08]  otherwise i don't know
[04:39.68]  but she's doing an amazing job so it's
[04:41.36]  great to see things like that for sure
[04:43.60]  yeah i found that everyone there used to
[04:45.20]  be someone that was at the bottom corner
[04:46.96]  of the zoo
[04:48.72]  but now it's level and one of those
[04:50.88]  folks just becomes a star
[04:52.24]  right and they just they couldn't have
[04:53.52]  in the prior environment right um
[04:55.60]  are you guys gonna i mean algolia has a
[04:57.36]  fabulous office in paris
[04:59.04]  uh or it did and it has roots in sf will
[05:01.52]  you guys go back to the office have you
[05:02.88]  figured this out um what's the world
[05:04.56]  gonna look like uh in 2022
[05:06.88]  sure well i mean you know you've got you
[05:08.72]  know leases depends how long your leases
[05:10.64]  are so
[05:11.84]  yeah yeah so you've typically got that
[05:13.52]  for a fixed period of time
[05:14.96]  but i think the office we will
[05:16.40]  definitely still keep office locations
[05:18.40]  but they will
[05:19.12]  look very different i mean my vision for
[05:21.36]  that is
[05:22.24]  they will look like they look more like
[05:24.64]  cafes
[05:25.52]  than they will you know rows and rows of
[05:28.24]  cubes
[05:29.28]  um so i think they'll look very
[05:30.72]  different and for us i think they'll
[05:32.32]  look
[05:32.72]  a little bit i want to try and get a
[05:34.08]  little funky with some of the offices
[05:35.68]  because
[05:36.40]  we need to collaborate not just in that
[05:38.24]  location but we'll
[05:39.44]  need to you know if you're in paris
[05:41.36]  you'll need to dial somebody in from
[05:42.96]  from san francisco and vice versa and
[05:44.96]  how do you do that in a collaborative
[05:46.40]  space without having to be locked in a
[05:47.92]  conference room
[05:48.96]  you know all day so i'm we're gonna
[05:51.76]  we're gonna get
[05:52.48]  creative with uh with some of the office
[05:54.24]  space
[05:55.60]  yeah um and then just one curious
[05:58.40]  question
[05:58.88]  as i've talked because you've been a
[06:00.40]  pretty pretty pretty experienced manager
[06:02.80]  a lot of folks have said in the
[06:03.92]  distributed world you know the seasoned
[06:06.00]  folks benefit from it right we can work
[06:07.68]  from home it's quiet
[06:09.12]  the engineers that have been out of
[06:10.48]  goalie for several years are the folks
[06:11.76]  with maybe five or ten years of
[06:12.96]  experience but training new folks is
[06:14.40]  harder
[06:15.12]  in many folks that don't have the roots
[06:17.12]  have you have you changed anything have
[06:18.56]  you learned anything about how to
[06:19.68]  onboard folks in these times because i'm
[06:21.44]  guessing
[06:22.48]  20 of al goley has never been to the
[06:24.16]  office either at this point right
[06:25.76]  yeah that's right yeah because we've
[06:27.12]  been hacked pretty pretty aggressively
[06:29.60]  um i think it requires we've got a
[06:32.56]  pretty good onboarding process
[06:34.08]  where it's got to be lots of um
[06:36.72]  different touch points
[06:38.00]  and you've got to be very it can't all
[06:40.32]  be on the hiring manager there's got to
[06:41.84]  be a team that supports them really
[06:43.68]  from hr and different parts of the
[06:46.32]  organization and you can do it
[06:48.16]  and be pretty lean um but i think you
[06:50.64]  have to get
[06:51.28]  fairly creative got it so let's talk
[06:54.64]  about i just you just announced you
[06:56.08]  brought on a whole bunch of seasoned
[06:57.60]  executives some of whom you worked
[06:58.80]  before cro a cco
[07:01.12]  and i guess i get there's so many c's a
[07:02.88]  chief business development officer we
[07:04.24]  can make up any
[07:05.12]  acronyms we want right it's the next
[07:06.80]  phase right crossing 100 million to a
[07:08.96]  billion so
[07:10.64]  what um what did you look for in
[07:12.56]  executives at this phase like
[07:14.24]  because i we're chatting before we went
[07:15.76]  live algolia has a brand but not
[07:17.36]  everyone that's going to listen to this
[07:18.56]  has heard of algolia um but especially
[07:21.28]  if you're developer focused or have
[07:22.64]  built software for a while
[07:24.24]  and deployed search there's a decent
[07:26.24]  chance you've heard of algolia at this
[07:27.44]  point but it's no
[07:28.32]  it's we're not at the uh microsoft or
[07:30.40]  adobe level of
[07:31.68]  a brand not not not even not even a
[07:34.32]  twilio or
[07:35.28]  or or something like that right so who
[07:37.04]  do you need at this next phase to like
[07:39.12]  to get to nine figures and beyond
[07:40.64]  revenue what does the makeup look like
[07:42.00]  how agile versus how senior
[07:44.00]  what what were you looking for for these
[07:45.60]  hires yeah it's interesting so
[07:48.32]  for the cro role i was looking for
[07:51.12]  somebody who was pretty seasoned
[07:53.04]  but i didn't want you know a typical
[07:54.80]  enterprise uh
[07:56.08]  we do sell into the enterprise but i
[07:57.68]  didn't want a typical enterprise sales
[07:59.20]  leader i needed somebody
[08:00.88]  that was really good at pattern matching
[08:03.92]  really good at getting to repeatability
[08:06.40]  a high velocity sale
[08:08.08]  and then also could span up into the
[08:10.40]  enterprise as well
[08:12.00]  so i was looking for definitely somebody
[08:15.04]  who had
[08:15.68]  more of a science than an art approach
[08:18.08]  to the role
[08:19.52]  um and somebody who was you know pretty
[08:22.24]  maniacal
[08:23.44]  about uh understanding our ideal
[08:26.16]  customer profile
[08:27.84]  really living and and working
[08:30.88]  collaboratively with the cmo on the
[08:32.72]  pipeline and
[08:34.16]  really making sure that we had focus
[08:35.92]  because we're a platform and there's
[08:37.28]  probably many companies out there that
[08:38.80]  are platform companies
[08:40.00]  i've done nothing but platforms for the
[08:41.52]  last 10 years and what i can tell you is
[08:43.92]  it's extremely hard ramping sales people
[08:46.88]  to sell a platform because it can be
[08:49.04]  many things to many people
[08:50.72]  therefore you have a use case based
[08:53.12]  approach
[08:54.00]  where you can kind of get it to be
[08:55.76]  cookie cutter and you can train people
[08:58.64]  on you know specific plays that you can
[09:01.12]  launch into market
[09:02.16]  so i was looking for somebody who had
[09:04.08]  that experience
[09:05.28]  understood that was and had a track
[09:07.92]  record
[09:08.72]  of delivering in a high velocity model
[09:10.96]  and that could flex into the enterprise
[09:12.40]  for me
[09:13.28]  now let's let's just dig in a little bit
[09:15.84]  your cro she last came from dropbox for
[09:18.16]  business is that right or dropbox
[09:19.36]  enterprise do i have that right
[09:20.64]  yep yeah so dropbox is interesting
[09:22.88]  although different in that it has a long
[09:24.56]  tail like algolia
[09:25.84]  longer than algolia right everyone's
[09:27.36]  used dropbox how many customers does
[09:28.96]  algolia have
[09:30.60]  9700 right now okay so 10 000 and how
[09:33.60]  many
[09:34.64]  so that we know i don't know how many
[09:35.92]  folks have used algolia or how many
[09:38.00]  that have the longest tail including
[09:39.60]  free and folks it it's probably 10x set
[09:41.68]  or something isn't it
[09:42.80]  oh um yes it's close to that if you look
[09:45.76]  at developers on the platform you know
[09:47.36]  eyeballs on
[09:48.24]  open source docs probably close to that
[09:50.80]  yes
[09:51.60]  so but high velocity to me
[09:55.52]  says um high velocity gets me from ten
[09:58.72]  thousand to twenty thousand to fifty
[10:00.24]  thousand to a hundred thousand right but
[10:01.44]  sometimes there's a trade-off
[10:02.72]  in that you don't you're not able to
[10:04.40]  spend as much time on closing that that
[10:06.72]  great
[10:07.52]  seven-figure deal right uh what is the
[10:09.92]  trade-off there because you have to your
[10:11.44]  cro
[10:12.08]  can do everything but she or he can't be
[10:14.16]  perfect at everything right everyone has
[10:15.92]  a has their top insertion points so why
[10:17.92]  did you pick how do you know when you
[10:19.68]  have 10 000 customers
[10:20.88]  which piece of the pie to make your
[10:22.80]  number one criterion
[10:25.20]  i think you've got to analyze your
[10:26.72]  customer base so i mean
[10:28.40]  we analyzed that 10 000 customers we
[10:30.80]  understood how many of those were field
[10:32.48]  managed
[10:33.20]  we understood um how many were smb mid
[10:36.16]  market and enterprise
[10:37.92]  and then we made an assessment as to you
[10:40.32]  know where
[10:41.04]  are in the in the short and medium term
[10:44.24]  where was our biggest opportunity and
[10:45.76]  then
[10:46.00]  longer term and that made me want to go
[10:48.72]  for somebody who most recently had got
[10:50.64]  the high velocity
[10:51.84]  but i didn't want to go for exclusively
[10:54.00]  somebody who
[10:55.20]  had that skill set i wanted somebody who
[10:57.28]  had the enterprise too because i didn't
[10:58.72]  want to have to switch them out in 12
[10:59.92]  months time
[11:01.44]  yeah that gets hard right um or you have
[11:03.36]  to segment it right you have to have two
[11:04.80]  cross or two senior vice president of
[11:06.88]  sales and
[11:07.84]  that's tough to manage two fiefdoms at
[11:10.00]  the same time isn't it exactly
[11:11.68]  yeah and um uh
[11:15.04]  cool and then you hired a chief customer
[11:16.64]  officer dude when you so now you're
[11:17.92]  getting a chance to do it again
[11:19.36]  right you've been a leader you've been a
[11:20.88]  sales leader you've been a ceo
[11:22.56]  now it's 2021. so are you thinking any
[11:26.00]  differently about how
[11:27.44]  customer success and sales cro and cco
[11:29.92]  should work together
[11:31.44]  in these days and uh with new learnings
[11:34.32]  is any any fresh learnings or new
[11:35.84]  insights you want to
[11:36.64]  you want to deploy here yeah i mean for
[11:39.12]  many years
[11:39.84]  as you know because you're right i came
[11:41.28]  up through the ranks on the go to market
[11:42.80]  side and for many years i did that dual
[11:44.88]  role
[11:45.28]  of cro and cco yeah i chose to
[11:48.40]  break it out and that's how algolia had
[11:50.40]  it as well when i came
[11:51.84]  but i chose to break it out because for
[11:53.76]  a sas company the
[11:55.20]  customer success function is just so
[11:57.92]  critical
[11:58.80]  and i wanted to have somebody that
[12:00.72]  represented that's all they did they
[12:03.12]  each slept and breathed our customer
[12:05.92]  experience and customer journey
[12:07.60]  i wanted them to have a seat at the
[12:08.88]  table so that when we're having those
[12:10.40]  discussions about where we take the
[12:11.68]  company and
[12:12.56]  and what we do next that that voice came
[12:15.20]  out loud and clear and wasn't subjugated
[12:17.28]  under anybody else
[12:19.12]  yep and now and when you know i don't
[12:20.80]  know the exact numbers
[12:22.16]  today and maybe maybe i'll go is getting
[12:23.68]  too big to disclose it but as a company
[12:26.00]  that has a lot of developer centric
[12:27.52]  roots
[12:28.32]  accounts do flex and they grow a lot
[12:30.08]  over time right and some accounts
[12:31.92]  you'll drop in and it'll be a massive
[12:33.84]  website with massive search needs and
[12:35.44]  you'll close a big deal
[12:36.48]  but there's plenty of accounts that
[12:37.68]  could start it a few hundred dollars a
[12:39.60]  month a thousand dollars a month and
[12:40.64]  grow into big accounts
[12:42.24]  um when the growth is a lot like a
[12:45.44]  twilio algolia for accounts
[12:47.68]  do you think about the line between
[12:49.76]  sales and success differently do you
[12:51.20]  think about the handoff do you think
[12:52.24]  about compensation plans differently
[12:54.16]  like how do you handle this when there's
[12:55.68]  a lot of growth a lot of it which could
[12:57.76]  be automated
[12:58.56]  right a lot of which could be automated
[12:59.76]  not require sales
[13:01.76]  yeah so we have a self-service business
[13:04.08]  as well
[13:04.96]  um and that's something that we're we're
[13:07.36]  starting to
[13:08.16]  look at and see how we fine tune so over
[13:11.12]  time one of the questions that i have
[13:13.36]  is when you start to look at our smb
[13:15.44]  sector could that smb sector actually be
[13:18.00]  served
[13:18.72]  by the self-service engine yeah that's
[13:22.24]  it
[13:22.56]  that's it that's it so that's an
[13:25.92]  interest like
[13:26.64]  it's an interesting question of when you
[13:28.08]  have an essence could could there's
[13:29.52]  obviously an appeal to have it
[13:30.64]  self-service
[13:31.44]  right require less people forces you to
[13:33.84]  do more work on onboarding and
[13:35.20]  automation than you might otherwise
[13:36.64]  would right
[13:37.84]  looks good on an org chart but sometimes
[13:40.00]  i worry that maybe the
[13:41.36]  the idea is to put more people into it
[13:43.28]  because maybe they get ignored
[13:45.04]  when what if you put 50 people on it
[13:47.12]  let's say so i don't know and maybe we
[13:48.40]  don't want to say but let's say
[13:49.20]  self-service today is 10
[13:50.64]  of algolia's revenue maybe it was 30
[13:52.32]  before usually it declines with
[13:53.52]  companies like algolia right
[13:54.96]  because the big accounts you know box is
[13:56.88]  one percent today it used to be 30
[13:58.88]  right so there's a but what if that 10
[14:01.12]  percent could be 15
[14:02.72]  if you put 30 people on it it's an
[14:04.24]  interesting different way
[14:06.32]  to think about it um but anyhow
[14:07.92]  automation is what you're is what you're
[14:09.36]  thinking about um it does make your
[14:10.72]  product better right
[14:12.08]  it does and we just had a vp of growth
[14:14.48]  as well so
[14:15.52]  you know we're looking to uh we're
[14:17.60]  looking to just you know do some
[14:18.80]  experimentation and
[14:20.24]  and get some learnings in that space so
[14:22.96]  let's do one more on sales and then i
[14:24.64]  want to talk about some other things
[14:25.68]  that algolia but
[14:26.88]  maybe this is true of a lot of products
[14:29.76]  but
[14:30.24]  certainly in the early days when i
[14:31.36]  watched delegate a challenge is that
[14:33.68]  search search is a core part of
[14:36.56]  basically every web product right and
[14:38.16]  we'll talk i want to talk a little bit
[14:39.28]  about e-commerce and sas and media
[14:40.96]  because
[14:41.28]  certain segments search is more
[14:42.32]  important right in e-commerce if you can
[14:44.32]  find something faster or better the roi
[14:46.40]  is there other categories are less roi
[14:48.08]  focused but
[14:48.88]  we can't find a single website where
[14:50.72]  search is not only important but usually
[14:52.08]  at the top
[14:52.64]  right you go into the nav what's at the
[14:54.08]  top so but but it's not
[14:56.56]  something that is always thought about
[14:58.08]  every week because the decision might be
[14:59.60]  made every few years every four to five
[15:01.20]  years you might build a product refresh
[15:02.80]  a product right
[15:04.40]  so how do you and a lot of us are that
[15:06.72]  way right how do you get more top of
[15:08.48]  mind how do you get
[15:10.32]  customers and prospects to accelerate a
[15:12.88]  buying decision or a deployment decision
[15:14.80]  or a switching decision how do
[15:16.32]  have you thought more about how to get
[15:17.60]  more velocity and decision making in
[15:19.44]  search
[15:20.56]  yeah i mean so you're right if
[15:21.68]  somebody's doing a redesign or
[15:23.84]  a re-platforming it's an obvious time to
[15:26.24]  think about search
[15:27.20]  but there are i would say um
[15:30.88]  you know not all search on every website
[15:34.56]  is created equal
[15:35.92]  in safari's search on an e-commerce site
[15:38.88]  or
[15:39.20]  a media site that is um selling
[15:41.92]  subscriptions
[15:42.96]  is you know there's a such an intrinsic
[15:45.36]  value between the search and the
[15:47.04]  conversion
[15:48.32]  that those types of organizations are
[15:50.56]  not just looking at it when they
[15:52.00]  re-platform because they're looking at
[15:54.08]  it
[15:54.64]  as how do i optimize my search by
[15:58.08]  presenting the right kind of
[15:59.44]  personalized results to the people that
[16:01.60]  come to my
[16:02.72]  uh to my site and are searching for
[16:04.40]  stuff so they are thinking about it on a
[16:06.32]  more continuous basis
[16:08.80]  so we try to provide tools to be top of
[16:11.92]  mind
[16:12.56]  as they're going through that journey
[16:14.16]  for example you can go to
[16:15.64]  algolia.com today and you can on
[16:19.12]  scroll down on the homepage you can find
[16:21.12]  the search grader
[16:22.32]  and that is nothing to do with algolia
[16:24.80]  it is a tool that anybody with a website
[16:27.68]  be the e-commerce or a regular
[16:30.16]  experience website
[16:31.60]  you can check out it you can go through
[16:33.36]  an assessment and it will assess
[16:35.12]  what your search capability is like on
[16:37.12]  your existing
[16:38.32]  site so you have to try and get creative
[16:40.96]  i think to find ways to become
[16:43.12]  relevant in between those obvious
[16:45.68]  milestones where they're going to look
[16:46.96]  at it
[16:48.08]  now and now and you might have to get me
[16:49.68]  up to speed on where algolia is in 2020
[16:51.76]  but
[16:52.56]  algolia is an api that is deployed by
[16:55.28]  developers
[16:56.16]  and its number one segment is e-commerce
[16:58.40]  and in e-commerce you have marketers
[17:00.16]  that want
[17:00.96]  roi lift right they want increased
[17:03.28]  conversions
[17:04.24]  so you're marketing and selling to both
[17:07.60]  marketers and developers which are
[17:09.28]  pretty far apart on the
[17:10.96]  on the continuum and spectrum how do you
[17:13.76]  do both and how does that
[17:14.96]  change at the next phase right is your
[17:16.48]  customer mix and buyers change
[17:19.04]  yeah and i think we've gone through some
[17:21.52]  of that change already so in the earlier
[17:23.36]  days we only focused on developers
[17:26.32]  every developer event algolia was there
[17:28.24]  right very helper focused right then i
[17:30.40]  think we pivoted i think we pivoted to
[17:32.24]  the line of business persona
[17:34.24]  um and perhaps a little too much so to
[17:37.28]  me
[17:37.84]  the bread and butter is focusing on your
[17:40.72]  core
[17:41.20]  persona which for us is the definitely
[17:43.04]  the developer persona
[17:44.64]  but then you've gotta understand who
[17:47.76]  your other personas are and really
[17:49.84]  target them directly so for us it's
[17:51.68]  actually
[17:52.40]  category managers uh in e-commerce or
[17:55.52]  even media and it would be product
[17:57.12]  managers in a sas
[17:58.08]  company um or even in a media company
[18:00.48]  when they're producing a product and
[18:02.08]  they want search to be embedded
[18:03.60]  in it it's often the product manager or
[18:05.52]  the category manager so you've got to
[18:06.96]  get
[18:07.44]  specific you can't be all things to all
[18:09.36]  people you've got to get specific
[18:11.36]  so who in it was interesting to me
[18:14.08]  meeting that that the team in the very
[18:15.60]  beginning is because the company was
[18:16.72]  focused on inbound and outbound right
[18:18.32]  targeting buyers so
[18:19.68]  when you have those personas who are you
[18:21.68]  from an outbound perspective and
[18:23.12]  salespeople who who do you target today
[18:24.72]  who are you trying to get into
[18:26.40]  get get exposure to get into hanza
[18:29.52]  um it really is those category owners if
[18:32.40]  it's a brand it's a brand owner or
[18:34.40]  it's a product manager in a sas company
[18:36.80]  so that might be someone mid-level on an
[18:38.56]  org chart right it might not be the cmo
[18:40.48]  right or this or the chief product
[18:42.00]  mid-level and then you're trying to get
[18:43.84]  them to go
[18:44.48]  to go knock on the zoom it used to be
[18:46.16]  knock on the cube or the door you're
[18:47.28]  trying to get them to knock on the zoom
[18:48.48]  of the developer and getting them to
[18:50.16]  to deploy it into a next week and check
[18:53.44]  out the product or how does that flow go
[18:54.96]  today
[18:55.68]  yeah it can go either way in actual fact
[18:58.40]  so
[18:58.88]  you know there's a developer relations
[19:00.48]  component making sure that we're
[19:02.00]  engaging with the developer community in
[19:03.92]  that scenario that we're investing in at
[19:05.52]  the moment
[19:06.40]  so we often get the pull frankly from
[19:08.88]  the developer
[19:09.68]  that then introduces us to the business
[19:11.76]  person still today still at scale
[19:13.92]  you're getting developer to knock on the
[19:15.76]  door but the developer isn't thinking
[19:17.60]  about roi and e-commerce or are they
[19:19.20]  thinking about conversions in roi
[19:21.36]  they i think they are in e-commerce
[19:24.80]  companies yes
[19:25.52]  they are but they're all talk about
[19:27.20]  right well they're also thinking about
[19:29.52]  their time i mean if covert has taught
[19:31.52]  us nothing it's that you have to be
[19:33.28]  agile you have to be nimble
[19:35.20]  if you don't you know it's got
[19:36.84]  catastrophic consequences for the
[19:38.72]  business
[19:39.44]  so therefore you know they're looking at
[19:41.68]  it and they're looking at their
[19:43.28]  how do they differentiate they can't
[19:45.28]  just do that with using standard ui
[19:47.28]  layers out there from a
[19:48.88]  dxp or an e-commerce engine they've got
[19:51.20]  to take control
[19:52.56]  of that personalization that ux level
[19:55.36]  and so then
[19:56.00]  looking for the right tools to plug in
[19:57.92]  and so they're pretty
[19:59.36]  you know they're almost two and a half
[20:01.36]  you know with um
[20:02.64]  with the business person these days yeah
[20:05.04]  it's true
[20:06.00]  um let's chat a little bit about
[20:08.00]  segments because when you and i caught
[20:09.20]  up earlier was
[20:10.16]  interestingly somewhat interesting um
[20:12.72]  algolia
[20:13.60]  is a search-and-service product it has
[20:15.36]  been it's horizontal it can be used
[20:17.04]  anywhere
[20:17.68]  but e-commerce since the early days took
[20:19.52]  off because the roi was there right
[20:21.28]  increased conversions through search
[20:23.20]  that is 10 times faster
[20:24.88]  and five times more accurate even if you
[20:27.36]  increase conversions
[20:28.40]  modestly the the out the outcome could
[20:30.80]  be huge right for newcomer so
[20:32.16]  that became number one even within an
[20:34.32]  early team that was not ecommerce
[20:36.56]  experts right and then and then i i
[20:39.60]  i i was always interested in the south
[20:41.20]  side but media was number two and then
[20:42.64]  coveted changed things
[20:43.76]  right so ecommerce still got a boost so
[20:45.92]  ecommerce number one but but sas became
[20:47.84]  your largest second largest category of
[20:49.28]  customers right how did that how many
[20:50.72]  sas
[20:51.04]  companies are there and how what does
[20:53.20]  that mean and how can they be your
[20:54.40]  second largest category today
[20:56.48]  you know um i think some of that wave
[20:58.48]  started prior to covert but
[21:00.32]  i think it certainly did accelerate as
[21:02.08]  well i mean we've got you know companies
[21:03.52]  like weight watchers if you're
[21:05.04]  logging your food in the weight watchers
[21:07.36]  app that's algolia powering it
[21:09.44]  because of the you know the speed and
[21:11.60]  the accuracy and the relevance of what
[21:13.52]  what we expose to you
[21:15.36]  so i think it comes back to being nimble
[21:18.24]  you know a lot of companies are looking
[21:20.00]  at putting new products out in the
[21:21.28]  market they're looking at competing
[21:23.76]  and they don't want to you know they
[21:25.44]  want differentiation but they don't want
[21:26.64]  to build it all from scratch
[21:28.08]  so therefore they look to us for example
[21:30.08]  to give them that boost
[21:31.60]  in terms of you know how long does it
[21:33.60]  take them from starting with us to being
[21:35.68]  in production and in market
[21:37.20]  and that's part of the value that we
[21:39.04]  offer to the developer we shrink that
[21:40.72]  window
[21:41.92]  yep and when and just when you have two
[21:44.56]  segments of customers like ecommerce and
[21:46.24]  sas that are very different
[21:47.44]  so one is focused on maximizing roi and
[21:49.92]  conversions right
[21:51.12]  and the other on an average sas company
[21:53.52]  you want to get to data
[21:54.80]  quickly and you want to have a sort of a
[21:56.64]  stripe like elegance of deployment
[21:58.80]  but the roi is different right the roi
[22:00.88]  is different and and it's it's critical
[22:02.64]  to find data in sas we want to find our
[22:04.72]  data right we want to structure
[22:06.64]  or really semi-structure unstructured
[22:08.56]  data that's what search does right i've
[22:10.00]  got
[22:10.48]  terabytes of unstructured data but how
[22:12.72]  do you
[22:13.52]  how do you market two different rois is
[22:15.68]  it as simple as landing page do you have
[22:17.12]  two different sales teams do you
[22:18.32]  specialize your sales teams
[22:19.76]  in the different verticals or because
[22:21.04]  it's a different roi and different
[22:22.32]  approach how do you how do you do that
[22:23.68]  in two different
[22:24.56]  verticals like this yeah you well you've
[22:27.36]  got some choices to make some of which
[22:29.12]  have
[22:29.68]  financial implications but at a bare
[22:31.68]  minimum you've got to approach them as
[22:33.68]  two different plays that you're
[22:34.88]  launching
[22:35.60]  and you have to have you know separate
[22:38.00]  you know ideal customer profiles you've
[22:40.00]  got to have
[22:40.80]  separate ways that you train your sales
[22:42.96]  people
[22:44.24]  on how to be successful how do you
[22:45.84]  qualify how what's the value they're
[22:47.52]  going to be interested in
[22:48.80]  what is the what's the pitch deck it
[22:50.40]  will be very different for both of those
[22:52.16]  segments the demos will be very
[22:53.92]  different for both of those
[22:55.12]  they are so how long how can you have
[22:57.36]  the sales same sales team
[22:59.04]  do this forever how early do you want to
[23:00.64]  specialize you think
[23:02.08]  so we have had up until this point the
[23:04.72]  same sales team do
[23:06.08]  everything and we'll actually launch an
[23:09.04]  experiment
[23:09.76]  um next year where we have um a small
[23:12.72]  oem
[23:13.28]  for example sales team um specifically
[23:16.40]  focused on
[23:17.20]  those app that the sas companies got it
[23:20.16]  so starting now right you'll see
[23:21.60]  so we'll find out if it's if it was late
[23:24.16]  or early
