Title     : SaaStr Watch Party!  Veeva:  The Biggest SaaS Vertical Success of All Time
Video ID  : WGaiMiOi_3Y
[06:52.66]  likely gonna fail that's the facts I
[06:54.61]  thought that was going to happen but
[06:56.38]  then the unexpected happened we didn't
[06:58.57]  fail it really started going in I
[07:00.34]  started enjoy I thought man I really
[07:02.71]  enjoy being a CEO and I'm pretty good at
[07:05.08]  it and I I started feeling I can improve
[07:07.54]  myself enough to remain the CEO so was
[07:11.74]  never my plan to be the CEO yeah and
[07:14.17]  where I'm and what percent of your
[07:16.75]  customers today are seven figure deals
[07:18.10]  and and up it's well balanced in the
[07:20.20]  revenue right yeah balance of the
[07:22.12]  revenue we have you know not so many
[07:24.58]  customers that's less than five of that
[07:26.68]  first year when you decided you didn't
[07:28.63]  want to be CEO and you see how it goes
[07:29.95]  hat what was how did you get the passion
[07:32.08]  around closing those big deals oh I am
[07:35.55]  I'm competitive right I like to do a
[07:38.35]  good job I like I do a good job you feel
[07:41.20]  responsibility for your employees I'm a
[07:45.19]  hard worker I think most entrepreneurs
[07:47.35]  are so you know I was I knew the
[07:49.90]  likelihood is it wasn't gonna work but I
[07:51.76]  knew it wasn't gonna because of lack of
[07:54.25]  effort right and that's what really
[07:56.56]  matters so just iterative decisions
[07:59.17]  every day about what product to make
[08:01.18]  when to cave in to a customer when not
[08:03.55]  to who to hire
[08:04.81]  we always had a quarterly plan we did
[08:08.08]  not have any plan that extended beyond
[08:10.36]  90 days in the company in the first year
[08:12.82]  because Iowa's said it's irrelevant six
[08:15.37]  months from now we could be out of
[08:16.42]  business why do you even want to think
[08:19.12]  about that and talk about the 12 month
[08:20.83]  goal for right yeah it's only quarterly
[08:24.07]  plan was a plan period for the first
[08:26.20]  year and a half of the company then we
[08:28.12]  graduated for the next two years to an
[08:30.34]  annual plan then after that we have a
[08:33.10]  three year plan and then just now we're
[08:35.92]  starting to you know do the vaguest of
[08:38.83]  five year plans yes
[08:40.48]  but it's true it doesn't matter
[08:43.60]  most cases for most startups the next
[08:46.18]  quarter doesn't really matter it's this
[08:47.83]  quarter yeah one related point to that
[08:50.08]  you are sort of legendary and
[08:52.75]  terms of working with customers
[08:55.74]  providing huge value and getting getting
[08:58.27]  good contracts out of them so what's the
[09:00.73]  secret to know when to walk and how to
[09:02.47]  work especially in the early days when
[09:03.76]  me now you have the iconic brand at
[09:06.19]  least in your verticals but how do you
[09:07.39]  pull that off in the early days I was
[09:09.04]  terrible at this in the early days you
[09:11.98]  know have any brand you tell your
[09:13.78]  customer the company name and they're
[09:15.85]  like what let me write that down they
[09:17.86]  don't know what you know I remember this
[09:24.25]  one meeting with a large customer we're
[09:26.05]  trying they win business and the guy in
[09:27.82]  the back of the room stood up and said
[09:29.08]  we have more people in this room than
[09:31.21]  you have in this company yeah I would we
[09:33.43]  ever buy anything from why would they
[09:35.02]  hey and I told him I mean you have those
[09:37.69]  are the moments of truth where where you
[09:40.00]  have to tell the truth right you have to
[09:42.10]  say what you believe and I said what I
[09:44.26]  believed I said
[09:45.31]  we have great people and we're working
[09:48.82]  on great technology and that's it so
[09:52.51]  that was the reason and I so my secret
[09:55.21]  on it is always sell yourself first so
[09:58.39]  when I'm talking to a customer it may be
[10:00.07]  a negotiation or something like that or
[10:02.65]  give somebody an employment offer I will
[10:04.75]  sell myself first I will really
[10:07.45]  understand what is the price I want for
[10:10.63]  my product I have apples for sale I get
[10:14.05]  to set the price of the apples yeah
[10:16.00]  because they're my apples the other
[10:18.79]  person can decide if they want to buy
[10:20.47]  the apples and so you just understand
[10:23.05]  that and then then that way it becomes
[10:25.18]  very simple it's not actually my problem
[10:28.69]  if it doesn't go through it's the other
[10:30.76]  person just didn't you know they didn't
[10:34.33]  they get the ride they won the Apple
[10:35.53]  they were incorrect they didn't want to
[10:37.53]  you know they're incorrect
[10:40.06]  so it's otherwise it so I'm never trying
[10:43.48]  to get the most out of something yeah
[10:46.27]  you know I'm trying to get the right
[10:47.89]  value right value that that's still a
[10:49.87]  challenge from any of us oh yeah that's
[10:51.37]  most of us tend to back off because we
[10:53.11]  don't want to blow the deal yeah I want
[10:54.88]  to lose the logo so I think we all leave
[10:56.71]  a lot on the table until we get help I
[10:59.14]  leave leaving on the table is fine but
[11:02.50]  selling it for not knowing what you
[11:05.35]  think something is were
[11:06.49]  that's not fine that's not especially
[11:09.10]  because when you're making a product the
[11:11.83]  price you set will determine how good
[11:13.93]  your product is right it's self
[11:16.78]  fulfilling it is set let let is
[11:18.61]  self-fulfilling yeah because it's the
[11:20.26]  expectation am i building a premium
[11:23.47]  product that's great well that should
[11:25.75]  cost a little more and the money will
[11:28.39]  come in and you'll just that's the
[11:29.95]  expectation yeah of course this products
[11:32.32]  of course I can't accept anything wrong
[11:34.87]  with this product do you know how much
[11:36.43]  we're charging for this I can't accept
[11:38.08]  anything wrong this is a premium product
[11:40.00]  so it just started the better your team
[11:42.67]  is the more you should anchor high
[11:44.17]  because you can deliver that that the
[11:46.36]  best solution in the market yeah it
[11:47.95]  starts with the CEO actually you know
[11:51.19]  are you gonna make something that's
[11:52.81]  great or not and then if it's great it
[11:55.42]  must have value and you have to sign the
[11:57.64]  value yeah though I guess I've always
[12:00.55]  felt strongly about that so let's talk a
[12:04.93]  little bit about where we started
[12:06.58]  because I wanna I want to dig in on sort
[12:08.41]  of multiple products we've got three
[12:09.88]  three lines now right you and I had I
[12:13.03]  want to talk about some of the stuff we
[12:14.26]  talked about four we had Jeff Lawson
[12:15.46]  from Chile out here which is throw teams
[12:17.47]  of five on it
[12:18.67]  see if it works if it doesn't break we
[12:21.76]  had yesterday we had the CEO of Trello
[12:25.06]  talking about that's a spin-out from a
[12:27.37]  company called fog Creek and seeing
[12:28.54]  where breaks but you and I didn't if
[12:30.73]  when do you when do you add a product
[12:32.20]  line right what's what's your view on
[12:33.64]  this well so we're in this enterprise
[12:36.37]  software it's a slightly different right
[12:38.20]  we're this little different selling
[12:39.70]  these large customers and they're really
[12:41.65]  running their business on it and so it's
[12:43.96]  a little bit different you have to be a
[12:45.04]  little more measured but what I always
[12:46.78]  think about is a company usually starts
[12:50.32]  up from a product right you have a
[12:51.91]  product idea and wow I find some product
[12:56.20]  market fit right and it starts growing
[12:58.06]  and then my company is my product my
[13:00.31]  product is my company the the two things
[13:02.68]  are intertwined and that's the stage
[13:04.53]  many many companies fail or become
[13:07.90]  suboptimal when they break that when
[13:10.60]  they say I'm gonna really start another
[13:13.15]  product line not an add-on product or
[13:15.73]  something like that
[13:16.66]  but this is like Amazon saying I'm
[13:19.06]  ecommerce now I'm in Web Services yeah
[13:21.67]  that seem crazy if it's one web service
[13:23.74]  is not an add-on product to e-commerce
[13:25.45]  right so they really so when you when
[13:28.00]  you decide I really want to make
[13:29.41]  something big and different two things
[13:31.63]  one is it should be bigger than the
[13:33.37]  first thing you're doing yeah if it's
[13:36.25]  not bigger is it worth your time yeah is
[13:37.72]  it worth your time and then you have to
[13:39.76]  realize when you do that you're breaking
[13:41.32]  apart your product processes from your
[13:43.36]  company processes and that's super super
[13:46.54]  super hard and it took Vivah about three
[13:49.18]  or four years and it's just persistent
[13:50.68]  effort and a lot of times you can fail
[13:53.32]  at that so I think really realize that
[13:57.16]  when is the right time to become a
[13:59.40]  multi-product company pick a clear
[14:02.23]  market that's clearly big you won't know
[14:04.66]  if it's correct until later there's no
[14:06.49]  way we say pick clear and correct
[14:08.20]  markets you won't know if it's correct
[14:10.03]  until later but if you can't write down
[14:12.73]  this is what I'm making this is who I'm
[14:15.40]  gonna sell it to this is roughly how
[14:17.38]  many people I can sell it to and this is
[14:19.06]  roughly the price I want to get then you
[14:21.22]  don't have a clear market yeah so I
[14:23.14]  think it's possible to know if you have
[14:25.27]  a clear market and correct I don't worry
[14:27.10]  about because it's impossible to know
[14:28.81]  yeah because we were talking before it's
[14:31.15]  the easy choice is that is that the
[14:33.40]  adjacent product that clearly attaches
[14:35.86]  but ultimately is a smaller market than
[14:37.84]  your core market right that's the one
[14:39.22]  that's the easiness that's a track ones
[14:40.90]  to grab that's the trap it's right not
[14:42.70]  because me think about it
[14:43.75]  you're gonna get that anyway yeah one
[14:46.36]  way or the other
[14:46.90]  yeah so that's not aggressive and
[14:49.00]  sometimes if you focus on those you can
[14:51.61]  lose the intellectual capital or the
[14:53.80]  Mojo you get busy and you pat yourself
[14:56.23]  on the back for I'm doing that little
[14:58.36]  thing I'm doing that thing and that
[14:59.62]  thing's a big thing okay well how big is
[15:01.54]  it what a number on it well kids it's
[15:04.12]  not as big as the original thing we're
[15:06.61]  doing okay well don't kid yourself yeah
[15:09.34]  but you have to be ready though too you
[15:11.20]  don't want to be reckless like if you
[15:12.79]  don't have the financial capital or the
[15:14.59]  intellectual capital in yourself or your
[15:16.87]  management team or the energy you know
[15:19.72]  don't tackle something that's obviously
[15:21.79]  way too big because then you'll let
[15:23.17]  people down is now is let me ask you
[15:25.45]  already the question then let's talk
[15:26.32]  about money just briefly is capital an
[15:28.54]  excuse to not do something that's big
[15:30.13]  how much money did V 4 raise again we we
[15:32.80]  we raise seven we only use three okay
[15:35.47]  y'all know yeah we only learn three
[15:37.63]  million dollars for knife so I sometimes
[15:39.31]  like when I hear capital is an excuse I
[15:41.23]  wonder if the root cause is something
[15:43.09]  else well I think it clearly depends on
[15:45.79]  the business some type of business or
[15:47.53]  you're building a semiconductor factory
[15:49.84]  I think you that that you do that
[15:52.27]  without Catholic and then you wouldn't
[15:54.01]  be fall in the herd that's for sure but
[15:56.05]  I think so it depends on the business
[16:00.19]  and then you have to be you know
[16:03.87]  intentional and scarcity of capital can
[16:07.36]  help you you have to be a have enough
[16:09.07]  but you shouldn't have too much you have
[16:11.23]  to have enough to hire people to
[16:12.73]  dedicate on it that's all you need you
[16:14.56]  need that yeah you need that dedicated
[16:16.60]  people and go for like vault what was
[16:19.24]  the initial core team size oh you know
[16:22.93]  again vault vault was starting off and
[16:25.24]  it was nothing at first before we hired
[16:27.76]  our first person right so we only had
[16:29.89]  quarterly goals for vault for the first
[16:31.99]  year and a half of it and the rule was
[16:35.02]  get to a dozen great people as quickly
[16:37.63]  as you can and then after that figure
[16:40.81]  out what would be next still got it yeah
[16:42.97]  well good that was the first first base
[16:44.38]  why it doesn't I think it's a good set
[16:46.57]  of people that can kind of work together
[16:48.01]  and be multidisciplinary software an
[16:50.80]  engineering product management strategy
[16:52.81]  sort of a cohesive group so was gifted
[16:56.89]  dozen and hey if we get there figure it
[16:59.80]  out what's next that's good no a
[17:02.26]  long-term plan but it was get to it
[17:04.69]  doesn't quick it wasn't like hey let's
[17:06.46]  get three people cuz otherwise the
[17:08.23]  distraction yeah so we didn't have
[17:10.33]  enough money to hire a dozen great
[17:11.83]  people we shouldn't have started to do
[17:13.78]  anything yeah so let's just chat for a
[17:16.06]  minute on that capital efficiency we
[17:18.10]  it's it's such a it's such a visceral
[17:20.32]  thing we could spend all our time on it
[17:21.73]  but you didn't only burn three million
[17:23.23]  dollars right so what's that what are
[17:26.56]  the learnings there and I don't think
[17:28.18]  it's all oh a two no.9 although I I
[17:30.19]  suspect that's a little bit of it right
[17:31.78]  oh I don't actually think it had
[17:34.42]  anything to do with our own I'm still
[17:36.58]  crushing it than any well the thing is
[17:37.90]  when we started out I had a lot of
[17:39.76]  pressure from people including early
[17:41.98]  investors and stuff spend more spend
[17:43.60]  more
[17:44.58]  Mourad a lot of pressure on that I was
[17:46.41]  the guy who just didn't get it I was I
[17:49.14]  just didn't get it
[17:50.07]  I didn't get it either they were saying
[17:51.87]  spend more and I they were convinced I
[17:54.63]  was the guy who just didn't get it I was
[17:56.82]  too conservative but that's okay you get
[17:59.76]  all kinds of outside pressure and you
[18:02.55]  have no chance for being great if all
[18:04.56]  you're doing is following the herd right
[18:06.27]  so I I thought it wasn't right I thought
[18:09.72]  no it's I think it's good to have top
[18:12.72]  line and bottom line and I don't want to
[18:15.30]  take any more money because then I'll
[18:16.71]  dilute the company why would I do that
[18:18.21]  why would you so I just sort of hey we
[18:21.06]  have what you know when you're making
[18:22.56]  software they would always say hey
[18:23.97]  change the scope or the investment or
[18:27.48]  the schedule right but don't change them
[18:30.21]  all at once I thought well we have the
[18:32.79]  capital we have don't change that scope
[18:34.83]  make a profitable business in the
[18:36.87]  capital we have and that's easier it's
[18:38.55]  less decisions to make and so we set
[18:40.47]  that discipline and that just became
[18:42.57]  what the thing you know that's just what
[18:44.46]  we did now I want to dig into a little
[18:46.05]  bit more but just from the the physics
[18:48.12]  of cash doing bigger deals that pre pay
[18:50.94]  annually probably helped at the margin
[18:52.74]  right yeah I mean because your customers
[18:54.54]  did fund you right I did right two
[18:57.24]  things funded us yes making that product
[18:59.61]  don't so don't waste any higher right
[19:02.13]  I mean don't waste any money be frugal
[19:05.24]  get the product out quick and sell it
[19:08.64]  for a good price to his bigger customer
[19:10.44]  you can don't be too reckless but just
[19:13.95]  thread that needle we also didn't give
[19:16.77]  away our people we had professional
[19:19.50]  services and we didn't give we had a
[19:21.81]  rule very early it's a good thing to
[19:23.58]  chat about briefly very early that way I
[19:25.92]  guess you didn't give it away very early
[19:27.69]  I always had this mantra that look if
[19:29.88]  our if our people are not worth the
[19:33.21]  customer paying for them then they're
[19:35.43]  not actually worth anything because if
[19:38.28]  they're worthwhile the customer pay for
[19:39.87]  him so that was a rule hey you don't
[19:42.63]  give away pressure versus need to be
[19:44.46]  agreed yeah if they what about if the
[19:46.26]  deal was going to tank well then I guess
[19:48.06]  the deals going to tank because the one
[19:49.83]  thing we're doing is not giving away
[19:51.27]  professional services so that's a that's
[19:53.28]  it's a rule yeah
[19:54.90]  so then that is because if you look I
[19:57.24]  haven't done the
[19:58.32]  did we say baby look a lot of companies
[19:59.67]  when they go public services are lost
[20:01.77]  leaders right they're lose it's negative
[20:03.33]  twenty percent mark you can't do it you
[20:04.92]  can't do sixty on it but if you can make
[20:06.99]  it cashflow positive especially the
[20:08.37]  early days that's that's a bit of magic
[20:09.54]  it is yes and the customers will pay if
[20:12.24]  they get the value well if they don't
[20:13.65]  really back if the values they're do
[20:15.24]  right no they don't because they're
[20:17.10]  generally rational right they if they
[20:19.95]  can get more value for that person then
[20:22.62]  they'll do it and you have to look at
[20:25.53]  yourself if your services are not
[20:27.18]  profitable
[20:27.93]  gosh why why Cannot I make valuable
[20:31.89]  enough services why do why do our
[20:34.62]  services cost less than the cost of our
[20:37.47]  people what what am I doing wrong
[20:39.24]  yeah and it's the pressures on you now
[20:42.45]  if you so it's very simple I view it as
[20:45.45]  a problem if we can't sell services
[20:47.16]  because we're doing something wrong yeah
[20:49.80]  I think we all you didn't I made this
[20:52.17]  mistake a lot of us do is we just want
[20:54.21]  the customers to be happy right and so
[20:56.10]  subsidizing service is it's a natural
[20:58.02]  thing to do because if you don't provide
[21:00.27]  good services it's even worse isn't it
[21:01.77]  yeah bad services is worse than not even
[21:04.14]  closing the deal sometimes right
[21:05.46]  absolutely but you just have to
[21:07.59]  understand hey I'm selling a product a
[21:09.57]  product comes with a certain amount of
[21:11.40]  service it might it might come with
[21:13.32]  customer support or it might come with
[21:15.24]  training or whatever you decide it comes
[21:17.04]  with okay you don't charge for that but
[21:19.71]  there's some things that it doesn't come
[21:21.15]  with and if you want that you pay for
[21:23.52]  that yeah and you just lay it out real
[21:26.31]  clearly and and that helps you operate
[21:28.41]  so one last question about money and
[21:30.33]  then I want to talk about stages so you
[21:32.10]  talked about in the early days when you
[21:33.36]  start and take off the investors wanted
[21:34.62]  to raise more money to go faster right
[21:36.09]  that comes in and out of fashion we do
[21:39.15]  understeer resisted that and then
[21:40.80]  usually there's another time as you
[21:42.51]  start to scale whether it's 20 million
[21:44.10]  30 million when you really when you
[21:47.04]  wanted to put you want to get ahead of
[21:48.18]  the curve and also sometimes your
[21:49.95]  efficiencies kind of your inefficiencies
[21:53.10]  increased right sales efficiency goes
[21:54.99]  down you want to start doing more on
[21:57.27]  brand and other marketing that isn't all
[21:59.58]  I positive was there did you was there a
[22:02.04]  moment in time there when you wanted to
[22:03.30]  step on it more was it still organic no
[22:05.67]  there was no moment in time where I
[22:07.17]  wanted to step on it more because I was
[22:09.42]  thought gosh if we're building a lasting
[22:11.13]  company last
[22:11.91]  company should have a sort of a
[22:14.46]  reasonable profit margin one would hope
[22:16.83]  software used to be really profitable
[22:18.15]  the old days yeah well yeah I miss rain
[22:20.64]  cash today is in long term like you go
[22:23.13]  back the last thousand years I mean that
[22:25.05]  has been the trend profitable businesses
[22:27.15]  they stay in business unprofitable
[22:28.83]  doesn't over all that's capitalism for
[22:31.26]  you but I always thought cotton it's
[22:33.42]  sort of like a drug if I get on that non
[22:35.40]  profitable drug like what am I gonna get
[22:37.59]  off of it
[22:38.40]  stuff so it just seemed like now you
[22:39.78]  don't do that that's not the way to do
[22:42.33]  it yeah so no I was never tempted
[22:44.97]  what's pushed right on the IPO Roadshow
[22:48.00]  and then people would say hey well
[22:50.94]  you've got X number of salespeople 50
[22:53.19]  why don't you just hire 50 more
[22:55.83]  you know you'll grow 50 times this
[22:57.78]  you'll grow you know twice as fast and
[22:59.88]  yeah occasionally that works but I just
[23:03.41]  it didn't make sense okay wolf we're
[23:06.24]  running a profitable business that was
[23:08.46]  just not in the parameter so we just
[23:10.14]  it's not important that you do all
[23:12.57]  things or all things that everybody
[23:14.55]  wants to do but as a CEO you have to
[23:16.59]  decide what are you gonna do which I
[23:18.90]  don't know we decided to do a certain
[23:21.66]  thing it's not that it's the best thing
[23:23.34]  to do or it's the only way to do it but
[23:25.92]  we just said hey we're running a
[23:27.15]  profitable business we thought that was
[23:28.71]  good and that's a parameter and so
[23:30.36]  that's that there's sort of two models
[23:32.79]  that people come in SAS does does
[23:34.23]  revenue drive headcount
[23:35.40]  or does headcount drive revenue and it
[23:37.38]  sounds like you're you're squarely in
[23:38.61]  the former camp that you derive
[23:40.05]  headcount from revenue no no I actually
[23:43.74]  drive revenue from headcount but I make
[23:45.90]  sure I have enough stock the way I any
[23:48.72]  revenue that's generated in Viva is
[23:51.12]  because of people both for sure yeah and
[23:53.91]  you gotta you gotta hire those if you
[23:56.43]  want revenue four years from now you got
[23:58.77]  to hire those people now yeah right
[24:01.08]  we're starting up a brand new probably
[24:03.45]  our biggest product area to date and
[24:05.46]  this year we hired thirty people those
[24:09.42]  people produce real good revenue for
[24:11.79]  Viva four or five years down the road
[24:13.68]  that's when that will be a hundred plus
[24:15.60]  million dollar business but you got to
[24:18.12]  hire them now so revenue Falls to people
[24:20.43]  how do you think a great little a to
[24:22.47]  that how do you think about how many of
[24:24.66]  your sales team should perform
[24:25.83]  like how do you think about that you
[24:27.45]  believe in that bell-shaped distribution
[24:28.50]  do you develop sales yeah if you're
[24:32.91]  waiting for us further and perform it's
[24:34.29]  terrible if you have that attrition
[24:36.27]  isn't it yeah no I'm really thinking
[24:38.04]  more about the product ingredients and
[24:39.99]  the product people that's like a soup
[24:41.52]  that that has a they start to hit their
[24:43.65]  stride the product has a four year
[24:45.51]  cooking cycle right the soup they're
[24:47.34]  like oh my god I want to eat it four
[24:49.23]  years from now I gotta start cooking it
[24:50.61]  now really that's that's not good but
[24:55.05]  yeah product takes a long time with
[24:56.52]  sales you know we have a philosophy that
[24:59.10]  we say we don't we don't over cover so
[25:01.59]  we want to leave top-line revenue on the
[25:03.78]  table we don't want to get all the
[25:05.31]  top-line revenue because if we if we
[25:07.62]  push all the way for that we will get
[25:09.96]  some inefficiencies and that's not so
[25:11.73]  good but also we will get bad customer
[25:14.25]  feeling yeah because the desperate rep
[25:16.23]  will do desperate things and the reps in
[25:18.81]  front of the customer and they'll feel
[25:20.88]  it you don't want those desperate things
[25:22.35]  do you know because for us we have many
[25:24.42]  customers that are you know they're over
[25:27.90]  12 or 20 million dollars a year
[25:30.03]  customers for us do we want them ever
[25:33.15]  he's having any relationships right yeah
[25:35.76]  this is these are 20-year relationships
[25:38.07]  do we want somebody in there saying I
[25:41.01]  gotta close this thing on my quarter
[25:43.29]  because of my commission and I don't
[25:45.69]  really care that you're paying us 20
[25:47.10]  million a year so you the way you do
[25:48.99]  that is you you don't you sacrifice
[25:51.30]  top-line revenue and you don't put too
[25:54.12]  many reps on there so then the rep is
[25:56.22]  not desperate but let's let's unpack
[25:57.84]  that because that's that's something we
