Title     : 5 Critical & Company-Altering Learnings from B2B Startups | Y Combinator  MD Anu Hariharan
Video ID  : pPgtmFaxkrc
[09:29.16]  idea and their first module was an
[09:32.04]  analytics GIS module and they come from
[09:34.50]  the open source mentality
[09:37.20]  so when they hit product Market fit they
[09:40.50]  had enough customers using their product
[09:43.32]  weekly
[09:44.78]  consistently but they were paying
[09:47.46]  nothing because these guys didn't ask
[09:49.98]  for anything
[09:50.94]  they didn't charge for it
[09:52.80]  and so but they had hundred thousand
[09:54.90]  dollars
[09:55.74]  from YC and you know no matter even
[09:59.40]  though it was just three co-founders and
[10:00.96]  maybe one or two Engineers the money was
[10:03.06]  running out
[10:04.20]  and so at some point they said wow we
[10:06.36]  have to charge something but they felt
[10:08.70]  so bad to charge so they profusely
[10:10.80]  apologized sent very long apologetic
[10:14.22]  emails asking for ten dollars a month
[10:18.48]  in fact I think their first price point
[10:20.40]  was five dollars a month until one
[10:22.74]  customer wrote back to them and said you
[10:25.26]  better charge more because otherwise I
[10:26.94]  think you're not serious enough to build
[10:28.26]  a company and then I don't want to you
[10:30.00]  know put all my data on this platform
[10:31.92]  which is not serious enough to build a
[10:34.44]  business
[10:35.46]  that was the wake-up call for Peter
[10:38.58]  it's like wow me not charging they
[10:40.80]  assumed I'm not here to build a company
[10:42.42]  and they don't want to trust us with
[10:44.52]  their customer data
[10:46.08]  but they still kept it for a while ten
[10:48.30]  dollars a month so 120 a year until they
[10:51.78]  hired a sales advisor
[10:53.82]  and the sales advisor looked into their
[10:56.04]  product and said you should be charging
[11:00.26]  120 000 a year for this product that's
[11:04.86]  how valuable your product is Peter said
[11:08.22]  there's no way no way I'm charging 120.
[11:11.40]  so the challenge he gave him was okay
[11:14.46]  the next sales meeting you're gonna do
[11:16.38]  which was not Friedman at the time he
[11:18.60]  was the CEO of shamarin you're gonna ask
[11:21.54]  him for hundred and twenty thousand
[11:22.98]  dollars a year and if you don't I'll
[11:25.20]  quit as your sales advisor that's what
[11:27.66]  it took to convince Peter to make the
[11:30.06]  ask Peter made the ask Nat said I'll pay
[11:33.54]  you twelve thousand dollars a year and
[11:35.76]  they settled at eighteen thousand
[11:37.56]  dollars a year after that meeting
[11:39.60]  that was a hundred and fifty times
[11:43.44]  the original price Peter had sat with a
[11:47.22]  ten dollar per month
[11:49.02]  that's how much B2B startups under price
[11:51.30]  and this is true you can see that with
[11:53.40]  gusto they underpriced the first two
[11:55.44]  years it's very nerve-wracking but I
[11:57.78]  often say the price is often the way to
[12:00.30]  test if truly you've built something
[12:02.58]  valuable because if you have and your
[12:05.40]  customer is going to be very
[12:06.66]  disappointed about you disappearing they
[12:09.24]  actually won't blink twice and so the
[12:11.46]  best way I often tell you tell Founders
[12:13.56]  to test is increase your price by 30
[12:16.08]  percent
[12:17.28]  and if your customer is not blinking
[12:19.26]  twice then you probably have underpriced
[12:21.24]  a lot and you can keep testing it
[12:23.16]  especially with your early customers
[12:24.78]  until you land at a price point that
[12:27.30]  makes sense but know that you know I I
[12:30.48]  can tell with a very high degree of
[12:32.28]  confidence that most B2B startups at
[12:34.26]  ycee have underpriced and so there's a
[12:36.96]  long ways to go before you can charge
[12:39.42]  where your customer is going to cringe
[12:44.52]  the third most common mistake I see
[12:47.10]  especially at the earlier stages
[12:48.54]  companies do is they can rarely serve
[12:52.20]  all B2B customers well
[12:54.60]  p2b is so broad when you say I'm a B2B
[12:57.30]  startup who are you really selling to
[12:59.46]  tech companies is Broad you have
[13:02.46]  startups with less than 50 employees you
[13:04.68]  have mid-market startups with 50 to 100
[13:06.72]  200 employees and you have late State
[13:09.00]  startups like stripe and you know then
[13:11.22]  you have public companies like Airbnb
[13:13.14]  you really need to be nuanced you can't
[13:15.84]  sell to everyone this is another mistake
[13:18.48]  I often see Founders do especially when
[13:20.40]  they go right after YC demo day oh we
[13:23.40]  have signed up eight customers or 10
[13:25.38]  customers three look like this five look
[13:27.48]  like others and and two from a different
[13:30.24]  and they all have different product
[13:31.68]  needs
[13:33.12]  and so I think it's very at the earliest
[13:35.52]  stages it's okay to iterate but you have
[13:37.74]  to land pretty quickly on what's the
[13:40.38]  segment so my partner Michael siebel has
[13:43.02]  a very easy phrase
[13:45.54]  don't try and say it's SMB or startup
[13:48.24]  figure out who are your easy customers
[13:53.58]  as it is it's so difficult to build a
[13:55.62]  startup so when you're starting out
[13:57.24]  figure out who are your easy customers
[13:59.58]  so figure out for whom whatever Bare
[14:02.34]  Bones MVP have built is more than enough
[14:04.62]  and they're very happy and you start
[14:07.26]  with them
[14:08.22]  for Brax it was startups because
[14:11.28]  Founders couldn't get a credit card that
[14:13.50]  easily so instead of going and solving
[14:15.90]  for all the people in the world the
[14:18.12]  first segment was startups
[14:19.98]  for Gusto it was SMB the payroll
[14:23.58]  software that they built
[14:25.44]  could service any company with less than
[14:28.20]  10 employees
[14:30.00]  that's it's not SMB any kind of SMB as
[14:33.24]  long as you have less than 10 employees
[14:35.22]  our payroll software will work it
[14:37.26]  doesn't work for us
[14:38.76]  so figure out what your Niche is and
[14:41.70]  remember as you scale
[14:44.28]  it's really hard to again service
[14:47.04]  multiple segments so I'll use the
[14:49.68]  example of Gusto so for the first entire
[14:52.44]  year
[14:53.40]  I was actually shocked at the stat can
[14:55.56]  anyone guess how many customers Gusto
[14:58.38]  had
[15:00.18]  any guesses
[15:02.82]  two thousand
[15:04.62]  fifty that's a wide range
[15:07.92]  what's that
[15:09.30]  one million okay from your mouth to
[15:12.12]  God's ears we still have to hit a
[15:13.56]  million but
[15:15.06]  um they had hundreds
[15:17.52]  100.
[15:19.56]  NPS of 80.
[15:22.44]  30 month-on-month growth
[15:25.14]  of course you're coming off a small base
[15:26.52]  the growth rates are really good but 100
[15:30.78]  why only 100 well a it's really
[15:34.50]  difficult to reach Assamese they're not
[15:37.08]  online now they are more online but they
[15:39.24]  were not online when Gusto started
[15:41.10]  second
[15:43.68]  you cannot make a mistake in payroll you
[15:47.70]  can't say move fast and break things if
[15:49.86]  your paycheck isn't arrived guess what
[15:51.84]  your customer is going to say and
[15:53.58]  payroll is a very difficult software to
[15:55.68]  build so that's why they took the time
[15:58.38]  to build and they wanted to make sure
[16:00.36]  that the 100 customers that they worked
[16:03.60]  with were delighted by their service now
[16:06.60]  two years in they knew that they should
[16:08.88]  roll benefits as they were scaling their
[16:11.04]  customer segments and supporting you
[16:13.02]  know companies with less than 25
[16:14.34]  employees it took them almost a year to
[16:16.80]  launch benefits it didn't take off
[16:20.28]  why
[16:22.62]  any guesses
[16:26.88]  go ahead
[16:29.70]  people just taught them as Fair well
[16:31.50]  initially it was Zen Peril but they
[16:33.48]  changed the name to Gusto which helped
[16:35.28]  them
[16:36.12]  any other gases
[16:39.36]  different what sorry
[16:41.52]  different profile actually it's it's
[16:43.74]  more than different profile it is a
[16:46.98]  different profile but the customer that
[16:48.66]  wanted benefits wanted more
[16:51.12]  they just didn't want payroll plus
[16:52.86]  benefits they wanted 401K they wanted so
[16:55.44]  your sales it's not like your sales team
[16:57.30]  was underperforming the customer segment
[16:59.52]  their needs are different so therefore
[17:02.58]  it's really important that when you're
[17:05.16]  scaling as a B2B startup every startup
[17:07.80]  segment that you focus on you got to
[17:09.96]  come from the customer lens what does
[17:12.48]  that customer needs and it may be
[17:15.06]  fundamentally different from the product
[17:16.62]  you're offering you may not have the
[17:18.48]  time to build all their features and
[17:20.10]  that's okay take the time to do it but
[17:23.04]  be deliberate if you assume that just
[17:26.28]  adding a feature will help you scale to
[17:28.20]  the next segment that doesn't work that
[17:30.36]  doesn't work eight out of ten times you
[17:31.86]  may get lucky with the one or two but
[17:33.90]  that doesn't work 8 out of 10 times
[17:38.76]  the fourth common mistake this is
[17:40.98]  actually one of my favorites
[17:42.78]  is
[17:44.28]  early sales should not be delegated
[17:48.60]  I see so many startups
[17:51.60]  when they hit one and a half million AR
[17:53.34]  they're on their way to hire the VP of
[17:55.80]  sales
[17:57.60]  and if I ask them to explain how exactly
[18:01.76]  are you going to tell the sales how
[18:04.38]  exactly do you expect the salesperson to
[18:06.30]  go acquire customers the Founder's
[18:09.06]  response would be well that's what I'm
[18:10.50]  hoping they would tell me
[18:12.42]  that's not their job
[18:14.70]  you hire a salesperson when your sales
[18:18.18]  call and demo calls become extremely
[18:20.94]  boring and repetitive because that's
[18:23.64]  when you figure out what your
[18:25.14]  go-to-market motion is remember in the
[18:27.42]  early days the point number one I made
[18:29.16]  is your product good enough you don't
[18:31.50]  even know that you have to do 100 to 200
[18:34.44]  customer calls customer conversion to
[18:36.72]  know whether your product is good enough
[18:38.24]  when you're 150th demo call is boring
[18:41.70]  and you know exactly how it's going to
[18:43.62]  go and you know they're going to convert
[18:45.36]  that's when you go hire a sales leader
[18:48.68]  usually I would I mean Christina Advanta
[18:51.48]  actually did this extremely well she
[18:53.52]  said she did it up to the point where
[18:55.62]  she knew that week which customer calls
[18:59.34]  we're going to convert how the demo call
[19:01.20]  was going to go what questions they were
[19:03.54]  going to ask and what her answers were
[19:05.28]  going to be and she had one to two sales
[19:07.68]  you know sdrs or sales account you know
[19:11.10]  it's one of two sales reps helping her
[19:13.20]  and she knew even how to train them
[19:15.74]  that's when she understood that it was
[19:19.62]  critical to hire a VP of sales because
[19:22.14]  we've now cracked I have we found a way
[19:25.38]  to repeatedly sell the product and we
[19:29.28]  know exactly how to do this that we can
[19:31.50]  now hire a VP of sales who can build up
[19:34.32]  the sales team help scale up the sales
[19:36.72]  motion so that we can reach thousands of
[19:38.88]  customers if you do this step
[19:41.28]  prematurely it's not your salesperson's
[19:44.04]  fault
[19:45.12]  that you couldn't grow the most common
[19:47.76]  mistake is you hire a VP of sales
[19:49.32]  they've cranked up your team you have
[19:51.12]  all these sales accountants but your
[19:52.80]  growth is slow
[19:54.12]  and the root cause of that is not that
[19:56.28]  the sales motion isn't working your
[19:57.96]  product is not appealing enough so I
[20:00.12]  often tell Founders one of our most
[20:02.16]  critical advice at YC is
[20:04.74]  do the sales till it becomes so boring
[20:08.10]  that you know how to predict that's when
[20:10.20]  you hire your first sales leader
[20:13.52]  and then the last learning which last
[20:17.34]  but not the least is the most important
[20:21.42]  plan to reach default alive
[20:25.62]  I have never understood why so many B2B
[20:29.64]  startups are so reliant on external
[20:33.00]  investment funding
[20:35.52]  there is no I mean there is some reason
[20:37.86]  for some of them but actually if you
[20:40.08]  look at it critically and closely
[20:43.44]  many of them should be able to scale
[20:45.54]  without any funding
[20:48.30]  I usually say if you have hit five to
[20:50.16]  ten million ARR you cannot get killed
[20:53.70]  you should be default alive
[20:56.40]  and so what is default to life if you
[20:58.68]  are not familiar with this term
[21:00.66]  I highly recommend that you read Paul
[21:03.36]  Grant's blog post this is something that
[21:06.66]  YC takes very seriously in fact when you
[21:09.60]  graduate from the YC batch it's part of
[21:12.66]  your monthly investor update if you
[21:15.60]  answer this as default debt it's kind of
[21:18.54]  shaming you into how to get this to
[21:20.28]  default alive so what's default align if
[21:23.64]  you are eight to nine months or even 15
[21:26.04]  months into building your startup and
[21:28.38]  you have decent Revenue scale
[21:31.08]  then the question is okay how soon
[21:33.78]  before you become profitable
[21:36.84]  now why is this important
[21:38.88]  especially some Founders will tell me
[21:40.86]  hey there are investors waiting to give
[21:42.72]  me money why should I care about this
[21:44.36]  well most people are not familiar with
[21:47.40]  this term which is called the Fatal
[21:49.50]  pinch does anyone know we've actually
[21:52.08]  talked about this quite publicly but I
[21:53.70]  don't know how many of you know the
[21:54.60]  Fatal pinch
[21:56.82]  anyone here how many of you know it
[21:58.74]  raise your hand if you know what is the
[21:59.88]  Fatal pinch
[22:01.86]  okay two two elfino so let me tell you
[22:04.26]  what the Fatal pinch is the Fatal
[22:06.60]  pinches you raised a bunch of money
[22:09.18]  you hired a bunch of your team members
[22:12.36]  but your growth is less than 10 month on
[22:14.70]  month
[22:15.42]  and you don't have enough Runway all the
[22:17.58]  time to experiment
[22:19.44]  and no one's going to give you more
[22:20.88]  money
[22:22.32]  that's the Fatal pinch
[22:25.56]  versus if you have raised money spent
[22:28.50]  the least amount on hiring
[22:30.96]  and you're really finding a way to make
[22:33.00]  money remember charge don't underprice
[22:35.46]  charge enough so that it supports your
[22:37.44]  CAC
[22:38.46]  should be on your way to at least break
[22:40.32]  even
[22:42.18]  and so we often encrypt startups to get
[22:45.24]  to default alive because then
[22:49.32]  you know what even most investors will
[22:51.84]  be willing to give you money because you
[22:53.22]  don't need money that's when investors
[22:54.78]  give you money when you don't need money
[22:56.60]  and you found a sustainable way to
[23:00.30]  acquire customers and support them with
[23:03.18]  their own with their own price that they
[23:04.92]  pay the revenues that you're making if
[23:07.32]  not you don't have a business model the
[23:09.78]  problem with not focusing on default
[23:11.52]  alive is you have not figured out the
[23:13.68]  business model that's the segment
[23:15.30]  problem it's all free You Know by the
[23:17.82]  way it's not the only company there's
[23:19.26]  another company that went through YC
[23:20.94]  called post hoc it was one of the most
[23:23.60]  successful open source product analytics
[23:26.46]  launch that they did through YC top
[23:28.86]  number one on Hacker News 30 000 signups
[23:32.52]  James was extremely confident that when
[23:35.22]  he turns on the paid subscription at
[23:37.74]  least five percent will convert guess
[23:39.60]  how many converted
[23:43.20]  you said 2 30.
[23:45.84]  30 people paid
[23:47.88]  and so then he went back to iterating on
[23:49.98]  the product and figuring out who other
[23:51.60]  easy customers how can I make sure I
[23:54.96]  built the most valuable thing for them
[23:56.64]  and then make if you built the most
[23:59.10]  valuable they'll pay and price
[24:00.78]  appropriately right and so when you do
[24:03.72]  those three things you will be on path
[24:06.06]  to default alive and so the success case
[24:08.28]  I know it sounds like a Survivor bias
[24:10.26]  but zapier made from zapier never
[24:14.34]  believed in fundraising and I think
[24:16.08]  that's why he hit default alive with one
[24:18.24]  and a half million he's never had to
[24:20.64]  raise money
[24:22.32]  he doesn't need to because he prints
[24:24.30]  cash he uses the cash to invest in the
[24:26.34]  company and then scale and I strongly
[24:28.50]  believe at YC we often say we wonder why
[24:31.26]  so many B2B startups are fundraising and
[24:34.08]  they're in this fundraising mode every
[24:36.42]  12 months they're back boasting their
[24:39.54]  evaluations and the numbers if in fact
[24:41.40]  I'd say you should be boasting your
[24:42.84]  Revenue number and he'll break even not
[24:45.42]  the valuation that's a vanity metric
[24:47.34]  that doesn't indicate anything
[24:50.40]  so I would say like the fifth mistake
[24:53.28]  most people do is plan to reach default
[24:55.38]  alive because it doesn't matter whether
[24:57.18]  it's 20 21 or 2022 or 2023 you are in
[25:01.62]  control of your destiny and it can be
[25:03.72]  done it may mean that you grow slightly
[25:06.42]  slower because you're not able to invest
[25:08.52]  in go to market ahead of time and that's
[25:10.68]  okay that's perfectly okay the key is do
[25:14.46]  you have a product
[25:15.78]  that lasts for decades for customers to
[25:18.84]  use and that's all that matters
[25:24.06]  so in summary if there are five things
[25:26.94]  again only five things that you can take
[25:29.64]  away from this presentation I'd say the
[25:32.04]  number one
[25:33.48]  is the product good enough
[25:36.66]  and make sure you ask this question
[25:38.66]  every six months for the life of your
[25:42.00]  company you are the only person as a
[25:44.88]  Founder who can do that no one will ask
[25:47.22]  that as often as you do
[25:49.68]  second price appropriately know that
[25:54.00]  almost all B2B startups are underpricing
[25:56.58]  so go try try and experiment go raise
[25:59.64]  the prices by 30 and see who flinches
[26:02.58]  and who is okay with it
[26:05.28]  three
[26:06.36]  companies can rarely serve all B2B
[26:09.18]  customers well so Focus especially early
[26:12.24]  on the easy customer iterate to figure
[26:15.96]  out who your easy customer is and just
[26:18.42]  try to acquire those easy customers
[26:21.44]  for do not delegate early sales
[26:25.80]  may try Founders should do sales until
[26:29.04]  it gets so repetitive and boring that
[26:31.32]  it's so predictable that's when you hire
[26:33.36]  for sales leader
[26:35.10]  and last but not the least plan to reach
[26:37.80]  default alive
[26:39.96]  try to bootstrap the company or get to
[26:42.54]  break even with the initial investment
[26:44.22]  so that you never have to rely on
[26:46.68]  external investors to scale your company
[26:49.50]  thank you everyone
[26:51.36]  foreign
[26:54.06]  [Music]
