Title     : Key Lessons from a $5B SaaS Category Leader,  Doug Pepper, Shasta Ventures Managing Director
Video ID  : kB_-qgX7Xbg
[06:11.31]  for a solution to a problem married with
[06:14.58]  right at that moment the actual
[06:17.04]  potential through technology to solve
[06:19.38]  that problem there's lots of great
[06:21.45]  markets out there but the ones that are
[06:24.06]  truly explosive are the ones that
[06:25.98]  literally couldn't have existed two or
[06:27.96]  three years ago because the need wasn't
[06:30.12]  there and the solution wasn't possible
[06:32.28]  the Marketo team talked to 75 CMOS
[06:35.52]  before they decided to start the company
[06:38.01]  and they recognized
[06:40.05]  those characteristics in the case of
[06:42.30]  Marketo being a marketing automation
[06:43.68]  company the need by 2006 was there in
[06:48.18]  2000 when the early marketing automation
[06:50.22]  companies tried to exist there wasn't
[06:53.46]  the need but by oh six marketers were
[06:56.22]  using digital advertising email
[06:58.50]  marketing Google Adwords
[07:00.57]  there was something to actually automate
[07:01.98]  and on the ability to solve the problem
[07:04.65]  sign you finally had SAS because Samos
[07:07.62]  didn't have access to capital expense
[07:09.69]  budgets they could now pay for software
[07:12.06]  on a monthly basis it with a simple UI
[07:15.06]  that non-technical users could use so
[07:17.49]  the Marco team picked the right category
[07:19.32]  and they convinced me of that and then
[07:21.78]  they really were the dream team they had
[07:23.61]  actually started a company called
[07:24.75]  Epiphany years before that was kind of a
[07:27.21]  failed predecessor marketing company but
[07:30.12]  from that came a real product first
[07:33.06]  approach and a unique insight by them on
[07:36.42]  what to build and they had worked
[07:38.07]  together and those are the types of
[07:39.72]  teams that we love a unique perspective
[07:42.14]  ability to build a product and risk
[07:45.33]  mitigation through knowing that the
[07:46.83]  founders can work well together so
[07:49.11]  that's how they got me to fund it and
[07:50.76]  got through the fundraising challenge
[07:52.26]  ultimately we invested at a three
[07:55.68]  million dollar pre-money valuation you
[07:57.51]  could do that back in 2006 and off they
[08:01.29]  went to go build a company and ran in to
[08:04.68]  their next challenge very very soon
[08:06.54]  which was this concept of MVP which of
[08:09.42]  course we all know about minimally
[08:11.01]  Viable Product I think in many cases
[08:14.40]  that's what founders are encouraged to
[08:16.68]  build and iterate from there and quite
[08:19.74]  simply that did not work for Marketo
[08:21.83]  Marketo team started with what we call
[08:24.18]  we didn't call it MVP we called it a
[08:25.89]  version dot 5 product as a way to get
[08:29.19]  into the market quickly get some initial
[08:31.47]  customers and it was very far from the
[08:35.25]  ultimate vision of what they wanted to
[08:36.75]  build it was really just a google
[08:38.58]  adwords
[08:39.30]  plus simple landing page product and we
[08:44.19]  got initial uptake but ultimately we
[08:47.28]  abandoned that product entire
[08:49.55]  so we launched with that got about a
[08:53.03]  hundred customers I don't think we got
[08:54.59]  quite a millionaire or it was a little
[08:56.06]  less than a millionaire are and we had
[09:00.80]  real issues with the Google API there
[09:03.20]  was a challenge and then we went to go
[09:04.70]  fundraise and once again could not
[09:07.19]  generate interest in funding this this
[09:10.67]  product and Phil Fernandez the CEO of
[09:13.34]  Marduk Marketo step back and really
[09:15.17]  thought am I going to be able to deliver
[09:17.51]  on my vision of a full marketing
[09:19.43]  automation product with this product
[09:21.80]  I can't fundraise around it and made the
[09:24.01]  incredibly tough decision I can't
[09:26.12]  imagine as a founder doing this fully
[09:30.14]  abandoning that product a hundred
[09:32.18]  customers completely shut it down all
[09:34.37]  the revenue shut it down and started
[09:36.80]  over to build what they had always
[09:38.93]  planned to build was the full lead
[09:41.36]  nurturing marketing automation product
[09:43.31]  and so we funded it in 2006 that full
[09:47.12]  product didn't come out until 2008 so
[09:50.18]  here we are two years later we've had to
[09:52.37]  do an inside round now a bridge round to
[09:55.34]  get to this new product the good news
[09:58.13]  being that product was a true
[10:00.38]  breakthrough product in the market and
[10:02.03]  ultimately led to all the success that
[10:03.95]  we had and it was the case of a founder
[10:06.38]  making a very very tough decision not to
[10:09.74]  pivot because they had always had that
[10:11.42]  vision but to kind of abandon an initial
[10:14.99]  product and rebuild so that was that was
[10:17.60]  a big challenge but one that was clearly
[10:20.03]  the right decision
[10:21.83]  the other challenge another big
[10:23.72]  challenge was team change you know I
[10:25.16]  think we all like to believe that we
[10:26.48]  hire well and that the team members we
[10:29.03]  have on board will be able to grow with
[10:30.56]  the company and Marketo very very early
[10:33.65]  on had to make a very significant team
[10:36.83]  change in our first VP of Sales and kind
[10:40.79]  of probably doesn't sound like a big
[10:42.11]  deal but one of the big knocks on the
[10:44.42]  Marketo team early on was that they were
[10:47.15]  two product oriented two engineering
[10:50.09]  oriented and some VC's felt that they
[10:53.18]  didn't have the DNA to build a great go
[10:56.18]  to market team and so firing the first
[11:00.32]  VP of Sales was in some
[11:03.02]  more than just giving up revenue and in
[11:05.90]  delaying revenue it was admitting in
[11:08.48]  some ways this defeat on the early go to
[11:12.68]  market efforts and in giving some people
[11:15.53]  ammunition that maybe they were right to
[11:17.84]  pass but thank goodness that they made
[11:22.07]  that decision and that we made that
[11:23.57]  decision and we brought on somebody
[11:26.03]  named Bill Bench who's actually now a
[11:28.01]  head of sales at a company called pendo
[11:30.19]  but he took Marketo from 0 to 250
[11:34.79]  million era which is incredibly rare to
[11:37.97]  have one VP of Sales go that far in the
[11:41.03]  journey and every company needs one or
[11:44.18]  two true game-changing hires and this
[11:48.44]  was this was one of those and so the
[11:50.93]  take away simple when you've got a team
[11:53.51]  member especially early days that isn't
[11:55.88]  a fit isn't a cultural fit isn't that
[11:58.52]  game changer even though you're gonna
[12:00.86]  take a step back do it and bring on the
[12:05.12]  right people to continue to grow the
[12:07.49]  company so the next challenge here left
[12:15.92]  at the altar urinal you'll understand
[12:17.60]  what I'm talking about here in a second
[12:19.04]  but this is really about competition and
[12:22.27]  I would say the single biggest challenge
[12:25.88]  for Marketo all the way through was the
[12:28.75]  tremendous competition that they faced
[12:31.12]  and any good software category is going
[12:35.03]  to be competitive in fact as an investor
[12:37.07]  when I look at a category and it isn't
[12:39.77]  competitive something scares me because
[12:42.47]  what I've always seen is that when you
[12:44.78]  have that why now market that I
[12:46.91]  mentioned usually multiple smart
[12:49.58]  founders recognize that that market
[12:52.46]  opportunity at the same time and we see
[12:54.98]  always waves of startups at the same
[12:57.56]  time going after the same idea not
[13:00.23]  because they're copying each other but
[13:01.58]  because they're smart and recognizing
[13:03.53]  the opportunity when we don't see that
[13:05.66]  were actually scared sometimes but the
[13:08.99]  Marketo
[13:09.67]  marketing automation market was to the
[13:12.11]  extreme there were a dozen
[13:14.59]  super well-funded really good software
[13:18.16]  companies trying to be the market leader
[13:19.69]  in marketing automation and that
[13:22.95]  lengthen sales cycles and it reduced
[13:27.28]  pricing it reduced margins it caused
[13:30.25]  every company in the space to have to
[13:32.26]  raise more money than you'd like and a
[13:34.15]  lot of our SAS efficiency metrics were
[13:36.85]  worse because of those competitive
[13:40.06]  dynamics but for Marketo left at the
[13:42.79]  altar it was even worse because every
[13:45.70]  one of our competitors was acquired by
[13:47.59]  major platform companies so you may have
[13:50.68]  heard of some of these competitors that
[13:52.72]  we had par dot was acquired by
[13:54.64]  ExactTarget
[13:55.66]  which was then acquired by salesforce
[13:57.90]  elico which is what was really our key
[14:00.40]  competitor went public before us and
[14:02.86]  then was acquired by Oracle responses
[14:06.01]  was acquired by Oracle neo Lane was
[14:07.99]  acquired by Adobe all in 2012 and 2013
[14:11.70]  we were trying to go public in 2013 this
[14:15.13]  is terrifying that every one of your
[14:17.50]  competitors is now part of a huge
[14:20.83]  platform with thousands of customers and
[14:23.62]  unlimited go to market resources and you
[14:28.03]  know as a young venture capitalist I
[14:29.74]  thought we're dead we've lost because we
[14:32.77]  wanted to be acquired by these people
[14:34.30]  and we were in all those conversations
[14:36.55]  we were never acquired by them and in
[14:40.45]  some sense you felt left at the altar in
[14:44.02]  the end we were larger than every one of
[14:45.76]  these companies and so how did they do
[14:48.58]  that
[14:49.65]  the first was focus it would be a lie to
[14:54.85]  say that we didn't focus on competition
[14:57.36]  we focused relentlessly on beating them
[15:01.45]  head-to-head we measured it every board
[15:04.00]  meeting we knew exactly what our
[15:05.98]  head-to-head win rate was against Teleco
[15:08.47]  HubSpot all the rest but when it came to
[15:12.13]  our core which was our product we didn't
[15:15.13]  focus and they didn't focus at all on
[15:17.41]  the competition focused on our own
[15:19.84]  customers our own vision and Phil
[15:22.18]  Fernandez the CEO said that he never
[15:24.97]  ever watched a competitor
[15:27.54]  product demo because he didn't want to
[15:30.06]  be tainted by what somebody else was
[15:32.55]  building he wanted to listen to his own
[15:34.50]  customers and his own vision and build
[15:37.08]  his own product and ironically Eloqua
[15:41.18]  came out a few years later after we had
[15:44.88]  launched our product in 2008 with
[15:47.25]  something that they actually described
[15:49.05]  in the market as a Marketo killer and
[15:51.18]  that was the moment that Phil knew we
[15:54.15]  were gonna win against them because they
[15:56.43]  were focused on us as opposed to serving
[15:59.61]  their customers so product product focus
[16:04.23]  and kind of driving your own vision I
[16:08.33]  think we're missing a slide in there
[16:10.62]  which is fine
[16:11.82]  so there's another slide in here that's
[16:13.62]  really important besides focusing on
[16:17.28]  product and how we won the single
[16:19.59]  biggest learning for me and Marketo was
[16:21.78]  that innovating and product was
[16:23.94]  necessary but not sufficient that the
[16:26.73]  real reason that Marketo won and a bunch
[16:29.61]  of my other investments win is because
[16:32.67]  yes they've got this foundation of
[16:34.26]  product and a breakthrough product
[16:36.18]  that's their own but that they innovate
[16:38.85]  equally in how to bring that product to
[16:41.55]  market and go to market and in the case
[16:43.71]  of Marketo Eloqua was selling heavy
[16:45.90]  software with services and Marketo of
[16:48.75]  back in 2008 really pioneered this high
[16:51.15]  velocity selling model they pioneered
[16:54.45]  things like content marketing thought
[16:57.18]  leadership and actually one of the
[17:00.45]  things that they did was something that
[17:01.77]  we called Marketo
[17:02.67]  at Marketo which was john miller the
[17:05.25]  founder out there teaching customers how
[17:08.61]  Marketo uses Marketo itself to drive a
[17:13.20]  really effective go to market SAS
[17:14.97]  business inbound funnel and they
[17:17.16]  invented a lot of the SAS metrics that
[17:19.86]  we all know and love now were invented
[17:22.92]  by Marketo back in 2008 and so clearly
[17:27.33]  product was a big reason for our success
[17:30.30]  but if not for that real innovation on
[17:33.06]  how to bring the product to market I
[17:34.91]  don't think we would have won and my
[17:38.01]  advice to all of you in the room
[17:39.91]  is to think equally about how you can
[17:43.09]  sell differently not just sell better or
[17:45.91]  a better product but how do you sell
[17:47.86]  differently sales and marketing to rise
[17:51.46]  above the noise in any good market that
[17:55.27]  was a big big learning for for Marketo
[17:58.56]  the other is obvious and I'm sure some
[18:01.75]  of you are feeling this sometimes I
[18:05.62]  think besides believing that a SAS
[18:07.47]  journey is going to be a smooth journey
[18:09.64]  I think people often think that it could
[18:12.43]  be fast it's never fast it takes a long
[18:16.57]  time to build these companies and I'll
[18:20.05]  give you some numbers for Marketo to
[18:23.05]  bring it alive so I don't know if you
[18:25.30]  can see this up here but these were the
[18:28.42]  original projections for revenue when we
[18:31.87]  invested in Marketo in 2006 so in 2010
[18:36.79]  the expectation was to reach 86 million
[18:40.69]  dollars in revenue by whatever that is
[18:43.78]  you're five these were the real numbers
[18:48.30]  okay so here we are 2010 I invested
[18:52.93]  behind a plan to be at 86 and we were at
[18:55.21]  14 you know you can see 2007 to 2008 we
[19:00.70]  went from 1 to 2 you guys know this
[19:03.22]  whole triple triple double-double thing
[19:04.90]  that you read about and sastra ok we're
[19:06.94]  way below that we're supposed to be
[19:08.35]  tripling we just doubled you know how we
[19:11.17]  do case studies in business school I
[19:13.30]  think if MBAs we're looking at this as a
[19:15.82]  case and just saw you know the the
[19:18.40]  numbers up to 2010 they would assume
[19:20.32]  this was a giant failure and of course
[19:23.50]  the reality is that these things just
[19:25.96]  take longer than people expect but the
[19:28.87]  great news is that when they work they
[19:31.60]  can be much bigger than anyone ever
[19:33.88]  imagined and so of course by 2015 we
[19:37.36]  were doing around 200 million I think
[19:39.49]  it's doing well over 500 million within
[19:41.59]  Adobe now so much bigger than we ever
[19:43.99]  expected but also took a lot longer and
[19:47.38]  in 2010 you know what's that team doing
[19:50.71]  they're persevering through
[19:53.04]  all the challenges and all the
[19:55.08]  roadblocks to continue building the
[19:57.51]  business oh by the way also fundraising
[20:00.15]  you can't run out of money during this
[20:01.62]  time but it took a long long time and
[20:05.51]  you know I think it's a great lesson for
[20:08.64]  everybody in the room here that that you
[20:12.24]  know you're suffering through challenges
[20:13.95]  things are taking longer than you might
[20:15.75]  expect every good software company out
[20:19.11]  there has been through a journey like
[20:20.88]  this if you you know just went from one
[20:23.43]  to two million and investors are saying
[20:25.17]  to you that you're not growing fast
[20:27.24]  enough just keep plugging away keep at
[20:30.30]  it
[20:30.66]  because you can see here how long it
[20:33.27]  took us to really reach scale and and
[20:36.60]  obviously in the end it turned out to be
[20:38.16]  a wonderful outcome the other learning
[20:42.57]  is that I think people think that once
[20:45.15]  you go public it must be you know you're
[20:47.43]  you're fine and everything's up into the
[20:50.49]  right from being public in fact the
[20:52.80]  reality is that the challenges never go
[20:55.56]  away they just get harder as you get
[20:58.08]  bigger and when you're public there's
[21:00.00]  more scrutiny and then the lawsuits come
[21:02.55]  when the stock drops always so we went
[21:06.06]  public in 2013 at 13 bucks a share the
[21:09.57]  stock went up to 40 bucks a share a year
[21:11.88]  later we're excited that's great and
[21:13.59]  then tanked all the way back down below
[21:16.38]  the IPO price scary lawsuits we're not
[21:20.16]  sure what's going to happen lots of
[21:21.54]  competition and then only six months
[21:25.08]  later the company gets acquired by this
[21:26.49]  stuff for $35 a share so the roller
[21:29.88]  coaster continues whether you're a
[21:32.49]  private late stage public there really
[21:36.03]  it doesn't end and so hopefully you can
[21:39.69]  see that you know whatever stage you're
[21:42.12]  at the the journey continues
[21:45.03]  but that you can if you have the right
[21:49.35]  market you're in a great why now market
[21:51.84]  and you've built the right product
[21:53.91]  focused on product and innovated and go
[21:56.25]  to market and built the right team that
[21:57.96]  that you can achieve the kind of success
[22:00.87]  that Marketo did
[22:02.50]  as well so those are the those are the
[22:05.53]  key learnings from from Marquette oh
[22:07.86]  happy to take any questions that you'd
[22:11.02]  like and give you some extra time
