Title     : How to Scale Your Sales Team From 1 to 100 Reps:  Dave Baga, CRO at Lyft
Video ID  : 1cwY862TCBc
[05:55.00]  as uh as an organization multiple times
[05:57.72]  even in a mature company
[06:00.16]  so you've said product Market fit a lot
[06:02.64]  probably one of the most overused terms
[06:05.44]  um how do you define it how do you think
[06:07.80]  about it it's it seems like something
[06:09.88]  when you get wrong when you're not
[06:12.32]  calibrated on you start spending in the
[06:15.48]  wrong direction and it's really tough to
[06:17.12]  recover so what can the audience learn
[06:19.44]  about product Market fit I I think I got
[06:22.32]  my best lessons of uh finding product
[06:25.12]  Market fit uh at Rocket Lawyer and uh
[06:28.52]  that was the first time that was really
[06:30.12]  close to the the product design
[06:33.40]  engineering teams and I think there's a
[06:36.00]  lot that that the sales and marketing
[06:37.92]  organization can can basically steal
[06:41.36]  from the agile methodologies uh from
[06:44.24]  what Steve blank is talking about from
[06:46.16]  what Eric ree talks about with this
[06:48.60]  iteration of of uh building measuring
[06:51.04]  and learning and really what you're
[06:52.48]  trying to do when you're finding uh
[06:56.36]  finding your footing as a as a new
[06:58.32]  company in a new category with new
[06:59.88]  products or Services is is run a lot of
[07:03.20]  experiments and the faster that you can
[07:05.20]  get that Loop going the better chances
[07:07.80]  you have of identifying something that's
[07:10.08]  really working and you're really looking
[07:11.52]  for one thing that is working first and
[07:14.04]  so this can be everything from testing
[07:15.64]  your demand generation channels to
[07:17.84]  testing positioning and messaging on
[07:20.12]  Outreach to completely different uh
[07:23.08]  sales profiles in terms of uh an SDR
[07:26.20]  function to an ISR to you know God
[07:28.68]  forbid a a a field sales
[07:31.08]  representative so
[07:34.28]  you I Love Field sales don't get me
[07:36.76]  wrong so you have some uh tooling you
[07:40.44]  have measurement um things are starting
[07:43.20]  to show some good data
[07:46.60]  um what are some lessons learned that
[07:49.20]  product Market fit actually still isn't
[07:51.20]  there and even though the data may
[07:53.04]  suggest so yeah so I I I really think
[07:55.28]  that it's about creating a I call it
[07:58.24]  kind of instrumenting the the machine so
[08:00.28]  you're really trying to measure
[08:01.68]  everything and I don't care how
[08:03.88]  unsophisticated the measurement is but
[08:06.00]  you you need to be getting it into a
[08:08.12]  spreadsheet so you can analyze and learn
[08:09.80]  from it the second thing that I see a
[08:11.56]  lot out there is people not finishing
[08:13.96]  experiments so they go 80% of the way
[08:17.72]  and then they they quit on it and yet
[08:20.48]  there's probably the remaining 50% of
[08:22.96]  the value of the experiment is in that
[08:24.48]  last 20% so you have to finish it so
[08:26.92]  that you can feel uh confident that you
[08:29.60]  can disqualify a go to market strategy
[08:32.72]  completely Far and Away the most
[08:35.24]  dangerous
[08:37.68]  um error to make I would say is what I
[08:42.32]  consider CEO
[08:44.28]  magic so there's a lot of Founders out
[08:46.96]  there that uh are are are the the
[08:51.24]  organization's first professional seller
[08:53.84]  actually they're they an unprofessional
[08:55.28]  seller and they are out there and they
[08:57.36]  will win their first account and maybe
[08:59.72]  the the first few customers and now they
[09:02.24]  believe that they are maybe they come to
[09:03.76]  Someone Like You and they they raise
[09:05.16]  some money and now they're going to
[09:06.92]  build their their sales team and they're
[09:08.44]  going to try and hire their first BPS
[09:10.00]  sales or a chief Revenue officer and
[09:12.84]  they they are selling this story that
[09:15.04]  hey I I already did this job I was out
[09:17.44]  there I sold customer One customer two
[09:20.84]  customer 3 four five but they did it
[09:23.76]  with CEO magic and what I mean by that
[09:26.04]  is they've they've broken some rules
[09:28.60]  they are agreeing to build something for
[09:31.32]  the customer that's bespoke they are uh
[09:34.88]  rolling over on on legal terms like
[09:37.40]  indemnification or limitation of
[09:39.20]  liability or they are um uh even even
[09:43.88]  worse uh giving away free trials or or
[09:47.24]  really really uh big discounts and then
[09:50.36]  they bring in this professional sales
[09:52.00]  organization or sales leader to build
[09:53.76]  this team and they're like hey you have
[09:55.96]  to do this but you can't use any CEO
[09:58.36]  Magic and I think it's a real problem
[10:01.36]  when when they think they found product
[10:03.60]  Market fit and they actually really
[10:05.80]  haven't sometimes product uh Co magic is
[10:08.76]  also called YC magic when your entire
[10:11.20]  customer list are fellow YC companies um
[10:14.64]  all right so you have product Market fit
[10:16.56]  it's time to put some fuel on the fire
[10:19.00]  what questions do you ask when you start
[10:20.68]  to think about how do I build my goto
[10:22.52]  Market Playbook what are some of the
[10:24.44]  triggers the dials that you just need to
[10:26.20]  be aware of so you're spending the right
[10:28.28]  way and creating the right type of org
[10:30.68]  yeah uh so so one of the things I I
[10:32.64]  really make sure that I I have before I
[10:35.52]  am going into building that team is is
[10:38.60]  reference accounts so I I really am a
[10:41.52]  big believer that if I can make one
[10:43.64]  really successful customer that I know
[10:46.64]  that provided that my total available
[10:48.48]  Market is large enough I'm going to turn
[10:50.20]  that into 10 and I'm going to turn 10
[10:52.24]  successful customers into 100 and 100
[10:54.56]  I'm going to turn into 10,000 so I I I
[10:57.52]  really think that there is an
[10:59.40]  opportunity to lay down that Foundation
[11:02.32]  of testimonials case studies uh
[11:06.16]  reference calls people that will
[11:07.80]  advocate for you before you get into
[11:09.40]  that building that go to market
[11:11.52]  team so getting into it
[11:14.76]  um you know my the early part of my my
[11:17.56]  career was largely uh in the heavy B2B
[11:22.48]  uh selling into Fortune 350 uh
[11:25.52]  government education Healthcare and that
[11:27.56]  was the lineon share of that was was at
[11:29.76]  Oracle and it wasn't until I uh I left
[11:33.24]  Oracle and I saw some some very
[11:35.80]  different uh playbooks that needed to be
[11:37.72]  run and so one of the things that I
[11:39.56]  think is a big um mistake that I made
[11:42.80]  earlier in my career was actually when I
[11:44.44]  left Oracle and I I went to a company
[11:46.32]  called information
[11:47.56]  Builders it was uh 1500 people doing a
[11:50.72]  few hundred million in sales I was the
[11:53.00]  the general manager of the western
[11:54.80]  region and I came in full of Oracle
[11:57.80]  Swagger and and implemented the Oracle
[12:00.08]  Playbook and it just didn't work it it
[12:02.60]  was a it was a huge mistake and I had to
[12:04.92]  completely reset the territories the
[12:07.12]  profile uh the compensation structure
[12:09.36]  and
[12:10.08]  everything when I went to uh Rocket
[12:13.12]  Lawyer I I saw completely the other end
[12:16.16]  of the spectrum and it gave me this this
[12:18.20]  this concept of these slider scales of
[12:20.48]  being able to evaluate what does your
[12:22.52]  Market what does your segment what does
[12:24.36]  your ideal customer profile look like
[12:26.84]  and so you know on the on the far right
[12:29.08]  you you've got the the kind of that
[12:30.64]  Oracle World selling into it into the
[12:33.64]  biggest organizations in the world when
[12:35.72]  I went to Rocket Lawyer we were selling
[12:38.08]  $4 a month subscriptions to you know
[12:42.08]  Joe's bait shop and very small
[12:44.28]  businesses and so it was very different
[12:46.80]  uh super high velocity very
[12:48.84]  transactional uh major Reliance on uh
[12:52.16]  demand generation and a very lead-rich
[12:54.36]  model and it was exactly the polar
[12:57.12]  opposite interestingly now today I I
[13:00.12]  sort of look at at uh where I am at at
[13:03.36]  Lyft as being able to to leverage both
[13:06.60]  of these experiences because we are
[13:08.32]  going all the way from the B to C world
[13:10.76]  to the B to very small B all the way up
[13:13.00]  to the the most mature organizations in
[13:15.20]  the
[13:15.96]  country I think that people have to
[13:18.20]  really step back and figure this part
[13:20.52]  out before they are able to design a a
[13:24.08]  go to market model because if you if you
[13:26.84]  aren't hyperaware
[13:29.32]  of um of who your customer is you're
[13:32.76]  going to choose the wrong type of
[13:34.76]  profile of people you're going to build
[13:37.08]  the wrong composition of team and you're
[13:39.36]  probably going to find yourself upside
[13:41.20]  down on rep level unit economics which
[13:43.36]  means you're not going to get to that
[13:44.96]  next stage of
[13:46.96]  investment what are some of the lessons
[13:48.92]  you've learned hiring people out of
[13:52.28]  organizations that have proven in
[13:55.04]  whatever sector that they did it once
[13:57.20]  hey you know I I I have a Enterprise
[13:59.32]  sales model so I'm going to hire someone
[14:00.96]  out of the top SAS company and yet they
[14:04.04]  come in and maybe that one Playbook they
[14:06.60]  had over there isn't relevant or the
[14:09.08]  Dynamics a little different the do you
[14:10.76]  have any anecdotes of uh sometimes the
[14:14.20]  hiring to match that goto Market
[14:16.36]  Playbook that you've designed may not go
[14:18.64]  exactly as you planned yeah I think you
[14:20.52]  have to be really intellectually honest
[14:23.16]  with how your organization is set up and
[14:25.48]  what stage you're at you know pulling
[14:27.20]  somebody out of a mature organ gation
[14:29.24]  that has been
[14:30.44]  successful at scale even if they are in
[14:33.60]  your industry uh selling to in your
[14:36.32]  territory and pulling them in and
[14:38.44]  expecting that they're going to succeed
[14:40.24]  in your very not mature very not
[14:42.84]  rigorously designed organization is is
[14:45.84]  is a recipe for a disaster you know when
[14:48.24]  you're going from 1 to 100 what I have
[14:50.96]  uh I guess learned the hard way I
[14:53.24]  consider myself an experiential learner
[14:55.92]  is that I I think that adaptability is
[14:59.52]  the number one trait that I'm looking
[15:00.72]  for so I really kind of look at the
[15:02.00]  world of uh as pioneers and these are
[15:05.80]  tough gritty adaptable think on their
[15:08.64]  feet and then you've got the settlers
[15:11.08]  and settlers come from those very mature
[15:13.08]  organizations you need the pioneering
[15:15.08]  mentality when you're going from 1 to
[15:16.64]  100 and the adaptability I think can be
[15:19.36]  really broken down into into three
[15:21.40]  segments number one is is do I have the
[15:24.64]  willingness to change and the second
[15:26.96]  thing is do I have the ability to change
[15:29.32]  and third and finally is how [ __ ]
[15:31.04]  fast can you change because I need you
[15:33.00]  to really move quickly to get to 1 to
[15:35.56]  100 and so I really find that the thing
[15:37.72]  that holds most of those folks back from
[15:39.56]  coming from very mature organizations is
[15:41.88]  that they they just cannot check off on
[15:44.08]  those three boxes of adoptability
[15:46.80]  some people think that these uh go to
[15:50.92]  market models and the stages of them are
[15:53.20]  you know very discreet stages and there
[15:55.68]  are candidates that fit stage 1 two and
[15:58.36]  three three and that you should expect
[16:00.56]  every 18 to 24 months to change a VP of
[16:03.40]  sales by the way in prep I actually
[16:05.92]  asked David this and he looked at me and
[16:07.48]  said well not me I go all the way
[16:10.16]  through not everyone is you do is it
[16:13.48]  realistic to expect that you're going to
[16:15.36]  have to uh kind of change out uh in each
[16:19.96]  of these stages because of those unique
[16:22.20]  dynamics of succeeding and the nuances
[16:24.60]  of dialing in the
[16:26.12]  Playbook I do think that for the most
[16:28.72]  part that you are going to go through
[16:30.56]  some phases and likely we'll have uh a
[16:36.28]  couple probably a couple sales leaders
[16:39.04]  uh before you reach a chief Revenue
[16:40.96]  officer and and I look at at someone
[16:43.40]  that's the chief Revenue officer is
[16:45.32]  distinctly different from the vpa sales
[16:47.60]  I think that you're really looking uh at
[16:49.56]  a broader spectrum and trying to
[16:51.68]  organize and coordinate between your
[16:53.56]  product your marketing your sales and
[16:56.40]  Business Development uh together in in
[16:58.60]  an orchestrated fashion so I I'd say
[17:01.76]  that there is an early stage VP sales
[17:03.48]  profile and I think that there is a a uh
[17:06.76]  building the go to market model profile
[17:09.04]  and then there's some folks that just
[17:10.40]  love operating at scale with their their
[17:12.84]  dashboards and their reports and their
[17:14.92]  operating efficiencies and you know
[17:17.28]  that's a that's a completely different
[17:18.68]  animal unto
[17:20.88]  itself so after go to market you have a
[17:24.12]  very after go to market is dialed in you
[17:26.44]  have a very unique experience through
[17:28.12]  your time at Oracle where you when we
[17:30.88]  talk about scaling and the orchestra and
[17:33.68]  the Playbook uh I mean it's a Once in a
[17:36.24]  Lifetime company maybe you could share
[17:38.84]  what it was like to take that to scale
[17:41.52]  to immense profitability and how you saw
[17:44.32]  the machine work and why it did y well
[17:47.68]  first of all I should clarify I didn't
[17:49.40]  do it all on my own oh you didn't no I
[17:51.92]  didn't uh but I I did take away some
[17:54.80]  some really fabulous lessons out of the
[17:57.16]  Oracle experience and I think that
[17:59.36]  surprisingly a lot of them are are are
[18:02.12]  things I'm still leveraging even at the
[18:03.60]  very earliest stages you know the the
[18:05.72]  number one thing that uh you take away
[18:08.44]  is that uh Oracle is really big so when
[18:11.40]  I went there in 2002 I started as a
[18:13.92]  business development consultant uh which
[18:16.12]  is a what you equivalent of an SDR today
[18:19.28]  or bdr and uh we were 44,000 employees
[18:23.52]  uh I was Employee
[18:26.16]  55773 and uh we exactly exactly and we
[18:30.76]  it's on your badge and and so then I I
[18:33.80]  went from uh from there and in 6 years
[18:36.88]  we acquired 72 companies and we went
[18:39.28]  from 44,000 people to over 100,000
[18:41.60]  people that is what 100,000 people looks
[18:44.16]  like to to organize a machine that's not
[18:47.32]  Levi Stadium by the way no that is not
[18:50.36]  they don't get many people
[18:54.08]  anymore we have to be hopeful hopeful
[18:57.00]  yeah so to to coordinate that many
[18:59.96]  people and have them execute you know
[19:02.00]  you're really talking about a tremendous
[19:03.72]  amount of discipline and so the things
[19:05.56]  that I really observe there that I think
[19:07.44]  uh are relevant to every stage of
[19:09.52]  company is one document everything they
[19:11.84]  do a really good job of documenting
[19:13.68]  process and and and policy and then they
[19:16.12]  take it a step further and they codify
[19:17.76]  it by turning it into workflow and I
[19:19.68]  think that is something that uh we all
[19:21.80]  have the means with today's technology
[19:23.48]  stocks to be able to do that the the
[19:25.96]  second thing is is that it is an ABS
[19:28.28]  abolute training machine and one of my
[19:30.96]  core values that I lead my teams with is
[19:34.04]  out learning so I don't want to just
[19:36.04]  outwork you I actually want to out learn
[19:37.80]  you I think it's a competitive Advantage
[19:40.36]  I saw that at Oracle I got more training
[19:42.80]  in my six years there than I have in the
[19:45.52]  rest of my career combined so they do a
[19:48.16]  tremendous job of creating a a
[19:50.16]  recruiting engine a hiring engine an
[19:52.56]  onboarding engine and then continuously
[19:54.52]  work on on uh employee development the
[19:57.88]  third thing thing is I I think probably
[20:00.24]  most importantly is the emphasis on the
[20:03.04]  sales culture and the Frontline manager
[20:06.28]  the Frontline manager is the most
[20:08.08]  critical part of the entire organization
[20:11.16]  at Oracle it it is uh there as U acts as
[20:15.48]  somewhat of a a sherpa to to the Reps to
[20:18.32]  carry the torch on all this policy and
[20:20.36]  process and systems they're uh
[20:23.36]  predominantly responsible for coaching
[20:25.16]  and development uh they they over index
[20:28.96]  on Frontline manager uh training and
[20:32.08]  development because they have such a
[20:33.60]  promote from within strategy and those
[20:35.80]  people are going to become the Future
[20:37.12]  Leaders of your
[20:38.28]  organization um and that was all really
[20:40.88]  run by uh at that time when I was at
[20:44.44]  Oracle direct which is the inside sales
[20:47.04]  organization for Oracle it was led by a
[20:49.36]  woman named Hillary cppo McAdams who's
[20:51.08]  now's the president of of New Relic and
[20:54.12]  she did a phenomenal job of installing
[20:56.96]  that mindset of the front line manager
[20:58.60]  and even at
[21:00.88]  2500 uh inside sales where at was 400
[21:03.88]  sales managers when I interviewed to
[21:05.64]  become the a manager in my second year
[21:08.72]  uh She interviewed me personally and She
[21:10.36]  interviewed every regional manager that
[21:12.12]  gives just gives you a sense of how
[21:13.88]  critical of a success factor it is for
[21:16.08]  Oracle
[21:17.00]  direct so that recipe is um you know
[21:21.12]  that that kind of rins repeat that
[21:22.72]  Oracle had over such a long period of
[21:24.88]  time is again very unique it was a
[21:27.28]  immovable piece of the infrastructure it
[21:29.56]  seems most companies mere mortals of
[21:32.44]  companies even at scale need to almost
[21:35.44]  revisit some of the product Market fit
[21:38.04]  the go to market when they start moving
[21:39.80]  either Upstream when they start testing
[21:42.08]  out other markets or other products
[21:44.72]  right how do you
[21:46.72]  reinstitute these practices and lift is
[21:49.80]  a good example it's a direct to Consumer
[21:53.16]  offering that we all love and now you're
[21:55.08]  you know you head you headed up the
[21:56.76]  commercial business how do you
[21:58.16]  reinstitute that even after it took so
[21:59.96]  long to figure out the Playbook over
[22:01.48]  here to relaunch internally yeah so just
[22:05.76]  just a level set so I I lead the teams
[22:08.88]  at Lyft that work with Enterprises and
[22:11.00]  organizations that are are trying to
[22:12.92]  figure out how they can get rides for
[22:14.92]  the people that they care about so this
[22:16.52]  could be corporate clients that are
[22:18.44]  looking for corporate travel commute
[22:20.76]  programs or perks and benefits in
[22:22.96]  healthcare it's uh non-emergency medical
[22:25.56]  transportation in uh Elder Mobility
[22:28.56]  really around age in place initiatives
[22:31.04]  and then um we we are uh doing some
[22:34.68]  emerging work partnering with transit
[22:37.36]  authorities to solve Last Mile and first
[22:39.24]  mile Solutions and and then we have
[22:41.80]  Partnerships which is we all the really
[22:44.00]  fun consumer Partnerships are like
[22:45.68]  T-Mobile and uh JetBlue and Southwest
[22:48.52]  Airlines so we have a a we created
[22:52.28]  created a business unit it has a its own
[22:54.56]  distinct product design engineering
[22:57.36]  marketing full pnls and then sales and
[23:00.28]  and client services to go to market with
[23:02.48]  and I think you have to protect that is
[23:04.72]  particular particularly when you're
[23:06.60]  creating a uh almost like an
[23:08.84]  entrepreneurship model uh you need to
[23:11.76]  make sure that that's Court owned off
[23:13.20]  and has its own lane for resources
[23:15.44]  resource access otherwise you you will
[23:18.04]  never make it above the line for all of
[23:20.24]  the b2c business and I I I ran into this
[23:22.64]  first at Rocket Lawyer uh where I was uh
[23:26.64]  hired by Dan NY to to build their SMB
[23:29.32]  model and then had some hard lessons
[23:32.00]  there that I applied to to do a better
[23:33.96]  job setting expectations coming into
[23:36.56]  LIF one of the um uh not failure modes
[23:40.88]  we've seen but uh I guess some companies
[23:43.72]  are reluctant to admit how uh how a very
[23:47.32]  focused strategy is is a good strategy
[23:49.72]  so when even our uh mature scaling
[23:52.68]  companies are looking at a new product
[23:54.44]  line um you know they're they're almost
[23:57.32]  hesitant to say say you know what this
[23:58.72]  is such a small Niche customer base but
[24:01.12]  at least it's a test bed to see where
[24:02.84]  else we can go um how important is it to
[24:05.84]  have focus in the very early stages for
[24:08.16]  a very young company or even for a
[24:10.28]  scaled company when you're going into a
[24:11.92]  new Direction yeah so I I like to really
[24:17.04]  throw quite a bit against the wall to
[24:19.32]  test those are those hypotheses that I
[24:21.32]  create and then we run experiments
[24:23.00]  against them and once you start to get
[24:25.04]  some early indicators that this is
[24:27.32]  something that that uh uh looks like it
[24:30.04]  it has a strong probability of
[24:31.72]  succeeding then I'm doubling down on it
[24:34.00]  and I'm I'm winding down some of those
[24:35.96]  other experiments to make sure my
[24:37.36]  resources are really directed in the
[24:39.28]  places that I need them to be it it is
[24:42.12]  um it's hard to do uh you know our eyes
[24:44.72]  get get big um but I I really think that
[24:48.96]  you you get maximum value out of your
[24:51.36]  product organization you get maximum
[24:53.20]  value out of the brand you're creating
[24:54.72]  and you get maximum value out of your
[24:57.00]  install base and th those reference
[24:59.40]  customers that you're creating when you
[25:01.28]  are disciplined and really tackle one
[25:03.28]  beach head first I mean it's classic
[25:05.48]  jeffre Moore crossing the chasm kind of
[25:07.92]  stuff um one of the things we've talked
[25:10.64]  about last night and in prep here is
[25:12.68]  when you dial all the metric back all
[25:14.92]  the stages of the company it it really
[25:16.80]  comes down to the people uh within an
[25:19.48]  organization and I think one of the
[25:21.88]  things I really credit lft is you know
[25:24.52]  in the last couple weeks as we all know
[25:26.60]  the company I mean the country has
[25:28.16]  really taken an interesting Direction
[25:30.40]  with something that impacts everyone
[25:32.48]  globally and domestically and that is
[25:34.24]  with the immigration ban um I credit
[25:37.52]  your company for jumping on that in a
[25:40.36]  very quick Manner and in a very unifying
[25:42.60]  manner with with a message and that
[25:44.96]  message wasn't just relevant politically
[25:47.24]  but it really seemed to be a kind of a
[25:49.28]  ring cry for the culture within your
[25:51.44]  company and culture is very important
[25:53.80]  because without it none of this really
[25:55.76]  matters so one I just wanted wanted to
[25:58.36]  acknowledge the issue at hand
[26:00.92]  acknowledge how impactful it is
[26:02.40]  obviously here and everywhere but also
[26:04.40]  to credit you and and maybe give you a
[26:05.96]  chance to talk about how that has kind
[26:08.28]  of unified a bit of the messaging the
[26:10.36]  culture within
[26:12.48]  Lyft yeah so John and Logan uh are the
[26:16.84]  founders of Lyft uh I've known these
[26:18.56]  guys for a uh a few years now actually
[26:22.68]  when I was at Rocket Lawyer uh John and
[26:24.96]  Logan tried to recruit me to come join
[26:27.80]  them at zimride which was their
[26:29.20]  predecessor company these guys have been
[26:31.16]  focused on their mission and their
[26:33.00]  Vision which is really about
[26:34.68]  transforming Transportation uh improving
[26:37.76]  accessibility uh Bringing Down the cost
[26:40.16]  making it reliable making it safe for
[26:42.28]  the communities that we live in and
[26:43.96]  they've been trying to do that for over
[26:45.32]  a decade now they uh I didn't join Zim
[26:49.24]  ride and they were telling me about Lyft
[26:51.96]  actually uh this was August 2012 and uh
[26:55.96]  John was saying saying hey David this is
[27:00.04]  going to change everything it it's going
[27:02.68]  to change the world uh anybody could be
[27:05.00]  a driver and anybody can be a passenger
[27:07.32]  and you're going to be able to request a
[27:08.44]  car the car that's just driving by on
[27:09.84]  the road and you're going to be able to
[27:11.28]  get it uh just through your mobile phone
[27:13.72]  and you're going to sit in the front
[27:14.68]  seat not the back seat because it's a
[27:16.16]  community that we're creating and when
[27:18.00]  you get in you're going to fist bump
[27:19.28]  with this driver because that that's the
[27:21.72]  kind of relationship we want to have
[27:23.56]  I'll do and and so I he's like that's
[27:27.92]  not even the best part and he runs back
[27:31.04]  uh into the back of the the office the
[27:32.96]  office was probably about the size of
[27:34.40]  the stage at the time and he comes up
[27:36.28]  with one of our big famous fluffy pink
[27:38.60]  mustaches and he goes all of the cars
[27:40.92]  are going to have these on the front and
[27:43.72]  what a great idea and I walked out to
[27:45.40]  that meeting going this is never going
[27:47.36]  to work these kids are [ __ ] crazy
[27:49.32]  right so I didn't join them uh and uh
[27:53.32]  and then I watched them uh over time and
[27:55.32]  so when they they got in touch uh
[27:57.76]  towards the end of of um of 14 and said
[28:01.92]  hey we're we're working on this this new
[28:04.96]  um this new strategy to take lift into
[28:07.20]  the Enterprise I knew that these guys
[28:09.44]  had a vision and a mission that was
[28:12.04]  authentic they'd been doing it for 10
[28:14.56]  years through thick and thin even before
[28:16.68]  all the wild success that Lyft had and I
[28:18.92]  think it really comes down to being very
[28:20.80]  clear on their values these values are
[28:24.04]  uh really the the tenor that that Lyft
[28:26.40]  operates with and when you see your
[28:29.52]  leadership across the entire executive
