Title     : Atlassian SaaStrbite:  Be the Change You Seek: The Importance of Values with Atlassian & Trello
Video ID  : 2vautingy5o
[04:41.75]  a company is a legal entity right you
[04:46.16]  know we always say we don't solve
[04:47.42]  technology problems we solve people
[04:48.74]  problems that's what we do as a company
[04:50.00]  that's what we built is what we do
[04:51.05]  internally and when you're solving
[04:52.49]  people problems you have to care about
[04:54.70]  people you have to care about how they
[04:56.84]  feel and think and are impacted by a
[04:58.82]  decision but you still have to make the
[05:00.83]  right decision by the company by the
[05:02.75]  rest of the stuff and that's you know
[05:06.20]  that's what that's trying to be
[05:07.10]  informative on and that's what it's
[05:09.86]  trying to help people at least think
[05:12.53]  about the different aspects when they're
[05:13.91]  making a decision do you have a time
[05:15.20]  like when that was difficult to do or
[05:17.15]  hard to do we have lots of examples
[05:20.48]  we've had to employ that I suppose if
[05:23.45]  you want to think about it you know
[05:25.43]  whenever we're letting people go it's a
[05:27.59]  good time whenever any manager has to
[05:29.36]  say you look this job is not a fit for
[05:31.88]  this person at this particular time you
[05:34.37]  wanted to do that in a constructive and
[05:36.47]  caring way but you also want to do it
[05:38.12]  with the rest of the team in mind and
[05:39.59]  all the different bits and pieces you
[05:42.80]  know we you know we know this we've
[05:45.50]  recently moved a product from one office
[05:47.00]  to another office right a bicycle
[05:48.83]  business problem really hard to do the
[05:51.05]  way I think most businesses approach
[05:52.58]  this problem is to sort of move a little
[05:55.46]  bit of it we're going to start a second
[05:56.99]  team over here we're gonna do this we're
[05:58.67]  gonna do that and then after a while
[05:59.81]  they're like yeah we're going to move
[06:02.24]  the Nexus and then eventually they're
[06:03.80]  shut down and they never really give
[06:05.90]  employees the full story of what's going
[06:07.43]  on when we move that product we told
[06:09.68]  people a year ahead
[06:10.76]  this product is moving from office a to
[06:13.25]  office B here's why and we're very open
[06:17.74]  about why I was moving and explained all
[06:20.39]  the reasons and I think that when you're
[06:21.77]  open as a company that leads to better
[06:23.48]  decision making because you have to be
[06:24.95]  able to explain stuff hard decisions and
[06:27.71]  easy ones and you know but we told
[06:30.92]  people what was happening a year ahead
[06:33.08]  of it happening internally but we tried
[06:35.57]  really hard to think about how that
[06:36.98]  would impact employees we had people be
[06:38.54]  more
[06:38.82]  for ten years on a product and being
[06:41.58]  told that product is moving to another
[06:42.99]  country and that's hard yeah but it
[06:46.17]  didn't mean it wasn't the right decision
[06:47.40]  for us to do and I think we you know we
[06:50.01]  got through it pretty well and the
[06:51.12]  employees at the end of the day I think
[06:53.52]  really valued that we were very open
[06:55.32]  with them and treated him as adults and
[06:56.97]  you know gave them the full story and
[06:58.77]  gave him time and all the thing I think
[07:01.32]  so I think back on that you know and
[07:03.81]  that was one of the big reasons why I
[07:06.33]  thought this was the right move for Ella
[07:08.40]  was because those values were so
[07:10.02]  important to the company when we were
[07:12.90]  going through that acquisition you know
[07:15.57]  I last seen had done
[07:16.95]  I know 18 19 acquisitions before that
[07:20.10]  and one of the things I also noticed was
[07:22.56]  that you know there's this constant
[07:24.60]  sense of learning and perfecting and
[07:27.54]  getting better at doing everything
[07:29.85]  including acquisitions can you talk a
[07:32.67]  little bit about you know maybe for
[07:34.50]  people that are thinking about acquiring
[07:36.18]  companies or like what what things have
[07:38.97]  you learned what's important process
[07:42.26]  yeah I mean I think with acquisitions
[07:44.22]  they're hard they're really hard to do
[07:45.96]  successfully any business literature
[07:48.18]  will tell you that most of them fail etc
[07:49.95]  we've had a pretty good track record I
[07:53.84]  think I think you got a you got to think
[07:57.93]  of this is no pun intended you got to
[07:59.76]  think about both sides of the table and
[08:01.14]  be very open about how it's gonna work
[08:03.03]  right we've always tried to get cultural
[08:06.78]  I'm in number one if the culture is not
[08:08.64]  gonna fit it's it's just not gonna
[08:10.35]  doesn't matter how strategic it is I
[08:11.91]  think it's just gonna it's just gonna
[08:12.96]  end badly the second one is there's
[08:16.47]  really like vision alignment not enough
[08:18.57]  that's the technical business term but
[08:20.52]  like you got to explain why you're doing
[08:22.92]  this and what you want to achieve out of
[08:24.66]  it from both sides and be able to see
[08:27.24]  that it's a good deal for everybody
[08:28.73]  because otherwise you're gonna hit some
[08:31.77]  rocky period down the line you know you
[08:35.40]  know we were very clear we want to
[08:36.75]  invest in Trello we think it's a great
[08:38.13]  business we want to continue its
[08:39.21]  momentum you know we can provide staff
[08:41.31]  and help and all these things and I
[08:43.62]  think largely we've we've done that
[08:45.03]  right and if we had wanted to shut it
[08:48.69]  down and
[08:49.64]  is the talent for something else we
[08:51.05]  should have said this is the reason
[08:52.46]  we're doing the acquisition right and I
[08:54.74]  think a lot of them fail because there's
[08:56.48]  like an internal agenda and then the
[08:58.13]  deal agenda and it kind of is different
[08:59.93]  and when they come together it doesn't
[09:01.88]  really work very well and other than
[09:05.39]  that it's people it's people problems we
[09:07.43]  spend a lot of time talking to the
[09:09.50]  Trillo team we're very honest about how
[09:11.03]  difficult the process it's going to be
[09:13.87]  we tried to get as many people on the
[09:18.50]  Alaskan side of the fence to meet as
[09:20.33]  many people on the Trillo side of the
[09:21.83]  fence it was super helpful well one of
[09:24.68]  the things we've noticed is you get this
[09:27.23]  like us-and-them phenomenon and you have
[09:29.66]  to move everybody to a Wii and it sounds
[09:33.80]  kind of like [ __ ] but it's really
[09:35.84]  important because you start having
[09:37.85]  people saying well I did lassie and they
[09:39.56]  do it that way but a trailer we do it
[09:41.15]  this way and you're like we're all doing
[09:42.92]  it the same way like we're all on the
[09:44.42]  same team now and get people to kind of
[09:47.15]  see that through a series of exercises
[09:49.99]  and meetings and projects and and
[09:53.30]  putting them together and having you
[09:55.31]  know Trello people run pots of Atlassian
[09:58.57]  having the acquirer and not talk down to
[10:01.94]  the aquaria think that's really
[10:03.41]  important at all levels generally a
[10:06.11]  bigger company acquiring a smaller
[10:07.49]  company you have this thing where people
[10:09.32]  go in and be like hey man son let me let
[10:11.99]  me tell you how this is done like we
[10:13.25]  know how to do this and that just pisses
[10:15.05]  people off no one's to be feel like that
[10:17.08]  there are things that we did better the
[10:19.28]  things that you guys did better and we
[10:20.87]  tried to tell our staff we can learn a
[10:23.27]  lot from these you know remote work
[10:25.61]  being won a lot of things on the
[10:27.05]  technology side like we can learn a lot
[10:28.76]  about how freemium businesses work you
[10:32.12]  know and we're spending a lot of money
[10:35.15]  to buy something let's learn a lot and
[10:37.55]  treat the tree people is that outside oh
[10:39.32]  no
