Title     : The State of the Cloud: 2021 with Bessemer Venture Partners  | SaaStr Software Community
Video ID  : XUub-9AGvPA
[08:33.12]  uh and be able to um have efficient
[08:36.32]  you know work product in the field and
[08:38.48]  uh with global supply chains
[08:40.56]  uh in this hybrid and uh heavily
[08:43.76]  online collaborative world and so across
[08:46.48]  all of our portfolio
[08:47.84]  um we're seeing this and we suspect all
[08:49.92]  of you in the audience are seeing
[08:51.68]  and feeling and adapting to this um but
[08:54.32]  for the broader industry perhaps who's
[08:56.00]  not yet convinced
[08:57.36]  um we'll turn to one of the mountains in
[08:59.76]  the cloud
[09:00.48]  uh it's the ceo of microsoft himself
[09:02.64]  satya nadal and i think he framed it
[09:04.72]  really well
[09:05.84]  which is this idea that really the two
[09:09.36]  years of this acceleration and
[09:10.88]  transformation
[09:11.92]  has played out in two months uh that
[09:14.24]  we're living in warp speed right now
[09:16.80]  as businesses are are looking for
[09:19.20]  continuity
[09:20.00]  and for incremental advantage in edge
[09:22.96]  and we absolutely
[09:24.24]  are seeing that across our portfolio and
[09:26.56]  i think it's reflected in what you see
[09:29.36]  in the leadership decisions of many of
[09:31.20]  these businesses as aws
[09:32.96]  and amazon just did the same as jeff
[09:35.92]  bezos announced that he was stepping
[09:37.52]  down a ceo
[09:38.80]  and sure enough it was the head of their
[09:40.24]  cloud business that they turned to for
[09:42.08]  this
[09:42.80]  um and it's telling that two of the
[09:44.80]  world's top three
[09:46.40]  market cap companies on the planet have
[09:48.56]  both decided to place their cloud
[09:50.40]  leaders
[09:50.96]  in charge of their entire business this
[09:54.00]  is in many ways the ultimate declarative
[09:56.08]  statement
[09:56.64]  on the importance of cloud as these
[09:59.04]  businesses are
[09:59.84]  literally betting um their companies on
[10:02.80]  the
[10:03.04]  the cloud vision and cloud leaders and
[10:06.00]  this is from the
[10:06.88]  the technology incumbents who are
[10:08.48]  evolving to cloud
[10:10.00]  but the trends are even more acute when
[10:11.76]  you look at the pure play cloud
[10:13.28]  companies
[10:14.16]  um and you can see the the the major
[10:16.64]  pandemic tailwinds have really permeated
[10:18.88]  first if we look at the top five public
[10:20.88]  cloud companies
[10:22.08]  this is the class from last year and
[10:24.40]  then if you roll that forward
[10:26.16]  what you see is is service now um has
[10:28.80]  been surpassed
[10:30.24]  and certainly um you know shopify
[10:32.88]  through this period
[10:34.08]  has nearly tripled in market cap uh
[10:36.40]  driven by the rise of e-commerce but
[10:38.24]  also the digital payments and the qr
[10:40.16]  code system that they have for
[10:41.36]  contactless payments
[10:42.80]  um paypal has continued to skyrocket and
[10:45.44]  then of course
[10:46.32]  zoom replacing servicenow in the top
[10:48.40]  five
[10:49.52]  as zoom meeting zoom backgrounds and for
[10:52.32]  all of us even a little zoom fatigue
[10:54.64]  is becoming a necessary and important
[10:57.20]  element of of our everyday
[10:59.28]  and zoom's market cap grew over 4x to
[11:01.60]  reflect that
[11:02.88]  and so in aggregate what you see now in
[11:05.76]  total
[11:06.40]  is um one trillion dollars
[11:09.44]  of market cap across these top five
[11:12.00]  companies
[11:13.60]  and they on average saw a 70
[11:16.88]  increase in their market cap over the
[11:20.16]  last
[11:20.64]  year since we came to you in saster of
[11:23.76]  2020.
[11:25.20]  and so if you compare this to last year
[11:27.68]  where there wasn't
[11:28.56]  a single company worth over 200 billion
[11:31.76]  uh in the entire cloud universe you now
[11:34.16]  have the top three
[11:35.36]  all of which who are above that and why
[11:37.84]  they
[11:38.40]  maintain a notable lead relative to the
[11:40.96]  others certainly
[11:42.80]  um the revenue growth and scale of um
[11:45.92]  the the other two and the rest of the
[11:47.68]  industry um
[11:49.20]  are uh are even more impressive in some
[11:52.32]  ways
[11:52.72]  zoom's revenue momentum last year with
[11:54.96]  the coveted tailwinds
[11:56.16]  was 367 percent um
[11:59.28]  which are numbers that our consumer
[12:00.80]  peers typically
[12:02.48]  experience uh and while shopify was
[12:05.52]  uh in the number four slot they grew
[12:08.08]  almost 100
[12:09.20]  at massive scale so these are just
[12:12.24]  some examples of of the pure play
[12:15.44]  application layer and we're going to
[12:16.64]  drill more into that in a minute but i
[12:18.64]  think it's also worth noting the ias
[12:20.56]  side of this
[12:21.36]  and a talk about the legacy software
[12:23.60]  vendors
[12:24.48]  and their businesses and how those have
[12:26.56]  evolved to cloud
[12:27.76]  and so amazon web services continues to
[12:30.96]  dominate the top
[12:32.24]  over 30 percent market share in what is
[12:34.40]  now a 150 billion dollar market
[12:37.52]  and still growing rapidly however most
[12:40.24]  notable on this chart is the rise of
[12:42.00]  azure
[12:42.64]  and the microsoft uh product and
[12:44.72]  continued market share gains
[12:47.12]  at this rate it is quite possible that
[12:49.36]  azure
[12:50.40]  competes for aws for the top slot in the
[12:52.88]  coming years
[12:53.84]  and we're already seeing signs of that
[12:55.60]  on the enterprise side specifically
[12:57.68]  um but let's now return to the pureplay
[13:00.16]  cloud leaders and combine some of these
[13:01.76]  threads
[13:02.40]  so we talked about the top five with
[13:04.16]  their trillion dollar market cap
[13:07.12]  but let's talk a little bit about the
[13:08.80]  evolution of the broader list
[13:11.04]  so when we presented in 2019 we talked
[13:14.48]  about the
[13:15.12]  the possibility of a trillion dollar
[13:16.88]  milestone which we
[13:18.56]  promptly passed a year later now
[13:21.68]  in total with the coveted tailwinds with
[13:24.32]  the ascendancy of the top five that
[13:26.00]  alone are now at a trillion
[13:27.60]  and with the addition of the other 56
[13:30.32]  companies
[13:31.04]  so 61 in total comprising the cloud
[13:33.28]  index today
[13:34.40]  you have a shocking 2.2 trillion dollars
[13:37.28]  in market cap for the pure plays
[13:39.20]  and again this does not include
[13:41.44]  proportional shares from the amazon
[13:43.36]  microsoft and google or
[13:45.20]  or alibaba businesses that are their
[13:47.28]  cloud businesses
[13:48.48]  each of those independently are massive
[13:50.64]  market cap drivers for their businesses
[13:52.40]  as well
[13:53.12]  and in some cases like amazon you can
[13:54.88]  absolutely make the case
[13:56.16]  that the cloud business is driving the
[13:57.52]  majority of their market cap
[14:01.20]  so when we first published the bessemer
[14:03.28]  index in 2011
[14:05.12]  um sorry 2013 looking back to 2011
[14:08.16]  it quickly became this great resource
[14:10.08]  for our founders uh
[14:11.52]  and as you can see objectively it's had
[14:13.44]  a pretty amazing run
[14:15.84]  we formalized that in a partnership with
[14:17.36]  nasdaq in 2018
[14:19.68]  and in total over the last decade the
[14:22.00]  index is up
[14:22.88]  over 12x meaning literally if you
[14:25.36]  invested a thousand dollars in this
[14:26.96]  index put it in a drawer
[14:28.48]  and pop back uh present day you'd you'd
[14:31.04]  have twelve thousand dollars
[14:32.96]  now for the first several years this was
[14:35.44]  pretty informal
[14:36.32]  and we did it uh for just broad
[14:38.32]  education for our portfolio and for the
[14:40.00]  industry
[14:40.80]  and then three years ago we partnered
[14:42.32]  with nasdaq to professionalize things
[14:44.72]  meaningfully and that's what became the
[14:46.40]  bvp nasdaq emerging cloud index
[14:49.12]  which is the ticker m cloud you can
[14:51.20]  literally pull it up on your phone and
[14:52.72]  see it and follow it
[14:54.00]  to see this basket and then uh
[14:57.60]  as things evolved as countless founders
[15:00.00]  and tech enthusiasts
[15:01.36]  um and investors asked us whether or not
[15:03.28]  it was investable
[15:04.64]  we were excited that someone did decide
[15:06.48]  to turn it into an etf
[15:08.32]  and wisdomtree launched it under uh
[15:10.56]  license the data and launched it under
[15:12.08]  the wcld ticker
[15:14.48]  over a year ago and since then it has
[15:17.04]  had similar success
[15:18.64]  billions of dollars have now been
[15:20.08]  invested into this etf worldwide
[15:22.24]  driving tens of millions of dollars of
[15:24.56]  additional demand for each
[15:26.00]  public stock in the index uh and as it
[15:28.48]  priced at 25
[15:29.68]  a share it has traded up over 100 in the
[15:32.08]  last year at over 50
[15:33.44]  a share making this one of the top
[15:36.24]  performing etfs worldwide
[15:38.80]  in fact literally uh this was as the
[15:42.00]  ultimate statement of cloud power this
[15:43.60]  basket
[15:44.48]  propelled wcld to be the top performing
[15:47.28]  etf on nasdaq
[15:49.04]  across all industries in 2020 and the
[15:52.32]  number two tech etf
[15:54.32]  in the entire us within tech and so
[15:58.08]  uh congrats to the industry congrats to
[16:01.04]  all of you that are participants in this
[16:02.64]  wave
[16:03.44]  um and absolutely this is a sign
[16:06.72]  of what we believe to be the biggest
[16:08.40]  single trend within all of tech
[16:10.48]  and in celebration of these milestones
[16:13.20]  we've revised the resources and tools
[16:15.28]  and made a lot more
[16:16.24]  material available to all of you back in
[16:18.08]  the cloud community
[16:19.44]  you can literally just go to our website
[16:20.96]  bvp.com
[16:22.88]  cloud and we'll put the link at the end
[16:24.40]  here but we have the analytics up now so
[16:27.04]  you can slice and dice and download the
[16:28.80]  raw data and look at efficiency metrics
[16:30.88]  and scores
[16:32.32]  and and really dive into what should be
[16:34.56]  your benchmarks and targets
[16:36.40]  for you as a company how to think about
[16:38.16]  valuations and multiples which we'll
[16:39.68]  talk more about here in a minute
[16:41.44]  but the full data sets available for
[16:43.20]  your use and we welcome and encourage
[16:45.52]  people to take advantage of uh
[16:47.12]  of this relaunched and reinvigorated
[16:49.84]  part of
[16:50.88]  the bvp nasdaq emerging cloud index the
[16:53.44]  wcld index
[16:55.20]  and our website more broadly and of
[16:57.92]  course
[16:58.80]  it was a tumultuous start of 2020 and
[17:01.92]  even over the last several days we've
[17:03.44]  seen a roller coaster of
[17:04.96]  of some ups and downs in the industry
[17:07.60]  but what we absolutely have seen in the
[17:09.28]  second half of last year and rolling
[17:11.04]  into this year
[17:12.08]  um is a push for liquidity options and
[17:15.44]  uh more and more ipo activity more and
[17:17.44]  more m a activity
[17:19.20]  and 2020 um and the last year in total
[17:22.24]  has had several milestones if we look at
[17:24.64]  the m a side first
[17:26.40]  uh snowflake sorry the ipo side first um
[17:29.36]  snowflake was certainly the most notable
[17:31.20]  not only for the year but in all of
[17:32.88]  software history
[17:35.12]  snowflake became the single largest ipo
[17:38.32]  um in uh in software history and then
[17:41.52]  uh as we build it out the m a activity
[17:44.40]  side
[17:45.36]  certainly very notable across not only
[17:48.96]  the strategic side but also
[17:51.68]  interestingly the addition
[17:53.20]  of private equity as a buyer in a number
[17:55.36]  of these cases
[17:56.80]  that you see on the bottom right but to
[17:59.04]  quantify snowflakes specifically
[18:01.28]  uh and to show relative to the others
[18:03.52]  how significant this milestone was
[18:05.76]  34 billion at pricing and then they
[18:08.32]  proceeded to over double
[18:09.84]  in the opening and so a monster
[18:13.28]  signal for the cloud industry and a real
[18:15.60]  sign for
[18:16.48]  what is happening across the segment
[18:18.96]  more broadly
[18:20.16]  and then we did see record-breaking m a
[18:22.08]  activity
[18:23.20]  with slack as well 35x
[18:26.32]  revenue multiple paid for what is a
[18:28.72]  fantastic business by one of the leaders
[18:30.64]  of cloud with salesforce
[18:32.24]  um really showing that uh this was
[18:35.60]  the second largest enterprise software
[18:36.96]  acquisition in history after only ibm's
[18:39.28]  purchase of red hat
[18:40.48]  but also the largest multiple ever paid
[18:42.96]  um
[18:43.68]  and so with all of this cloud activity
[18:46.00]  with the ipos the m a
[18:47.68]  um exits and increasingly even
[18:50.72]  some spac activity and direct listing
[18:53.12]  activity
[18:54.08]  uh it's clear that there's a changing of
[18:56.24]  the guard that what used to be the fang
[18:58.72]  stocks and people would talk about the
[19:00.48]  facebook apple
[19:01.44]  amazon netflix google community um as
[19:04.16]  the flag bearers for tech
[19:06.16]  we submit to you that their growth rates
[19:07.92]  are starting to slow and the trends of
[19:09.44]  internet mobile are still significant
[19:11.68]  but not nearly as transformative as they
[19:13.92]  once were
[19:15.04]  and that this transition is happening
[19:17.12]  and the growth drivers are the new cloud
[19:19.12]  leaders within tech
[19:21.04]  and so in late 2020 we coined a new
[19:23.84]  basket of high performing stocks from
[19:25.76]  within this cloud index
[19:27.84]  and the industry more broadly that we've
[19:29.68]  termed mount sas
[19:31.28]  and this is comprised of microsoft
[19:33.36]  twilio salesforce
[19:35.12]  amazon adobe and shopify and as you back
[19:38.72]  test this data and you can see it just
[19:40.80]  from
[19:41.76]  last year but if you go back for four
[19:44.16]  years
[19:44.96]  mount sas had an 800 percent return
[19:48.32]  on investment compared to things 330
[19:50.64]  percent
[19:51.44]  and in just over the the last year you
[19:53.76]  see that it's performed by over 100
[19:55.36]  percent
[19:56.40]  and so simply put we think cloud
[19:58.16]  computing is increasingly consuming
[20:01.04]  software as well as hardware and
[20:03.20]  services
[20:04.40]  and is therefore remains this mega trend
[20:07.84]  within all of tech
[20:09.28]  and we do believe frankly the most
[20:11.04]  compelling macro theme
[20:12.64]  across global gdp more broadly
[20:16.40]  and as you roll this forward
[20:20.00]  um and as you see these transformation
[20:21.92]  rates we do see
[20:23.68]  that uh the covet 19 has more than
[20:26.88]  doubled this transformation um both
[20:29.36]  horizontally and vertically
[20:31.44]  and we do believe that within the next
[20:33.12]  three years cloud will become the
[20:35.28]  dominant delivery model
[20:37.12]  for all of software um in this enabled
[20:40.32]  cloud-first world
[20:42.24]  so for all of the aspiring entrepreneurs
[20:44.32]  out there we believe that every
[20:45.92]  technology company uh created will
[20:48.64]  likely be a cloud company
[20:50.08]  in some form or fashion and they will
[20:52.32]  either be directly in the industry or
[20:54.00]  benefiting from cloud technologies
[20:56.08]  and using the power of cloud
[20:57.44]  technologies so now that we've set the
[21:00.00]  stage for this macro view
[21:01.60]  of the public industry i'm going to pass
[21:03.92]  it over to mary and elliot and let them
[21:05.60]  dive into some of the insights and
[21:07.04]  strategies
[21:08.32]  that we think you as private cloud
[21:09.84]  founders can and should be using
[21:11.52]  and then we're going to come back to
[21:12.56]  predictions in a minute to talk to you
[21:14.64]  about the future
[21:15.76]  so take it away team
[21:22.56]  so um we'd like to dive into the private
[21:25.52]  cloud market now
[21:27.04]  um we have seen the exuberance of the
[21:29.52]  public cloud markets that byron touched
[21:31.52]  on paralleled in the private markets as
[21:33.28]  well
[21:34.16]  as of january 2021 there were over 527
[21:38.32]  private unicorns with a total cumulative
[21:40.96]  value of over 1.9 trillion dollars in
[21:44.08]  drilling down to the cloud companies on
[21:45.92]  that list we find the majority of them
[21:47.68]  on the cloud 100
[21:48.96]  which is the definitive ranking of the
[21:50.80]  top 100 private cloud companies that
[21:52.96]  forbes and bessemer put
[21:54.24]  together every year and these companies
[21:57.52]  are worth an impressive 267 billion
[21:59.92]  dollars and include
[22:00.96]  some companies that bessemer's really
[22:02.88]  proud to work with such as
[22:04.56]  procore toast hashicorp and canva byron
[22:07.28]  touched on some of them earlier in his
[22:08.80]  introduction but they addressed
[22:10.16]  really wide-ranging industries from
[22:12.00]  construction to restaurants to design to
[22:13.84]  infrastructure
[22:15.36]  now i believe it was uh 2013 or so
[22:18.56]  when eileen lee coined the term kind of
[22:21.36]  startup unicorn
[22:22.64]  but what's crazy to us is that the
[22:24.64]  number of private uniforms has actually
[22:26.56]  doubled
[22:27.36]  uh in the past two years so we're seeing
[22:29.60]  more and more companies
[22:30.96]  particularly cloud companies with
[22:32.48]  ability to scale
[22:34.24]  and that has gone even more rapidly in
[22:36.72]  the new normal
[22:38.72]  now mary talked about how many uh cloud
[22:41.04]  unicorns that have
[22:42.32]  taken place we have to give a very
[22:44.32]  special shout out to one of our
[22:45.92]  portfolio companies
[22:47.12]  porter uh mayor and i were lucky enough
[22:49.20]  to invest in michael reedlat
[22:50.88]  and the team uh over there they are the
[22:53.36]  leader
[22:54.00]  in online e-commerce authentication
[22:57.84]  uh and fraud detection so this was not
[23:00.40]  uh
[23:01.04]  certainly not part of our investment
[23:02.80]  thesis or something we thought about
[23:04.56]  is actually the team over at crunchbase
[23:06.40]  that reached out to us
[23:08.08]  and said hey just fun fact order is
[23:10.16]  actually the 500th
[23:11.52]  unicorn and as of january as mary talked
[23:14.64]  about
[23:15.44]  we've well surpassed that and it seems
[23:17.28]  like every month or so
[23:18.88]  we add another a couple of unicorns to
[23:21.04]  the group
[23:23.44]  um you know as we we go forward the real
[23:26.24]  question is
[23:26.96]  what's driving the growth in these
[23:28.64]  unicorns it's great to see the numbers
[23:30.32]  go up
[23:30.96]  but we've spent a lot of time uh
[23:32.64]  trudging through the data we have
[23:34.32]  probably the the largest cloud portfolio
[23:37.04]  in the venture capital industry
[23:38.56]  and mary's going to walk you through uh
[23:40.32]  some of the drivers uh that are leading
[23:42.40]  the increase in the cloud market
[23:45.60]  fantastic so you know as a cloud founder
[23:48.88]  and even as an
[23:49.68]  investor in cloud we're always asking
[23:51.36]  ourselves what's driving cloud
[23:52.56]  valuations
[23:53.52]  and as a firm we narrowed in on three
[23:55.28]  main drivers first
[23:57.04]  the increase in cloud multiples second
[23:59.28]  the increase in cloud company growth
[24:00.80]  rates
[24:01.44]  and third more demand than supply for
[24:03.36]  cloud assets
[24:04.64]  and after we discuss each of those in
[24:06.72]  turn we'd love to introduce the concept
[24:08.56]  of growth endurance which helps to
[24:10.00]  explain
[24:10.88]  this explosion in cloud valuations so
[24:12.72]  we'll go ahead and get started
[24:15.92]  so first up is the incredible growth in
[24:17.60]  cloud multiples
[24:19.12]  as byron highlighted we architect the
[24:21.44]  bvp nasdaq emerging cloud index
[24:24.16]  and it had its average multiple increase
[24:26.40]  by from about five times forward run
[24:28.72]  rate revenue in 2010
[24:30.72]  to over 20 times in 2020 and while we
[24:34.00]  are looking to investigate private cloud
[24:36.00]  in this section
[24:36.96]  we we know that private cloud multiples
[24:39.04]  do trail that a public cloud so it's
[24:40.72]  important to level set in
[24:42.32]  in what those look like historically and
[24:45.12]  interestingly
[24:46.48]  in 2020 we've seen the top quartile of
[24:49.04]  cloud companies break away from the pack
[24:51.04]  to trade for 30x
[24:52.40]  as a step function change in how the
[24:54.16]  public cloud markets are valuing the
[24:56.16]  strongest cloud companies
[24:57.68]  including some that bessemer has been
[24:59.36]  very fortunate to work with historically
[25:01.28]  such as zoom twilio and shopify
[25:05.20]  now let's turn to the private markets um
[25:07.76]  we see
[25:08.40]  the same enthusiasm for cloud companies
[25:10.56]  mirrored directly in the private markets
[25:12.56]  as well
[25:13.28]  with the average cloud 100 multiple
[25:15.52]  increasing by over 150 percent in the
[25:18.24]  last five years
[25:19.52]  from 9xar in 2016 to 23x in 2020
[25:24.32]  and the median multiple it has actually
[25:26.48]  doubled similarly from 7 to 15x
[25:29.76]  and you know byron touched in his
[25:31.52]  introduction um on the cloud ipo and m a
[25:34.16]  success that
[25:34.96]  um cloud companies have had over as of
[25:37.44]  late and that accounts for much of why
[25:39.44]  investors are willing to pay more
[25:41.28]  more than twice what they did five years
[25:42.96]  ago for private cloud companies
