Title     : The CEO's Role in Marketing  How to Hustle, Build Momentum, Sell Your Company   and Yourself
Video ID  : 5ycj_bAace8
[06:03.72]  marketing as as an appendage um you're
[06:07.00]  not thinking about as as really at the
[06:09.00]  center of everything it's it's what it's
[06:10.64]  the intersection between your products
[06:12.28]  and your field organization um and then
[06:15.16]  if you think about the definition of
[06:16.96]  what marketing is it's really many more
[06:18.80]  things than um than just demand gen so
[06:21.92]  if you think about it very broadly uh
[06:24.32]  marketing is your web presence your
[06:27.72]  analyst relations your public Rel ations
[06:30.52]  your your digital demand gen your event
[06:32.88]  space marketing your product marketing I
[06:34.92]  mean it's a very broad job very broad
[06:38.04]  role for uh for any company and really
[06:39.96]  for the leader in that in that
[06:42.32]  organization yeah I just Echo the
[06:44.36]  sentiment that marketing is super
[06:46.40]  important it's not something to leave to
[06:48.92]  later in my mind at all it's a it's a
[06:51.04]  competency you want to develop earlier
[06:53.56]  rather than later and I would say that
[06:56.32]  with most SAS companies I mean the role
[06:58.44]  of marketing has really changed over the
[07:00.04]  last 10 years and we are increasingly
[07:02.60]  Reliant in a kind of velocity sales
[07:04.68]  model for marketing to fill the pipeline
[07:06.76]  so so tactically marketing is very
[07:08.52]  important in that regard and then
[07:09.88]  strategically for the reasons Greg
[07:11.52]  talked about positioning the company
[07:12.96]  thought leadership so yeah it's not
[07:15.08]  something to put in the back
[07:16.68]  burner so having a background as a CMO
[07:20.24]  I've worked for different kinds of CEOs
[07:22.88]  that take a different um role in
[07:25.88]  participating in marketing um I work
[07:28.00]  directly for Lars dard at success
[07:29.88]  factors who was you know a very Dynamic
[07:32.72]  charismatic presence and we leverage
[07:34.60]  that a lot um and I've worked for other
[07:37.24]  CEOs that are a little bit more
[07:39.40]  introverted maybe more product focused
[07:41.84]  and they play a different role and as a
[07:43.60]  marketer you you kind of have to work
[07:45.08]  with that so as a CEO what do you think
[07:48.40]  you know give some advice a as a CEO
[07:51.16]  what role do you think the CEO should
[07:53.52]  play in the marketing strategy and the
[07:55.68]  marketing
[07:56.76]  execution so I'll I'll take that one I I
[07:59.52]  I think it's a unfortunately it's an it
[08:01.60]  depends kind of answer so it really it
[08:04.00]  really depends on what your organization
[08:06.08]  needs and and where if you have somebody
[08:08.28]  who's running marketing so if you have a
[08:09.40]  vpa marketing or CMO it's what their
[08:11.64]  strengths and weaknesses are and and
[08:13.48]  myself and our and our vpa marketing we
[08:15.60]  just have this I fill in gaps that he
[08:18.36]  has and vice versa um but I I think
[08:21.76]  about it as something that the CEO gets
[08:23.32]  involve where they need to the one place
[08:25.24]  I don't think you can abdicate to to
[08:27.20]  anybody in the organization uh is is
[08:30.00]  around the overall positioning of the
[08:32.12]  company and how you want how how you
[08:35.04]  want the company to be perceived the
[08:36.68]  direction it's going and usually a lot a
[08:38.40]  lot of your positioning will actually
[08:39.96]  drive a lot of your product Direction
[08:41.64]  and everything else so there I think you
[08:43.12]  you have to take full ownership of it
[08:44.92]  and then work with the person in
[08:46.52]  marketing to help create the messaging
[08:48.32]  around that yeah I definitely agree I
[08:50.44]  think that you know and this is one of
[08:51.80]  the challenges of being a uh a CEO
[08:54.76]  especially of a startup is that you know
[08:56.92]  you've got a company that demands a lot
[08:58.48]  of different things and has lot of
[08:59.68]  different needs and you have to figure
[09:00.80]  out where are you best equipped to fill
[09:02.68]  that need and where should you find
[09:03.96]  somebody uh to bring in and so I do
[09:06.76]  agree though that that positioning
[09:08.04]  question is really important and for us
[09:09.72]  it's also been interesting um something
[09:11.32]  that I've been more involved in recently
[09:13.32]  um you know for for different segments
[09:16.84]  we've also found that different levels
[09:18.52]  of involvement is important so um as
[09:20.96]  we're selling into you know our B2B side
[09:22.88]  of the business I have to be very
[09:24.68]  involved there uh go to a lot of
[09:26.68]  meetings really think about the
[09:27.68]  positioning whereas when the consumer
[09:29.76]  side of our business got to a certain
[09:31.00]  point it was easier for me to take a
[09:32.68]  step back and say we've got fantastic
[09:34.92]  people who are really owning different
[09:36.32]  channels and I can kind of dip in when
[09:38.36]  I'm needed but not be um quite so much
[09:41.04]  up to the elbows and the details so I
[09:44.12]  come at this from two angles uh one as a
[09:46.60]  marketeer you need to kind of play the
[09:49.00]  hand your delt in terms of your CEO so
[09:51.56]  if you've got a dynamic carismatic CEO
[09:54.28]  get them out there put them on stage if
[09:55.88]  you've got an introvert work with that
[09:57.80]  but but don't try and twist them into
[09:59.40]  something they're not cuz you'll
[10:00.80]  invariably have very awkward moments um
[10:03.96]  the uh the other thing I'd say is um
[10:06.76]  interesting enough I remember back when
[10:08.20]  I uh was a CMO and I interview for CMO
[10:10.72]  jobs one of the patterns I noticed was
[10:13.12]  some big percentage of the time I'd
[10:15.04]  leave the interview going you guys don't
[10:16.96]  need a CMO you need a CEO right you're
[10:19.56]  asking the CMO to position the company
[10:21.32]  determine strategy product Market fit
[10:23.40]  I'm like what does the CEO do here um so
[10:26.88]  I think it's important to as a marketeer
[10:28.84]  if you're looking at companies to think
[10:30.44]  about that because the CEO very much
[10:32.20]  should be doing those things I think
[10:34.28]  that's if I can just I think that's a
[10:36.00]  great point on don't make and i' I've
[10:37.96]  had it happen to me before don't don't
[10:39.64]  try if you're a CEO uh don't have them
[10:42.60]  try and make you do something that
[10:44.32]  that's unnatural and vice versa if
[10:46.32]  you're in marketing don't push the CEO
[10:48.04]  to go somewhere that's not natural for
[10:49.80]  them there's there's some CEOs that are
[10:51.68]  going to be fantastic in the Limelight
[10:53.36]  out in front of everybody and there's
[10:54.96]  others who are just going to be
[10:55.80]  reluctant and they can and if you look
[10:57.32]  across many companies there's those
[10:59.32]  front-facing CEOs the mark Benny Office
[11:01.36]  of the world and then there's a lot of a
[11:03.32]  lot of great companies that are run run
[11:04.88]  by folks that are more back room you
[11:06.60]  just have to understand what you've got
[11:08.80]  instead of trying to force Square pegs
[11:10.36]  into round holes yeah definitely agree
[11:12.96]  so let's stick with positioning for a
[11:14.80]  second since you both talked about the
[11:16.44]  importance of the CEO being involved in
[11:18.84]  positioning um and I feel like when you
[11:21.80]  run a company and especially if you're
[11:23.56]  the founder like you live and breathe
[11:25.96]  what the company is all about but
[11:27.76]  sometimes Translating that
[11:29.76]  into assets or tactics or positioning
[11:33.24]  statements or things that a a marketing
[11:35.36]  team is needs to create the the deck the
[11:38.68]  pitch the pr stories is a little more
[11:42.68]  challenging so how have you guys been
[11:44.76]  effective in taking what you know and
[11:46.72]  believe your company is about and
[11:48.60]  helping the marketing team with what
[11:50.68]  they need to get it in the market create
[11:52.56]  a brand create awareness for your
[11:56.36]  company so I mean I think the the the
[11:59.36]  most important element here in my
[12:00.56]  opinion is to have a what I call a
[12:02.28]  blueprint um where you sit down with
[12:04.44]  marketing and you take three to five
[12:06.16]  basic questions and Define the answer so
[12:08.96]  if somebody says who are we what do we
[12:10.84]  say if somebody says why are we
[12:12.60]  different what do we say if somebody
[12:14.32]  says what are the benefits of using our
[12:15.68]  product what do we say um and if you
[12:18.32]  just take kind of very simple questions
[12:20.36]  because a lot of marketing people try to
[12:22.08]  present that you know positioning is
[12:23.92]  this black black art
[12:25.96]  Wizardry um it's not positioning happens
[12:28.96]  in the mind of the customer it's my my
[12:30.84]  favorite statement I'm positioning where
[12:32.16]  does it happen right here in the mind of
[12:34.08]  the customer a and it's usually about
[12:36.16]  very simple things somebody bumps into
[12:37.80]  you know somebody Greg what's moft do
[12:40.00]  right that answer that question that's
[12:43.92]  positioning yeah I mean I think for me
[12:46.24]  too it's a lot of it about is back to
[12:48.52]  your statement about the customer it's
[12:50.00]  about that empathy to who am I selling
[12:53.20]  to and why is this valuable and
[12:55.24]  important to to them and I think a lot
[12:57.76]  of CEOs get so caught up in but the
[13:00.40]  features are so great and I'm going to
[13:02.20]  build this thing that's going to be so
[13:04.12]  good but they forget that marketing is
[13:06.36]  really about communicating that in a way
[13:08.80]  that the customer says yes I want those
[13:11.68]  features I need them and and so helping
[13:14.56]  yourself answer those questions like
[13:17.28]  Dave brings up I think is a really
[13:18.84]  valuable exercise I think it's also so
[13:20.96]  critical um internally as your team
[13:23.96]  grows and that was a really interesting
[13:26.04]  lesson for me um we're about
[13:28.12]  135 full-time employees and when we were
[13:31.32]  small um you know we were this
[13:32.92]  tight-knit band everyone knew why we
[13:36.12]  were here who was our customer we talked
[13:38.32]  about it you know you could stand up in
[13:39.44]  the middle of the office share a
[13:41.08]  customer note and and suddenly um
[13:43.36]  everybody was on the same page and it
[13:45.20]  was really interesting as we started to
[13:46.68]  get bigger um actually our our sort of
[13:49.52]  director of um marketing and and um
[13:53.20]  basically the first marketing hire that
[13:54.72]  we ever made he came to us um when we
[13:57.08]  were probably about 50 people and said I
[13:58.64]  think we need to really set out a brand
[14:00.52]  book we'll set out our personas and I I
[14:02.80]  remember my first reaction was like
[14:04.28]  we're moving too fast for that right now
[14:06.40]  we don't have time um and I was wrong it
[14:08.36]  was so unbelievably useful both
[14:10.84]  externally but also for every single new
[14:13.40]  person that we brought on to the team um
[14:15.32]  and that we continue to bring on to set
[14:16.84]  everyone around the same core principles
[14:19.24]  and um and really you know it also took
[14:21.44]  some of the burden off me having to
[14:23.28]  constantly and obviously I still do like
[14:25.20]  stand up and talk about it but it's nice
[14:27.60]  to have it in a sort of single format
[14:30.00]  that um that we can share with new hires
[14:32.20]  with partners and and use internally as
[14:34.32]  well I've got an anecdote I'd like to
[14:36.56]  share on this one so um in between Mark
[14:39.16]  logic and host analytics I spent a year
[14:40.76]  at Salesforce where I was U senior vice
[14:43.16]  president general manager of service
[14:44.40]  cloud and if you look at a great
[14:46.12]  marketing company like Salesforce is uh
[14:49.24]  to your point how do you get a company
[14:51.04]  that large consistent and on message
[14:52.96]  what one of the hardest things I did
[14:54.52]  during my year there was study for the
[14:56.64]  media spokesperson certification exam
[14:59.48]  and it was like 30 pages of small print
[15:03.04]  and and the test is given with live TV
[15:05.12]  cameras um and if you want to know how
[15:07.28]  you're on message I mean you write it
[15:08.60]  all down you standardize it and you test
[15:10.56]  on it um and it was uh I was very proud
[15:13.08]  of that achievement I love that yeah I
[15:16.84]  love to do the elevator pitch where you
[15:20.00]  want to you know you want it to be short
[15:21.76]  and sweet but you got to test it and
[15:23.76]  make sure you're not just talking about
[15:25.28]  the features you're talking about the
[15:27.44]  value right and then you have to get
[15:29.32]  everybody to you like do it out in all
[15:31.36]  hands have everybody get certifi
[15:33.56]  certified on the elevator pitch and
[15:35.88]  partly because to me everybody's a brand
[15:38.04]  ambassador and the company and and um
[15:41.08]  and partly because it helps you
[15:43.40]  reinforce who you are as a company with
[15:45.96]  your own people which I think is really
[15:49.00]  powerful um okay so last question about
[15:52.04]  kind of positioning messaging PR to me
[15:55.72]  is another big area where CEOs often
[15:58.52]  have a a lot of angst um I feel like any
[16:01.80]  agency like the the bottom the bottom
[16:04.80]  amount you can pay is 1520 Grand a month
[16:08.32]  which for bigger companies is a drop in
[16:10.20]  the bucket but when you're small and
[16:11.96]  cash is is really king um do you how do
[16:16.08]  you feel about PR when's the right time
[16:18.36]  to do PR how involved are you in what
[16:21.84]  the pr team's pitching and saying
[16:24.08]  General thoughts on PR so U I think PR
[16:28.08]  is can be the least expensive way to
[16:30.64]  Market your company the least expensive
[16:32.60]  advertising you'll ever get um the big
[16:35.40]  question comes in as uh to whether
[16:37.88]  you're going to use do it internally or
[16:39.72]  you're going to use an agency and U my
[16:42.32]  own personal philosophy as I've seen
[16:43.76]  over the years is most companies uh when
[16:46.88]  they bring in a marketer will
[16:48.24]  immediately want to bring an agency in
[16:50.80]  and then what I've seen and maybe it's
[16:52.28]  just been my companies and how we've
[16:53.52]  done it or haven't been able to do it
[16:55.00]  but um you will then proceed to churn PR
[16:57.88]  agencies about every 18 months from then
[17:01.12]  on out and every single new agency will
[17:03.08]  be that uh uh bright shiny object that
[17:06.12]  somehow is going to fix your PR you're
[17:07.72]  going to have the right person there and
[17:09.64]  then you'll turn them out 18 months
[17:10.92]  later because you're tired of them
[17:12.48]  turnning out people on your account and
[17:14.32]  you're paying too much money and they
[17:15.84]  don't get it um so I'd be extremely
[17:18.36]  careful with ramping up spend with PR
[17:20.64]  agencies and I'd think very long and
[17:22.60]  hard about depending on your message and
[17:24.08]  how complicated it is how much you do
[17:26.28]  internally it's it's really important to
[17:27.88]  do it um but it's that that internal
[17:30.68]  versus outsourced is a is a big decision
[17:33.00]  and I'm a I'm a fan for outsourced
[17:34.88]  certainly for the more I mean for
[17:36.32]  insourced uh certainly for the more
[17:38.48]  complex stories as you get to simpler
[17:40.88]  stories then you can hire people that
[17:42.36]  can spin up quickly externally um really
[17:44.64]  hard when it's a complex story yeah I I
[17:47.00]  would agree with that um the one
[17:49.00]  exception and this was really
[17:49.92]  interesting for us was industry specific
[17:52.36]  PR so um initially I did all the pr at
[17:55.48]  the Muse I thought it was really fun and
[17:57.68]  I I also um um you know I found early on
[18:00.48]  that it was really almost interesting
[18:02.96]  for me to um talk to people who were
[18:05.76]  reporters or in the media understand
[18:07.20]  what they were working on see if I could
[18:08.56]  help them and those relationships over
[18:10.52]  time um grew into once we actually had
[18:13.04]  something worth telling stories about
[18:14.96]  people coming and asking me um you know
[18:17.48]  to to give quotes or to be feature
[18:19.48]  different different different things but
[18:20.80]  the area we could not crack without
[18:22.44]  external help was
[18:24.08]  hrp and without getting into too much of
[18:26.08]  the detail I don't know how many people
[18:27.32]  in this room know a lot about the human
[18:29.40]  resources industry PR it's not something
[18:31.92]  that you encounter every day and there
[18:34.08]  are you know there's a full Suite of um
[18:36.52]  media platforms conferences dedicated
[18:39.20]  around this very specific industry and
[18:41.44]  breaking into that was incredibly hard
[18:43.44]  and we tried unsuccessfully for probably
[18:46.08]  18 months before we finally found an
[18:48.32]  agency that specifically knew that world
[18:50.60]  worked with them for a finite period of
[18:52.16]  time and all of a sudden had access to
[18:54.88]  Keynote opportunities in front of 700 of
[18:56.88]  our customers that was really and I
[18:59.32]  think for us that was um one of the
[19:01.32]  biggest areas where we found it it to be
[19:03.52]  really useful um to go
[19:05.76]  external so uh build building on the
[19:08.24]  prior answers um PR is all about the
[19:11.64]  audience first and foremost as you're
[19:13.36]  saying um and your standard PR firm is
[19:16.00]  going to know really well how to talk to
[19:17.60]  what I call the digerati right the the
[19:19.44]  Silicon Valley Community broadly so if
[19:21.16]  you're selling to Tech uh they're very
[19:23.00]  useful but the more you're picking off
[19:24.80]  like I ran a company where be sold to
[19:26.28]  media and federal government at Host ICS
[19:28.96]  we sell to the VP of uh Financial
[19:30.76]  Planning and Analysis like super
[19:32.48]  targeted you know titles um the less a
[19:35.68]  general purpose PR firm will actually
[19:37.12]  help you in terms of generating leads it
[19:38.80]  might help you raise money by generating
[19:40.56]  awareness in this community but uh
[19:43.16]  overall I think of PR like a gym
[19:44.68]  membership right whether or not you use
[19:46.32]  it they're going to charge you that
[19:47.60]  retainer every month um so it can be the
[19:50.28]  cheapest way to Market your company or
[19:51.56]  it can be the most expensive uh if you
[19:53.44]  don't drive them so um and like Greg I'm
[19:56.40]  actually a Believer especially if you're
[19:58.08]  relatively small scale to try and avoid
[20:00.56]  that 15K a month retainer and instead
[20:03.28]  use contractors specialize in certain
[20:05.32]  things case study writers PR writers
[20:07.48]  analyst relation contractors you can
[20:09.44]  find these people and for maybe less
[20:11.88]  than 10 uh you can kind of Cobble
[20:14.32]  together some Specialists who will do a
[20:15.68]  better job for you and work on exactly
[20:17.52]  what you want to work on yeah it's a
[20:19.76]  great point I think uh
[20:22.64]  PR to start PR you need to have
[20:25.80]  customers that are willing to talk to
[20:27.92]  reporters and unless if you're too small
[20:31.12]  and you don't have that yet you're going
[20:32.76]  to have a really hard time getting
[20:34.16]  reporters to take interest reporters get
[20:36.40]  really tired of talking to CEOs that are
[20:39.16]  talking about the features of their
[20:40.64]  product they want to talk to cocacola or
[20:43.92]  it doesn't even have to be a name brand
[20:45.92]  but I feel like you're you're you're not
[20:48.12]  going to get your money's worth unless
[20:49.76]  you can put customers forward um the the
[20:52.76]  second thing for me with PR is that if
[20:55.12]  you don't have somebody in your company
[20:56.92]  that really understands how to manage
[20:59.60]  and work with the agency you're not
[21:01.56]  going to get your money's worth unless
[21:02.96]  you're willing to do it yourself right
[21:04.96]  because um the pr agency they only know
[21:07.84]  so much about your company I mean back
[21:10.00]  to Greg's point about having it in-
[21:11.56]  house when they're inh house they're
[21:13.32]  part of like they were in that elevator
[21:15.20]  pitch exercise they know the messaging
[21:17.52]  they know what's coming in the product
[21:19.60]  and it's really hard to translate that
[21:21.36]  to a PR agency without at least somebody
[21:24.96]  um who who really understands that
[21:27.16]  process it's my feelings on PR uh so
[21:30.56]  let's move to content um we'll start
[21:33.36]  with you Dave because you're a pretty
[21:34.88]  active blogger and you're pretty vocal
[21:37.28]  out there um and and I do think
[21:39.76]  especially we have when you have a PR
[21:41.28]  agency a lot of times people will want
[21:43.44]  to ghost write articles for you what's
[21:46.40]  your approach to that does everything
[21:48.04]  come from you how do you decide what
[21:50.12]  you're going to write um you know what
[21:53.08]  what's the Cadence how do you prioritize
[21:55.44]  that over all the other things you have
[21:56.80]  to do as a CEO sure
[21:59.04]  um so so I write a blog called Kell blog
[22:02.24]  uh k l l blog um and uh it's pretty well
[22:06.96]  read in Silicon Valley and I started it
[22:09.20]  just as a passion really there were just
[22:10.84]  a bunch of topics I wanted to share and
[22:12.76]  I do write it myself um uh I think some
[22:15.56]  CEOs try to do ghostwritten blogs and I
[22:17.52]  wouldn't recommend that I mean if you
[22:18.72]  want to have a corporate blog have a
[22:20.04]  corporate blog and have PR people write
[22:22.20]  it and product managers write it but if
[22:24.40]  you want to have your own blog have your
[22:25.92]  own blog um and that means in my opinion
[22:29.12]  you should write it yourself and and
[22:30.60]  most of the times I personally I just
[22:33.40]  write about stuff I'm really interested
[22:34.64]  in like I've done a lot of posts on like
[22:36.08]  sash churn rates because it turns out
[22:38.52]  when you're raising money people care a
[22:39.92]  lot about churn as they should but man
[22:42.72]  when you dig in the details no two
[22:44.36]  people count it the same way and there's
[22:46.00]  a lot of different ways to count it um
[22:48.80]  and and that just inherently interested
[22:50.24]  me so I did a deep dive on it and
[22:51.68]  started writing about it partially so I
[22:53.48]  could answer VCS when they asked me how
[22:55.00]  do we calculate CH I'm like go read my
[22:56.52]  post um so so I think you know for me I
[23:00.92]  don't write that much for the finance
[23:02.32]  audience and my audience is actually
[23:03.60]  much more digerati than Finance one of
[23:05.64]  the things I've been trying to figure
[23:06.44]  out is how to actually use it to
[23:07.56]  generate leads um as opposed to just
[23:10.04]  kind of awareness for the company so um
[23:12.92]  other thoughts yeah I was going to say I
[23:14.92]  think exactly what you ended with there
[23:16.32]  which is what's the purpose of the
[23:17.80]  content um because content can be
[23:19.92]  incredibly valuable it can be a total
[23:21.76]  flop and um I think making sure that the
[23:25.08]  the outcomes that you're looking for are
[23:26.64]  clearly stated in advance so for us um I
[23:29.44]  do a little bit of of writing on behalf
[23:31.12]  of the Muse but early on we realized
[23:33.88]  that um one of the biggest challenges in
[23:35.52]  building a Marketplace is getting those
[23:37.16]  early adopters on both sides and so
[23:39.80]  since we want to tackle career which is
[23:41.60]  a space in which people are looking for
[23:42.88]  a lot of advice we said well let's start
[23:44.84]  out by creating a lot of really high
[23:46.16]  quality career content and build up one
[23:48.16]  side of the marketplace before we
[23:49.84]  introduce jobs and companies on the
[23:51.56]  other side and so we actually started by
[23:53.76]  tapping um people that were interested
[23:56.12]  in writing we we would um it's actually
[23:58.04]  funny we had had a little button on the
[23:59.20]  site very early on that said get
[24:00.48]  involved and when you clicked it it said
[24:02.60]  uh we're seeking contributors do you
[24:04.32]  have career expertise fill a little bit
[24:06.84]  about yourself what you'd write about
[24:08.32]  and we um we got to a point where we had
[24:09.92]  200 people a week reaching out and
[24:11.76]  saying I want to write for the Muse I
[24:13.60]  want to contribute content and so we
[24:15.48]  were able to pick the the the absolute
[24:17.48]  kind of top two to 5% and create a very
[24:20.36]  steady flow of content that brought in
[24:22.60]  individual users uh we started
[24:24.72]  experimenting to do the same thing with
[24:26.32]  the B2B side the HR user and that's been
[24:28.88]  pretty interesting as well but I think
[24:30.64]  for us it was um it was not ghost
[24:33.04]  writing but it was Finding different
[24:34.20]  people with points of view and then
[24:35.80]  giving them a platform worth having um
[24:38.04]  one of the things that I I that I saw to
[24:40.36]  know that it was working is people would
[24:41.72]  start putting on their LinkedIn I'm a
[24:43.64]  contributor to the Muse uh right under
[24:45.88]  their full-time job title and and that
[24:47.68]  was uh that was a sign for me that we
[24:49.04]  were giving just as much value as we
[24:51.24]  were receiving from people who are
[24:52.84]  contributing content to the platform
[24:55.16]  great yeah for us um we started we have
[24:57.60]  open source rout so we we had developers
[25:00.32]  writing for developers and that was
[25:01.76]  really the beginning of all of our
[25:02.88]  content creation and now we're at a
[25:05.32]  scale where we have a a large content
[25:07.56]  marketing team inside of inside of
[25:10.00]  marketing that does all of our a lot of
[25:11.60]  our demand gen work and creates a lot of
[25:13.28]  the content um for myself I I I I've
[25:17.68]  learned the past few months that
[25:18.76]  tweeting actually does something um so
[25:20.96]  I'm up to 14 I think I've got 14
[25:23.00]  followers now and 12 of them are family
[25:25.40]  members I tweeted you today what's that
[25:28.36]  tweeted you today there you go I Haven
[25:31.20]  15 you have to retweet it woohoo so uh
[25:35.24]  it it hasn't been something I mean I've
[25:36.68]  done some contributed articles uh a
[25:39.28]  little bit of blogging here and there
