Title     : Learn how to win on the internet in 28 min  [tiktok shop, trends, building cult brands]
Video ID  : Ua32iGPwisU
[02:57.88]  where I where I I I work is uh we we do
[03:00.00]  websites and that includes the road the
[03:01.44]  road website who did that the viral um
[03:03.68]  the case that has lipstick holder so
[03:04.92]  look I would immediately take that and
[03:06.24]  be looking at all right you have the IP
[03:08.52]  angle is a great angle but I think the
[03:10.32]  utility angle is still the best angle to
[03:12.36]  take for uh for anything that's going on
[03:15.56]  the internet right because people are
[03:16.84]  more likely to save and share something
[03:18.64]  with utility than they think is cool
[03:20.08]  because we are so inundated with cool
[03:21.40]  stuff and that is just my my general um
[03:23.84]  take of like where we are right now on
[03:25.04]  the psychist and so I'd be looking at
[03:26.88]  okay what can we take within the
[03:28.60]  Charizard world that like makes this
[03:30.60]  useful right can we slap is it can we
[03:32.64]  make like the back case big enough to
[03:34.44]  put a uh a full pack of cards in or
[03:37.36]  whatever that is you can like you can
[03:38.52]  hold your deck or whatever that would be
[03:40.32]  that would tie into what that experience
[03:41.64]  looks like or what else are like the
[03:43.88]  youth really really into that could make
[03:45.80]  for like a funny potentially viral viral
[03:47.84]  case to tell the Brand Story one um just
[03:50.52]  because I'm I have a bunch of uh
[03:52.60]  cologne's really popular right now and
[03:54.04]  so I've been sent to all this influencer
[03:55.24]  cologne that I'm never going to wear and
[03:56.16]  I have like 20 of them in front of me
[03:57.20]  but that's a thing right kids right now
[03:59.28]  young men
[04:00.48]  especially are building like their
[04:02.56]  perfume bar it's like a thing that's
[04:04.24]  happening online so i' be like all right
[04:05.48]  cool how can I like if they want to
[04:07.04]  carry that with them throughout the day
[04:08.16]  like what's the iPhone case allows me to
[04:09.48]  hold four of those that has the royalty
[04:11.96]  with you know whatever uh you know colog
[04:13.92]  somaler they're following on the
[04:15.12]  internet so yeah I would basically be
[04:16.36]  attaching utility to that that has
[04:18.40]  virality and storytelling I think any of
[04:20.56]  those could then have you have a hundred
[04:22.04]  videos that Spawn from that you can
[04:23.44]  repeat those videos whenever like some
[04:24.72]  new exclusivity drops and then you're on
[04:27.52]  your way to uh to establishing your cult
[04:30.36]  so my initial reaction to that is well
[04:32.64]  if you're building a luxury product
[04:34.44]  which this is do you need to have
[04:36.68]  utility that was my initial reaction and
[04:38.48]  then you started talking about the
[04:40.48]  cologn which by the way I had no idea
[04:42.16]  that cologne is like a you know popular
[04:44.40]  right now the The Ether are in a
[04:46.04]  shocking place right now but we'll get
[04:47.40]  there exactly we can unpack that later
[04:49.76]  in the video so uh what you're kind of
[04:53.40]  saying is you know utility doesn't need
[04:57.08]  to be like your standard utility around
[04:59.96]  uh just covering covering the phone but
[05:01.92]  it could mean like how do you how do you
[05:03.68]  put utility and marry that to what's
[05:05.64]  happening in the cultural Z guys is that
[05:07.68]  what you're saying exactly that's
[05:08.60]  exactly what I'm saying because I think
[05:09.68]  your luxury point is actually an
[05:10.68]  interesting one and I spend a lot of my
[05:12.44]  background is in like conversations
[05:13.88]  around luxury and higher end and items
[05:15.28]  that sell for a premium price point and
[05:17.16]  so like the concept of luxury I think is
[05:18.52]  really important for people with ideas
[05:19.56]  to to understand is there's basically
[05:20.84]  like luxury is inherently rooted in
[05:22.20]  craft right people buy their Hermes
[05:24.04]  saddle or whatever it is because of the
[05:25.36]  quality level with which has been
[05:26.44]  sustained over a period of time and then
[05:28.52]  the the desire that comes from people
[05:30.88]  you know wanting to attain the ability
[05:32.20]  to acquire that quality level so luxury
[05:34.24]  is inherently rooted than craft and
[05:35.88]  since in iPhone case I don't know how
[05:37.12]  much craft you can apply to that we've
[05:38.32]  already seen the carbon fiber cases and
[05:39.96]  rare python leather or whatever doesn't
[05:41.36]  really change my experience but then one
[05:43.16]  level down from that we have what I call
[05:44.40]  designer products right where the design
[05:46.36]  differentiates it you can charge a
[05:47.44]  premium because the design is so cool or
[05:49.04]  so interesting and a good example of
[05:50.64]  that is I don't if you've seen those
[05:51.52]  metal cases that are like two pieces but
[05:53.04]  it's like a little metal like almost
[05:54.92]  like liquid metal looking thing that
[05:56.08]  goes on top and the bottom they
[05:57.32]  advertise on on Instagram a lot that's a
[05:58.92]  designer case right right you're
[05:59.84]  charging a premium for someone's really
[06:01.00]  unique design you could say the same
[06:02.96]  thing about like say this more hype
[06:04.40]  beasty concept where it's like oh you
[06:05.60]  get your Charizard or it's a you know
[06:07.08]  it's a Travis Scott case or whatever it
[06:08.72]  is could fall in that category but
[06:10.56]  really where luxury is at its Pinnacle
[06:12.36]  is that combination of of utility and
[06:15.24]  craft right where you're able to say
[06:17.36]  like a a perfume experience depending on
[06:19.52]  what o you have Etc can can be a a
[06:21.68]  luxury experience and if you marry that
[06:23.96]  with you know uh all the utility that
[06:26.00]  comes from it like the craft and the
[06:27.52]  story of it you're kind of reaching
[06:29.00]  reaching that P so I think that's what
[06:30.32]  we be we' be trying to do here and now
[06:31.68]  I'm leaning into the idea of the colog
[06:33.40]  case right like let's get it so it could
[06:35.12]  have four or six of those testers let's
[06:37.20]  launch it with like an exclusive with
[06:39.40]  you know uh with with YSL or whoever is
[06:41.88]  going to give us the four tester set
[06:43.28]  that fits right within it we're going to
[06:44.88]  go we're going to go uh Mr because
[06:47.20]  you're going to get four to six sent to
[06:48.52]  you on on a quarterly basis and you can
[06:50.04]  sign up based on your scent profile and
[06:52.40]  then you can share the scent profiles
[06:54.08]  with with your friends via the via the
[06:55.92]  app obviously uh which has its other
[06:57.76]  like inherently so you know social value
[06:59.60]  and then you can get your your pheromone
[07:01.04]  ratio you know through the wearable all
[07:02.84]  right we're going too far shh don't tell
[07:05.36]  anyone but I've got 30 plus startup
[07:07.96]  ideas that could make you millions and
[07:11.16]  I'm giving them away for free these
[07:14.48]  aren't just random guesses they're
[07:17.52]  validated Concepts from entrepreneurs
[07:20.32]  who built hundred million plus
[07:23.36]  businesses I've compiled them into one
[07:26.52]  simple
[07:27.64]  database compiled from hundreds of
[07:30.64]  conversations I've had on my podcast but
[07:34.20]  the main thing is most of these ideas
[07:36.96]  don't need a single investor some cost
[07:40.56]  nothing to start I'm pretty much handing
[07:43.20]  you a cheat sheet the idea bank is your
[07:46.08]  startup
[07:47.08]  shortcut just click below to get
[07:50.32]  access your next cash flowing business
[07:53.20]  is waiting for you well you know what's
[07:56.08]  cool about this idea is when you think
[07:59.28]  of of okay what's that brand it's a
[08:02.28]  men's clone I almost bought it and then
[08:04.44]  I looked at the price and it was like
[08:05.92]  $250 for a clone there's one I think it
[08:08.56]  starts with a C do you know what I'm
[08:10.12]  talking about I'm not sure what's the
[08:12.76]  cre
[08:14.04]  or you know I have only gotten back into
[08:16.44]  cologne because I have uh it was it came
[08:18.56]  up so often in this I did this uh like I
[08:21.40]  do these like reports for like larger
[08:23.12]  like retail groups and stuff like that
[08:24.28]  where it's like oh like what's trending
[08:25.64]  and so I end up doing like these focus
[08:27.00]  groups with Gen Z all the time and and
[08:28.76]  the perfume thing came up and then I
[08:30.04]  started to say I always used to say no
[08:31.48]  to the influencer seating on perfume and
[08:32.92]  now I take them all because yeah it's a
[08:35.08]  it's a whole thing so I but I'm not like
[08:36.68]  super Savvy as to what brands are
[08:37.92]  popping right now I I got it I got it I
[08:40.40]  was close I I called it cre but it was
[08:43.00]  really
[08:43.92]  Creed um and I just like the first link
[08:46.56]  that came up is it it's a 12 Creed
[08:49.72]  $1,260 for I don't know like it's like
[08:54.24]  the the laam mer of uh of cologne let's
[08:56.76]  go yeah exactly so listen if you're
[08:59.96]  going to I don't care how wealthy you
[09:02.24]  are if you're taking one Spritz of that
[09:04.24]  Creed you're hoping that someone's like
[09:08.00]  wait is that a is that a
[09:11.28]  ODU you know aventus you know that's
[09:16.64]  you're but that's the problem with
[09:18.24]  cologne
[09:19.88]  is there's no easy way to share the
[09:23.72]  status of your cologne yeah well the uh
[09:27.72]  and it's interesting because you do want
[09:28.72]  to let's go back to marketing from
[09:30.00]  utility so A A friend of mine has a Tik
[09:32.88]  Tok shop that smashing it where he sells
[09:34.76]  cologne and he sells a cologne called
[09:36.32]  her loss named after the Drake uh and it
[09:39.08]  is a pheromone cologne because he's
[09:40.72]  playing on it's 130 bucks or or 95 bucks
[09:43.76]  or whatever that is uh I guess we're
[09:45.48]  down to 80 on Amazon and he they're
[09:48.04]  playing into that idea that you know
[09:49.72]  there is a chemical attraction element
[09:51.36]  to what cologne can do for you and that
[09:53.52]  is a a perfect scenario for the Tik Tok
[09:55.56]  shop but I think it's you because people
[09:57.64]  aren't going to notice what that wi is
[09:58.88]  and no one's recognize the Creed scent
[10:01.56]  uh I think you know if you really want
[10:02.84]  to make something in that Niche and you
[10:04.72]  don't have the infinite marketing budget
[10:05.92]  apparently Creed has then uh you have to
[10:07.96]  go back to good old fashioned chemical
[10:09.56]  utility whether it works or not how how
[10:13.16]  do you look at a Tik Tok shop and see
[10:15.88]  how much revenue they are doing uh yeah
[10:18.68]  so basically you can click into this
[10:20.24]  this core store so basically you'll see
[10:22.04]  the hard part about this is that all
[10:23.16]  these people have like 50 accounts now
[10:24.80]  but if you go to the core one that has
[10:26.00]  the store on it and click over into shop
[10:27.60]  the individual items will have at how
[10:28.72]  many units sold on there behind them and
[10:31.40]  so your buddy you know I don't know if
[10:34.76]  you can say but like what ballpark is he
[10:36.56]  doing in Revenue he he's pretty uh uh
[10:38.80]  his his handle he's pretty open about it
[10:40.16]  like but they're doing a couple 100K a
[10:41.52]  month just in the cologne like he's he's
[10:43.08]  on Instagram talking all about that you
[10:44.84]  know full full full Guru life so yeah so
[10:46.88]  I think they're they're doing really
[10:47.60]  well on that well but I think look the
[10:49.44]  the alpha there for the ideas podcast is
[10:51.16]  that like there's a young demographic
[10:53.20]  online that are discovering these
[10:54.44]  experiences for the first time cologne
[10:55.84]  right and there's a ton of influencer
[10:56.92]  videos on Colones if you see these these
[10:58.32]  guys have these like cologne collections
[10:59.80]  so there's all these influencers have
[11:00.92]  like 50 and then they'll pull the bottle
[11:02.40]  out like really close in front of the
[11:03.68]  camera like a macro shop some ornate
[11:05.96]  like a good example John vvad bottles
[11:07.64]  are great examples I'm like or Nate
[11:08.84]  crazy bottle and they'll take the whiff
[11:10.52]  and they'll be like talking about it or
[11:11.48]  whatever and there's all these you know
[11:13.16]  when we were exposed to Cologne whenever
[11:14.44]  we were growing up like I don't know
[11:15.44]  it's like whatever my dad had or like
[11:16.76]  some stuff I saw on a magazine ad right
[11:18.96]  and this is they're getting exposed to
[11:20.40]  it through these insane people on it on
[11:21.84]  on Tik Tok and then they're going hey I
[11:23.44]  want to start my own Journey what does
[11:24.84]  that look like but guess what if you
[11:26.40]  watch a video on cologne on Instagram
[11:27.88]  you're going to get shown more videos
[11:29.32]  about cologne on Instagram so if you and
[11:30.84]  then if it's a Tik Tok Shop video where
[11:32.56]  someone's actually purchasing product
[11:33.72]  recurring from it Instagram is waiting
[11:35.32]  that super heavily in the cologne
[11:36.44]  algorithm so basically as soon as you
[11:37.96]  start down that rabbit hole you're
[11:39.32]  getting hit with her loss right or with
[11:41.04]  with my boy's product and and who's
[11:42.92]  hijacking that consumer Journey who's
[11:44.80]  saying yeah instead of finding out the
[11:46.04]  other way a native Tik Tok shop brand is
[11:48.60]  taking advantage of that opportunity
[11:49.96]  inside culture and that is a really
[11:51.76]  interesting concept to me and who else
[11:54.68]  is is because I'm fascinated and I think
[11:56.64]  a lot of people are fascinated with Tik
[11:58.24]  Tok shop so like how do you build a
[11:59.88]  business on Tik Tok shop and who's doing
[12:02.28]  it well like what what
[12:05.00]  uh goalie at all or no tell tell tell me
[12:08.92]  about it all right so so Tik Tok shop is
[12:10.88]  a scale game this is the thing that
[12:12.04]  breaks most cmo's brains right now is
[12:13.60]  everyone back to our com about one Tik
[12:15.32]  Tok account whatever they started off
[12:16.40]  the account with is that is Tik Tok is a
[12:18.52]  game of Affiliates right uh so basically
[12:20.36]  other people that create content for for
[12:22.32]  your brand to then and they link your
[12:24.36]  product and they get a percentage of
[12:25.52]  that sale most of them are also on
[12:27.20]  retainer so for instance I ran Tik Tok
[12:29.48]  shop at at this brand I I was at um I
[12:31.56]  was a CMO previously we had a toy brand
[12:33.56]  we had five or six creators that were on
[12:34.92]  monthly retainer 1,500 to 2500 bucks
[12:37.20]  this is very typical bigger Brands will
[12:39.04]  build this up to 50 creators 100
[12:40.56]  creators they are thirsting for creators
[12:42.72]  to be able to do this because it's it's
[12:44.00]  a lucrative system for that, 1500 2500
[12:46.56]  bucks a month they make let's say 15 to
[12:48.60]  20 videos you know sometimes more that
[12:50.68]  are about that and there's software
[12:51.76]  doing it too not related to shop
[12:52.92]  separate combo and if those videos go
[12:56.12]  well people buy a product from them on
[12:58.12]  Tik Tok shop that Creator gets a
[12:59.28]  percentage that goes in their bank
[13:00.20]  account that's why you see all these
[13:01.20]  kids now there's a lot of kids aged 20
[13:02.96]  to 25 who are in these discords like the
[13:04.68]  collective and stuff like that or I
[13:05.76]  think they just changed their name it's
[13:06.68]  called your first dollar where they are
[13:09.04]  making 10 15 grand a month 25 Grand a
[13:10.96]  month off these commissions flaunting
[13:12.52]  that on the internet because of course
[13:13.60]  that's what we do now but like actually
[13:15.24]  making good money uh and like that is a
[13:17.48]  really interesting opportunity because
[13:18.88]  they're doing it off of like affiliate
[13:20.08]  sales but the thing is there's no limit
[13:22.00]  to the scale of that currently because
[13:23.52]  Tik Tok is so wide and we all look at
[13:25.64]  creators differently right um I I when I
[13:28.52]  was first making content I was at like
[13:29.76]  100k I noticed someone was jacking my
[13:31.88]  content someone was copying my videos
[13:33.60]  word for word and they had like 40,000
[13:35.24]  followers I was like oh man but they I
[13:37.40]  went looked at the account they look
[13:38.84]  different to me different race General
[13:40.64]  different overall Vibe completely
[13:42.56]  different follower base almost no
[13:43.72]  overlap to my follower base and that's
[13:45.20]  like the important concept to understand
[13:46.60]  is that everyone's Tik Tok algorithm is
[13:48.12]  different they want to see different
[13:49.12]  people they have different interests
[13:50.16]  they have different niece and then the
[13:51.72]  Tam of that is like ludicrously wide so
[13:54.32]  if you look at a Tik Tok shop brand you
[13:55.84]  go if I'm goalie like a gummy brand okay
[13:59.28]  every single person in the on the earth
[14:01.00]  is my Tam for this right and I also sell
[14:02.68]  this on Amazon so I'm gonna have young
[14:04.88]  creators of every uh gender race overall
[14:08.80]  Vibe content type I'm gonna have
[14:10.24]  middle-aged creators older creators I
[14:11.96]  want to cover as many as I can as long
[14:13.80]  as I can make the math work from an
[14:15.20]  affiliate perspective that they get 20%
[14:16.76]  of the sale I get the other money off
[14:18.40]  Tik Tok shop I have a certain Splash
[14:20.08]  over into Amazon and now Tik Tok and
[14:21.60]  Amazon are becoming one for that
[14:23.28]  fulfillment like that is the size of the
[14:25.12]  opportunity and you'll see why why I
[14:26.52]  bring up goalie from the start is their
[14:28.20]  incentive package for Affiliates going
[14:30.12]  into Q4 is insane what I mean by
[14:32.00]  incentive package it's basically if you
[14:33.12]  generate enough gmv like the market
[14:34.68]  value of sales there it's like Rolex
[14:37.52]  Lamborghini a condo in Miami night at
[14:40.40]  Amiri like that's the level which we're
[14:42.00]  talking about like for these kids and
[14:43.64]  that's the promoted program they have
[14:44.92]  and that's how far these big Tik Tok
[14:46.32]  shop brands are from where these like
[14:48.20]  Legacy Brands who can't move on there
[14:49.72]  are as like and the Arbitrage is crazy
[14:52.52]  dude I actually I actually love you I I
[14:56.04]  I
[14:57.12]  I we have to unpack all of that because
[15:00.00]  I feel like there's to you that's
[15:02.72]  completely uh of course this is
[15:05.84]  happening you know in my world though
[15:07.32]  I'm like in the software world so I
[15:08.76]  don't like think about these things you
[15:10.24]  mentioned something at Discord I think
[15:12.08]  you called it uh yeah it's called your
[15:13.80]  first dollar used to be called the
[15:14.76]  collective but that's like where all the
[15:16.04]  kids go and get trained and then Brands
[15:18.28]  go and like recruit in there explain
[15:19.88]  explain exactly what it is yeah so if
[15:21.72]  I'm so like if I was if I was 19 right
[15:23.84]  now I worked at Chick-fil-A when I was
[15:25.52]  19 and I worked at abomi I got fir from
[15:27.68]  Abie I worked at chickfila long story
[15:29.68]  that sucked right so if but say say I'm
[15:31.64]  online I'm like these kids are making
[15:32.60]  money on Tik Tok shop how do I do it so
[15:33.92]  there's a Discord Channel where they
[15:34.96]  teach kids how to make videos basically
[15:36.72]  like how to use capcut Tik Tok editor
[15:38.72]  what's a good hook what's a good
[15:39.84]  whatever and so kids will go on they'll
[15:41.72]  pay I think it's like 15 bucks a week or
[15:43.08]  something like light to go say all right
[15:44.64]  cool do I want to do this but I want to
[15:45.68]  learn how to make videos and then Brands
[15:47.16]  will post opportunities like hey this
[15:49.04]  Brands want 20 videos for Tik Tok shop
[15:50.60]  so I recruited off of that when I worked
[15:51.92]  at this toy company I was like cool I
[15:53.12]  need a Creator in the UK because
[15:54.80]  Regional is big in Tik Tok too I need a
[15:56.56]  Creator in Germany I need a Creator who
[15:57.88]  does Spanish we recruited off there pay
[16:00.04]  these kids x amount for the videos they
[16:01.24]  get x amount of the Tik Tok shop Revenue
[16:02.72]  they've already been trained you can see
[16:03.92]  some of the content they're doing or
[16:04.96]  they're brand new and you're giving them
[16:06.00]  a shot for a lesser rate and then Brands
[16:07.96]  will come in there kind of with deals
[16:09.00]  and recruiting at the same size so they
[16:10.44]  kind of have a two-tiered system but
[16:12.44]  like that's what kids want to do that
[16:13.52]  they have to go figure out how to do
[16:14.40]  that somewhere so either you take a
[16:15.40]  course but a course is like the wrong
[16:17.20]  framework for anything now right it's
[16:18.48]  like course and Community much rather
[16:20.24]  you'd have the Discord where people like
[16:21.44]  me are hopping in there like give me a
[16:22.64]  couple youth to go make videos about
[16:24.20]  whatever I have a budget and so all that
[16:26.92]  kind of happens in one place and that's
[16:28.12]  one of like 10 discords where this is
[16:29.96]  happening insane insane that that exists
[16:32.56]  because you know I did a tweet the other
[16:34.24]  day about you know if you were going to
[16:36.32]  create the YC of today in a world where
[16:39.56]  software is
[16:40.68]  commoditized it's all about distribution
[16:43.88]  what is the YC for creators look like
[16:45.84]  and if I feel like it's kind of this
[16:48.04]  right yeah well also I look at I mean
[16:49.92]  honest so my last before I hopped on
[16:51.32]  this podcast I was giving a talk to YC
[16:53.44]  about content for software and so um so
[16:57.52]  a quick note on that is the same things
[16:59.08]  in software right so if you look at um
[17:02.12]  airbuds you look at I think the other
[17:03.60]  one like is is Humane um Humane is like
[17:06.12]  the mental health one there's Jenny
[17:07.60]  there's GG dating uh GG D is a good one
[17:09.76]  there's trip BFF this software that said
[17:11.76]  hey content Market fit is as important
[17:13.16]  as product Market fit but they're using
[17:14.68]  50 creators like I think airbuds
[17:16.44]  definitely has has 50 you know GG has
[17:18.56]  four or five accounts maybe two or three
[17:19.92]  creators even like like ladder has like
[17:21.68]  30 trainers on their fitness app that
[17:23.44]  are creators so they're applying the
[17:25.28]  same Theory they just don't have the
[17:26.32]  unit economics that Tik Tok shop does
[17:28.08]  Tik Tok shop is great because there's a
[17:29.64]  get-rich dynamic that is that is
[17:31.84]  material that you can literally
[17:33.12]  calculate out the way you calculate like
[17:34.28]  meta ads Rass and and like be in the mix
[17:36.52]  of that's amazing software you have to
[17:37.76]  like look at it's much more it's a
[17:38.92]  little more intangible but that that's
[17:40.00]  literally happening but also you look at
[17:41.88]  like to your point about the Creator YC
[17:43.36]  like I run this program called cut 30 we
[17:44.92]  have 100 150 people in it every every
[17:47.52]  time we do it it's like every six weeks
[17:49.08]  to teach people how to be content
[17:50.24]  creators and the hit rate is crazy like
[17:52.08]  the group chat of the people we have a
[17:53.12]  group chat of people that like really
[17:54.12]  pop off going from there and it's like
[17:55.56]  16 18 people who've become like hundreds
[17:57.96]  of thousands of followers
[17:59.36]  right and like we're not the only one
[18:00.40]  there's other people that are doing that
[18:01.52]  but like all this is happening in these
[18:02.68]  closet communities the only people that
[18:03.88]  know about that I don't like go run a
[18:05.56]  million ads about that or talk about it
[18:07.20]  every day it's just people that like
[18:08.60]  have gone down funnel enough to even get
[18:10.28]  promoted to same thing with the
[18:11.60]  collective they're not splashing that on
[18:12.88]  the front page like a bunch of us aren't
[18:14.40]  tweeting about it but it happens in the
[18:15.96]  background and that's where I feel like
[18:17.88]  entrepreneurs and CMOS get left out is
[18:19.48]  because if you can't find a way to be
[18:20.76]  visible into the world that's happening
[18:22.20]  around you and into the trends that are
[18:23.40]  around you you're literally just getting
[18:24.84]  left behind just to finish up on the Tik
[18:27.72]  Tok thing what else to people need to
[18:29.40]  know about building on Tik Tok starting
[18:32.96]  a business on Tik
[18:34.44]  Tok uh it's an operational nightmare
[18:38.08]  um the hardest part about that is
[18:39.96]  dealing with Tik Tok and your inventory
[18:41.24]  being in there and not so like I
[18:42.28]  mentioned I was at a toy brand uh with
[18:43.68]  this beforehand we we were getting we
[18:44.92]  got shut down on Tik Tok shop so much
[18:46.76]  that we basically stopped um we had a
[18:49.08]  product that was on the edge of
[18:50.52]  compliance there's a reason for that but
[18:52.28]  basically there's just so many Logistics
[18:53.80]  around shipping and customer service and
[18:55.52]  compliance and violations and Strikes
[18:57.28]  that's like all automated by Tik Tok
[18:58.80]  that you have to be you need to have a
[19:00.84]  uniquely insane and process-driven
[19:02.40]  operational person who is dedicated to
[19:04.24]  that to work through the scale but if
[19:06.12]  you are is likely worth that on the
[19:07.76]  other end especially if you are have a
[19:09.72]  good Amazon business because the
[19:11.00]  crossover is huge and if you're walking
[19:12.80]  into a retail conversation something I
[19:14.20]  like to call out is I worked with this
[19:15.60]  water brand called chlorofil water where
[19:17.40]  he was really early on Tik Tok the
[19:18.60]  founder seated out a ton of product on
[19:21.64]  Tik Tok when he launched we had this
[19:23.08]  whole SEO strategy we put together but
[19:24.92]  he had there was something like a
[19:26.60]  billion views on the chlorop water
[19:28.04]  hashtag when he lost launched and he
[19:29.64]  walked that right into retail and was
[19:31.44]  like look at the demand for my product
[19:33.72]  and it is but this is not a product that
[19:35.24]  is consumed online people don't buy
[19:36.84]  cases of water or single water it's a
[19:38.12]  prod that's consumed in retail and like
[19:40.00]  guess how those retail conversations
[19:41.20]  went right of course they want to take
[19:42.56]  advantage of what that that of that
[19:43.96]  Arbitrage right of we want to be the
[19:45.24]  person that has that availability that's
[19:46.88]  still the conversation like we talk
[19:48.12]  about Tik Tok shop there's the crossover
[19:49.44]  to Amazon and the crossover to Natural
[19:51.32]  retail because of how much Discovery
[19:53.36]  entertainment happens on that platform
[19:54.80]  today damn dude like that that I I do
[19:57.80]  feel it and maybe other people listening
[20:00.36]  the whole like supply chain just feels
[20:02.76]  like a black box like I don't even know
[20:05.28]  where to start on terms of like making a
[20:08.16]  product yeah in terms of making a
[20:10.40]  product so I would go to like if you
[20:12.24]  know kind of if you have a general idea
[20:14.44]  but uh you want to go into the belly of
[20:15.96]  the Beast and I would go to Canton Fair
[20:17.60]  it's twice a year it's in China I know
[20:19.96]  that sounds like something that would be
[20:21.20]  a wild thing to do but it is they
[20:23.08]  literally like it's like the mecca for
[20:24.56]  where things are created um and that
[20:26.64]  includes everything food
[20:29.16]  you know like you know jewelry
[20:30.40]  Electronics like whatever it is food may
[20:32.24]  say slightly less but let's say if you
[20:33.44]  wanted to get into the supplements game
[20:35.00]  there's that there's a network of other
[20:36.16]  more specific like you want to do
[20:37.12]  gummies you want to do stuff made in the
[20:38.08]  US whatever there's there's a bunch of
[20:39.24]  like trade shows related to that but
[20:40.40]  like Canton fair is where everything in
[20:41.40]  the world is made like all the factories
[20:42.96]  that make everything in the world go to
[20:44.08]  to display their Wares and the Western
[20:45.60]  world is kind of come and adopted and
[20:47.28]  there's enough understanding that you
[20:48.32]  have to deal with people that speak
[20:49.20]  English when you're there and that's
[20:50.36]  where people go to find their factories
[20:51.72]  experience supply chain for the first
[20:52.96]  time obviously if you don't want to go
[20:54.44]  all the way over to China if you do go
[20:55.60]  there you're going to get the best rates
[20:56.88]  you're going to actually see people's
[20:57.88]  operations you're going to see all the
[20:59.04]  available options if you don't do that
[21:01.12]  like I don't know the reason there's a
[21:02.36]  reason that Alibaba Founders are so rich
[21:03.84]  right like between Alibaba and Petra you
[21:05.88]  basically have access to factories of
[21:07.92]  any kind to make anything you want
[21:09.52]  basically anywhere in the world like or
[21:11.04]  you can hunt them down individually I I
[21:13.08]  just feel like to me like the product
[21:14.24]  creation part is fully Antiquated right
[21:15.64]  now it's actually so easy to use Alibaba
[21:17.56]  or go talk now through WeChat or with
[21:19.28]  translation or the amount of Chinese
