Title     : ¥200和¥8000的机械键盘有什么区别？键盘侠们在折腾什么？【柴知道】
[03:59.03]  一套最便宜的 ABS 键帽
[04:00.80]  可以 9.9 拿下
[04:02.03]  但 PBT 键帽往往就要
[04:03.73]  30–40 块钱起步
[04:05.57]  一些 PBT 含量比较高的键帽
[04:07.67]  价格还能更贵
[04:09.40]  除了材质以外
[04:10.33]  键帽的高度也有讲究
[04:11.83]  它会影响打字时的姿势和手感
[04:14.83]  所谓“原厂高度”
[04:16.03]  是指键帽的高度与 Cherry 常用的
[04:18.27]  键帽高度一致
[04:19.40]  从侧面看 原厂高度的键帽
[04:21.33]  由高到低呈弧形
[04:22.83]  长时间打字会比较舒服
[04:25.17]  OEM 是一些厂商
[04:26.40]  基于原厂高度调整的
[04:27.83]  它的倾角与原厂相似 但更高一些
[04:30.87]  其他还有 XDA MOA SA MDA
[04:33.83]  等等高度
[04:34.87]  他们的打字手感跟原厂
[04:36.33]  和 OEM 高度差别比较大
[04:38.13]  需要适应一下
[04:39.53]  但键帽真正能让你加钱的地方
[04:42.17]  其实是外观
[04:43.87]  一些版权情况存疑的主题键帽
[04:46.20]  只要百八十块钱就能搞定
[04:48.20]  更贵 更好看的键帽
[04:49.83]  价格可能就要来到两三百或者更高
[04:52.67]  而如果你恰好对某些 IP 爱得深沉
[04:55.37]  也可以看看这些官方正版主题键帽
[04:58.03]  这些单颗个性键帽通常会放到
[05:00.33]  ESC 之类的位置 做工精致
[05:02.83]  有的还能当个手把件 做点互动
[05:05.63]  但价格嘛
[05:06.83]  大概是一颗够买一套的水平
[05:09.83]  如果你恰巧财力十分雄厚
[05:12.07]  可以直接买齐一排
[05:13.60]  放到最上面的功能键区
[05:15.53]  任谁路过都会发出赞叹
[05:17.87]  这么有钱还用上班
[05:20.23]  轴体和键帽
[05:21.17]  最终都要装到套件上
[05:23.00]  所谓套件 是指键盘上
[05:24.60]  除了轴体和键帽之外的其他部分
[05:27.00]  包括外壳 PCB 电路板 定位板等等
[05:30.13]  这些零件按照不同的结构排列在一起
[05:32.60]  可以组合出各种各样的声音 手感
[05:35.53]  比如最近十分流行的 Gasket 结构
[05:38.10]  就是用橡胶 硅胶等弹性材料
[05:40.47]  卡在上下盖之间
[05:41.93]  键盘上的 PCB 电路板
[05:43.33]  定位板等结构
[05:44.43]  靠上下外壳和填充物的压力
[05:46.83]  固定在中间
[05:48.13]  Gasket 结构的键盘打字时
[05:50.17]  手感软弹而且十分均匀 非常舒服
[05:52.93]  诞生后没多久便迅速流行开来
[05:55.73]  调整套件上不同零部件的材料
[05:57.93]  打字时的声音和手感等也会有变化
[06:00.67]  比如用来减少轴体晃动的定位板
[06:03.00]  就有塑料 铜 钢 铝 碳纤维等
[06:05.63]  多种材料可供选择
[06:07.27]  只要想加钱 总有能加的地方
[06:10.63]  所以 虽然这些机械键盘们的
[06:12.33]  结构都差不多
[06:13.47]  但不同的轴体 键帽
[06:14.87]  以及套件中的各种零件的不同组合
[06:17.53]  可以提供无数种外观 声音和手感
[06:20.40]  爱好者们会根据自己的需求
[06:22.17]  选购套件 轴体 键帽等零件
[06:24.43]  混搭到一起
[06:25.57]  组装成最适合自己的机械键盘
[06:28.57]  像小卡最常用的键盘
[06:30.03]  就是用两种轴体 两套键帽
[06:32.20]  以及一颗个性化键帽搭配组成的
[06:35.57]  最后 如果你也想玩一玩键盘
[06:37.67]  那可以先从选配列开始
[06:39.97]  配列是指键盘的布局
[06:41.40]  像最常见的 104 键盘
[06:43.37]  包括完整的功能键 方向键
[06:45.33]  编辑区和小键盘
[06:47.13]  之下还有按键更少
[06:48.53]  更简洁的 98 键
[06:50.17]  87 键
[06:50.63]  75 键
[06:51.37]  68 键 
[06:51.87]  60 键
[06:52.77]  甚至连数字区都没有的
[06:54.53]  40 键盘
[06:56.00]  此外还有一些
[06:56.77]  更“人体工学”的键盘配列
[06:58.43]  比如把主键区左右分开的 Alice 配列
[07:01.60]  这样在打字时手腕不需要弯曲
[07:04.27]  至于是不是真的好用
[07:06.00]  反正小卡说
[07:06.83]  Alice 配列适应起来很快
[07:08.37]  长时间打字后手腕确实能舒服一些
[07:11.60]  选定配列后
[07:12.47]  一块键盘的基础形态也就确定了
[07:15.27]  你可以像我这样省心省钱
[07:16.93]  直接买一把用国产轴的成品键盘
[07:19.67]  也可以从常见的轴体中挑选一个
[07:21.77]  再选套自己喜欢的键帽
[07:23.67]  用一段时间后 再更换调整
[07:25.73]  换下来的轴体还能
[07:27.17]  再去组一把新键盘
[07:28.80]  诶 你看 这不就烧起来了
[07:31.93]  如果真的烧到了难以自拔的话
[07:34.33]  我有一个亲身实践
[07:35.80]  保证好用的退烧小技巧
[07:37.80]  免费送给你
[07:39.40]  你只要问问自己
[07:40.73]  是不是换了键盘 更新了设备
[07:42.87]  就能写出更好的稿子
[07:44.60]  做出更好的方案
[07:45.93]  码出更强的代码
[07:47.23]  赚到更多的钱
[07:49.40]  百试百灵 适用范围广
[07:51.03]  药效强劲 直击灵魂
[07:52.60]  请谨慎使用
