Title     : 公章这么好伪造，用假公章赖账可刑吗？【柴知道】
[01:42.15]  南宁市小重政商务秘书有限公司的企业
[01:45.80]  把自己的名字改成了
[01:47.08]  比亚迪（广西）新能源有限公司
[01:50.02]  声称自己被比亚迪收购
[01:52.13]  然后伪造了比亚迪的公章
[01:53.86]  甚至还有董事长王传福的签名
[01:56.10]  出去招摇撞骗
[01:57.89]  更搞笑的是
[01:59.11]  这家企业旗下恰好就有一家
[02:01.03]  专门从事印章制作的公司
[02:03.72]  遇上这种细节狂魔
[02:05.25]  加专业对口的人士
[02:07.04]  你怎么分辨
[02:09.23]  在现实生活中
[02:10.44]  私刻假章的情况
[02:11.72]  可以说是防不胜防
[02:13.63]  而且你想一想
[02:15.03]  假如你来柴司谈合作
[02:16.96]  老板跟你谈笑风生 签字盖章
[02:20.16]  只要这个章不太离谱
[02:21.83]  那你怎么会怀疑它是假公章呢
[02:24.53]  就算怀疑 也难以核验
[02:26.79]  这个章怎么看着有点假呢
[02:29.93]  所以真正能保护你的
[02:31.40]  根本就不是什么
[02:32.36]  分辨真假公章的技巧
[02:34.21]  而是为整个社会兜底的武器
[02:36.39]  法律
[02:38.50]  首先 我国刑法中规定有
[02:40.58]  “伪造印章罪”
[02:41.96]  伪造印章是要吃牢饭的
[02:44.45]  比如这位老哥
[02:45.67]  2001 2003 年就曾两次因为
[02:48.17]  伪造国家机关印章罪入狱
[02:50.73]  刑满释放后 痛定思痛
[02:54.83]  又干起了老本行
[02:56.55]  伪造了 “北京师范大学”
[02:58.34]  “中共北京市委党校”
[02:59.69]  等 73 枚公章
[03:01.54]  在被公安机关抓获后
[03:03.40]  大哥坚决不认
[03:04.61]  声称印章不是我伪造的
[03:06.85]  是别人放在我这里的
[03:08.84]  但这只是徒劳的挣扎
[03:10.69]  最终还是因为叠了
[03:12.54]  “伪造国家机关印章罪”
[03:14.60]  “伪造事业单位印章罪”
[03:16.50]  “累犯”
[03:17.38]  三重 buff 锒铛入狱
[03:20.04]  那如果不是自己刻的
[03:21.57]  而是买了假章跟人签合同
[03:23.75]  那行不行呢
[03:25.41]  很多人都这么干过
[03:27.21]  最出名的案例 是 QQ 飞车
[03:29.30]  当年接到了老干妈的广告需求
[03:31.73]  QQ 飞车又是在海报上
[03:33.53]  植入老干妈头像
[03:35.19]  又是让职业选手狂炫老干妈
[03:38.00]  甚至还推出了
[03:38.79]  QQ 飞车限定款老干妈礼盒
[03:41.59]  宣传做得那叫一个到位
[03:44.21]  但宣传得这么卖力
[03:45.75]  却一直没有收到广告费
[03:47.73]  于是腾讯反手将老干妈
[03:49.46]  告上了法庭
[03:50.93]  并申请冻结老干妈千万元的财产
[03:54.13]  直到这个时候
[03:55.16]  真•老干妈才知道这件事儿
[03:57.14]  并表示从未跟腾讯合作过
[04:00.34]  报案后发现
[04:01.56]  原来是三个骗子想要干一票大的
[04:04.63]  于是伪造了老干妈的印章
[04:06.49]  和营业执照等材料
[04:08.47]  目的是为了骗取游戏中的礼包码
[04:10.97]  然后再变卖获利
[04:12.82]  这种情况 就属于妥妥的诈骗
[04:15.38]  因为他们根本就不是老干妈的员工
[04:17.88]  身份和印章 都是假的
[04:19.99]  最后肯定锒铛入狱
[04:26.01]  但老板的想法
[04:27.23]  可比这几个骗子要更刁钻
[04:29.68]  我们再看一下他的奸计
[04:32.09]  假如你来柴司
[04:33.25]  跟他谈合作 签合同
[04:35.42]  此时他的身份是真的
[04:37.40]  但用的章是假的
[04:39.13]  等到该付钱的时候
[04:40.41]  他就说公章是假的 合同无效
[04:43.49]  就是不给你钱 怎么办
[04:46.37]  别以为这是他的原创
[04:48.16]  现实中这么干的可不少
[04:50.27]  就连罗翔老师都遭遇过
[05:16.90]  就是因为这么干的太多了
[05:19.01]  所以在 2019 年通过的
[05:20.80]  《九民纪要》中
[05:21.95]  特地把这种私刻假公章
[05:24.13]  然后否认合同的状况
[05:25.66]  单独拎出来解释了一条
[05:28.42]  翻译过来就是
[05:29.82]  哪怕公章是假的
[05:31.55]  但如果盖章的人
[05:32.85]  被认定为有代理资格
[05:34.62]  那这份合同仍然有效
[05:36.54]  老板设想用假印章赖账的漏洞
[05:39.10]  已经被法律堵上了
[05:41.47]  不过 这并不意味着
[05:42.75]  你就可以高枕无忧了
[05:44.80]  其实现在已经出现电子印章
[05:46.78]  甚至区块链印章了
[05:48.45]  在伪造难度 验章方便程度上
[05:50.61]  都比实体印章要高
[05:52.85]  不管是电子印章和区块链印章
[05:55.16]  还是实体印章 签名 合同
[05:57.33]  本质上都是为了解决信任问题
[05:59.89]  降低交易成本
[06:01.43]  如果有人刻意搞鬼
[06:02.77]  那都很难防住
[06:04.63]  哪怕所有的签名 合同
[06:06.42]  印章 证据都齐全
[06:08.53]  那也可以硬赖账嘛
[06:10.84]  柴司就有一笔合作款项
[06:12.89]  被人拖欠了几年
[06:14.55]  对方每个月都表示下个月就给
[06:17.30]  甚至还编出了家人出意外的借口
[06:20.50]  最后老板迫不得已表示要法院见
[06:23.06]  对方仍然无所畏惧
[06:25.62]  给我们老板气得
[06:27.80]  都想信佛了
[06:28.87]  冷静 冷静 一定要冷静
[06:30.79]  不要做出冲动的事
[06:32.06]  我是懂法的人
[06:33.28]  我是有法学学位的人
[06:37.03]  还是要多读书
[06:38.95]  才能学会怎么跟人博弈呀
[06:41.25]  老板老板
[06:42.02]  我们那个钱最后要回来了吗
[06:45.73]  马上
[06:47.43]  我就不信了
[06:49.55]  诶 你干嘛去 诶
[06:51.15]  我跟TA同归于尽
