Title     : 眼镜店真的暴利吗？配眼镜时有哪些坑？【柴知道】
[02:59.68]  而不是让自己的眼睛去强行适应
[03:03.12]  你在线下配镜
[03:04.49]  付的那份钱里
[03:05.69]  就已经包含这部分试错费用了
[03:13.41]  而且店员不会说
[03:14.76]  你怎么那么多事
[03:16.24]  刚配没几天
[03:17.71]  又怎么拿来这里了
[03:19.37]  一般不会有这个问题的
[03:21.03]  所以我觉得大家
[03:21.78]  很多的顾虑就是这个
[03:23.08]  就可能会有点社恐吧
[03:24.81]  不敢说去交流这种
[03:26.67]  对于眼镜店来说
[03:27.76]  如果要减少返工成本
[03:29.49]  那一方面在镜片的加工过程中
[03:31.73]  要认真仔细
[03:33.11]  另一方面 就是要做好验光环节
[03:37.87]  一个经验丰富的验光师
[03:39.47]  对于眼镜店来说至关重要
[03:41.52]  你接触的案例越多
[03:43.50]  你经验越多
[03:44.53]  你验起来就不容易犯错
[03:46.38]  那老的验光师
[03:47.41]  他可以根据不同的人
[03:49.01]  结合他的生活习惯 用眼习惯
[03:51.25]  去帮他把光验好
[03:52.66]  那光验好以后
[03:53.49]  其实剩下的东西都很简单
[03:55.83]  一个经验丰富的验光师
[03:57.49]  可以直接帮眼镜店节省成本
[03:59.35]  吸引客源
[04:00.56]  那根据这位朋友的说法
[04:01.78]  有些好的验光师
[04:03.25]  是可以拿店铺分成的
[04:05.75]  配眼镜 是一门半医半商的行业
[04:08.63]  其中验光的专业性比较强
[04:10.48]  可能更接近医的那一面
[04:12.59]  那么作为消费者
[04:13.62]  我们是应该去医院验光
[04:15.22]  还是直接去眼镜店验光就行呢
[04:18.52]  根据我之前的一些了解啊 
[04:20.44]  医院它可能更注重的就是说
[04:22.36]  我是过来检查眼睛的
[04:24.02]  那这个时候你的眼睛
[04:25.35]  该多少度就是多少度
[04:26.86]  肯定做到很精确的一个检查
[04:28.76]  但是如果说你在眼镜店的话
[04:30.86]  它可能会根据你实际佩戴的感受
[04:33.49]  比如说你明明是 500
[04:34.83]  但是我给你配到 500 度的时候
[04:36.89]  你就会觉得我戴着很眩晕
[04:38.74]  那这个时候验光师会
[04:40.02]  适当地给你做调整
[04:41.43]  比如说给你配到 475
[04:43.09]  还是配到了450
[04:44.12]  它是有这样的一个差别
[04:46.26]  根据几位受访者的说法
[04:47.92]  医院的验光水平肯定没问题
[04:50.16]  能验出精确的度数
[04:51.76]  但准确的验光度数
[04:53.23]  跟你实际配镜的度数
[04:54.90]  可能未必完全一样
[04:56.82]  所以眼镜店的验光师
[04:58.16]  会根据你的生活习惯和舒适程度
[05:01.01]  帮你找出一个合适的度数
[05:03.07]  所以如果你的眼睛
[05:04.36]  有一些基础疾病
[05:05.25]  或者需要非常准确的验光度数
[05:07.56]  那可以去眼科医院验光
[05:09.41]  但如果你已经有了
[05:10.37]  比较熟悉的验光师
[05:11.78]  觉得还不错
[05:13.00]  他跟你沟通也比较顺畅
[05:14.60]  你也没有什么特殊的需求
[05:16.13]  那就去眼镜店验光就好了
[05:18.42]  对于验光师来说 技术重要
[05:20.66]  了解客户的需求也同样重要
[05:23.22]  所以在验光过程中
[05:24.38]  你也别不好意思开口
[05:26.10]  要跟验光师交待清楚你的需求
[05:28.58]  用眼习惯
[05:29.56]  说出你在适应不同度数过程中的
[05:31.76]  真实感受
[05:32.89]  这样才能配出一副合适的眼镜
[05:35.25]  哦对了
[05:35.96]  如果是小朋友第一次配眼镜
[05:37.81]  那还是建议去医院检查下
[05:40.58]  因为一些小朋友的近视
[05:41.89]  是假性近视
[05:42.98]  也就是用眼过度
[05:44.38]  导致睫状肌过度紧张造成的
[05:47.14]  那这种情况下
[05:48.10]  医院会做散瞳验光
[05:49.89]  也就是用睫状肌麻痹药
[05:51.89]  让睫状肌完全放松后
[05:53.54]  再检查一遍
[05:54.75]  那如果还是看不清
[05:55.90]  那就是真近视了
[05:57.57]  如果视力恢复了
[05:58.59]  那就是假性近视
[06:10.93]  所以如果是小朋友
[06:11.89]  第一次感觉看不清
[06:13.11]  还是去医院检查一下
[06:15.49]  在验完光后
[06:16.55]  接下来的问题就是
[06:17.83]  选镜片
[06:19.18]  到底是应该选国产镜片
[06:21.16]  还是更贵的进口镜片呢
[06:23.53]  在这个问题上
[06:24.48]  所有受访者都认可
[06:26.14]  目前国产镜片在原材料
[06:28.13]  光学性能 耐磨性等指标上
[06:30.51]  总体上确实还是跟你常看到的
[06:32.48]  那几家国外品牌有差距
[06:35.17]  只是这个差距你能不能感受到
[06:37.42]  愿不愿意花钱
[06:38.42]  去获得更好的光学性能
[06:40.35]  就看个人选择了
[06:42.21]  比如有两位受访者表示
[06:44.24]  虽然进口镜片的耐磨性更好
[06:46.56]  但再耐磨也早晚会磨花
[06:49.08]  定期更换性价比高的国产镜片
[06:51.43]  也许更好
[06:52.64]  而另外两位朋友的回答就更为坚决
[06:55.07]  甚至有些激愤
[06:56.35]  认为眼镜每天都要戴
[06:57.89]  还是应该在预算范围内选择最好的
[07:00.83]  我们选取其中一位
[07:01.92]  语气比较温和的回答
[07:03.97]  这种普通跟进口的那个差别大吗
[07:07.11]  还是蛮大的
[07:08.76]  但是呢 我会给加上一个前提
[07:11.51]  如果说你是在条件允许的情况下
[07:15.03]  那我肯定是建议你去
[07:17.21]  选择进口的一些镜片
[07:19.76]  不过几乎所有受访者都提到
[07:22.00]  镜片磨损非常影响光学性能
[07:24.75]  如果你的眼镜上已经有很多划痕
[07:27.25]  那还是抓紧换吧
[07:29.36]  那肯定还会有一些朋友想
[07:31.02]  商家的推荐
[07:32.18]  会不会受到利益的影响呢
[07:34.04]  对于眼镜店来说
[07:35.19]  到底是国产镜片赚得多
[07:36.91]  还是进口镜片赚得多
[07:39.28]  我们收到的回答很一致
[07:41.20]  从利润率角度看
[07:42.74]  国产镜片利润率其实更高
[07:45.36]  不过从每副镜片赚到的多少上来看
[07:48.05]  是进口镜片更多
[07:49.97]  比如一副进价 30 块的国产镜片
[07:52.08]  最终能卖到 150 块 涨了 5 倍
[07:54.64]  一副毛利110
[07:56.31]  而一副进价 400 块的国外镜片
[07:58.74]  最终要卖到 1000 块 涨了2倍多
[08:01.30]  毛利 500
[08:02.73]  至于很多朋友提到的
[08:03.76]  十几块钱一副的镜片 确实有
[08:06.03]  而且成本还能更低
[08:07.89]  所以也给销售渠道留足了利润空间
[08:11.21]  而相对来说 进口镜片的品牌方
[08:13.68]  议价能力更强
[08:14.90]  他们自己就要拿走足够的利润
[08:16.95]  不会有特别便宜的镜片
[08:19.09]  我相信你也发现在网上有很多那种
[08:21.11]  二折三折的蔡司
[08:22.96]  那个其实都已经比
[08:23.99]  拿货价还要再低了
[08:25.52]  你可以想象一下
[08:26.42]  它的产品是什么样的
[08:28.15]  那二折三折的蔡司还是蔡司吗
[08:31.73]  这个我不能乱说
[08:33.58]  钱长在自己兜里嘛
[08:34.57]  谁愿意买谁去买
[08:36.79]  所以如果大家看到那种
[08:38.17]  特别便宜的进口镜片
[08:39.60]  那还是冷静一下 分辨真假
[08:43.57]  当然 配眼镜除了镜片
[08:45.46]  还有镜架
[08:46.58]  如果我既想配一副好眼镜
[08:48.43]  又想省点钱
[08:49.71]  那我把钱都花在镜片上
[08:51.25]  买个便宜点的镜架行不行
[09:03.27]  就是如果你的度数不是特别高
[09:05.89]  而且光度不是很复杂
[09:07.43]  你的适应能力很强
[09:08.58]  你是个年轻人 你适应能力很强
[09:10.44]  这个镜架对于你来讲
[09:11.97]  其实不是那么的重要
[09:13.70]  但是如果说你的度数很高了
[09:16.01]  然后你的这个双眼
[09:17.16]  这个眼底也好
[09:18.07]  或者眼睛这个度数也比较复杂也好
[09:20.17]  镜架是要优于镜片做选择的
[09:22.53]  就要买好镜架了
[09:23.71]  但是好镜架不代表贵镜架
[09:25.58]  这个我们首先得说一点啊就是
[09:27.97]  一个好的镜架设计
[09:29.50]  不代表这个镜架就一定很贵
[09:31.42]  当然贵的镜架确实容易挑出来好的
[09:34.24]  但是便宜的镜架
[09:35.08]  也容易挑出来光学性能比较好的
[09:38.89]  最后 还有一个大家关心的问题
[09:41.25]  就是网上配镜
[09:43.05]  随着互联网的冲击
[09:44.26]  眼镜店的玩法已经发生了很大变化
[09:47.49]  因为眼镜行业
[09:48.45]  它其实在发生一个变革
[09:50.37]  20 年前的话
[09:51.78]  眼镜这个行业谁要是说
[09:53.57]  能拥有这个验光的技术
[09:55.94]  谁就是绝对 OK 的
[09:57.46]  那 10 年前靠的是什么呢
[09:59.84]  那就看谁的装修 谁的门头
[10:02.34]  谁的地理位置更好
[10:04.07]  那谁的生意就好
[10:05.18]  那 5 年前靠的可能是说
[10:07.20]  谁稍微微懂一点点互联网思维
[10:09.76]  谁知道 哦 自己去上线一个美团
[10:12.39]  上线一个什么淘宝
[10:14.18]  就是懂一点点运营的思维
[10:15.78]  谁的店铺也会更厉害
[10:17.44]  那今天的话
[10:18.47]  其实大家在一起去拼的
[10:19.91]  就是口碑和私域了
[10:22.05]  所以如今在网上开眼镜店
[10:23.84]  房租是更低了
[10:25.51]  但另一种成本却会很高
[10:27.62]  流量成本
[10:28.96]  你比如说你买那个淘宝的那个流量
[10:32.25]  那个活动的那个页面展示
[10:34.40]  那个费用那是相当相当高的
[10:38.18]  那这个费用是没有边的
[10:39.91]  随着互联网越来越卷
[10:41.38]  开网店的成本
[10:42.47]  已经没有外行人想象的那么低了
[10:44.77]  而且整体的价格越来越透明
[10:46.82]  无论是线上线下
[10:48.36]  这门生意都不好做
[10:49.83]  如果你还抱着
[10:50.85]  眼镜店是个暴利行业
[10:52.77]  这个天真的想法加入进来
[10:54.88]  那大概率说明
[10:55.91]  你是一位来送钱的外行
[10:58.27]  那对于普通人来说
[10:59.36]  我们自己从网上配镜可以吗
[11:02.24]  其实这个问题的答案
[11:03.33]  接受采访的朋友们多少都提到了
[11:05.96]  在线下配镜 验光 试戴 售后
[11:08.51]  都有一条龙服务 体验比较好
[11:10.88]  线上配镜 图的就是价格便宜
[11:13.70]  如果你对自己的各方面情况
[11:15.55]  都很有把握 那可以试试
[11:17.67]  只是有两个提醒
[11:19.01]  一是谨慎买特别便宜的进口镜片
[11:21.96]  原因刚才已经说过了
[11:23.62]  二是有些网上店
[11:25.35]  连瞳距等基本数据都不需要
[11:27.49]  就能给你配眼镜
[11:28.87]  这种我们建议还是算了
[11:30.66]  钱重要 但健康更重要
[11:33.48]  最后 作为消费者
[11:34.82]  我们最关心的肯定还是价格问题
[11:37.49]  有没有什么技巧
[11:38.38]  能让你以一个比较合理的价格
[11:40.24]  配一副眼镜呢
[11:42.80]  根据在连锁店工作过的朋友告诉我们
[11:45.23]  一般在寒暑假期间
[11:46.96]  或者节日期间
[11:48.11]  眼镜店的折扣会比较多
[11:50.22]  而且 千万别觉得眼镜店不能还价
[11:53.23]  只要主动问
[11:54.32]  大多数情况下价格都可以谈
[11:56.71]  在你去之前你一定要去做一个了解
[12:00.14]  比如说你要知道
[12:01.23]  你自己大概是多少度
[12:03.28]  以及你用这个镜子
[12:04.62]  大概是什么样的需求
[12:06.16]  那你可以直接去打开淘宝
[12:08.14]  这个价格也好 功能也好 
[12:10.17]  其实淘宝上都会有一个
[12:11.68]  大致的介绍
[12:12.99]  这个价格其实是
[12:14.46]  远远低于零售门店的价格的
[12:17.66]  你自己有了一个大概的
[12:19.55]  心理价格了之后的话
[12:20.73]  你可以按照这个价格
[12:22.35]  和店员去谈判
[12:24.64]  所以总的来说就是
[12:25.92]  做好功课 不要害羞
[12:27.84]  挑好之后务必多问一嘴 万一呢
[12:32.32]  好了
[12:32.88]  这就是我们本期视频的全部内容
[12:35.26]  非常感谢这几位
[12:36.38]  愿意接受我们采访的朋友
[12:38.59]  我们的策划小姐姐也辛苦了
[12:40.32]  因为她害怕东北口音配音
[12:42.17]  所以让我当个嘴替
[12:43.71]  需要说明一下 中国很大
[12:45.37]  每个行业都非常复杂
[12:46.97]  各家店的具体情况也不一样
[12:48.77]  我们采访的样本有限
[12:50.37]  只能做到粗略的归纳
[12:51.88]  肯定不能代表所有情况
[12:53.82]  那如果有跟你实际体验
[12:55.76]  亲身经历不同的地方
[12:57.41]  或者你有什么经验 观点
[12:59.20]  都欢迎在评论里告诉我们
[13:01.50]  我们会点赞 回复
[13:02.91]  也刚好给大家更多的参考
[13:05.21]  那如果这期视频让你多了解了一些
[13:07.33]  关于眼镜的事儿
[13:08.61]  那可以给我们一个三连
[13:10.01]  以后再遇到类似的选题
[13:11.49]  我们也会继续发动态向观众求助
[13:14.53]  下期再见
[13:17.37]  忘带眼镜了呀
[13:19.48]  你多少度
[13:20.70]  350
[13:25.63]  那你多少度
[13:26.65]  250
[13:28.89]  刚好
[13:30.67]  一个 250 一个 350
[13:32.47]  我 600
[13:33.60]  巧了
[13:36.02]  你多大鞋我多大脚
