Title     : 涨得比黄金猛，为什么内存条原地起飞？AI看得上我这200块破内存？【柴知道】
[03:13.48]  我们在关于“猪周期”的视频中讲过
[03:15.80]  养猪很慢
[03:17.40]  等我们让两个大猪强制爱 生娃 
[03:19.88]  等小猪长成大猪
[03:21.48]  市场环境已经变了
[03:23.36]  卖存储也一样
[03:24.88]  早在 2023 年
[03:25.92]  美光就拿了补贴
[03:27.28]  在日本广岛建厂
[03:28.80]  但这个厂最快也要到
[03:30.52]  2027 年底才能投入运营
[03:32.56]  对当下的涨价潮毫无用处
[03:35.00]  这也不能怪美光
[03:36.08]  因为扩产不光要盖厂
[03:38.00]  还要从供应链处
[03:39.00]  购买光刻机等设备
[03:40.52]  而这些设备本身也要排队等供应
[03:43.08]  所以急也没用
[03:45.20]  减产也一样
[03:46.24]  决定停产时
[03:47.44]  各家都还有大量库存等着抛售
[03:49.92]  市场供应并不会
[03:50.90]  因为停产而立刻减少
[03:52.72]  价格还会持续下跌
[03:54.48]  所以从供给端来看
[03:55.92]  存储芯片行业玩家的高集中度
[03:58.28]  和产品的高同质性
[03:59.92]  让整个行业的步调高度一致
[04:01.96]  再加上跟不上节奏的扩产 
[04:03.56]  减产速度
[04:04.52]  导致了存储芯片的价格
[04:06.16]  总是周期性波动
[04:07.88]  这一波存储芯片的涨价周期
[04:09.48]  也是从前两年各家减产之后
[04:11.64]  就逐渐开始了
[04:13.28]  但今年的暴涨
[04:14.36]  尤其是内存条价格的起飞
[04:16.76]  是因为它站上了
[04:17.62]  一个巨大的风口
[04:18.92]  AI
[04:20.36]  桥豆麻袋
[04:21.44]  AI 跟我们这
[04:22.22]  200 块钱一根的内存条
[04:23.66]  还能有什么纠葛吗
[04:25.80]  你好
[04:26.56]  有的
[04:28.00]  这 是一台普通的电脑
[04:30.20]  如果想拿它训练大模型
[04:31.72]  那你需要买一张强悍的显卡
[04:33.64]  给它喂大量的数据
[04:35.28]  海量的数据当然储存在硬盘中
[04:37.40]  那怎么把它们传给显卡呢
[04:39.84]  直接连是不行的
[04:41.16]  SSD 硬盘通过 NVME 接口的
[04:43.24]  传输速度目前最高能达到
[04:45.40]  大约 20GB/s
[04:47.00]  已经很快了
[04:48.12]  但远远喂不饱显卡
[04:50.08]  所以 CPU 会把硬盘中的数据
[04:52.12]  做预处理后
[04:53.12]  放到容量更小
[04:54.40]  但读写速度更快的内存条中
[04:57.00]  目前最快的 DDR5 内存条
[04:58.60]  传输速度大约是 100GB/s
[05:01.16]  它可以作为“数据中转站”
[05:02.60]  让显卡调用
[05:04.04]  而在真正训练时
[05:05.52]  显卡会把需要的数据
[05:07.04]  从内存读取到速度更快的显存中
[05:10.36]  模型的参数 各种计算
[05:12.08]  整个训练的过程
[05:13.20]  都在显存中完成
[05:15.04]  为了充分利用显卡的算力
[05:16.68]  显存对传输速度的要求更高
[05:19.20]  顶级的民用显卡
[05:20.20]  RTX 5090 用的是 GDDR7 显存
[05:23.32]  峰值传输速度能达到 1792 GB/s
[05:27.12]  而在 H100 H200 这样
[05:28.76]  专用的高端 AI 显卡中
[05:30.80]  搭配的是 HBM 内存
[05:33.12]  像 H200 用了 6 颗 HBM3E 堆栈
[05:35.80]  实际峰值带宽能达到 4.8 TB/s
[05:39.48]  也就是说
[05:40.40]  显卡想算得更快
[05:41.92]  就需要数据的传输
[05:43.32]  通信速度能跟上
[05:45.16]  这正是 AI 为什么会对
[05:46.72]  内存有强烈的需求
[05:48.84]  但很显然
[05:49.76]  AI 需要的是像 
[05:50.96]  HBM 这种高端内存
[05:52.84]  怎么会瞧得上
[05:53.80]  我们这种低端二手内存呢
[05:56.28]  其实不管是 DDR GDDR
[05:58.04]  还是 HBM
[05:59.20]  都是由一个个刻在晶圆上的
[06:01.12]  DRAM 存储单元所组成的
[06:03.52]  普通的 DDR 内存
[06:04.72]  是单芯片平面封装
[06:07.16]  而 HBM 为了缩短通信距离
[06:09.12]  提高传输效率
[06:10.36]  会让多个内存芯片垂直堆叠
[06:12.80]  直接跟 GPU 紧密地
[06:14.12]  封装到一块基板上
[06:16.04]  但总而言之
[06:16.96]  它们“原料”其实是一样的
[06:19.16]  区别只在于封装和通信设计
[06:21.64]  目前 HBM 的市场
[06:23.12]  100% 被御三家所把控
[06:25.16]  它的价格和利润
[06:26.24]  比普通内存条高多了
[06:28.68]  根据《首尔经济日报》的消息
[06:30.36]  SK 海力士给英伟达
[06:32.00]  卖 1 个 24GB HBM3E 堆栈的价格
[06:35.52]  大约是 370 美元
[06:37.88]  而一块 H200 显卡
[06:39.08]  就需要 6 个这样的堆栈
[06:41.00]  而且后续的 HBM4 
[06:42.48]  还要涨价到 500 多美元一片
[06:45.04]  相比而言
[06:45.96]  我现在当场从电商网站上
[06:48.04]  下单一片成品的 
[06:49.24]  24G DDR 5 内存
[06:50.84]  涨价后加上运费
[06:52.32]  也才 500 多块人民币
[06:54.90]  所以对于内存厂商来说
[06:56.46]  反正都是拿晶圆
[06:57.54]  刻 DRAM 造内存
[06:58.80]  产能一时也加不上来
[07:00.80]  那一边是人类历史上唯一一家 
[07:03.24]  5 万亿美元市值的公司
[07:04.72]  穿着皮衣来扫货
[07:06.52]  另一边是我拿着 200 块钱
[07:08.16]  想买一条 16G 内存打游戏
[07:10.72]  所以 并不是 AI 瞧上了
[07:12.70]  我们的破内存条 才要涨价
[07:14.72]  而是厂商为了满足 
[07:15.92]  AI 对高端内存的兽欲
[07:17.68]  犹豫了 0 秒后就选择
[07:19.22]  挤占普通内存的产能
[07:20.96]  才导致的涨价
[07:22.48]  至于目前 HBM 的需求
[07:24.04]  有多旺盛
[07:25.56]  这么说吧
[07:26.60]  就在 2025 年 10 月
[07:28.08]  三星 
[07:29.00]  SK 海力士
[07:30.20]  美光
[07:30.82]  已经相继公布
[07:32.40]  整个 2026 年的 HBM 产能
[07:34.44]  已经全部售罄了
[07:36.20]  而与之相对应的是
[07:37.40]  这三家还都在此前宣布
[07:39.20]  将停产 DDR4 内存
[07:41.16]  全力供应高端内存芯片
[07:43.64]  所以这股涨价潮
[07:44.88]  一时半会儿应该是降不下来了
[07:47.80]  不过 万物都有周期
[07:50.36]  还记得这张图吗
[07:51.96]  虽然御三家退出了 DDR4 市场
[07:54.12]  但中国厂商还在桌上
[07:56.04]  也将量产更新一代的内存
[07:58.28]  所以在普通民用存储领域
[08:00.20]  国产厂商的市场份额
[08:01.64]  势必会继续提高
[08:03.76]  而众所周知
[08:04.84]  只要掌握了一项技术
[08:06.48]  那提产能 走量 卷价格
[08:08.64]  从来都是国产厂商的统治区
[08:11.64]  所以我们相信
[08:12.48]  过不了几年
[08:13.36]  他们肯定能帮家人们
[08:14.72]  把内存条的价格给打下来
[08:18.24]  并开启下一个新的周期
[08:20.60]  到那个时候
[08:21.56]  历史将会再次证明
[08:23.24]  柴司此时高位出手内存条
[08:25.60]  是多么英明神武的商业决策
[08:28.54]  下期见
[08:31.46]  兄弟 要不要内存条
[08:33.34]  刚从电脑上拆下来的
[08:34.64]  还热着呢
[08:35.54]  不要 不要 不要
[08:37.80]  那要不要硬盘
[08:39.44]  99 合一游戏
[08:40.90]  Galgame
[08:41.72]  还有这个3A 大作全部都有
[08:43.66]  怎么付款
