Title     : “我怎么可能得带状疱疹？！”埋在每个人体内的雷，在她身上爆发了【柴知道】
[02:30.67]  但被集体否决了
[02:32.47]  不过说妙龄少女惨遭蛇缠腰
[02:34.84]  确实不太准确
[02:36.07]  因为带状疱疹也可能出现在脸上
[02:38.27]  或者四肢上
[02:39.60]  六月的带状疱疹就是长在右臂上的
[02:41.87]  所以准确来说应该是
[02:43.40]  妙龄少女长出天然大花臂
[02:47.44]  民间还有一个传言
[02:48.68]  说蛇缠腰一圈就会死人
[02:51.01]  但带状疱疹是沿着神经发病
[02:53.28]  而人体的脊神经是从脊柱发出
[02:55.84]  从后背环绕到身前
[02:57.88]  每根脊神经都只会走过半边身体
[03:00.41]  所以疱疹基本不会越过中线
[03:03.08]  这也是六月姐姐感觉自己的身体
[03:05.08]  好像被从正中间划了一条辅助线
[03:07.61]  一边疼死 一边无感的原因
[03:10.81]  在确诊之后 医生给六月姐姐开了药
[03:13.08]  用来抑制病毒 维护神经 止痛
[03:15.88]  还做了红光治疗和抽液
[03:45.19]  所谓的照红光
[03:46.32]  是指用波长 600-700 纳米左右的
[03:48.62]  红色可见光照射皮肤
[03:50.62]  可以缓解炎症
[03:51.75]  促进水疱干燥结痂 加速愈合
[03:54.79]  抽液的作用也类似
[03:56.02]  都属于对症治疗
[04:27.65]  带状疱疹属于一种自限性疾病
[04:30.02]  也就是说你的免疫系统最终能战胜它
[04:33.35]  但这个过程很不好受
[04:34.92]  所以要用各种治疗方法帮你减轻痛苦
[04:37.82]  它们肯定能让你好受一点
[04:40.25]  但 也就只有一点
[04:43.15]  而且 它好得没那么快
[05:21.57]  因为水痘 - 带状疱疹病毒
[05:23.20]  损害的是神经
[05:24.37]  所以就算病毒已经死了
[05:26.07]  还会持续出现神经痛
[05:28.20]  现在距离六月出现症状
[05:29.64]  已经快一个月了
[05:30.74]  水疱已经结痂 快掉完了
[05:33.07]  但她还是有神经痛
[05:58.09]  还有大概十分之一左右的患者
[05:59.65]  在发病超过一个月之后 还会继续疼
[06:02.65]  其中很多人要继续疼 1-2 年
[06:05.25]  也有极少数人
[06:06.25]  会继续疼十几年 甚至几十年
[06:09.32]  但也别太紧张
[06:10.79]  好消息是
[06:11.55]  尽管 99.5% 的人都感染过
[06:14.18]  水痘 - 带状疱疹病毒
[06:15.95]  但在人的一生中
[06:17.32]  带状疱疹的发病风险只有大约 1/3
[06:20.32]  复发率也很低
[06:21.85]  而且大部分带状疱疹的患者
[06:23.42]  都在 50 岁以上
[06:24.65]  年轻人得病的概率很低
[06:27.05]  我们找到了一份柴司所在的
[06:28.79]  北京市昌平区的统计数据
[06:30.82]  可以看到像六月这样
[06:32.47]  25-30 岁的年轻人群中
[06:34.79]  每年每一千个人中只有 2.3 个人
[06:37.52]  会得带状疱疹
[06:39.19]  她就是那 2.3 分之一
[06:40.79]  希望你不是
[06:41.62]  我也太倒霉了吧
[06:44.02]  如果身边有人得了带状疱疹
[06:45.82]  也别害怕 因为它的传染性很低
[06:48.35]  比水痘要低很多
[06:50.25]  而且成年人体内基本都有水痘病毒
[06:52.85]  所以患者除了要避免密切接触小孩子
[06:55.82]  不需要任何的特殊隔离
[06:58.15]  但听完了六月的悲惨故事
[06:59.99]  我们都想提前预防
[07:01.39]  避免成为下一个她
[07:03.25]  所以有没有什么预防办法呢
[07:05.95]  目前唯一的方法
[07:07.15]  就是打带状疱疹疫苗
[07:08.85]  它分为减毒活疫苗和重组疫苗两种
[07:11.99]  都有良好的防御效果
[07:13.72]  相比之下重组疫苗的保护力和价格
[07:15.93]  都更高一些
[07:17.75]  但坏消息是
[07:18.75]  这些疫苗都只面对
[07:20.15]  40 或 50 岁以上的中老年人
[07:23.02]  至于你
[07:24.05]  目前是没地方打疫苗了
[07:26.12]  只能自求多福
[07:27.85]  好在你现在你已经知道了
[07:29.05]  带状疱疹的基础知识
[07:30.55]  一旦出现症状
[07:31.59]  请立刻撒丫子往医院跑 少受点罪
[07:34.89]  所以最后
[07:35.65]  我们衷心地祝大家成为幸运的 2/3
[07:38.79]  一辈子都不会出现带状疱疹
[07:44.34]  不妙啊
[07:45.54]  怎么就碎了呢
[07:49.01]  这病毒这么强
[07:50.69]  我们不会要完蛋吧
[07:52.69]  不会 这说明它帮我们挡住了病毒
[07:55.69]  我们以后都不会生病了
[07:59.39]  这很科学
