Title     : 2025年了，手游渠道服为何还不互通？这事到底有多难？【柴知道】
[02:16.32]  手机点开还能接着打
[02:18.28]  就算是有渠道服的《原神》
[02:20.20]  只要你注册的是官服
[02:21.48]  那也能一个账号横跨
[02:23.16]  苹果 安卓 电脑
[02:24.52]  甚至还能用
[02:25.20]  PS5 和 Xbox 原神启动
[02:28.04]  也就是说
[02:28.96]  “渠道服”的存在
[02:30.00]  根本不是因为“跨平台同服
[02:31.84]  在技术层面有什么难度
[02:33.60]  它完完全全是利益拉扯的产物
[02:36.56]  它们拉扯的焦点
[02:38.00]  就是怎么分你的钱
[02:40.08]  在手游市场刚兴起的那几年
[02:41.84]  智能手机和移动互联网
[02:43.40]  正处于迅猛爆发期
[02:45.08]  每个月都有海量的
[02:46.16]  小白用户拿着新手机
[02:47.76]  不知道该入坑哪个游戏
[02:49.68]  在当时 社交 app 还不发达
[02:51.72]  B 站还全是二次元
[02:53.08]  抖音小红书还没出生
[02:55.12]  手机自带的应用商店
[02:56.52]  就是最强势的流量渠道
[02:58.56]  它可以轻易影响用户看见哪些游戏
[03:00.96]  下载哪些游戏 给谁花钱
[03:03.52]  既然如此
[03:04.36]  这笔钱如果渠道方不抽亿点
[03:06.76]  那像话吗
[03:08.08]  不像话
[03:09.28]  所以顺理成章地
[03:10.36]  手游厂商选择和手机厂
[03:11.92]  应用商店等渠道商合作
[03:14.04]  出一部分流水
[03:15.00]  换取游戏的曝光量和下载量
[03:17.68]  但问题是
[03:18.60]  不同渠道的抽成比例并不一样
[03:21.32]  比如苹果和谷歌
[03:22.44]  常年以来都是抽三成“过路费”
[03:24.60]  而且几乎不提供宣传服务
[03:27.00]  华为 OPPO vivo 等手机厂商
[03:28.92]  则在 2014 年
[03:30.12]  组成了“硬核联盟”
[03:31.44]  统一抽 5 成“过路费”
[03:33.28]  如果需要额外技术服务
[03:34.72]  那还得另外加钱
[03:36.60]  这意味着
[03:37.32]  来自不同渠道的玩家
[03:38.88]  同样氪 648
[03:39.92]  游戏公司拿到手的可能是 648
[03:42.32]  也可能是 453
[03:43.44]  还可能连 324 都不到
[03:45.68]  同时为了吸引更多玩家氪金
[03:47.48]  很多渠道还会推出“限定活动”
[03:49.76]  比如特殊道具
[03:50.64]  充值奖励等等
[03:51.96]  买同样的道具
[03:53.04]  不同渠道要花的钱也可能不同
[03:56.00]  到了这一步
[03:56.80]  在各渠道之间筑起高墙就势在必行了
[04:00.52]  对游戏厂商来说
[04:01.76]  锁渠道服能方便计算收益分成
[04:04.56]  对渠道方而言
[04:05.72]  锁渠道服可以避免自己
[04:07.24]  费尽资源拉新一大批玩家后
[04:09.68]  玩家们却因为
[04:10.56]  其他渠道打折做活动
[04:12.36]  地方充钱的尴尬局面
[04:14.40]  像当年的硬核联盟
[04:15.64]  就只是抽成比例统一
[04:17.24]  但彼此间游戏数据并不互通
[04:19.52]  为的就是把玩家
[04:20.72]  牢牢锁定在自家地盘充钱
[04:23.24]  就算让你数据互通
[04:24.64]  充钱方式也绝不能互通
[04:26.88]  比如苹果
[04:27.60]  就在“App 审核指南”里委婉表明
[04:29.96]  你搞多平台 数据互通 可以
[04:32.64]  但如果有付费项目
[04:33.88]  那用户只能在我这花钱
[04:36.12]  于是就有了《和平精英》的
[04:37.60]  安卓和苹果玩家
[04:39.04]  明明可以一起联机双排
[04:41.08]  却不能互换设备登录的情况
[04:43.56]  就是怕安卓充钱 苹果享受
[04:46.40]  而对于《原神》这种
[04:47.48]  跨平台的游戏
[04:48.64]  苹果干脆直接禁止了 
[04:50.20]  iOS 端的充值小程序
[04:51.64]  和社区充值中心
[04:53.24]  只在 iPhone 上留一条充值入口
[04:55.68]  但上有政策下有对策
[04:57.64]  如果你的原神号
[04:58.72]  是安卓手机注册的
[05:00.28]  那登录 iOS 后
[05:01.44]  那米哈游会直接 ban 掉
[05:02.96]  你的充值功能
[05:04.16]  为的 就是不给库克
[05:05.68]  抽这 30% 的成
[05:07.64]  偶尔有些话语权足够大的游戏公司
[05:10.08]  那也不是不能谈
[05:11.76]  比如当年暴雪的《炉石传说》
[05:13.56]  就能随便充钱随便玩
[05:15.68]  不过对于绝大游戏厂商来说
[05:17.76]  面对现实 也只能锁上渠道服
[05:20.44]  而且人家也有理由的
[05:21.88]  说是为了玩家的游戏体验
[05:24.48]  比如就有 iOS 开发者说
[05:26.20]  苹果平台用户相对高端
[05:28.12]  付费习惯更好
[05:29.28]  氪金能力更强
[05:30.84]  所以对于一些“重氪”游戏来说
[05:32.84]  如果大家在一个服务器玩
[05:34.88]  那很可能会影响 0 氪
[05:36.60]  轻氪玩家的体验
[05:38.40]  另外 由于不同渠道的“物价”不同
[05:40.80]  不同渠道玩家如果同服游戏
[05:42.96]  可能直接摧毁游戏公平性
[05:45.68]  再加上不同渠道的审核标准不同
[05:47.84]  可能同样的道具 活动内容
[05:49.52]  就是没法在个别平台推出
[05:51.60]  有时连版本更新都难以同步
[05:54.32]  既然这么麻烦
[05:55.44]  那还不如锁死渠道服
[05:56.88]  大家都方便
[05:58.64]  什么 你说玩家
[06:01.08]  像小陈这样的跨平台玩家
[06:03.04]  毕竟是少数嘛
[06:04.68]  稍微苦一苦小陈
[06:05.80]  骂名我来背
[06:06.96]  换手机也能玩嘛
[06:08.52]  实在不行
[06:09.28]  你还换同品牌手机嘛
[06:11.92]  对此 小陈表示十分理解
[06:15.96]  所以总体来看
[06:16.84]  狗都不玩的渠道服
[06:18.00]  之所以长期存在
[06:19.56]  是因为不同渠道方和游戏方
[06:21.36]  之间的博弈撕扯所造成的
[06:23.84]  而随着移动互联网生态的变化
[06:25.76]  渠道服正在逐渐式微
[06:28.16]  当年“硬核联盟”的
[06:29.28]  八大手机品牌
[06:30.36]  魅族被收购
[06:31.28]  酷派 努比亚 联想接近“查无此人”
[06:34.20]  曾经估值超过 10 亿美元的
[06:36.08]  第三方应用商店豌豆荚
[06:37.68]  和被百度 19 亿美元收购的
[06:39.76]  91 手机助手
[06:40.88]  更是早就被用户遗忘了
[06:43.16]  各家社交和短视频平台
[06:45.16]  才是当下最强势的流量入口
[06:47.88]  在新的流量生态下
[06:49.16]  游戏公司的品牌认知度越来越强
[06:51.44]  宣传渠道越来越多
[06:53.20]  终于有机会
[06:54.12]  摆脱传统渠道的制约了
[06:56.96]  比如 19 年的《明日方舟》
[06:58.52]  20 年的《原神》
[06:59.72]  因为名声在外
[07:00.64]  在上线时没上架
[07:02.12]  任何一家国内安卓应用商店
[07:04.24]  实现了多端互通
[07:05.52]  并围绕官服运营
[07:07.44]  就算设置渠道服
[07:08.60]  分出去的抽成比例也变少了
[07:10.96]  比如《原神》还开了 
[07:12.00]  B 服和小米服
[07:13.36]  是因为对方不要五成 只要三成
[07:15.84]  还帮忙推广
[07:16.76]  算下来有得赚 所以才开
[07:19.24]  腾讯等游戏厂
[07:20.20]  也在跟手机厂的谈判中
[07:21.88]  压低了价格
[07:23.20]  甚至连苹果和谷歌这俩老大哥
[07:25.64]  也在 21 年前后
[07:27.04]  略微降低了抽成比例
[07:29.60]  不过 这些省下来的抽成
[07:31.72]  可能并不会让你玩游戏时更省钱
[07:34.60]  因为渠道费不会减少
[07:36.20]  只会转移
[07:37.40]  原本交给手机厂商的抽成
[07:39.08]  如今变成了B站抖音小红书上的
[07:41.36]  “花火”“星图”和“聚光”
[07:43.80]  比如“霸气”的网易
[07:44.92]  一边宣称把所谓 15 亿的
[07:46.76]  “渠道分成”当成玩家福利
[07:48.60]  一边又在短视频平台上
[07:50.32]  两个月撒币 3.2 亿做推广
[07:52.64]  让《全明星街球派对》
[07:54.12]  成为当时网易买量投入最多的游戏
[07:57.08]  这钱到底省没省下来
[07:58.88]  咱也不知道
[08:00.52]  但不管怎么说
[08:01.52]  确实有越来越多的游戏
[08:03.08]  不再设置隔离的渠道服
[08:04.76]  开始全平台互通
[08:06.48]  也有越来越多的玩家
[08:07.80]  学会了从官网下载游戏
[08:09.56]  避免被渠道服锁死
[08:11.52]  玩家的待遇
[08:12.36]  开始逐渐向狗看齐
[08:14.16]  甚至比狗更好
[08:16.52]  当然 还是有很多玩家
[08:18.12]  被困在渠道服中出不来
[08:19.96]  而且渠道服的倒闭
[08:21.12]  还会带来新问题
[08:22.76]  就是一些渠道的命
[08:24.24]  甚至比游戏的命还短
[08:25.96]  游戏还火着
[08:26.88]  游戏服务器却要“火化”了
[08:28.64]  迎来“鬼服”或“停服”的命运
[08:31.48]  只有一些幸运儿
[08:32.80]  比如原神米服玩家
[08:34.60]  能在渠道即将关服时
[08:36.16]  得到官方的怜悯
[08:37.28]  获得“转生”的机会
[08:38.68]  并入官服
[08:40.08]  也只有这些玩家
[08:41.28]  能把游戏账号带出旧手机
[08:44.24]  至于玩了 4 年 B 服原神的小陈
[08:46.76]  直到如今
[08:47.60]  还是没等到“转正”的机会
[08:49.96]  尽管他手持最新款 iPhone
[08:51.96]  坐拥 Xbox 和 PS5
[08:54.04]  但还是只能手搓着这台旧小米
[08:56.36]  顶着低画质低帧数
[08:58.04]  跟自己的纸片人老婆凑合着过
[09:05.00]  渠道服 狗都不玩
