Title     : 年轻人也会得肾病？肾透支的真相，比“雄风不再”更可怕【柴知道】
[02:25.32]  占到慢性肾病的 2/3 左右
[02:27.84]  但剩下的 1/3
[02:29.36]  就是肾自己出了问题
[02:31.52]  其中最常见的是 IgA 肾病
[02:33.88]  它是全球发病率最高的
[02:35.48]  原发性肾小球疾病
[02:37.16]  而且特别偏爱亚洲
[02:38.84]  发病率远高于欧美
[02:41.12]  IgA  是指免疫球蛋白A
[02:43.40]  所有人的身体里都有它
[02:45.20]  它相当于你体内的“保安”
[02:46.84]  能在唾液 鼻涕 肠液等地方
[02:49.36]  把细菌 病毒黏住
[02:50.64]  不让它们进到身体里
[02:52.48]  但由于基因等原因
[02:53.80]  一些人的身体里
[02:54.80]  会产生一种结构异常的 IgA 
[02:57.08]  半乳糖缺陷IgA1
[02:59.12]  这种“内鬼保安”
[03:00.16]  会和其他自身的抗体黏在一起
[03:02.44]  包裹成超大的“垃圾球”
[03:04.60]  当这些垃圾球
[03:05.40]  顺着血液流到肾脏时
[03:07.20]  因为体积太大
[03:08.24]  会卡到肾小球的系膜上
[03:10.36]  沉积在肾脏里
[03:11.80]  而这种异常
[03:12.60]  又会“误导”免疫系统
[03:13.92]  持续攻击肾脏
[03:14.88]  引发炎症
[03:15.84]  最终造成肾损伤
[03:17.88]  等到肾脏被伤透了
[03:19.32]  就会进入终末期肾脏病阶段
[03:21.48]  也就是“尿毒症”
[03:23.32]  此时肾脏几乎已经
[03:24.64]  无法承担基本功能了
[03:26.24]  所以身体里的废物 毒素
[03:28.08]  多余的酸和水都无法排出
[03:30.08]  越积越多
[03:30.96]  导致身体“中毒”
[03:32.92]  这时候就只能靠透析
[03:34.88]  也就是外部过滤
[03:35.96]  或者肾移植来维持生命
[03:38.60]  20 到 30岁
[03:39.56]  是 IgA 肾病的发病高峰
[03:41.52]  它也是导致年轻人
[03:42.96]  尿毒症的重要原因之一
[03:45.20]  所以你一旦收到肾脏的求救信号
[03:47.44]  就要尽早治疗
[03:48.48]  千万不要拖
[03:49.80]  那肾脏的求救信号到底是什么呢
[03:52.96]  最典型的就是早上眼睑浮肿
[03:55.28]  或者晚上脚踝肿
[03:56.80]  身上一按一个坑
[03:58.40]  这是因为肾脏
[03:59.16]  无法有效排出钠盐
[04:00.72]  为了维持渗透压
[04:01.80]  身体只好保留更多的水
[04:03.48]  就形成了水肿
[04:05.16]  你的尿液也会出现异常
[04:06.72]  比如像啤酒一样醇厚
[04:08.44]  出现大量细小泡沫且久久不散
[04:11.56]  这是因为尿液中出现了蛋白质
[04:13.28]  改变了它的表面张力
[04:15.04]  而正常的肾小球
[04:16.44]  是不会把蛋白质
[04:17.56]  这种好东西漏出去的
[04:19.24]  为了吸收蛋白质
[04:20.24]  肾小管拼命想把它们
[04:21.80]  重新吸收回去
[04:22.88]  更加过劳
[04:24.12]  而且这些蛋白质本身
[04:25.44]  对肾小管细胞也有生物毒性
[04:27.32]  这就导致了恶性循环
[04:29.64]  所以一旦出现蛋白尿
[04:31.00]  需要尽早就医评估和控制
[04:33.76]  除了蛋白尿
[04:34.52]  你还可能尿出了“可乐”
[04:36.16]  或者“酱油”
[04:37.00]  或者“茶”
[04:38.04]  这些都可能是尿血
[04:40.36]  正常情况下
[04:41.24]  个头很大的红细胞
[04:42.52]  也不会成为漏网之鱼
[04:44.28]  如果尿液都被染深了
[04:46.00]  那就说明肾小球的损伤
[04:47.68]  已经比较严重了
[04:49.52]  当然
[04:50.04]  光靠肉眼判断并不准确
[04:52.24]  比如吃完火龙果
[04:53.44]  也可能会有粉色尿
[04:55.20]  好在常规体检中的
[04:56.28]  尿常规 血常规
[04:57.84]  可以查血肌酐
[04:58.96]  可以查血肌酐 尿素氮等指标
[05:00.28]  都可以更好地评估肾功能
[05:02.56]  而如果要确认是不是 IgA 肾病
[05:04.76]  就必须去医院做“肾穿刺活检”
[05:07.76]  医生会取一小块肾组织
[05:09.60]  在显微镜下观察
[05:11.12]  到底有没有 IgA 免疫复合物沉积
[05:13.64]  才能做出诊断
[05:15.12]  希望大家都是虚惊一场
[05:17.76]  至于肾病的预防方式
[05:19.52]  倒也没什么特别的
[05:21.24]  要避免高血压 糖尿病等
[05:22.68]  所导致的继发性肾病
[05:24.32]  那当然是避免得这些病
[05:26.72]  但如果是像 IgA 肾病
[05:28.32]  这种原发性肾小球疾病的话
[05:31.36]  它发不发病
[05:32.20]  确实不是你能控制的
[05:33.96]  但是 它的进展是可以控制的
[05:36.56]  所以不要恐慌
[05:38.16]  良好的生活习惯可以给肾脏减负
[05:40.48]  控盐控糖 避免长期
[05:42.32]  高负荷的高蛋白饮食
[05:44.20]  适量喝水
[05:45.04]  多运动别熬夜
[05:46.08]  都是在保护肾脏
[05:47.88]  就算是 IgA 肾病
[05:49.36]  也有明确的诊疗路径
[05:51.32]  有 1/3 患者状况很稳定
[05:53.44]  肾功能一直正常
[05:55.12]  其他的患者
[05:55.84]  只要积极就诊
[05:56.72]  认真治疗
[05:57.64]  也有很多可以将病情
[05:59.44]  稳定在可控范围内
[06:01.00]  而且
[06:01.20]  肾脏领域的科学研究
[06:02.36]  一直在快速发展
[06:03.44]  围绕免疫异常
[06:04.52]  炎症通路
[06:05.48]  和肾脏纤维化等等新的治疗靶点
[06:08.44]  也有了相关的新药和新疗法
[06:10.88]  早发现早治疗
[06:12.08]  那都可以维持肾功能
[06:13.68]  尽量避免发展成尿毒症
[06:16.04]  所以 要重视
[06:17.56]  但不要恐慌
[06:19.04]  我们愿你出走半生
[06:20.72]  归来时的尿液
[06:21.88]  仍如少年般清澈透明
[06:24.56]  下期见
