Title     : “体检十年”查不出癌症，癌症筛查还值得做吗？【柴知道】
[08:49.34]  也不意味着癌症筛查没用
[08:51.58]  因为癌症筛查有很多其他手段
[08:53.98]  我们翻查了一些常见癌症的诊疗指南
[08:56.30]  它们都写明了推荐的筛查方案
[08:58.62]  结直肠癌 可以通过肠镜检查
[09:01.06]  胃癌 可以通过幽门螺杆菌检查
[09:03.18]  来降低风险
[09:04.06]  通过胃镜来筛查
[09:05.66]  肺癌 可以通过低剂量螺旋 CT 检查
[09:08.26]  肝癌
[09:08.86]  高危的特定人群比如乙肝患者
[09:11.02]  可以进行超声+AFP监测
[09:13.50]  乳腺癌 可以用乳腺超声检查
[09:15.92]  宫颈癌
[09:16.70]  既可以通过打 HPV 疫苗来预防
[09:19.10]  也可以通过 TCT 等手段筛查
[09:21.54]  我们把常见 有效的手段列在这里
[09:23.74]  需要的话 你可以截图保存
[09:26.72]  但确实
[09:27.46]  没有哪种手段可以简单精准地
[09:29.86]  一次性筛出多种癌症风险
[09:32.06]  加钱啊
[09:33.38]  不不不
[09:34.34]  加钱也不行
[09:35.70]  我们能做到的
[09:36.54]  是把辛苦赚来的几百块钱花在刀刃上
[09:39.38]  用靠谱的手段 去筛查高发的癌症
[09:42.30]  如果你或者家人
[09:43.34]  属于某种癌症的高危人群
[09:44.98]  那还可以针对性地进行定期检查
[09:47.66]  祝各位都能健康长寿
[09:50.06]  下期见
