Title     : 管理100万条数据是怎样一种体验？亲手试试，看华为云RDS有多强？
[03:45.90]  那么我们继续上难度
[03:47.27]  这次我们想要查询所有客户的
[03:49.47]  最近一次订单以及支付状态
[03:51.50]  并按照订单的时间顺序
[03:53.47]  排序返回最近的 50 名下单客户
[03:56.23]  这会涉及到多张表的 JOIN 操作
[03:58.13]  包括客户表 订单表和付款表
[04:00.83]  结果我们看整个查询时间
[04:02.67]  也仅仅只有 68ms
[04:04.30]  依然相当轻松
[04:06.30]  那我们再试一些更复杂的业务逻辑
[04:08.70]  比如我们想查询最近一个月内
[04:10.50]  每个商品类别的销售总额
[04:12.23]  以便后续进货
[04:13.70]  那这次的查询时间是 256ms
[04:16.53]  接着我们查询了平均订单金额
[04:18.87]  高于所有订单平均值的客户
[04:20.93]  还是筛选土豪
[04:22.57]  这要先计算出所有用户的
[04:24.27]  平均订单金额
[04:25.43]  然后再从所有用户中筛选出
[04:27.33]  订单金额大于这个数的人
[04:29.37]  整个查询时间也仅仅只有 37ms
[04:32.77]  看起来这些任务
[04:33.77]  实在难不倒 RDS for MySQL
[04:36.10]  我们让测试同学施展毕生所学
[04:38.13]  来点狠的考验
[04:39.90]  我们想根据消费总额
[04:41.47]  先找出最有钱的前 10 名客户
[04:43.83]  并定位他们最常购买的产品类别
[04:46.17]  方便后续针对性地服务好大客户
[04:49.13]  那这个查询会涉及多张表
[04:51.13]  大量的 JOIN 操作
[04:52.43]  结果呢 也只花了 209ms
[04:54.63]  就完成了查询
[04:56.30]  除了照顾大客户
[04:57.43]  我们还想看看那些
[04:58.37]  已经很久没来下单的非活跃用户
[05:01.10]  我们可以把最近下单时间
[05:02.53]  超过六个月的客户定义为非活跃客户
[05:05.47]  然后看看他们和活跃用户相比
[05:07.77]  对业务的贡献有多大区别
[05:10.03]  这次的查询时间是 235ms
[05:13.03]  在这个拥有接近 100 万条
[05:14.67]  数据的数据库里
[05:15.60]  我们用光了
[05:16.43]  关于数据库查询的毕生所学
[05:18.67]  但所有复杂的查询操作
[05:20.30]  用时也从来没有超过 0.5 秒
[05:22.73]  不服不行
[05:24.23]  最后我们的测试同学疯狂了
[05:25.87]  他把之前用的一个查询
[05:27.17]  封装成一个函数
[05:28.57]  然后连续调用它 100 次
[05:30.67]  可以看到即便这么复杂的查询
[05:32.83]  连续执行 100 次
[05:34.33]  用时也只有 18 秒
[05:35.77]  CPU 利用率只有 2% 出头
[05:37.97]  也就跟我们笔记本电脑
[05:39.37]  待机时的状态差不多
[05:41.57]  除了这些查询测试以外
[05:42.97]  我们也用性能压测工具 Sysbench
[05:45.07]  对数据库做了测试
[05:46.63]  这是在设置为 64 线程时的测试结果
[05:49.10]  这里的 TPS 代表每秒执行的事务量
[05:51.70]  QPS 代表每秒查询的数量
[05:54.23]  可以看到平均 TPS 为 677
[05:56.70]  QPS 更是高达 1.3 万左右
[05:59.23]  足以看出数据库
[06:00.43]  对于高并发场景的性能优势
[06:02.87]  而且 我们这里用的只是试用配置
[06:06.03]  在华为的数据库性能白皮书里
[06:07.83]  还列出了不同 CPU 和内存搭配的
[06:10.07]  性能测试结果 
[06:11.22]  在它的测试场景下
[06:12.63]  TPS 和 QPS 分别能够实现
[06:15.23]  最高 6400 和 12.9 万的恐怖成绩
[06:19.47]  当然 性能只是云数据库服务的
[06:21.80]  一方面而已
[06:22.83]  对于数据库服务来说
[06:24.23]  稳定 安全也至关重要
[06:26.57]  我们可以在 RDS 的云服务
[06:28.20]  监控详情这里
[06:29.23]  看到数据库各项的指标监控
[06:31.30]  并及时收到异常告警
[06:32.93]  而且还可以根据业务需求
[06:34.63]  自定义告警规则
[06:36.17]  而且很多时候
[06:37.07]  这些告警都用不着你自己来处理
[06:39.50]  比如担心磁盘空间不足
[06:41.17]  那可以在实例的页面
[06:42.77]  选择磁盘自动扩容 自动化运维
[06:45.43]  不用劳烦正在喝酒撸串的运维大哥
[06:48.33]  这也是 RDS for MySQL 相对于
[06:50.47]  本地数据库的另一种优势
[06:52.30]  不管是性能 还是存储等不够用
[06:54.67]  那都可以随时随地
[06:55.87]  根据实际需求变更扩容
[06:57.90]  成本低 弹性强
[06:59.97]  而且华为云 RDS for MySQL
[07:01.77]  还采取了多部署架构和容灾方案
[07:04.83]  确保数据库随时可用
[07:06.43]  库表可恢复到任意时间节点
[07:08.90]  你可以通过自动备份功能
[07:10.37]  方便地备份和恢复数据
[07:12.13]  不用担心数据丢失带来意外损失
[07:15.33]  所以相比于自建数据库来说
[07:17.07]  RDS for MySQL 提供的
[07:18.70]  不光是更强的性能
[07:20.27]  还有更弹性 稳定 省心的体验
[07:23.57]  当然 一些小团队可能觉得
[07:25.47]  RDS for MySQL 这么强的性能
[07:27.30]  目前还用不上
[07:28.53]  那可以考虑更轻量级的
[07:30.17]  Flexus 云数据库 RDS
[07:32.37]  它同样提供了开箱即用的体验
[07:34.67]  也支持数据扩容 备份等功能
[07:36.87]  性价比很高
[07:37.77]  很适合中小企业和个人开发者
[07:40.43]  我们也帮你体验过了
[07:41.63]  它的性能也很够用
[07:43.33]  而且可以无缝升级到
[07:44.73]  标准版 RDS for MySQL
[07:46.67]  不用担心未来业务增长之后出现瓶颈
[07:49.67]  这一点很重要
[07:50.67]  虽然我们是小团队 但出来混
[07:53.27]  谁还不怀着一个做大做强的梦想呢
[07:56.37]  如果你有需要的话
[07:57.37]  可以看看华为双 11 期间的
[07:59.17]  云数据库专场
[08:00.47]  赶一波新客专享优惠
[08:02.97]  最后 作为一家小团队
[08:04.83]  我们深知大家都面对着类似的问题
[08:07.30]  我们财力和人手有限
[08:09.07]  只好把资源集中在主业上
[08:11.33]  其他的事情 最好能交给
[08:13.10]  简单 高效 稳定 性价比高的
[08:15.37]  外部服务来解决
[08:16.67]  而不是投入大量成本
[08:18.10]  慢慢摸索 从 0 搭建
[08:20.27]  从这个意义上来说 每家小公司
[08:22.57]  都高度依赖一个健全 完善的
[08:24.90]  商业基础设施体系
[08:26.73]  高速的互联网 便捷的物流
[08:28.73]  广泛覆盖的通讯 协作工具
[08:30.87]  以及我们今天介绍的
[08:32.23]  稳定 易用 可靠的云服务等等加在一起
[08:35.50]  才共同构成了这一基础设施
[08:38.13]  它们就像水和电一样
[08:39.57]  略显枯燥 容易被忽视
[08:41.73]  但却真实地支持了无数企业
[08:44.07]  和员工的发展与成长
[08:46.13]  希望中国未来的商业基础设施
[08:48.37]  能越筑越牢
[08:49.83]  下期见
