Title     : 磁带是怎么记录你的青春的？它为什么适合盗版？【柴知道】
[02:48.68]  挑选一盒
[02:49.43]  擦除掉它
[02:50.33]  再录自己的声音
[02:51.50]  Hello
[02:52.03]  My name is Wang huasheng
[02:53.24]  Nice to meet you  
[02:53.87]  那磁带是怎么被擦除的呢
[02:57.10]  复读机里还有一个擦除磁头
[02:59.00]  当你按下录音键时
[03:00.57]  擦除磁头会产生一个高振幅
[03:02.57]  高频率的交流磁场
[03:03.93]  把磁化材料打乱
[03:05.40]  那王心凌的声音就被抹掉了
[03:08.03]  而你的声音
[03:08.77]  会通过一个内置的话筒
[03:10.30]  被擦除磁头后面的录音磁头接收
[03:12.77]  再录到刚刚被擦掉的磁带上
[03:15.37]  这样一来
[03:16.17]  王心凌的声音
[03:17.37]  就变成了你的英语作业
[03:19.79]  当然 你肯定舍不得用
[03:21.40]  王心凌的磁带
[03:23.30]  为了防止你一不小心手抖
[03:25.10]  造成不可挽回的后果
[03:26.70]  很多磁带上还做了
[03:27.83]  防擦除的巧妙设计
[03:29.70]  就是这两个东西
[03:31.10]  如果这两个地方空着
[03:32.43]  就说明磁带只能播放
[03:34.17]  不能录制
[03:35.50]  因为此时磁带机里的
[03:36.67]  这根录音杠杆被挡住了
[03:38.60]  就算你硬按录制按钮也按不下去
[03:41.57]  但如果哪天你长大了
[03:42.93]  不承认自己喜欢过甜心教主了
[03:44.83]  要封心锁爱的话
[03:46.40]  那只要用胶带把这个东西遮住
[03:48.43]  就能按下录制按钮
[03:49.73]  抹除掉关于她的一切
[03:52.53]  对了 虽然磁带的音质
[03:54.00]  比不上今天的设备
[03:55.33]  但不同的磁带也有音质高下之分
[03:57.93]  这就是传说中的
[03:59.24]  菜鸡互啄
[04:01.00]  磁带一共分四类
[04:02.10]  其中最常见的是“一类带”
[04:04.13]  它的磁性材料是氧化铁
[04:05.80]  特点是底噪较大
[04:07.10]  中低音较好
[04:07.97]  高音表现稍差一些
[04:09.73]  比较适合录音流行音乐
[04:11.70]  我们小时候听的盗版带
[04:13.10]  或者说市面上的绝大多数磁带
[04:14.93]  都是一类带
[04:16.23]  “二类带”的主要材料
[04:17.27]  是二氧化铬或者二氧化钴
[04:18.97]  它高音比较好
[04:20.00]  中低音差一些
[04:21.53]  “三类带”是先涂一层氧化铁
[04:23.50]  再涂一层二氧化铬
[04:25.00]  但由于工艺复杂而且成本高
[04:27.13]  三类带没有得到市场的认可
[04:28.80]  所以发行的数量很少
[04:30.83]  “四类带”也叫“金属带”
[04:32.57]  它的磁性涂层是非氧化金属粉末
[04:35.17]  录出来的歌动态范围大
[04:36.90]  低中高音表现都非常出色
[04:39.13]  当然也是最贵的
[04:40.20]  基本上只在发烧友圈子中流行
[04:42.00]  我是没见过了
[04:44.43]  除了磁带外
[04:45.30]  当年的磁带机也玩出了花
[04:47.90]  我这种穷孩子小时候用的复读机
[04:50.17]  有播放 录音 快进 快退功能
[04:52.17]  基本就差不多了
[04:53.70]  而有钱人家的孩子
[04:55.13]  当年就用上了更高级的随身听
[04:58.13]  我们斥重金买了一台二手的 
[05:00.03]  1994 年的索尼 Walkman 
[05:01.50]  它当年的发售价要 27000 日元
[05:04.00]  相当于 1994 年的
[05:05.30]  人民币 2278 元
[05:07.83]  它不需要手动翻磁带
[05:09.50]  而是用自动翻面功能
[05:11.50]  它也不需要手动快进 快退找歌
[05:13.90]  而是有一个“自动找歌”功能
[05:15.80]  只要按下快进键
[05:16.83]  它就会自动找下一首歌的开头
[05:19.77]  按下倒带键
[05:20.63]  它就会回到一首歌的开头
[05:23.10]  它甚至还搭载了杜比降噪功能
[05:25.53]  我们试了一下
[05:26.37]  是真的能听出来
[05:27.50]  降噪和没降噪的区别
[05:29.13]  可惜很难通过视频给你展示
[05:32.30]  我小时候真没见过
[05:33.60]  这么多功能的磁带机
[05:35.00]  我们查资料的时候发现
[05:36.60]  索尼其实推出过
[05:37.57]  很多奇怪的随身听
[05:39.30]  比如在 1983 年推出了
[05:40.67]  第一款防水随身听
[05:42.00]  1986 年推出了
[05:43.17]  第一款带有线控的随身听
[05:45.20]  还有这些带收音机 全透明外壳
[05:47.33]  太阳能时钟等等功能的随身听
[05:49.40]  让人眼花缭乱
[05:51.53]  当然 不管磁带和 Walkman 
[05:53.23]  等随身听当年玩出了多少花样
[05:55.40]  有多辉煌
[05:56.33]  后来都在 CD 和流媒体的冲击下
[05:58.73]  烟消云散了
[06:02.13]  但也别急着给磁带唱挽歌
[06:03.83]  比如聪明的你可能听过
[06:05.53]  作为一种存储介质
[06:07.00]  磁带仍然在数据备份领域
[06:08.90]  发挥着重要作用
[06:10.53]  很多商业公司
[06:11.33]  在备份数据时都会采用一个
[06:13.17]  名为 3-2-1 的备份原则
[06:15.33]  也就是素材至少要保留三份副本
[06:18.03]  将它们存在两种不同类型的介质上
[06:20.70]  其中至少一个备份
[06:21.88]  要存在与其它备份不同的地理位置
[06:24.57]  而不同类型的储存介质中
[06:26.53]  就有磁带的一席之地
[06:28.63]  不过呢 它并不是
[06:30.10]  你小时候听歌的磁带
[06:31.80]  人家现在长这样
[06:33.00]  里面是这样的
[06:34.93]  相对于寿命只有十几年的硬盘来说
[06:37.40]  磁带的存档寿命可以达到 30 年
[06:40.03]  储存容量和传输速度也都不错
[06:42.60]  更重要的是
[06:43.32]  价格也不算贵
[06:44.63]  比如 45TB 的磁带合人民币
[06:46.70]  差不多是 640 块钱
[06:48.03]  平均每 TB 也就 14 块
[06:49.83]  便宜到飞起
[06:51.70]  不过 你也别指望拿它存个人数据
[06:54.40]  除非你愿意额外给它配个
[06:56.20]  四万多块钱的磁带机
[06:58.37]  没想到这么多年过去了
[06:59.97]  我还是买不起别人家的磁带机
[07:03.03]  相比于流媒体 CD
[07:04.70]  甚至是黑胶来说
[07:06.10]  磁带在今天都已经格外落伍
[07:08.53]  我们甚至找不到有哪些歌手
[07:10.37]  或者乐队还在发行磁带
[07:12.70]  我想从表哥那里借他
[07:13.97]  当年收藏的那一堆孙燕姿磁带
[07:15.70]  用来拍视频
[07:16.77]  结果当然是
[07:18.17]  找不到了
[07:23.73]  从千禧年开始
[07:24.93]  磁带逐渐淡出了主流音乐储存介质
[07:27.60]  你开始用 CD机 MP3 云音乐
[07:31.10]  随着我们这一代人念书 搬家
[07:33.13]  上大学 毕业 打工
[07:34.97]  磁带们不断丢失
[07:36.37]  或者被遗忘在了
[07:37.33]  家里某个阴暗的角落吃灰
[07:39.80]  可能已经受潮 损坏
[07:41.57]  再也播不出音乐了
[07:44.03]  但你知道
[07:44.83]  它曾经承载过
[07:45.97]  你一段无忧无虑的青春时光
