Title     : 一群草台班子，让 99% 的门禁卡都在裸奔：如何破解门禁卡？【柴知道】
[04:55.86]  这
[04:56.50]  就是所谓的“半加密卡”
[04:59.12]  那“半加密卡”
[05:00.42]  能被复制吗
[05:02.16]  当然可以
[05:03.80]  而这背后的草台班子
[05:05.30]  是 M1 卡的原始设计方
[05:07.50]  恩智浦
[05:09.00]  它们在 M1 的设计中
[05:10.10]  留下了一个重大漏洞
[05:11.60]  让“半加密”就等于不加密
[05:14.36]  这个漏洞
[05:15.20]  跟“随机数”有关
[05:17.02]  如果想进入加密区块
[05:18.60]  M1 卡会向读卡器
[05:19.90]  发送一串明文随机数
[05:21.52]  读卡器会利用密钥
[05:22.76]  UID 
[05:23.10]  随机数
[05:23.82]  通过一种叫 Crypto1 
[05:25.10]  的算法算出密文
[05:26.32]  再发给 M1 卡
[05:28.00]  M1 卡解码验证无误后
[05:29.42]  会把刚才的随机数左移 8 位
[05:31.36]  再加密发过去
[05:32.70]  读卡器也解码验证无误
[05:34.70]  这样双方互相完成验证
[05:36.32]  就能进入加密扇区
[05:38.32]  看起来很科学对吧
[05:39.70]  但问题是
[05:40.90]  M1 卡发送的这个随机数
[05:42.70]  并不是真正的随机
[05:44.80]  它是在利用一种叫
[05:45.90]  LFSR 的设备来生成伪随机数
[05:48.60]  生成的是一串有规律的数列
[05:50.70]  而且不断循环
[05:52.32]  这导致的结果是
[05:53.52]  只要有任意一个扇区
[05:54.80]  用了默认密钥
[05:55.96]  让双方完成了一次验证
[05:57.82]  那攻击者就可以通过
[05:59.30]  M1 卡两次发送的结果
[06:01.12]  推算出整个 LFSR 的运行状态
[06:03.80]  精准计算之后
[06:04.90]  任意时间的随机数
[06:06.62]  这下完了
[06:07.82]  在进入真正的加密区块时
[06:09.62]  攻击者会诱骗卡片
[06:10.92]  发送一个随机数
[06:11.92]  用“密钥流”加密后发过来
[06:13.82]  此时攻击者
[06:14.56]  已经知道了这个随机数
[06:15.92]  也收到了密文
[06:16.96]  而中间这个用于
[06:18.02]  加密的这个密钥流
[06:19.26]  本身也是 LFSR 
[06:20.70]  利用密钥 UID 随机数
[06:22.62]  所生成的一串乱码
[06:23.92]  它和密钥之间是有联系的
[06:25.72]  这样一来
[06:26.46]  只要收集到
[06:27.32]  足够多的密钥流样本
[06:28.96]  就可以反推出密钥
[06:30.46]  进入加密扇区
[06:31.52]  彻底破解整张卡
[06:33.56]  这种方式
[06:34.36]  被称为 
[06:35.02]  Nested Authentication
[06:36.76]  “嵌套攻击”
[06:38.50]  由于嵌套攻击的存在
[06:40.02]  M1 卡中只要有任何一个区块
[06:42.26]  用了默认密码
[06:43.46]  那整张卡的加密
[06:44.62]  都会像多米诺骨牌一样
[06:46.46]  被彻底推倒
[06:47.72]  完全暴露
[06:49.52]  所以
[06:50.50]  “半加密”的 M1 卡
[06:51.82]  就等于不加密
[06:53.70]  这么严重的漏洞
[06:54.82]  恩智浦不知道吗
[06:56.76]  当然知道
[06:57.62]  而且还推出过修补款
[06:59.90]  但为时已晚
[07:01.30]  各种便宜大碗的国产的“兼容卡”
[07:03.16]  早就占领了市场
[07:04.62]  它们原汁原味地
[07:05.66]  复刻了 M1 卡所有算法
[07:07.66]  包括漏洞
[07:08.46]  并一直延续至今
[07:10.36]  像设计师小姐姐的这张电梯卡
[07:12.16]  也在几秒钟内就被机器破解了
[07:14.46]  依然可以随便复制
[07:16.50]  那手机行不行呢
[07:18.46]  我们拿四台手机
[07:19.46]  用它们自带的钱包 APP 
[07:20.96]  分别复制了这张“半加密卡”
[07:23.12]  再用外接设备
[07:23.92]  去读取它们复制到的数据
[07:25.90]  结果发现
[07:26.70]  这几年发布的
[07:27.62]  OPPO
[07:28.06]  小米
[07:28.50]  VIVO
[07:28.96]  都可以破解密码
[07:30.10]  完全复制
[07:31.50]  只有一台 2019 年发布的
[07:33.22]  老华为手机
[07:34.32]  选择了只复制 UID
[07:35.82]  没有去破解加密扇区的数据
[07:38.46]  所以我们推测
[07:39.42]  现在的绝大多数手机
[07:40.96]  想破解 复制这种半加密卡
[07:43.10]  都没问题
[07:44.22]  既然如此
[07:45.02]  那如果我们把每个扇区的
[07:46.90]  默认密码都改掉
[07:48.16]  做成“全加密卡”
[07:49.86]  那它会安全吗
[07:51.96]  怎么说呢
[07:52.96]  这么一来
[07:53.76]  手机和普通设备
[07:55.22]  确实是无法破解它了
[07:57.16]  但只要加几十块钱
[07:58.36]  上个“高端设备”
[07:59.90]  它仍然会被破解
[08:01.62]  这是因为 M1 核心加密算法
[08:03.76]  “Crypto1 ”
[08:04.50]  在十几年前就被攻破了
[08:07.02]  2008 年
[08:07.82]  荷兰的研究团队发表论文
[08:09.66]  完全复原了 Crypto1 算法的细节
[08:12.36]  这意味着 M1 卡被彻底攻破
[08:14.92]  随后各种用于
[08:15.70]  破解的开源工具 硬件
[08:17.46]  都出现了
[08:18.90]  所以毫不夸张地说
[08:20.12]  时至今日
[08:21.12]  所有的 M1 卡
[08:22.32]  无一例外
[08:23.52]  全都是在裸奔
[08:25.02]  不过
[08:26.06]  裸奔
[08:26.82]  并不意味着你可以
[08:27.96]  轻松逃脱物业的制裁
[08:30.70]  比如柴司同事芭乐老家沈阳的小区里
[08:33.50]  用电梯要刷电梯卡
[08:35.16]  每年都要交钱续卡
[08:37.02]  她曾经用手机
[08:38.06]  成功复制了家人的电梯卡
[08:40.12]  结果原卡失效了
[08:41.66]  又只能灰溜溜地跑去物业交费补卡
[08:44.66]  这是因为物业用了
[08:45.86]  “滚动码”技术
[08:46.90]  也就是电梯卡和读卡器每通讯一次
[08:49.76]  就会修改一次卡片的内部信息
[08:52.22]  相当于下次就换了一个暗号
[08:54.90]  而用手机复制并刷卡之后
[08:56.70]  原卡的信息在系统里就过时了
[08:59.10]  只好去补办
[09:00.02]  让物业又挣一笔
[09:01.90]  你看
[09:02.72]  一旦涉及到钱
[09:04.10]  草台班子也会立刻专业起来
[09:07.10]  如果是银行卡
[09:08.10]  交通卡
[09:08.66]  燃气卡等等
[09:09.56]  对安全性要求更高的卡
[09:11.76]  那它们根本就不用 M1 方案
[09:14.36]  它们里面内置了CPU 芯片
[09:16.30]  所以也叫 CPU 卡
[09:18.02]  采用了完全不同的安全机制
[09:19.70]  无法被破解
[09:21.30]  可惜啊
[09:22.22]  无法修改银行卡余额了
[09:25.42]  OK
[09:26.06]  如果看到了这里
[09:27.42]  那门禁卡的奥秘
[09:28.70]  你就已经了解了
[09:30.36]  不出意外的话
[09:31.22]  这会是我们蛇年的最后一期
[09:33.32]  非广告视频
[09:34.72]  我们提前祝各位春节快乐
[09:36.50]  预祝你和我们自己
[09:38.32]  在新的一年里
[09:39.46]  能像解码机一样
[09:41.02]  去勇敢地直面每一道难题
[09:43.10]  推开每一扇看似打不开的门
