Title     : 杀虫剂科学选购指南！耗资150只蟑螂果蝇和16款杀虫剂~【柴知道】
[01:37.95]  心肠之狠毒
[01:39.55]  然后决定亲自试试
[01:40.80]  看看是不是真的管用
[01:42.45]  当然
[01:43.22]  如果你不想看到真的虫子
[01:45.10]  那也可以跳转到这里
[01:46.42]  虽然会损失一定的乐趣
[01:48.17]  但并不影响正常观看
[01:50.12]  好 有请柴司小陈
[01:52.58]  为了真正测试一下
[01:53.67]  不同杀虫剂的实际效果
[01:55.83]  我们在某宝上
[01:56.97]  买来了刚刚提到的
[01:58.03]  所有类型的杀虫剂
[01:59.67]  然后又想办法搞来了
[02:01.08]  50 只樱桃蟑螂
[02:02.33]  和 100 只残翅果蝇
[02:03.88]  分别做了简易的测试实验
[02:06.58]  结果发现
[02:07.40]  在对付果蝇时
[02:08.68]  这四款杀虫剂效果拔群
[02:10.72]  稍微一喷
[02:11.62]  果蝇就两腿一蹬
[02:13.15]  去往了另一个世界
[02:14.85]  而这三款效果就不咋地了
[02:17.05]  喷完后放了半天
[02:18.65]  瓶子里的这些小可爱们依然活蹦乱跳
[02:22.30]  但这三款杀虫剂
[02:23.35]  本身其实并没有问题
[02:25.10]  只是它们的起效方式有些不同
[02:27.35]  这几瓶效果立竿见影的叫“触杀剂”
[02:30.40]  就是只要接触虫子身体表面就能起效
[02:33.05]  讲究一个快捷高效
[02:34.93]  而后面这几瓶叫“胃毒剂”
[02:37.10]  要等虫子把它们吃下去
[02:39.20]  进入消化系统后才开始发挥作用
[02:41.68]  起效更慢
[02:42.68]  但效果更持久
[02:44.62]  霍霍完了果蝇
[02:45.72]  接下来开始对付蟑螂
[02:47.22]  我们分别使用了这两款杀虫喷雾
[02:49.57]  和这三款不同机制的杀虫饵剂
[02:51.97]  先跟蟑螂说声对不起
[02:56.53]  结果发现
[02:57.68]  和果蝇的实验结果非常类似
[03:00.18]  杀虫喷雾相比杀虫饵剂起效更快
[03:02.68]  杀灭效果更明显
[03:04.28]  淋了药的蟑螂们
[03:05.53]  一开始表现得十分兴奋
[03:07.03]  手舞足蹈
[03:08.32]  然后在几分钟内
[03:09.53]  逐渐失去了活力
[03:10.68]  最终安心逝去
[03:12.82]  而这些嗑药的蟑螂
[03:14.43]  似乎完全不受毒素影响
[03:16.35]  全程大快朵颐
[03:17.95]  过了差不多有半小时
[03:19.65]  这两瓶蟑螂中才开始出现被害者
[03:22.25]  而最后这瓶蟑螂
[03:23.35]  实验过了快两个小时
[03:25.50]  依然安然无恙
[03:26.75]  很难不让人怀疑是不是买到了假药
[03:29.47]  好的 让我们交还给汪花生
[03:31.75]  实验做得很辛苦
[03:33.10]  我们从中可以看出
[03:34.50]  喷雾比饵剂效果好不少
[03:37.05]  但为什么现在我们能买到的
[03:39.05]  大部分蟑螂药
[03:40.05]  都被设计成了饵剂呢
[03:42.12]  要回答这个问题
[03:43.35]  就要说到选择杀虫剂的第二个关键
[03:46.03]  剂型
[03:47.32]  剂型指的是杀虫剂的药剂形式
[03:50.07]  最主要的有这四种
[03:51.93]  最常见的杀虫喷雾
[03:53.53]  属于气雾剂或者喷射剂
[03:55.38]  它的有效成分主要是各类菊酯
[03:57.93]  主要以“触杀”的方式
[03:59.43]  消灭明面上的虫子
[04:00.95]  尤其是飞虫
[04:02.18]  不同菊酯在效果上有一定的差别
[04:04.78]  我们简单整理了一下
[04:06.28]  你可以暂停截图保存
[04:08.57]  一般来说
[04:09.50]  大部分气雾剂中的有效成分含量
[04:11.60]  都相对较低
[04:12.75]  使用过程十分安全
[04:14.50]  但它们其实有一些问题
[04:16.75]  比如残留时间相对较短
[04:18.62]  部分有效成分遇光容易分解
[04:20.75]  所以如果没拉窗帘
[04:22.15]  效果可能会打折扣
[04:23.90]  还有
[04:24.50]  它们的触杀效果
[04:25.80]  基本取决于你喷得到不到位
[04:28.00]  如果你喷的不够
[04:29.15]  犄角旮旯没喷到
[04:30.35]  或者是房间门没关
[04:31.80]  那效果就不好说了
[04:33.73]  所以你可能会发现
[04:35.15]  虽然每次喷药都能杀掉一大批虫子
[04:37.80]  但总会有漏网之虫
[04:39.50]  过不了多久
[04:40.32]  它们就会卷土重来
[04:42.10]  所以如果要想斩草除根
[04:44.43]  单纯使用气雾剂可能不行
[04:46.73]  你需要再试试另外两种
[04:48.77]  一种是水乳剂
[04:50.38]  有时也叫悬浮剂
[04:52.07]  你在某宝某东上搜“下水道杀虫剂”
[04:54.52]  出来的就是它
[04:55.82]  另一种是饵剂
[04:57.48]  也就是我们前面实验用到的
[04:59.48]  这几种蟑螂药
[05:00.98]  水乳剂的有效成分也是各类菊酯
[05:03.77]  它主要用来杀灭各种虫子的幼虫
[05:06.55]  你可以把它倒进地漏
[05:08.00]  洗手池 马桶
[05:09.05]  和你家任何一处通向下水道的通道里
[05:11.75]  尽可能从源头上抹灭它们的存在
[05:15.00]  至于饵剂杀灭的对象
[05:16.82]  主要是蟑螂和蚂蚁
[05:18.50]  它常见的有效成分有这几种
[05:20.75]  至于具体哪种效果好
[05:22.60]  主要取决于你家的虫子
[05:24.07]  进化到什么地步了
[05:25.23]  耐药性有多强
[05:26.60]  一般来说
[05:27.70]  含有呋虫胺或吡虫啉的新烟碱饵剂
[05:30.27]  就足够好用了
[05:31.65]  但之前实验中我们都已经看出来了
[05:34.15]  饵剂起效慢
[05:35.20]  那为什么还要用它呢
[05:37.10]  因为它可以主动吸引虫子前来送死
[05:39.85]  而且具有连环效果
[05:41.73]  当一只蟑螂服毒自杀后
[05:43.70]  其他蟑螂会分食这只蟑螂的尸体
[05:46.10]  然后跟着中毒身亡
[05:47.68]  由此一传十 十传百
[05:49.40]  非常适合对付蟑螂这种
[05:50.95]  跑得快 躲得深
[05:52.27]  还喜欢群居生活的虫子
[05:54.82]  至于最后的蚊香
[05:56.57]  作为最经典 古老的杀虫手段
[05:59.02]  蚊香的效果是不是最好的不好说
[06:01.62]  但它的问题
[06:02.52]  肯定是最多的
[06:03.98]  蚊香在燃烧时
[06:05.38]  会释放出许多超微颗粒
[06:06.98]  并产生额外的有害物质
[06:08.52]  危害健康
[06:09.98]  如果是在密闭空间中使用蚊香
[06:11.93]  还可能引发一氧化碳中毒
[06:14.10]  所以如果要买蚊香
[06:15.50]  那么建议你选择无烟蚊香
[06:17.50]  或干脆直接买电热蚊香液
[06:20.10]  它们的有效成分都一样
[06:21.65]  主要都是这两种菊酯
[06:23.20]  能提供相对持久的防蚊效果
[06:25.85]  最后
[06:26.55]  你可能会发现
[06:27.70]  所有这些杀虫剂
[06:28.88]  看原理看宣传
[06:30.43]  都说自己是 killer
[06:31.85]  但实际一用
[06:33.15]  都是没用的 faker
[06:34.55]  这又是为什么呢
[06:36.35]  很可能是因为耐药性
[06:38.62]  人类虽然发明出了这么多杀虫剂
[06:41.05]  但考虑到安全或成本等因素
[06:43.23]  真正常用的杀虫剂就这么几种
[06:45.82]  在它们的筛选下
[06:47.32]  时间一长
[06:48.12]  虫子们就变得更耐药
[06:49.73]  有的还学会了躲避杀虫剂
[06:52.10]  想要对付这些成精的虫子
[06:54.18]  最好的办法
[06:55.27]  就是选用成分更新 更复杂的杀虫剂
[06:58.62]  如果是用气雾剂或水乳剂时
[07:01.15]  你可以考虑买含有呋虫胺
[07:02.77]  这类新烟碱成分的杀虫剂
[07:04.65]  或是使用了
[07:05.48]  多种菊酯成分的复方杀虫剂
[07:07.95]  在对付蟑螂时
[07:09.38]  如果发现一种成分的杀虫饵剂不好使
[07:11.80]  那就换另外一种成分的试试
[07:13.60]  多管齐下
[07:15.10]  对了
[07:15.65]  肯定有很多朋友担心
[07:17.10]  杀虫剂会不会危害人的健康
[07:19.45]  但其实你能买到的家用卫生杀虫剂
[07:22.00]  都属于“微毒”或“低毒”的标准
[07:24.60]  如果是饵剂或水乳剂
[07:26.65]  只要不直接接触就没事
[07:28.62]  就算是气雾剂
[07:29.82]  其实也不用担心
[07:31.32]  实在不放心的话
[07:32.32]  喷完出去就行
[07:34.15]  但是
[07:35.07]  出去时请记得带上你的猫
[07:38.23]  养猫的朋友务必注意
[07:40.02]  不要用除虫菊酯类杀虫剂
[07:42.25]  因为猫无法有效代谢拟除虫菊酯
[07:45.07]  会和虫子们一样中毒
[07:47.15]  从这个角度来说
[07:47.95]  你说猫是虫好像也可以
[07:51.27]  如果家里有猫
[07:52.27]  那还是建议选择新烟碱类杀虫剂
[07:54.82]  或者干脆就算了吧
[07:55.95]  你都能忍受猫毛和猫便便了
[07:57.85]  还在乎什么虫啊
[07:59.88]  最后
[08:00.70]  我们把本期视频提到的要点
[08:02.43]  都总结在了这里
[08:03.80]  希望这期视频
[08:04.65]  还有这 150 只蟑螂和果蝇
[08:06.90]  能帮你选到合适的杀虫剂
[08:08.55]  住得舒服一些
[08:09.80]  喜欢的话
[08:10.95]  记得三连支持一下
[08:12.12]  下期见
[08:14.85]  毛毛
[08:16.76]  好好看看
[08:17.91]  看看人家是怎么抓虫的
[08:19.91]  好好学学
[08:21.03]  认真学啊
[08:22.51]  学会了没有
[08:23.46]  试一试啊
