Title     : 我们给AutoGPT写了个插件，手把手带你玩新工具~【柴司ChaiCo】
[05:19.52]  搜索引擎的 API 结合爬虫工具
[05:22.48]  让 GPT 模型能够上网
[05:24.98]  根据需要获取信息
[05:26.75]  实现了如虎添翼的效果
[05:28.85]  总之 AutoGPT 所做的
[05:30.85]  就是预先设定一套标准化的 prompt
[05:33.62]  明确定义 AI 的身份和目标
[05:36.05]  然后根据不断获取的信息
[05:38.90]  在设定好的行动列表中
[05:40.65]  自动做出选择 执行任务
[05:43.02]  在执行任务的过程中
[05:44.95]  因为 AI 能够获取外界的信息
[05:47.50]  所以能一定程度上克服
[05:49.35]  ChatGPT 的局限性
[05:50.88]  有更大的潜能
[05:52.40]  那么 AutoGPT 真的像这些
[05:54.40]  文章和视频说的那样
[05:56.27]  会彻底颠覆我们与 AI 的互动方式吗
[05:59.88]  至少从目前来看
[06:01.40]  还有很长的距离要走
[06:03.57]  从原理来看你现在也知道
[06:05.73]  AutoGPT 仍然调用的是 GPT 的 API
[06:08.73]  你不能指望它比 ChatGPT 
[06:10.98]  多了什么跨越式的 buff
[06:12.93]  对于增加的上网功能
[06:14.70]  虽然能让 GPT 更有潜力
[06:16.85]  但限制仍比你想得要多
[06:19.45]  比如最理想的情况
[06:21.00]  当然是你想了解哪个作者
[06:23.27]  就让 AI 在全网搜集这个作者的全部资料
[06:26.70]  然后整理成一份详尽的文档交给你
[06:29.73]  但目前 AutoGPT 
[06:31.25]  获取外界信息的主要方式
[06:33.35]  还是搜索引擎 API 
[06:35.46]  返回的网页结果
[06:36.82]  然后从这些网页总结信息
[06:39.45]  它现在还很难从书籍等渠道获取资料
[06:42.88]  即便把所有资料都摆在面前
[06:45.20]  由于输入数据长度的限制
[06:47.70]  它现在只能把信息截取一段段地总结
[06:51.65]  虽然很多时候这也够用了
[06:53.80]  但想要让它独自完成一个系统性的研究
[06:57.23]  发现资料与资料之间的联系
[06:59.80]  提取出新的洞察 还是很困难
[07:03.20]  从 AutoGPT 主打的自动化
[07:05.77]  这个角度来看
[07:07.10]  少了人类的反馈
[07:08.70]  是好是坏还真不一定
[07:11.60]  如果你经常用 ChatGPT 你就会知道
[07:14.60]  它时不时就会胡说八道
[07:16.85]  或许给你一段看似正确
[07:19.05]  但其实充满 Bug 的代码
[07:21.38]  但 ChatGPT 的好处
[07:23.43]  是它知错就能改
[07:24.50]  只要你告诉它哪儿不对
[07:26.57]  那通常过个两三轮对话
[07:28.38]  它就能告诉你正确的答案
[07:30.80]  而现在 AutoGPT 让 AI 自己去迭代
[07:34.23]  效果只能说是喜忧参半
[07:37.55]  最后 还有一个很现实的问题是
[07:39.88]  AutoGPT 需要调用的是
[07:41.62]  OpenAI 官方的 API
[07:43.35]  但每次调用 API 都是有成本的
[07:46.00]  轻度虽然问题不大
[07:47.90]  但想要让它长时间自动运行下去
[07:51.05]  还是得小心你的账单
[07:53.52]  虽然说了这么多不足
[07:55.11]  但我们对于 AutoGPT 的未来
[07:56.95]  还是有一些期待的
[07:58.32]  不仅是因为它带给了 GPT 模型
[08:00.60]  更多的可能性
[08:01.73]  还加上它本身作为一个开源项目
[08:04.68]  有很多的开发者
[08:06.07]  包括我们自己
[08:07.30]  都希望在现在的基础之上一点一点地
[08:10.30]  改善和增加新的功能
[08:12.38]  像我们刚开始写稿子的时候
[08:14.80]  AutoGPT 的代码结构
[08:16.18]  跟稿子写完的代码结构
[08:18.15]  都已经发生了很大的变化
[08:20.27]  现在有的一些局限
[08:21.93]  或许就能在未来某个版本得到改善
[08:25.18]  更重要的是
[08:26.38]  你能够感受到
[08:27.50]  在 ChatGPT 出现之后
[08:29.38]  基于 GPT 模型的整个应用生态
[08:31.82]  正在井喷式发展
[08:33.42]  AutoGPT 也好
[08:34.45]  或者其他什么 GPT
[08:36.05]  就像是手机应用商店里的一个个 App
[08:38.80]  它们不断迭代更新
[08:40.58]  不断有新应用涌现
[08:42.42]  并且随着基础模型性能提升
[08:45.20]  也在变得越来越强大
[08:46.50]  越来越好用
[08:47.75]  到时候限制我们的
[08:49.48]  可能只是我们的想象力而已
