Title     : 人死之后会再社死一次吗？你在网上的秘密守得住吗？【柴知道：人生大题】
[03:50.37]  就有点麻烦了
[03:51.57]  比如 Q 币
[03:52.97]  根据充值协议
[03:53.97]  Q 币不能兑换成现金
[03:55.53]  也不能转账交易
[03:57.03]  但 Q 币可以在不同 QQ 间流转
[03:59.20]  具有一定的财产属性
[04:00.83]  如果闹上法庭
[04:01.83]  那是有可能拿到这些 Q 币的
[04:04.60]  除了 Q 币以外
[04:05.63]  你的游戏道具或者游戏账号
[04:07.57]  也具有一定的财产属性
[04:09.50]  比如这把“金刀”
[04:10.60]  不仅承载了两位男士在游戏中的夫妻情谊
[04:13.63]  还能值五万块钱
[04:14.97]  由游戏中的伴侣和现实中的伴侣平分
[04:19.73]  不过
[04:20.63]  钱 或者游戏道具都是身外之物
[04:23.50]  真正承载你虚拟人格的
[04:25.20]  是你在各种账号里留下的过往
[04:27.83]  那么
[04:28.53]  它们能被继承
[04:29.63]  或者交给亲人吗
[04:31.83]  不能
[04:33.50]  之前说过
[04:34.37]  越接近“财产”的东西 越容易继承
[04:36.80]  而越接近于“隐私”的东西
[04:38.60]  就越不应该被继承
[04:40.43]  你在平台上的账号 密码
[04:42.43]  发过的疯 暴露过的癖好
[04:44.60]  都属于你的个人隐私 无法被继承
[04:47.53]  比如这位徐先生在车祸离世后
[04:49.97]  妻子想保留他的 QQ
[04:51.53]  整理邮箱中从恋爱到结婚期间的信件 照片
[04:55.23]  但最终也未能如愿
[04:57.53]  实际上
[04:58.23]  即使是游戏大神的账号
[05:00.20]  或者是超级微商的微信号
[05:02.17]  也无法通过正规手段转移给亲人
[05:05.00]  如果无法通过二次验证
[05:06.83]  那么这些记载了我们人生过往的消息 照片
[05:10.03]  就只能躺在冷冰冰的服务器上
[05:12.40]  拒绝所有赛博扫墓者的祭奠
[05:15.23]  那么 它们最终的命运将会如何呢
[05:19.73]  很简单
[05:20.50]  你的支付宝 淘宝等账号会永久沉寂
[05:23.23]  落满赛博灰尘
[05:24.73]  再也没有人知道你买了什么东西
[05:26.57]  发了什么消息
[05:28.13]  而 QQ 微信 小红书等账号
[05:30.80]  在落灰一段时间后可能会重新复活
[05:33.77]  交给另一位跟你天人相隔的陌生人使用
[05:37.10]  如果你泉下有知
[05:38.57]  记得跟 TA 问个好
[05:41.23]  无论是不做处理 还是回收再利用
[05:43.83]  账号背后的故事都会无人知晓
[05:46.83]  但随着时代的发展
[05:48.03]  你也有机会昭告天下
[05:49.73]  给自己立一座“赛博墓碑”
[05:52.33]  如果有亲友申请
[05:53.57]  你在这些平台上的账号
[05:55.20]  可以转换为“纪念账号”
[05:57.30]  纪念账号一般仅供瞻仰
[05:59.03]  比如微博规定
[06:00.17]  纪念账号不能登录 发布或删除内容
[06:03.17]  B 站也一样
[06:04.13]  同时充电和打赏等功能也会被关闭
[06:07.03]  想收赛博帛金是行不通的
[06:09.90]  不过
[06:10.57]  纪念账号也需要家属主动申请才行
[06:13.63]  很少有亲属会想到这一茬
[06:15.23]  所以截至今年 2 月份
[06:16.90]  B 站上只有 19 个纪念账户
[06:19.33]  绝大多数账号的结局
[06:20.83]  就是静静地离去
[06:22.93]  这就是死亡之后
[06:24.17]  我们在虚拟世界里所有遗物的结局
[06:27.50]  故事画上句号
[06:28.77]  光鲜与尴尬都会归于沉寂
[06:31.60]  财产留给他人 继续烟火人间
[06:37.20]  最后 我想讲一个自己亲历的故事
[06:41.07]  十几年前
[06:41.83]  当我还在备战高考的时候
[06:43.70]  一位同班同学因为急性脑膜炎猝然离世
[06:47.37]  但他的 QQ 账号一直留在我们的班群里
[06:49.97]  偶尔还会亮起来
[06:51.37]  只是从不说话
[06:53.03]  我后来才知道
[06:54.00]  那是他的爸爸借着这个 QQ
[06:56.30]  来看看自己的孩子原本会拥有怎样的人生
[07:00.23]  这是我第一次意识到
[07:01.70]  我们在网络上的身份
[07:03.33]  以数字形式留下的痕迹
[07:05.50]  也是“遗物”的一种
[07:07.43]  而遗物
[07:08.33]  只有对于最关心你的人来说才有意义
[07:11.33]  他们希望通过你留在虚拟世界里的痕迹
[07:14.23]  更好地怀念你
[07:15.90]  而其他人对此
[07:17.17]  要么毫无兴趣
[07:18.50]  要么避之不及
[07:20.33]  在生前对那些会在我们葬礼上
[07:22.57]  哭泣的人好一些
[07:24.40]  至于死后的事 就随它去吧
[07:31.30]  感谢你看到这里
[07:32.37]  这是《柴知道：人生大题》系列的
[07:33.85]  第一期节目
[07:35.73]  生老病死
[07:36.73]  还有亏钱 生育 离婚 养老
[07:40.20]  是每个人都要面对的人生大题
[07:42.70]  但这些知识学校不教
[07:44.23]  在我们亲身经历之前
[07:45.93]  每个问题对我们来说都像是开盲盒
[07:48.73]  那么在这个系列中
[07:49.77]  我们会研究这些跟每个人都有关的议题
[07:52.63]  跟大家一起更好地面对生活
[07:55.37]  有兴趣的话欢迎关注我们
[07:57.00]  下期见
