Title     : 真心话：你真的需要智驾吗？5年后，你的智驾还能用吗?【柴知道：车圈化简】
[06:01.06]  英伟达的智驾芯片的算力变化
[06:03.19]  这是激光雷达的线束数量
[06:04.52]  探测距离等指标的变化
[06:06.32]  它们给人的感觉就像是
[06:07.69]  之前处于爆发期的智能手机
[06:10.26]  今年的新旗舰
[06:11.32]  等到明年就落伍了
[06:13.56]  而且更要命的是
[06:15.12]  智能驾驶的技术路线也在持续摇摆
[06:18.12]  比如之前大家都依赖
[06:19.49]  高精地图的数据来指导智驾
[06:21.69]  但后来发现城市路况变化太快
[06:23.93]  地图成本太高
[06:35.06]  所以各大厂商在 2023 年纷纷转向
[06:37.39]  依赖车辆自己感知外界环境的
[06:39.52]  “无图模式”
[06:40.69]  那这就对硬件和感知算法
[06:42.16]  提出了全新要求
[06:43.99]  另外目前主流的智驾方案
[06:46.09]  是把算法分为几个不同的模块
[06:48.49]  主要依靠大量人工规则来指导汽车
[06:51.49]  但这几个月
[06:52.39]  主流车企又开始
[06:53.46]  顺着特斯拉的脚步
[06:54.79]  扭头做“端到端”
[06:56.52]  也就是把所有数据
[06:57.62]  都交给一个统一的
[06:58.73]  AI 大模型来处理
[07:00.16]  那很显然
[07:00.93]  这又对汽车的算力
[07:02.26]  和软硬件架构提出了全新的要求
[07:05.59]  可以说 智能驾驶技术的变化速度
[07:08.52]  比柴司的视频更新速度都要快一点
[07:11.89]  既然如此
[07:12.69]  你当下买的车
[07:13.79]  真的能战未来吗
[08:24.69]  我本来觉得
[08:25.52]  作为跟各个厂商关系密切的大 V
[08:28.06]  韩路老师可能会委婉一点地
[08:29.66]  稍微地端个水
[08:31.06]  没想到他这么直白
[08:32.59]  他甚至觉得
[08:33.66]  现在的车
[08:34.49]  可能 2 年后就不会再有大更新了
[09:46.73]  当然 我们谁都没办法判断
[09:48.73]  未来的具体情况
[09:49.92]  只能说这两年想买车的朋友
[09:52.19]  要认清自己的实际需求后再下单
[09:55.16]  在这方面
[09:55.89]  我觉得 Sheldon 老师
[09:57.16]  就想的非常清楚
[09:58.80]  你觉得它 5 年的这个时间周期内
[10:01.88]  它能够实现一个城市驾驶
[10:04.74]  达到你的水平吗
[10:43.73]  我觉得如果你跟 
[10:44.62]  Sheldon 老师一样
[10:45.59]  知道智能驾驶能在哪些场景
[10:47.79]  多大程度上帮助你
[10:49.49]  抱有正确的期待
[10:50.56]  认清自己的需求
[10:51.66]  而不是完全被各种宣传带着跑
[10:54.09]  那无论怎么买
[10:55.19]  都不会错
[10:56.19]  最后 我们也帮大家
[10:57.56]  问了一下韩路老师
[10:58.86]  他觉得目前在买车的时候
[11:00.79]  到底应该怎么看待智驾
[12:26.44]  最后 感谢你看到这里
[12:28.01]  也很感谢这几位
[12:29.17]  接受我们采访的朋友
[12:32.03]  当然 我们能在线下沟通的人数有限
[12:34.90]  所以如果你对智驾有什么看法
[12:36.67]  可以在评论区里补充
[12:37.93]  给其他朋友提供更多的参考
[12:40.27]  如果你有其他好奇的科技问题
[12:41.97]  也可以在评论里提出
[12:43.43]  说不定就会成为我们的视频选题
[12:46.10]  下期见
[12:47.90]  你说这期录完之后会不会
[12:49.33]  接不到智驾的广告了
[12:51.17]  你是说你还是我
