Title     : 1个功能9种写法，“智能驾驶”怎么这么乱？8分钟理清“智能驾驶”！【柴知道】
[05:19.37]  并不是每座城市都能用
[05:21.27]  所以如果你买智驾版
[05:22.63]  是图这项功能的话
[05:24.13]  那还是要认真看看
[05:25.60]  这款车到底提不提供
[05:27.17]  “城市领航”的功能
[05:28.67]  现阶段是否支持你所在的城市
[05:31.57]  “城市领航”
[05:32.33]  正是如今各家车企争夺的领域
[05:34.93]  他们所谓的“开城”
[05:36.13]  就是在比拼谁能以更快的速度
[05:38.33]  在更多的城市提供领航服务
[05:40.37]  覆盖更多用户
[05:42.13]  目前的智能驾驶
[05:43.27]  肯定还处于一个高速发展的阶段
[05:45.37]  没有那么成熟
[05:49.20]  正因为如此
[05:50.03]  各路大哥也经常在
[05:51.33]  技术或理念展开一些“友好交流”
[05:54.60]  不过虽然技术上存在分歧
[05:56.37]  但在商业模式上
[05:57.60]  各家厂商却达成了高度的一致
[05:59.97]  令人拍案叫绝
[06:01.27]  全面拥抱互联网时代
[06:02.77]  手机软件怎么收钱
[06:04.00]  车机软件就怎么收钱
[06:05.93]  所以有一部分智驾功能
[06:07.37]  被做成了“内购”的付费包
[06:09.23]  需要掏几万块钱升级才能解锁
[06:12.03]  还有一些智驾功能
[06:13.13]  被做成了“订阅”模式
[06:14.83]  需要每月扣款才能使用
[06:17.40]  对了 还有一些功能目前还没做完
[06:19.77]  需要跟手机一样
[06:20.93]  等待后续的 OTA 推送
[06:22.53]  升级系统
[06:23.23]  才能增加新功能
[06:25.03]  当然 这个新功能也不一定是免费的
[06:28.57]  所以 即使你买了一辆
[06:30.13]  有智驾功能的车
[06:31.60]  并不意味着你就拥有了
[06:33.03]  一套完整的智能驾驶系统
[06:35.27]  这就跟花钱买手机一样
[06:37.23]  硬件是都有了
[06:38.73]  但可能只提供基础软件
[06:40.57]  bug 也没修完
[06:42.17]  要想体验完整 进阶的功能
[06:44.53]  那是另外的价格
[06:47.07]  请问 这合理吗
[06:49.40]  我们觉得这不太合理
[06:50.80]  但并没有人在乎我们的意见
[06:53.33]  所以 在挑智驾系统时
[06:55.13]  除了关注技术 功能以外
[06:57.23]  也记得看一下付费方案
[06:58.87]  它关系到你未来的用车成本
[07:01.37]  毕竟技术再好
[07:02.67]  舍不得用那都等于 0
[07:04.93]  讲到这里
[07:05.63]  智能驾驶的定义 主要功能
[07:07.37]  和付费方案
[07:08.27]  我们就搞清楚了
[07:09.73]  而不管你是否要为它花钱
[07:11.63]  智能驾驶都毫无疑问
[07:13.07]  是未来的发展方向
[07:14.87]  截止 2023 年上半年
[07:16.57]  L2 级别的智驾车型
[07:18.17]  市场渗透率已经达到了约 40%
[07:21.17]  在 2023 年 11 月份
[07:22.77]  四大部门还下发了一份
[07:24.33]  L3 L4 车型的准入试点通知
[07:27.23]  这意味着更高级别的自动驾驶车型
[07:29.53]  离上路也不远了
[07:31.77]  时代的车轮滚滚向前
[07:33.57]  而今天的这趟车
[07:34.77]  是智能汽车
[07:36.03]  要想上车 
[07:37.17]  记得交钱
[07:41.27]  感谢你看到这里
[07:42.40]  这期我们介绍的主要是
[07:43.51]  关于智驾的基础概念
[07:45.33]  很快我们还会制作一期更深度的
[07:47.64]  关于领航功能的科普内容
[07:49.84]  喜欢的话 记得点击关注
[07:51.48]  一键三连支持我们
[07:52.51]  也可以去看看我们之前
[07:53.88]  做过的关于车的内容
[07:55.85]  如果你有好奇的问题
[07:57.02]  也可以在评论区留言
[07:58.51]  也许它会成为我们的下一期选题
[08:00.98]  下期再见
[08:02.43]  老板 你看好自动驾驶的前景吗
[08:06.19]  我们大 V
[08:07.52]  都是会提前拿到一些内部技术的
[08:10.19]  我的敞篷车自动驾驶已经实现了
[08:13.02]  带你去看看
[08:13.93]  走走
[08:16.89]  小蓝小蓝
[08:17.93]  开启自动驾驶模式
[08:19.82]  好的主人
