Title     : 路见不平颠颠晃晃，怎么让车更稳亿点？
[03:13.57]  服务员不能立刻倒水
[03:15.00]  而是要先请示店长
[03:16.18]  等店长同意后通知经理
[03:17.78]  经理同意后再告诉领班
[03:19.38]  最后再由领班指挥服务员给客人倒水
[03:22.00]  这时客人早就吃完饭走人了
[03:24.82]  很多情况下
[03:25.82]  「扭矩调节系统」
[03:26.62]  就是这样的一个餐厅
[03:28.25]  虽然确实能调节扭矩
[03:29.90]  但环节太多 反应太慢
[03:32.00]  调节速度跟不上路况变化
[03:33.85]  所以实际体验并不够好
[03:36.75]  那么 有没有什么办法
[03:38.30]  能更快地调节扭矩
[03:39.60]  真正地解决这个问题呢
[03:41.70]  在今年 9 月
[03:42.60]  问界 M5 EV 的发布会上
[03:44.53]  华为给出了一个方案
[03:45.85]  「动态自适应扭矩系统」
[03:47.57]  也就是 DATS 系统
[03:49.28]  它能更为精准快速地控制轮胎扭矩
[03:52.00]  让汽车在颠簸路面上
[03:53.75]  实现「遥遥领先的平稳」
[03:56.03]  HUAWEI DATS 之所以
[03:57.12]  说自己「遥遥领先」
[03:58.47]  是因为它将电动机与整车
[04:00.28]  做了更深度的融合
[04:02.21]  利用电机控制单元
[04:03.38]  直接获取电机信号
[04:05.01]  感知路面情况
[04:06.62]  然后直接「指挥」
[04:07.88]  电动机改变输出扭矩
[04:09.55]  每次响应耗时只需要 0.004 秒
[04:12.35]  比传统燃油车的
[04:13.32]  响应速度提升了 100 倍
[04:14.93]  比传统新能源车也提升了 25 倍
[04:17.88]  这能让问界 M5 EV 
[04:19.48]  在多种复杂路面上
[04:20.95]  最大程度地减少颠簸和冲击感
[04:23.32]  保持车辆平稳
[04:24.48]  提供更好的驾乘体验
[04:26.23]  目前在世界范围内
[04:27.80]  只有华为和特斯拉两家拥有这项技术
[04:30.98]  除了保持平稳外
[04:32.32]  DATS 还有一个优势
[04:33.70]  更省电
[04:35.05]  车如果一直匀速跑
[04:36.65]  就算速度快
[04:37.45]  那也可以很节能
[04:38.65]  但城市道路中的实际状况是
[04:40.60]  不光速度上不来
[04:41.60]  还总会遇到红绿灯 堵车等情况
[04:44.12]  车主需要不断地踩下或松开电动踏板
[04:46.85]  一会儿减速刹车
[04:48.07]  一会儿启动加速
[04:49.35]  在这个过程中
[04:50.35]  电机的动力输出无法及时响应
[04:52.62]  会有大约 0.5~1s 的延迟
[04:55.48]  所以有时候车主踩下踏板想加速
[04:58.07]  但车速没来得及变化
[04:59.82]  车主会以为
[05:00.57]  是不是自己没踩够
[05:01.82]  于是又多踩一点
[05:03.15]  等车反应过来
[05:04.38]  车速一下子上去了
[05:05.77]  车主才发现踩过头了
[05:07.55]  于是又踩松一点
[05:08.60]  把速度降回去
[05:09.77]  这多出来的一踩一松
[05:11.48]  就造成了不必要的能量浪费
[05:14.45]  同样的情况也会发生在减速过程中
[05:17.05]  减速刹车时
[05:18.20]  电动车会将多余的动能重新回收
[05:20.60]  转化为电能
[05:21.52]  用于增加续航
[05:22.88]  但因为车辆减速过程响应延迟偏高
[05:25.82]  那么车主也可能以为
[05:27.20]  自己松的踏板还不够多
[05:28.60]  于是再多松一点
[05:29.65]  这就影响了电能的回收效率
[05:31.77]  有时为了更快地减速
[05:33.40]  车主也可能会直接踩下刹车
[05:35.25]  这时动能会快速转变为
[05:36.70]  刹车片的热能而大量流失
[05:38.75]  这还会造成更多浪费
[05:40.68]  而 HUAWEI DATS 系统
[05:42.02]  采用了动力线性化设计
[05:43.82]  有更快的动力输出和回收响应速度
[05:46.43]  在踩下或松开电门的 0.2~0.3s 内
[05:49.50]  车速就能灵敏响应
[05:50.85]  避免了不必要的松踩过程
[05:52.69]  节约了能量
[05:54.32]  除此之外在减速时
[05:55.98]  车主只需要操作单个踏板
[05:57.77]  就能及时降低车速
[05:59.43]  减少了主动踩刹车的频次
[06:01.60]  这也进一步节约了能量
[06:03.93]  此外 在使用单踏板减速时
[06:06.07]  车并不会最终刹停
[06:07.57]  而是会保持大约 2km/h 的速度
[06:10.12]  低速蠕行
[06:11.33]  只有当踩下刹车时
[06:13.02]  车主才能将车刹停
[06:14.52]  更加符合传统的驾驶习惯
[06:17.00]  根据城市路况中实测的数据
[06:18.88]  它大概能省下 10% 的能耗
[06:21.40]  多不多看你怎么想了
[06:22.75]  但关键时刻说不定能让你多跑一段
[06:26.15]  作为一套软件技术
[06:27.52]  HUAWEI DATS 会持续更新
[06:29.18]  在无须升级硬件的情况下
[06:31.31]  每辆搭载 HUAWEI DATS 系统的汽车
[06:33.21]  也能通过软件 OTA 升级
[06:35.09]  享受到持续的体验优化
[06:39.75]  从诞生以来
[06:40.80]  汽车行业一直在不断迭代
[06:42.50]  有很多厂商在硬件上做改进
[06:44.52]  也有华为这样的厂商在软件上发力
[06:47.00]  DATS 以及其他各种各样的新技术
[06:49.30]  「软硬兼施」
[06:50.43]  到底会把汽车改造成什么面貌
[06:52.57]  会是未来最有想象力的领域之一
[06:55.15]  当然 希望未来的汽车们
[06:57.18]  不管怎么变成什么样
[06:58.25]  都能像这台四驱车一样
[06:59.85]  给人们带来持久的快乐
