Title     : 用ChatGPT写科普稿是一种怎样的（痛苦）体验？【柴司ChaiCo】
[02:29.97]  很可能就会成为对方的盘中餐
[02:32.40]  看到这 我大概知道为啥 ChatGPT
[02:34.97]  会认为这种小动物求偶时
[02:36.80]  会给对方送食物了
[02:38.33]  类似的错误
[02:39.20]  在 ChatGPT 生成的回答中比比皆是
[02:42.00]  如果我照单全收
[02:43.47]  那么要么是被老板开除
[02:45.87]  要么被观众喷到退网
[02:47.87]  然后再被老板开除
[02:50.07]  之所以说 AI 会让人失业
[02:52.27]  但确实也没想到
[02:53.80]  ChatGPT 是以这种方式让我失业的
[02:56.70]  当然你可能会说
[02:58.00]  ChatGPT 本来就是生成模型
[03:00.13]  不能保证输出内容的正确性
[03:02.20]  没错 那么我来换一个 New Bing
[03:04.90]  它现在也是用了 GPT-4 引擎
[03:06.87]  而且可以实时联网检索最新的知识
[03:09.73]  还能给出资料来源
[03:11.37]  如果它能给出比较靠谱的回答
[03:13.73]  那么确实也是一个写稿查资料的利器
[03:16.67]  但可惜啊
[03:19.17]  跳蛛 舞蛛这种问题可能太复杂
[03:21.77]  我先从一些简单的问题入手
[03:23.87]  比如我们的文章中讲到
[03:25.60]  长颈鹿在求偶时会用脖子相互攻击
[03:29.13]  一些研究者认为在漫长的演化过程中
[03:32.20]  长颈鹿之所以有长脖子
[03:34.40]  主要就是为了求偶而不是获取食物
[03:37.27]  这并不算是个新的假说了
[03:39.40]  如果用搜索引擎来查这个问题
[03:41.53]  你能看到不少相关的文章
[03:43.57]  但如果你去问 New Bing
[03:45.67]  在经过漫长的等待后
[03:47.60]  它可能会简单的告诉你
[03:48.97]  达尔文提出的一个假说
[03:51.10]  但这时你新开一个窗口
[03:53.13]  换一种问法
[03:54.40]  长颈鹿的脖子为什么这么长
[03:56.70]  New Bing 可能会给你一段非常详细的回答
[03:59.13]  作为一个人类
[03:59.97]  我实在不知道这两个问法
[04:02.00]  有什么不一样
[04:03.10]  然后我回到刚才的窗口
[04:04.87]  去问 New Bing 这个问题
[04:06.20]  得到的答复是
[04:08.13]  我刚刚已经回答了这个问题
[04:10.30]  你有没有其他的问题
[04:11.90]  或者想要聊天的话题
[04:14.90]  其实我本来就不指望直接让 ChatGPT
[04:17.50]  生成稿件
[04:18.55]  最大的指望
[04:19.70]  就是让 ChatGPT 或者 New Bing 
[04:21.27]  帮我完成资料收集这些复杂的
[04:23.22]  脏活累活
[04:24.80]  但目前来看它交出的活我根本不敢用
[04:27.43]  还得一个一个地做事实核查
[04:29.80]  脏活累活还得自己干
[04:31.83]  指望它们帮我生成一篇完整的稿子
[04:34.17]  是没戏了
[04:35.10]  那有没有可能
[04:36.07]  我给出一段段具体详细的需求
[04:38.27]  然后让 ChatGPT 来帮我生成内容
[04:41.27]  我再做编辑呢
[04:42.83]  答案 是可以
[04:44.47]  但不完全可以
[04:45.97]  这一部分的训练过程十分复杂
[04:47.83]  就不展示过程了
[04:48.80]  直接看结果吧
[04:50.17]  我写完的稿子长这样
[04:52.27]  正文中所有的修订内容
[04:53.77]  都是我自己编辑的
[04:55.20]  这一段段话大多也不是 ChatGPT
[04:57.40]  一次性告诉我的
[04:58.77]  有些可能是我开了好几个 chat 和模型
[05:01.10]  从 N 多个回答中
[05:02.63]  摘几个能用的短句拼凑起来的
[05:05.10]  可能比 B 站
[05:05.97]  很多鬼畜视频的“活字印刷术”还碎
[05:08.50]  我回想起我入行时写的第一篇稿子
[05:10.90]  最终的成品
[05:11.97]  跟我的初稿唯一的不同是处处不同
[05:14.87]  除了主题一样剩下就没有任何关系了
[05:18.02]  哎
[05:18.85]  我现在终于能理解当时
[05:20.67]  给我改稿的那位同事的心情了
[05:22.80]  而目前的 ChatGPT 或者 NewBing
[05:25.00]  是一个比当时的我
[05:26.50]  还要更弱一些的“实习生”
[05:28.27]  如果你带过实习生的话就会知道
[05:30.47]  经常把活交给实习生还不如自己做
[05:33.47]  因为“教会他”比“自己做”更麻烦
[05:36.17]  还不一定教的会
[05:37.60]  而且如果最后搞砸了
[05:39.50]  肯定还是你来担责
[05:41.17]  负责善后和擦屁股
[05:43.03]  目前来看
[05:44.00]  ChatGPT 十分擅长写一些
[05:46.02]  没营养的片汤话
[05:47.00]  但如果想用 ChatGPT 
[05:48.43]  做一些比较高级的创作
[05:50.00]  就是这种感受
[05:51.37]  当然 也可能是我们使用工具的水平
[05:53.67]  还不够高
[05:54.57]  如果你调教的更好
[05:56.20]  那么
[05:57.02]  能不能私信一下教教我
[05:59.87]  最终这份脚本稿的截图长这样
[06:01.67]  我把这份稿子也放到文档中
[06:03.30]  可以在后台回复「ChatGPT」获取
[06:05.83]  在用 ChatGPT 写稿的过程中
[06:07.77]  我也顺手测试了一下
[06:08.87]  ChatGPT 一些其他的功能
[06:10.63]  比如总结文档 视频内容之类的
[06:13.10]  目前来看还不足够可用
[06:15.40]   比如有网友用基于 GPT-3 引擎的
[06:17.69]   AI 工具
[06:18.57]  总结我们「流感」这条视频的主要内容
[06:21.00]  但这 10 条内容中
[06:22.23]  有 6 条出现了或大或小的错误
[06:24.60]  如果以评论区网友给我们
[06:26.10]  挑错的细致程度来说
[06:27.77]  这些错误足以让我们删号退网了
[06:30.80]  当然剩下 4 条都是对的
[06:32.70]  这是不是很强
[06:34.20]  确实已经挺强了
[06:35.67]  但目前离"好用"甚至"可用"
[06:37.89]  还有一段距离
[06:39.07]  因为对于我们来说
[06:40.23]  如果它的错误率不足够低
[06:42.17]  那就意味着它输出的每一个知识点
[06:44.83]  我们都仍然需要逐条反查
[06:47.20]  这其实就等于从头再来干一遍
[06:49.23]  那还是不敢用它
[06:50.83]  所以
[06:51.17]  其实我们也很希望像观众问的那样
[06:53.30]  用 ChatGPT 帮我写科普稿
[06:55.97]  但很遗憾目前还不行
[06:58.07]  不过
[06:58.43]  我觉得这跟科普稿本身的性质有关
[07:00.67]  就是它太注重“准确性”了
[07:02.57]  而恰巧现在 ChatGPT 最大的问题之一
[07:04.83]  就是准确度不足
[07:06.20]  但如果拿它写一些其他的内容
[07:08.37]  目前已经足够可用了
[07:09.97]  比如
[07:10.30]  我们经常会在微博上接一些直发广告
[07:13.10]  你知道 那些广告的话术需求都特别硬
[07:15.63]  特别套路
[07:16.47]  也不涉及什么知识 纯宣传语
[07:18.70]  所以现在遇到广告主找我们写
[07:20.43]  写 140 字硬广的时候
[07:22.00]  我们就直接用 ChatGPT 写了
[07:23.57]  真挺好用的
[07:25.07]  至于准确性这个问题
[07:26.37]  还想讲一些题外话
[07:27.97]  就是最近 ChatGPT 太过火爆
[07:29.83]  以至于它给我的生活和工作
[07:31.47]  带来了不少困扰
[07:32.50]  甚至于说降低了工作和沟通的效率
[07:34.90]  举个例子
[07:35.87]  我是一个围棋爱好者
[07:37.37]  我有个朋友在写一篇小说
[07:39.17]  里面涉及到围棋比赛的情节
[07:41.20]  他需要弄明白
[07:42.20]  围棋比赛时具体是怎么计时的
[07:44.60]  他先去问了 ChatGPT
[07:45.97]  获得了一个看似靠谱的回答
[07:47.70]  跑来向我求证
[07:49.10]   我先是粗略一看
[07:50.27]  觉得说的貌似有点道理
[07:52.37]  但细细研读下发现
[07:53.82]  这玩意根本就是胡扯
[07:55.23]  前言不搭后语
[07:56.60]  然后我还得详细地给他解释一番
[07:58.57]  ChatGPT 究竟错在哪里
[08:00.37]  正确的情况应该是怎样的
[08:02.83]  如果没有 ChatGPT 或者 new bing
[08:04.80]  他需要做的事情是什么
[08:06.37]  要么自己用搜索引擎查一查
[08:08.83]  要么直接过来问我
[08:10.43]  无论是哪一种
[08:11.50]  我都至少可以省下来
[08:12.83]  研读 ChatGPT 错误答案的时间
[08:14.90]  类似的工作
[08:15.67]  在我与其他同事沟通稿子的时候
[08:17.30]  也会出现
[08:18.30]  ChatGPT 经常会生成一个貌似正确
[08:20.50]  实则狗屁不通的回答
[08:22.10]  然后就需要花费额外的时间
[08:24.83]  挑出其中的错误
[08:26.30]  所以 ChatGPT 等工具
[08:28.17]  目前“胡说八道”频率比较高的问题
[08:30.37]  确实也让我们比较困扰
[08:31.83]  如果我们在之后的使用中
[08:33.37]  发现能够提高它回答可靠性的手段
[08:35.67]  也会跟大家分享
[08:37.57]  好的 以上就是我在用 ChatGPT 
[08:39.70]  真正创作一篇
[08:40.63]  科普稿之后的一些感想
[08:42.37]  总的来说如果你要问我好不好用
[08:44.77]  说实话 除了能更加理直气壮地摸鱼外
[08:47.63]  我实在想象不到目前 ChatGPT 
[08:49.63]  能完全帮我写稿或者查资料
[08:52.30]  那准确性的问题以后会解决吗
[08:54.50]  我个人其实没有那么乐观
[08:56.30]  这主要是语料库的问题
[08:57.87]  比如现在大家经常能看到程序员说
[09:00.07]  ChatGPT 能帮助他们写代码 改bug
[09:02.57]  我也见过一些零代码基础的人
[09:04.27]  靠 ChatGPT 写浏览器插件的例子 
[09:06.57]  然后就有人据此推断
[09:08.30]  未来 ChatGPT 能搞定内容准确性的问题
[09:11.77]  我觉得这可能有一点一厢情愿了
[09:14.07]  这是因为
[09:14.67]  计算机行业的绝大多数资料
[09:16.40]  恰好本身就是数字化的
[09:18.30]  可以很方便的检索到
[09:20.10]  ChatGPT 学习起来也方便得多
[09:22.30]  但三百六十行里
[09:23.57]  可能只有计算机行业能做到这一点
[09:26.10]  绝大多数行业学科
[09:28.07]  都还有海量资料未曾被数字化
[09:30.57]  或者说无法被搜集检索
[09:32.60]  就更别提喂给它学习了
[09:34.57]  你可能会说
[09:35.40]  那我们广撒网
[09:36.47]  把国家图书馆里全部的书扫描一遍
[09:38.90]  OCR 后喂给 AI 不就行了
[09:41.10]  这里又会涉及到一个版权问题
[09:43.20]  如果作者不希望 AI 去收录自己的书
[09:45.97]  然后替代自己呢
[09:47.43]  那在这些领域
[09:48.57]  AI 的准确性问题不会那么轻易解决
[09:51.60]  但如果你问我 ChatGPT 好不好玩
[09:53.97]  我会激动地说“真不错”
[09:56.23]  在我获得 ChatGPT Plus 测试资格的第二天
[09:58.87]  我就找在美国工作的朋友帮我充了钱
[10:01.83]  说实话 我觉得不亏
[10:04.20]  到目前为止
[10:05.17]  它非常符合我对一个
[10:06.50]  高级科技玩具的想象
[10:08.20]  而且至少在未来几个月
[10:09.70]  我都会比较重度的使用它
[10:11.77]  最后我个人并不担心
[10:13.26]   ChatGPT 取代我的工作
[10:14.87]  而且非常期待 ChatGPT
[10:16.47]  能提高我的写作水平
[10:18.10]  在这方面我有些个人的观察
[10:20.17]  我开始接触 AI 工具是
[10:21.57]  AlphaGo 4:1 战胜李世石
[10:23.37]  3:0 战胜柯洁
[10:24.77]  当时有不少人说顶尖棋手将消失
[10:27.07]  围棋老师将被 AI 取代
[10:29.37]  但实际上呢
[10:30.47]  和最初的 AlphaGo 相比
[10:32.00]  现在围棋 AI 可以轻松爆杀申真谞
[10:34.47]  柯洁等一众人类顶尖棋手
[10:36.63]  但棋迷们还是会去关注
[10:38.53]  这些棋手的成绩
[10:39.97]  每逢世界大战
[10:41.30]  视频平台上
[10:42.17]  也有许多棋手 棋迷开直播 讲解对局
[10:45.07]  各种围棋 AI
[10:46.25]   既没有取代棋手下棋
[10:48.10]  也没有替代解说讲解
[10:49.83]  相反
[10:50.43]  它成为了一个非常趁手好用的工具
[10:52.57]  让解说和棋迷
[10:53.85]  能够快速判断当前的形式
[10:55.77]  让顶尖棋手可以快速提升自己的实力
[10:58.67]  根据这项研究
[10:59.80]  人类围棋水平在 1950-2016
[11:02.62]  六十多年间
[11:03.40]  进步水平非常有限
[11:05.10]  一些创新可能还会导致总体水平下降
[11:08.00]  但是在 2016 年 AlphaGo 横空出世后
[11:10.97]  人类围棋水平飞速发展
[11:12.90]  所以从这方面看
[11:14.43]  像 AlphaGo 这样的围棋 AI 
[11:16.37]  实际上推动了人类围棋水平的进步
[11:18.77]  所以我相当期待
[11:20.40]  经过几轮进化的 ChatGPT
[11:22.10]  能赶紧为我所用
[11:23.54]  帮我提升一下自己的姿势水平
