Title     : 不可能被封的“终极外挂”是如何被封的？DMA 还能死灰复燃吗？【柴知道】
[06:34.32]  并规定每个硬件
[06:35.64]  只能访问特定区域
[06:37.12]  网卡就只能访问网络相关数据
[06:39.24]  显卡就只能访问图像方面数据
[06:41.60]  如果一张网卡
[06:42.68]  试图跨界读取图像区域
[06:44.92]  那肯定不是什么正经网卡
[06:46.52]  可以判定真身为 DMA 外挂
[06:49.16]  如今像《三角洲行动》
[06:50.48]  《无畏契约》等许多游戏
[06:52.28]  无论是用 Intel
[06:53.18]  还是 AMD 处理器
[06:54.40]  都会在启动时
[06:55.64]  强制开启 IOMMU 功能
[06:58.16]  只要发现 DMA 外挂
[06:59.52]  账号连同设备就会统统被 ban
[07:02.08]  10 年之内
[07:02.92]  就算更换登录设备和游戏账号
[07:05.24]  也无法重新进入游戏
[07:07.40]  到此为止
[07:08.20]  DMA 外挂不会被封的神话
[07:10.44]  已经彻底破碎了
[07:12.78]  不过
[07:13.72]  它并没有死透
[07:15.28]  比如在某些视频平台里输入 VTD
[07:17.80]  你就能看到许多
[07:18.96]  专注技术交流
[07:20.20]  无商业性质
[07:21.32]  但是旁边
[07:21.98]  偏偏留了一串神秘数字的
[07:24.16]  DMA 过 V 教学视频
[07:26.28]  所谓过 V
[07:27.12]  就是想办法跳过 VT-D 启动
[07:29.20]  让游戏在
[07:29.80]  没有 IOMMU 保护的状态下运行
[07:32.56]  再接入 DMA 外挂
[07:34.24]  或者也可以不跳过 VT-D
[07:35.92]  而是想办法和 IOMMU
[07:38.08]  拼速度 抢先手
[07:39.52]  赶在反作弊系统初始化完成之前
[07:42.28]  潜入作弊程序 注入代码
[07:44.40]  为了避免硬件被 ban
[07:45.76]  彻底作废
[07:46.64]  一些黑产分子
[07:47.68]  还会伪造 DMA 硬件的机器码
[07:49.84]  每次被封
[07:50.60]  都能立刻换一套马甲重新作案
[07:53.44]  还有一些运气差的朋友
[07:54.64]  会被这种操作误伤
[07:56.28]  有人在购买全新设备时
[07:58.00]  不幸撞上了这些
[07:59.08]  被随机刷出来的黑机器码
[08:01.12]  导致全新的电脑
[08:02.32]  干净的账号却被判定为开挂
[08:04.68]  无法登陆游戏
[08:06.24]  目前来看
[08:07.08]  随着预启动保护 人脸验证
[08:09.12]  数据加密等等反作弊手段的升级
[08:11.92]  DMA 外挂
[08:12.66]  确实已经得到了明显控制
[08:14.88]  可以说
[08:15.58]  世界上并不存在
[08:16.76]  不可能被封的外挂
[08:18.40]  但是
[08:19.08]  也不存在
[08:19.76]  能查出所有挂的反作弊系统
[08:22.20]  DMA 外挂仍有死灰复燃的机会
[08:24.44]  而且这些公益科技辅助技术群里
[08:27.28]  也可能会炼出新的魂器
[08:29.24]  作弊和反作弊的猫鼠游戏
[08:31.28]  会一直进行下去
[08:33.24]  最后
[08:33.88]  如果你希望世界多一点公平正义
[08:36.28]  那可以跟小陈一样
[08:37.50]  动手点点举报
[08:38.80]  共建公平诚信的游戏环境
[08:40.88]  加入到反挂的伟大事业中来
[08:43.50]  下期见
[08:45.36]  哟 玩游戏呢
[08:46.44]  啊 玩着呢
[08:47.34]  需要挂吗
[08:48.02]  绝不封号
