Title     : 千兆网下载跑不满，真是你的问题？Steam下载速度怎么这么快？【柴知道】
[04:45.56]  还要交高昂网费的时候
[04:47.40]  还能点一杯奶茶压压惊
[04:50.20]  不过
[04:51.00]  也有一种下载方式
[04:52.24]  能突破“禁忌”
[04:53.24]  绕开限速
[04:54.16]  充分发挥共享精神
[04:55.60]  让你体会飞一般的下载速度
[04:57.60]  P2P
[04:59.36]  P2P 是“Peer-to-Peer”的缩写
[05:01.48]  意思是“点对点”
[05:03.00]  所谓的 BT 种子
[05:04.16]  磁力链接
[05:05.04]  ED2K 链接
[05:06.04]  都是 P2P 下载
[05:07.48]  在 P2P 网络中
[05:08.64]  每台设备都是一个服务器
[05:10.36]  既可以从别的服务器上下载内容
[05:12.56]  也可以把自己的内容上传给别人
[05:15.32]  那如果一个热门资源
[05:16.80]  同时存在于许多台设备上的话
[05:18.84]  那它们就可以共同上传给你
[05:21.16]  这样虽然每个节点的
[05:22.56]  上传速度都有限
[05:23.72]  但一旦连接数拉满
[05:24.92]  也能撑满你的下载上限
[05:27.24]  更妙的是
[05:28.00]  大家都只利用了
[05:29.04]  自己手上本来就有的上传带宽
[05:31.72]  所有人都不需要多花钱
[05:34.20]  当然
[05:34.84]  P2P 网络并不稳定
[05:36.32]  如果你要下载一份
[05:37.44]  只有几个人有的冷门资源
[05:39.20]  那可能等好几年
[05:40.20]  也不会有任何动静
[05:41.80]  但 P2P 的上限也很高
[05:43.48]  在用 qBittorrent 等
[05:44.84]  P2P 工具下载热门资源时
[05:46.96]  它真的能在某些时刻
[05:48.84]  跑到接近理论速度的极限
[05:51.44]  虽然经常维持不了多久
[05:52.92]  但看起来很开心
[05:54.60]  嗯
[05:55.48]  你说为什么不用
[05:56.48]  大家更熟悉的软件举例
[05:59.00]  这些软件确实有
[06:00.20]  P2P 下载机制
[06:01.20]  但比较特殊
[06:02.72]  它的好处在于
[06:03.60]  它有一个巨大的离线服务器
[06:05.60]  很多经过它的资源
[06:06.84]  都会被缓存下来
[06:08.16]  可以让你直接
[06:09.08]  从它的服务器下载
[06:10.52]  所以一些冷门资源也能下得动
[06:13.16]  但它的问题也在于
[06:14.60]  这个巨大的离线服务器
[06:16.44]  几乎只从其他服务器那里
[06:18.12]  吸取资源
[06:19.16]  占满上传带宽
[06:20.48]  但却不会把自己的资源
[06:22.12]  再跟其他 P2P 软件共享
[06:24.36]  所以这种操作
[06:25.40]  被很多人认为是“吸血”
[06:27.84]  当然
[06:28.44]  这个巨大的离线服务器
[06:29.96]  也不会一直给你免费用
[06:31.20]  所以时不时就会有人抱怨
[06:32.84]  它们利用下载限速等种种手段
[06:35.00]  让你付费
[06:36.20]  讲到这里
[06:36.92]  我们可以来看看
[06:37.96]  为什么 Steam 下载这么快了
[06:40.46]  2003 年
[06:41.48]  Steam 的母公司 Valve  
[06:42.68]  雇佣了 Bram Cohen 
[06:43.76]  来开发下载系统
[06:45.40]  而 Bram Cohen
[06:46.32]  正是我们刚才提到的
[06:47.80]  BT 下载软件
[06:48.79]  BitTorrent 的作者
[06:50.88]  另一方面
[06:51.64]  Steam 玩家数量众多
[06:53.00]  不管是什么奇怪的游戏
[06:54.68]  都会存在于很多玩家的电脑上
[06:57.08]  所以
[06:57.76]  Steam 是使用了 P2P 技术
[06:59.24]  才下载得这么快
[07:01.24]  吗
[07:02.80]  不是
[07:04.04]  Steam 下载快的原因更简单
[07:05.92]  无他
[07:06.60]  唯有钱尔
[07:08.00]  它在包括中国在内的全球各地
[07:10.00]  设置了一大堆 CDN 服务器
[07:11.76]  供玩家夙兴夜寐
[07:13.28]  激情对战
[07:14.99]  CDN 的中文叫
[07:15.93]  “内容分发网络”（Content Delivery Network）
[07:17.32]  简单来说
[07:18.04]  它是一套互连的服务器系统
[07:20.16]  可以将用户经常访问的内容
[07:21.96]  储存在各地不同的服务器上
[07:24.60]  而 CDN 的存在
[07:25.64]  主要是为了解决
[07:26.64]  网络质量中的另一个问题
[07:28.68]  延迟
[07:30.28]  我们刚才一直在说的“千兆网”
[07:32.04]  它只涉及网络的带宽
[07:34.28]  如果我们把网络看做一条
[07:35.88]  数据高速公路的话
[07:37.16]  那“带宽”代表的是路有多宽
[07:39.20]  能同时跑多少辆车
[07:41.28]  而“延迟”则代表
[07:42.61]  跑完这条公路所需要的时间
[07:44.88]  它主要跟这条路的长度
[07:46.32]  以及跟经过多少收费站有关
[07:48.84]  而互联网这条路的曲折程度
[07:50.60]  还有收费站的数量
[07:51.68]  都远比我们想象的多
[07:53.48]  流量出省
[07:54.40]  出国
[07:54.92]  进入不同运营商的网络设施
[07:56.68]  会经过无数的设备
[07:58.24]  涉及到复杂的网间费用结算
[08:00.80]  所以不管你自己家的带宽有多高
[08:03.00]  只要跟对方的物理距离远
[08:04.92]  需要经历的处理节点多
[08:06.64]  那延迟都会很高
[08:08.52]  有兴趣的话
[08:09.20]  你可以打开 Windows 上的
[08:10.50]  PowerShell 
[08:11.08]  或者 Mac 上的终端
[08:12.40]  像我们这样
[08:13.12]  自己 ping 几个网站试一试
[08:15.20]  如果你平常只是看看视频
[08:16.72]  点点网页
[08:17.40]  下载大文件
[08:18.24]  那延迟高一点倒也没什么
[08:20.52]  但如果是视频通话
[08:32.24]  打外服游戏时就更致命了
[08:37.44]  有一些“网游加速器”
[08:38.84]  实际上就是
[08:39.56]  在不同的骨干网间搭设服务
[08:41.64]  帮你绕开一些收费站
[08:43.24]  找到连接服务器的最快通路
[08:45.88]  但解决网络延迟最根本的方案
[08:47.96]  还是在不同地区
[08:49.28]  设置多个 CDN 服务器
[08:51.56]  比如大 UP 主
[08:52.36]  给 B 站上传了一个视频
[08:54.04]  B 站就会把这个视频
[08:55.24]  分发拷贝到
[08:56.08]  位于全国各地的 CDN 服务器中
[08:58.56]  当你访问 B 站时
[08:59.64]  B 站会根据你的 IP 地址所在地
[09:01.92]  自动给你分配
[09:02.80]  最近的 CDN 服务器
[09:04.16]  提高你的访问速度
[09:05.64]  这样一能降低网络延迟
[09:07.52]  同时也降低了
[09:08.56]  源服务器的压力和带宽需求
[09:10.76]  节省远距离传输时
[09:12.24]  所涉及到的各种成本
[09:13.56]  帮 B 站省点钱
[09:15.36]  当然
[09:16.00]  如果是一些小 UP 
[09:17.16]  发了无人问津的冷门视频
[09:18.92]  那可能就不会同步到
[09:20.08]  所有的 CDN 服务器中
[09:21.52]  反正也没什么人看嘛
[09:22.72]  访问起来慢一点
[09:23.76]  就慢一点吧
[09:25.04]  但如果有更多人点三连的话
[09:26.88]  我们的视频
[09:27.52]  就能更快传播到
[09:28.84]  全国各地的 CDN 里
[09:31.08]  总之
[09:31.68]  目前主流的网络服务
[09:33.08]  基本都会用上 CDN 
[09:34.44]  来加快速度
[09:35.84]  CDN 通常是按流量计费
[09:37.64]  当然也不便宜
[09:38.92]  所以虽然我们在测试时
[09:40.64]  一开始下载很快
[09:42.00]  但在使用流量达到一定水平后
[09:43.92]  也会限速
[09:44.84]  就是这个原因
[09:46.36]  而决定 CDN 
[09:47.33]  快慢速度的主要因素就是
[09:49.52]  钱给够了没
[09:51.60]  巧了
[09:52.40]  Steam 上的绝大多数游戏
[09:54.16]  本来就都是付费才能下载的
[09:56.52]  所以 Steam 一不缺钱
[09:58.16]  二来有提高下载速度的动力
[10:00.64]  它们一方面把一个游戏
[10:01.92]  拆分成许多“小块”传输
[10:03.76]  方便突破网络防火墙的下载
[10:05.96]  另一方面
[10:06.72]  直接发动“钞能力”
[10:08.24]  虽然身为“国外网站”
[10:09.92]  但仍然在中国部署了
[10:11.32]  一堆 CDN 服务器
[10:12.60]  覆盖广
[10:13.16]  带宽高
[10:14.16]  最高下载速度
[10:15.12]  真的可以跑到
[10:16.08]  接近千兆网理论极限的
[10:18.20]  100M/s 以上
[10:19.28]  而且还挺稳定
[10:21.44]  不得不说
[10:22.24]  这是我使用千兆网时
[10:23.72]  最值回票价的体验
[10:25.64]  在经历了一周的捶打后
[10:27.20]  我可以静静地打开 Steam
[10:28.84]  用千兆网高速下载游戏
[10:30.64]  再跑一遍性能测试
[10:32.36]  发现我四年前
[10:33.24]  组装的这台电脑
[10:34.24]  仍然能跑得动《黑神话：悟空》
[10:36.44]  啊
[10:37.28]  这就是男人长大后最爱的游戏
[10:49.44]  讲到这里
[10:50.16]  关于千兆网的上传下载速率
[10:52.12]  延迟
[10:52.72]   P2P
[10:53.24]  CDN 
[10:53.81]  Steam 下载快的原因
[10:55.08]  你就差不多搞清楚了
[10:56.88]  它们跟网络技术有关
[10:58.40]  跟流量费用更有关
[11:00.56]  有些厂商真的特别想省钱
[11:02.68]  那还可以玩一些花招
[11:04.80]  比如很多视频厂商
[11:05.92]  会巧妙地利用一种叫
[11:07.28]  PCDN 的技术
[11:08.40]  薅你的上传带宽
[11:09.56]  给自己省钱
[11:10.88]  只是你可能从来都没有注意过
[11:13.60]  所谓 PCDN
[11:14.64]  就是 P2P+CDN
[11:16.44]  原理很简单
[11:17.60]  当你在视频 App 上
[11:18.84]  缓存了某些视频后
[11:20.44]  厂商就会把你的设备
[11:21.92]  变成 P2P 网络中的一环
[11:24.16]  反正你平常的上传带宽
[11:25.36]  也用不上
[11:26.00]  所以 App 们
[11:26.72]  就利用这些带宽
[11:28.20]  把内容分发给
[11:29.28]  你家附近的用户
[11:30.72]  这样不就能省下一笔
[11:32.04]  CDN 流量费吗
[11:33.56]  而且你都已经同意了呀
[11:35.00]  你看它们都写在用户协议上了
[11:38.08]  很多 App 都在你不知不觉的时候
[11:39.96]  用你的带宽来给自己省钱
[11:42.36]  根据官方说明
[11:43.52]  爱奇艺通过这一技术
[11:44.92]  降低了 70% 的带宽成本
[11:47.68]  如果你对此感到不爽
[11:49.00]  不想被它们“薅羊毛”的话
[11:50.76]  那我们问了一下客服
[11:52.20]  你可以在设置里
[11:53.20]  把“网络加速”开关关掉
[11:55.72]  但更进阶的操作
[11:57.08]  是你自己
[11:57.60]  把自己用不上的上传带宽变现
[12:00.36]  比如一些云服务商
[12:01.52]  就会让你购买硬件
[12:02.80]  或者下载 App
[12:03.96]  把自己用不到的上传带宽
[12:05.60]  留给它们
[12:06.28]  一天赚个 1-3 块钱聊以自慰
[12:08.96]  然后它们再去
[12:10.00]  把流量卖给像爱奇艺
[12:11.60]  B 站这些公司
[12:12.52]  赚点差价
[12:13.76]  大家都有光明的未来
[12:16.00]  除了运营商
[12:18.24]  还记得我们前面提到过的
[12:19.68]  网间结算费用吗
[12:21.12]  虽然这些上传带宽
[12:22.36]  虽然名义上你已经花钱买了
[12:24.44]  但如果你不用
[12:25.24]  那运营商也就不用付费
[12:26.84]  你天天用
[12:27.64]  运营商就要多付出成本
[12:29.56]  另一方面
[12:30.28]  如果爱奇艺 B 站这些大客户
[12:32.16]  都开始用 PCDN 的流量
[12:34.04]  那运营商的流量生意
[12:35.28]  就不好做了
[12:36.84]  所以在 2024 年上半年
[12:38.44]  江苏 上海 河南等地的运营商们
[12:40.64]  开始回收用户 IPv6 地址
[12:43.20]  限制上行带宽
[12:44.28]  甚至直接关停宽带
[12:46.00]  来打击 PCDN
[12:47.24]  保住自己的“羊毛”
[12:49.08]  最后
[12:49.76]  我们终于绕回了
[12:51.00]  开头那个话题
[12:52.36]  要不要办千兆网
[12:53.68]  这你自己把握就行
[12:55.40]  根据我们在之前在讲“蓝光视频”
[12:57.45]  这期视频中的测算结果
[12:59.20]  想流畅看国内视频网站里
[13:01.24]  最高清的视频
[13:02.52]  其实 100 兆宽带都够用了
[13:04.72]  视频中出现的这些常用软件
[13:06.72]  即便办了千兆网
[13:07.96]  下载热门资源
[13:09.00]  大部分时间的下载速度
[13:10.52]  也都在 50MB/s 以下
[13:12.24]  500 兆的网也完全够用了
[13:14.45]  所以在日常生活中
[13:15.90]  依靠单个任务
[13:17.07]  跑满千兆宽带的机会很少
[13:19.43]  但如果你家里人多
[13:20.96]  或者有一边下载
[13:21.87]  一边看视频
[13:22.50]  一边打游戏的需求
[13:23.72]  或者就是单纯地财力雄厚
[13:25.96]  那也可以加钱上千兆网
[13:28.16]  当然
[13:28.80]  我们还是建议
[13:29.68]  财力雄厚的那部分朋友
[13:31.24]  把实在花不完的钱投给我们
[13:33.40]  支持我们把柴司的带宽升级一下
[13:35.72]  以后再累死累活
[13:36.80]  做这种 15 分钟的长视频
[13:38.40]  上传的时候也能稍微快一点
[13:41.36]  感谢你看到这里
[13:42.28]  这期视频的内容很多
[13:43.68]  所以我们把文稿链接
[13:44.96]  放在评论区中
[13:45.96]  供你查阅
[13:47.00]  如果它让你理解了
[13:48.04]  关于网速的知识
[13:49.04]  那请一键三连支持我们
[13:50.60]  毕竟这样的长视频确实不好做
[13:52.92]  而且即使做了这么长
[13:54.24]  我们仍然没有提到
[13:55.44]  家里的路由器
[13:56.48]  对于的网速的影响
[13:57.92]  我们本来以为这是一个
[13:59.00]  不值得讲的简单问题
[14:00.40]  但细看了一下
[14:02.12]  也不简单
[14:03.20]  所以我们会再出一期
[14:04.40]  关于千兆路由器的视频
[14:05.96]  文件夹已经新建好了
[14:07.24]  欢迎点击关注
[14:08.32]  等待传输
[14:09.72]  下期见
