Title     : 又口腔溃疡啦您？有药吗，能治吗，除了挺着还有救吗？【柴知道】
[03:49.50]  当然了
[03:50.18]  不推荐通过怀孕的方式缓解溃疡
[03:52.28]  后患无穷
[03:54.15]  抽烟的人
[03:54.88]  也更少出现溃疡
[03:56.20]  因为吸烟会
[03:57.10]  刺激口腔黏膜角质化
[03:58.60]  也就是让这些软的地方“变硬”
[04:01.47]  当然了
[04:02.10]  不推荐通过抽烟的方式缓解溃疡
[04:04.25]  后患无穷
[04:06.03]  实在啥也不想干
[04:07.30]  那躺着也行
[04:08.50]  因为保证充足睡眠时间
[04:10.40]  调节心情 减轻压力
[04:12.15]  都对减轻口腔溃疡有所帮助
[04:14.95]  不过 实话实说 
[04:16.73]  就算你把所有这些方法
[04:18.35]  都试一遍
[04:19.30]  也不一定能完全解决问题
[04:21.85]  目前已经发现
[04:23.00]  可能有 97 个基因点位
[04:24.90]  都会影响口腔溃疡
[04:26.45]  同样是吃坚硬的油炸食物
[04:28.52]  有些人就是比其他人
[04:30.35]  更容易口腔溃疡
[04:31.62]  俗称更倒霉
[04:33.02]  那  如果这些方法
[04:34.75]  都不管用怎么办
[04:36.32]  就必须一直承受
[04:37.60]  每月疼一次
[04:38.23]  一疼半个月这样的痛苦吗
[04:40.60]  也未必 
[04:41.95]  等你老了就好了
[04:43.35]  口腔溃疡发作的
[04:44.27]  频率和严重程度 
[04:45.73]  通常都会随着年龄增长而降低
[04:48.50]  在复发性阿弗他溃疡患者中
[04:50.48]  只有 20% 在 30 岁以后
[04:52.48]  还会反复溃疡 
[04:54.35]  但如果你此时此刻
[04:55.80]  嘴里就有口腔溃疡
[04:57.25]  一天都不想等
[04:58.50]  怎么办呢
[04:59.75]  应对已经长出来的溃疡
[05:01.45]  确实有一些不根治
[05:02.77]  但是可以缓解疼痛的方法
[05:04.95]  是的 治标可耻但是有用
[05:07.27]  对于我们治标爱好者来说
[05:08.93]  不疼的溃疡 
[05:09.82]  就等于没有 
[05:11.60]  很常见的方法之一
[05:13.00]  是用氯己定溶液漱口
[05:14.50]  既能消毒也能止痛
[05:16.45]  还有一个简单的方法
[05:17.80]  是用各种口腔溃疡凝胶
[05:19.35]  或者口腔溃疡贴
[05:20.60]  普通的溃疡凝胶
[05:21.85]  能在溃疡表面形成难溶的薄膜
[05:24.05]  防止你自己再碰到溃疡
[05:25.65]  避免疼痛
[05:26.80]  虽然没有治疗作用
[05:28.40]  但.....不疼就行
[05:30.00]  还有一些口腔溃疡膜里
[05:31.48]  添加了一些糖皮质激素
[05:33.23]  最常见的是地塞米松
[05:35.48]  这些激素能抗炎止血
[05:37.15]  是有治疗效果的
[05:38.35]  可以缩短溃疡的时间
[05:39.77]  但是同时也可能会有
[05:41.12]  这些副作用
[05:41.90]  不能长期大量使用
[05:41.93]  不能长期大量使用
[05:44.00]  如果你对“激素”比较抗拒
[05:45.70]  也不介意疗效差一点的话
[05:48.10]  那维生素 C 粉末
[05:49.80]  或者西瓜霜敷到溃疡上
[05:51.45]  也能起到一定的止血作用
[05:53.43]  不过根据我们的亲身体验
[05:55.62]  你会在点上维 C 的那一刻领悟
[05:57.93]  什么才是真正的痛
[06:04.10]  如果想要进一步止痛
[06:05.25]  那还有一些局麻镇痛药可用
[06:07.32]  但是如果真的觉得
[06:08.95]  痛到影响生活质量
[06:10.27]  那还是去医院挂号吧
[06:12.77]  对了 还有一些
[06:13.88]  能促进组织生长愈合的药物
[06:15.55]  比如康复新液
[06:17.23]  虽然讲不清原理
[06:18.35]  但一般都说管用
[06:20.07]  不过 此时你就要在
[06:21.62]  肉体痛苦和精神痛苦之间
[06:23.82]  进行抉择了
[06:34.55]  我选择忍两周
