Title     : The Story of How Squadcast.fm Blew Past $100K MRR -  Zach Moreno and Rock Felder - MicroConf Remote
Video ID  : s1EtZu7eBCg
[02:48.88]  while having a distributed team to have
[02:50.96]  any kind of regular cadence which is
[02:52.64]  super important to podcast
[02:54.48]  audience growth so we we found that
[02:57.36]  problem of of audio quality
[02:59.28]  wasn't really there with the state of
[03:00.96]  the art in in the
[03:02.32]  industry and really saw that as a
[03:05.44]  as a challenge kind of accepted that
[03:07.20]  challenge and pivoted then
[03:08.96]  from doing this sci-fi audio drama
[03:11.60]  podcast
[03:12.88]  to uh to a sas startup which uh which is
[03:15.36]  a first for us
[03:18.32]  so what we do like rob shared we help
[03:21.60]  professional podcasters record
[03:23.68]  remote interviews in studio quality
[03:26.96]  so we help with recording thousands of
[03:29.44]  hours each month
[03:30.88]  in over 120 countries around the world
[03:35.28]  and uh in the graphic you can see there
[03:37.28]  on the right
[03:39.04]  the uh up clicker
[03:42.32]  ah there we go sorry about that
[03:45.60]  cool there we go that's the graphic all
[03:47.84]  right so
[03:49.12]  um we help podcasters we do it a lot and
[03:52.08]  um
[03:52.64]  and that ux is uh very similar to other
[03:55.68]  video apps and conferencing apps that
[03:58.00]  you may have used except
[04:01.04]  that we record studio quality audio um
[04:04.32]  and we have two patents pending on our
[04:06.96]  technology solutions for
[04:08.48]  how we empower that style of recording
[04:11.28]  and
[04:11.76]  we've been bootstrapped and working on
[04:13.36]  this for around four years now
[04:20.32]  all right and uh on this next slide
[04:22.24]  you'll see some of the companies that
[04:23.84]  we're honored to work with but we also
[04:25.28]  get to work with
[04:26.40]  a lot of amazing podcasters like pat
[04:29.04]  flynn
[04:29.52]  kara swisher people at the spotify
[04:32.08]  gimlet teams and so many of those other
[04:33.76]  companies that you see
[04:34.88]  oh excuse me and the great rob walling
[04:36.64]  too like he mentioned so it's truly an
[04:38.24]  honor
[04:38.64]  yeah it's truly an honor to help that
[04:40.40]  and so many other podcasters
[04:42.08]  in various uh places in their journey
[04:44.56]  whether they're just starting off
[04:46.32]  or they're uh you know a pro working for
[04:48.56]  a big corporation
[04:50.00]  uh and these creatives really define the
[04:52.48]  standard for audio quality in our
[04:54.00]  industry
[04:54.88]  and will really help them to achieve it
[04:56.48]  at scale
[04:59.52]  all right but because we have such deep
[05:02.08]  respect
[05:03.20]  for the work that you all are doing we
[05:05.28]  need to be real with our fellow
[05:06.64]  bootstrappers
[05:08.08]  it honestly felt like it took forever
[05:09.92]  for us to reach 10k mrr
[05:11.68]  and um that wasn't very long ago
[05:19.68]  yeah so um we've never done any of this
[05:22.72]  before
[05:23.44]  and like rock said we respect all of you
[05:25.60]  for going on on a similar journey
[05:28.16]  and our founding team have all had day
[05:31.28]  jobs for
[05:32.16]  for years into this experience together
[05:35.36]  and uh and when we finally did reach 10k
[05:38.24]  mrr
[05:39.76]  um 100k just seemed like
[05:43.04]  light years in the future from that
[05:46.08]  and uh rock and i finally started paying
[05:48.56]  ourselves in
[05:49.60]  january of this year so still 2020
[05:52.64]  even though it has been kind of a
[05:54.08]  dumpster fire in lots of ways uh
[05:56.24]  that was a big milestone for us uh so we
[05:59.20]  suspect that uh this may sound familiar
[06:01.20]  to the to the journey that you're on
[06:06.56]  all right so we're going to go back
[06:07.84]  about a year when we did finally reach
[06:09.92]  that 10k
[06:10.64]  mrr um milestone and you remember how
[06:13.52]  good that felt man like how
[06:14.88]  i mean we felt like we made it we felt
[06:16.48]  like we were balling and we weren't
[06:18.08]  paying ourselves we were
[06:19.60]  still operating on pretty minimal
[06:21.68]  resources but
[06:22.64]  it was a big moment yeah it felt like it
[06:25.76]  it took forever uh to get there and then
[06:29.12]  lots of tweaks and listening and
[06:31.36]  conversations
[06:33.44]  uh to even have a shot at doing that and
[06:36.32]  yeah that that was a huge milestone for
[06:38.48]  us so
[06:39.36]  and it started to feel validating
[06:40.80]  because like more uh
[06:43.20]  other companies entrepreneurs fellow
[06:45.20]  founders that we talked to like
[06:46.80]  it was like oh okay 10k like you know
[06:49.20]  good job boys finally
[06:50.40]  yeah later felt like we were clawing our
[06:52.56]  ways there
[06:53.84]  on our way there so uh fast forward to
[06:56.40]  uh about a year
[06:58.96]  so a year later may 2020 we hit
[07:02.16]  100k mrr and uh so much has changed and
[07:06.16]  and continues to evolve and i think
[07:07.60]  that's what's really fun about the
[07:08.72]  journey is
[07:09.52]  is how things have changed and evolved
[07:11.60]  and we're going to walk you through some
[07:13.04]  of the main reasons why we think we
[07:14.72]  reach this
[07:15.84]  point and yeah just go over how it
[07:18.16]  happened
[07:24.88]  all right so after
[07:28.40]  lots of reflection and kind of soul
[07:30.96]  searching and
[07:32.32]  really trying to unpack that that
[07:34.08]  journey uh
[07:35.68]  which we do as a practice kind of
[07:37.84]  ongoing but
[07:38.88]  but this opportunity uh to speak with
[07:41.12]  you today really uh was it was a great
[07:43.36]  forcing function to look at this more
[07:45.20]  deeply
[07:46.48]  and that's really where we we uh
[07:49.20]  realized that our story of
[07:51.20]  this rapid growth really arcs across
[07:54.40]  these three chapters of focus
[07:58.08]  reputation and the final chapter
[08:02.08]  um the final chapter we're going to keep
[08:03.84]  as a surprise so we'll keep you in
[08:05.60]  suspense temporarily on that but uh
[08:07.44]  stick with us
[08:08.16]  it'll be it'll be worth your while yeah
[08:12.16]  hopefully our marketing folks out there
[08:13.52]  can appreciate the
[08:14.56]  uh mystique tactic
[08:18.16]  so the first one uh focus so to be quite
[08:21.28]  candid the
[08:22.08]  original vision for squad cast was more
[08:24.96]  or less pretty similar to to what it is
[08:27.12]  today
[08:28.00]  however it was a bit inflated we were
[08:30.40]  kind of trying to do
[08:31.92]  a little too much to be honest
[08:34.40]  thankfully we're really fortunate to get
[08:36.16]  great advice from
[08:37.36]  uh our advisors uh our customers
[08:41.04]  and really what they told us was we
[08:43.20]  don't need you to be good at everything
[08:44.88]  we need you to focus on this
[08:46.40]  one thing and that is being experts at
[08:48.80]  remote recording and really helping
[08:50.96]  the industry and and the creators in the
[08:53.12]  space really understand
[08:54.80]  what that is like whether they're using
[08:56.08]  squad cast or not there's a lot of
[08:57.44]  opportunities for us to help and
[08:59.04]  of course you know we think once we can
[09:00.64]  build up that reputation that
[09:02.40]  um you know that they'll come to us
[09:04.00]  because we are the the experts when it
[09:05.52]  comes to
[09:06.40]  recording their content remotely so
[09:08.88]  really what they
[09:09.84]  guided us to understanding was that was
[09:12.16]  our role it wasn't intuitive
[09:13.76]  to us at first but it was really about
[09:15.68]  us really uh putting our flag in the
[09:17.36]  ground as
[09:17.92]  as establishing ourselves as experts so
[09:20.64]  one of the state the sayings that's
[09:22.00]  really
[09:23.12]  stuck with me over the years is one that
[09:25.04]  dan martell says which is
[09:26.88]  startups typically died um not from
[09:29.92]  indigestion but due to starvation or not
[09:32.40]  from starvation but due to indigestion
[09:34.64]  uh so it's too much ideas too much going
[09:38.16]  on
[09:38.56]  um not a lack of ideas which is kind of
[09:41.20]  funny because at least at first when we
[09:42.48]  were trying to
[09:43.12]  you know start off squad cast or i know
[09:44.72]  you and me separately were
[09:46.16]  each trying to do something more
[09:47.28]  entrepreneurial and independent it's
[09:48.88]  like
[09:49.36]  what's going to be that idea and it
[09:51.52]  turns out that's
[09:52.64]  not the hard part um yeah so
[09:56.16]  in addition to that though we we also
[09:59.60]  learned that we needed to focus not just
[10:01.20]  on being experts in this
[10:03.28]  particular niche of podcasting but also
[10:05.52]  that we're we're sas founders we're
[10:07.28]  bootstrap sas founders so
[10:08.96]  really focusing on becoming
[10:10.80]  professionals at
[10:12.40]  being sas founders specifically
[10:14.00]  bootstrap uh sas founders
[10:16.08]  so we did that by learning from the
[10:17.68]  greats and really
[10:19.12]  not just take taking in that knowledge
[10:21.36]  but like applying that knowledge like
[10:23.12]  almost immediately one of the things
[10:24.64]  that
[10:25.28]  uh i don't know if you could call it a
[10:26.56]  mantra or just a saying that we say a
[10:28.56]  lot it's not ours so we're not trying to
[10:30.40]  take it from anybody but it's called
[10:31.60]  just in time learning that
[10:33.12]  as things kind of come up during the
[10:35.04]  founder entrepreneur journey
[10:36.96]  you can't know everything but we got to
[10:39.04]  get comfortable with at least learning
[10:40.32]  on the fly and so
[10:42.32]  like understanding key topics like our
[10:45.04]  unit economics
[10:46.16]  like pricing i mean we wouldn't be in
[10:48.32]  this position today
[10:49.36]  if we hadn't really taken it upon
[10:51.44]  ourselves to
[10:52.56]  really learn about those things because
[10:54.56]  pricing was one of those things that
[10:56.64]  guys like rob walling are always telling
[10:58.16]  you it's a big deal it's one of those
[10:59.36]  levers that you
[11:00.00]  can pull and truly transform uh
[11:02.08]  transform the business
[11:03.28]  and and it it did like our revenue went
[11:06.00]  up as you can imagine but our churn went
[11:07.52]  down it's it's
[11:08.88]  exactly what they say another one is
[11:11.04]  like kind of figuring out our customer
[11:12.64]  support
[11:13.68]  especially relative to the type of
[11:15.20]  business model you have so our
[11:16.96]  our business model is a little bit on
[11:18.88]  the lower price side
[11:20.08]  but we were delivering high-touch
[11:22.08]  customer support which
[11:23.76]  can't scale and that it was never
[11:25.12]  designed to scale it was designed to
[11:26.48]  build relationships but just
[11:28.08]  understanding the whys
[11:29.52]  and um and learning from it and again
[11:31.60]  like
[11:32.80]  learning from it is one thing but
[11:34.32]  actually implementing it is way harder i
[11:36.16]  mean how
[11:36.56]  how difficult was it to not just figure
[11:38.72]  out what our pricing was but actually
[11:40.08]  put it into place
[11:41.20]  but boy was it worth it right difficult
[11:43.12]  yeah that's a good question one word
[11:45.36]  and uh now as part of tiny seed uh we're
[11:48.56]  seeing that have an impact uh again
[11:50.48]  on the next iteration of our pricing but
[11:52.96]  uh but with our peer companies
[11:54.56]  that inspire us by by making these these
[11:57.12]  uh improvements as well
[11:59.28]  so uh so as founders like uh like all of
[12:02.56]  you
[12:02.96]  and and us uh we're a finite and
[12:05.92]  valuable resource
[12:07.20]  so please don't waste any of your time
[12:10.40]  working on
[12:11.36]  stuff something that doesn't matter um
[12:14.48]  but zach
[12:15.28]  you might be saying how do we know what
[12:18.00]  matters
[12:18.72]  right that's over simplistic so much has
[12:22.24]  been said
[12:22.96]  about founders having extreme passion
[12:26.32]  for the work that they're doing but um
[12:29.76]  i i would challenge you there or submit
[12:32.24]  that
[12:33.04]  what what about your customers like do
[12:34.96]  they have passion
[12:36.80]  for the problem that you're working to
[12:38.80]  solve for them
[12:40.64]  if that's not the case then it probably
[12:42.80]  doesn't matter that's probably
[12:44.48]  a good indicator so uh the based camp
[12:47.92]  team
[12:48.40]  uh who we're big fans of uh coined the
[12:50.64]  term jomo and uh
[12:53.12]  we love that so uh as a result of
[12:55.92]  intense focus
[12:57.76]  uh one result i should say of intense
[12:59.76]  focus is that
[13:01.04]  you will for sure miss out on other
[13:03.68]  opportunities
[13:04.80]  and that's okay just accept that now or
[13:07.76]  we have anyway
[13:08.72]  what's joe mommy uh the joy of missing
[13:11.04]  out excuse me yeah
[13:12.24]  so kind of the kind of a different take
[13:14.16]  on fomo
[13:15.60]  um so we have had plenty of huge
[13:18.88]  opportunities and potential
[13:20.96]  game-changing ideas pitches from vcs on
[13:24.16]  pivot to this and we'll fund you or
[13:26.08]  do this other thing at the same time in
[13:27.76]  squad cast
[13:29.12]  um so we've we've had those those ideas
[13:32.00]  uh for
[13:32.64]  for other sas companies um but we've not
[13:35.28]  pursued any of them
[13:36.64]  with intention um and i should say yet
[13:40.80]  because we're focused because we're
[13:43.20]  focused on realizing our potential
[13:45.28]  within squad cast that's that's the
[13:47.12]  opportunity at hand
[13:49.04]  so one thing about focus is uh that is a
[13:52.56]  constant struggle
[13:53.68]  to maintain focus so i would recommend
[13:56.72]  that you
[13:57.52]  stay mindful check in with yourself and
[14:00.24]  just keep saying no to
[14:02.24]  stuff that doesn't matter using that
[14:04.32]  same approach that we shared before
[14:08.32]  yeah one of the things we said is like
[14:09.92]  the bootstrappers way is just inevitably
[14:11.84]  to get good at saying no
[14:13.36]  yeah yeah so uh so we have reputation
[14:17.52]  um so if the problems you are solving
[14:21.20]  they do matter to customers then there's
[14:24.16]  likely
[14:24.80]  going to be a community of people who
[14:27.04]  that matters to
[14:28.88]  and we're all here because we're
[14:31.12]  bootstrapping
[14:32.08]  which also means that we're investors in
[14:34.80]  ourselves
[14:36.24]  so invest the resources that you have
[14:39.68]  not just in your business keep doing
[14:41.52]  that but also
[14:43.20]  into the community that you're in
[14:44.80]  service of
[14:46.40]  and you can do that by hosting meetups
[14:49.52]  by sponsoring conferences like this one
[14:53.28]  and uh and just generally fostering
[14:55.44]  conversations
[14:56.72]  and we're a bit biased but we think that
[14:58.80]  podcasting is a great way to have an
[15:00.80]  ongoing dialogue
[15:02.32]  with on uh within the topic that you're
[15:04.72]  an expert in
[15:05.92]  and you're helping serve customers in so
[15:09.76]  if your customers are more involved in
[15:12.64]  in this community
[15:13.84]  than your company is then you're
[15:16.16]  probably not that's probably an
[15:17.76]  indicator that you're not
[15:19.04]  investing enough so you want to invest
[15:21.52]  more than them
[15:23.20]  and and that'll also help position you
[15:25.36]  within the the
[15:26.40]  their minds as being you know part of
[15:28.24]  this industry part of this this new
[15:29.84]  category that you're working to create
[15:32.80]  so it's important to speak with your
[15:35.12]  community
[15:36.64]  but it is more important it's paramount
[15:39.12]  in fact that you
[15:40.16]  you listen when you're having these
[15:42.00]  these conversations i think our friend
[15:43.60]  colleen
[15:44.40]  mentioned listening is is critical to
[15:47.04]  their business it's been critical to
[15:48.48]  ours we often say that uh
[15:50.16]  in an industry full of people who speak
[15:51.68]  for a living our superpower needs to be
[15:54.00]  listening to them so we practice that
[15:58.32]  and while you're investing in the
[16:00.24]  community
[16:01.52]  it's it's a good idea to listen more
[16:03.84]  than you speak
[16:04.88]  like help catalyze these conversations
[16:06.96]  but then listen
[16:09.44]  the community will then invest feedback
[16:12.00]  and ideas
[16:13.52]  into your product and uh don't
[16:16.96]  don't stop there don't stop with
[16:18.56]  listening put it into practice
[16:20.40]  actually do what they are telling you to
[16:22.24]  do and then
[16:24.00]  and this is kind of magical then you get
[16:25.68]  to tell this story
[16:27.12]  to other people and you get to give
[16:29.76]  those customers those community members
[16:32.40]  credit for that idea and
[16:35.44]  you can keep going through this cycle
[16:37.36]  and you keep doing that
[16:38.48]  until you stop counting and your product
[16:41.04]  will have improved dramatically
[16:43.60]  and the community will love you because
[16:46.64]  of the roi they got on their investment
[16:49.20]  of ideas
[16:50.00]  and feedback
[16:53.36]  yeah i think another big part of how we
[16:55.84]  developed our reputation
[16:57.20]  within the space was really how what our
[17:00.32]  approach
[17:01.12]  to managing what was in our control and
[17:03.84]  that's what i mean by
[17:05.04]  what we mean rather by show up every day
[17:07.44]  uh it
[17:08.64]  sounds kind of cliche and just like not
[17:11.12]  specific but like
[17:12.40]  we've just experienced so many magical
[17:14.16]  things just by
[17:15.76]  showing up every day and also the fact
[17:17.76]  that like our competition just does not
[17:20.48]  so we just saw it as a way of like
[17:25.12]  showing our passion about the problems
[17:27.12]  we're solving and how we solve customers
[17:29.04]  like taking that opportunity any way
[17:30.80]  that we can
[17:32.00]  because it's really easy to show up when
[17:33.84]  customers are happy but when
[17:35.60]  showing up actually matters the most
[17:37.20]  we've found is is when they're unhappy
[17:39.68]  so kind of like what zac was talking
[17:41.52]  about was that we found
[17:43.04]  that those are the opportunities to
[17:45.60]  build the most positive reputation
[17:47.68]  by figuring out to make it uh right and
[17:50.96]  excuse me those people that were our
[17:53.44]  biggest critics we've time and time
[17:55.28]  again
[17:55.68]  turned them into uh our biggest fans and
[17:58.56]  so we kind of almost seen it as like
[18:00.16]  somewhat of a repeatable process
[18:02.24]  but over time we believe this mindset of
[18:04.64]  showing up
[18:05.60]  uh over time yields similar benefits as
[18:08.32]  like compound interest
[18:09.76]  and that investment over time money and
[18:12.56]  going wherever necessary
[18:14.08]  built up a significant amount of social
[18:16.48]  equity
[18:17.36]  that we believe really contribute
[18:19.20]  contributed to our final chapter
[18:21.76]  and what's that final chapter yeah so a
[18:25.04]  bit of a bit of a drum roll here
[18:26.96]  please all right and
[18:30.72]  there we go all right it's luck
[18:33.76]  so to be honest there's in our opinion
[18:36.88]  no getting around the fact that our
[18:38.88]  growth was
[18:39.84]  significantly impacted by some strange
[18:42.80]  fortune
[18:45.04]  several people in our network whether
[18:47.20]  they were advisors or
[18:48.56]  customers or just like other founders
[18:51.20]  investors
[18:52.08]  that would always talk about startups
[18:54.00]  having some sort of inflection point or
[18:56.32]  a moment when
[18:57.28]  you know they just had it just things
[18:59.92]  change for them
[19:00.80]  uh and so we would just always wonder
[19:02.96]  well when's our time coming it seems
[19:04.40]  like things are going good we're hitting
[19:05.68]  10k mrr
[19:06.56]  continuing to grow it's going good but
[19:09.52]  it's it's not
[19:10.48]  like we're not nothing's gone viral yet
[19:12.88]  if you will
[19:13.76]  um and so we're just one of those many
[19:16.32]  stories of a crazy opportunity
[19:18.80]  uh and shelter in place was ours so
[19:21.76]  suddenly
[19:22.48]  uh content creators across the world
[19:24.48]  were in desperate need of a high quality
[19:26.80]  remote solution to
[19:28.40]  keep their production on schedule and
[19:30.32]  thankfully squad cast had
[19:32.00]  already built up this reputation as
[19:33.92]  being really focused on
[19:36.96]  recording quality content remotely um
[19:40.00]  so i don't know if you remember man but
[19:41.60]  like back in march uh
[19:43.36]  getting on the phone and just being like
[19:45.68]  holy f word is this
[19:46.96]  is this happening is is this it and then
[19:49.28]  what were you saying
[19:50.08]  this is it yeah i think it is so uh
[19:53.44]  a little crazy and and not lost on us
[19:56.00]  that like
[19:57.36]  we are fortunate and and but uh i don't
[20:00.32]  think our story is
[20:01.60]  necessarily that exceptional because
[20:03.12]  there's other people that are benefiting
[20:04.64]  and having
[20:05.68]  success in this is as well but
[20:09.04]  anthony bourdain who we're a big fan of
[20:11.12]  and i know he's not a startup founder so
[20:12.64]  i have no idea what the context of this
[20:14.48]  quote was in
[20:15.36]  but he was quoted of saying luck is not
[20:17.60]  a business model
[20:19.28]  and we agree with him so but we believe
[20:21.20]  our luck was only realized
[20:23.60]  uh because we were so focused on being
[20:25.68]  the best at something that mattered
[20:27.28]  and had built up a reputation uh for
[20:29.76]  when our time come
[20:30.96]  came yeah and uh
[20:34.16]  about luck you know as as far as we know
[20:36.56]  uh in inflections
[20:37.84]  inflection points they can't really be
[20:40.40]  designed or engineered
[20:42.40]  uh sidenote if you feel otherwise we're
[20:44.80]  happy to explore that
[20:46.32]  um but what you can design and engineer
[20:49.44]  is in preparation for those inflection
[20:51.92]  points to come
[20:54.00]  so um why did we sponsor the largest
[20:57.60]  conference
[20:58.32]  in our industry before we even had a
[21:00.96]  stable product or
[21:02.08]  any customers why did we need to build
[21:05.68]  a global cloud infrastructure with
[21:07.60]  microservices
[21:08.80]  built to scale when we only had like 50
[21:11.52]  customers
[21:13.12]  so much of the work that we did before
[21:16.32]  shelter in place
[21:17.36]  felt like extreme overkill
[21:20.48]  but in reality it wasn't
[21:23.60]  because we were ready for when luck
[21:25.60]  found us
[21:27.20]  so look at where you are each day and
[21:29.28]  ask yourself
[21:30.88]  what would break if we were to 10x
[21:33.12]  tomorrow
[21:34.08]  like i was just talking with my wife
[21:36.00]  over the weekend and
[21:37.28]  it's like are you ready to explode you
[21:39.76]  know that's
[21:40.48]  that's a strange question but that's
[21:42.16]  essentially another way to say it
[21:44.80]  so make those improvements now
[21:47.92]  uh ask yourself that question make a
[21:50.32]  list do those improvements keep
[21:52.00]  repeating that
[21:53.52]  and take your startup seriously i know
[21:56.16]  you all do
[21:57.04]  but take it more seriously and have
[22:00.16]  intentions
[22:00.96]  to grow it be ready to explode
[22:04.00]  so what are you doing all of this hard
[22:06.32]  work for if
[22:07.28]  if you're not expecting that growth is
[22:09.12]  even another way to put it
[22:15.44]  all right so the big question is is what
[22:18.00]  now well
[22:18.72]  i mean we're certainly not done yet as
[22:21.36]  proud as we are of
[22:22.80]  our accomplishments in many ways we
[22:24.40]  still feel like we're just getting
[22:25.84]  started and there's so many things left
[22:27.68]  to accomplish which i guess is the
[22:29.12]  beauty and the beast of of this whole
[22:31.20]  game that we're in uh but we have
[22:33.36]  learned that
[22:34.40]  what got us to 10k is not what got us to
[22:37.60]  100k i mean you know think about how
[22:39.60]  different our jobs
[22:40.80]  day to day are from just a couple months
[22:42.64]  ago it's it's continuing to evolve and
[22:44.56]  change and
[22:45.68]  something i think we're learning to
[22:46.80]  embrace and really uh get excited about
[22:48.96]  even though
[22:49.52]  uh you know change isn't always the
[22:51.36]  easiest thing to deal with
[22:52.96]  but we do feel like the same is going to
[22:54.56]  be true for when we hit that
[22:56.32]  1 million mrr amount or beyond
[23:00.56]  yeah and we have some really good ideas
[23:02.56]  we built up and are continuing to build
[23:04.80]  a really great team
[23:06.88]  to prepare for that tomorrow today
[23:13.20]  and um if if we
[23:16.48]  if we if we would not be able to get
[23:20.08]  there
[23:20.88]  without focus reputation and luck to
[23:23.84]  this next milestone
[23:25.44]  beyond where we're headed so thank you
[23:28.08]  all so much for
[23:29.20]  for listening to us today and making
[23:31.20]  this event really great
[23:32.88]  uh we we've had a great time learning
[23:34.80]  from everybody and we hope the same is
[23:36.32]  true for you
[23:38.80]  gentlemen thank you so much um just a
[23:41.44]  reminder to folks
[23:42.40]  in shindig feel free to ask your
[23:44.72]  questions in the chat it looks like
[23:46.08]  looks like we have quite a few questions
[23:47.68]  already pouring in
[23:49.28]  um i'm going to kick us off with first
[23:52.40]  question
[23:52.96]  did you guys ever launch that sci-fi
[23:54.72]  audio drama
[23:56.88]  tell them yeah not yet you have uh we do
[24:00.32]  have a podcast though called between two
[24:02.00]  mics where we
[24:03.44]  explore the and have conversations with
[24:06.40]  people
[24:07.28]  that are helping to advance podcasting
[24:09.76]  forward in different ways uh audio
[24:11.60]  dramas science fiction
[24:13.12]  are uh are a big part of that but we
[24:15.36]  also talk about the technology and just
[24:18.08]  uh general momentum
[24:19.36]  podcasting being a relatively new medium
[24:21.92]  has all sorts of opportunities for
[24:24.16]  for innovation and some of that science
[24:25.92]  fiction is is becoming science facts so
[24:28.16]  we're proud to play a small part in that
[24:30.72]  very cool if you ever launch it i want
[24:32.40]  to check it out so first question
[24:34.88]  we got one subscriber yeah and we have
[24:36.64]  uh we've made more connections and
[24:38.48]  friends who are actually
[24:39.76]  turns out podcasts like that are a
[24:41.36]  tremendous amount of work i mean
[24:43.28]  you know rob with uh with your media
[24:45.68]  production
[24:46.64]  uh an interview podcast is uh is a lot
[24:49.52]  of work but uh
[24:50.56]  scripted drama with voice actors all
[24:53.20]  over the world
[24:53.92]  yeah but uh thankfully our technology
[24:56.08]  solution is there to uh to keep the
[24:57.76]  quality up
[24:59.76]  so first question from the audience deep
[25:01.92]  asks
[25:02.80]  zack without any previous references of
[25:05.28]  success how did you stay on a path to
[25:07.04]  solid growth
[25:07.92]  did you put your eyes on 100k mrr or was
[25:10.24]  it more wing it
[25:11.60]  more a wing it playful approach to see
[25:13.68]  how far you got
[25:16.08]  and then he has a separate question for
[25:17.44]  rock but i feel like either of you could
[25:18.88]  answer that yeah these you know
[25:21.12]  yeah yeah it's good um i i would not say
[25:24.48]  it was wing it i would say that it's uh
[25:26.32]  you know milestone uh reassess
[25:29.36]  you know reach a milestone reassess
[25:31.60]  what's next what's what do we think it's
[25:33.68]  gonna take to get us there what are kind
[25:35.28]  of the bottlenecks to that
[25:36.96]  today what's our path to remove those
[25:40.08]  and also then um like what are the
[25:42.88]  resources we have now because that's
[25:44.88]  another thing that's evolving it's not
[25:46.40]  just a new set of challenges it's a new
[25:48.08]  set of opportunities
[25:49.68]  that come from your new mrr having
[25:52.08]  reached that
[25:52.72]  you can use those resources to add
[25:55.04]  invest further
[25:56.00]  into your business further into the
[25:57.36]  community and just continue
[25:59.76]  uh continuing that cycle i think is more
[26:02.88]  so how we look at it it's just that
[26:04.24]  there's more zeros now
[26:05.84]  uh it's it's it's kind of a trip but
[26:07.68]  that that's our process
[26:09.36]  and if i could just add it's kind of
[26:10.88]  similar to the advice we give to
[26:12.64]  podcasters that have interview shows
[26:14.56]  where they ask like
[26:16.00]  should i have like a script of all these
[26:17.68]  detailed questions i want or is it
[26:19.20]  better to wing it
[26:20.08]  what do you think is best what we found
[26:21.60]  is somewhere in the middle having an
[26:23.04]  outline of where you want to go some
[26:24.56]  type of road map if you will
[26:26.08]  but leaving yourself freedom for things
[26:28.40]  to come up some creativity like you
[26:30.00]  never know what's
[26:30.80]  what's going to happen like we didn't
[26:32.48]  know shelter in place would just
[26:34.24]  put us in a position where we had to
[26:35.92]  handle just a surge of
