Title     : MicroConf Remote 2020
[02:58.00]  i went to my first microcomp last spring
[02:59.84]  as a lucky scholarship recipient
[03:01.60]  and i was feeling a bit stuck in my
[03:02.80]  business and i had a decent offer to
[03:04.24]  sell on the table so i arrived thinking
[03:06.00]  i would learn how to run a
[03:07.44]  real internet business and plan to start
[03:09.84]  fresh
[03:11.12]  the very first night at the mixer i had
[03:12.56]  a conversation with a fellow attendee
[03:13.92]  who suggested i read before the exit
[03:15.92]  by dan andrew of tropical nba fame that
[03:18.32]  piece of advice alone was worth the trip
[03:20.00]  the cost of my flight through all the
[03:21.76]  hallway track conversations i had i came
[03:23.52]  to realize that the business i had was a
[03:25.52]  real business
[03:26.32]  and i started breaking free of some of
[03:27.84]  my imposter syndrome
[03:29.44]  for those of you returning to microconf
[03:31.28]  thank you you're the reason we've been
[03:32.88]  grinding away at this event for nearly a
[03:34.56]  decade
[03:35.20]  and why when we couldn't come together
[03:36.88]  in april we knew we needed to make some
[03:38.96]  magic happen
[03:39.92]  so grab a snack a cup of coffee or a
[03:42.16]  glass of wine
[03:42.96]  and welcome to the microconf remote
[03:44.88]  studio
[03:46.56]  uh it's time to start the founder
[03:48.08]  journey of getting to your first
[03:51.28]  fail so corinne pope is a long time
[03:54.56]  microconf attendee i've had many
[03:55.92]  conversations with her and i'm stoked
[03:57.28]  that she's here
[03:58.08]  to share the stage with me today she's
[03:59.92]  the founder of speckled
[04:01.28]  a tool that helps product managers build
[04:03.20]  the right thing at the right time
[04:05.36]  after stair stepping her away from a
[04:06.80]  corporate gig through an info product
[04:08.48]  business and then to a product
[04:09.60]  apprenticeship
[04:10.32]  she recently made the leap into building
[04:12.08]  sas products and in the quest for
[04:13.92]  product market fit
[04:14.96]  she enjoys talking to customers
[04:16.56]  designing and developing new features
[04:18.24]  and of course plusing over conversion
[04:19.92]  rates as we all do
[04:21.36]  failing from austin texas she fuels her
[04:23.28]  enjoyment of running stupid long
[04:24.88]  distances her words not mine
[04:26.72]  with tex-mex and toppo chico so corrine
[04:30.24]  pope welcome to the show thanks for
[04:32.16]  joining me on microcom
[04:33.60]  thanks rob all right good morning
[04:36.16]  everyone
[04:37.04]  i'm really excited to be here and talk
[04:39.44]  to you about the story of how i
[04:41.44]  inadvertently launched speckled now from
[04:44.40]  my story
[04:45.36]  i hope that you can learn from some of
[04:46.64]  my mistakes and take away some new
[04:48.64]  tactics to apply to your own ideas
[04:51.60]  i'll start with the origin of the idea
[04:53.76]  and how it got off to
[04:54.96]  an admit at least slow start
[04:58.00]  talk about the groundwork that was laid
[05:00.24]  way before this ever became a thing
[05:02.72]  and finally move into how i managed to
[05:05.20]  build up the momentum
[05:06.56]  that i needed to launch my product so
[05:09.60]  let's get into it
[05:13.52]  how many of you have had this happen to
[05:15.84]  you
[05:16.88]  you get an idea you're super excited
[05:19.28]  about it so you
[05:20.56]  run to your journal or your note-taking
[05:22.40]  app you write it down
[05:24.24]  the more you start thinking about it the
[05:26.16]  more convinced you are that
[05:27.76]  this is the one like this is the idea
[05:29.84]  that you need to work on right now
[05:32.08]  so you spend probably a little bit too
[05:34.80]  much time picking up
[05:36.32]  just the perfect domain and then you dig
[05:38.96]  into the fun parts
[05:41.76]  now this happens to me a bit more
[05:44.08]  frequently than i'd like to admit
[05:46.00]  but you know the beginnings part is just
[05:48.32]  so much fun
[05:50.84]  however fast forward
[05:54.16]  a couple of months sometimes even a few
[05:56.24]  weeks
[05:57.52]  and something happens somehow you've
[06:00.48]  lost a bit of momentum
[06:01.84]  and your great idea has migrated over to
[06:05.60]  your
[06:06.16]  project graveyard now
[06:09.28]  my project graveyard is a pretty
[06:11.44]  expensive place
[06:13.20]  the amount of money i spend on domain
[06:15.44]  renewal fees
[06:16.48]  is straight up embarrassing
[06:19.60]  but you know this isn't a place where we
[06:21.44]  really want our projects to land
[06:23.60]  we want to launch them put them out into
[06:25.44]  the world get people on board
[06:27.92]  and make a tool that provides value to
[06:30.16]  the people that we serve right
[06:32.96]  now quite honestly this whole
[06:36.32]  cycle is how speckled got started off
[06:41.36]  it was a sunday in june in the middle of
[06:43.68]  a hot texas summer
[06:45.36]  i was sitting outside writing in my
[06:47.04]  journal brainstorming some ideas
[06:49.92]  i had a job at the time and we were
[06:51.68]  getting all of this work
[06:53.04]  piled onto our plate but no new
[06:55.20]  resources to handle it so we had to
[06:57.36]  prioritize
[06:58.24]  pretty ruthlessly so i was like okay
[07:02.16]  i have this issue and i get the feeling
[07:04.24]  that other people may too
[07:06.00]  so i'm gonna register a domain and get
[07:07.76]  to work so
[07:09.04]  i design the website write the copy
[07:11.68]  start drawing up some user flows and
[07:13.44]  wireframes
[07:15.12]  but then life gets in the way
[07:19.20]  now as i mentioned i was working a job
[07:22.48]  my team members were everywhere from
[07:25.12]  eastern europe
[07:26.56]  to the u.s to the philippines and it
[07:29.28]  felt like i was in meetings from
[07:30.96]  sun up to sun down on some days and to
[07:34.16]  be honest
[07:34.72]  at this point my job was the top
[07:36.64]  priority and
[07:38.08]  you know the time needed to get this
[07:39.84]  idea really really kicked off just
[07:42.24]  wasn't quite there
[07:45.36]  but still you know
[07:49.28]  this idea kept bugging me it elizabeth
[07:52.16]  gilbert has this concept in her book big
[07:54.32]  magic that
[07:55.44]  ideas are going to constantly come visit
[07:57.60]  you they're going to wake you up in the
[07:58.96]  middle of the night
[08:00.08]  distract you and not leave you alone
[08:02.80]  until they have your fullest attention
[08:05.44]  and then in a quiet moment they're going
[08:07.04]  to ask do you want to work with me
[08:11.20]  and at this point you can say no you
[08:13.36]  know that's okay
[08:14.40]  maybe you're not the right idea for me
[08:16.40]  you know why don't you go and meander
[08:18.16]  over to my project graveyard
[08:21.12]  or you can say yes and so this idea had
[08:24.96]  been really bugging me
[08:26.08]  and for so long i wanted to work on it
[08:27.76]  so i said yes
[08:32.80]  at the end of 2019 i had
[08:36.16]  made the decision to leave my job quite
[08:39.36]  honestly i was a bit burnt out at the
[08:41.28]  time
[08:42.16]  i needed some time to recover and get
[08:44.64]  all those creative juices back so i took
[08:46.72]  some time to relax
[08:48.40]  hang out with my family over the
[08:49.76]  holidays follow some curiosities
[08:52.72]  and then once i was ready start working
[08:54.72]  on this idea
[08:57.04]  and about seven later seven months later
[08:59.68]  i
[09:00.16]  inadvertently launched my product and
[09:02.48]  today i want to talk to you
[09:04.00]  about the time between committing to the
[09:06.08]  idea and actually launching
[09:08.24]  like what was the difference between
[09:12.08]  this project that landed up launching
[09:14.40]  and all the other ones that had landed
[09:16.24]  in my side project graveyard
[09:19.04]  now in prep for this talk i did a
[09:22.40]  lot of looking back to try to figure out
[09:24.40]  what it was that made this one different
[09:27.36]  and i realized it came back to this
[09:29.84]  concept
[09:30.56]  of momentum now previously i do the
[09:34.88]  whole
[09:35.44]  get super excited about something lose
[09:37.60]  momentum kind of think
[09:39.92]  but this idea it managed to achieve a
[09:43.12]  sort of
[09:43.76]  escape velocity and avoid the graveyard
[09:46.96]  and there were two things i realized
[09:48.80]  that helped me achieve this escape
[09:50.88]  velocity
[09:52.32]  and that was to have a strong base from
[09:54.72]  which to launch
[09:56.08]  and the other one was the tactics that i
[09:58.08]  implemented to get enough momentum to
[10:00.00]  get this thing out into the world
[10:02.64]  so let's first talk about building your
[10:05.28]  base
[10:06.32]  now to get this started you're going to
[10:07.92]  need a strong launch pad that you can
[10:09.84]  push off of
[10:11.28]  and the great thing about this part is
[10:12.88]  it's something that you can work on
[10:14.56]  way before you ever start building a
[10:16.56]  single thing
[10:18.80]  and for me the first part of this base
[10:20.96]  is made out of
[10:22.24]  confidence and skills and and this
[10:25.52]  component
[10:26.16]  took a good ten years for me to build
[10:28.80]  and
[10:29.44]  you know i'll just put it out there i'm
[10:30.96]  not the most confident person in the
[10:32.56]  world
[10:33.04]  you know many days on this journey i've
[10:34.80]  woken up and been like oh my god
[10:37.20]  what did i get myself into can i really
[10:39.84]  do this
[10:41.04]  and you know other days it's like okay
[10:42.56]  this is great i can't believe i get to
[10:44.00]  do this on a day-to-day basis this is
[10:45.68]  awesome
[10:46.72]  so you know while i'm not 100 confident
[10:49.76]  i am about 80 of the way there
[10:53.60]  and i realized before starting that this
[10:56.40]  that if if i could get to 80
[10:58.48]  confident and build the skills that i
[11:00.64]  knew that i would need
[11:01.92]  i could manage to pick up the rest along
[11:04.16]  the way
[11:05.84]  so i started working on more and more
[11:08.32]  ambitious projects
[11:10.00]  now rob calls this the stair-step
[11:11.60]  approach and it's an approach that
[11:13.60]  took that i took that worked for me
[11:17.92]  all right so i started off in a
[11:20.72]  corporate gig
[11:21.76]  i was doing project management for
[11:24.16]  government
[11:24.80]  i.t infrastructure projects let me tell
[11:27.68]  you
[11:28.00]  it was a complete snooze fest i could
[11:30.96]  only push papers around
[11:32.24]  and follow arbitrary processes for so
[11:34.16]  long before i began to ask
[11:36.32]  is this really something i want to do
[11:38.00]  the rest of my life
[11:40.16]  so a couple years into this role i
[11:42.16]  decided to start a little info products
[11:44.24]  business on this side
[11:46.08]  there i learned the basics of running a
[11:48.16]  little internet business
[11:49.60]  how to build and distribute a product
[11:51.76]  and how to make a little bit of money on
[11:53.28]  the web
[11:55.44]  however i also learned that you should
[11:57.92]  pick
[11:58.56]  a niche you like and you should pick a
[12:01.68]  market that is going to be able to
[12:03.12]  support you financially
[12:05.28]  now i didn't either i picked a niche
[12:07.60]  that could not support me
[12:09.20]  and i quickly began bumping up against
[12:11.92]  the wall
[12:13.92]  now the goal was always to build a
[12:15.36]  product but i didn't feel like i was
[12:17.60]  quite there yet i was missing some
[12:19.28]  skills
[12:20.32]  and i realized that so i swallowed my
[12:23.12]  pride
[12:23.76]  and i went and i got a job working for
[12:26.64]  someone else
[12:28.72]  now i was managing someone else's
[12:30.56]  product but i was working on developing
[12:33.20]  my product sense
[12:34.32]  learning how to manage a development
[12:35.76]  team do onboarding calls
[12:37.60]  conduct customer interviews and all
[12:39.52]  other things that come along with
[12:40.80]  running a sas product
[12:42.72]  and after a few years i was a bit tired
[12:46.56]  this darn idea was still knocking down
[12:49.36]  my door
[12:50.40]  i was ready for a change my confidence
[12:53.20]  was
[12:54.32]  almost there and i had developed the
[12:56.24]  skills that i need to get started
[12:59.04]  but confidence and skills aren't the
[13:01.52]  only thing that you need to construct
[13:03.36]  your launch pad
[13:05.76]  you you need a community now
[13:08.80]  i'd always thought of myself as a bit of
[13:10.80]  a lone wolf like
[13:12.24]  i don't need anyone i could do this on
[13:14.16]  my own it's going to be fine
[13:16.64]  but over time i started working out
[13:18.88]  finding a community
[13:20.24]  and now that i have one i realized just
[13:22.80]  how critical
[13:23.68]  it has been along the way and there are
[13:26.08]  some really great communities out there
[13:27.60]  micro conf connect is a great example
[13:30.00]  there's also indie hackers maker pad
[13:32.32]  women make
[13:33.20]  i'm in the go rails community and i love
[13:35.20]  that so
[13:36.64]  go find a community contribute and give
[13:38.88]  more than you take
[13:39.84]  really dig in and find your tribe
[13:43.52]  next up join a mastermind they're going
[13:46.64]  to give you the accountability that you
[13:48.16]  need to push through from week to week
[13:49.84]  and they're going to be the sounding
[13:51.04]  board that you need on this
[13:52.88]  often lonely path my mastermind group
[13:54.96]  members are on the call supporting me
[13:56.56]  right now so
[13:57.36]  hey guys also consider getting a mentor
[14:02.00]  now if you're going to go straight up
[14:03.60]  ask someone that has
[14:05.28]  never heard from you will you be my
[14:07.12]  mentor you're probably not going to have
[14:09.36]  a good time
[14:10.32]  you know the people you want to be your
[14:12.08]  mentor are often really busy
[14:14.48]  in demand people so that being said
[14:17.60]  if you get stuck on something and you
[14:20.24]  want them to weigh in
[14:21.60]  maybe type it up in an email add a
[14:24.00]  little context
[14:25.12]  shoot it over to them and if they
[14:27.12]  respond
[14:28.80]  then that's great you know you take
[14:30.64]  their advice
[14:32.24]  and you work on closing that feedback
[14:34.88]  loop let them know how their
[14:36.40]  you know their advice went and you know
[14:39.12]  start building that relationship
[14:40.64]  and if they don't respond no worries
[14:44.48]  okay um and then
[14:47.84]  finally this is this kind of this kind
[14:50.08]  of thing is something that i wish i had
[14:51.76]  known before i had gotten started so i
[14:53.36]  just wanted to make sure
[14:54.48]  to include it realize that not everyone
[14:57.68]  is going
[14:58.00]  to understand this path you know it's
[15:00.48]  not a role
[15:01.36]  at some famous corporation complete with
[15:03.76]  a matching 401k
[15:05.28]  plan and three weeks vacation it's a
[15:08.00]  little different
[15:09.36]  some family and friends may not get it
[15:11.44]  at first and
[15:12.40]  heck even my parents have no idea what
[15:14.88]  it is that i do on a day-to-day basis
[15:17.76]  now when xander called me about speaking
[15:20.56]  to all of you
[15:21.36]  i was so excited one of the first things
[15:25.12]  i did when i got off the phone was to
[15:26.80]  call my parents and let
[15:28.00]  let them know so you know they said hey
[15:30.88]  hey mom and dad like i'm gonna be
[15:32.32]  speaking
[15:32.88]  speaking at microcontrol and they're
[15:34.40]  like oh oh that's nice corinne
[15:36.48]  congratulations
[15:37.84]  you know that'll be a great thing for
[15:40.24]  you to put on your resume for when it's
[15:41.92]  time to get a real job
[15:43.44]  it's like ouch but you know i think
[15:46.00]  they'll get it maybe
[15:47.04]  eventually at least i'm secretly hoping
[15:48.80]  that they do
[15:50.08]  but the funny thing that i realized from
[15:52.00]  this is that you don't need permission
[15:54.08]  to go get started on the path like you
[15:55.84]  you can just go get start
[15:57.36]  get go get started so go start
[16:01.84]  build your confidence build your skills
[16:04.32]  and then get ready for the next phase
[16:06.88]  get something out there and start
[16:08.64]  building your momentum
[16:11.28]  all right so let's start with the most
[16:12.88]  logical place to start
[16:15.52]  the idea now people say there's no such
[16:18.96]  thing as a bad idea
[16:20.48]  but i would say that a really good idea
[16:22.72]  can help you get a lot more momentum
[16:24.64]  than say just
[16:25.60]  an okay idea now
[16:28.64]  even though i had this idea for speckled
[16:31.76]  i still spent some time making sure it
[16:34.24]  was a good one and making sure it was a
[16:36.32]  valid problem
[16:38.40]  so i went and i made sure people were
[16:40.80]  talking about this problem online that
[16:42.64]  people were
[16:43.52]  complaining about it in forums and
[16:45.60]  websites and
[16:46.96]  you know all those places online
[16:50.16]  so you know that that was there i made
[16:53.28]  sure people understood this category
[16:55.28]  and were buying things like it i was not
[16:57.68]  quite ready to
[16:59.28]  start a whole product in a category that
[17:02.32]  no one understood so i wanted to make
[17:04.88]  sure that this was a category
[17:06.32]  that existed and
[17:10.00]  i wanted to make sure that i enjoy being
[17:12.48]  around the kind of people who have this
[17:14.08]  problem
[17:15.12]  now i'm a product manager i love product
[17:17.52]  people so i was like okay
[17:19.84]  i think i'm good with that one i can
[17:21.84]  hold my own
[17:23.04]  and this was kind of the basic criteria
[17:25.68]  that i made sure to
[17:26.80]  suss out and make sure that this was a
[17:28.48]  decent idea
[17:30.40]  now there may be more questions out
[17:31.76]  there you want to consider but these
[17:33.20]  were the ones that worked for me
[17:36.00]  okay so you want to start off with a
[17:37.92]  decent idea and then it's time to do
[17:40.16]  some dun dun dun
[17:44.84]  marketing yep if that makes you
[17:47.92]  if that makes you squirm then i am right
[17:50.96]  there with you
[17:52.40]  now i feel like this is an obligatory
[17:54.40]  microcomp slide
[17:55.84]  i feel like it's advice that is commonly
[17:58.40]  dished out
[17:59.12]  and it's commonly ignored and i think i
[18:02.00]  know why
[18:03.44]  it's just that building is just
[18:06.80]  so much fun like who doesn't love going
[18:10.08]  into this flow state and doing all the
[18:11.84]  stuff that they love to do and
[18:14.40]  talking about yourself and hyping up
[18:16.16]  your product is super
[18:18.24]  super uncomfortable most introverts like
[18:21.12]  us
[18:21.44]  don't really like to toot our own horn
[18:23.44]  it's awkward
[18:24.56]  and quite honestly it sucks but
[18:28.40]  you know what sucks more going into a
[18:31.12]  flow state
[18:31.92]  for a couple of months surfacing for air
[18:34.72]  with something that's ready for the
[18:35.92]  market
[18:36.96]  and realizing you haven't told anyone
[18:39.28]  about it yet
[18:40.72]  so we're going to try to avoid that and
[18:43.20]  this is the technique i use
[18:44.72]  to avoid that and it's um
[18:48.24]  by building a reverse press release this
[18:51.04]  is kind of something that amazon does
[18:52.72]  for their new products
[18:53.84]  so before anything is ever built you
[18:56.24]  write a press release
[18:57.60]  hyping up your new product talking about
[18:59.76]  its features
[19:00.96]  the value that users are going to get
[19:02.56]  from it and heck maybe even throw some
[19:04.64]  fake customer testimonials in there for
[19:06.64]  good measure
[19:08.80]  now once you've shaped up a product that
[19:11.44]  you'd be happy to see hit the market
[19:13.44]  then it's time to take some of that
[19:14.96]  language add it to a landing page
[19:18.00]  and make sure you add an email capture
[19:21.12]  now spend a little plan time promoting
[19:23.60]  that around a bit
[19:24.56]  and you'll start seeing new emails
[19:26.96]  trickle onto your list
[19:29.76]  now then and only then do you actually
[19:33.12]  go
[19:33.84]  and build the darn thing
[19:38.16]  now as you may have picked up i am not
[19:40.24]  an engineer by training
[19:41.60]  i only started teaching myself how to
[19:43.36]  code last year
[19:44.80]  end of last year really and still have a
[19:47.20]  bit of a way to go
[19:48.72]  still though i was very optimistic on
[19:50.96]  how much i could get done
[19:52.24]  and how quickly i could do it you know i
[19:55.28]  remember
[19:55.84]  writing in my journal in january be like
[19:58.00]  ah i could totally launch this by march
[20:01.28]  in march i wrote oh yeah it'll be done
[20:03.52]  by april
[20:05.28]  maybe in april it was like okay i think
[20:07.76]  i could get it down
[20:08.88]  down by uh down by may and you know
[20:12.64]  things just kept getting getting pushed
[20:14.32]  back and it was late february i was on a
[20:17.12]  call with one of my code mentors
[20:18.96]  and i was walking him through this
[20:20.88]  problem that i was having
[20:22.32]  and he basically told me that i was
[20:23.92]  making this entirely too complicated for
[20:26.16]  myself
[20:27.20]  i had all these tables in my application
[20:29.36]  and a very academic understanding of
[20:31.36]  what a database should look like
[20:33.44]  so already a couple months in i was
[20:36.08]  tearing
[20:36.56]  everything apart starting all over again
[20:40.00]  and it was a bummer but from this i
[20:42.88]  learned
[20:43.44]  to keep it simple instead of adding
[20:46.88]  features cut them
[20:49.60]  now this is what my initial mock-up for
[20:52.48]  my product
[20:53.12]  look like okay nothing too crazy
[20:57.20]  but here is what i actually launched
[21:00.40]  with
[21:01.52]  just this part in this pink box just
[21:03.68]  this little prioritization feature
[21:06.32]  and had i tried to get everything on
[21:08.56]  here done
[21:09.52]  i probably would have lost any momentum
[21:12.64]  and sent this project to join the many
[21:15.28]  others in my project graveyard
[21:18.08]  now it did feel super underwhelming to
[21:20.16]  launch with this i'm not going to lie
[21:21.84]  but the thing is i got it out there
[21:25.44]  and even getting this out there was a
[21:27.60]  bit of a struggle to be honest
[21:29.12]  that last 10 of the work was taking
[21:32.64]  the same amount of time as the first 90
[21:35.60]  it was like
[21:36.40]  wtf i kept hearing myself say
[21:39.52]  oh i'll just build this one more thing
[21:41.52]  this one more feature
[21:43.12]  i just need to make this one more bug
[21:44.72]  fix i just need to fix up the ui ux it
[21:47.28]  needs a little bit of tweaking it's not
[21:48.80]  quite there yet
[21:49.92]  still need to add notifications so on
[21:52.48]  and so forth
[21:54.88]  now fortunately i realized that i was
[21:57.92]  killing my
[21:58.96]  own momentum so one day after fixing
[22:02.32]  some issues
[22:04.48]  uh i i realized it was
[22:07.52]  it was good it was good enough you know
[22:09.44]  it wasn't perfect
[22:10.72]  but it wasn't you know absolutely
[22:12.88]  terrible
[22:14.08]  so one morning i pushed everything to
[22:17.04]  production
[22:19.12]  i let that marketing list that i had so
[22:21.68]  conveniently
[22:23.20]  built up a few months ago know
[22:26.24]  that you know hey it's live it's ready
[22:28.16]  to try out
[22:29.68]  and i watched as some users rolled into
[22:33.12]  my production
[22:33.92]  database you know there was no splashy
[22:37.52]  product hunt launch
[22:39.12]  there was no launch party heck i don't
[22:41.20]  think i even popped open a bottle of
[22:42.96]  wine or cracked open a beer
[22:44.72]  but and what i did have was a product
[22:48.16]  that was in motion
[22:49.20]  it was out in the world it's picking up
[22:51.12]  momentum
[22:52.24]  users are starting to use it and now i'm
[22:55.28]  trying to figure out how to
[22:57.36]  build and maintain my momentum and to be
[23:00.56]  honest
[23:01.52]  this is a work in progress from what
[23:04.80]  i've learned so far
[23:06.32]  you know feedback has been critical in
[23:08.96]  this part
[23:09.68]  and learning how to take it how to take
[23:12.16]  it not personally
[23:13.52]  has been a challenge and it's been a
[23:15.68]  really good learning lesson
[23:17.68]  now i'm definitely not good at it by any
[23:19.60]  means i remember
[23:20.72]  i got my first piece of negative
[23:22.40]  feedback i was out camping
[23:24.88]  i checked my phone because i'm
[23:26.64]  apparently the kind of person who brings
[23:28.40]  their phone camping
[23:29.36]  i know shame on me and i saw this piece
[23:31.84]  of negative feedback come in and i was
[23:33.36]  like oh
[23:34.08]  man like this sucks so i sit there
[23:37.44]  wallowing myself pity for about 15-20
[23:40.00]  minutes
[23:40.64]  stare into the campfire and realize that
[23:44.00]  you know this
[23:44.72]  feedback is a gift and you can use the
[23:48.08]  feedback that you get after you launched
[23:50.32]  to work on iterating your product and
[23:52.96]  building a better product
[23:54.64]  so you could do a lot of positive with
[23:56.64]  the feedback that you get
[23:58.32]  and also combined with using your own
[24:00.08]  product you'll quickly figure out what
[24:02.08]  it is that you need to work on improving
[24:05.52]  so in review we talked about
[24:09.04]  building your base and how building a
[24:11.52]  community
[24:12.56]  your confidence and your skills is going
[24:14.56]  to set you up on the path
[24:16.16]  for success down the road how
[24:19.20]  a good idea is going to help carry your
[24:22.16]  momentum
[24:23.12]  a bit more than say an okay idea
[24:26.64]  and of course then you could go you know
[24:28.32]  by the domain and start thinking about
[24:30.40]  some of the fun parts
[24:32.08]  but before you do that
[24:35.28]  spend a couple of days setting up a very
[24:37.60]  basic marketing system
[24:39.84]  so that when you do come up from air for
[24:42.72]  air after building this
[24:44.48]  you know you're not starting from a dead
[24:46.40]  stop you do have some momentum and some
[24:48.56]  some place to go from here
[24:51.36]  and to be honest i'm not sure what
[24:53.60]  happens after this part
[24:55.36]  i'm really looking forward to hearing
[24:57.12]  some of the other speakers
[24:59.04]  that are going to be coming later today
[25:00.96]  to see maybe what's in store for me down
[25:03.12]  the road
[25:04.40]  but in the meantime i hope you learned a
[25:06.96]  bit from the story about how i
[25:08.88]  launched speckled and how it got started
[25:10.72]  off pretty slow
[25:12.32]  how i managed to build up some momentum
[25:14.40]  with a decent idea
[25:15.68]  a very simple marketing system and a
[25:18.24]  paired down product
[25:19.84]  and how i inadvertently launched to make
[25:21.76]  sure that i could keep my momentum going
[25:25.44]  now if you're thinking about taking this
[25:27.04]  path and launching your own product
[25:29.20]  hopefully with a bit of a more
[25:31.36]  deliberate launch than i did
[25:33.28]  i'd highly recommend it it is incredibly
[25:35.92]  rewarding
[25:36.80]  and i think you're going to enjoy the
[25:38.24]  ride you got it well corinne
[25:40.40]  again audience questions are gonna start
[25:42.16]  coming in i'm gonna kick us off with a
[25:43.52]  couple questions
[25:44.32]  um that i had for you great talk i
[25:46.56]  really
[25:47.52]  enjoyed it and loved hearing your story
[25:49.60]  um
[25:50.88]  i think the the first thing i wanted to
[25:53.28]  ask is about the stair-step approach
[25:54.56]  that you mentioned
[25:55.36]  um what i've noticed is i personally
[25:58.72]  traveled the stair step
[26:00.08]  approach but i didn't realize i was
[26:01.52]  doing it as i was doing it that wasn't
[26:03.28]  my goal from the start necessarily i was
[26:05.12]  just so risk-averse i didn't want to
[26:06.88]  build the big sas app quit the day job i
[26:08.80]  had a wife and a kid and a mortgage and
[26:10.56]  all that
[26:11.04]  i'm curious with you did you from the
[26:13.20]  start think i'm going to build the small
[26:14.64]  one and then the next and next and next
[26:16.08]  level up or was it more of an
[26:17.44]  inadvertent walk down that path
[26:19.76]  it was probably a combo of the two i
[26:21.68]  think that i probably got to
[26:23.04]  the info products business and i was
[26:24.64]  like okay like this is cool like this is
[26:26.96]  a path that i
[26:27.92]  i could take in the future but i'm not
[26:30.24]  sure i would like to do a product in the
[26:32.08]  future
[26:32.80]  and i'm not quite there so i think i'm
[26:34.56]  gonna need to take a couple stair steps
[26:36.40]  so i kind of got there
[26:37.76]  halfway there organically and then the
[26:39.68]  rest of it was a little bit more planned
[26:42.72]  yeah yeah i think that's a pretty common
[26:44.88]  story actually i think some people
[26:47.28]  start doing it because they want to keep
[26:48.80]  the day job or they don't want to leap
[26:50.56]  from one island to the next they want to
[26:52.00]  have you know a foot on both of them
[26:54.24]  and then once they hear about it it's
[26:55.68]  like a theory that matches up with what
[26:57.28]  they wanted to do
[26:58.16]  anyways you know and it kind of gives
[26:59.68]  them permission to do it i think
[27:01.92]  another thing i want to touch on is
[27:03.84]  about you talked about asking for
[27:05.44]  permission
[27:06.24]  um which is something i've harped on
[27:08.00]  quite a bit because
