Title     : RightMessage Year 1:  From $75k Launch to Virtually Bankrupt to Product Market Fit – Shai Schechter
Video ID  : MLn1K--8zPU
[22:00.94]  you you know you don't want to be doing
[22:02.26]  things like that and that's not that's
[22:04.69]  not the end goal but it can be something
[22:06.82]  to do in the short term
[22:09.36]  does anyone reckon they know which one
[22:12.67]  of these we ended up doing which we
[22:16.93]  ended up doing anyone want to guess put
[22:18.34]  your hand up a few people want to guess
[22:20.44]  yet you're all right and we did all of
[22:22.42]  them at one time or another we had to do
[22:25.24]  and we ended up having to one time or
[22:27.10]  another do every one of these and it's
[22:28.93]  not a nice thing to have to do
[22:30.31]  particularly had to do to not run out of
[22:35.47]  money that was how we had to fix the the
[22:37.66]  mistakes we've made and once we've done
[22:41.38]  that and we had enough runway that we
[22:42.67]  could we could actually fix the problem
[22:43.72]  properly we're like okay so smaller team
[22:48.04]  now I think we can be we can we can
[22:49.78]  figure this out and we start asking why
[22:53.56]  are people churning and I fingers are
[22:58.33]  related but often more important
[23:01.96]  question we're kind of the temptation is
[23:04.60]  to is to look at those people who have
[23:07.30]  left and be like why did they why did
[23:08.95]  they go right we're like what did we do
[23:11.41]  wrong what what would have made them
[23:13.18]  stay and actually sometimes more useful
[23:16.24]  is this why are the people who are
[23:19.78]  staying staying right because on the
[23:25.54]  same day we'd have someone churn and
[23:27.55]  then we'd have someone writing on
[23:29.20]  Twitter like this is the best thing ever
[23:33.03]  finally got right message running it's
[23:35.98]  badass this was like my conversion rates
[23:38.62]  to my email list have 5x - overnight
[23:43.20]  totally in loooove already seeing higher
[23:45.22]  conversions I'm learning about my
[23:46.57]  visitors it might be the best money I've
[23:48.55]  ever spent on my business and then five
[23:50.98]  minutes later someone's like yeah this
[23:52.27]  doesn't like I didn't get it I don't
[23:54.34]  want it and so we're like we need to go
[23:57.55]  and talk to these people need to go and
[23:58.72]  talk to kind of both groups but and you
[24:02.23]  know it's something that we don't all
[24:03.19]  love doing necessarily speaking with the
[24:05.47]  people but we needed to do a lot of it
[24:08.89]  and so we went to the people all these
[24:12.91]  people who are saying great things and
[24:14.08]  we were looking
[24:14.69]  we could see we could see from their
[24:15.92]  accounts there were some people who were
[24:17.51]  absolutely crushing it
[24:19.93]  and we went to spoke with them and I'm
[24:23.39]  actually gonna correct that would listen
[24:24.71]  to them and there's an important
[24:26.39]  distinction those calls kind of ideally
[24:29.18]  you should be saying as little as
[24:30.65]  possible and you just want to be hearing
[24:32.60]  from them like we're just guiding the
[24:33.92]  conversation and they're all these times
[24:39.14]  when you can speak with customers that
[24:41.12]  like I said earlier we weren't doing
[24:42.65]  these because we had a team that would
[24:45.08]  kind of doing these things and filtering
[24:46.55]  bits and pieces back to us when we
[24:49.19]  started doing things like the onboarding
[24:51.56]  calls the customer support we ended up
[24:54.23]  actually learning a lot about what what
[24:57.98]  was going on in our customers worlds
[24:59.27]  anyway without even directly asking like
[25:00.80]  we just got a better feel for how
[25:02.08]  everything was going
[25:06.37]  post cancellation is an interesting one
[25:08.69]  we ended up using the bare metrics
[25:13.39]  cancellation insights widget it's
[25:16.13]  essentially it's something you drop it
[25:17.63]  into your app it swaps out your cancel I
[25:19.97]  want to cancel button for a I want to
[25:22.70]  cancel but let's get some feedback from
[25:26.63]  your first button so just when they
[25:30.26]  press cancel it asked them why we found
[25:34.22]  this work this was this was a helpful
[25:35.51]  kind of way to get answers from everyone
[25:37.88]  we hacked the product in two ways we
[25:39.92]  changed two things about it one was that
[25:43.22]  we made the comment required and no
[25:46.43]  people have had mixed results trying
[25:48.65]  this and the kind of the the fairies or
[25:51.04]  sometimes the the results is people just
[25:53.33]  kind of press keys on the keyboard they
[25:54.86]  don't care like whatever though we
[25:56.69]  actually found it worked really well for
[25:57.74]  us we got some really valuable insights
[26:02.89]  but like I say other people have found
[26:05.12]  more success with things like just
[26:07.61]  having a straight danzel button and then
[26:08.81]  maybe emailing afterwards and getting
[26:10.79]  more info the second happy that we made
[26:13.28]  was that when you picked one of the
[26:15.32]  multiple choice answers the prompt for
[26:18.08]  what to type into the comment box would
[26:19.49]  change and it's also really helped so
[26:22.73]  they press like I'm switching to another
[26:24.11]  product which in itself isn't such a
[26:25.91]  useful piece of information that
[26:27.72]  from could become which product are you
[26:29.49]  switching to and why if you don't mind
[26:31.80]  sharing so again we were getting really
[26:33.51]  useful insight and not automating our
[26:39.54]  lifecycle emails also helped us get a
[26:42.09]  lot of insight what I mean is kind of if
[26:44.22]  you're getting if you've got a couple of
[26:46.77]  trials thank you for and it has small
[26:48.66]  handful trials coming in each day or
[26:50.01]  each week and a Chan hero that here and
[26:52.38]  they're like that's not such a volume
[26:55.20]  that you can't handle that yourself so
[26:57.39]  Brennan and I started just like when
[26:59.64]  someone signed up we would just reach
[27:01.71]  out manually like we switched up all
[27:03.09]  these advanced automations that we had
[27:04.55]  and we just reached out and we were like
[27:06.60]  hey thanks for signing up like let's
[27:11.31]  find like either why or how can we help
[27:13.56]  or how we make sure you're successful
[27:14.55]  late it was just and would maybe look up
[27:16.44]  who they were and it was it was tailored
[27:18.18]  it was and we tell that wasn't automated
[27:20.52]  as well because people are expecting
[27:21.69]  automated ones now and sometimes we even
[27:26.40]  do it when someone signs up to the email
[27:27.69]  list we don't do it for everyone but
[27:29.16]  sometimes someone signs up team to the
[27:30.48]  email list just reach out like introduce
[27:33.93]  ourselves and see how we can help in
[27:35.70]  just those organic conversations can
[27:37.89]  give so much insight that's you don't
[27:41.01]  know you don't have to automate
[27:41.91]  everything there comes a point when you
[27:43.17]  do have to and when you don't have to
[27:45.69]  it's not necessarily worth doing like I
[27:50.52]  said the kind of the priority when
[27:52.08]  you're if you don't have that product
[27:54.06]  market fit yet if you don't have kind of
[27:57.54]  just more customers coming in and you
[27:59.43]  can handle and and churn under control
[28:02.76]  and all the rest of it you want to be
[28:05.28]  like the priority is to learn and you
[28:07.89]  can't do that if you've automated away
[28:09.21]  every touchpoint between you and the
[28:10.44]  customer and so we've started trying to
[28:14.37]  figure out like why are people using the
[28:17.55]  product why the people succeeding
[28:18.90]  succeeding what's the benefit and what
[28:21.96]  were they doing before like what do
[28:24.12]  people do when when they're not using
[28:26.04]  right method yet what have they been
[28:27.18]  doing to get that benefit before this
[28:29.01]  has been taught well once or twice at
[28:30.96]  this conference the kind of the jobs to
[28:32.31]  be done idea like everything is
[28:34.11]  replacing something else that people
[28:35.79]  were doing
[28:38.44]  for us initially what we saw was that a
[28:42.44]  lot of people were doing nothing like
