Title     : Bootstrapping VS Venture Capital  - What Is The Right Move?
Video ID  : osu2JKekD0Y
[04:05.76]  and then two or three to break even or
[04:07.84]  maybe it's a two or three x return it's
[04:09.44]  a low return for them and then they want
[04:11.12]  one that is like the 100x return but
[04:13.60]  let's say blended across all that you
[04:15.68]  return 20 million dollars so what
[04:18.08]  happens with that 20 is the first 10
[04:20.96]  goes back to the investors just to pay
[04:22.72]  them back and make them whole of the
[04:24.32]  second 10 million that you made across
[04:26.48]  the companies you get 20 that's your
[04:29.04]  carry or your carried interest so you
[04:30.72]  would take 2 million dollars and then
[04:32.24]  you give the 8 million remaining back to
[04:35.12]  the investors so you know what
[04:36.48]  bootstrapping is you know what venture
[04:37.68]  capital is the question is bootstrapping
[04:39.52]  versus venture capital what's the right
[04:40.96]  move i'm actually gonna add to that
[04:42.48]  question and i'm gonna say there's
[04:43.60]  bootstrapping i'm gonna say there's
[04:44.88]  venture capital then there's this other
[04:46.64]  kind of funding that i think loosely
[04:48.48]  i'll call indie funding and this is
[04:50.16]  raising from places like tiny seed or
[04:52.48]  angel investors who don't expect nine of
[04:55.52]  the ten to necessarily fail and then
[04:57.68]  there's debt right there's revenue-based
[04:59.20]  financing that is available specifically
[05:00.88]  to sas companies once you hit about
[05:02.32]  fifteen thousand a month you have the
[05:04.00]  option of uh pulling some revenue-based
[05:06.48]  financing which which can be interesting
[05:07.92]  as well so when is bootstrapping right
[05:09.44]  for you if you want to run your company
[05:11.52]  forever or you really want to be able to
[05:13.76]  decide when to sell it on your own and
[05:15.60]  be in full control like that
[05:16.88]  bootstrapping is what you want to do
[05:18.72]  because if you don't want someone
[05:19.52]  looking over your shoulder asking
[05:20.48]  questions giving advice most of the
[05:21.68]  investors that i know are often they're
[05:23.36]  able to help companies there's actually
[05:25.20]  a benefit beyond the money but there of
[05:27.12]  course is that risk that you might you
[05:28.64]  know get an investor who's a bad apple
[05:30.48]  i've been on both sides i have
[05:32.48]  bootstrapped several companies then i
[05:34.64]  sold to a funded company so i saw what
[05:37.68]  38 million in venture capital could buy
[05:39.84]  and now i've started tiny seed where
[05:42.16]  we've raised north of 31 million
[05:44.64]  you know under management that we can
[05:45.92]  invest so i've seen both sides of it and
[05:47.60]  i will say unequivocally that
[05:48.72]  bootstrapping is harder that raising
[05:50.24]  funding makes things easier back in the
[05:52.32]  day i don't know you know i had great
[05:53.68]  little lifestyle businesses there's no
[05:55.36]  reason to raise money if you're gonna
[05:57.44]  build a business to a few hundred
[05:58.88]  thousand dollars in revenue i don't know
[06:00.56]  of any investors who wanna invest in
[06:01.84]  businesses that are that small if you
[06:03.52]  wanna raise venture capital you're gonna
[06:04.96]  get on that that track we call it the
[06:06.56]  venture track that's if you want to go
[06:08.48]  to the moon in essence you know you want
[06:10.32]  to build that billion dollar unicorn or
[06:12.88]  bust when you raise money when you raise
[06:15.04]  venture you're going to hire fast the
[06:17.04]  game is to burn money and to raise new
[06:18.72]  funding every 18 months at a higher
[06:20.80]  valuation you will have a board of
[06:22.40]  directors you'll have board meetings so
[06:25.12]  this is where it gets more complicated
[06:27.12]  it can be easier because you have all
[06:28.56]  this money to do stuff but the
[06:30.24]  complexity creeps in venture capitalists
[06:32.48]  often are able to block a sale of your
[06:34.56]  company and especially at low valuation
[06:36.64]  so it's that thing of they want you to
[06:38.56]  go big if you raise venture at a five or
[06:40.88]  10 million or 20 million valuation and
[06:43.04]  someone says i want to pay you 40
[06:44.80]  million dollars for this company usually
[06:46.72]  a venture capitalist does not want you
[06:48.08]  to do that even though you'll have a
[06:49.36]  great outcome they don't want you to do
[06:50.72]  that because they want you to go to that
[06:52.96]  billion dollar valuation in addition
[06:54.88]  venture capital funds are to have a 10
[06:56.48]  year duration and so
[06:58.24]  they want their companies to sell or to
[07:01.20]  go public within 10 years that's the
[07:03.52]  trade-off i think about is that i do
[07:05.44]  think that raising money is is easier
[07:07.28]  it's you can hire more support you can
[07:09.84]  move faster i'll touch on indie funding
[07:11.92]  which is the in between between
[07:13.60]  bootstrapping and venture funding this
[07:15.68]  is like what tiny seed is if you can
[07:17.92]  find a group of angels who don't
[07:19.20]  necessarily need that unicorn outcome
[07:21.68]  and have all the expectations i just
[07:23.20]  outlined maybe you just want to raise
[07:24.80]  one round of 250 000 or 500 000 to make
[07:27.28]  it easier to get to escape velocity and
[07:29.12]  then you want to become a profitable
[07:30.32]  company or you want to grow to the point
[07:31.52]  where you sell for 20 million you're
[07:32.80]  going to raise a smaller amount of
[07:34.00]  funding in that lower range usually in
[07:35.84]  the low six figures i would say that
[07:38.00]  this route of indie funding is simpler
[07:39.44]  than venture capital you're not going to
[07:40.64]  have a board you're not going to have
[07:41.92]  someone breathing down your neck and
[07:43.44]  usually you don't have to give up
[07:44.80]  control because that's not what you're
[07:46.56]  agreeing to do you can run your business
[07:48.72]  and pull profits out of it which is not
[07:50.80]  an option with venture funding right
[07:52.32]  they don't want you to pull profits out
[07:54.24]  they want you to go go and then sell or
[07:56.24]  ipo that's the third option and that's
[07:58.16]  something that you know i've seen
[07:59.36]  emerging over the past nine or ten years
[08:01.36]  and i started writing some angel
[08:02.72]  investment checks myself and then
[08:04.16]  realized that that there were more
[08:05.76]  companies than i had money to fund
[08:07.52]  israeli what it became and that was why
[08:09.04]  we decided to raise that tiny seed fund
[08:10.64]  lastly there is debt i have not done
[08:12.48]  that myself but we have funded some
[08:14.16]  companies who've done it and i think you
[08:15.44]  can borrow about four to six times your
[08:17.28]  mrr and then they take a certain
[08:19.36]  percentage of your top line revenue for
[08:21.84]  two or three years and then they make
[08:23.60]  back whatever it is two or three times
[08:24.96]  their money and that's it and the the
[08:26.56]  nice part about that if you decide to do
[08:28.08]  it is you don't have to give up equity
[08:29.60]  it's non-dilutive debt financing used to
[08:33.12]  be out of the question but specifically
[08:35.12]  with sas because the revenue and the
[08:36.40]  growth is so predictable about when you
[08:37.92]  hit 15 grand 20 grand a month you can
[08:39.76]  start finding some providers who can do
[08:41.92]  that if you want to learn more about
[08:43.12]  designing a bootstrapped business check
[08:45.36]  out the video in the description of this
[08:47.28]  video so it's called designing the ideal
[08:48.96]  bootstrap business by jason cohen who
[08:50.56]  was given at microcomp several years ago
[08:52.24]  if you're ready to take the leap into
[08:53.44]  building a bootstrap business uh check
[08:54.96]  out the playlist building your first
[08:57.20]  bootstrap sas the ultimate crash course
[08:59.52]  and that's compiled from talks from the
[09:01.68]  microconf stage thanks so much for
[09:03.28]  joining me today really appreciate it
[09:04.88]  and with that
[09:06.00]  we're gonna wrap this up
