Title     : Advanced American Idioms 🇺🇸  | LIVE QUIZ LESSON
Video ID  : cSVpsfA-pfQ
[11:39.84]  explain it
[11:40.64]  so think about here's this situation
[11:42.56]  right here
[11:44.08]  one person there's a blank because this
[11:46.96]  person is
[11:47.76]  using the idiom the key word is speak
[11:50.96]  so this that word is part of the idiom
[11:54.16]  and the other person says hey tom we
[11:56.08]  were just talking about you
[11:58.40]  so think about what
[12:01.44]  what idiom might this person be using
[12:04.08]  it's really
[12:04.80]  um it's kind of it's an expression that
[12:07.52]  people would use in
[12:08.56]  english to when this situation
[12:11.92]  occurs and i think we can all relate to
[12:14.64]  this situation so
[12:16.24]  what is what's this first person saying
[12:18.32]  right here
[12:19.36]  you know the situation somebody tom this
[12:22.64]  guy
[12:23.04]  he just arrived and they were just
[12:26.08]  they were just talking about him and you
[12:28.32]  would say this
[12:29.44]  excellent um julio
[12:32.48]  lulu perfect um
[12:35.92]  ramon julie uh gertrudis
[12:39.12]  lolly i think i i think you may have
[12:41.44]  heard this
[12:42.16]  uh expression before speak of the devil
[12:45.04]  so
[12:45.60]  i told you i think we can all relate to
[12:47.20]  it we're having a conversation talking
[12:48.88]  about somebody
[12:49.76]  that person just arrives or perhaps they
[12:52.24]  call
[12:52.80]  and you could say speak of the devil
[12:54.96]  which refers to it's used informally in
[12:57.68]  speech
[12:58.64]  to say that a person was being talked
[13:00.64]  about and then they suddenly appear
[13:03.04]  they appear or it could be like a phone
[13:05.36]  call that their their presence is felt
[13:07.60]  excellent the next one that i have for
[13:09.76]  you
[13:11.04]  is this and this one i think is a little
[13:13.68]  more
[13:14.64]  it's not as common but i
[13:17.84]  it's good again it's good for your
[13:19.28]  comprehension i told you guys i think
[13:21.20]  this
[13:21.76]  if anything the expectation is not that
[13:23.76]  you're going to
[13:24.88]  learn these and just go out and start
[13:26.32]  using them but so that you understand
[13:28.16]  them if you happen to hear them
[13:29.84]  uh in another conversation or movie tv
[13:32.72]  show so
[13:33.84]  they say i understand it's a big risk
[13:36.56]  but we need to
[13:38.96]  that's the idiom the key word that i'm
[13:41.76]  giving you is
[13:42.56]  caution so you the the context is
[13:46.96]  they're going to take
[13:48.16]  some risk and they're following it up
[13:52.00]  with this idiom what idiom am i talking
[13:55.44]  about
[13:56.00]  keyword is caution
[13:59.28]  all right so
[14:03.04]  excellent uh ramon very very quick
[14:06.80]  on that answer perfect uh ahmed yes
[14:10.08]  the answer is to throw caution
[14:13.36]  to the wind if you're saying that you're
[14:16.56]  going to throw
[14:17.36]  caution to the wind it's basically
[14:20.08]  saying that you're going to
[14:22.32]  you're not going to be careful and in
[14:25.04]  that situation
[14:26.00]  if there's something that's a risk then
[14:28.24]  perhaps you're not going to be careful
[14:29.84]  and you would
[14:30.88]  throw caution to the wind so
[14:34.16]  to throw caution to the wind to give you
[14:36.16]  the meaning is to behave in a way
[14:38.48]  that is not considered sensible
[14:41.60]  or careful to throw caution to the wind
[14:45.52]  all right now let's look at this next
[14:47.92]  one
[14:48.96]  here's another conversation that these
[14:52.48]  um these three ladies are having
[14:56.56]  she says i need your help finding my
[14:58.72]  ring
[14:59.60]  so the ring is lost it's so valuable to
[15:03.20]  me
[15:03.76]  and then she would say this idiom right
[15:06.24]  here
[15:07.28]  so based on this context this situation
[15:11.52]  i need your help they're looking for
[15:13.36]  this ring that well
[15:14.64]  that's what i was going to say they're
[15:16.08]  going to look for it
[15:17.68]  the ring is lost they're going to look
[15:20.16]  for it
[15:20.96]  it's very valuable it's very important
[15:23.44]  to her
[15:24.40]  and before they start looking for the
[15:27.76]  ring
[15:28.72]  perhaps she uses this idiom right here
[15:31.92]  um so what do you think uh this one this
[15:35.92]  context
[15:36.64]  i it's you well i don't want to give you
[15:39.52]  i don't want to give you the meaning i
[15:40.80]  told you that i was just
[15:42.00]  going to try to give you an example uh
[15:45.44]  of a situation and the key word is stone
[15:48.56]  all right so what phrase would you say
[15:51.84]  it's an idiom
[15:52.88]  and you would tell somebody this stone
[15:56.40]  and well it's using the word stone and
[15:59.36]  you're trying to
[16:00.88]  to find it all right you need to find
[16:03.04]  this um
[16:04.56]  all right you guys are close um close
[16:07.60]  it's more of a
[16:09.04]  a command so think of it that way you're
[16:11.44]  going to tell
[16:12.08]  somebody a command using stone i think
[16:15.92]  ahmed
[16:16.64]  mcc you guys were close but the idiom
[16:19.28]  that i'm
[16:20.32]  referring to is when you would tell
[16:22.24]  somebody leave
[16:23.60]  no stone unturned so
[16:26.72]  most of the time i think you're going to
[16:29.20]  you hear it as a command
[16:31.20]  if you're telling a a group of people or
[16:34.08]  another person
[16:35.44]  to look for something carefully
[16:38.72]  really look hard and say look everywhere
[16:42.56]  leave no stone unturned so in this
[16:45.60]  situation
[16:46.48]  i was trying to think that well the ring
[16:48.24]  is valuable it's very precious they're
[16:50.72]  going to look for it
[16:52.00]  and she might say leave no stone
[16:54.16]  unturned
[16:55.12]  it means to do everything you can to
[16:57.92]  achieve a good result
[16:59.92]  but i think it's it's typically used in
[17:02.48]  the context of
[17:03.76]  looking for something you're trying to
[17:05.52]  find it and you would leave no stone
[17:07.52]  unturned
[17:08.48]  this could be an example as to when you
[17:11.12]  might hear this perhaps you're watching
[17:12.88]  some tv show
[17:14.16]  that involves uh the police and a
[17:16.40]  criminal and they're looking for
[17:18.16]  the criminal they're looking for the
[17:19.84]  thief and they need to find this person
[17:22.24]  and they may tell the group of police
[17:24.88]  officers
[17:25.76]  leave no stone unturned we need to find
[17:28.56]  uh
[17:28.96]  the thief the next one that i have for
[17:31.68]  you again
[17:32.48]  is this situation um
[17:35.76]  this this person right here saying
[17:38.96]  i don't want to hear a long explanation
[17:41.12]  please just
[17:42.64]  what and then that's that's the idiom
[17:45.76]  the key word is chase
[17:49.28]  okay so think about it again think about
[17:52.16]  the situation
[17:53.76]  what do you think the idiom uh the
[17:56.64]  english idiom
[17:57.52]  is and maybe maybe you've heard of it
[17:59.28]  maybe you haven't again i hope that
[18:01.52]  that you are learning some new idioms
[18:03.36]  right now that's what i hope
[18:04.72]  and i don't expect you to remember all
[18:06.64]  of them i think when it comes to idioms
[18:09.04]  it's just good to get exposure it's good
[18:11.20]  to
[18:11.76]  become a little bit familiar with them
[18:13.92]  because over time
[18:15.28]  as you're listening to music podcasts
[18:18.48]  watching tv
[18:19.28]  you get that exposure to the language
[18:21.68]  you're just going to hear these idioms
[18:23.68]  and then you'll be able to remember them
[18:26.64]  well i think you guys wow you guys rock
[18:28.64]  this one
[18:29.20]  okay so i don't want to hear a long
[18:30.88]  explanation please
[18:32.56]  just cut to the chase all right
[18:35.04]  excellent i gotta give some shout outs
[18:36.48]  there
[18:37.20]  um excellent muthalite
[18:40.40]  anna julio uh anawat chris
[18:43.92]  stella trying to find some new names i
[18:46.32]  haven't said
[18:46.96]  abraham uh mike perfect so
[18:50.80]  uh gertrudis maggie cut to the chase
[18:54.56]  it means that you're you're telling
[18:57.20]  somebody quick
[18:58.08]  like come to the point what are you
[19:00.08]  trying to say what are you trying
[19:01.60]  what point are you trying to make cut to
[19:03.76]  the chase all right
[19:05.36]  so we've had uh let me back up and
[19:08.24]  review
[19:09.12]  some of these so the
[19:12.56]  this last part we've talked about speak
[19:15.20]  of the devil
[19:16.00]  i told you that it's used informally to
[19:18.88]  say that some somebody suddenly appears
[19:21.12]  and then you could use this phrase and
[19:22.80]  typically it's used as a standalone
[19:24.96]  phrase somebody well speak of the devil
[19:27.12]  and then maybe you start talking about
[19:29.20]  um you just start having a conversation
[19:31.84]  or if you want to throw caution to the
[19:34.80]  wind
[19:35.44]  you're behaving in a way that's not
[19:37.60]  careful and
[19:39.20]  somebody might throw caution to the wind
[19:41.68]  or to leave no stone unturned
[19:44.32]  i said that you're looking for something
[19:47.76]  and and you want to have that good
[19:49.36]  result and you might again use it as a
[19:51.28]  command and you're telling a group of
[19:52.64]  people
[19:53.20]  we need to find this thing leave no
[19:54.96]  stone unturned and we just talked about
[19:57.20]  this
[19:57.52]  cut to the chase i think this is a
[19:59.44]  common one
[20:00.56]  because uh sometimes like i'm i'm a
[20:03.28]  person that
[20:04.32]  may not come directly to the point and
[20:06.96]  somebody would say this to me like wes
[20:08.72]  just cut to the chase all right tell us
[20:10.48]  tell us what you're thinking all right
[20:12.00]  so
[20:12.72]  i i have more idioms for you again i
[20:15.04]  want to keep going
[20:15.92]  a little more practice but i'm trying to
[20:18.16]  switch it up in the way that we're
[20:19.92]  practicing these
[20:21.36]  and now it's going to be even a little
[20:23.68]  more difficult so
[20:25.44]  uh this time i'm going to give you um
[20:29.92]  i'm going to give you the situation and
[20:32.48]  i want you just to
[20:33.44]  listen to what i'm saying listen to the
[20:35.60]  situation
[20:36.64]  and then i may give you a key word
[20:39.84]  that has that that the idiom has and you
[20:43.12]  can try to guess it
[20:44.40]  okay so in this first one uh
[20:48.24]  it's talking about a situation in that
[20:51.44]  somebody is not speaking directly
[20:55.52]  all right and maybe another person is
[20:58.48]  just saying look just
[20:59.60]  tell me what's on your mind please cut
[21:01.76]  to the chase
[21:02.88]  give it to me straight and they might be
[21:05.44]  telling this person
[21:06.48]  stop stop doing this thing and that's
[21:09.68]  the idiom
[21:10.40]  stop all right stop
[21:13.44]  speaking indirectly instead of saying
[21:16.56]  that they're going to use this idiom and
[21:18.48]  say
[21:18.80]  stop what just give it to me straight
[21:21.68]  stop
[21:22.56]  what so the idiom is really when um
[21:26.40]  somebody is speaking indirectly
[21:30.40]  but i told you that i think it's used
[21:32.72]  when you
[21:34.00]  people may use this when you're telling
[21:35.84]  another person to stop
[21:37.44]  doing that and they say don't do like
[21:39.84]  stop doing this
[21:40.80]  um and you guys wow excellent uh
[21:44.72]  stella julie um ramon chris
[21:49.92]  you guys got it to beat around the bush
[21:52.96]  so if somebody's doing that again i tend
[21:55.60]  to do that and not
[21:57.12]  come and somebody would say wes cut to
[21:59.04]  the chase stop beating around the bush
[22:01.76]  just just say whatever it is you want to
[22:03.92]  say so
[22:05.44]  i think that's a good way to remember it
[22:08.32]  and a good way to kind of listen for it
[22:10.48]  somebody might tell another person stop
[22:12.80]  beating around the bush
[22:14.00]  you need to speak uh directly excellent
[22:16.88]  uh yes
[22:17.60]  gettrudus lolly perfect um
[22:21.04]  maggie you guys rock that one so let me
[22:24.08]  give you another
[22:25.44]  situation and i'll give you another word
[22:28.72]  that the idiom has
[22:30.24]  so this situation um
[22:34.16]  you're going to do something for another
[22:37.04]  person
[22:37.52]  perhaps you're going to get a birthday
[22:40.64]  present
[22:41.28]  for your friend and then you talk to
[22:43.92]  your other friend
[22:45.68]  and they say oh i have the perfect
[22:47.36]  present for
[22:48.72]  for this person um i'm going to get them
[22:51.72]  [Music]
[22:53.12]  some shirt that they always wanted and
[22:55.68]  your friend says well i already bought
[22:57.60]  that shirt i already
[22:58.64]  i'm going to give i already uh i'm
[23:01.36]  already giving that birthday present
[23:03.36]  so you have to find somebody else and
[23:05.92]  you say oh no
[23:07.12]  you did what so
[23:10.24]  it's kind of like they they took your
[23:13.20]  idea
[23:13.92]  a little bit and if you want to use an
[23:17.60]  idiom that they've taken your idea
[23:20.96]  and it's maybe a good idea and now you
[23:23.92]  cannot
[23:24.72]  get sick you cannot have success you're
[23:27.12]  not gonna get praise for this great idea
[23:29.76]  you'd say well that person did what
[23:33.04]  and think of the word steel that would
[23:35.04]  be the key word that i'm going to give
[23:36.72]  you
[23:37.04]  in this context in this situation so if
[23:40.16]  somebody
[23:41.12]  they they took your idea for a birthday
[23:43.28]  present
[23:44.40]  and you say oh my goodness you stole
[23:47.76]  what all right and i think this is a
[23:50.56]  good idiom i think it is a little
[23:53.20]  i guess you could say it's fairly common
[23:55.28]  um but again the meaning is very
[23:57.12]  different from the individual words yes
[23:59.12]  excellent uh sid anna uh
[24:02.16]  gary uh sorry i've mispronounced names
[24:04.80]  i'm talking about the idiom to steal
[24:07.28]  someone's thunder so in that context
[24:09.76]  that situation that i gave you right
[24:11.44]  here
[24:12.00]  um these people are talking and this
[24:14.16]  person says i was going to get her
[24:16.56]  that same birthday present you totally
[24:19.76]  stole
[24:20.24]  my thunder you took like my idea
[24:23.52]  so in this case it's not something that
[24:26.64]  is really you're kind of just saying
[24:29.20]  that maybe playfully perhaps it wasn't
[24:31.20]  planned
[24:32.08]  so maybe there's not they're not going
[24:33.84]  to be angry but
[24:35.52]  perhaps if you could talk about a
[24:37.68]  situation which
[24:38.80]  would make somebody angry if somebody
[24:41.20]  steals your idea at work
[24:42.72]  and they take all the credit they get
[24:44.48]  all the praise and you say this person
[24:46.88]  they stole my thunder so to steal
[24:49.04]  someone's thunder
[24:50.32]  is you are preventing them from um
[24:53.44]  that praise or that success to steal
[24:56.08]  someone's thunder
[24:57.28]  i think i showed you guys the the last
[24:59.36]  one yes to beat around the bush you're
[25:01.12]  avoiding talking
[25:02.32]  to someone i think most people do it
[25:04.56]  because it's unpleasant or it's
[25:06.08]  difficult to talk about
[25:07.60]  so they might beat around the bush um we
[25:10.32]  just talked about steel one's thunder
[25:12.40]  let me give you uh another situation
[25:16.08]  um the next one so
[25:19.28]  this would be a situation in which
[25:23.28]  think about you are competing in some
[25:26.00]  kind of competition and
[25:28.88]  before the competition begins
[25:32.24]  the the rules change and because of that
[25:35.76]  you are surprised you're confused
[25:39.04]  you're you don't know what to do
[25:42.08]  and i could say wow this really
[25:45.36]  what and the key word that i would give
[25:47.84]  you is
[25:48.40]  loop all right think about that
[25:50.72]  situation that i just described
[25:53.20]  with if the idiom has the word loop in
[25:55.76]  it
[25:56.32]  so if something if if something confuses
[25:59.28]  you it distracts you
[26:00.96]  um and i gave you that situation about
[26:03.60]  perhaps somebody changing the rules at
[26:05.44]  the last minute
[26:06.56]  and you're telling somebody well that
[26:08.16]  really what
[26:10.24]  and the idiom has the word loop in it
[26:13.76]  okay so i told you again this is
[26:15.92]  definitely
[26:16.96]  um it's definitely an advanced quiz
[26:19.76]  because now i'm just
[26:21.04]  you're really just having to listen to
[26:22.72]  me give you the information
[26:24.80]  and then try to figure it out all right
[26:27.92]  uh yes um irvin
[26:30.96]  excellent some of you are very close
[26:34.08]  um what i'm talking about
[26:37.28]  what you would say is this here's the
[26:39.04]  situation at the last minute
[26:40.96]  they changed the rules of the
[26:42.32]  competition and it
[26:44.00]  really threw our team for a loop
[26:47.04]  so if something throws you for a loop it
[26:50.00]  kind of
[26:50.96]  it confuses you to the point where it's
[26:52.88]  like well maybe you you don't know what
[26:54.96]  to do
[26:56.48]  so i know some of you had mentioned that
[26:58.40]  you're out of the loop that is another
[27:00.56]  idiom but if somebody is out of the loop
[27:03.28]  it means that they are
[27:04.64]  unaware of some information in this case
[27:08.96]  you are aware of the information but
[27:12.32]  it just confuses you it distracts you
[27:14.64]  and you you don't know what to do you
[27:16.40]  could say it
[27:17.20]  it threw me for a loop and typically i
[27:20.08]  think you would use it
[27:21.28]  in a situation in which you are you are
[27:24.48]  temporarily unfocused and you're not
[27:27.20]  sure what to do
[27:28.48]  and then you you refocus and you're able
[27:31.52]  to in this case
[27:32.56]  like you're able to compete in the
[27:34.72]  competition
[27:36.00]  and you're you're just going to do the
[27:38.00]  best you can but
[27:39.28]  for a quick for a brief moment you were
[27:41.76]  you were thrown for a loop
[27:43.36]  so i really think it's often used to
[27:45.20]  describe a temporary situation
[27:47.60]  where something is just shocking and it
[27:50.56]  just
[27:50.96]  like it says it upsets you it confuses
[27:53.36]  you because something
[27:54.88]  unexplained happens and i tried to give
[27:57.68]  you that
[27:58.64]  in the context of somebody changes the
[28:01.36]  rules
[28:02.16]  and it's it's unexpected and that may
[28:04.80]  throw you for a loop
[28:06.88]  so um it's a it's a good idiom the next
[28:10.32]  one
[28:10.72]  uh the next situation uh that i have for
[28:13.68]  you
[28:14.84]  is if uh
[28:19.76]  okay uh i can relate to this uh
[28:23.12]  my wife and i we can relate to this that
[28:25.76]  over time maybe your place
[28:27.60]  starts to get a little messy and you you
[28:30.88]  know that you need to clean up
[28:33.36]  and as it begins to get messier and
[28:36.72]  messier you could say well
[28:38.72]  this is really starting to what
[28:42.64]  and the the key word that i'll give you
[28:45.12]  that's hand
