Title     : THANKSGIVING PHRASES + COLLOCATIONS 🦃  | Build Your Holiday Vocabulary
Video ID  : o6C7FMGVHbs
[04:37.80]  talking about a big full-on turkey that
[04:40.64]  you would need to carve. That is another
[04:43.04]  phrase that you may hear, carve the
[04:45.12]  turkey. Carve just means to cut into the
[04:48.36]  surface of something, but because we're
[04:50.96]  we're referring to a big turkey, you
[04:53.76]  would use this verb and you would say,
[04:55.36]  "Somebody needs to carve the turkey."
[04:57.80]  Shall we carve the turkey, get this
[04:59.12]  dinner started?
[04:59.88]  I'm an excellent carver.
[05:01.80]  Allow me.
[05:02.40]  Think I can carve the turkey after all
[05:04.08]  this my house.
[05:05.08]  Sitting right here in front of me.
[05:06.20]  Now, typically people are going to sit
[05:08.12]  around a table and eat together. And if
[05:11.32]  that's going to happen, then you will
[05:13.04]  need someone to set the table. Another
[05:15.88]  great phrase. To set the table just
[05:18.20]  means to to organize the cloth, the
[05:21.52]  plates, the silverware, the glasses. And
[05:25.52]  once the table is set and the food is
[05:28.36]  brought in and everyone is sitting down,
[05:30.84]  they may not eat just yet. Because
[05:32.44]  Thanksgiving is a time when people show
[05:34.76]  appreciation, they may give thanks. That
[05:37.92]  is a collocation. Give thanks means that
[05:40.84]  you are expressing gratitude and talking
[05:43.96]  about something good that has happened.
[05:46.20]  And in general, people may talk about
[05:49.00]  some of the things they are thankful
[05:51.40]  for. That's another collocation. You
[05:54.08]  When you use thankful, you're going to
[05:55.96]  follow it with the preposition for. You
[05:58.52]  are thankful for something. I can tell
[06:01.36]  you that I am thankful for you. I really
[06:04.96]  love the community that that we have
[06:06.96]  created. And if you are thankful for
[06:09.60]  these video lessons, you can let me know
[06:11.80]  by hitting that like button. You could
[06:14.12]  also you could also use the phrase
[06:16.20]  grateful for. It really it means the
[06:18.84]  same thing. I think it's a bit more
[06:20.80]  formal and because for some Thanksgiving
[06:23.32]  it is more of a formal holiday, they may
[06:26.32]  use grateful for. But in general, you're
[06:29.00]  really still just talking about the
[06:31.12]  things or the people that you
[06:32.64]  appreciate. Another phrase that you may
[06:34.44]  hear, which is a little similar, is
[06:36.64]  count your blessings. And what this
[06:39.12]  means is that you're just well, you're
[06:41.32]  grateful for the things that you have.
[06:44.44]  And often I think people may say this
[06:46.84]  like kind of as a reminder to others and
[06:49.24]  they would say like, let's count our
[06:50.88]  blessings or we need to count our
[06:52.76]  blessings. Now, before eating, we're
[06:54.72]  still not eating yet, people may also
[06:56.96]  say grace. That is another common
[06:59.52]  Thanksgiving collocation. To say grace,
[07:02.36]  it it's just talking about a prayer of
[07:04.80]  gratitude before or after a meal. And in
[07:08.36]  general, I think
[07:10.28]  most of the time people may say grace
[07:12.24]  before the meal.
[07:13.92]  Are we going to have a prayer? It's
[07:15.68]  Thanksgiving, you know. Before we're
[07:17.20]  served, shouldn't we say grace?
[07:19.20]  And once those traditions are over,
[07:21.60]  still before eating, somebody may say
[07:23.60]  the phrase dig in. And and that right
[07:26.72]  there, that is your cue to start eating
[07:29.52]  because this is a phrase that you could
[07:31.20]  really use with any type of shared meal
[07:34.52]  and it just means that that you're
[07:36.24]  telling people like start eating, all
[07:37.84]  right? It's time to start eating, dig
[07:39.36]  in. And of Of there are families and
[07:41.52]  people who will skip out on some of
[07:43.64]  these traditions of saying the things
[07:46.04]  that they are thankful for and they'll
[07:47.52]  just go straight for that phrase, "Dig
[07:49.40]  in." And everybody will start eating.
[07:51.68]  And once that happens, it can get pretty
[07:54.00]  silent around that table because
[07:56.12]  everybody's just there focused in on
[07:57.84]  that food. I'm even getting a little
[07:59.52]  hungry. And after eating, somebody might
[08:03.32]  say, "I'm stuffed." This is a pretty
[08:05.92]  common phrase. It's just another way of
[08:08.20]  saying that you were full. You can not
[08:10.24]  eat any more. I'm stuffed. Or perhaps
[08:12.48]  somebody will ask you the question, "Do
[08:14.32]  you have room for seconds?" That is
[08:16.40]  another great phrase. Room for seconds
[08:18.96]  is talking about the ability to eat a
[08:21.64]  second serving of food. And I think at
[08:24.28]  Thanksgiving, I think most people have
[08:26.44]  room for seconds
[08:28.00]  and thirds and sometimes even fourths.
[08:30.40]  And still, after eating all that food,
[08:33.00]  many people have leftovers, another
[08:36.40]  common phrase. So, leftovers is talking
[08:38.96]  about the food that remains after a
[08:41.80]  meal. And you would use it with the verb
[08:43.84]  have, have leftovers, or you could use
[08:46.28]  it with the verb eat, eat leftovers.
[08:48.60]  Personally, I really enjoy eating
[08:50.84]  leftovers after Thanksgiving. I hope
[08:54.08]  that you learned some new phrases and
[08:55.84]  collocations and that you are now
[08:57.64]  stuffed with vocabulary. And I'm going
[09:00.60]  to let you digest this over the next few
[09:02.80]  days. But because it's Thanksgiving and
[09:05.04]  we have such a caring and loving
[09:07.16]  community, I'd like you to write to me
[09:09.44]  in the comments and maybe tell me
[09:11.00]  something that you are thankful for.
[09:13.44]  What is What is something that you are
[09:14.72]  thankful for? I think it's always good
[09:16.92]  to to think about some of the positive
[09:18.68]  things that are going on in our lives.
[09:21.28]  Now, because it's Thanksgiving, whether
[09:23.40]  you celebrate it or not, of course, I'm
[09:25.28]  going to wish you a happy Thanksgiving.
[09:28.24]  I hope you enjoyed the lesson. I hope
[09:30.20]  you learned something new and I will see
[09:32.52]  you next time.
